訓練日期,20120905 - 20121207
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10640959.950000001117587
真實報酬,640959.950000001117587

夏普值報酬,0.055395995000000
夏普值風險,0.014273992650008
夏普值,3.880903987992967

預期報酬,9740.883808893397145
風險,203477.774341320968233
趨勢值,0.047871979337427
找到最佳解世代,1
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](9),DD[7](12),HD[9](2),IBM[10](17),MRK[17](10),TRV[22](3),UNH[23](18),UTX[24](19),V[25](1),
20121025,1121615.260000000009313,1150607.550000000046566,1183305.849999999860302,1094320.659999999916181,1189465.500000000000000,1239684.720000000204891,1144711.599999999860302,1096079.140000000130385,1189264.060000000055879,10409055.340000001713634
20121026,1114873.719999999972060,1147066.479999999981374,1174697.250000000000000,1103858.030000000027940,1185612.000000000000000,1230058.880000000121072,1135955.079999999841675,1108983.850000000093132,1195834.449999999953434,10396940.740000000223517
20121031,1104369.459999999962747,1136715.659999999916181,1200914.349999999860302,1111053.890000000130385,1172253.199999999953434,1219401.699999999953434,1140435.159999999916181,1108416.610000000102445,1199638.359999999869615,10393199.389999998733401
20121101,1109856.760000000009313,1168040.510000000009313,1218131.549999999813735,1126016.710000000195578,1180217.099999999860302,1207197.510000000009313,1159780.959999999962747,1121179.510000000242144,1243902.040000000037253,10534323.649999998509884
20121102,1098255.039999999804422,1154148.619999999878928,1213435.949999999953434,1104771.790000000037253,1181758.500000000000000,1196712.220000000204891,1141453.359999999869615,1107140.320000000065193,1239752.320000000065193,10437429.119999999180436
20121105,1103899.119999999878928,1166133.780000000027940,1220479.349999999860302,1108826.600000000093132,1173280.800000000046566,1187945.830000000074506,1125773.079999999841675,1104729.550000000279397,1223499.250000000000000,10414568.359999999403954
20121106,1129140.699999999720603,1183839.129999999888241,1225174.949999999953434,1114137.830000000074506,1179703.300000000046566,1206166.170000000158325,1148377.119999999878928,1134084.220000000204891,1243902.040000000037253,10564526.460000000894070
20121107,1099195.719999999972060,1175122.649999999906868,1212849.000000000000000,1091807.820000000065193,1142195.899999999906868,1181070.229999999981374,1105001.799999999813735,1101609.730000000214204,1232490.310000000055879,10341344.160000000149012
20121108,1112835.580000000074506,1146249.309999999823049,1190740.549999999813735,1085754.159999999916181,1126268.100000000093132,1186055.040000000037253,1088303.319999999832362,1080054.610000000102445,1228340.590000000083819,10244602.259999997913837
20121109,1148424.639999999897555,1138894.780000000027940,1192697.049999999813735,1083127.100000000093132,1131663.000000000000000,1185711.260000000009313,1077306.759999999776483,1075516.690000000176951,1235602.599999999860302,10268944.879999998956919
20121112,1155322.959999999962747,1116831.189999999944121,1196610.049999999813735,1080899.810000000055879,1130892.300000000046566,1176257.310000000055879,1063051.959999999962747,1091257.600000000093132,1238369.080000000074506,10249493.259999999776483
20121113,1150149.219999999972060,1118465.530000000027940,1240044.349999999860302,1075588.580000000074506,1122157.699999999953434,1172819.510000000009313,1062848.319999999832362,1091966.650000000139698,1231452.879999999888241,10265493.739999998360872
20121114,1117695.760000000009313,1096946.719999999972060,1202675.199999999953434,1059540.669999999925494,1105973.000000000000000,1170069.270000000018626,1043706.159999999916181,1058641.300000000279397,1210012.660000000149012,10065261.740000000223517
20121115,1113776.260000000009313,1081965.270000000018626,1198370.899999999906868,1061482.409999999916181,1099550.500000000000000,1174366.520000000018626,1043706.159999999916181,1061335.690000000176951,1210358.469999999972060,10044913.179999999701977
20121116,1109543.199999999720603,1075972.689999999944121,1215392.449999999953434,1067707.400000000139698,1106486.800000000046566,1180038.890000000130385,1056942.759999999776483,1067149.900000000139698,1233873.550000000046566,10113108.640000000596046
20121119,1128200.019999999785796,1116558.800000000046566,1239066.099999999860302,1087181.909999999916181,1113423.100000000093132,1195337.100000000093132,1077510.399999999906868,1086010.630000000121072,1259117.679999999934807,10302406.740000000223517
20121120,1137293.260000000009313,1116831.189999999944121,1248652.949999999953434,1080614.260000000009313,1119074.900000000139698,1197056.000000000000000,1082194.119999999878928,1087570.540000000037253,1265342.260000000009313,10334630.480000000447035
20121121,1146856.840000000083819,1117920.750000000000000,1253935.500000000000000,1086839.250000000000000,1127552.600000000093132,1207025.620000000111759,1090136.079999999841675,1096646.380000000121072,1268108.739999999990687,10395022.759999999776483
20121123,1156106.859999999869615,1139711.949999999953434,1268217.949999999720603,1105114.450000000186265,1137571.699999999953434,1225074.070000000065193,1098078.040000000037253,1114798.060000000055879,1280557.899999999906868,10525231.980000000447035
20121126,1164416.199999999720603,1147611.260000000009313,1265283.199999999953434,1101630.739999999990687,1135516.500000000000000,1218026.580000000074506,1090136.079999999841675,1115790.730000000214204,1272950.080000000074506,10511362.370000001043081
20121127,1167865.359999999869615,1152514.280000000027940,1255305.049999999813735,1092207.590000000083819,1127295.699999999953434,1217510.909999999916181,1070993.919999999925494,1117917.880000000121072,1269146.170000000158325,10470757.859999999403954
20121128,1161594.159999999916181,1158779.250000000000000,1268413.599999999860302,1096490.840000000083819,1145792.500000000000000,1219745.479999999981374,1074252.159999999916181,1131673.450000000186265,1273295.889999999897555,10530038.330000001937151
20121129,1162064.500000000000000,1163682.270000000018626,1256870.249999999767169,1093920.890000000130385,1148618.399999999906868,1223527.060000000055879,1107038.199999999953434,1131106.210000000195578,1281249.519999999785796,10568078.300000000745058
20121130,1164572.979999999981374,1171036.800000000046566,1273109.199999999720603,1085582.830000000074506,1138085.500000000000000,1217339.020000000018626,1107649.119999999878928,1136069.560000000055879,1294390.300000000046566,10587836.310000000521541
20121203,1160496.699999999720603,1136715.659999999916181,1271348.350000000093132,1082213.340000000083819,1141682.099999999860302,1219573.590000000083819,1097467.119999999878928,1131673.450000000186265,1285053.429999999934807,10526224.739999998360872
20121204,1160967.039999999804422,1136443.270000000018626,1256870.249999999767169,1081528.020000000018626,1140654.500000000000000,1212354.209999999962747,1090339.719999999972060,1136494.990000000223517,1276062.369999999878928,10491715.369999999180436
20121205,1158145.000000000000000,1144070.189999999944121,1252565.949999999720603,1077473.210000000195578,1140397.600000000093132,1272000.040000000037253,1096448.919999999925494,1137771.280000000260770,1280212.090000000083819,10559085.279999999329448
20121206,1159869.580000000074506,1149790.379999999888241,1258826.750000000000000,1083469.760000000009313,1143480.399999999906868,1257389.390000000130385,1092579.759999999776483,1146847.120000000111759,1283670.189999999944121,10575924.330000000074506
20121207,1170217.059999999823049,1175395.039999999804422,1260978.899999999906868,1096319.510000000009313,1146563.199999999953434,1261514.750000000000000,1097059.839999999850988,1148548.840000000083819,1284361.810000000055879,10640959.950000001117587
