訓練日期,20190530 - 20190829
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11068620.719999996945262
真實報酬,1068620.719999996945262

夏普值報酬,0.098162072000000
夏普值風險,0.023829934954224
夏普值,4.119275700439996

預期報酬,20711.470954999185778
風險,337043.645159252628218
趨勢值,0.061450412290708
找到最佳解世代,39
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](4),DD[7](18),HD[9](6),KO[14](3),MCD[15](2),MSFT[18](7),PG[21](1),V[25](5),XOM[29](25),
20190620,1249420.119999999878928,1265740.960000000195578,1235439.479999999981374,1180824.849999999860302,1162689.799999999813735,1217915.929999999934807,1191624.199999999953434,1186276.270000000018626,1179627.649999999906868,10869560.259999999776483
20190621,1245160.599999999860302,1260001.420000000158325,1224562.199999999953434,1178310.579999999841675,1157815.319999999832362,1218093.790000000037253,1185865.640000000130385,1184228.169999999925494,1196256.409999999916181,10850295.129999998956919
20190624,1243907.800000000046566,1261014.280000000027940,1201813.479999999981374,1186767.669999999925494,1155888.199999999720603,1225297.120000000111759,1197915.959999999962747,1187027.239999999990687,1184862.630000000121072,10844495.380000000819564
20190625,1225053.159999999916181,1251392.110000000102445,1197369.000000000000000,1183110.550000000046566,1166033.919999999925494,1186612.570000000065193,1191410.920000000158325,1169481.850000000093132,1174392.669999999925494,10744857.750000000000000
20190626,1251549.880000000121072,1246496.620000000111759,1207193.639999999897555,1168482.069999999832362,1159459.040000000037253,1191059.070000000065193,1170189.560000000055879,1167979.910000000149012,1179473.679999999934807,10741884.469999998807907
20190627,1251174.040000000037253,1246327.810000000055879,1210702.439999999944121,1167567.790000000037253,1169208.000000000000000,1193015.530000000027940,1170722.760000000009313,1169140.500000000000000,1167464.019999999785796,10745323.890000000596046
20190628,1239773.559999999823049,1267260.250000000000000,1216258.040000000037253,1163910.669999999925494,1177086.519999999785796,1191325.860000000102445,1169336.440000000176951,1184979.140000000130385,1179935.589999999850988,10789867.070000000298023
20190701,1262511.880000000121072,1279921.000000000000000,1229766.919999999925494,1179453.429999999934807,1169378.040000000037253,1206621.820000000065193,1178294.199999999953434,1187641.669999999925494,1178857.800000000046566,10872447.759999999776483
20190702,1269903.399999999906868,1263377.620000000111759,1228948.199999999953434,1188139.089999999850988,1187969.080000000074506,1214625.520000000251457,1188851.560000000055879,1196789.850000000093132,1165924.320000000065193,10904529.640000000596046
20190703,1280426.919999999925494,1252236.160000000149012,1240410.280000000027940,1190881.929999999934807,1206276.719999999972060,1222451.360000000102445,1216577.959999999962747,1207644.780000000027940,1177010.159999999916181,10993917.269999999552965
20190705,1279299.399999999906868,1244808.520000000018626,1236667.560000000055879,1191110.500000000000000,1197377.959999999962747,1218894.160000000149012,1206660.440000000176951,1206211.110000000102445,1172237.089999999850988,10953267.740000000223517
20190708,1252927.959999999962747,1217292.489999999990687,1245147.159999999916181,1188596.229999999981374,1202592.519999999785796,1218004.860000000102445,1216258.040000000037253,1203002.419999999925494,1177626.040000000037253,10921448.719999998807907
20190709,1260570.040000000037253,1181673.580000000074506,1239825.479999999981374,1179224.860000000102445,1202195.760000000009313,1213558.360000000102445,1204101.080000000074506,1213516.000000000000000,1176856.190000000176951,10871522.349999999627471
20190710,1273035.399999999906868,1175765.230000000214204,1232515.479999999981374,1184481.969999999972060,1207353.639999999897555,1225919.630000000121072,1213058.840000000083819,1224302.660000000149012,1193484.949999999953434,10929918.799999998882413
20190711,1263764.679999999934807,1173233.080000000074506,1251755.399999999906868,1189510.510000000009313,1205596.559999999823049,1230810.780000000027940,1219777.160000000149012,1234065.270000000018626,1194408.769999999785796,10962923.209999999031425
20190712,1273473.880000000121072,1207332.699999999953434,1276258.520000000018626,1191339.069999999832362,1207296.959999999962747,1235257.280000000027940,1226282.199999999953434,1231266.200000000186265,1195332.589999999850988,11043840.399999998509884
20190715,1285438.119999999878928,1214422.719999999972060,1279007.079999999841675,1191567.640000000130385,1214211.919999999925494,1235257.280000000027940,1231507.560000000055879,1232904.679999999934807,1186864.239999999990687,11071182.240000000223517
20190716,1280990.679999999934807,1220837.500000000000000,1270585.959999999962747,1191796.209999999962747,1211434.599999999860302,1219072.020000000251457,1235879.800000000046566,1224302.660000000149012,1169157.690000000176951,11024058.119999999180436
20190717,1273787.079999999841675,1203618.880000000121072,1260936.760000000009313,1192710.489999999990687,1211377.919999999925494,1211868.690000000176951,1236413.000000000000000,1223210.340000000083819,1162229.040000000037253,10976153.199999999254942
20190718,1288256.919999999925494,1208345.560000000055879,1254094.599999999860302,1189281.939999999944121,1223847.519999999785796,1213202.639999999897555,1231081.000000000000000,1232631.600000000093132,1152374.959999999962747,10993117.739999998360872
20190719,1269026.439999999944121,1208176.750000000000000,1245907.399999999906868,1174653.459999999962747,1212284.799999999813735,1214981.240000000223517,1226495.480000000214204,1223824.770000000018626,1154684.510000000009313,10930035.849999999627471
20190722,1298028.760000000009313,1214929.150000000139698,1235556.439999999944121,1170767.770000000018626,1218689.639999999897555,1231077.570000000065193,1229588.040000000037253,1232904.679999999934807,1155916.269999999785796,10987459.320000000298023
20190723,1308176.439999999944121,1236368.020000000018626,1246141.320000000065193,1241853.040000000037253,1214778.719999999972060,1238725.550000000046566,1214125.239999999990687,1235157.590000000083819,1160535.370000000111759,11095862.289999999105930
20190724,1307111.559999999823049,1253080.210000000195578,1255673.560000000055879,1229281.689999999944121,1206106.679999999934807,1251442.540000000037253,1200795.239999999990687,1251747.200000000186265,1160381.399999999906868,11115621.080000000074506
20190725,1296775.959999999962747,1234848.730000000214204,1260585.880000000121072,1213053.219999999972060,1215515.559999999823049,1246729.250000000000000,1202608.120000000111759,1239868.219999999972060,1153760.690000000176951,11063746.629999998956919
20190726,1301286.040000000037253,1235861.590000000083819,1268539.159999999916181,1238195.919999999925494,1221977.080000000074506,1256956.200000000186265,1223509.560000000055879,1254204.919999999925494,1151913.050000000046566,11152444.520000001415610
20190729,1313438.199999999953434,1233835.870000000111759,1275147.399999999906868,1234081.659999999916181,1218576.279999999795109,1254199.370000000111759,1237052.840000000083819,1250927.960000000195578,1160073.459999999962747,11177334.040000002831221
20190730,1307800.599999999860302,1239068.980000000214204,1271170.760000000009313,1227910.270000000018626,1203612.760000000009313,1248152.130000000121072,1284081.080000000074506,1239458.600000000093132,1160227.429999999934807,11181483.609999997541308
20190731,1334485.239999999990687,1218136.540000000037253,1249708.599999999860302,1202996.140000000130385,1194430.599999999860302,1211868.690000000176951,1258807.400000000139698,1215359.290000000037253,1144984.399999999906868,11030777.900000000372529
20190801,1305608.199999999953434,1210202.469999999972060,1244679.320000000065193,1189281.939999999944121,1197434.639999999897555,1227787.160000000149012,1244837.560000000055879,1223346.879999999888241,1115730.099999999860302,10958909.269999997690320
20190802,1277983.959999999962747,1165636.630000000121072,1240702.679999999934807,1196139.040000000037253,1215742.279999999795109,1217471.280000000027940,1241745.000000000000000,1211399.629999999888241,1104798.229999999981374,10871619.730000000447035
20190805,1211084.439999999944121,1115162.440000000176951,1198538.599999999860302,1180596.280000000027940,1192900.239999999757856,1175763.110000000102445,1205913.959999999962747,1152960.510000000242144,1082164.639999999897555,10515085.220000000670552
20190806,1234010.679999999934807,1156858.510000000009313,1221111.880000000121072,1194767.620000000111759,1213475.080000000074506,1197817.750000000000000,1218710.760000000009313,1177674.250000000000000,1092634.599999999860302,10707062.130000000819564
20190807,1246789.239999999990687,1177790.949999999953434,1215907.159999999916181,1215567.489999999990687,1229062.080000000074506,1203064.620000000111759,1231934.120000000111759,1197062.929999999934807,1085551.979999999981374,10802731.570000000298023
20190808,1274288.199999999953434,1194503.140000000130385,1237310.839999999850988,1227224.559999999823049,1235750.319999999832362,1235168.349999999860302,1252409.000000000000000,1228330.590000000083819,1114498.339999999850988,10999484.339999997988343
20190809,1259004.040000000037253,1165467.820000000065193,1228246.439999999944121,1221053.169999999925494,1253547.839999999850988,1224674.610000000102445,1245370.760000000009313,1222527.640000000130385,1090786.959999999962747,10910680.280000001192093
20190812,1255809.399999999906868,1146898.719999999972060,1210643.959999999962747,1216024.630000000121072,1230932.519999999785796,1207600.050000000046566,1237372.760000000009313,1204026.469999999972060,1072156.589999999850988,10781466.099999999627471
20190813,1308990.760000000009313,1156014.460000000195578,1218363.320000000065193,1222881.729999999981374,1245499.279999999795109,1232589.380000000121072,1250382.840000000083819,1204026.469999999972060,1085398.010000000009313,10924147.250000000000000
20190814,1270028.679999999934807,1110435.760000000009313,1178947.800000000046566,1211224.659999999916181,1227078.279999999795109,1191503.719999999972060,1234813.400000000139698,1184706.060000000055879,1041670.530000000027940,10650409.889999998733401
20190815,1263702.040000000037253,1100138.350000000093132,1180117.399999999906868,1231338.819999999832362,1237224.000000000000000,1188835.820000000065193,1251875.800000000046566,1203548.580000000074506,1035511.729999999981374,10692293.540000000968575
20190816,1293518.679999999934807,1116175.300000000046566,1190994.679999999934807,1243681.599999999860302,1238357.599999999860302,1210623.669999999925494,1270964.360000000102445,1216929.500000000000000,1051678.579999999841675,10832924.969999998807907
20190819,1317635.079999999841675,1138289.410000000149012,1216141.079999999841675,1250081.559999999823049,1240114.679999999934807,1230899.709999999962747,1282268.199999999953434,1227238.270000000018626,1069385.130000000121072,10972054.119999999180436
20190820,1317697.719999999972060,1132718.679999999934807,1269591.800000000046566,1231567.390000000130385,1238357.599999999860302,1220672.760000000009313,1267978.440000000176951,1223824.770000000018626,1062918.389999999897555,10965328.549999998882413
20190821,1331979.639999999897555,1143860.140000000130385,1288948.679999999934807,1236595.929999999934807,1251053.919999999925494,1234279.050000000046566,1271177.640000000130385,1235430.669999999925494,1073542.320000000065193,11066868.990000000223517
20190822,1330852.119999999878928,1142340.850000000093132,1292574.439999999944121,1245510.159999999916181,1244138.959999999962747,1225297.120000000111759,1273523.720000000204891,1229627.719999999972060,1071232.769999999785796,11055098.859999999403954
20190823,1269339.639999999897555,1114149.580000000074506,1271814.040000000037253,1228367.409999999916181,1216762.519999999785796,1186256.849999999860302,1251129.320000000065193,1196448.500000000000000,1039207.009999999892898,10773475.869999999180436
20190826,1293456.040000000037253,1084776.640000000130385,1278714.679999999934807,1246653.010000000009313,1229515.519999999785796,1204576.429999999934807,1272457.320000000065193,1212560.219999999972060,1044749.929999999934807,10867460.789999999105930
20190827,1278860.919999999925494,1079712.340000000083819,1276141.560000000055879,1250767.270000000018626,1224641.040000000037253,1207155.400000000139698,1285574.040000000037253,1217953.550000000046566,1034587.909999999916181,10855395.030000001192093
20190828,1287442.599999999860302,1081400.440000000176951,1298013.079999999841675,1259681.500000000000000,1236090.399999999906868,1205554.660000000149012,1294638.440000000176951,1219933.379999999888241,1042132.440000000060536,10924887.939999999478459
20190829,1309241.319999999832362,1110266.949999999953434,1329416.839999999850988,1258310.079999999841675,1250090.359999999869615,1228320.740000000223517,1292292.360000000102445,1237000.879999999888241,1053680.190000000176951,11068620.719999996945262
