訓練日期,20171124 - 20180228
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11321312.310000000521541
真實報酬,1321312.310000000521541

夏普值報酬,0.123431231000000
夏普值風險,0.037813113484404
夏普值,3.264244057842790

預期報酬,23688.164090642185329
風險,247831.549256043857895
趨勢值,0.095581713311928
找到最佳解世代,54
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](1),CSCO[4](3),GS[8](7),INTC[11](22),JPM[13](2),MCD[15](27),NKE[19](4),TRV[22](10),UNH[23](11),
20171211,1186572.900000000139698,1157140.329999999841675,1175487.299999999813735,1086475.840000000083819,1189733.720000000204891,1138713.399999999906868,1164531.399999999906868,1138030.899999999906868,1171864.000000000000000,10408550.790000000968575
20171212,1214981.100000000093132,1155616.179999999701977,1210964.750000000000000,1078264.120000000111759,1203588.439999999944121,1132009.959999999729916,1169422.000000000000000,1148200.639999999897555,1170391.200000000186265,10483439.390000000596046
20171213,1222942.099999999860302,1162932.099999999860302,1201002.869999999878928,1078512.960000000195578,1188494.680000000167638,1140685.000000000000000,1209487.300000000046566,1141449.300000000046566,1180174.800000000046566,10525682.109999999403954
20171214,1231489.699999999953434,1155311.349999999860302,1200626.949999999953434,1076522.239999999990687,1178920.280000000027940,1137990.479999999748543,1213813.600000000093132,1133074.220000000204891,1163868.800000000046566,10491618.620000001043081
20171215,1231741.100000000093132,1164151.419999999925494,1208568.260000000009313,1108871.440000000176951,1195591.000000000000000,1144036.719999999972060,1218704.200000000186265,1152815.479999999981374,1166867.000000000000000,10591347.620000001043081
20171218,1240959.099999999860302,1172991.489999999757856,1221960.409999999916181,1151174.239999999990687,1204827.479999999981374,1144956.799999999813735,1219080.400000000139698,1155550.200000000186265,1171338.000000000000000,10682839.120000001043081
20171219,1245610.000000000000000,1167504.549999999813735,1205325.949999999953434,1170583.760000000009313,1199758.680000000167638,1139633.479999999748543,1208358.699999999953434,1158370.379999999888241,1168024.199999999953434,10663170.699999999254942
20171220,1248333.500000000000000,1180917.070000000065193,1199217.250000000000000,1183523.440000000176951,1195591.000000000000000,1131615.639999999897555,1196132.200000000186265,1155977.500000000000000,1169812.600000000093132,10661121.200000001117587
20171221,1236308.199999999953434,1174515.639999999897555,1226612.419999999925494,1163616.239999999990687,1214627.159999999916181,1129512.599999999860302,1218328.000000000000000,1148969.780000000027940,1166183.199999999953434,10678674.239999998360872
20171222,1236601.500000000000000,1175125.299999999813735,1217026.459999999962747,1162123.200000000186265,1210346.840000000083819,1126686.639999999897555,1190489.199999999953434,1148542.479999999981374,1157293.800000000046566,10624236.419999999925494
20171226,1237690.900000000139698,1172991.489999999757856,1211152.709999999962747,1146695.120000000111759,1205503.320000000065193,1125832.279999999795109,1197260.800000000046566,1151875.420000000158325,1155189.800000000046566,10604192.840000001713634
20171227,1238780.300000000046566,1175430.129999999888241,1202835.479999999981374,1147441.640000000130385,1207756.120000000111759,1134901.639999999897555,1184093.800000000046566,1151789.960000000195578,1159503.000000000000000,10602533.070000000298023
20171228,1241839.000000000000000,1176344.620000000111759,1205419.929999999934807,1150178.880000000121072,1214176.600000000093132,1137727.599999999860302,1184093.800000000046566,1159395.899999999906868,1171864.000000000000000,10641041.329999998211861
20171229,1235805.400000000139698,1167504.549999999813735,1197243.669999999925494,1148685.840000000083819,1204602.199999999953434,1131287.040000000037253,1176569.800000000046566,1159224.979999999981374,1159713.400000000139698,10580637.880000000819564
20180102,1243892.099999999860302,1184575.029999999795109,1201519.759999999776483,1165855.800000000279397,1215978.840000000083819,1138516.239999999990687,1194251.200000000186265,1127946.619999999878928,1163395.400000000139698,10635931.990000000223517
20180103,1247914.500000000000000,1194024.760000000009313,1190336.139999999897555,1126290.239999999990687,1217217.880000000121072,1133718.679999999934807,1194063.100000000093132,1131535.940000000176951,1175598.600000000093132,10610700.839999997988343
20180104,1243179.800000000046566,1188537.820000000065193,1206970.599999999860302,1105636.520000000018626,1228256.600000000093132,1141670.799999999813735,1193310.699999999953434,1131535.940000000176951,1180700.800000000046566,10619800.580000000074506
20180105,1294172.099999999860302,1204998.639999999897555,1200814.909999999916181,1113350.560000000288710,1220371.800000000046566,1143971.000000000000000,1203468.100000000093132,1129484.899999999906868,1203213.600000000093132,10713846.609999999403954
20180108,1299661.000000000000000,1217496.669999999925494,1183381.619999999878928,1113350.560000000288710,1222174.040000000037253,1143182.359999999869615,1214189.800000000046566,1123417.239999999990687,1182331.399999999906868,10699185.690000001341105
20180109,1334354.199999999953434,1209875.919999999925494,1193390.489999999990687,1085480.479999999981374,1228369.239999999990687,1140619.279999999795109,1205537.200000000186265,1132134.159999999916181,1188222.600000000093132,10717984.569999998435378
20180110,1342021.899999999906868,1216582.179999999701977,1195223.100000000093132,1057610.400000000139698,1241886.040000000037253,1140422.119999999878928,1207982.500000000000000,1129057.600000000093132,1179385.800000000046566,10710172.640000000596046
20180111,1374955.300000000046566,1222373.949999999953434,1198982.299999999813735,1080254.840000000083819,1248531.800000000046566,1139633.479999999748543,1209299.200000000186265,1131023.180000000167638,1185645.199999999953434,10790700.249999998137355
20180112,1408852.399999999906868,1245845.859999999869615,1207910.399999999906868,1076024.560000000288710,1269144.920000000158325,1140816.439999999944121,1216447.000000000000000,1151448.119999999878928,1202740.199999999953434,10919230.899999998509884
20180116,1404452.900000000139698,1235786.469999999972060,1214629.969999999739230,1073536.160000000149012,1264639.320000000065193,1141539.359999999869615,1192934.500000000000000,1158199.460000000195578,1225147.800000000046566,10910866.940000001341105
20180117,1470864.399999999906868,1255905.250000000000000,1192027.780000000027940,1104641.160000000149012,1272749.399999999906868,1150082.959999999729916,1200270.400000000139698,1169651.100000000093132,1254235.600000000093132,11070429.049999998882413
20180118,1425402.900000000139698,1258953.549999999813735,1179434.459999999962747,1106880.719999999972060,1275790.680000000167638,1147388.439999999944121,1205913.400000000139698,1173753.180000000167638,1279115.400000000139698,11052633.730000000447035
20180119,1415221.200000000186265,1258648.719999999972060,1203634.310000000055879,1115341.280000000260770,1272974.680000000167638,1157575.040000000037253,1264224.399999999906868,1178111.639999999897555,1280114.800000000046566,11145847.070000000298023
20180122,1416352.500000000000000,1269927.429999999701977,1229008.909999999916181,1138483.400000000139698,1287843.159999999916181,1158166.520000000018626,1248800.199999999953434,1190930.639999999897555,1281219.400000000139698,11220733.160000000149012
20180123,1406254.599999999860302,1283339.949999999953434,1222289.339999999850988,1146197.440000000176951,1286491.479999999981374,1162109.719999999972060,1262907.699999999953434,1249983.500000000000000,1289898.400000000139698,11309473.130000000819564
20180124,1402483.600000000093132,1285473.760000000009313,1248556.750000000000000,1132511.239999999990687,1302936.920000000158325,1157575.040000000037253,1279084.300000000046566,1261606.060000000055879,1288004.800000000046566,11358233.470000002533197
20180125,1437763.400000000139698,1277243.349999999860302,1264298.399999999906868,1127285.600000000093132,1303274.840000000083819,1154551.919999999925494,1273629.399999999906868,1268870.159999999916181,1289740.600000000093132,11396658.669999999925494
20180126,1438224.300000000046566,1297362.129999999888241,1260116.289999999804422,1246231.120000000111759,1310258.520000000018626,1172296.320000000065193,1279836.700000000186265,1276988.859999999869615,1307046.000000000000000,11588361.239999998360872
20180129,1428168.300000000046566,1306202.199999999953434,1280509.949999999953434,1243742.719999999972060,1308906.840000000083819,1168418.840000000083819,1271184.100000000093132,1273057.700000000186265,1301470.400000000139698,11581662.049999998882413
20180130,1415137.399999999906868,1287912.399999999906868,1263875.489999999990687,1214130.760000000009313,1296629.080000000074506,1133652.959999999729916,1266481.600000000093132,1271006.659999999916181,1244872.800000000046566,11393700.150000000372529
20180131,1484942.800000000046566,1266269.469999999972060,1258941.539999999804422,1197956.160000000149012,1302936.920000000158325,1124846.479999999748543,1283222.500000000000000,1281261.859999999869615,1245556.600000000093132,11445935.329999998211861
20180201,1495711.100000000093132,1271146.750000000000000,1279335.199999999953434,1185763.000000000000000,1316453.720000000204891,1129841.199999999953434,1272500.800000000046566,1281945.540000000037253,1237351.000000000000000,11470049.309999998658895
20180202,1462065.400000000139698,1247674.839999999850988,1222054.390000000130385,1148437.000000000000000,1287279.959999999962747,1113279.759999999776483,1264412.500000000000000,1264426.239999999990687,1219782.600000000093132,11229413.690000001341105
20180205,1378139.699999999953434,1182136.389999999897555,1170694.320000000065193,1107876.080000000307336,1225553.239999999990687,1076936.599999999860302,1211180.199999999953434,1209475.460000000195578,1157399.000000000000000,10719391.990000000223517
20180206,1428545.400000000139698,1224507.760000000009313,1215757.729999999981374,1117580.840000000083819,1262837.080000000074506,1085677.359999999869615,1226792.500000000000000,1203749.639999999897555,1184540.600000000093132,10949989.910000000149012
20180207,1458755.300000000046566,1229689.870000000111759,1208239.330000000074506,1124797.200000000186265,1271397.720000000204891,1089160.520000000018626,1234504.599999999860302,1214773.979999999981374,1187907.000000000000000,11019226.519999999552965
20180208,1381407.900000000139698,1181831.560000000055879,1157725.079999999841675,1063831.400000000139698,1215190.359999999869615,1044865.239999999874271,1175441.200000000186265,1153841.000000000000000,1138673.400000000139698,10512808.140000002458692
20180209,1394690.199999999953434,1204998.639999999897555,1171587.129999999888241,1093692.200000000186265,1239520.600000000093132,1056892.000000000000000,1231871.199999999953434,1171531.220000000204891,1162343.400000000139698,10727127.589999999850988
20180212,1440654.500000000000000,1237615.449999999953434,1189725.270000000018626,1115590.120000000111759,1258669.399999999906868,1077265.199999999953434,1241088.100000000093132,1180589.979999999981374,1187223.199999999953434,10928422.220000000670552
20180213,1437972.900000000139698,1256819.739999999757856,1200861.899999999906868,1106383.040000000270084,1266441.560000000055879,1067407.199999999953434,1239019.000000000232831,1184350.220000000204891,1192220.199999999953434,10951476.760000001639128
20180214,1445054.000000000000000,1283035.120000000111759,1233989.849999999860302,1129276.320000000298023,1295727.959999999962747,1051568.679999999934807,1278331.899999999906868,1201613.139999999897555,1203476.600000000093132,11122074.570000000298023
20180215,1493699.899999999906868,1343696.289999999804422,1257954.750000000000000,1142713.680000000167638,1301134.680000000167638,1056760.559999999823049,1284539.200000000186265,1204006.020000000018626,1188959.000000000000000,11273465.079999998211861
20180216,1487750.100000000093132,1351317.039999999804422,1257672.810000000055879,1133755.440000000176951,1291785.560000000055879,1037110.279999999911524,1284727.300000000046566,1206398.899999999906868,1206580.000000000000000,11257098.429999999701977
20180220,1480669.000000000000000,1343086.629999999888241,1244844.539999999804422,1152667.280000000260770,1292123.479999999981374,1032969.919999999925494,1269491.199999999953434,1188537.760000000009313,1192325.400000000139698,11196716.209999999031425
20180221,1476562.800000000046566,1320224.379999999888241,1237843.029999999795109,1143211.360000000102445,1297530.199999999953434,1042696.479999999864958,1261214.800000000046566,1184008.379999999888241,1184277.600000000093132,11147570.029999999329448
20180222,1491437.300000000046566,1308945.669999999925494,1228586.000000000000000,1139727.600000000093132,1295164.760000000009313,1055971.919999999925494,1262719.599999999860302,1176316.979999999981374,1194587.199999999953434,11153458.029999999329448
20180223,1494537.900000000139698,1341257.649999999906868,1253678.659999999916181,1187753.719999999972060,1321409.880000000121072,1071744.719999999972060,1282093.899999999906868,1194263.580000000074506,1210735.400000000139698,11357476.410000000149012
20180226,1523113.700000000186265,1382714.529999999795109,1274777.169999999925494,1222093.640000000130385,1337855.320000000065193,1075162.159999999916181,1310120.800000000046566,1218534.220000000204891,1231249.400000000139698,11575621.940000001341105
20180227,1527974.099999999860302,1372959.969999999972060,1259129.500000000000000,1242000.840000000083819,1321973.080000000074506,1055971.919999999925494,1279648.600000000093132,1209646.379999999888241,1223149.000000000000000,11492454.390000000596046
20180228,1517792.399999999906868,1365034.389999999897555,1235634.500000000000000,1226572.760000000009313,1301022.040000000037253,1036781.679999999934807,1260838.600000000093132,1187939.540000000037253,1189695.400000000139698,11321312.310000000521541
