訓練日期,20100309 - 20100609
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9724886.100000001490116
真實報酬,-275113.899999998509884

夏普值報酬,-0.036211390000000
夏普值風險,0.034729810008842
夏普值,-1.042660181290383

預期報酬,8612.723427427530623
風險,450726.156805450038519
趨勢值,0.019108550274674
找到最佳解世代,94
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](1),CAT[3](5),CSCO[4](24),DIS[6](7),HD[9](3),INTC[11](6),JNJ[12](19),MCD[15](2),NKE[19](4),UTX[24](13),VZ[26](21),
20100413,1005806.520000000018626,1021427.680000000051223,919875.210000000079162,981673.500000000116415,976786.720000000088476,996628.000000000000000,930046.800000000046566,962138.000000000000000,997884.719999999972060,943776.899999999790452,922545.790000000037253,10658599.839999999850988
20100414,1019457.199999999953434,1038247.470000000088476,935183.250000000000000,991533.900000000139698,994990.879999999888241,1029454.750000000000000,927356.399999999906868,969118.000000000000000,1001584.500000000000000,950714.279999999911524,915981.990000000107102,10773632.619999999180436
20100415,1032817.439999999944121,1052752.610000000102445,946664.280000000027940,997011.900000000023283,999541.920000000041910,1060093.049999999813735,927639.600000000093132,965488.399999999906868,999470.340000000083819,958550.949999999953434,906464.480000000097789,10846504.970000000670552
20100416,1026427.760000000009313,1032075.069999999948777,938662.350000000093132,981399.599999999976717,995844.199999999953434,1046962.350000000093132,920701.199999999953434,963673.599999999976717,993127.859999999986030,946731.709999999846332,907777.240000000107102,10753392.939999999478459
20100419,1025265.999999999883585,1033772.479999999981374,941793.540000000037253,990712.200000000069849,1000395.240000000107102,1050463.870000000111759,935002.800000000046566,976098.000000000000000,998941.800000000046566,947631.000000000000000,912371.900000000139698,10812458.830000000074506
20100420,1014810.159999999916181,1041642.290000000037253,945620.550000000046566,1000846.500000000000000,1000679.680000000051223,1055716.149999999906868,934436.399999999906868,981961.199999999953434,1008984.060000000055879,953283.679999999934807,913028.280000000027940,10851018.949999999254942
20100421,1075512.120000000111759,1045500.040000000037253,947708.010000000009313,1001394.300000000046566,1003239.640000000130385,1041710.070000000065193,925940.400000000023283,982240.399999999906868,1013740.920000000041910,988355.989999999990687,907120.860000000102445,10932472.750000000000000
20100422,1105717.879999999888241,1041796.600000000093132,950491.290000000037253,1007420.100000000093132,1016039.439999999944121,1050026.179999999701977,917302.800000000046566,991593.599999999976717,1033825.439999999944121,981932.489999999990687,898259.730000000097789,10994415.550000000745058
20100423,1123725.159999999683350,1061393.969999999972060,955709.940000000060536,1007694.000000000000000,1035096.920000000041910,1052214.629999999888241,920984.400000000139698,993268.800000000046566,1029597.120000000111759,982446.369999999878928,891367.740000000107102,11053509.050000000745058
20100426,1118206.799999999813735,1105680.940000000176951,959189.040000000037253,1014541.500000000000000,1037941.320000000065193,1042585.449999999953434,917019.600000000093132,991453.999999999883585,1031182.740000000107102,981547.079999999958090,888085.840000000083819,11087444.310000000521541
20100427,1087129.719999999739230,1057536.219999999972060,939706.080000000074506,994820.700000000069849,1003808.520000000018626,1022014.020000000018626,910222.800000000046566,984613.599999999976717,1013740.920000000041910,954825.319999999832362,882178.420000000041910,10850606.320000000298023
20100428,1085387.080000000074506,1064325.860000000102445,940749.810000000055879,993999.000000000000000,1000964.119999999995343,1018074.810000000055879,915037.200000000069849,981961.199999999953434,1010041.140000000013970,959193.299999999813735,893665.070000000065193,10863408.589999999850988
20100429,1114721.520000000018626,1091793.040000000037253,957797.400000000023283,1019471.699999999953434,1011488.400000000023283,1028141.679999999934807,920559.600000000093132,998433.999999999883585,1024840.260000000125729,976665.219999999855645,896618.780000000027940,11040541.599999999627471
20100430,1083354.000000000000000,1050746.580000000074506,936922.800000000046566,1009063.500000000116415,1002101.879999999888241,999691.829999999958090,910506.000000000000000,985451.199999999953434,1003170.120000000111759,962918.929999999934807,886773.080000000074506,10830709.919999999925494
20100503,1105137.000000000000000,1079293.929999999934807,958145.310000000055879,1028784.300000000046566,1020306.039999999920838,1018074.810000000055879,925090.799999999930151,997038.000000000000000,1027482.960000000195578,980005.439999999944121,898587.920000000041910,11037956.509999999776483
20100504,1073188.600000000093132,1029297.490000000107102,924050.130000000004657,1002216.000000000116415,1007506.240000000107102,987436.509999999892898,916170.000000000000000,986149.199999999953434,1022197.560000000055879,952769.799999999813735,882178.420000000041910,10783169.950000001117587
20100505,1062151.879999999888241,1017878.549999999930151,923702.220000000088476,967978.500000000116415,1002386.320000000065193,970366.600000000093132,922400.400000000023283,986428.399999999906868,993656.400000000139698,945447.010000000009313,879881.090000000083819,10672287.370000001043081
20100506,1021780.719999999972060,979918.290000000037253,886823.760000000009313,931549.799999999930151,965978.000000000000000,941479.060000000055879,897762.000000000000000,969118.000000000000000,955601.520000000018626,915256.559999999823049,859533.310000000055879,10324811.020000001415610
20100507,978505.159999999916181,958314.890000000013970,859686.780000000027940,915115.799999999930151,950902.680000000051223,932725.259999999892898,896487.599999999976717,949434.400000000023283,932874.300000000046566,892388.899999999790452,865112.540000000037253,10131558.309999998658895
20100510,1053729.120000000111759,1029143.180000000051223,909090.000000000000000,966609.000000000000000,1003808.520000000018626,986998.820000000065193,916878.000000000000000,985311.599999999860302,1012683.840000000083819,938381.160000000032596,877911.950000000069849,10680555.189999999478459
20100511,1064475.399999999906868,1019575.959999999962747,903175.530000000027940,979482.299999999930151,1013479.480000000097789,975181.190000000060536,915745.200000000069849,983915.599999999976717,1010041.140000000013970,939537.389999999897555,871348.150000000139698,10675967.340000001713634
20100512,1087420.159999999683350,1051672.440000000176951,930312.510000000009313,962226.600000000093132,1020874.920000000041910,1010634.079999999958090,919002.000000000116415,986568.000000000000000,1028540.040000000153668,939794.329999999958090,880537.469999999972060,10817592.550000000745058
20100513,1072026.839999999850988,1032538.000000000000000,888215.400000000023283,951818.400000000023283,1003239.640000000130385,984810.369999999995343,915745.200000000069849,984194.799999999930151,998413.260000000125729,936068.699999999953434,880209.280000000027940,10647289.889999998733401
20100514,1053148.239999999757856,1001213.069999999948777,867688.710000000079162,932919.300000000046566,1001248.560000000055879,958111.280000000027940,905833.199999999953434,971491.199999999953434,974100.420000000041910,919624.539999999920838,874958.240000000107102,10460346.759999999776483
20100517,1054890.879999999888241,984238.970000000088476,865253.340000000083819,936753.900000000139698,1012341.720000000088476,963801.250000000000000,904558.800000000046566,979169.199999999953434,973043.340000000083819,912558.689999999944121,879552.900000000139698,10466172.990000000223517
20100518,1047048.999999999883585,975134.680000000051223,847509.930000000051223,923880.599999999976717,987879.879999999888241,937977.540000000037253,891673.199999999953434,977493.999999999883585,963529.620000000111759,908062.239999999990687,872004.530000000027940,10332205.219999998807907
20100519,1030493.919999999809079,948130.430000000051223,844030.830000000074506,914568.000000000000000,977924.480000000097789,945418.270000000018626,881053.199999999953434,968838.800000000046566,954544.439999999944121,890975.729999999864958,874958.240000000107102,10230946.339999999850988
20100520,986637.479999999864958,905386.560000000055879,810979.380000000004657,876222.000000000000000,935542.920000000041910,909965.380000000004657,857406.000000000000000,944548.399999999906868,929174.520000000018626,853462.489999999990687,851656.750000000000000,9860991.879999998956919
20100521,1005516.079999999841675,927298.580000000074506,816198.030000000027940,900325.199999999953434,939240.640000000130385,915217.660000000032596,862078.800000000046566,947340.399999999906868,943445.100000000093132,853590.959999999846332,857892.360000000102445,9968153.809999996796250
20100524,1023813.799999999930151,913873.609999999986030,813066.840000000083819,889643.099999999976717,944929.439999999944121,904713.100000000093132,857689.199999999953434,944548.399999999906868,942916.560000000055879,849608.389999999897555,843452.000000000000000,9928264.440000001341105
20100525,1017424.119999999995343,913719.300000000046566,810979.380000000004657,885260.700000000069849,966546.879999999888241,912591.520000000018626,854574.000000000000000,947061.199999999953434,963529.620000000111759,849993.799999999813735,840826.480000000097789,9962517.000000000000000
20100526,1012777.079999999841675,921743.420000000041910,796367.160000000032596,905803.200000000069849,968253.520000000018626,906026.169999999925494,844803.599999999976717,921514.400000000023283,958244.219999999972060,849865.329999999958090,826386.120000000111759,9911794.219999998807907
20100527,1051115.159999999683350,957697.650000000023283,823504.140000000130385,941410.199999999953434,982759.959999999962747,952421.310000000055879,835882.800000000046566,938126.799999999930151,976743.120000000111759,875045.449999999953434,846405.710000000079162,10181122.300000000745058
20100528,1065927.600000000093132,937637.349999999976717,805760.730000000097789,915389.700000000069849,963133.599999999976717,937539.850000000093132,825546.000000000000000,933520.000000000000000,956658.600000000093132,865667.139999999897555,844436.570000000065193,10051227.140000000596046
20100601,1082192.239999999757856,914645.160000000032596,800194.170000000041910,912924.599999999976717,954031.520000000018626,927035.290000000037253,832059.599999999976717,926400.399999999906868,940802.400000000139698,848580.629999999888241,834919.060000000055879,9973795.069999998435378
20100602,1095262.040000000037253,939180.450000000069849,812371.020000000135042,951544.500000000116415,963418.039999999920838,954609.759999999892898,845794.799999999930151,946083.999999999883585,964586.700000000069849,866694.899999999790452,846405.710000000079162,10185961.919999999925494
20100603,1091776.760000000242144,943038.200000000069849,825243.690000000060536,950722.800000000046566,950902.680000000051223,958548.969999999972060,846361.200000000069849,947200.799999999813735,973043.340000000083819,871705.229999999864958,848046.660000000032596,10206600.330000000074506
20100604,1062151.879999999888241,891344.349999999976717,798802.530000000027940,922785.000000000000000,914494.359999999986030,916968.419999999925494,821439.599999999976717,931146.799999999930151,934988.460000000195578,836889.859999999869615,834919.060000000055879,9865940.320000000298023
20100607,1041240.199999999953434,861562.520000000018626,791844.330000000074506,904981.500000000000000,897427.960000000079162,888956.259999999892898,821298.000000000000000,931844.799999999930151,919660.800000000046566,812223.619999999878928,830980.780000000027940,9702030.769999997690320
20100608,1034560.079999999841675,873598.700000000069849,798802.530000000027940,907994.400000000023283,904823.400000000023283,883266.290000000037253,830360.400000000023283,954599.599999999860302,928645.980000000097789,824942.149999999790452,849359.420000000041910,9790962.949999999254942
20100609,1009001.359999999986030,876684.900000000023283,792540.150000000023283,902242.500000000000000,903401.200000000069849,872324.040000000037253,823705.200000000069849,952924.400000000023283,924946.200000000069849,814793.019999999902211,852313.130000000004657,9724886.100000001490116
