訓練日期,20120216 - 20120518
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10165129.690000001341105
真實報酬,165129.690000001341105

夏普值報酬,0.007812969000000
夏普值風險,0.016067336529738
夏普值,0.486264103919124

預期報酬,9855.669104468055593
風險,147611.290379554237006
趨勢值,0.066767718642159
找到最佳解世代,55
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](3),HD[9](4),KO[14](1),MCD[15](26),MMM[16](19),MRK[17](16),NKE[19](11),PFE[20](2),PG[21](17),UNH[23](13),VZ[26](8),
20120229,933263.650000000023283,946081.680000000051223,928494.129999999888241,915266.730000000097789,915254.319999999832362,912676.500000000000000,920346.960000000079162,909951.280000000027940,952324.810000000172295,927896.590000000083819,915818.400000000023283,10177385.050000000745058
20120301,945262.250000000000000,943894.000000000000000,925038.599999999860302,914990.160000000032596,914105.039999999804422,903590.699999999953434,925804.880000000121072,925454.320000000065193,938805.130000000004657,931890.910000000149012,923508.000000000116415,10192353.990000000223517
20120302,935028.150000000023283,942899.599999999976717,919456.589999999967404,917294.910000000032596,914418.479999999864958,906938.099999999976717,927510.480000000097789,922009.200000000069849,938945.960000000079162,929394.460000000195578,929275.200000000186265,10183181.129999998956919
20120305,934675.250000000000000,942501.840000000083819,920254.019999999902211,921351.270000000018626,909612.399999999906868,919371.300000000046566,931603.920000000041910,925884.960000000079162,942889.200000000186265,916080.060000000055879,937205.100000000093132,10201439.319999998435378
20120306,912971.900000000023283,922613.840000000083819,913874.579999999958090,920890.320000000065193,887567.119999999878928,895222.199999999837019,915571.280000000027940,915980.240000000107102,941340.070000000181608,906427.120000000111759,929755.800000000046566,10062224.470000002533197
20120307,922323.750000000000000,942501.840000000083819,914406.199999999837019,923563.830000000074506,893000.079999999841675,892113.900000000023283,917618.000000000000000,920286.640000000130385,937678.490000000107102,905262.110000000102445,934081.200000000069849,10102846.039999999105930
20120308,934322.349999999976717,951053.680000000051223,920785.639999999897555,893878.650000000023283,905955.599999999860302,894265.799999999930151,920346.960000000079162,924162.400000000139698,942185.050000000162981,925566.570000000065193,942491.700000000069849,10155024.399999998509884
20120309,938733.599999999976717,956622.320000000065193,923975.359999999869615,892772.370000000111759,906895.919999999925494,899047.799999999930151,938085.200000000069849,925023.680000000051223,942607.540000000153668,928395.880000000121072,939608.100000000093132,10191777.769999999552965
20120312,931146.250000000000000,966367.440000000060536,932481.279999999911524,891112.949999999953434,914627.439999999944121,911002.799999999930151,933309.520000000018626,927607.520000000018626,953592.280000000027940,915747.200000000186265,944894.700000000069849,10221899.379999998956919
20120313,957260.849999999976717,977305.840000000083819,933810.329999999958090,892219.230000000097789,927269.519999999902211,915306.599999999976717,944566.480000000097789,947847.600000000093132,956268.050000000162981,920906.530000000027940,948739.500000000000000,10321510.529999999329448
20120314,990786.349999999976717,983868.880000000004657,933278.709999999962747,896920.920000000041910,928523.279999999911524,913871.999999999883585,940814.160000000032596,944402.480000000097789,955563.900000000023283,928395.880000000121072,948499.200000000069849,10364935.759999999776483
20120315,1000844.000000000000000,978499.120000000111759,934873.569999999948777,903835.170000000041910,940329.519999999902211,910046.400000000023283,944225.360000000102445,943541.200000000069849,953169.790000000153668,927230.870000000111759,950181.300000000046566,10386786.300000000745058
20120316,997844.349999999976717,975515.919999999925494,932481.279999999911524,900331.949999999953434,935732.399999999906868,909329.099999999976717,948659.920000000041910,944833.120000000111759,947114.100000000093132,925233.710000000195578,950902.200000000069849,10367988.050000000745058
20120319,1010548.750000000000000,971140.559999999939464,935671.000000000000000,900977.280000000027940,937613.039999999804422,905981.699999999953434,956164.560000000055879,942249.280000000027940,946550.780000000027940,934220.930000000167638,952824.600000000093132,10393952.480000000447035
20120320,1004196.549999999930151,982078.960000000079162,938329.099999999860302,900239.760000000125729,933538.319999999832362,902873.399999999906868,953094.480000000097789,938804.160000000149012,946550.780000000027940,911752.880000000121072,952344.000000000116415,10363812.390000000596046
20120321,1006666.849999999976717,990233.040000000037253,945240.160000000032596,891666.089999999967404,928941.199999999837019,901438.800000000046566,941837.520000000018626,937512.240000000107102,946409.950000000186265,898272.050000000046566,955948.500000000116415,10344176.400000002235174
20120322,1010901.649999999906868,988045.359999999986030,949227.309999999939464,883184.609999999986030,925388.879999999888241,899047.799999999930151,946613.200000000069849,935789.680000000051223,950916.510000000009313,896774.180000000167638,953064.900000000023283,10338964.080000000074506
20120323,1010195.849999999976717,985261.040000000037253,950024.739999999990687,880879.859999999986030,924239.599999999860302,908850.899999999906868,916253.520000000018626,939665.440000000060536,949649.040000000153668,893112.719999999972060,947297.700000000186265,10305440.410000000149012
20120326,1035075.299999999930151,996994.960000000079162,955606.750000000000000,893970.839999999967404,931135.279999999911524,924392.399999999790452,925804.880000000121072,954307.200000000069849,950071.530000000027940,917078.640000000130385,945135.000000000000000,10429582.779999999329448
20120327,1027311.500000000000000,995205.040000000037253,955340.939999999827705,897381.870000000111759,931344.239999999874271,927739.799999999813735,920005.840000000083819,968948.960000000079162,945705.800000000162981,922570.830000000074506,929034.900000000023283,10420599.720000000670552
20120328,1042133.300000000046566,992619.599999999976717,965707.529999999911524,894984.930000000051223,924135.119999999878928,916023.900000000023283,914547.920000000041910,965073.200000000069849,946269.120000000111759,922737.260000000009313,919422.900000000023283,10403664.780000001192093
20120329,1021488.650000000023283,992619.599999999976717,981124.509999999892898,900147.570000000065193,927478.479999999864958,908850.899999999906868,919664.720000000088476,965503.840000000200234,943734.180000000167638,967174.070000000065193,914857.200000000069849,10442653.719999998807907
20120330,1020959.299999999930151,1000574.800000000046566,983782.609999999869615,904388.309999999939464,932075.599999999860302,918175.799999999930151,924781.520000000018626,975408.560000000055879,946550.780000000027940,980987.760000000009313,918702.000000000000000,10506397.039999999105930
20120402,1023606.049999999930151,994210.640000000013970,985377.469999999972060,906785.250000000000000,932284.559999999939464,920805.899999999906868,929898.320000000065193,972824.720000000088476,951479.830000000074506,983983.500000000000000,925670.700000000186265,10526936.939999997615814
20120403,1030311.150000000023283,994409.520000000018626,980327.079999999958090,916373.010000000125729,927687.439999999944121,925826.999999999883585,937061.840000000083819,970671.520000000018626,944860.820000000181608,988643.540000000037253,924228.900000000139698,10540411.820000002160668
20120404,1012313.249999999883585,991426.320000000065193,976339.929999999818392,898672.530000000027940,917761.839999999967404,930369.899999999790452,933650.640000000130385,964211.920000000158325,947254.930000000167638,982984.920000000158325,922546.800000000162981,10477542.979999998584390
20120405,1025194.099999999976717,1006740.079999999958090,976605.739999999990687,909182.190000000060536,911806.479999999864958,929652.599999999976717,941496.400000000139698,962058.720000000088476,947959.080000000074506,982152.770000000018626,905004.900000000023283,10497863.060000000521541
20120409,1008607.799999999930151,1005944.559999999939464,968631.439999999827705,911579.130000000004657,901985.359999999869615,926066.099999999860302,943884.240000000107102,949570.160000000149012,940917.580000000074506,967673.360000000102445,900198.900000000139698,10425068.629999998956919
20120410,991315.699999999953434,981681.199999999953434,957201.609999999869615,900424.140000000013970,883701.359999999869615,919371.300000000046566,908066.640000000130385,946986.320000000065193,934439.400000000023283,958020.420000000158325,884339.099999999976717,10265557.189999999478459
20120411,1004902.349999999976717,989437.520000000018626,958530.660000000032596,908629.050000000046566,891746.319999999832362,920088.599999999860302,923075.920000000041910,945263.760000000009313,935706.870000000111759,965676.200000000186265,898276.500000000116415,10341343.750000000000000
20120412,1024135.399999999906868,1006938.960000000079162,959859.709999999962747,900147.570000000065193,907522.799999999930151,915067.500000000000000,926487.120000000111759,943971.840000000200234,930777.820000000181608,972999.120000000111759,902361.599999999976717,10390279.439999999478459
20120413,1010725.199999999953434,1013502.000000000000000,956138.369999999878928,893970.839999999967404,895298.639999999897555,903351.599999999976717,927851.600000000093132,940957.360000000102445,926834.580000000074506,966175.489999999990687,895392.900000000023283,10330208.580000001937151
20120416,1020429.949999999953434,1028020.239999999990687,962783.619999999878928,890375.430000000051223,902716.719999999972060,907416.300000000046566,932968.400000000139698,946555.680000000051223,940495.090000000083819,954691.820000000065193,899478.000000000116415,10385941.250000000000000
20120417,1026605.699999999953434,1034782.160000000032596,982985.179999999818392,895261.500000000000000,913687.119999999878928,920805.899999999906868,936720.720000000088476,960766.800000000046566,943875.010000000009313,967007.640000000130385,906927.300000000162981,10489435.029999999329448
20120418,1024135.399999999906868,1030406.800000000046566,985909.089999999967404,897381.870000000111759,910343.759999999892898,918175.799999999930151,942860.880000000121072,966795.760000000009313,940072.600000000093132,954026.100000000093132,905004.900000000023283,10475122.959999999031425
20120419,1015842.250000000000000,1025434.800000000046566,981124.509999999892898,878390.730000000097789,906895.919999999925494,917219.399999999906868,934674.000000000000000,962058.720000000088476,937537.660000000032596,977159.870000000111759,916779.600000000093132,10453127.459999999031425
20120420,1013724.849999999976717,1023446.000000000000000,985377.469999999972060,884475.270000000018626,914000.559999999939464,926066.099999999860302,944566.480000000097789,971532.800000000046566,950775.680000000167638,990474.270000000018626,930717.000000000000000,10535166.480000000447035
20120423,1011431.000000000000000,1016286.320000000065193,979529.650000000023283,877561.020000000018626,910343.759999999892898,915067.500000000000000,936038.480000000097789,963781.280000000027940,938664.300000000162981,985148.510000000009313,926872.200000000069849,10460734.019999999552965
20120424,1016900.950000000069849,1018871.760000000009313,985111.660000000032596,872029.620000000111759,924553.039999999804422,915067.500000000000000,910454.480000000097789,974547.280000000027940,943593.350000000093132,977326.300000000046566,949220.100000000093132,10487686.040000000968575
20120425,1039486.549999999930151,1032395.599999999976717,996009.869999999878928,877837.589999999967404,927791.919999999925494,918893.099999999976717,929898.320000000065193,985313.280000000027940,942044.220000000088476,979822.750000000000000,948739.500000000000000,10578242.699999999254942
20120426,1051485.149999999906868,1031600.079999999958090,1006110.650000000023283,883461.180000000051223,933224.879999999888241,919849.499999999883585,941155.280000000027940,993064.800000000046566,941762.560000000172295,971501.250000000000000,964599.300000000162981,10637824.630000000819564
20120427,1061719.250000000000000,1033191.120000000111759,1018603.719999999972060,897750.630000000004657,933642.799999999930151,919610.399999999906868,943543.120000000111759,993926.079999999958090,907540.870000000111759,963845.469999999972060,966762.000000000000000,10640145.460000000894070
20120430,1062425.049999999813735,1030009.040000000037253,1014350.759999999892898,898395.960000000079162,933642.799999999930151,938260.199999999953434,954117.840000000083819,986174.560000000055879,896274.470000000088476,934553.790000000037253,970366.500000000116415,10618580.969999998807907
20120501,1075835.250000000000000,1040549.680000000051223,1022590.869999999878928,896091.210000000079162,936150.319999999832362,941368.499999999883585,949342.160000000032596,981006.880000000121072,895288.660000000149012,950863.930000000167638,974691.900000000139698,10663789.360000001266599
20120502,1077246.850000000093132,1048306.000000000000000,1025514.779999999911524,898949.100000000093132,935314.479999999864958,939455.699999999953434,974585.040000000037253,975839.200000000069849,901062.690000000060536,943041.719999999972060,975653.100000000093132,10694978.660000000149012
20120503,1073894.299999999813735,1043532.880000000004657,1029236.119999999878928,894616.170000000041910,933956.239999999874271,936586.500000000000000,975608.400000000139698,973255.360000000102445,908526.680000000167638,927397.300000000046566,976614.300000000162981,10673234.250000001862645
20120504,1060484.100000000093132,1033390.000000000000000,1023388.299999999930151,883829.940000000060536,926433.679999999934807,928696.200000000069849,953435.600000000093132,963781.280000000027940,905287.590000000083819,910754.300000000046566,967482.900000000023283,10556973.890000002458692
20120507,1060484.100000000093132,1022053.840000000083819,1027109.639999999897555,880511.100000000093132,919538.000000000000000,921523.199999999953434,950365.520000000018626,966795.760000000009313,904865.100000000093132,919575.090000000083819,973971.000000000116415,10546802.349999999627471
20120508,1056778.649999999906868,1006740.079999999958090,1025248.969999999972060,862441.859999999986030,914836.399999999906868,923675.099999999976717,927169.360000000102445,965503.840000000200234,903597.630000000004657,929061.600000000093132,974451.599999999976717,10489515.089999999850988
20120509,1049191.299999999813735,996597.199999999953434,1020464.389999999897555,847507.080000000074506,911806.479999999864958,910763.700000000069849,922393.680000000051223,966795.760000000009313,896696.960000000079162,919075.800000000046566,967242.600000000093132,10408544.949999999254942
20120510,1048485.500000000000000,1006740.079999999958090,1028970.309999999939464,846953.940000000060536,910343.759999999892898,917936.699999999953434,917276.880000000121072,983160.079999999958090,903315.970000000088476,920240.810000000055879,974451.599999999976717,10457885.630000000819564
20120511,1052367.399999999906868,1001171.440000000060536,1029767.739999999990687,847230.510000000125729,906164.559999999939464,909329.099999999976717,923417.040000000037253,975408.560000000055879,896837.790000000037253,918742.940000000176951,989109.900000000023283,10449556.980000000447035
20120514,1030840.500000000000000,992022.960000000079162,1021793.439999999827705,837827.130000000004657,896761.359999999869615,913871.999999999883585,916594.640000000130385,972824.720000000088476,895429.490000000107102,918077.219999999972060,982621.800000000162981,10378675.259999999776483
20120515,1022370.899999999906868,967958.480000000097789,1017540.479999999981374,839025.600000000093132,896238.959999999962747,902395.199999999953434,914547.920000000041910,960336.160000000149012,897401.110000000102445,914415.760000000009313,986466.599999999976717,10318707.169999999925494
20120516,1012666.150000000023283,969947.280000000027940,1014616.569999999948777,842897.580000000074506,891746.319999999832362,914111.099999999860302,912501.200000000069849,974977.920000000158325,905428.420000000158325,913750.040000000037253,982381.500000000116415,10335034.080000001937151
20120517,981963.849999999976717,935143.280000000027940,998402.160000000032596,826211.190000000060536,881193.839999999967404,909329.099999999976717,889987.280000000027940,971532.800000000046566,900781.030000000144355,913417.180000000167638,994156.200000000069849,10202127.910000000149012
20120518,977552.599999999976717,935739.919999999925494,984314.229999999981374,828331.559999999939464,872522.000000000000000,904307.999999999883585,899197.520000000018626,971963.440000000060536,894584.510000000125729,898604.910000000149012,998001.000000000116415,10165129.690000001341105
