訓練日期,20181224 - 20190328
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11504127.669999996200204
真實報酬,1504127.669999996200204

夏普值報酬,0.141712767000000
夏普值風險,0.041825160096778
夏普值,3.388218160363186

預期報酬,25044.680736667905876
風險,95456.445636013944750
趨勢值,0.262367622948858
找到最佳解世代,64
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](11),AXP[1](5),CSCO[4](1),DIS[6](23),JNJ[12](16),KO[14](30),MRK[17](12),PG[21](9),TRV[22](2),V[25](6),VZ[26](26),XOM[29](3),
20190129,855168.600000000093132,921197.119999999878928,915171.319999999948777,886739.599999999976717,847904.199999999953434,830354.939999999944121,837105.229999999981374,856874.200000000069849,896229.799999999930151,905355.439999999944121,808449.280000000027940,874802.869999999995343,10435356.599999997764826
20190130,913599.560000000055879,936799.159999999916181,930105.319999999948777,880583.449999999953434,856425.749999999883585,838413.219999999972060,838705.570000000065193,865851.000000000000000,903840.599999999976717,922791.039999999920838,819373.839999999967404,884344.609999999986030,10590837.119999999180436
20190131,920177.880000000004657,937072.880000000004657,941654.279999999911524,891696.500000000000000,865792.949999999953434,843143.080000000074506,850822.430000000051223,883713.000000000000000,901399.400000000023283,905422.499999999883585,835457.219999999972060,896455.279999999911524,10672811.400000000372529
20190201,920620.120000000111759,940357.520000000018626,942649.880000000004657,889937.599999999976717,873078.549999999813735,853128.340000000083819,873913.050000000046566,892873.000000000000000,908220.399999999906868,939891.339999999967404,827718.989999999874271,928750.399999999906868,10791143.189999999478459
20190204,946767.560000000055879,943642.159999999916181,942849.000000000000000,893935.099999999976717,864491.949999999953434,862763.239999999990687,878714.070000000065193,898002.600000000093132,904989.400000000023283,948944.439999999944121,819980.760000000009313,915294.099999999860302,10820378.379999998956919
20190205,962964.600000000093132,948021.680000000051223,941056.919999999925494,900810.799999999930151,864491.949999999953434,862938.419999999925494,881914.750000000000000,892598.200000000069849,905994.599999999976717,955851.619999999995343,821498.059999999939464,924713.510000000009313,10862859.109999999403954
20190206,963296.280000000144355,957693.119999999878928,945437.559999999823049,890817.049999999930151,865272.549999999930151,862938.419999999925494,884658.189999999944121,896995.000000000116415,901471.199999999953434,948877.380000000004657,816187.510000000009313,920676.619999999995343,10854324.879999998956919
20190207,945053.880000000004657,952492.439999999944121,929906.199999999953434,887139.349999999976717,859092.800000000046566,865741.300000000046566,878142.519999999902211,889850.200000000069849,910159.000000000000000,940025.459999999846332,812849.449999999953434,913581.479999999981374,10784038.079999998211861
20190208,942124.040000000037253,953678.559999999939464,939663.079999999841675,891616.550000000046566,861369.549999999930151,867142.739999999990687,886144.219999999972060,895071.400000000023283,903194.400000000023283,941433.719999999855645,818615.190000000060536,905018.380000000004657,10805075.830000000074506
20190211,936706.600000000093132,961798.919999999925494,947428.759999999892898,875066.899999999906868,858767.549999999930151,869069.719999999972060,876885.109999999869615,900201.000000000000000,900537.799999999930151,944250.239999999990687,820132.489999999874271,906486.339999999850988,10797335.429999997839332
20190212,944777.479999999981374,976306.079999999958090,953601.479999999981374,873148.099999999976717,872818.349999999860302,869945.619999999878928,897575.219999999972060,909269.400000000139698,913749.000000000000000,952230.380000000004657,825746.500000000000000,922389.239999999990687,10911560.850000001490116
20190213,940852.600000000093132,981415.520000000018626,945835.799999999930151,881143.099999999976717,874704.799999999813735,872222.959999999962747,903290.719999999972060,909086.199999999953434,919349.399999999906868,962289.380000000004657,826656.879999999888241,932787.289999999920838,10949638.649999998509884
20190214,944279.960000000079162,972838.959999999962747,963756.599999999860302,884820.799999999930151,873794.099999999976717,798647.360000000102445,902376.239999999990687,901941.400000000023283,911379.599999999976717,960076.399999999906868,819829.030000000027940,933031.949999999837019,10866776.399999998509884
20190215,942179.319999999948777,979773.199999999953434,984265.959999999962747,900251.150000000023283,887259.449999999953434,792516.060000000055879,912321.209999999962747,902124.600000000093132,924375.400000000023283,971811.899999999906868,836974.519999999902211,950647.469999999855645,10984504.240000002086163
20190219,944998.600000000093132,971744.079999999958090,988646.599999999860302,907606.550000000046566,882770.999999999883585,785333.679999999934807,905805.539999999920838,915956.199999999953434,926960.199999999953434,968660.079999999958090,841222.959999999962747,957008.630000000004657,10996718.119999999180436
20190220,951079.400000000023283,974298.799999999930151,988248.359999999986030,908965.700000000069849,887064.299999999930151,790063.540000000037253,907977.430000000051223,909452.600000000093132,931555.400000000023283,970604.819999999832362,846078.319999999948777,960678.529999999911524,11026071.200000001117587
20190221,945717.240000000107102,972747.719999999972060,983867.719999999855645,913842.650000000023283,881014.649999999906868,803377.219999999972060,912549.829999999958090,914032.600000000093132,932129.799999999930151,965709.439999999944121,851995.789999999920838,951993.099999999860302,11028981.759999997913837
20190222,956275.720000000088476,980320.639999999897555,997806.119999999878928,921517.849999999976717,888690.549999999930151,793216.780000000027940,923294.969999999972060,918337.800000000046566,940745.800000000046566,978249.660000000032596,863679.000000000000000,959332.899999999906868,11121471.789999999105930
20190225,963241.000000000000000,975667.400000000023283,1011346.279999999911524,908246.150000000023283,886088.549999999813735,787260.659999999916181,918836.879999999888241,912109.000000000000000,951300.400000000023283,979523.799999999930151,861554.780000000027940,960311.539999999920838,11115490.439999997615814
20190226,963793.800000000162981,975758.639999999897555,1019111.959999999962747,907526.599999999976717,885503.099999999976717,782881.159999999916181,922952.039999999920838,914490.599999999976717,956900.800000000046566,986095.679999999934807,859430.559999999939464,962268.819999999832362,11136717.759999999776483
20190227,966778.920000000041910,980138.159999999916181,1027275.880000000004657,901770.199999999953434,883941.899999999906868,787260.659999999916181,921580.320000000065193,906063.400000000023283,952233.799999999930151,987302.759999999892898,860644.399999999906868,972177.549999999930151,11147171.950000002980232
20190228,957270.760000000125729,983057.839999999967404,1030860.040000000037253,902249.900000000023283,888950.749999999883585,794267.860000000102445,929239.090000000083819,902765.800000000046566,954315.999999999883585,993338.160000000032596,863679.000000000000000,966795.029999999911524,11166794.229999998584390
20190301,967331.720000000088476,993641.680000000051223,1023691.719999999855645,911604.050000000046566,900074.299999999930151,794968.580000000074506,933354.250000000000000,901758.200000000069849,955177.599999999976717,1002391.259999999892898,864285.919999999925494,978661.039999999920838,11226944.319999998435378
20190304,972196.359999999986030,994554.079999999958090,1018713.719999999855645,914162.449999999953434,900919.949999999837019,799698.439999999944121,930153.570000000065193,905697.000000000116415,948859.199999999953434,992265.199999999953434,853361.359999999986030,982453.269999999902211,11213038.599999999627471
20190305,970427.400000000023283,993185.479999999864958,1021501.399999999906868,911524.099999999976717,902806.400000000023283,798822.540000000037253,933925.800000000046566,907712.200000000069849,952736.399999999906868,992198.139999999897555,850933.679999999934807,980985.309999999939464,11216762.850000001490116
20190306,964844.120000000111759,994371.599999999976717,1028868.839999999967404,918319.849999999976717,904888.000000000000000,796194.840000000083819,923180.660000000032596,906246.600000000093132,946346.200000000069849,991259.299999999930151,844864.479999999981374,969853.279999999911524,11189241.769999999552965
20190307,953677.560000000055879,984152.719999999972060,1021302.279999999911524,911604.050000000046566,899358.750000000000000,793216.780000000027940,919637.050000000046566,902765.800000000046566,944120.400000000023283,984687.420000000041910,854271.739999999874271,980618.319999999832362,11149416.870000001043081
20190308,955944.040000000037253,985247.599999999976717,1016921.639999999897555,910005.050000000046566,898187.849999999976717,785508.860000000102445,912206.899999999906868,901483.400000000023283,940745.800000000046566,988174.539999999920838,857761.530000000027940,966550.369999999995343,11118741.579999998211861
20190311,989056.760000000125729,999663.520000000018626,1033846.839999999967404,917520.349999999976717,901440.349999999976717,808982.979999999981374,924438.070000000065193,912200.599999999976717,946848.799999999930151,1010438.459999999846332,873693.179999999934807,975969.779999999911524,11294103.689999999478459
20190312,1000168.040000000037253,1007601.400000000023283,1038426.599999999860302,917360.449999999953434,905473.449999999953434,806705.639999999897555,928553.229999999981374,916505.800000000046566,952951.799999999930151,1017546.819999999832362,871417.229999999981374,978661.039999999920838,11341375.500000000000000
20190313,1004590.440000000060536,1023203.439999999944121,1047187.880000000004657,912243.650000000023283,906969.599999999860302,809683.699999999953434,932782.699999999953434,926856.600000000093132,954962.199999999953434,1022509.259999999892898,874907.019999999902211,987346.469999999855645,11403246.959999999031425
20190314,1015757.000000000000000,1025119.479999999864958,1050174.680000000167638,915361.699999999953434,897927.650000000023283,800574.340000000083819,931525.289999999920838,928139.000000000000000,955393.000000000000000,1034110.639999999897555,879307.190000000060536,984043.559999999939464,11417437.530000001192093
20190315,1028968.920000000041910,1035794.559999999939464,1059334.200000000186265,919199.299999999930151,895195.549999999930151,793567.139999999897555,932439.769999999902211,938398.200000000069849,963434.599999999976717,1042560.199999999953434,885983.309999999939464,980495.989999999990687,11475375.740000000223517
20190318,1039472.120000000111759,1036068.279999999911524,1065506.919999999925494,904488.500000000000000,892398.399999999906868,795494.119999999878928,929924.949999999953434,929879.400000000139698,968891.399999999906868,1039207.199999999953434,881127.949999999953434,991872.679999999934807,11474335.919999998062849
20190319,1031235.400000000023283,1028039.159999999916181,1061524.520000000018626,879544.099999999976717,900659.749999999883585,798121.820000000065193,936326.309999999939464,933451.800000000046566,954459.599999999976717,1036725.979999999981374,872479.339999999967404,989303.750000000000000,11421875.529999999329448
20190320,1040246.040000000037253,1010703.559999999939464,1060528.919999999925494,879464.149999999906868,893178.999999999883585,797596.280000000027940,938269.579999999958090,931803.000000000000000,942971.600000000093132,1031092.939999999944121,875058.750000000000000,994808.599999999860302,11395726.419999999925494
20190321,1078555.080000000074506,1020283.759999999892898,1074069.080000000074506,868830.799999999930151,898448.049999999930151,797245.919999999925494,948214.550000000046566,938856.199999999953434,964798.799999999930151,1044840.239999999990687,884466.010000000009313,1000558.109999999986030,11519170.599999999627471
20190322,1056221.960000000195578,998751.119999999878928,1050174.680000000167638,865392.949999999953434,890707.099999999860302,804603.479999999981374,940670.090000000083819,931253.400000000023283,968604.199999999953434,1026532.859999999869615,906770.319999999948777,984532.880000000004657,11424219.039999999105930
20190325,1043452.280000000144355,994919.040000000037253,1049975.560000000055879,861875.150000000023283,888755.599999999976717,806355.280000000027940,941355.949999999953434,934001.400000000023283,968963.199999999837019,1026264.619999999995343,911625.679999999934807,977682.399999999906868,11405230.160000000149012
20190326,1032672.680000000051223,999116.079999999958090,1059931.560000000055879,880663.400000000023283,901505.399999999906868,817041.260000000009313,947871.619999999995343,943711.000000000000000,969178.599999999860302,1041487.239999999990687,919970.829999999958090,990404.719999999855645,11503558.390000000596046
20190327,1041959.720000000088476,994371.599999999976717,1058139.479999999981374,881782.699999999953434,902351.049999999813735,816515.719999999972060,940670.090000000083819,942611.800000000046566,979015.199999999953434,1034244.759999999892898,923764.079999999958090,982820.260000000009313,11498250.459999999031425
20190328,1043341.720000000088476,996013.919999999925494,1062520.120000000111759,885220.549999999930151,903521.949999999953434,815990.179999999934807,944556.629999999888241,948565.800000000046566,982964.199999999953434,1037262.459999999846332,896452.679999999934807,987713.459999999846332,11504127.669999996200204
