訓練日期,20100310 - 20100610
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9903203.910000000149012
真實報酬,-96796.089999999850988

夏普值報酬,-0.018379609000000
夏普值風險,0.036386353284790
夏普值,-0.505123688987074

預期報酬,5882.578132813745469
風險,450981.777653094031848
趨勢值,0.013043937525429
找到最佳解世代,93
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](1),AXP[1](8),CVX[5](10),DD[7](28),HD[9](3),IBM[10](9),JPM[13](23),MCD[15](2),MSFT[18](21),NKE[19](4),TRV[22](19),
20100318,915652.590000000083819,938857.399999999906868,914718.100000000093132,933340.169999999925494,929751.119999999878928,929579.199999999953434,935234.599999999976717,931153.120000000228174,934657.650000000023283,985067.280000000027940,905865.700000000069849,10253886.929999999701977
20100319,905951.369999999995343,923515.739999999874271,917409.800000000046566,900788.139999999897555,928603.279999999911524,924728.399999999906868,931162.900000000023283,929058.520000000135042,934026.349999999976717,969766.299999999930151,907223.300000000046566,10172244.100000001490116
20100322,916223.250000000000000,940689.239999999874271,911047.599999999976717,920668.909999999916181,937499.040000000037253,926683.200000000069849,937377.599999999976717,935761.240000000107102,934342.000000000000000,974514.879999999888241,906035.400000000023283,10240852.360000001266599
20100323,930775.079999999958090,944352.919999999925494,914840.449999999953434,932466.289999999920838,935203.360000000102445,936746.800000000046566,955378.799999999813735,940509.000000000000000,943180.199999999953434,982429.180000000051223,914690.099999999976717,10330582.179999999701977
20100324,935055.030000000027940,939086.379999999888241,904563.050000000046566,944700.609999999986030,927455.439999999944121,930665.199999999953434,963093.599999999860302,932828.800000000046566,935920.250000000000000,968183.440000000060536,917405.300000000046566,10298967.099999999627471
20100325,923927.160000000032596,948474.559999999939464,902972.500000000000000,929626.179999999934807,936064.239999999874271,935805.600000000093132,963093.599999999860302,934225.200000000186265,947283.650000000023283,970293.920000000041910,917744.699999999953434,10309521.309999998658895
20100326,941332.290000000037253,941605.159999999799766,910680.550000000046566,935306.400000000023283,939794.719999999972060,935950.399999999906868,964808.000000000000000,939252.240000000107102,936235.900000000023283,974514.879999999888241,922326.599999999976717,10341817.139999998733401
20100329,947324.220000000088476,949848.439999999827705,920468.550000000046566,918484.209999999962747,935490.320000000065193,931099.599999999976717,961379.199999999837019,936599.079999999958090,934026.349999999976717,975570.119999999878928,929284.299999999930151,10339584.390000000596046
20100330,961305.389999999897555,945497.819999999832362,921325.000000000000000,925912.190000000060536,938072.959999999962747,932402.800000000046566,955378.799999999813735,938972.960000000079162,939708.049999999930151,973459.639999999897555,915199.199999999953434,10347244.809999998658895
20100331,957881.430000000051223,944810.879999999888241,927809.549999999930151,920013.500000000000000,928316.320000000065193,928638.000000000000000,959021.899999999906868,931711.680000000051223,924556.849999999976717,969766.299999999930151,915368.899999999906868,10307905.310000000521541
20100401,961876.050000000046566,954886.000000000000000,938331.650000000023283,942952.849999999860302,929177.200000000069849,928638.000000000000000,968236.799999999930151,943720.720000000088476,920453.400000000023283,976097.739999999990687,915029.500000000000000,10379409.910000000149012
20100405,972147.930000000051223,977097.059999999939464,950199.599999999976717,964144.440000000060536,937212.079999999841675,936602.000000000000000,971665.599999999976717,950004.520000000135042,923925.549999999930151,977680.600000000093132,905017.199999999953434,10465706.579999998211861
20100406,976427.880000000004657,987401.159999999799766,952891.299999999930151,969387.719999999855645,934055.519999999902211,933561.200000000069849,982380.599999999976717,946932.440000000176951,925503.800000000046566,975042.500000000000000,892459.400000000023283,10476053.519999999552965
20100407,980707.829999999958090,970227.659999999799766,946651.450000000069849,958027.280000000027940,935777.279999999911524,930303.199999999953434,971236.999999999883585,945396.400000000139698,926450.750000000000000,970821.539999999920838,890932.099999999976717,10426542.490000000223517
20100408,978139.859999999986030,1000453.019999999902211,950199.599999999976717,956061.049999999930151,946107.839999999967404,924004.400000000023283,980666.199999999837019,960198.240000000107102,944442.800000000046566,976097.739999999990687,886859.299999999930151,10503240.050000002607703
20100409,985558.439999999944121,1004803.640000000013970,972712.000000000000000,957590.339999999967404,954142.719999999972060,932330.399999999906868,985380.799999999813735,959081.120000000228174,957700.099999999976717,991926.340000000083819,889235.099999999976717,10590470.999999998137355
20100412,987555.750000000000000,1019916.319999999832362,984090.550000000046566,956497.989999999990687,960742.799999999930151,929434.400000000139698,988809.599999999976717,956986.520000000135042,957068.800000000046566,996147.299999999930151,882786.500000000000000,10620046.530000001192093
20100413,988126.410000000032596,1030220.419999999925494,981398.849999999976717,952128.589999999967404,985421.360000000102445,934285.199999999953434,983023.499999999883585,962432.480000000097789,961172.250000000000000,996147.299999999930151,886180.500000000000000,10660546.860000001266599
20100414,1001536.920000000041910,1063880.479999999981374,985925.799999999930151,970698.539999999920838,1003786.799999999930151,950358.000000000000000,1022883.299999999813735,969414.480000000097789,972851.300000000046566,999840.639999999897555,897889.799999999930151,10839076.060000002384186
20100415,1014662.100000000093132,1068689.060000000055879,998283.150000000023283,974412.530000000027940,1008378.160000000032596,947751.599999999860302,1024597.699999999953434,965783.840000000083819,974429.550000000046566,997730.160000000032596,897380.700000000069849,10872108.549999998882413
20100416,1008384.840000000083819,1032739.199999999953434,988005.750000000000000,950162.359999999986030,1004647.679999999934807,945869.199999999953434,976165.899999999790452,963968.520000000135042,968116.550000000046566,991398.719999999972060,884822.900000000023283,10714291.620000001043081
20100419,1007243.519999999902211,1047851.879999999888241,994979.699999999953434,957371.869999999995343,1009239.040000000037253,957453.199999999953434,972737.099999999976717,976396.480000000097789,979795.599999999976717,997202.539999999920838,902641.399999999906868,10802922.330000000074506
20100420,996971.639999999897555,1057927.000000000000000,1003911.250000000000000,944700.609999999986030,1009526.000000000000000,939063.599999999976717,983237.799999999930151,982261.360000000102445,989896.400000000023283,1007227.319999999948777,902302.000000000000000,10817034.980000000447035
20100421,1056605.609999999869615,1053118.419999999925494,1002320.700000000069849,942952.849999999860302,1012108.640000000013970,933995.600000000093132,971879.899999999906868,982540.640000000130385,988949.449999999953434,1011975.900000000023283,896023.099999999976717,10852480.810000000521541
20100422,1086279.930000000167638,1070978.859999999869615,993511.500000000000000,942078.969999999855645,1025021.839999999967404,935009.199999999953434,958807.599999999976717,991896.520000000135042,990843.349999999976717,1032025.459999999962747,912823.399999999906868,10939286.630000000819564
20100423,1103970.390000000130385,1100288.299999999813735,1011496.950000000069849,969387.719999999855645,1044248.160000000032596,941235.600000000093132,963093.599999999860302,993572.200000000186265,977270.400000000023283,1027804.500000000000000,905865.700000000069849,11038243.519999997690320
20100426,1098549.120000000111759,1079451.119999999878928,1010518.150000000023283,974849.469999999855645,1047117.760000000009313,946593.199999999953434,940592.099999999976717,991756.880000000004657,982005.150000000023283,1029387.360000000102445,881089.500000000000000,10981919.809999998658895
20100427,1068018.810000000055879,1048538.819999999832362,981643.550000000046566,935524.869999999995343,1012682.559999999939464,932764.799999999930151,908875.699999999837019,984914.520000000135042,973798.250000000000000,1011975.900000000023283,857501.199999999953434,10716248.979999998584390
20100428,1066306.830000000074506,1055179.239999999757856,986415.200000000069849,990360.839999999967404,1009812.959999999962747,942032.000000000000000,931377.199999999953434,982261.360000000102445,975692.150000000023283,1008282.559999999939464,867513.499999999883585,10815243.840000001713634
20100429,1095125.160000000149012,1089984.199999999953434,1006847.650000000023283,989923.900000000023283,1020430.479999999981374,944638.400000000023283,942949.399999999906868,998738.880000000004657,978533.000000000000000,1023055.920000000041910,872604.500000000000000,10962841.490000000223517
20100430,1064309.520000000018626,1056095.159999999916181,996447.900000000023283,959119.629999999888241,1010960.799999999930151,934068.000000000000000,912518.799999999813735,985752.360000000102445,964013.099999999976717,1001423.500000000000000,861064.900000000023283,10745783.669999999925494
20100503,1085709.270000000018626,1080825.000000000000000,1013454.549999999930151,977471.109999999986030,1029326.239999999874271,938412.000000000000000,932877.299999999930151,997342.480000000097789,974113.900000000023283,1025694.020000000018626,869040.800000000046566,10924276.669999999925494
20100504,1054322.970000000204891,1050141.679999999934807,988128.100000000093132,911930.109999999986030,1016413.040000000037253,927696.800000000046566,910161.499999999883585,986450.560000000055879,951071.449999999953434,1020417.819999999948777,848507.099999999976717,10665251.129999998956919
20100505,1043480.430000000051223,1017397.539999999920838,981154.150000000023283,883965.949999999953434,1011247.760000000009313,922918.399999999906868,913590.299999999930151,986729.840000000083819,942233.250000000000000,991926.340000000083819,859028.499999999883585,10553682.460000000894070
20100506,1003819.559999999939464,973204.399999999906868,944571.500000000000000,830003.859999999986030,974516.880000000004657,897288.800000000046566,874587.699999999953434,969414.480000000097789,914771.700000000069849,953937.699999999953434,845113.099999999976717,10181239.679999999701977
20100507,961305.389999999897555,929698.199999999953434,943347.999999999883585,793300.900000000023283,959308.000000000000000,884112.000000000000000,873516.199999999837019,949725.240000000107102,890466.650000000023283,931250.039999999920838,835949.299999999930151,9951989.920000001788139
20100510,1035205.859999999986030,986714.219999999972060,977483.650000000023283,853817.089999999967404,1012682.559999999939464,914302.799999999930151,899017.900000000023283,985612.720000000088476,913509.100000000093132,1010920.660000000032596,850034.400000000023283,10439310.960000000894070
20100511,1045763.069999999948777,992209.739999999874271,975159.000000000000000,867799.169999999925494,1022439.200000000069849,918791.599999999976717,890445.899999999790452,984216.320000000181608,911615.199999999953434,1008282.559999999939464,844773.699999999953434,10461505.459999999031425
20100512,1068304.140000000130385,1009841.199999999953434,979563.599999999976717,897074.150000000023283,1029900.160000000032596,960711.200000000069849,893446.099999999860302,986869.480000000097789,929291.600000000093132,1026749.260000000009313,851731.399999999906868,10633492.290000000968575
20100513,1053181.649999999906868,980302.779999999911524,965615.700000000069849,903846.719999999855645,1012108.640000000013970,952023.199999999953434,874587.699999999953434,984495.600000000093132,922978.599999999976717,996674.920000000041910,851392.000000000000000,10497217.509999999776483
20100514,1034635.199999999953434,930614.119999999878928,952279.549999999930151,850540.039999999920838,1010099.920000000041910,949923.599999999976717,854872.099999999976717,971788.360000000102445,913193.449999999953434,972404.400000000023283,850543.499999999883585,10290904.240000000223517
20100517,1036347.180000000051223,943894.959999999846332,951056.050000000046566,836994.900000000023283,1021291.360000000102445,944493.599999999976717,853800.599999999976717,979468.560000000055879,913509.100000000093132,971349.160000000032596,850543.499999999883585,10302758.969999998807907
20100518,1028643.269999999902211,912295.719999999972060,940289.249999999883585,831751.619999999995343,996612.799999999930151,940945.999999999883585,836228.000000000000000,977792.880000000004657,902777.000000000000000,961852.000000000000000,845622.199999999953434,10174820.739999998360872
20100519,1012379.459999999962747,919852.059999999939464,937230.499999999883585,825852.929999999934807,986569.200000000069849,933054.400000000139698,843942.799999999930151,969135.200000000186265,891413.599999999976717,952882.459999999962747,850882.900000000023283,10123205.509999999776483
20100520,969294.630000000004657,884360.159999999799766,900525.499999999883585,799636.530000000027940,943812.160000000032596,896420.000000000000000,810726.299999999813735,944837.840000000083819,855745.150000000023283,927556.699999999953434,821694.500000000000000,9754619.469999998807907
20100521,987841.079999999958090,911837.759999999892898,911292.300000000046566,823668.229999999981374,947542.640000000013970,908148.800000000046566,858300.899999999790452,947630.640000000130385,847222.599999999976717,941802.440000000060536,835440.199999999953434,9920737.589999997988343
20100524,1005816.869999999995343,893977.319999999832362,898567.900000000023283,804661.339999999967404,953281.839999999967404,901126.000000000000000,827655.999999999883585,944837.840000000083819,829230.549999999930151,941274.819999999948777,822882.400000000023283,9823322.879999998956919
20100525,999539.609999999986030,893061.399999999906868,887923.449999999953434,833499.379999999888241,975090.799999999930151,901632.799999999930151,834513.599999999860302,947351.360000000102445,822917.550000000046566,961852.000000000000000,825937.000000000000000,9883328.949999999254942
20100526,994974.329999999958090,874056.059999999939464,875443.750000000000000,825197.520000000018626,976812.559999999939464,892293.200000000069849,831084.799999999930151,921797.240000000107102,789458.650000000023283,956575.799999999930151,814567.099999999976717,9752271.009999999776483
20100527,1032637.889999999897555,923515.739999999874271,909824.099999999976717,873260.919999999925494,991447.519999999902211,915171.599999999976717,866230.000000000000000,938414.400000000139698,820708.000000000000000,975042.500000000000000,843925.199999999953434,10090187.869999999180436
20100528,1047189.720000000088476,912982.659999999799766,903828.950000000069849,837213.369999999995343,971647.279999999911524,906990.400000000023283,848228.799999999813735,933806.280000000144355,814395.000000000000000,954992.940000000060536,839513.000000000000000,9970798.400000000372529
20100601,1063168.199999999720603,897412.019999999902211,884497.650000000023283,796577.949999999953434,962464.559999999939464,900329.599999999976717,825941.599999999860302,926684.640000000130385,817235.849999999976717,939164.340000000083819,824749.099999999976717,9838235.509999997913837
20100602,1076008.049999999813735,938170.459999999846332,907010.049999999930151,823231.289999999920838,971934.239999999874271,922556.400000000023283,847585.899999999790452,946373.880000000004657,835227.900000000023283,962907.239999999990687,844773.699999999953434,10075789.109999999403954
20100603,1072584.090000000316650,928324.319999999832362,904318.349999999976717,811433.909999999916181,959308.000000000000000,926538.399999999906868,837942.399999999906868,947491.000000000000000,847853.900000000023283,971349.160000000032596,843755.500000000000000,10050909.030000001192093
20100604,1043480.430000000051223,879551.579999999841675,872140.300000000046566,772764.719999999855645,922577.119999999878928,907135.199999999953434,806225.999999999883585,931432.400000000139698,814079.349999999976717,933360.520000000018626,824918.799999999930151,9707676.419999999925494
20100607,1022936.670000000041910,863522.979999999981374,872996.749999999883585,760311.929999999934807,905359.520000000018626,898809.199999999953434,786938.999999999883585,932130.600000000093132,798296.849999999976717,918059.539999999920838,819149.000000000000000,9578522.039999999105930
20100608,1016374.079999999958090,880009.539999999920838,868959.199999999953434,782595.869999999995343,912820.479999999981374,895840.800000000046566,809654.799999999930151,954891.920000000041910,792615.150000000023283,927029.079999999958090,833064.400000000023283,9673865.320000000298023
20100609,991265.040000000037253,872682.179999999934807,866145.150000000023283,791553.139999999897555,911385.680000000051223,897144.000000000000000,795510.999999999883585,953216.240000000107102,782514.349999999976717,923335.739999999990687,827973.399999999906868,9612735.919999999925494
20100610,1021224.689999999944121,916646.339999999967404,907499.450000000069849,821046.589999999967404,938933.839999999967404,924511.200000000069849,820584.099999999860302,968716.280000000144355,789143.000000000000000,946551.020000000018626,848337.400000000023283,9903203.910000000149012
