訓練日期,20100308 - 20100608
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9655517.800000000745058
真實報酬,-344482.199999999254942

夏普值報酬,-0.043148220000000
夏普值風險,0.033076497559824
夏普值,-1.304497851441482

預期報酬,6924.331276143711875
風險,402572.544446819985751
趨勢值,0.017200207444992
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),BA[2](11),CVX[5](8),DIS[6](7),HD[9](3),JNJ[12](19),MMM[16](12),NKE[19](4),TRV[22](22),UTX[24](16),
20100316,1024935.820000000065193,1011629.589999999850988,995693.440000000176951,1015954.060000000055879,1023584.499999999883585,1007651.349999999976717,990538.599999999976717,1030444.960000000195578,979792.490000000107102,1016140.250000000116415,10096365.059999998658895
20100317,1023657.060000000055879,1021345.449999999837019,1004979.460000000079162,1015954.060000000055879,1022641.119999999995343,1009525.150000000023283,996846.200000000186265,1037470.720000000088476,982387.950000000069849,1013192.900000000023283,10128000.070000000298023
20100318,1025894.890000000013970,1043279.739999999874271,1006190.680000000167638,1016857.120000000111759,1018867.599999999860302,1015927.299999999930151,1014919.900000000023283,1093091.320000000298023,989618.160000000149012,1017543.750000000000000,10242190.460000000894070
20100319,1015025.429999999934807,1041071.589999999850988,1009151.440000000176951,1012642.840000000083819,1017609.759999999892898,1016708.049999999930151,994177.599999999976717,1076112.400000000139698,991101.280000000144355,1027929.649999999906868,10201530.039999999105930
20100322,1026534.269999999902211,1058589.579999999608845,1002153.280000000027940,1021974.460000000195578,1027358.020000000018626,1016551.899999999790452,992722.000000000116415,1081381.719999999972060,989803.550000000046566,1019087.599999999976717,10236156.379999998956919
20100323,1042838.459999999846332,1062564.250000000000000,1006325.260000000009313,1023780.579999999958090,1024842.340000000083819,1020611.799999999930151,998908.299999999930151,1090163.920000000158325,999258.440000000060536,1025824.400000000023283,10295117.750000000000000
20100324,1047633.810000000055879,1064625.189999999944121,995020.540000000153668,1035219.340000000083819,1016351.919999999925494,1011086.649999999906868,989932.100000000093132,1074355.960000000195578,1002224.680000000167638,1025122.650000000139698,10261572.839999999850988
20100325,1035165.900000000023283,1067127.759999999776483,993271.000000000000000,1056290.740000000223517,1025785.719999999855645,1008275.949999999837019,981683.700000000186265,1076697.880000000121072,1002595.460000000079162,1028350.699999999953434,10275244.810000000521541
20100326,1054666.989999999990687,1068599.859999999869615,1001749.540000000153668,1062913.180000000167638,1029873.699999999953434,1005309.099999999860302,982532.800000000046566,1081381.719999999972060,1007600.990000000107102,1033262.950000000069849,10327890.829999998211861
20100329,1061380.479999999981374,1090975.779999999795109,1012515.940000000176951,1058397.879999999888241,1025156.800000000046566,1012179.699999999837019,986899.600000000093132,1082552.680000000167638,1015201.980000000097789,1038596.250000000000000,10383857.089999999850988
20100330,1077045.289999999804422,1082437.600000000093132,1013458.000000000000000,1056591.760000000009313,1027986.939999999827705,1013428.900000000023283,1022319.200000000069849,1080210.760000000009313,999814.610000000102445,1040420.799999999930151,10413713.859999999403954
20100331,1073209.010000000009313,1068894.279999999795109,1020590.740000000107102,1050872.379999999888241,1017295.300000000046566,1018113.399999999906868,1013706.899999999906868,1076112.400000000139698,1000000.000000000000000,1033122.599999999976717,10371917.009999999776483
20100401,1077684.669999999925494,1074488.259999999776483,1032164.620000000111759,1070137.659999999916181,1018238.680000000051223,1027013.949999999837019,1017103.299999999930151,1083138.160000000149012,999629.220000000088476,1040420.799999999930151,10440019.320000002160668
20100405,1089193.510000000009313,1060503.310000000055879,1045218.880000000004657,1060204.000000000000000,1027043.559999999823049,1021236.400000000023283,1021227.500000000000000,1084894.600000000325963,988691.210000000079162,1050526.000000000000000,10448738.970000000670552
20100406,1093988.859999999869615,1065214.029999999795109,1048179.640000000013970,1067729.500000000000000,1023584.499999999883585,1019831.049999999930151,1023168.299999999930151,1081967.200000000186265,974972.350000000093132,1047999.700000000069849,10446635.129999997094274
20100407,1098784.209999999962747,1061386.569999999832362,1041316.060000000172295,1063214.199999999953434,1025471.259999999892898,1018425.699999999837019,1014798.599999999976717,1077283.360000000102445,973303.840000000083819,1038455.899999999906868,10412439.699999999254942
20100408,1095907.000000000000000,1064036.350000000093132,1045218.880000000004657,1073749.900000000139698,1036791.819999999948777,1013897.349999999976717,1006186.300000000046566,1083138.160000000149012,968854.480000000097789,1034385.750000000000000,10422165.990000000223517
20100409,1104218.939999999944121,1066097.290000000037253,1069981.600000000093132,1090306.000000000000000,1045596.699999999953434,1017176.499999999883585,1012736.500000000000000,1100702.560000000288710,971449.940000000060536,1038455.899999999906868,10516721.929999999701977
20100412,1106456.770000000018626,1058736.790000000037253,1082497.540000000270084,1080372.340000000083819,1052829.279999999795109,1016708.049999999930151,1010189.200000000069849,1105386.400000000139698,964405.120000000111759,1035227.850000000093132,10512809.340000001713634
20100413,1107096.149999999906868,1047990.459999999846332,1079536.780000000027940,1078867.240000000223517,1079872.840000000083819,1025608.599999999976717,1018195.000000000000000,1105386.400000000139698,968112.920000000041910,1031017.349999999860302,10541683.739999998360872
20100414,1122121.580000000074506,1055498.169999999925494,1084516.239999999990687,1089703.960000000195578,1099998.279999999795109,1022641.749999999883585,1023653.500000000000000,1109484.760000000009313,980904.830000000074506,1038596.250000000000000,10627119.320000000298023
20100415,1136827.320000000065193,1061239.359999999869615,1098108.820000000065193,1095724.360000000102445,1105029.639999999897555,1022954.049999999930151,1031052.800000000046566,1107142.840000000083819,980348.660000000149012,1047157.599999999976717,10685585.449999999254942
20100416,1129794.140000000130385,1042102.059999999939464,1086804.100000000093132,1078566.219999999972060,1100941.659999999916181,1015302.699999999837019,1016011.600000000093132,1100117.080000000074506,966629.800000000046566,1034245.400000000023283,10570514.760000001639128
20100419,1128515.379999999888241,1044604.629999999771826,1094475.159999999916181,1088800.900000000139698,1105973.020000000018626,1031073.849999999976717,1017709.800000000162981,1106557.360000000102445,986095.750000000000000,1035227.850000000093132,10639033.699999999254942
20100420,1117006.539999999804422,1051229.079999999608845,1104299.500000000000000,1099938.640000000130385,1106287.479999999981374,1030449.249999999883585,1034327.900000000023283,1117681.480000000214204,985724.970000000088476,1041403.250000000000000,10688348.090000001713634
20100421,1183821.750000000000000,1091711.829999999608845,1102549.960000000195578,1100540.680000000167638,1109117.620000000111759,1021080.249999999883585,1039543.800000000046566,1122950.800000000046566,978865.540000000037253,1079718.800000000046566,10829901.030000001192093
20100422,1217069.510000000009313,1112762.859999999869615,1092860.200000000186265,1107163.120000000111759,1123268.319999999832362,1011555.099999999976717,1043789.300000000046566,1145199.040000000037253,997219.150000000023283,1072701.300000000046566,10923587.900000000372529
20100423,1236890.289999999804422,1105991.199999999720603,1112643.460000000195578,1107464.140000000130385,1144337.139999999897555,1015615.000000000000000,1050218.199999999953434,1140515.200000000186265,989618.160000000149012,1073262.699999999953434,10976555.489999998360872
20100426,1230816.179999999934807,1094361.609999999869615,1111566.820000000065193,1114989.640000000130385,1147481.739999999990687,1011242.799999999930151,1060650.000000000000000,1142271.640000000130385,962551.220000000088476,1072280.250000000000000,10948211.900000000372529
20100427,1196609.349999999860302,1066980.549999999813735,1079805.940000000176951,1093316.199999999953434,1109746.540000000037253,1003747.599999999976717,1067078.900000000139698,1122950.800000000046566,936782.010000000125729,1043087.449999999953434,10720105.339999999850988
20100428,1194691.209999999962747,1065361.239999999757856,1085054.560000000055879,1092413.140000000130385,1106601.939999999944121,1009056.699999999953434,1070354.000000000000000,1118852.440000000176951,947720.020000000018626,1047859.349999999976717,10737964.599999999627471
20100429,1226979.899999999906868,1086265.060000000055879,1107529.420000000158325,1120408.000000000000000,1118236.959999999962747,1015146.549999999930151,1083575.699999999953434,1135245.880000000121072,953281.720000000088476,1066946.949999999953434,10913616.140000000596046
20100430,1192453.379999999888241,1066244.500000000000000,1096090.120000000111759,1108969.240000000223517,1107859.779999999795109,1004059.899999999906868,1075569.900000000139698,1111241.200000000186265,940675.200000000069849,1051929.500000000000000,10755092.719999998807907
20100503,1216430.129999999888241,1095097.659999999683350,1114796.739999999990687,1130642.680000000167638,1127985.219999999972060,1020143.349999999860302,1089398.100000000093132,1138173.280000000260770,949388.530000000144355,1070596.050000000046566,10952651.740000000223517
20100504,1181264.229999999981374,1071544.060000000055879,1086938.680000000167638,1101443.740000000223517,1113834.520000000018626,1010305.899999999906868,1063561.200000000186265,1132318.480000000214204,926956.340000000083819,1040841.849999999976717,10729009.000000000000000
20100505,1169116.010000000009313,1045193.469999999855645,1079267.620000000111759,1063816.240000000223517,1108174.239999999990687,1017176.499999999883585,1050339.500000000000000,1100702.560000000288710,938450.520000000018626,1032841.900000000023283,10605078.560000000521541
20100506,1124679.099999999860302,1000588.839999999850988,1039028.200000000186265,1023780.579999999958090,1067923.359999999869615,990006.399999999906868,1021834.000000000000000,1058548.000000000000000,923248.540000000037253,999859.649999999906868,10249496.669999999925494
20100507,1077045.289999999804422,982187.589999999850988,1037682.400000000023283,1005719.380000000004657,1051256.979999999981374,988601.049999999930151,1002304.699999999953434,1033372.360000000102445,913237.480000000097789,974877.349999999860302,10066284.580000000074506
20100510,1159845.000000000000000,1045193.469999999855645,1075230.220000000204891,1062311.140000000130385,1109746.540000000037253,1011086.649999999906868,1042818.900000000023283,1121779.840000000083819,928624.850000000093132,1025122.650000000139698,10581759.259999999776483
20100511,1171673.529999999795109,1051376.290000000037253,1072673.200000000186265,1076459.080000000074506,1120438.179999999934807,1009837.449999999953434,1031538.000000000116415,1118852.440000000176951,922877.760000000125729,1026385.799999999930151,10602111.730000000447035
20100512,1196929.039999999804422,1072721.739999999757856,1077518.080000000074506,1057494.820000000065193,1128614.139999999897555,1013428.900000000023283,1048520.000000000000000,1139344.240000000223517,930478.750000000000000,1026666.500000000116415,10691716.210000000894070
20100513,1179985.469999999739230,1056381.429999999701977,1062175.960000000195578,1046056.060000000055879,1109117.620000000111759,1009837.449999999953434,1038209.500000000116415,1105971.880000000121072,930107.970000000088476,1022596.349999999976717,10560439.690000001341105
20100514,1159205.619999999878928,1027822.689999999711290,1047506.740000000107102,1025285.680000000167638,1106916.400000000139698,998906.949999999837019,1027171.200000000186265,1079039.800000000046566,929181.020000000018626,1004631.549999999930151,10405667.650000002235174
20100517,1161123.760000000009313,1025761.750000000000000,1046160.940000000176951,1029499.960000000195578,1119180.340000000083819,997501.599999999976717,1027171.200000000186265,1077868.840000000083819,929181.020000000018626,996912.300000000046566,10410361.710000000894070
20100518,1152492.129999999888241,996908.589999999850988,1034317.900000000023283,1015352.020000000018626,1092136.779999999795109,983291.949999999837019,1019165.400000000023283,1067330.200000000186265,923804.710000000079162,992000.050000000046566,10276799.730000002309680
20100519,1134269.799999999813735,974679.879999999771826,1030953.400000000023283,1005117.340000000083819,1081130.679999999934807,971580.699999999837019,1001213.000000000116415,1057377.040000000037253,929551.800000000046566,973333.499999999883585,10159207.140000000596046
20100520,1085996.609999999869615,927425.469999999855645,990579.400000000023283,962974.540000000037253,1034276.140000000013970,945503.649999999906868,965308.200000000069849,1029274.000000000000000,897664.720000000088476,932351.300000000046566,9771354.029999999329448
20100521,1106776.459999999962747,950390.229999999864958,1002422.440000000176951,989464.299999999930151,1038364.119999999995343,950656.599999999976717,978893.800000000046566,1045081.960000000195578,912681.310000000055879,932491.650000000023283,9907222.869999999180436
20100524,1126916.929999999934807,929633.619999999878928,988426.120000000111759,977724.520000000018626,1044653.319999999948777,945815.949999999953434,965429.500000000116415,1044496.480000000097789,898962.450000000069849,928140.799999999930151,9850199.690000001341105
20100525,1119883.750000000000000,924186.849999999860302,976717.660000000032596,972908.200000000069849,1068552.279999999795109,942380.649999999906868,963973.900000000023283,1067330.200000000186265,902299.470000000088476,928561.849999999976717,9866794.810000000521541
20100526,1114768.709999999962747,931252.929999999818392,962990.500000000000000,995484.700000000069849,1070439.040000000037253,931606.299999999813735,960334.900000000023283,1061475.400000000139698,889878.340000000083819,928421.500000000116415,9846652.320000000298023
20100527,1156967.789999999804422,958781.199999999837019,1000807.480000000097789,1034617.299999999930151,1086476.499999999767169,921768.849999999976717,987748.700000000186265,1081967.200000000186265,921950.810000000055879,955930.099999999976717,10107015.929999999701977
20100528,1173271.979999999981374,944796.250000000000000,994213.060000000172295,1006020.400000000139698,1064778.760000000009313,910369.899999999906868,962033.100000000093132,1059718.960000000195578,917130.670000000041910,945684.549999999930151,9978017.630000000819564
20100601,1191174.619999999878928,926689.419999999925494,972949.420000000158325,1003311.219999999972060,1054716.040000000037253,917552.799999999930151,946991.899999999906868,1042154.560000000172295,901001.740000000107102,927018.000000000000000,9883559.720000000670552
20100602,1205560.669999999925494,947151.609999999869615,997712.140000000013970,1045755.040000000153668,1065093.219999999972060,932699.349999999860302,955119.000000000000000,1068501.160000000149012,922877.760000000125729,946807.349999999860302,10087277.299999998882413
20100603,1201724.390000000130385,946709.979999999864958,994751.380000000004657,1044851.980000000097789,1051256.979999999981374,933323.949999999953434,950267.000000000116415,1077868.840000000083819,921765.420000000041910,952280.999999999883585,10074800.919999999925494
20100604,1169116.010000000009313,900191.619999999878928,959356.840000000083819,1014147.939999999944121,1011006.099999999860302,905841.549999999930151,923095.799999999930151,1035714.280000000260770,901187.130000000121072,914246.150000000023283,9733903.419999999925494
20100607,1146098.330000000074506,884881.779999999795109,960298.900000000023283,994581.640000000013970,992138.500000000000000,905685.399999999906868,906599.000000000000000,1018735.360000000102445,894883.870000000111759,887298.949999999953434,9591201.730000000447035
20100608,1138745.459999999962747,898277.889999999897555,955857.760000000009313,997892.859999999986030,1000314.459999999962747,915678.999999999883585,908782.400000000023283,1028688.520000000135042,910085.850000000093132,901193.599999999860302,9655517.800000000745058
