訓練日期,20100526 - 20100826
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10344626.729999998584390
真實報酬,344626.729999998584390

夏普值報酬,0.025762673000000
夏普值風險,0.027822760004841
夏普值,0.925956770482757

預期報酬,12563.507684193666137
風險,227532.125440522999270
趨勢值,0.055216412451075
找到最佳解世代,90
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CAT[3](3),DIS[6](12),GS[8](17),KO[14](2),MRK[17](6),PG[21](21),UNH[23](4),UTX[24](11),V[25](19),VZ[26](1),XOM[29](20),
20100604,886828.149999999906868,947623.989999999874271,907113.439999999944121,920942.940000000060536,940564.050000000046566,905367.500000000000000,955378.829999999958090,895075.200000000069849,898623.600000000093132,902703.059999999939464,906349.500000000000000,10066580.259999999776483
20100607,857196.859999999986030,929341.439999999944121,884351.119999999995343,912322.619999999995343,944533.750000000000000,902687.299999999930151,959157.510000000009313,868694.400000000023283,895633.199999999953434,898445.099999999976717,902847.750000000000000,9955221.050000000745058
20100608,869172.199999999953434,932435.409999999916181,878612.719999999972060,925971.460000000079162,958711.250000000000000,925320.099999999976717,972697.779999999911524,882297.000000000000000,914074.000000000000000,918315.579999999841675,932384.250000000000000,10110001.750000000000000
20100609,872242.800000000046566,926528.739999999874271,872364.239999999990687,922379.660000000032596,955875.750000000000000,915343.799999999930151,961361.739999999990687,871442.400000000139698,919556.400000000023283,921509.049999999930151,913962.000000000000000,10052576.580000001937151
20100610,920451.220000000088476,959437.329999999958090,853044.959999999962747,942134.560000000055879,982529.449999999953434,921895.399999999906868,966714.869999999878928,899884.200000000069849,964910.800000000046566,940315.039999999920838,942280.500000000000000,10293608.330000000074506
20100611,924750.059999999939464,963093.840000000083819,864968.079999999841675,927767.359999999986030,988483.999999999883585,908494.400000000023283,965770.199999999953434,910051.800000000162981,947965.199999999953434,947411.639999999897555,941823.750000000000000,10290590.330000000074506
20100614,936571.869999999995343,954374.469999999972060,850940.879999999888241,925253.100000000093132,993020.800000000046566,912068.000000000000000,963251.079999999958090,919257.600000000209548,919556.400000000023283,949895.449999999953434,934363.500000000000000,10258563.150000000372529
20100615,974340.250000000000000,984189.090000000083819,873001.839999999967404,937106.040000000037253,1021375.800000000046566,921895.399999999906868,982144.479999999981374,942615.599999999976717,958431.600000000093132,965862.799999999930151,951720.000000000000000,10512692.900000000372529
20100616,988618.540000000037253,978563.689999999944121,874022.000000000000000,941057.020000000018626,1021092.249999999883585,911174.599999999976717,988442.279999999911524,942478.200000000186265,961422.000000000000000,967991.779999999911524,951720.000000000000000,10526592.359999999403954
20100617,997216.220000000088476,986439.250000000000000,875679.759999999892898,940338.660000000032596,1016838.999999999883585,919661.900000000023283,991906.069999999948777,942066.000000000116415,974878.799999999930151,965153.139999999897555,953090.250000000000000,10563279.050000000745058
20100618,1011033.919999999925494,988689.409999999916181,881163.119999999995343,939620.300000000046566,1011451.550000000046566,912812.500000000000000,986552.939999999944121,950584.800000000162981,959926.800000000046566,966217.629999999888241,960702.750000000000000,10568765.719999998807907
20100621,1014411.579999999841675,986157.980000000097789,878357.680000000051223,942493.739999999990687,995856.299999999930151,909834.500000000000000,980884.919999999925494,953195.400000000139698,1008271.600000000093132,964088.650000000023283,961159.500000000000000,10594721.850000001490116
20100622,984319.699999999953434,966187.810000000055879,859548.479999999864958,942134.560000000055879,996139.849999999976717,904176.299999999930151,964825.529999999911524,934234.200000000069849,981358.000000000116415,964088.650000000023283,943041.750000000000000,10440064.830000000074506
20100623,987697.359999999986030,965906.540000000037253,861333.759999999892898,938183.580000000074506,1004362.800000000046566,914003.700000000069849,951285.260000000009313,934234.200000000069849,968898.000000000116415,972959.400000000023283,930252.750000000000000,10429127.350000001490116
20100624,972958.479999999981374,945092.560000000055879,860759.919999999925494,930281.619999999995343,1009750.249999999883585,906409.799999999930151,937115.209999999962747,925440.599999999976717,952949.200000000069849,960895.179999999818392,914571.000000000000000,10316233.819999998435378
20100625,993531.499999999883585,941717.319999999948777,890599.599999999976717,902624.760000000009313,1018823.849999999976717,890328.599999999976717,940893.889999999897555,932448.000000000116415,955441.200000000069849,947056.809999999939464,899802.750000000000000,10313278.279999999329448
20100628,988772.070000000065193,934404.299999999930151,871471.599999999976717,917351.140000000013970,1019107.399999999906868,902687.299999999930151,919166.479999999981374,922143.000000000116415,937498.799999999930151,952379.259999999892898,890211.000000000000000,10255202.349999999627471
20100629,934268.920000000041910,908527.459999999962747,852981.199999999837019,904061.480000000097789,1004646.349999999976717,898220.300000000046566,901532.639999999897555,892739.400000000023283,890150.800000000046566,949540.619999999995343,872245.500000000000000,10008924.669999998062849
20100630,922293.579999999958090,886025.859999999986030,837104.959999999962747,900110.500000000000000,991603.049999999930151,893157.699999999953434,894290.169999999925494,891915.000000000000000,881678.000000000116415,929670.139999999897555,868896.000000000000000,9896754.960000000894070
20100701,920758.280000000027940,885744.589999999967404,836276.079999999841675,898673.780000000027940,976574.899999999906868,886606.099999999976717,876971.219999999972060,884770.200000000069849,908093.199999999953434,933218.439999999944121,861892.500000000000000,9869589.290000000968575
20100702,908629.410000000032596,882650.619999999995343,835893.520000000018626,899032.960000000079162,970336.799999999930151,884223.700000000069849,891141.270000000018626,883396.200000000186265,912080.400000000023283,951314.769999999902211,861283.500000000000000,9879993.150000000372529
20100706,918301.800000000046566,892213.799999999930151,843417.199999999837019,905857.380000000004657,982529.449999999953434,883628.100000000093132,909719.779999999911524,887518.200000000186265,900617.200000000069849,944218.169999999925494,874833.750000000000000,9942864.830000001937151
20100707,954688.410000000032596,932154.140000000013970,866179.520000000018626,924534.739999999990687,1004646.349999999976717,905665.300000000046566,919481.369999999878928,914448.600000000093132,932016.400000000023283,941024.699999999953434,889602.000000000000000,10184451.529999999329448
20100708,969887.880000000004657,937779.540000000037253,863820.400000000023283,941416.200000000069849,1016838.999999999883585,922491.000000000000000,934596.089999999967404,923791.800000000162981,935505.199999999953434,950250.279999999911524,895387.500000000000000,10291774.889999998733401
20100709,993685.030000000027940,949311.609999999986030,880398.000000000000000,941057.020000000018626,1029315.199999999837019,919513.000000000000000,943727.899999999906868,927639.000000000116415,964412.400000000139698,945637.489999999874271,894930.750000000000000,10389637.400000000372529
20100712,986929.709999999962747,949874.150000000023283,875233.439999999944121,942134.560000000055879,1023360.650000000023283,924575.600000000093132,945932.129999999888241,916234.800000000162981,953447.599999999976717,939960.209999999846332,897366.750000000000000,10355059.599999997764826
20100713,1025465.740000000107102,969000.510000000009313,894361.439999999944121,946803.900000000023283,1033568.450000000069849,929042.599999999976717,949081.029999999911524,931074.000000000116415,954444.399999999906868,954153.409999999916181,904674.750000000000000,10491680.230000000447035
20100714,1024083.970000000088476,963093.840000000083819,886774.000000000000000,948599.800000000046566,1026479.700000000069849,933062.899999999906868,954749.049999999930151,934509.000000000116415,950457.200000000069849,952379.259999999892898,902238.750000000000000,10476437.470000000670552
20100715,1021166.900000000023283,957749.709999999962747,926050.159999999916181,949318.160000000032596,1034702.650000000023283,934105.199999999953434,972382.889999999897555,936432.600000000209548,937997.200000000069849,950959.939999999944121,902391.000000000000000,10523266.410000000149012
20100716,981709.689999999944121,929060.170000000041910,932107.359999999869615,940697.840000000083819,1018256.749999999883585,923086.599999999976717,955378.829999999958090,907303.800000000162981,890150.800000000046566,947056.809999999939464,882446.250000000000000,10307264.900000000372529
20100719,994913.269999999902211,936935.730000000097789,928983.119999999995343,938901.940000000060536,1015137.699999999837019,921150.900000000023283,970493.549999999930151,912250.200000000069849,887658.799999999930151,948121.299999999930151,889602.000000000000000,10344158.510000001639128
20100720,1019938.660000000149012,939467.159999999916181,949577.599999999976717,956142.580000000074506,1011167.999999999883585,924277.800000000046566,970808.439999999944121,928051.200000000186265,917064.399999999906868,946347.150000000023283,897519.000000000000000,10460371.990000000223517
20100721,1026693.980000000097789,922872.230000000097789,937335.680000000051223,971228.140000000013970,997841.149999999906868,909983.400000000023283,966714.869999999878928,921043.800000000162981,901614.000000000000000,941024.699999999953434,885643.500000000000000,10382005.449999999254942
20100722,1044042.869999999995343,944811.290000000037253,934530.239999999990687,974460.760000000009313,997557.599999999976717,913854.799999999930151,976161.569999999948777,955393.800000000162981,927530.800000000046566,958056.539999999920838,904065.750000000000000,10530476.019999999552965
20100723,1064155.299999999813735,959999.870000000111759,939822.319999999948777,983440.260000000009313,988767.549999999930151,921895.399999999906868,973642.449999999953434,974217.600000000209548,941984.399999999906868,994249.199999999953434,909242.250000000000000,10651426.599999999627471
20100726,1074595.339999999850988,967594.159999999916181,945050.639999999897555,986672.880000000004657,1000109.550000000046566,930978.300000000046566,990961.399999999906868,983698.200000000186265,947965.199999999953434,1003474.779999999911524,919443.000000000000000,10750553.449999999254942
20100727,1062159.410000000149012,964218.920000000041910,938865.919999999925494,988827.960000000079162,997557.599999999976717,939316.699999999953434,969233.989999999990687,976828.200000000186265,954444.399999999906868,1014474.509999999892898,925837.500000000000000,10731775.109999999403954
20100728,1070450.029999999795109,957468.439999999944121,938674.639999999897555,985595.340000000083819,985081.400000000023283,933658.500000000000000,955063.939999999944121,977103.000000000116415,937000.400000000023283,1025829.069999999948777,927360.000000000000000,10693294.759999999776483
20100729,1065537.070000000298023,948186.530000000027940,972977.520000000018626,987750.420000000041910,994155.000000000000000,918321.800000000046566,958527.729999999981374,977652.600000000209548,897128.400000000023283,1024764.579999999841675,918681.750000000000000,10663693.400000000372529
20100730,1070910.620000000111759,947623.989999999874271,961755.759999999892898,989905.500000000000000,977142.000000000000000,910727.899999999906868,958842.619999999878928,976965.599999999976717,914074.000000000000000,1031151.519999999902211,908633.250000000000000,10647742.759999997913837
20100802,1090869.520000000018626,969844.319999999948777,973997.680000000051223,1013252.200000000069849,994438.549999999930151,924128.900000000023283,990016.729999999981374,997713.000000000116415,900118.799999999930151,1048893.020000000018626,943041.750000000000000,10846324.470000000670552
20100803,1080429.479999999981374,962250.030000000027940,976866.879999999888241,1012533.840000000083819,987349.799999999930151,892562.099999999976717,1020875.949999999953434,989743.800000000162981,909588.400000000023283,1048183.359999999869615,954917.250000000000000,10835310.889999998733401
20100804,1091944.229999999981374,979688.769999999902211,997397.599999999976717,1015766.460000000079162,997841.149999999906868,886755.000000000000000,1036305.559999999823049,998537.400000000139698,902610.800000000046566,1043215.739999999874271,954917.250000000000000,10904989.960000000894070
20100805,1104840.750000000000000,983907.819999999948777,994273.359999999869615,1012533.840000000083819,994438.549999999930151,891370.900000000023283,1052364.950000000186265,1005819.600000000093132,891147.599999999976717,1048538.189999999944121,954765.000000000000000,10934010.559999998658895
20100806,1098699.549999999813735,984470.359999999986030,989555.119999999995343,1019358.260000000009313,991886.599999999860302,893753.300000000046566,1053309.620000000111759,999361.800000000162981,899122.000000000000000,1048538.189999999944121,943498.500000000000000,10921563.299999998882413
20100809,1106529.580000000074506,988970.679999999934807,990957.839999999967404,1025823.500000000000000,1002661.499999999883585,899113.700000000069849,1054569.180000000167638,1007880.599999999976717,931019.599999999976717,1059537.919999999925494,950806.500000000000000,11017880.599999999627471
20100810,1096550.129999999888241,992627.189999999944121,981393.839999999967404,1023309.239999999990687,1014287.050000000046566,905069.700000000069849,1049530.939999999944121,1008430.200000000069849,937997.200000000069849,1065215.199999999720603,942889.500000000000000,11017310.189999999478459
20100811,1054943.500000000000000,962531.299999999930151,951745.439999999944121,1006427.780000000027940,989334.650000000023283,897475.800000000046566,1007335.679999999934807,979301.400000000023283,916067.599999999976717,1048893.020000000018626,919443.000000000000000,10733509.169999999925494
20100812,1036366.369999999995343,956062.090000000083819,952829.359999999869615,1000321.720000000088476,993587.899999999906868,893306.599999999976717,1011744.140000000013970,969820.800000000046566,909588.400000000023283,1075860.100000000093132,917007.000000000000000,10716504.479999998584390
20100813,1044196.400000000023283,947342.719999999972060,944285.520000000018626,1001040.080000000074506,992453.699999999953434,890775.300000000046566,1008595.239999999990687,971469.600000000093132,900118.799999999930151,1065570.029999999795109,912135.000000000000000,10677992.390000000596046
20100816,1051565.839999999850988,946780.179999999934807,942245.199999999837019,1003554.340000000083819,991603.049999999930151,890030.800000000046566,1004501.669999999925494,966660.599999999976717,907594.800000000046566,1063086.219999999739230,911678.250000000000000,10679310.949999999254942
20100817,1070757.089999999850988,949592.879999999888241,947537.279999999911524,1007864.500000000000000,1007765.399999999906868,897773.599999999976717,1018671.719999999972060,968859.000000000116415,914074.000000000000000,1070537.649999999906868,925989.750000000000000,10779432.869999999180436
20100818,1070910.620000000111759,953811.929999999934807,951426.639999999897555,1002835.980000000097789,1002945.049999999930151,904623.000000000000000,1024654.629999999888241,960889.800000000162981,908093.199999999953434,1069827.989999999757856,915789.000000000000000,10765817.839999999850988
20100819,1063848.240000000223517,933560.489999999874271,937718.239999999990687,992778.940000000060536,984230.750000000000000,896284.599999999976717,1001037.879999999888241,941379.000000000116415,892642.800000000046566,1051022.000000000000000,902695.500000000000000,10597208.439999999478459
20100820,1057246.450000000186265,929622.709999999962747,945305.680000000051223,993138.119999999995343,976574.899999999906868,893157.699999999953434,995369.859999999986030,936020.400000000139698,873205.199999999953434,1042151.250000000000000,896605.500000000000000,10538407.770000001415610
20100823,1026233.390000000013970,926247.469999999972060,935741.680000000051223,998525.820000000065193,991603.049999999930151,893902.200000000069849,991906.069999999948777,923654.400000000023283,873703.600000000093132,1043570.569999999948777,905892.750000000000000,10510991.000000001862645
20100824,998597.990000000107102,904027.140000000013970,917952.639999999897555,999603.359999999986030,976574.899999999906868,888392.899999999906868,977421.129999999888241,902220.000000000000000,880681.200000000069849,1045699.549999999930151,897366.750000000000000,10388547.560000000521541
20100825,993377.970000000088476,903183.329999999958090,922607.119999999995343,994934.020000000018626,979410.399999999906868,888541.800000000046566,1006391.010000000009313,896724.000000000116415,883173.199999999953434,1052441.319999999832362,896910.000000000000000,10417704.169999999925494
20100826,981863.220000000088476,898401.739999999990687,904308.000000000000000,990623.859999999986030,977709.099999999860302,886606.099999999976717,1002927.219999999972060,893838.600000000093132,871211.600000000093132,1046764.039999999920838,890363.250000000000000,10344626.729999998584390
