訓練日期,20151016 - 20160120
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9726062.879999998956919
真實報酬,-273937.120000001043081

夏普值報酬,-0.036093712000000
夏普值風險,0.022945111216212
夏普值,-1.573045851026346

預期報酬,9266.659761917473588
風險,355902.732822177757043
趨勢值,0.026037057058922
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](26),HD[9](5),INTC[11](12),JNJ[12](4),JPM[13](14),MCD[15](1),MRK[17](7),MSFT[18](2),PG[21](3),TRV[22](6),UTX[24](16),WMT[28](9),XOM[29](23),
20151118,806566.680000000051223,799095.220000000088476,778859.669999999925494,812931.839999999967404,838329.680000000051223,835045.400000000023283,822462.659999999916181,881152.920000000041910,786111.910000000032596,840458.160000000032596,806625.149999999906868,789974.000000000000000,762244.399999999906868,10559867.690000001341105
20151119,816811.920000000041910,801115.700000000069849,805634.849999999976717,811506.779999999911524,840939.559999999939464,840758.800000000046566,823220.959999999962747,882625.589999999967404,789426.150000000023283,842949.679999999934807,811495.599999999976717,786992.050000000046566,758090.799999999930151,10611578.440000001341105
20151120,820387.439999999944121,822267.600000000093132,814090.169999999925494,811427.609999999986030,839448.200000000069849,845285.000000000000000,820491.079999999958090,886716.339999999967404,785283.349999999860302,848885.359999999986030,810835.199999999953434,778824.100000000093132,753276.400000000023283,10637227.849999999627471
20151123,809729.640000000013970,836726.660000000032596,809862.509999999892898,813723.539999999920838,831245.719999999855645,849440.200000000069849,819126.139999999897555,886716.339999999967404,786836.900000000023283,847419.760000000009313,809762.050000000046566,781287.450000000069849,757901.999999999883585,10639788.909999998286366
20151124,817499.520000000018626,843672.059999999939464,807044.069999999948777,807944.130000000004657,830002.919999999925494,848030.400000000023283,811088.159999999916181,887698.119999999995343,791808.260000000009313,846027.439999999944121,803735.900000000023283,776879.350000000093132,773005.999999999883585,10644446.330000000074506
20151125,811654.920000000041910,850301.760000000125729,809157.900000000023283,807310.769999999902211,830997.159999999916181,848920.800000000046566,814728.000000000000000,878534.839999999967404,786111.910000000032596,841337.520000000018626,802992.949999999953434,781028.150000000023283,767058.799999999930151,10630145.480000000447035
20151127,810142.200000000069849,850870.020000000135042,809392.770000000018626,810556.739999999990687,834849.839999999967404,847659.400000000023283,818367.839999999967404,882461.959999999962747,784040.510000000009313,841703.919999999925494,799113.099999999976717,776490.400000000023283,766870.000000000000000,10632528.700000001117587
20151130,813511.439999999944121,845439.979999999981374,816673.740000000107102,801610.529999999911524,828760.119999999995343,847140.000000000000000,803960.139999999897555,889334.420000000041910,775133.489999999990687,839652.079999999958090,792921.849999999976717,762877.150000000139698,770929.199999999953434,10587954.140000000596046
20151201,806910.479999999981374,848912.680000000051223,824189.580000000074506,810477.569999999948777,840318.159999999916181,849291.800000000046566,827619.099999999976717,903570.229999999981374,786526.189999999944121,847786.160000000032596,798287.599999999976717,764821.900000000023283,773100.399999999906868,10681821.849999999627471
20151202,799621.920000000041910,844998.000000000000000,818082.959999999962747,808023.299999999930151,828511.559999999939464,843875.200000000069849,816244.599999999976717,903406.599999999976717,784972.640000000013970,840678.000000000000000,786317.849999999976717,756524.300000000046566,751010.799999999930151,10582277.730000000447035
20151203,792195.840000000083819,826813.680000000051223,799528.229999999981374,798047.880000000004657,817823.479999999864958,841426.600000000093132,797590.420000000041910,886879.970000000088476,784454.789999999920838,815616.239999999990687,781777.599999999976717,765470.150000000023283,740249.199999999953434,10447884.080000000074506
20151204,818530.920000000041910,849544.080000000074506,820666.529999999911524,815148.599999999976717,843798.000000000000000,862276.800000000046566,813514.719999999972060,914860.699999999953434,806100.919999999925494,835914.800000000046566,790280.250000000000000,773508.449999999953434,744497.199999999953434,10688651.969999998807907
20151207,813373.920000000041910,845755.680000000051223,821840.880000000004657,818077.889999999897555,832737.079999999958090,863909.200000000069849,814121.359999999986030,913224.400000000023283,811693.700000000069849,832470.640000000013970,791766.149999999906868,784399.050000000046566,725050.799999999930151,10668430.750000001862645
20151208,813030.119999999995343,845187.420000000041910,816204.000000000000000,810952.589999999967404,819811.959999999846332,864725.400000000023283,810936.500000000000000,912897.140000000013970,805272.359999999986030,823530.479999999981374,777897.750000000000000,772860.200000000069849,704565.999999999883585,10577881.919999999925494
20151209,795083.760000000009313,832938.260000000125729,817613.220000000088476,808815.000000000000000,813597.959999999846332,865096.400000000023283,801078.599999999976717,899643.109999999986030,804754.510000000009313,813784.239999999990687,777319.899999999906868,766637.000000000116415,714005.999999999883585,10510377.960000000894070
20151210,798865.560000000055879,836979.219999999972060,816673.740000000107102,812694.329999999958090,815462.159999999916181,869696.800000000046566,814273.019999999902211,904388.380000000004657,805686.640000000013970,813417.839999999967404,774925.950000000069849,772211.950000000069849,714572.399999999906868,10549857.989999998360872
20151211,778306.320000000065193,823719.820000000065193,804930.240000000107102,805094.010000000009313,796323.039999999920838,861386.400000000023283,790917.380000000004657,884589.150000000023283,805583.069999999948777,804404.400000000023283,770220.599999999976717,769618.950000000069849,701828.399999999906868,10396931.780000001192093
20151214,773493.119999999995343,833632.799999999930151,809627.640000000013970,808815.000000000000000,798808.639999999897555,862722.000000000116415,791675.680000000051223,902261.190000000060536,810865.140000000013970,813710.959999999962747,767991.750000000000000,782972.900000000023283,717781.999999999883585,10474368.820000000298023
20151215,759809.880000000004657,829086.719999999972060,826303.410000000032596,824490.659999999916181,821551.879999999888241,867693.400000000139698,802291.880000000004657,903242.970000000088476,825261.370000000111759,829466.160000000032596,769890.400000000023283,773249.150000000023283,749878.000000000000000,10582225.880000000819564
20151216,765654.479999999981374,839252.260000000125729,829121.849999999976717,833357.699999999953434,839323.919999999925494,874445.600000000093132,819277.800000000046566,918460.560000000055879,838829.039999999920838,839432.239999999990687,785327.249999999883585,781806.050000000046566,747234.799999999930151,10711533.550000000745058
20151217,749427.119999999995343,829465.559999999939464,819961.919999999925494,820611.329999999958090,823788.919999999925494,871922.800000000046566,798652.039999999920838,911424.470000000088476,831579.140000000013970,830125.679999999934807,774925.950000000069849,764692.250000000000000,736001.199999999837019,10562588.379999997094274
20151218,729142.920000000041910,822772.719999999972060,795535.439999999944121,807231.599999999976717,800424.280000000027940,865690.000000000000000,783182.719999999972060,885734.560000000055879,809208.019999999902211,807115.760000000009313,762295.800000000046566,763006.800000000046566,729581.999999999883585,10360932.620000001043081
20151221,738081.719999999972060,829213.000000000000000,804225.630000000004657,804302.309999999939464,814592.200000000069849,873332.599999999976717,786670.899999999906868,897188.659999999916181,817700.760000000009313,813051.439999999944121,772779.650000000023283,772082.300000000046566,729393.199999999953434,10452624.369999999180436
20151222,737394.119999999995343,832811.979999999981374,815734.259999999892898,813248.519999999902211,816332.119999999995343,873555.200000000069849,790159.079999999958090,905697.420000000041910,824432.809999999939464,824336.560000000055879,783180.950000000069849,784917.650000000023283,733074.799999999930151,10534885.470000000670552
20151223,746883.000000000000000,840578.200000000069849,822075.750000000000000,819423.779999999911524,829381.520000000018626,881568.800000000046566,803505.159999999916181,913388.030000000027940,827747.050000000046566,829686.000000000000000,794985.599999999976717,792048.400000000139698,757052.399999999906868,10658333.690000001341105
20151224,742894.920000000041910,839252.260000000125729,821606.009999999892898,821244.689999999944121,827765.879999999888241,879862.199999999953434,801533.579999999958090,910933.580000000074506,826400.640000000013970,830125.679999999934807,794985.599999999976717,788677.500000000000000,748933.999999999883585,10634226.539999999105930
20151228,734574.959999999962747,837863.180000000051223,820431.660000000032596,817286.189999999944121,825031.719999999855645,881197.800000000046566,801381.920000000041910,915515.220000000088476,827747.050000000046566,831664.560000000055879,793252.050000000046566,787640.300000000046566,743364.399999999906868,10616961.010000001639128
20151229,747776.880000000004657,844303.459999999962747,832410.029999999911524,823698.959999999962747,833607.039999999920838,890992.199999999953434,808964.920000000041910,925333.019999999902211,832304.130000000004657,842949.679999999934807,802992.949999999953434,798790.200000000069849,747329.199999999953434,10731462.669999996200204
20151230,738012.959999999962747,842093.559999999939464,821840.880000000004657,821719.709999999962747,827641.599999999976717,886243.400000000139698,807599.979999999981374,921405.900000000023283,829300.599999999860302,837600.239999999990687,799938.599999999976717,799697.750000000000000,737417.199999999953434,10670522.379999998956919
20151231,723848.400000000023283,835148.160000000032596,809157.900000000023283,813327.689999999944121,820681.919999999925494,876671.600000000093132,801078.599999999976717,907824.609999999986030,822464.979999999981374,827121.199999999953434,793086.949999999953434,794771.050000000046566,735906.799999999930151,10561099.860000001266599
20160104,724467.239999999990687,827697.640000000013970,798353.880000000004657,795593.609999999986030,790730.439999999944121,872516.400000000023283,795922.159999999916181,896697.769999999902211,811693.700000000069849,805943.280000000027940,788959.449999999953434,796845.450000000069849,731281.199999999837019,10436712.219999998807907
20160105,706314.599999999976717,823656.680000000051223,794595.959999999962747,798918.750000000000000,792097.519999999902211,884536.800000000046566,806083.380000000004657,900788.519999999902211,814282.950000000069849,809607.280000000027940,790197.699999999953434,815774.350000000093132,737511.599999999976717,10474376.089999999850988
20160106,692493.840000000083819,815132.780000000144355,776980.709999999962747,794881.079999999958090,780663.760000000009313,878600.800000000046566,795012.199999999953434,884425.519999999902211,806411.630000000004657,799128.239999999990687,768734.700000000069849,823942.300000000046566,731375.599999999976717,10347793.160000000149012
20160107,663270.840000000083819,791897.260000000125729,747856.829999999958090,785618.189999999944121,749096.640000000013970,858270.000000000000000,788035.839999999967404,853663.080000000074506,799368.870000000111759,780075.439999999944121,758663.599999999976717,843130.500000000116415,719670.000000000000000,10138627.089999999850988
20160108,666777.599999999976717,782426.260000000125729,740106.119999999995343,777226.169999999925494,732318.839999999967404,856934.400000000023283,774689.760000000009313,856281.159999999916181,786836.900000000023283,776777.839999999967404,746281.099999999976717,823812.650000000023283,705132.399999999906868,10025611.200000001117587
20160111,677572.920000000041910,794296.580000000074506,753023.970000000088476,772555.139999999897555,731200.319999999948777,865912.599999999976717,777267.979999999981374,855790.269999999902211,794086.800000000046566,782640.239999999990687,747106.599999999976717,832628.849999999976717,695692.399999999906868,10079784.669999999925494
20160112,687405.599999999976717,805093.520000000018626,767585.910000000032596,777859.529999999911524,732815.959999999962747,871477.599999999976717,785002.639999999897555,863644.510000000009313,792429.680000000051223,791360.560000000055879,747106.599999999976717,824849.849999999976717,709946.799999999930151,10156588.759999999776483
20160113,669734.280000000027940,766641.260000000125729,749500.920000000041910,768200.789999999920838,712682.599999999976717,854263.200000000069849,768320.039999999920838,844990.690000000060536,785594.059999999939464,777290.800000000046566,733320.750000000000000,802809.350000000093132,714194.799999999930151,9947553.540000000968575
20160114,684380.160000000032596,755402.340000000083819,768995.130000000004657,783005.579999999958090,723370.680000000051223,865393.200000000069849,785609.279999999911524,869044.299999999930151,788701.160000000032596,784032.560000000055879,734806.650000000023283,817589.450000000069849,746951.599999999976717,10107292.089999999850988
20160115,667946.520000000018626,752939.880000000004657,699003.869999999995343,768042.449999999953434,708954.199999999953434,854708.400000000139698,775599.719999999972060,834354.739999999990687,776583.469999999972060,770255.919999999925494,706904.749999999883585,802939.000000000000000,732413.999999999883585,9850656.919999999925494
20160119,664714.800000000046566,756286.300000000046566,699943.349999999976717,772000.949999999953434,708581.359999999986030,871922.800000000046566,778632.920000000041910,827318.650000000023283,794708.219999999972060,775092.400000000023283,703685.299999999930151,811106.950000000069849,721274.799999999930151,9885278.800000000745058
20160120,665608.680000000051223,735450.099999999976717,695011.079999999958090,758146.199999999953434,689939.359999999986030,859160.400000000023283,766651.779999999911524,831082.140000000013970,785386.919999999925494,759630.320000000065193,700300.750000000000000,788807.150000000139698,690878.000000000000000,9726062.879999998956919
