訓練日期,20150402 - 20150706
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10491501.399999998509884
真實報酬,491501.399999998509884

夏普值報酬,0.040450140000000
夏普值風險,0.015898613215055
夏普值,2.544255870172167

預期報酬,10892.131134148290585
風險,139721.040259707049700
趨勢值,0.077956269964083
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](11),DIS[6](3),GS[8](2),JNJ[12](18),JPM[13](1),MCD[15](19),MSFT[18](8),NKE[19](5),UNH[23](14),V[25](6),VZ[26](24),
20150415,927599.479999999981374,922366.340000000083819,951036.230000000097789,922383.599999999860302,973688.639999999897555,910506.149999999906868,943470.500000000000000,911646.680000000051223,908083.799999999930151,916063.500000000000000,917824.010000000009313,10204678.929999997839332
20150416,923136.719999999972060,932021.859999999986030,946827.420000000158325,914957.520000000018626,967623.040000000037253,902858.939999999944121,941237.999999999883585,912194.540000000037253,941211.000000000000000,915645.089999999967404,915594.050000000046566,10213318.180000001564622
20150417,912748.000000000000000,919866.250000000000000,933302.480000000097789,913032.239999999874271,952913.959999999962747,895778.189999999944121,929182.500000000000000,899959.000000000000000,918842.399999999906868,899884.979999999864958,908718.339999999967404,10084238.339999999850988
20150420,933598.599999999976717,933056.380000000004657,936849.230000000097789,918808.079999999841675,958979.559999999939464,908051.490000000107102,957981.749999999883585,913107.640000000013970,917836.199999999953434,902674.379999999888241,917638.180000000051223,10198591.489999998360872
20150421,928550.559999999939464,928401.040000000037253,930890.690000000060536,919633.199999999953434,944877.040000000037253,895683.780000000027940,951954.000000000000000,915846.939999999944121,923254.199999999953434,911460.989999999874271,913735.750000000000000,10164298.189999999478459
20150422,941060.920000000041910,930642.500000000000000,937889.609999999986030,920825.040000000037253,954430.359999999869615,923723.550000000046566,959767.750000000000000,914568.599999999976717,911876.400000000023283,948560.010000000009313,921168.950000000069849,10264523.689999997615814
20150423,948742.719999999855645,939780.760000000009313,942571.320000000065193,921100.079999999841675,952307.399999999906868,915793.109999999986030,967581.500000000116415,923334.360000000102445,915359.400000000023283,944515.379999999888241,930088.789999999920838,10301184.820000000298023
20150424,953205.479999999981374,944349.890000000013970,936329.040000000153668,926784.239999999874271,949274.599999999976717,932220.449999999953434,1068713.750000000000000,921873.399999999906868,918687.599999999976717,941168.099999999976717,929717.130000000004657,10422333.679999999701977
20150427,970544.400000000023283,949781.119999999995343,929377.410000000149012,922200.239999999874271,945331.959999999962747,910506.149999999906868,1072285.750000000000000,921690.780000000027940,899724.599999999976717,935868.239999999874271,930646.280000000027940,10387966.929999999701977
20150428,955253.959999999962747,947712.080000000074506,933964.540000000153668,923667.119999999878928,951700.839999999967404,914188.140000000013970,1097513.000000000000000,911829.300000000046566,910173.599999999976717,931265.729999999864958,939380.289999999920838,10416658.599999999627471
20150429,941207.239999999874271,946763.770000000018626,939024.570000000065193,920458.319999999948777,964438.599999999976717,915981.929999999934807,1095280.500000000000000,914751.220000000088476,879368.400000000023283,939215.520000000018626,937893.650000000023283,10394393.719999998807907
20150430,915674.400000000023283,937366.880000000004657,928904.510000000009313,909548.399999999906868,959282.839999999967404,911544.659999999916181,1085904.000000000000000,902515.680000000051223,862263.000000000000000,921223.889999999897555,937336.159999999916181,10271574.420000001788139
20150501,943475.199999999953434,952884.679999999934807,934153.700000000069849,918074.639999999897555,964590.239999999990687,923345.909999999916181,1086350.500000000000000,920229.820000000065193,876195.000000000000000,917318.729999999864958,936778.669999999925494,10373407.090000001713634
20150504,941646.199999999953434,957281.390000000013970,942524.030000000144355,920091.599999999860302,981422.279999999911524,907579.439999999944121,1076974.000000000000000,920777.680000000051223,886721.400000000023283,914668.799999999930151,938822.800000000046566,10388519.620000001043081
20150505,920429.799999999930151,955384.770000000018626,933018.739999999990687,912298.799999999930151,976569.800000000046566,907579.439999999944121,1062686.000000000000000,916942.660000000032596,877510.800000000046566,919968.659999999799766,930832.110000000102445,10313231.580000000074506
20150506,914650.160000000032596,945987.880000000004657,928100.580000000074506,909273.359999999986030,969291.079999999958090,910034.099999999976717,1033217.000000000000000,915116.459999999962747,878439.599999999976717,915924.029999999911524,922469.760000000009313,10242514.009999997913837
20150507,916479.160000000032596,942022.220000000088476,933491.640000000013970,913765.679999999934807,978086.199999999953434,913716.089999999967404,1042593.500000000116415,926438.899999999906868,888269.400000000023283,928615.799999999930151,924142.229999999981374,10307630.820000002160668
20150508,933744.920000000041910,949350.069999999948777,948198.830000000074506,930359.759999999892898,993098.559999999823049,927405.540000000037253,1066034.750000000000000,935387.280000000027940,895390.200000000069849,968922.629999999888241,931761.260000000009313,10479663.799999998882413
20150511,924234.119999999995343,936332.359999999986030,954015.500000000000000,926325.839999999967404,992492.000000000000000,920608.020000000018626,1057551.250000000000000,938674.439999999944121,888346.799999999930151,962646.479999999864958,925443.039999999920838,10426679.849999999627471
20150512,920941.920000000041910,941849.799999999930151,948340.700000000069849,921191.759999999892898,991127.239999999990687,924762.060000000055879,1057104.750000000000000,934839.419999999925494,887340.599999999976717,958043.969999999855645,922098.099999999976717,10407650.320000000298023
20150513,921966.160000000032596,941418.750000000000000,952596.800000000162981,921925.199999999953434,993553.479999999864958,919097.459999999962747,1063355.750000000000000,932830.599999999976717,896783.400000000023283,957486.089999999967404,924142.229999999981374,10425165.919999999925494
20150514,943475.199999999953434,947798.290000000037253,958224.310000000055879,933660.239999999874271,1001590.399999999906868,922496.219999999972060,1087690.000000000000000,944518.280000000027940,917449.199999999953434,976314.539999999920838,928602.150000000023283,10561828.829999998211861
20150515,942158.320000000065193,950988.059999999939464,959879.460000000079162,937969.199999999953434,999012.519999999902211,925611.750000000000000,1078313.500000000000000,958580.020000000018626,923641.199999999953434,970317.329999999841675,925257.209999999962747,10571738.570000000298023
20150518,952547.040000000037253,951246.689999999944121,967871.470000000088476,948237.359999999986030,1007201.079999999958090,925422.929999999934807,1071839.250000000000000,956571.200000000069849,927279.000000000000000,976314.539999999920838,921726.440000000060536,10606266.999999998137355
20150519,951669.119999999995343,953229.520000000018626,971370.930000000051223,953188.079999999841675,1016147.840000000083819,950535.990000000107102,1062239.500000000000000,955475.479999999981374,933084.000000000000000,978546.059999999823049,920797.289999999920838,10646293.810000000521541
20150520,951595.959999999962747,950125.960000000079162,969857.650000000139698,949887.599999999860302,1008110.920000000041910,945154.619999999995343,1062239.500000000000000,955292.860000000102445,938424.599999999976717,973246.199999999953434,923398.909999999916181,10627344.779999999329448
20150521,961326.239999999874271,951763.950000000069849,969242.880000000004657,939069.359999999986030,1010688.800000000046566,937318.589999999967404,1058667.500000000000000,953284.040000000037253,932387.399999999906868,967527.929999999934807,927301.339999999967404,10608588.029999999329448
20150522,969739.639999999897555,950643.220000000088476,982720.530000000144355,929259.599999999860302,1007959.279999999911524,934580.699999999953434,1047058.500000000000000,953649.280000000027940,925653.599999999976717,971014.679999999934807,921912.270000000018626,10594201.300000000745058
20150526,948376.920000000041910,943574.000000000000000,976005.350000000093132,924400.559999999823049,996737.920000000041910,929576.969999999972060,1040137.750000000116415,944335.660000000032596,915204.599999999976717,955951.920000000041910,918381.500000000000000,10492693.150000000372529
20150527,966081.639999999897555,951591.530000000027940,988679.070000000065193,927242.639999999897555,1007959.279999999911524,931465.169999999925494,1062909.250000000000000,939039.680000000051223,924570.000000000000000,969201.569999999832362,921168.950000000069849,10589918.779999999329448
20150528,964179.479999999981374,952970.890000000013970,985936.250000000000000,927426.000000000000000,1003865.000000000000000,910883.790000000037253,1059337.250000000000000,934108.939999999944121,925885.800000000046566,970177.859999999986030,920611.459999999962747,10555392.719999998807907
20150529,953205.479999999981374,951591.530000000027940,975106.840000000083819,918166.319999999948777,997496.119999999995343,905691.240000000107102,1046165.500000000000000,928447.720000000088476,930452.399999999906868,957904.500000000000000,918753.159999999916181,10482990.810000000521541
20150601,955107.639999999897555,956677.919999999925494,982767.820000000065193,917249.520000000018626,1002045.319999999948777,908429.130000000004657,1054425.750000000000000,929178.200000000069849,927743.400000000023283,963901.709999999962747,914664.900000000023283,10512201.310000000521541
20150602,950864.360000000102445,954867.510000000009313,976241.800000000162981,916699.439999999944121,1001135.479999999864958,909090.000000000000000,1047505.000000000000000,932465.360000000102445,911412.000000000000000,962925.420000000041910,913178.260000000009313,10476394.629999998956919
20150603,952034.920000000041910,958488.330000000074506,985037.739999999990687,917707.919999999925494,1011447.000000000000000,911261.429999999934807,1045942.250000000000000,936117.760000000009313,916056.000000000000000,961670.189999999944121,912063.280000000027940,10507836.819999998435378
20150604,946474.760000000125729,950988.059999999939464,987780.560000000055879,909823.439999999944121,1005836.319999999948777,909278.820000000065193,1035003.000000000000000,931004.399999999906868,902898.000000000000000,951349.409999999799766,893851.940000000060536,10424298.709999999031425
20150605,941280.400000000023283,950988.059999999939464,995252.380000000004657,903955.919999999925494,1022365.079999999958090,902009.250000000000000,1030091.500000000000000,931734.880000000121072,901969.199999999953434,953580.929999999934807,877684.729999999981374,10410922.330000000074506
20150608,935061.799999999930151,942280.850000000093132,992131.239999999990687,898180.079999999841675,1014328.159999999916181,899932.229999999864958,1020938.249999999883585,926256.280000000027940,904910.400000000023283,943957.500000000000000,881587.159999999916181,10359573.949999999254942
20150609,932281.719999999972060,935642.679999999934807,988489.910000000149012,900472.079999999841675,1018725.720000000088476,894362.040000000037253,1019152.250000000000000,925525.800000000046566,905529.599999999976717,947723.189999999944121,879728.860000000102445,10347643.849999997764826
20150610,942963.079999999958090,948401.760000000009313,1007926.100000000093132,906614.639999999897555,1035102.840000000083819,899743.409999999916181,1040584.250000000000000,943605.180000000051223,917604.000000000000000,971154.149999999906868,882144.650000000023283,10495854.060000000521541
20150611,940841.440000000060536,953746.780000000027940,1011756.590000000083819,909915.119999999878928,1039045.479999999864958,902481.300000000046566,1036789.000000000000000,948535.919999999925494,923563.799999999930151,971293.619999999878928,887533.719999999972060,10525512.769999999552965
20150612,930452.719999999972060,947970.710000000079162,1007595.070000000065193,901755.599999999860302,1034951.199999999953434,897477.570000000065193,1026296.250000000000000,947622.820000000065193,910638.000000000000000,966970.049999999930151,878056.390000000013970,10449796.380000002682209
20150615,928623.719999999972060,949953.540000000037253,1001447.369999999995343,893871.119999999878928,1031008.559999999823049,890302.409999999916181,1015356.999999999883585,943787.800000000046566,920932.200000000069849,956370.329999999841675,873410.640000000013970,10405074.689999999478459
20150616,933598.599999999976717,957540.020000000018626,1009959.570000000065193,901847.279999999911524,1036770.880000000004657,893417.939999999944121,1023170.750000000000000,954745.000000000000000,940824.000000000000000,962507.010000000009313,881215.500000000000000,10495606.550000000745058
20150617,931403.799999999930151,961247.049999999930151,1006980.300000000162981,905239.439999999944121,1033283.159999999916181,898988.130000000004657,1026296.250000000000000,956571.200000000069849,926814.599999999976717,958880.789999999920838,878428.050000000046566,10484142.769999999552965
20150618,935647.079999999958090,976161.380000000004657,1014877.730000000097789,920183.279999999911524,1042988.119999999995343,907957.079999999958090,1043040.000000000000000,967893.640000000013970,935715.599999999976717,969341.039999999920838,887719.550000000046566,10601534.500000000000000
20150619,926282.599999999976717,970988.780000000027940,1008209.840000000083819,915599.279999999911524,1032373.319999999948777,907107.390000000013970,1029198.500000000000000,972824.380000000121072,931381.199999999953434,958043.969999999855645,881958.820000000065193,10533978.080000000074506
20150622,933671.760000000009313,978833.890000000013970,1023910.119999999995343,917707.919999999925494,1045717.639999999897555,914565.780000000027940,1032100.749999999883585,975198.439999999944121,930762.000000000000000,963622.770000000018626,883259.630000000004657,10599360.700000001117587
20150623,929428.479999999981374,986420.369999999995343,1032847.930000000051223,914865.839999999967404,1057697.199999999953434,917492.490000000107102,1024956.749999999883585,978850.840000000083819,950034.599999999976717,968225.279999999911524,887719.550000000046566,10648549.330000000074506
20150624,937329.760000000125729,980902.929999999934807,1014073.800000000162981,910740.239999999874271,1046627.479999999864958,912394.349999999976717,1018929.000000000000000,969902.459999999962747,922402.800000000046566,960414.959999999962747,878799.709999999962747,10552527.490000002086163
20150625,932867.000000000000000,986765.210000000079162,1006460.109999999986030,908814.959999999962747,1041016.800000000046566,904369.500000000000000,1019152.250000000000000,960771.459999999962747,946861.199999999953434,957067.679999999934807,881587.159999999916181,10545743.330000000074506
20150626,927380.000000000000000,991420.549999999930151,1008115.260000000009313,913582.319999999948777,1045566.000000000000000,918531.000000000000000,1010445.500000000000000,1001860.959999999962747,953982.000000000000000,958880.789999999920838,884932.099999999976717,10614706.479999998584390
20150629,911138.479999999981374,974695.809999999939464,982011.180000000051223,895613.040000000037253,1019029.000000000000000,901065.149999999906868,990576.250000000000000,983233.720000000088476,938037.599999999976717,930568.379999999888241,869136.550000000046566,10395115.160000000149012
20150630,917722.880000000004657,984092.700000000069849,987402.239999999990687,893596.079999999841675,1027520.840000000083819,897571.979999999864958,985664.750000000000000,986338.260000000009313,944307.000000000000000,936565.589999999967404,866163.270000000018626,10426955.589999999850988
20150701,926282.599999999976717,992627.489999999990687,992840.590000000083819,902855.759999999892898,1032221.679999999818392,904086.270000000018626,992362.250000000116415,999304.280000000027940,954988.199999999953434,946328.489999999874271,873410.640000000013970,10517318.250000000000000
20150702,925112.040000000037253,991248.130000000004657,989341.130000000004657,902580.719999999855645,1023881.479999999864958,907957.079999999958090,991246.000000000000000,1003321.919999999925494,942836.400000000023283,951767.819999999832362,877127.240000000107102,10506429.959999999031425
20150706,921893.000000000000000,997541.460000000079162,983855.489999999990687,900380.399999999906868,1021000.319999999948777,903047.760000000009313,991022.750000000000000,1002956.680000000051223,945545.400000000023283,950094.179999999934807,874153.959999999962747,10491501.399999998509884
