訓練日期,20171128 - 20180302
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10895681.750000001862645
真實報酬,895681.750000001862645

夏普值報酬,0.080868175000000
夏普值風險,0.033331794875294
夏普值,2.426157226232696

預期報酬,21792.262406555284542
風險,303299.266944947652519
趨勢值,0.071850692637878
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](13),BA[2](1),CAT[3](9),CSCO[4](2),HD[9](12),INTC[11](18),JPM[13](4),MMM[16](22),MSFT[18](5),NKE[19](3),PFE[20](21),V[25](8),VZ[26](14),
20171206,808235.459999999962747,805980.239999999990687,786892.050000000046566,780496.020000000018626,798552.240000000107102,751249.440000000060536,824208.000000000000000,784580.289999999920838,759233.609999999986030,770391.000000000000000,770747.180000000051223,751161.839999999967404,817969.780000000027940,10209707.150000000372529
20171207,811280.189999999944121,816695.440000000176951,801189.900000000023283,780287.390000000013970,803851.440000000060536,744852.510000000009313,821773.259999999892898,789938.100000000093132,756574.019999999902211,781743.000000000000000,769446.739999999990687,762522.880000000121072,813773.640000000013970,10253938.510000001639128
20171208,811033.319999999948777,828076.719999999972060,806628.690000000060536,784668.619999999995343,810078.000000000000000,749520.540000000037253,832062.000000000000000,782805.309999999939464,771889.589999999967404,790773.000000000000000,774648.500000000000000,770735.679999999934807,824586.770000000018626,10337516.739999998360872
20171211,814736.369999999995343,820141.680000000167638,806124.060000000055879,791970.670000000041910,804955.440000000060536,754880.130000000004657,829627.259999999892898,786651.100000000093132,781702.560000000055879,798642.000000000000000,784835.280000000027940,769161.560000000055879,836691.020000000018626,10380129.130000000819564
20171212,817781.099999999976717,839776.560000000055879,804161.609999999986030,790927.520000000018626,802968.240000000107102,749174.760000000009313,839287.679999999818392,777710.460000000079162,784912.409999999916181,801996.000000000000000,792854.659999999916181,776621.520000000018626,858478.669999999925494,10436661.189999999478459
20171213,804696.989999999990687,845278.959999999962747,833037.660000000032596,795934.640000000013970,808399.920000000041910,749347.650000000023283,828763.319999999948777,786026.570000000065193,782803.079999999958090,829473.000000000000000,794155.099999999976717,775594.920000000041910,853636.969999999972060,10487158.780000001192093
20171214,799512.720000000088476,851186.800000000046566,820197.630000000004657,790718.890000000013970,804425.520000000018626,747964.530000000027940,822087.419999999925494,782640.960000000079162,776750.219999999972060,832440.000000000000000,790253.780000000027940,772925.760000000009313,844760.520000000018626,10435874.749999998137355
20171215,810786.449999999953434,851360.560000000055879,822496.500000000000000,796769.160000000032596,806412.720000000088476,770440.230000000097789,833711.339999999967404,782378.000000000000000,796559.579999999958090,835794.000000000116415,806292.540000000037253,779085.359999999986030,850086.390000000013970,10542182.830000000074506
20171218,820332.090000000083819,857731.760000000009313,839766.060000000055879,802819.430000000051223,815907.119999999995343,799831.530000000027940,840151.619999999878928,783758.539999999920838,792249.209999999962747,836052.000000000000000,804775.360000000102445,777237.479999999981374,859447.010000000009313,10630069.210000000894070
20171219,815970.720000000088476,860946.320000000065193,846158.040000000037253,799064.089999999967404,821427.119999999995343,813316.949999999953434,836617.319999999948777,783659.929999999934807,787205.159999999916181,828698.999999999883585,800657.299999999930151,767587.440000000060536,852668.630000000004657,10613988.020000001415610
20171220,810704.160000000032596,862828.719999999972060,855185.310000000055879,808243.810000000055879,827300.400000000023283,822307.230000000097789,833711.339999999967404,778828.039999999920838,784362.149999999906868,820314.000000000000000,790253.780000000027940,767450.560000000055879,851700.290000000037253,10613199.789999999105930
20171221,810621.869999999995343,854517.199999999953434,867072.150000000023283,803862.580000000074506,830700.720000000088476,808476.030000000027940,846984.599999999860302,771793.859999999986030,784178.729999999981374,835536.000000000000000,785485.500000000000000,769435.319999999948777,855573.650000000023283,10624248.210000000894070
20171222,812596.829999999958090,854719.920000000158325,873295.920000000041910,804279.839999999967404,830921.520000000018626,807438.690000000060536,844000.079999999958090,771629.510000000009313,784270.440000000060536,816444.000000000000000,783318.099999999976717,771351.640000000013970,858478.669999999925494,10612755.160000000149012
20171226,811197.899999999906868,855472.880000000121072,877164.750000000000000,802819.430000000051223,840769.200000000069849,796719.510000000009313,840622.859999999869615,773996.149999999906868,783261.630000000004657,821088.000000000000000,784835.280000000027940,773404.839999999967404,858962.839999999967404,10620325.270000001415610
20171227,815806.140000000013970,856225.840000000083819,883220.310000000055879,804488.470000000088476,840018.480000000097789,797238.180000000051223,842193.659999999916181,776461.399999999906868,786104.639999999897555,812058.000000000000000,787436.159999999916181,780454.160000000032596,859931.180000000051223,10641646.619999999180436
20171228,820496.670000000041910,858339.920000000158325,888266.609999999986030,805114.360000000102445,838207.920000000041910,799139.969999999972060,846670.439999999944121,774883.640000000013970,786196.349999999976717,812058.000000000000000,788303.119999999878928,782712.679999999934807,862352.030000000027940,10662751.709999999031425
20171229,817287.359999999986030,854169.680000000167638,883556.730000000097789,799064.089999999967404,837103.920000000041910,798102.630000000004657,839994.539999999920838,773733.190000000060536,784545.570000000065193,806898.000000000000000,785052.020000000018626,780454.160000000032596,854282.530000000027940,10614254.419999999925494
20180102,814242.630000000004657,859758.959999999962747,880528.949999999953434,810747.369999999995343,830479.920000000041910,810032.040000000037253,847927.079999999958090,774620.679999999934807,788305.680000000051223,819024.000000000000000,789820.299999999930151,783807.720000000088476,863965.930000000051223,10673271.259999999776483
20180103,819262.319999999948777,862539.120000000111759,881874.630000000004657,817214.900000000139698,834807.599999999976717,782542.530000000027940,848791.019999999902211,774587.809999999939464,791974.079999999958090,818895.000000000000000,795672.280000000027940,791609.880000000121072,846213.030000000027940,10665994.199999999254942
20180104,829960.019999999902211,859266.640000000130385,893985.750000000000000,813459.560000000055879,841431.599999999976717,768192.660000000032596,856487.939999999944121,784711.770000000018626,798944.039999999920838,818379.000000000000000,797406.199999999953434,794552.800000000046566,848956.660000000032596,10705744.640000000596046
20180105,831852.689999999944121,894510.959999999962747,908115.390000000130385,824725.580000000074506,850219.440000000060536,773552.250000000000000,850990.139999999897555,790825.589999999967404,808848.719999999972060,825345.000000000000000,798923.380000000004657,813579.119999999995343,847019.979999999981374,10818518.240000000223517
20180108,824199.720000000088476,898304.719999999972060,930935.880000000004657,833279.410000000032596,848188.080000000074506,773552.250000000000000,852246.779999999911524,788261.729999999981374,809674.109999999986030,832698.000000000000000,790037.040000000037253,816864.240000000107102,845567.469999999972060,10843819.429999999701977
20180109,827244.449999999953434,922283.600000000093132,933178.680000000051223,828063.660000000032596,852869.040000000037253,754188.569999999948777,856566.479999999864958,793159.359999999986030,809123.849999999976717,826764.000000000000000,789170.079999999958090,815290.119999999995343,832979.050000000046566,10840890.939999999478459
20180110,833004.750000000000000,927583.280000000027940,930038.760000000009313,832653.520000000018626,847128.240000000107102,734824.890000000013970,865991.279999999911524,792699.179999999934807,805455.449999999953434,828441.000000000000000,790470.520000000018626,814400.400000000023283,834270.169999999925494,10836971.439999999478459
20180111,828972.540000000037253,950345.840000000083819,948710.069999999948777,836617.490000000107102,859846.320000000065193,750557.880000000004657,870625.139999999897555,796544.969999999972060,807839.909999999916181,829344.000000000116415,792421.180000000051223,820286.240000000107102,841048.550000000046566,10933170.130000000819564
20180112,830947.500000000000000,973774.479999999981374,954877.770000000135042,852682.000000000000000,867530.160000000032596,747618.750000000000000,884997.959999999962747,803644.890000000013970,821779.829999999958090,834246.000000000000000,791987.699999999953434,821997.240000000107102,837013.800000000046566,11023108.080000000074506
20180116,825763.229999999981374,970733.680000000167638,949326.840000000083819,845797.210000000079162,867044.400000000023283,745889.849999999976717,881856.359999999869615,804532.380000000004657,810316.079999999958090,818121.000000000000000,793288.140000000013970,824050.440000000060536,833786.000000000000000,10970515.610000001266599
20180117,829219.410000000032596,1016635.280000000027940,944785.170000000041910,859566.790000000153668,882544.560000000055879,767501.099999999976717,887511.239999999874271,815609.570000000065193,826732.170000000041910,823152.000000000000000,805859.059999999939464,834932.400000000023283,834754.339999999967404,11128813.089999999850988
20180118,821813.309999999939464,985213.680000000167638,946635.480000000097789,861653.089999999967404,875964.720000000088476,769057.109999999986030,889631.819999999948777,808378.170000000041910,826365.329999999958090,827022.000000000000000,801741.000000000000000,842666.119999999995343,832010.709999999962747,11088162.539999999105930
20180119,806754.239999999990687,978176.400000000139698,955494.540000000037253,861444.460000000079162,889212.720000000088476,774935.369999999995343,887668.319999999948777,815839.660000000032596,825448.229999999981374,867011.999999999883585,800657.299999999930151,839860.080000000074506,837820.750000000000000,11140334.070000002160668
20180122,809140.649999999906868,978958.320000000065193,958185.900000000023283,869163.770000000018626,903034.800000000046566,791014.140000000013970,898035.599999999860302,812947.100000000093132,840213.539999999920838,856434.000000000000000,800440.559999999939464,851015.800000000046566,862836.200000000069849,11231430.380000000819564
20180123,806342.790000000037253,971978.959999999962747,949999.680000000051223,878343.490000000107102,904977.840000000083819,796373.730000000097789,897093.119999999878928,809692.969999999972060,842873.130000000004657,866109.000000000000000,798056.420000000041910,853205.880000000121072,859124.229999999981374,11234181.240000002086163
20180124,817205.069999999948777,969372.560000000055879,943888.050000000046566,879803.900000000139698,910806.960000000079162,786864.780000000027940,908559.959999999962747,814229.030000000027940,842139.449999999953434,877203.000000000000000,800440.559999999939464,852521.479999999981374,875101.839999999967404,11278146.640000002458692
20180125,820414.380000000004657,993756.880000000121072,949663.260000000009313,874170.890000000013970,907053.360000000102445,783234.089999999967404,908795.579999999958090,829579.320000000065193,846816.659999999916181,873461.999999999883585,806942.759999999892898,857106.959999999962747,876231.569999999948777,11327237.710000000894070
20180126,819920.640000000013970,994075.440000000176951,936711.090000000083819,887940.470000000088476,915267.119999999995343,865875.510000000009313,913665.059999999823049,850188.809999999939464,862682.489999999990687,877719.000000000116415,845522.479999999981374,864635.359999999986030,883171.339999999967404,11517384.809999998658895
20180129,818110.260000000009313,987125.040000000037253,911591.730000000097789,893990.740000000107102,905066.160000000032596,864146.609999999986030,912722.579999999958090,841576.869999999995343,861398.550000000046566,871785.000000000000000,845739.220000000088476,854506.240000000107102,873649.330000000074506,11441418.330000001937151
20180130,812349.959999999962747,978118.479999999981374,918207.989999999990687,881472.940000000060536,891332.400000000023283,843572.699999999953434,904161.719999999855645,826883.979999999981374,850576.769999999902211,868560.000000000000000,819296.939999999944121,845677.479999999981374,869937.359999999986030,11310158.719999998807907
20180131,818027.970000000088476,1026365.840000000083819,912713.130000000004657,866660.210000000079162,887313.840000000083819,832334.849999999976717,908559.959999999962747,823465.500000000000000,871394.940000000060536,880041.000000000000000,802824.699999999953434,850331.400000000023283,872680.989999999990687,11352724.330000000074506
20180201,822965.369999999995343,1033808.560000000055879,909685.350000000093132,869998.290000000153668,882897.840000000083819,823863.239999999990687,917984.759999999892898,815050.780000000027940,864516.690000000060536,872688.000000000116415,798273.159999999916181,860528.959999999962747,876392.959999999962747,11348663.960000000894070
20180202,795645.090000000083819,1010553.680000000167638,883052.100000000093132,853933.780000000027940,856710.960000000079162,797929.739999999990687,897642.899999999906868,805945.789999999920838,841772.609999999986030,867141.000000000000000,793504.880000000004657,827609.319999999948777,855089.479999999981374,11086541.330000001937151
20180205,757215.660000000032596,952546.800000000046566,847111.230000000097789,809078.330000000074506,808753.200000000069849,769748.670000000041910,854602.979999999864958,760815.280000000027940,807106.229999999981374,830634.000000000000000,751457.320000000065193,795853.160000000032596,815064.760000000009313,10559997.620000001043081
20180206,775072.590000000083819,987385.680000000167638,876996.540000000037253,838077.900000000139698,843772.080000000074506,776491.380000000004657,880599.719999999855645,768013.809999999939464,837645.659999999916181,841341.000000000000000,764678.459999999962747,821175.959999999962747,820390.630000000004657,10831651.410000002011657
20180207,770382.059999999939464,1008265.840000000083819,865390.050000000046566,841624.610000000102445,844876.080000000074506,781505.190000000060536,886568.759999999892898,766567.530000000027940,821871.539999999920838,846629.999999999883585,758176.259999999892898,818985.880000000121072,823295.650000000023283,10834149.450000001117587
20180208,727015.229999999981374,954805.680000000167638,818571.600000000093132,808869.700000000069849,800406.960000000079162,739147.140000000013970,847377.299999999930151,732711.429999999934807,779684.940000000060536,806124.000000000000000,728916.360000000102445,779359.119999999995343,791501.819999999948777,10314501.279999999329448
20180209,754829.250000000000000,963986.000000000000000,836626.140000000130385,824725.580000000074506,813213.360000000102445,759893.940000000060536,864341.939999999944121,740337.270000000018626,808757.010000000009313,844823.999999999883585,740403.579999999958090,796195.359999999986030,805058.580000000074506,10553202.009999999776483
20180212,779351.670000000041910,995755.120000000111759,853895.699999999953434,847048.990000000107102,812948.400000000023283,775108.260000000009313,877693.739999999874271,753419.530000000027940,817469.459999999962747,851145.000000000000000,751240.579999999958090,810909.959999999962747,808770.550000000046566,10734766.960000000894070
20180213,778199.609999999986030,993901.680000000167638,863315.460000000079162,860192.680000000051223,811446.960000000079162,768711.330000000074506,883113.000000000000000,760552.320000000065193,823889.159999999916181,849726.000000000116415,757309.299999999930151,810088.679999999934807,808286.380000000004657,10768742.560000002384186
20180214,791942.040000000037253,998795.920000000158325,886248.090000000083819,878134.860000000102445,815730.480000000097789,784617.210000000079162,903533.399999999906868,762656.000000000000000,832876.739999999990687,876686.999999999883585,762727.799999999930151,827061.800000000046566,799087.150000000023283,10920108.490000002086163
20180215,794657.609999999986030,1032418.479999999981374,897013.530000000027940,919652.229999999981374,818291.760000000125729,793953.270000000018626,907303.319999999948777,772089.690000000060536,849843.089999999967404,880944.000000000116415,773998.280000000027940,836985.600000000093132,802799.119999999995343,11079959.980000000447035
20180216,796550.280000000027940,1028306.160000000149012,876323.699999999953434,924867.979999999981374,825798.960000000079162,787729.230000000097789,900784.500000000000000,778006.289999999920838,843790.229999999981374,881073.000000000000000,785918.979999999981374,834042.679999999934807,809416.109999999986030,11072618.099999999627471
20180220,799841.880000000004657,1023411.920000000158325,872230.590000000083819,919234.970000000088476,824650.800000000046566,800868.869999999995343,901020.119999999878928,772747.089999999967404,850393.349999999976717,870623.999999999883585,780500.479999999981374,835137.720000000088476,789565.140000000013970,11040236.930000001564622
20180221,802392.869999999995343,1020573.840000000083819,870380.280000000027940,903587.720000000088476,808532.400000000023283,794299.049999999930151,904790.039999999920838,763247.660000000032596,839113.019999999902211,864948.000000000000000,775081.979999999981374,824324.200000000069849,774071.700000000069849,10945352.759999997913837
20180222,801158.519999999902211,1030854.640000000130385,890733.690000000060536,895868.410000000032596,819174.960000000079162,791878.589999999967404,903140.699999999953434,775804.000000000000000,841314.060000000055879,865979.999999999883585,774648.500000000000000,823982.000000000000000,772619.189999999944121,10987167.259999999776483
20180223,813090.569999999948777,1032997.680000000167638,910638.540000000037253,917983.190000000060536,831893.040000000037253,825246.359999999986030,921440.519999999902211,779156.739999999990687,862682.489999999990687,879267.000000000000000,785918.979999999981374,841434.200000000069849,779397.569999999948777,11181156.879999998956919
20180226,836460.930000000051223,1052748.400000000139698,917815.500000000000000,946356.869999999995343,832378.800000000046566,849105.180000000051223,932907.359999999869615,802560.179999999934807,875155.050000000046566,898488.000000000116415,803908.400000000023283,852795.240000000107102,792308.770000000018626,11392998.679999999701977
20180227,819509.189999999944121,1056107.760000000009313,904190.489999999990687,939680.710000000079162,817011.119999999995343,862936.380000000004657,921833.219999999855645,791515.859999999986030,863966.430000000051223,877590.000000000000000,797622.939999999944121,844445.560000000055879,775362.819999999948777,11271782.480000000447035
20180228,802475.160000000032596,1049070.479999999981374,867016.080000000074506,934256.330000000074506,805043.760000000125729,852217.199999999953434,907224.779999999911524,774193.369999999995343,860022.899999999906868,864690.000000000000000,787002.680000000051223,841502.640000000013970,770521.119999999995343,11115246.500000000000000
20180301,782972.430000000051223,1012812.560000000055879,842345.280000000027940,913810.589999999967404,793429.680000000051223,827148.150000000023283,890967.000000000000000,760486.579999999958090,851585.579999999958090,855530.999999999883585,772264.360000000102445,824118.880000000121072,774071.700000000069849,10901553.789999999105930
20180302,786757.769999999902211,998274.640000000130385,820758.330000000074506,919234.970000000088476,788218.800000000046566,846857.609999999986030,890103.059999999823049,757298.190000000060536,853419.779999999911524,849984.000000000000000,779200.040000000037253,826651.160000000032596,778913.400000000023283,10895681.750000001862645
