訓練日期,20190514 - 20190814
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10370393.519999999552965
真實報酬,370393.519999999552965

夏普值報酬,0.028339352000000
夏普值風險,0.027861132455730
夏普值,1.017164397212867

預期報酬,15813.308682432076239
風險,202923.893448165181326
趨勢值,0.077927287978394
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](7),DD[7](15),HD[9](6),IBM[10](12),INTC[11](13),MCD[15](1),MRK[17](9),PG[21](4),TRV[22](16),UTX[24](27),
20190528,1019585.559999999939464,1017650.600000000209548,1006356.130000000004657,992695.360000000102445,973414.210000000079162,988143.359999999986030,1040040.220000000088476,984450.399999999906868,1020012.510000000125729,984540.879999999888241,10026889.230000000447035
20190529,1009577.079999999958090,1028116.000000000000000,998161.450000000069849,986836.430000000051223,988159.270000000018626,984877.760000000125729,1028378.020000000018626,981905.919999999925494,1011575.180000000051223,981130.780000000027940,9998717.889999998733401
20190530,1007247.519999999902211,1030771.400000000023283,1003887.220000000088476,985923.350000000093132,999329.770000000018626,1001055.040000000037253,1032524.580000000074506,992649.280000000027940,1016177.359999999986030,973022.320000000065193,10042587.839999999850988
20190531,989732.679999999818392,1009372.000000000116415,997426.029999999911524,966292.130000000004657,983914.480000000097789,996181.760000000125729,1026434.319999999948777,969843.199999999953434,1015061.680000000051223,957108.520000000018626,9911366.800000000745058
20190603,988956.159999999916181,1188689.600000000093132,995955.189999999944121,976031.650000000139698,970956.700000000069849,998744.000000000000000,1040040.220000000088476,978230.559999999939464,1023568.739999999990687,961352.199999999953434,10122525.019999997690320
20190604,1008196.599999999860302,1157605.800000000046566,1025792.229999999981374,1009663.430000000051223,1000670.230000000097789,1003014.400000000023283,1050665.779999999795109,986523.680000000051223,1028868.220000000088476,980372.979999999981374,10251373.350000001490116
20190605,1019154.159999999916181,1169320.800000000046566,1033356.549999999930151,1000532.630000000121072,995308.390000000013970,1005526.400000000023283,1058570.160000000149012,1005842.880000000004657,1044906.119999999995343,995453.200000000069849,10327971.289999999105930
20190606,1030456.839999999967404,1134956.800000000046566,1035877.989999999874271,1006087.200000000069849,1007595.940000000060536,1020196.480000000097789,1055330.660000000149012,1011968.479999999981374,1038979.070000000065193,997802.379999999888241,10339251.839999999850988
20190607,1044951.879999999888241,1150264.400000000139698,1036560.880000000004657,1014381.010000000125729,1028373.070000000065193,1032404.799999999930151,1068547.819999999832362,1025067.839999999967404,1042674.760000000125729,1001439.820000000065193,10444666.279999999329448
20190610,1058325.279999999795109,1151982.600000000093132,1040500.630000000004657,1025261.880000000121072,1045575.640000000013970,1011404.480000000097789,1068806.979999999981374,1024596.640000000013970,1041210.430000000051223,970066.899999999906868,10437731.460000000894070
20190611,1063243.239999999757856,1151670.200000000186265,1040290.509999999892898,1034468.770000000018626,1046692.690000000060536,1021251.520000000018626,1075285.979999999981374,1030816.479999999981374,1040303.940000000060536,931646.439999999944121,10435669.769999999552965
20190612,1052889.640000000130385,1147452.800000000046566,1045175.799999999930151,1026251.050000000162981,1034851.960000000079162,1029641.600000000093132,1084745.319999999832362,1033643.680000000051223,1044069.359999999986030,940209.579999999958090,10438930.789999999105930
20190613,1051422.879999999888241,1168852.199999999953434,1063088.530000000027940,1033023.060000000055879,1043341.540000000153668,1027431.040000000037253,1074249.340000000316650,1045235.199999999953434,1041838.000000000000000,945817.300000000046566,10494299.089999999850988
20190614,1052630.799999999813735,1172757.199999999953434,1081053.790000000037253,1028381.570000000181608,1031947.630000000004657,1031450.239999999990687,1072694.379999999888241,1047968.160000000032596,1046719.100000000209548,949530.520000000018626,10515133.389999998733401
20190617,1047885.399999999906868,1167602.600000000093132,1087409.919999999925494,1026859.770000000018626,1030607.170000000158325,1024014.720000000088476,1079432.540000000037253,1045989.119999999995343,1045394.229999999981374,941422.060000000055879,10496617.529999999329448
20190618,1064968.839999999850988,1159792.600000000093132,1090036.419999999925494,1037740.640000000013970,1058310.010000000009313,1027531.520000000018626,1094852.560000000055879,1032889.759999999892898,1048253.160000000149012,959533.479999999981374,10573908.990000000223517
20190619,1075753.839999999850988,1139799.000000000000000,1092452.800000000046566,1043066.940000000176951,1051607.710000000195578,1027732.480000000097789,1106126.020000000018626,1040617.439999999944121,1057108.870000000111759,960594.400000000023283,10594859.500000001862645
20190620,1077824.560000000055879,1171195.200000000186265,1109840.229999999981374,1056534.870000000111759,1054288.630000000121072,1030596.160000000032596,1096277.939999999944121,1053057.120000000111759,1061222.939999999944121,985374.459999999962747,10696212.109999999403954
20190621,1076185.239999999757856,1165884.400000000139698,1100069.649999999906868,1059198.020000000018626,1060320.700000000186265,1026275.520000000018626,1095889.199999999720603,1047968.160000000032596,1056272.110000000102445,975674.619999999995343,10663737.619999997317791
20190624,1071094.719999999739230,1166821.600000000093132,1079635.479999999981374,1060339.370000000111759,1064118.670000000158325,1024567.359999999986030,1108069.720000000204891,1058617.279999999795109,1060037.530000000027940,986511.160000000032596,10679812.889999998733401
20190625,1062639.279999999795109,1157918.199999999953434,1075643.199999999953434,1052806.459999999962747,1046692.690000000060536,1033560.320000000065193,1104571.060000000055879,1052868.640000000130385,1067777.560000000055879,977720.680000000051223,10632198.090000001713634
20190626,1066349.319999999832362,1153388.400000000139698,1084468.239999999990687,1054023.900000000372529,1076629.630000000121072,1027732.480000000097789,1082542.459999999962747,1034114.880000000004657,1036887.170000000041910,968172.400000000023283,10584308.880000000819564
20190627,1069369.120000000111759,1153232.199999999953434,1087620.040000000037253,1054023.900000000372529,1060320.700000000186265,1036373.760000000125729,1086300.279999999795109,1034586.079999999958090,1040373.670000000041910,977341.780000000027940,10599541.529999999329448
20190628,1065055.120000000111759,1172601.000000000000000,1092610.389999999897555,1049306.320000000298023,1069480.510000000009313,1043357.119999999995343,1086559.439999999944121,1033360.960000000079162,1042605.030000000144355,986662.719999999855645,10641598.610000001266599
20190701,1077824.560000000055879,1184316.000000000000000,1104744.820000000065193,1064372.140000000130385,1073501.890000000130385,1036524.480000000097789,1098221.640000000130385,1041277.119999999995343,1055853.729999999981374,995301.640000000013970,10731938.020000001415610
20190702,1079377.600000000093132,1169008.400000000139698,1104009.399999999906868,1066959.200000000186265,1075065.760000000009313,1053003.200000000186265,1108069.720000000204891,1050606.879999999888241,1065685.660000000149012,1000000.000000000000000,10771785.820000000298023
20190703,1085934.879999999888241,1158699.200000000186265,1114305.280000000027940,1077003.080000000074506,1084002.160000000149012,1069230.719999999972060,1126081.340000000316650,1075109.279999999795109,1075935.970000000204891,1007881.119999999995343,10874183.029999999329448
20190705,1081966.000000000000000,1151826.399999999906868,1110943.360000000102445,1075785.640000000130385,1074172.120000000111759,1061343.040000000037253,1109235.939999999944121,1066344.959999999962747,1074471.640000000130385,1004395.239999999990687,10810484.340000001713634
20190708,1077220.600000000093132,1126365.800000000046566,1118560.209999999962747,1069622.350000000093132,1068363.460000000195578,1065965.120000000111759,1089021.459999999962747,1074826.560000000055879,1072449.470000000204891,991739.979999999981374,10754135.010000001639128
20190709,1086280.000000000000000,1093407.600000000093132,1113779.979999999981374,1060187.190000000409782,1066799.590000000083819,1065613.439999999944121,1099647.020000000018626,1064083.200000000186265,1070008.919999999925494,988102.539999999920838,10707909.479999998584390
20190710,1094821.719999999739230,1087940.600000000093132,1107213.729999999981374,1068861.450000000186265,1077076.450000000186265,1070185.280000000027940,1099128.699999999720603,1071999.359999999869615,1069172.160000000149012,988557.219999999855645,10734956.669999999925494
20190711,1098186.640000000130385,1085597.600000000093132,1124496.099999999860302,1074720.380000000353903,1085789.440000000176951,1068627.840000000083819,1049629.140000000130385,1077936.479999999981374,1062896.460000000195578,995301.640000000013970,10723181.720000002533197
20190712,1104053.679999999701977,1117150.000000000000000,1146506.169999999925494,1086133.880000000353903,1115279.560000000055879,1070135.040000000037253,1033172.480000000097789,1083685.120000000111759,1069590.540000000037253,1013337.280000000027940,10839043.750000001862645
20190715,1109316.759999999776483,1123710.400000000139698,1148975.079999999841675,1090547.100000000093132,1119747.760000000009313,1076264.320000000065193,1049110.819999999832362,1088302.879999999888241,1079631.660000000149012,1009624.059999999939464,10895230.840000001713634
20190716,1104916.479999999981374,1129646.000000000000000,1141410.760000000009313,1092144.990000000223517,1098523.810000000055879,1073802.560000000055879,1057274.359999999869615,1092166.720000000204891,1077958.140000000130385,1009320.939999999944121,10877164.760000001639128
20190717,1096461.040000000037253,1113713.600000000093132,1132743.310000000055879,1088644.850000000093132,1103438.830000000074506,1073752.320000000065193,1061550.500000000000000,1092637.919999999925494,1062547.810000000055879,985904.919999999925494,10811395.100000001490116
20190718,1107850.000000000000000,1118087.199999999953434,1126597.300000000046566,1138559.890000000130385,1115726.380000000121072,1084805.120000000111759,1071528.160000000149012,1087925.919999999925494,1064848.900000000139698,994998.520000000135042,10910927.390000000596046
20190719,1076961.759999999776483,1117931.000000000000000,1119243.099999999860302,1138940.340000000316650,1123098.910000000149012,1074556.160000000149012,1054682.760000000242144,1083873.600000000093132,1047555.859999999986030,1003258.539999999920838,10840102.029999997466803
20190722,1087142.799999999813735,1124179.000000000000000,1109945.290000000037253,1139396.880000000353903,1147227.190000000176951,1080233.280000000027940,1052350.319999999832362,1086606.560000000055879,1043929.900000000139698,1007502.219999999855645,10878513.440000003203750
20190723,1106124.399999999906868,1144016.399999999906868,1119453.219999999972060,1144266.640000000130385,1156163.590000000083819,1076766.719999999972060,1062975.879999999888241,1072941.759999999776483,1028519.570000000065193,1022582.439999999944121,10933810.619999999180436
20190724,1103967.399999999906868,1159480.200000000186265,1128015.610000000102445,1141603.490000000223517,1182302.560000000055879,1069080.000000000000000,1059347.640000000130385,1061161.759999999776483,1037933.119999999995343,1017353.619999999995343,10960245.399999998509884
20190725,1097065.000000000000000,1142610.600000000093132,1132428.130000000121072,1144342.729999999981374,1165323.399999999906868,1077419.840000000083819,1059347.640000000130385,1062763.839999999850988,1035422.840000000083819,1033343.200000000069849,10950067.220000000670552
20190726,1093872.640000000130385,1143547.800000000046566,1139572.209999999962747,1151723.459999999962747,1152589.030000000260770,1083147.200000000186265,1055201.080000000074506,1081234.879999999888241,1045463.960000000079162,1027811.260000000009313,10974163.520000001415610
20190729,1097410.120000000111759,1141673.400000000139698,1145508.099999999860302,1148071.140000000130385,1173142.750000000000000,1080132.800000000046566,1068936.560000000055879,1093203.359999999869615,1037166.090000000083819,1028493.280000000027940,11013737.599999997764826
20190730,1091197.959999999962747,1146515.600000000093132,1141936.060000000055879,1139625.150000000372529,1155046.540000000037253,1066869.439999999944121,1079043.799999999813735,1134763.200000000186265,1029356.330000000074506,1025310.520000000135042,11009664.599999999627471
20190731,1073079.160000000149012,1127146.800000000046566,1122657.550000000046566,1127983.380000000353903,1129354.390000000130385,1058730.560000000055879,1075415.560000000055879,1112428.319999999832362,1022383.330000000074506,1012427.919999999925494,10861606.970000002533197
20190801,1070663.319999999832362,1119805.400000000139698,1118139.969999999972060,1143810.100000000093132,1105896.340000000083819,1061393.280000000027940,1084486.160000000149012,1100082.879999999888241,1016526.010000000125729,999090.640000000013970,10819894.099999999627471
20190802,1072561.479999999981374,1078568.600000000093132,1114567.929999999934807,1120450.470000000204891,1087576.719999999972060,1077620.800000000046566,1094593.399999999906868,1097349.919999999925494,1024475.229999999981374,991285.300000000046566,10759049.850000001490116
20190805,1041586.959999999962747,1031864.800000000162981,1076693.800000000046566,1071068.060000000055879,1049373.610000000102445,1057374.080000000074506,1077100.100000000093132,1065685.279999999795109,1003625.960000000079162,952940.619999999995343,10427313.270000001415610
20190806,1057376.199999999720603,1070446.200000000186265,1096970.380000000121072,1070839.790000000037253,1049150.200000000186265,1075611.200000000186265,1093038.439999999944121,1076994.080000000074506,1017781.150000000139698,976053.520000000135042,10584261.160000000149012
20190807,1065917.919999999925494,1089815.000000000000000,1092295.209999999962747,1058513.209999999962747,1044011.770000000018626,1089427.200000000186265,1091742.640000000130385,1088679.839999999850988,1027543.350000000209548,977644.899999999906868,10625591.039999999105930
20190808,1081016.919999999925494,1105278.800000000279397,1111521.189999999944121,1066046.120000000111759,1053841.810000000055879,1095355.520000000018626,1097962.479999999981374,1106773.919999999925494,1033540.130000000004657,996362.559999999939464,10747699.450000001117587
20190809,1088609.560000000055879,1078412.400000000139698,1103379.040000000037253,1035838.390000000013970,1027256.020000000018626,1111130.880000000121072,1108199.299999999813735,1100554.080000000074506,1039467.180000000051223,994543.840000000083819,10687390.689999999478459
20190812,1069455.399999999906868,1061230.400000000139698,1087567.510000000009313,1017120.250000000000000,1018766.440000000060536,1091085.120000000111759,1101720.299999999813735,1093486.080000000074506,1021197.920000000041910,970142.680000000051223,10531772.099999999627471
20190813,1089903.759999999776483,1069665.200000000186265,1094501.469999999972060,1033251.330000000074506,1046469.280000000144355,1103996.800000000046566,1115455.779999999795109,1104983.359999999869615,1033540.130000000004657,977190.219999999855645,10668957.330000000074506
20190814,1058239.000000000000000,1027491.200000000069849,1059096.250000000000000,998706.470000000088476,1024798.510000000009313,1087668.800000000046566,1080728.340000000316650,1091224.319999999832362,1000488.109999999986030,941952.520000000018626,10370393.519999999552965
