訓練日期,20101227 - 20110329
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10960367.579999998211861
真實報酬,960367.579999998211861

夏普值報酬,0.087336758000000
夏普值風險,0.025884654824281
夏普值,3.374074662879960

預期報酬,13217.942499866556318
風險,117562.079693329986185
趨勢值,0.112433724669950
找到最佳解世代,51
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](6),CVX[5](2),GS[8](26),MCD[15](23),MMM[16](7),PFE[20](1),TRV[22](11),UNH[23](3),UTX[24](17),VZ[26](19),
20110302,1069027.239999999757856,1141035.329999999841675,964740.940000000060536,970505.890000000013970,1056085.399999999906868,1089720.300000000279397,1060019.919999999925494,1217777.239999999990687,1032073.899999999906868,1025394.400000000139698,10626380.560000000521541
20110303,1103752.600000000093132,1148974.769999999785796,981445.740000000107102,990645.040000000037253,1073315.760000000242144,1122655.600000000093132,1064345.680000000167638,1252163.119999999878928,1054714.299999999813735,1025958.720000000088476,10817971.330000000074506
20110304,1090942.330000000074506,1144122.889999999897555,960624.400000000023283,987916.510000000125729,1066146.080000000074506,1116409.250000000000000,1066688.800000000279397,1242658.080000000074506,1042262.079999999958090,1018058.239999999990687,10735828.660000000149012
20110307,1081308.160000000149012,1135962.909999999916181,949587.300000000046566,991294.690000000176951,1068574.520000000018626,1113570.000000000000000,1062723.520000000018626,1217777.239999999990687,1034966.839999999967404,1016083.119999999995343,10671848.299999998882413
20110308,1102482.160000000149012,1144343.429999999934807,962414.200000000069849,981549.940000000176951,1084185.919999999925494,1117544.950000000186265,1064525.919999999925494,1225325.359999999869615,1047293.280000000027940,1029344.640000000013970,10759009.800000000745058
20110309,1083743.169999999925494,1126369.419999999925494,968678.500000000000000,984668.260000000125729,1077478.800000000279397,1116409.250000000000000,1070654.080000000074506,1243776.319999999832362,1042639.420000000041910,1034141.359999999986030,10748558.580000000074506
20110310,1041712.780000000027940,1092626.799999999813735,956269.220000000088476,996361.960000000195578,1040936.560000000055879,1099373.750000000000000,1054792.959999999962747,1224207.119999999878928,1017860.760000000009313,1027087.359999999986030,10551229.269999999552965
20110311,1058969.589999999850988,1101999.750000000000000,958715.280000000027940,997011.610000000102445,1059438.959999999962747,1105620.100000000093132,1061281.600000000093132,1218615.919999999925494,1022388.839999999967404,1011568.560000000172295,10595610.210000000894070
20110314,1080990.549999999813735,1111593.239999999757856,945291.780000000027940,983239.030000000144355,1052616.200000000186265,1124927.000000000000000,1060921.120000000111759,1206594.839999999850988,1015596.719999999972060,992663.840000000083819,10574434.320000000298023
20110315,1066698.100000000093132,1116334.849999999860302,938251.900000000023283,976092.880000000121072,1035038.920000000041910,1122087.750000000000000,1054792.959999999962747,1196251.119999999878928,1000125.780000000027940,983916.880000000004657,10489591.140000000596046
20110316,1062992.649999999906868,1097368.409999999916181,921129.479999999981374,953485.060000000055879,1012489.119999999995343,1095966.649999999906868,1046321.680000000051223,1170252.039999999804422,985283.739999999990687,967833.760000000009313,10313122.589999997988343
20110317,1091789.290000000037253,1127472.119999999878928,929302.900000000023283,953744.920000000158325,1025672.079999999958090,1128901.950000000186265,1057676.800000000279397,1181714.000000000000000,999874.219999999972060,996896.239999999990687,10493044.520000001415610
20110318,1112328.069999999832362,1133647.239999999757856,954419.760000000125729,948417.790000000037253,1029025.640000000130385,1145937.450000000186265,1046501.920000000158325,1190939.479999999981374,1008301.479999999981374,1011286.400000000139698,10580805.230000000447035
20110321,1139113.180000000167638,1160001.769999999785796,955911.260000000125729,958422.400000000139698,1051806.720000000204891,1134580.450000000186265,1062543.280000000260770,1207433.519999999785796,1024652.879999999888241,1028780.320000000065193,10723245.780000001192093
20110322,1130643.580000000074506,1160442.849999999860302,959371.539999999920838,959851.630000000121072,1048915.720000000204891,1132309.050000000279397,1050467.200000000186265,1194853.319999999832362,1017357.639999999897555,1042606.160000000149012,10696818.690000001341105
20110323,1130325.970000000204891,1163199.599999999860302,951854.380000000004657,968427.010000000125729,1065567.879999999888241,1131173.350000000093132,1053170.800000000279397,1195132.879999999888241,1029684.079999999958090,1043452.640000000013970,10731988.590000001713634
20110324,1147371.040000000037253,1162096.899999999906868,954121.459999999962747,973624.210000000195578,1070656.040000000037253,1152751.649999999906868,1060380.399999999906868,1224486.679999999701977,1041004.280000000027940,1049095.839999999850988,10835588.500000000000000
20110325,1154993.680000000167638,1177534.699999999953434,942547.420000000041910,977781.970000000088476,1067071.200000000186265,1155590.899999999906868,1063084.000000000000000,1223088.879999999888241,1050563.560000000055879,1052199.600000000093132,10864455.910000000149012
20110328,1158275.649999999906868,1169374.719999999972060,933598.420000000041910,974533.720000000088476,1065336.600000000093132,1151048.100000000093132,1061822.319999999832362,1226443.599999999860302,1049934.659999999916181,1065178.959999999962747,10855546.750000000000000
20110329,1170344.830000000074506,1184040.629999999888241,945530.420000000041910,979341.130000000121072,1073662.680000000167638,1157294.450000000186265,1068130.720000000204891,1243496.759999999776483,1058110.360000000102445,1080415.600000000093132,10960367.579999998211861
