訓練日期,20130606 - 20130906
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10599512.260000001639128
真實報酬,599512.260000001639128

夏普值報酬,0.051251226000000
夏普值風險,0.028631191931366
夏普值,1.790048633771791

預期報酬,10689.196361074033121
風險,186664.020226136286510
趨勢值,0.057264363791825
找到最佳解世代,40
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](10),AXP[1](23),DD[7](5),GS[8](17),HD[9](11),MRK[17](26),NKE[19](6),UNH[23](1),UTX[24](2),
20130807,1160734.320000000065193,1116758.559999999823049,1198039.750000000000000,1147258.849999999627471,1166296.349999999860302,1107006.820000000065193,1180914.139999999897555,1312092.810000000055879,1266647.920000000158325,10655750.519999999552965
20130808,1150774.709999999962747,1132363.659999999916181,1218439.030000000027940,1142977.259999999776483,1184198.300000000046566,1105182.739999999990687,1188470.149999999906868,1316770.990000000223517,1269395.500000000000000,10708573.339999999850988
20130809,1134350.089999999850988,1122108.879999999888241,1255760.439999999944121,1137993.769999999785796,1168367.649999999906868,1103358.659999999916181,1193147.679999999934807,1312272.740000000223517,1261750.060000000055879,10689110.970000000670552
20130812,1166675.139999999897555,1121960.259999999776483,1237215.639999999897555,1134905.409999999683350,1171770.500000000000000,1105182.739999999990687,1196745.779999999795109,1302556.520000000018626,1260794.380000000121072,10697807.369999999180436
20130813,1222064.549999999813735,1132958.139999999897555,1250428.809999999823049,1149083.789999999804422,1175321.300000000046566,1104270.699999999953434,1184152.429999999934807,1319829.799999999813735,1275846.340000000083819,10813956.859999999403954
20130814,1244255.259999999776483,1127756.439999999711290,1246256.229999999981374,1146486.759999999776483,1145731.300000000046566,1107462.840000000083819,1157526.489999999990687,1304355.819999999832362,1255060.300000000046566,10734892.439999999478459
20130815,1242857.419999999925494,1112894.439999999711290,1226552.379999999888241,1128307.549999999813735,1111702.800000000046566,1093782.239999999990687,1142414.469999999972060,1284743.450000000186265,1230332.080000000074506,10573587.830000000074506
20130816,1253865.409999999916181,1117204.419999999925494,1217743.599999999860302,1127675.839999999850988,1115253.599999999860302,1087625.969999999972060,1145292.949999999953434,1285283.240000000223517,1231407.219999999972060,10581353.250000000000000
20130819,1267319.619999999878928,1104868.959999999962747,1209166.629999999888241,1113427.269999999785796,1112738.449999999953434,1084889.850000000093132,1164003.070000000065193,1290321.279999999795109,1226031.520000000018626,10572767.649999998509884
20130820,1250720.270000000018626,1103828.619999999878928,1219829.889999999897555,1119954.939999999944121,1099127.050000000046566,1084433.830000000074506,1162923.639999999897555,1303816.029999999795109,1223283.940000000176951,10567919.209999997168779
20130821,1254040.139999999897555,1091493.159999999916181,1226088.760000000009313,1102758.389999999897555,1090841.850000000093132,1082153.729999999981374,1153928.389999999897555,1292840.299999999813735,1214921.739999999990687,10509067.459999999031425
20130822,1255437.979999999748543,1097735.199999999953434,1227711.429999999934807,1118902.089999999850988,1094836.500000000000000,1090134.080000000074506,1166881.550000000046566,1294999.459999999962747,1229973.699999999953434,10576612.989999998360872
20130823,1250545.539999999804422,1094614.179999999934807,1278941.439999999944121,1113567.649999999906868,1093209.050000000046566,1088310.000000000000000,1155007.820000000065193,1305255.470000000204891,1228062.340000000083819,10607514.490000000223517
20130826,1255437.979999999748543,1094019.699999999953434,1275927.909999999916181,1108303.399999999906868,1115993.350000000093132,1085801.889999999897555,1149970.479999999981374,1302376.589999999850988,1222089.340000000083819,10609921.639999998733401
20130827,1219618.329999999841675,1068754.299999999813735,1239997.359999999869615,1075524.669999999692664,1096611.900000000139698,1074173.380000000121072,1130180.929999999934807,1286902.609999999869615,1193896.780000000027940,10385661.259999997913837
20130828,1225384.419999999925494,1070240.500000000000000,1236288.399999999906868,1073699.729999999748543,1110075.350000000093132,1073717.360000000102445,1140255.610000000102445,1287262.470000000204891,1194374.620000000111759,10411299.460000000894070
20130829,1227306.449999999953434,1073361.519999999785796,1238606.500000000000000,1078332.269999999785796,1110371.250000000000000,1073945.370000000111759,1142054.659999999916181,1303456.169999999925494,1200108.699999999953434,10447543.889999998733401
20130830,1216123.729999999748543,1068754.299999999813735,1234665.729999999981374,1067803.769999999785796,1102086.049999999813735,1078277.560000000055879,1130180.929999999934807,1290861.069999999832362,1195808.139999999897555,10384562.279999999329448
20130903,1219618.329999999841675,1076482.540000000037253,1236056.589999999850988,1086263.739999999757856,1093357.000000000000000,1076453.479999999981374,1156806.869999999878928,1305615.330000000074506,1226389.899999999906868,10477044.779999999329448
20130904,1244779.449999999953434,1087034.559999999823049,1247183.469999999972060,1093142.359999999869615,1096907.800000000046566,1087169.949999999953434,1171918.889999999897555,1319829.799999999813735,1234752.100000000093132,10582719.379999998956919
20130905,1236217.679999999934807,1096843.479999999748543,1268046.369999999878928,1096160.529999999795109,1079893.549999999813735,1083293.780000000027940,1176236.609999999869615,1332244.970000000204891,1238574.820000000065193,10607512.789999999105930
20130906,1243556.339999999850988,1090155.579999999841675,1272914.379999999888241,1099599.839999999850988,1075603.000000000000000,1082837.760000000009313,1169040.410000000149012,1332604.830000000074506,1233199.120000000111759,10599512.260000001639128
