訓練日期,20190510 - 20190812
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10379155.280000001192093
真實報酬,379155.280000001192093

夏普值報酬,0.029215528000000
夏普值風險,0.024129602208043
夏普值,1.210775368284410

預期報酬,11271.141561415688557
風險,146549.200307490216801
趨勢值,0.076910290453762
找到最佳解世代,61
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
HD[9](8),IBM[10](14),KO[14](3),MRK[17](9),PG[21](2),VZ[26](21),XOM[29](28),
20190523,1409631.219999999972060,1397433.750000000000000,1502409.100000000093132,1477628.530000000027940,1463105.080000000074506,1489021.270000000018626,1373119.160000000149012,10112351.110000001266599
20190524,1421303.409999999916181,1396272.699999999953434,1495175.979999999981374,1480364.080000000074506,1462145.800000000046566,1500403.120000000111759,1378887.639999999897555,10134555.730000000447035
20190528,1406327.770000000018626,1377062.600000000093132,1479805.600000000093132,1463768.410000000149012,1431585.879999999888241,1485480.250000000000000,1351161.719999999972060,9995195.230000002309680
20190529,1394875.810000000055879,1368935.250000000000000,1465037.979999999981374,1447355.110000000102445,1427885.800000000046566,1471569.100000000093132,1342788.120000000111759,9918450.170000001788139
20190530,1402877.500000000000000,1367668.649999999906868,1484326.300000000046566,1453190.950000000186265,1443508.360000000102445,1437423.550000000046566,1339252.600000000093132,9928250.910000000149012
20190531,1393848.069999999832362,1340436.750000000000000,1480709.740000000223517,1444619.559999999823049,1410344.679999999934807,1374696.910000000149012,1316923.000000000000000,9761581.710000000894070
20190603,1391792.589999999850988,1353947.150000000139698,1506327.040000000037253,1463768.410000000149012,1422541.239999999990687,1426041.700000000186265,1337577.879999999888241,9901999.010000001639128
20190604,1433489.469999999972060,1400600.250000000000000,1506929.800000000046566,1478722.750000000000000,1434600.760000000242144,1421994.820000000065193,1369397.560000000055879,10045738.410000000149012
20190605,1444060.510000000009313,1387934.250000000232831,1530437.440000000176951,1489847.320000000065193,1462693.960000000195578,1442482.150000000139698,1358046.680000000167638,10115505.310000000521541
20190606,1447584.189999999944121,1395639.400000000139698,1549123.000000000000000,1485288.070000000065193,1471601.560000000055879,1455381.580000000074506,1382795.320000000065193,10187416.120000001043081
20190607,1448538.520000000018626,1407144.350000000093132,1551835.420000000158325,1503889.809999999823049,1490650.119999999878928,1447793.680000000167638,1387819.479999999981374,10237674.380000000819564
20190610,1454044.270000000018626,1422238.000000000232831,1548520.240000000223517,1504254.550000000046566,1489964.919999999925494,1420224.310000000055879,1393960.120000000111759,10233209.410000000149012
20190611,1453750.629999999888241,1435009.549999999813735,1547013.340000000083819,1513373.050000000046566,1499009.560000000055879,1437423.550000000046566,1392657.560000000055879,10278240.240000000223517
20190612,1460577.760000000009313,1423610.150000000139698,1556356.120000000111759,1526686.059999999823049,1503120.760000000242144,1450828.840000000083819,1377585.080000000074506,10298767.769999999552965
20190613,1485610.569999999832362,1433004.099999999860302,1540985.740000000223517,1511914.090000000083819,1519976.679999999934807,1457405.020000000018626,1389680.280000000260770,10338579.480000000447035
20190614,1510716.790000000037253,1426565.550000000046566,1546410.580000000074506,1509725.650000000139698,1523950.840000000083819,1474098.400000000139698,1383539.639999999897555,10375010.450000001117587
20190617,1519599.399999999906868,1424454.549999999813735,1533149.859999999869615,1519208.889999999897555,1521073.000000000000000,1457657.950000000186265,1397309.560000000055879,10372456.209999999031425
20190618,1523269.899999999906868,1439548.199999999953434,1526218.120000000111759,1540910.919999999925494,1502024.439999999944121,1450070.050000000046566,1409404.760000000009313,10391449.390000000596046
20190619,1526646.760000000009313,1446936.700000000186265,1540684.359999999869615,1556777.110000000102445,1513261.719999999972060,1457657.950000000186265,1401589.399999999906868,10443557.000000001862645
20190620,1550945.469999999972060,1465619.050000000046566,1556958.879999999888241,1542916.989999999990687,1531351.000000000000000,1450322.980000000214204,1425593.719999999972060,10523711.090000001713634
20190621,1537291.209999999962747,1469313.299999999813735,1553643.699999999953434,1542369.879999999888241,1523950.840000000083819,1461198.970000000204891,1445690.360000000102445,10533461.259999999776483
20190624,1508734.719999999972060,1470896.550000000046566,1564794.760000000009313,1559512.660000000149012,1539436.360000000102445,1473845.470000000204891,1431920.440000000176951,10549143.960000000894070
20190625,1503155.560000000055879,1460447.100000000093132,1559972.679999999934807,1554588.669999999925494,1531076.919999999925494,1467016.360000000102445,1419267.000000000000000,10495527.289999999105930
20190626,1515488.439999999944121,1462135.900000000139698,1540684.359999999869615,1523585.770000000251457,1503805.960000000195578,1441470.430000000167638,1425407.639999999897555,10412581.500000000000000
20190627,1519893.040000000037253,1462135.900000000139698,1539478.840000000083819,1528874.500000000000000,1504491.160000000149012,1448046.610000000102445,1410893.399999999906868,10413816.450000001117587
20190628,1526866.989999999990687,1455591.800000000046566,1534656.760000000009313,1529239.239999999990687,1502709.640000000130385,1445011.450000000186265,1425965.879999999888241,10420044.759999997913837
20190701,1543824.699999999953434,1476490.699999999953434,1555150.600000000093132,1545652.540000000037253,1514221.000000000000000,1433123.739999999990687,1424663.320000000065193,10493129.599999999627471
20190702,1542796.959999999962747,1480079.400000000139698,1566603.040000000037253,1559512.660000000149012,1527787.960000000195578,1470304.450000000186265,1409032.600000000093132,10556120.070000000298023
20190703,1557185.319999999832362,1494012.000000000000000,1570219.600000000093132,1584862.090000000083819,1563418.360000000102445,1470304.450000000186265,1422430.360000000102445,10662435.179999999701977
20190705,1552487.080000000074506,1492323.199999999953434,1570520.979999999981374,1561153.989999999990687,1550673.640000000130385,1474857.190000000176951,1416661.879999999888241,10618680.960000000894070
20190708,1563131.530000000027940,1483773.649999999906868,1567205.800000000046566,1532704.270000000251457,1563007.239999999990687,1464234.130000000121072,1423174.680000000167638,10597234.300000000745058
20190709,1556451.219999999972060,1470685.450000000186265,1554849.220000000204891,1547658.610000000102445,1547384.679999999934807,1426800.489999999990687,1422244.280000000260770,10526076.949999999254942
20190710,1547274.969999999972060,1482718.150000000139698,1561780.959999999962747,1546929.129999999888241,1558896.040000000037253,1441723.360000000102445,1442340.920000000158325,10581666.529999999329448
20190711,1571426.859999999869615,1490845.500000000232831,1568411.320000000065193,1477263.790000000037253,1567529.560000000055879,1439699.920000000158325,1443457.399999999906868,10558637.350000001490116
20190712,1602185.649999999906868,1506678.000000000232831,1570822.359999999869615,1454102.800000000046566,1575889.000000000000000,1446529.030000000027940,1444573.879999999888241,10600783.719999998807907
20190715,1605635.919999999925494,1512799.899999999906868,1571123.740000000223517,1476534.309999999823049,1582603.960000000195578,1456393.300000000046566,1434339.479999999981374,10639433.610000001266599
20190716,1595064.879999999888241,1515016.449999999953434,1571425.120000000111759,1488023.620000000111759,1588222.600000000093132,1452093.489999999990687,1412940.280000000260770,10622789.440000001341105
20190717,1582952.229999999981374,1510161.149999999906868,1572630.640000000130385,1494041.830000000074506,1588907.800000000046566,1447287.820000000065193,1404566.680000000167638,10600551.149999998509884
20190718,1574363.260000000009313,1579401.949999999953434,1568109.940000000176951,1508084.320000000065193,1582055.800000000046566,1447034.890000000130385,1392657.560000000055879,10651710.720000000670552
20190719,1564085.859999999869615,1579929.700000000186265,1548821.620000000111759,1484376.219999999972060,1576163.080000000074506,1431353.230000000214204,1395448.760000000009313,10580181.469999998807907
20190722,1551092.290000000037253,1580563.000000000232831,1543698.159999999916181,1481093.559999999823049,1580137.239999999990687,1403783.860000000102445,1396937.399999999906868,10537308.509999999776483
20190723,1564379.500000000000000,1587318.199999999953434,1637427.340000000083819,1496047.900000000139698,1560266.439999999944121,1403278.000000000000000,1402519.800000000279397,10651240.180000001564622
20190724,1576345.330000000074506,1583623.949999999953434,1620851.440000000176951,1490941.540000000037253,1543136.439999999944121,1415671.570000000065193,1402333.719999999972060,10632906.990000002086163
20190725,1582511.770000000018626,1587423.750000000000000,1599453.459999999962747,1490941.540000000037253,1545466.119999999878928,1425535.840000000083819,1394332.280000000260770,10625667.760000001639128
20190726,1592495.530000000027940,1597662.100000000093132,1632605.260000000009313,1485105.700000000186265,1572325.960000000195578,1443746.800000000046566,1392099.320000000065193,10716043.669999999925494
20190729,1600790.859999999869615,1592595.699999999953434,1627180.420000000158325,1504436.919999999925494,1589730.040000000037253,1451081.770000000018626,1401961.560000000055879,10767780.269999999552965
20190730,1595798.979999999981374,1580879.650000000139698,1619043.159999999916181,1518661.780000000027940,1650164.679999999934807,1432364.950000000186265,1402147.639999999897555,10799063.839999999850988
20190731,1568857.510000000009313,1564730.500000000232831,1586192.740000000223517,1513555.419999999925494,1617686.200000000186265,1397966.470000000204891,1383725.719999999972060,10632717.560000000521541
20190801,1562544.250000000000000,1586684.899999999906868,1568109.940000000176951,1526321.320000000065193,1599733.960000000195578,1397713.540000000037253,1348370.520000000018626,10589481.429999999701977
20190802,1557552.370000000111759,1554281.050000000046566,1577151.340000000083819,1540546.179999999934807,1595759.800000000046566,1406060.230000000214204,1335158.840000000083819,10566512.809999998658895
20190805,1504623.760000000009313,1485779.099999999860302,1556657.500000000000000,1515926.230000000214204,1549714.360000000102445,1396701.820000000065193,1307805.080000000074506,10317210.849999999627471
20190806,1532960.020000000018626,1485462.449999999953434,1575343.060000000055879,1538357.739999999990687,1566159.160000000149012,1392402.010000000009313,1320458.520000000018626,10411145.959999999031425
20190807,1526426.530000000027940,1468363.350000000093132,1602768.640000000130385,1536534.040000000037253,1583152.119999999878928,1393413.730000000214204,1311898.840000000083819,10422560.250000000000000
20190808,1553294.589999999850988,1478812.800000000046566,1618139.020000000018626,1545287.800000000046566,1609463.800000000046566,1411877.620000000111759,1346881.879999999888241,10563760.509999997913837
20190809,1541916.040000000037253,1436909.449999999953434,1610001.760000000009313,1559695.030000000027940,1600419.160000000149012,1410865.900000000139698,1318225.560000000055879,10478035.900000000372529
20190812,1519819.629999999888241,1410944.149999999906868,1603371.400000000139698,1550576.530000000027940,1590141.160000000149012,1408589.530000000027940,1295709.879999999888241,10379155.280000001192093
