訓練日期,20100224 - 20100526
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10227635.039999999105930
真實報酬,227635.039999999105930

夏普值報酬,0.014063504000000
夏普值風險,0.032212563424013
夏普值,0.436584441135046

預期報酬,18368.748337906370580
風險,397377.665779147704598
趨勢值,0.046224913777905
找到最佳解世代,93
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),CAT[3](5),CVX[5](7),DIS[6](6),HD[9](2),JPM[13](14),MCD[15](3),MMM[16](8),NKE[19](4),PG[21](24),TRV[22](26),WMT[28](22),XOM[29](20),
20100304,822515.700000000186265,793531.040000000153668,780334.079999999958090,810278.699999999953434,786490.349999999976717,808577.520000000018626,752154.479999999864958,781871.500000000116415,811457.679999999934807,774827.739999999990687,786712.289999999920838,774107.300000000162981,774678.700000000186265,10257547.080000001937151
20100305,854760.380000000121072,804120.320000000065193,793360.019999999902211,826449.399999999906868,795495.750000000000000,825743.839999999967404,755000.399999999906868,795574.500000000116415,819615.299999999813735,775071.119999999995343,792441.779999999911524,776689.400000000139698,787352.850000000093132,10401685.059999998658895
20100308,855306.900000000139698,799776.000000000000000,796990.199999999953434,825703.059999999939464,799498.150000000023283,821500.479999999981374,772194.500000000000000,784670.000000000116415,825373.619999999878928,768986.619999999995343,790385.039999999920838,776832.850000000093132,787471.300000000162981,10404698.720000000670552
20100309,870609.460000000079162,803441.520000000135042,793360.019999999902211,828688.420000000041910,792493.949999999953434,818221.520000000018626,771957.339999999850988,791232.000000000116415,826813.199999999953434,770325.209999999962747,787006.109999999986030,775541.800000000162981,791024.800000000046566,10420725.350000001490116
20100310,877714.219999999972060,798011.120000000111759,789729.839999999850988,829185.979999999981374,793244.400000000023283,828058.399999999906868,770060.059999999939464,787082.500000000116415,829212.500000000000000,766796.199999999953434,777016.229999999981374,769373.450000000186265,796236.600000000093132,10411731.499999998137355
20100311,880173.560000000172295,799640.240000000107102,790050.149999999906868,841127.420000000041910,803750.700000000069849,832880.399999999906868,773261.719999999855645,784187.500000000116415,836890.260000000009313,768743.239999999990687,787740.659999999916181,774250.750000000116415,796236.600000000093132,10468943.199999999254942
20100312,884545.719999999972060,819461.200000000069849,787167.359999999869615,838142.059999999939464,811755.500000000116415,832301.759999999892898,777056.279999999911524,785345.500000000116415,838809.699999999953434,770568.589999999967404,780982.799999999930151,773246.600000000093132,791261.700000000069849,10490654.769999999552965
20100315,873888.580000000074506,807378.560000000055879,785565.809999999823049,838888.399999999906868,817759.099999999976717,830758.719999999972060,781799.479999999981374,784187.500000000116415,844568.020000000018626,775192.810000000055879,774665.669999999925494,795051.000000000116415,785339.200000000069849,10495052.849999999627471
20100316,876074.660000000149012,807107.040000000153668,789943.380000000004657,839634.739999999990687,814256.999999999883585,834037.679999999934807,783459.599999999860302,788047.500000000116415,844568.020000000018626,773124.080000000074506,776428.589999999967404,803227.650000000139698,788537.349999999976717,10518457.289999999105930
20100317,874981.620000000228174,817560.560000000055879,797310.509999999892898,839634.739999999990687,813506.550000000046566,844646.079999999958090,787135.579999999841675,793065.500000000232831,850326.339999999850988,778965.200000000069849,778485.330000000074506,802223.500000000116415,797894.900000000023283,10575746.410000000149012
20100318,876894.440000000176951,811451.360000000102445,798271.439999999944121,840381.080000000074506,810504.750000000000000,841752.880000000004657,790692.979999999981374,807444.000000000116415,895913.040000000037253,775557.880000000004657,784214.820000000065193,802510.400000000023283,798250.250000000116415,10633849.320000000298023
20100319,867603.600000000093132,806020.960000000079162,800620.380000000004657,836898.160000000032596,809504.150000000023283,838088.160000000032596,788914.279999999911524,790942.500000000000000,881997.099999999860302,776896.470000000088476,785390.099999999976717,793903.400000000139698,794104.500000000116415,10570893.759999999776483
20100322,877440.960000000079162,813895.040000000153668,795068.339999999850988,844610.340000000083819,817258.800000000046566,843681.679999999934807,794606.119999999995343,789784.500000000116415,886315.839999999850988,777383.230000000097789,784361.729999999981374,797920.000000000000000,793275.350000000093132,10615611.929999999701977
20100323,891377.219999999972060,847292.000000000000000,798378.209999999846332,846103.019999999902211,815257.600000000093132,859883.599999999860302,798637.839999999850988,794706.000000000116415,893513.739999999990687,785293.080000000074506,791854.140000000013970,801793.150000000139698,793038.450000000069849,10717138.049999998882413
20100324,895476.120000000228174,842540.400000000139698,789409.530000000027940,855556.660000000032596,808503.550000000046566,866827.279999999911524,792115.939999999944121,787565.000000000116415,880557.520000000018626,774097.599999999976717,794204.700000000069849,797346.200000000069849,787708.200000000069849,10671918.699999997392297
20100325,884818.980000000214204,843626.480000000097789,788021.519999999902211,872971.260000000125729,816008.049999999930151,866827.279999999911524,793301.739999999990687,781003.000000000232831,882476.959999999962747,774219.289999999920838,794498.520000000018626,797776.550000000046566,785339.200000000069849,10680898.830000001937151
20100326,901487.840000000200234,847699.280000000027940,794748.030000000027940,878444.420000000041910,819260.000000000000000,868370.319999999948777,797570.619999999995343,781678.500000000116415,886315.839999999850988,775071.119999999995343,798465.089999999967404,796342.050000000046566,788182.000000000116415,10733645.110000001266599
20100329,907226.300000000162981,861818.320000000065193,803289.630000000004657,874712.719999999855645,815507.750000000000000,865284.239999999874271,795317.599999999860302,785152.500000000116415,887275.559999999823049,775557.880000000004657,804488.399999999906868,799641.400000000139698,797184.200000000069849,10772466.499999998137355
20100330,920616.040000000037253,857474.000000000000000,804037.019999999902211,873220.040000000037253,817759.099999999976717,859883.599999999860302,797333.459999999846332,813330.500000000116415,885356.119999999878928,774706.049999999930151,792294.869999999995343,802080.050000000046566,794222.950000000069849,10792323.799999998882413
20100331,917336.920000000158325,853265.440000000060536,809695.829999999958090,868493.219999999855645,809254.000000000000000,863162.559999999939464,791167.299999999930151,806479.000000000000000,881997.099999999860302,769960.140000000013970,792441.779999999911524,797633.100000000093132,793393.800000000162981,10754290.189999999478459
20100401,921162.560000000172295,868742.080000000074506,818878.049999999930151,884415.139999999897555,810004.450000000069849,871456.399999999906868,801365.179999999934807,809181.000000000116415,887755.419999999925494,771055.349999999976717,792147.959999999962747,796055.150000000139698,800856.150000000023283,10833084.890000000596046
20100405,930999.920000000158325,882318.079999999958090,829234.739999999874271,876205.399999999906868,817008.649999999906868,874542.479999999981374,806701.279999999911524,812462.000000000116415,889195.000000000000000,775922.949999999953434,783480.270000000018626,796055.150000000139698,807726.250000000000000,10881862.169999999925494
20100406,935098.820000000065193,886390.880000000121072,831583.679999999934807,882424.899999999906868,814256.999999999883585,884186.479999999981374,804092.519999999902211,814006.000000000116415,886795.699999999953434,768013.099999999976717,772608.930000000051223,796628.950000000069849,804291.200000000186265,10880388.160000000149012
20100407,939197.719999999972060,875258.560000000055879,826138.409999999916181,878693.199999999953434,815757.900000000023283,874156.719999999972060,802788.139999999897555,807347.500000000116415,882956.819999999832362,760590.010000000009313,771286.739999999990687,793042.700000000069849,797658.000000000116415,10824882.419999998062849
20100408,936738.380000000121072,875394.320000000181608,829234.739999999874271,887400.500000000000000,824763.299999999930151,882643.439999999944121,815357.619999999995343,800496.000000000116415,887755.419999999925494,761320.150000000023283,767760.899999999906868,794477.200000000186265,803817.400000000023283,10867169.369999999180436
20100409,943843.140000000013970,886119.359999999986030,848880.419999999925494,901083.399999999906868,831767.500000000000000,886886.799999999930151,814408.979999999981374,805707.000000000116415,902151.219999999972060,763388.880000000004657,769817.640000000013970,790030.250000000116415,814477.900000000139698,10958572.490000000223517
20100412,945755.960000000079162,905940.320000000181608,858810.030000000027940,892873.660000000032596,837520.949999999953434,889972.880000000004657,812630.279999999911524,803680.500000000116415,905990.099999999860302,763023.810000000055879,764235.060000000055879,789313.000000000116415,813885.650000000023283,10983642.200000001117587
20100413,946302.480000000214204,898609.280000000027940,856461.089999999850988,891629.760000000125729,859033.850000000093132,884765.119999999878928,817254.899999999906868,810049.500000000116415,905990.099999999860302,766674.510000000009313,767173.260000000009313,785009.500000000116415,813293.400000000023283,11002256.750000000000000
20100414,959145.700000000186265,913407.120000000111759,860411.579999999958090,900585.840000000083819,875043.449999999953434,920640.799999999930151,823183.899999999906868,814392.000000000116415,909349.119999999878928,768986.619999999995343,777310.049999999930151,783861.900000000139698,812701.150000000023283,11119029.230000002309680
20100415,971715.660000000149012,926168.560000000055879,871195.349999999976717,905561.439999999944121,879045.849999999976717,922183.839999999967404,820100.819999999832362,820278.500000000116415,907429.679999999934807,766674.510000000009313,776869.320000000065193,776545.950000000186265,808555.400000000139698,11152334.880000000819564
20100416,965703.940000000176951,907976.719999999972060,862226.669999999925494,891380.979999999981374,875793.899999999906868,878592.959999999846332,818559.279999999911524,808312.500000000116415,901671.359999999869615,764849.160000000032596,765997.979999999981374,776259.050000000046566,804646.550000000162981,11021981.050000002607703
20100419,964610.900000000023283,909470.079999999958090,868312.559999999823049,899839.500000000000000,879796.300000000046566,875506.880000000004657,829112.899999999906868,809663.500000000116415,906949.819999999832362,769351.689999999944121,781423.529999999911524,780275.650000000139698,808200.050000000162981,11082523.359999999403954
20100420,954773.540000000037253,916393.840000000083819,876106.769999999902211,909044.359999999986030,880046.449999999953434,884958.000000000000000,834093.260000000009313,822884.000000000116415,916067.159999999916181,768986.619999999995343,781129.709999999962747,782140.500000000116415,816965.350000000093132,11143599.560000000521541
20100421,1011884.880000000121072,919787.840000000083819,874718.759999999892898,909541.920000000041910,882297.800000000046566,874735.359999999986030,834330.419999999925494,827033.500000000116415,920385.899999999906868,774340.980000000097789,775694.039999999920838,781423.250000000116415,816373.100000000093132,11202557.750000000000000
20100422,1040303.920000000158325,916529.600000000209548,867031.319999999948777,915015.080000000074506,893554.549999999930151,862969.679999999934807,842275.279999999911524,830411.000000000116415,938620.579999999841675,773854.220000000088476,790238.130000000004657,781710.150000000139698,812108.900000000139698,11264632.410000002011657
20100423,1057246.040000000037253,933771.120000000111759,882726.509999999892898,915263.859999999986030,910314.599999999976717,866827.279999999911524,843698.239999999990687,835525.500000000116415,934781.699999999953434,773245.770000000018626,784214.820000000065193,782283.950000000069849,820163.500000000000000,11340072.890000000596046
20100426,1052054.100000000093132,972734.240000000107102,881872.349999999976717,921483.359999999986030,912816.100000000093132,846574.880000000004657,842156.699999999837019,843824.500000000116415,936221.280000000027940,778113.369999999995343,762765.959999999962747,775254.900000000023283,820755.750000000116415,11346637.490000000223517
20100427,1022815.280000000027940,930377.120000000111759,856674.630000000004657,903571.199999999953434,882798.099999999976717,818028.639999999897555,836346.279999999911524,848939.000000000116415,920385.899999999906868,768013.099999999976717,742345.469999999972060,775254.900000000023283,808673.849999999976717,11114233.470000000670552
20100428,1021175.719999999972060,936350.560000000055879,860838.659999999916181,902824.859999999986030,880296.599999999976717,838281.039999999920838,834093.260000000009313,851544.500000000116415,917026.879999999888241,768743.239999999990687,751013.159999999916181,769086.550000000046566,819571.250000000000000,11150856.279999999329448
20100429,1048774.980000000214204,960515.840000000083819,878669.250000000000000,925961.399999999906868,889552.150000000023283,848696.559999999939464,848085.699999999837019,862063.000000000116415,930462.959999999962747,756939.310000000055879,755420.459999999962747,770377.600000000093132,813293.400000000023283,11288822.609999999403954
20100430,1019262.900000000023283,924403.680000000167638,869593.799999999930151,916507.760000000125729,881297.199999999953434,821307.599999999860302,837057.760000000009313,855694.000000000116415,910788.699999999953434,756452.549999999930151,745430.580000000074506,769516.900000000139698,802751.349999999976717,11110074.779999999329448
20100503,1039757.400000000023283,949519.280000000027940,884434.829999999958090,934419.920000000041910,897306.799999999930151,839631.199999999953434,846899.899999999906868,866695.000000000116415,932862.260000000009313,762780.430000000051223,752335.349999999976717,770951.400000000139698,803580.500000000116415,11281184.269999999552965
20100504,1009698.800000000162981,905533.040000000153668,862333.439999999944121,910288.260000000125729,886050.050000000046566,819185.919999999925494,837650.659999999916181,846140.500000000232831,928063.659999999916181,750976.500000000000000,734559.239999999990687,774968.000000000116415,787352.850000000093132,11052810.920000001788139
20100505,999314.920000000158325,895486.800000000046566,856247.549999999930151,879190.760000000125729,881547.350000000093132,822272.000000000000000,837887.819999999832362,835622.000000000116415,902151.219999999972060,756452.549999999930151,743667.659999999916181,785726.750000000116415,783799.350000000093132,10979376.730000000447035
20100506,961331.780000000027940,862089.840000000083819,824323.319999999948777,846103.019999999902211,849528.150000000023283,787167.839999999967404,823183.899999999906868,812944.500000000116415,867601.299999999813735,739294.260000000009313,731621.039999999920838,763635.450000000069849,756792.750000000116415,10625627.149999998509884
20100507,920616.040000000037253,843083.440000000060536,823255.619999999878928,831176.219999999855645,836270.199999999953434,786203.439999999944121,806464.119999999995343,797408.000000000116415,846967.319999999832362,733939.900000000023283,723687.899999999906868,751729.100000000093132,754542.200000000069849,10455353.499999998137355
20100510,991390.380000000121072,905397.280000000027940,853044.449999999953434,877946.859999999986030,882798.099999999976717,809156.160000000032596,836939.179999999934807,829639.000000000116415,919426.179999999934807,759616.489999999990687,735881.430000000051223,754311.200000000069849,772665.050000000162981,10928221.759999999776483
20100511,1001501.000000000000000,896980.160000000032596,851015.819999999948777,889639.519999999902211,891303.200000000069849,801440.959999999846332,835753.380000000004657,820664.500000000232831,917026.879999999888241,759008.039999999920838,731327.219999999972060,752589.800000000162981,763544.400000000023283,10911804.880000000819564
20100512,1023088.540000000037253,925218.240000000107102,854859.539999999920838,873966.380000000004657,897807.099999999976717,804141.279999999911524,838006.399999999906868,834174.500000000116415,933821.979999999981374,766917.890000000013970,737350.529999999911524,752876.700000000069849,768874.650000000023283,11011113.730000000447035
20100513,1008605.760000000009313,908384.000000000000000,842687.759999999892898,864512.739999999990687,882297.800000000046566,787167.839999999967404,835990.539999999920838,825972.000000000116415,906469.959999999962747,763632.260000000009313,737056.709999999962747,751729.100000000093132,766861.000000000000000,10881377.470000000670552
20100514,990843.859999999986030,880824.719999999972060,831049.829999999958090,847346.920000000041910,880546.750000000116415,769422.880000000004657,825199.760000000009313,817190.500000000232831,884396.399999999906868,761076.770000000018626,736322.159999999916181,747712.500000000000000,753357.700000000069849,10725300.749999998137355
20100517,992483.420000000158325,865891.120000000111759,829982.130000000004657,850829.840000000083819,890302.600000000093132,768458.479999999981374,831721.659999999916181,817190.500000000232831,883436.679999999934807,771298.730000000097789,736322.159999999916181,756462.950000000069849,749448.850000000093132,10743839.120000001043081
20100518,985105.400000000023283,857881.280000000027940,820586.369999999878928,839137.179999999934807,868789.699999999953434,752642.319999999948777,830298.699999999837019,810821.500000000116415,874799.199999999953434,769230.000000000000000,732061.770000000018626,770521.050000000162981,743763.250000000116415,10655647.720000000670552
20100519,969529.579999999958090,834123.280000000027940,817917.119999999878928,830678.660000000032596,860034.450000000069849,759586.000000000000000,822946.739999999990687,796539.500000000232831,866641.579999999841675,769351.689999999944121,736615.979999999981374,760909.900000000023283,739735.950000000069849,10564620.429999999701977
20100520,928267.320000000065193,796517.760000000125729,785886.119999999878928,795849.459999999962747,822762.099999999976717,729689.599999999860302,802313.819999999832362,767975.500000000116415,843608.299999999813735,749759.599999999976717,711347.459999999962747,735949.600000000093132,714624.550000000046566,10184561.189999999478459
20100521,946029.219999999972060,815795.680000000167638,795281.880000000004657,817742.099999999976717,826014.050000000046566,772508.959999999846332,804685.419999999925494,778783.500000000116415,856564.520000000018626,752680.160000000032596,723247.169999999925494,736953.750000000000000,721139.300000000046566,10347435.710000000894070
20100524,963244.600000000093132,803984.560000000055879,784177.799999999930151,808039.679999999934807,831017.049999999930151,744927.119999999878928,802313.819999999832362,768072.000000000116415,856084.659999999916181,747204.109999999986030,712375.830000000074506,731646.100000000093132,712966.250000000000000,10266063.580000000074506
20100525,957232.880000000121072,803848.800000000046566,774888.809999999823049,804059.199999999953434,850028.449999999953434,751099.279999999911524,804448.260000000009313,766914.000000000116415,874799.199999999953434,742944.959999999962747,715020.209999999962747,721317.700000000069849,707280.650000000023283,10273892.400000000372529
20100526,952860.719999999972060,810908.320000000065193,763998.269999999902211,822717.699999999953434,851529.349999999976717,748013.199999999953434,782748.119999999995343,764019.000000000116415,870000.599999999860302,735521.869999999995343,705177.239999999990687,717588.000000000116415,702542.650000000139698,10227635.039999999105930
