訓練日期,20160210 - 20160512
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11402463.189999999478459
真實報酬,1402463.189999999478459

夏普值報酬,0.131546319000000
夏普值風險,0.040703738579921
夏普值,3.231799426524714

預期報酬,25479.711211551806628
風險,122141.459106142196106
趨勢值,0.208608210496402
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](2),CVX[5](3),IBM[10](15),JPM[13](16),MCD[15](5),PFE[20](14),PG[21](30),V[25](12),XOM[29](6),
20160310,1240310.319999999832362,1258767.979999999981374,1255465.600000000093132,1158756.699999999953434,1139311.150000000139698,1129820.179999999934807,1106270.800000000046566,1141842.399999999906868,1140248.500000000000000,10570794.629999998956919
20160311,1255299.129999999888241,1267343.339999999850988,1274897.950000000186265,1173188.800000000046566,1154218.300000000046566,1164565.800000000046566,1099144.949999999953434,1164768.999999999767169,1140387.250000000000000,10693815.519999999552965
20160314,1257621.339999999850988,1263055.659999999916181,1278659.050000000046566,1168839.399999999906868,1167036.550000000046566,1149293.000000000000000,1091346.849999999860302,1162492.599999999860302,1143439.750000000000000,10681785.199999999254942
20160315,1250443.599999999860302,1263189.649999999906868,1280270.950000000186265,1170421.000000000000000,1172068.900000000139698,1127911.080000000074506,1093229.149999999906868,1169321.799999999813735,1149128.500000000000000,10675985.629999998956919
20160316,1260365.769999999785796,1278330.520000000018626,1296658.600000000093132,1164885.400000000139698,1172923.449999999953434,1108820.080000000074506,1093632.500000000000000,1176801.400000000139698,1149822.250000000000000,10702240.970000000670552
20160317,1268387.949999999720603,1298295.030000000027940,1316807.350000000093132,1161524.500000000000000,1169505.250000000000000,1120274.679999999934807,1112589.949999999953434,1189321.599999999860302,1166888.500000000000000,10803595.809999998658895
20160318,1292454.489999999757856,1309014.229999999981374,1317255.100000000093132,1195726.599999999860302,1178240.650000000139698,1124474.699999999953434,1117967.949999999953434,1199728.000000000000000,1168276.000000000000000,10903138.720000000670552
20160321,1292243.379999999888241,1292265.479999999981374,1331045.800000000046566,1195331.199999999953434,1175677.000000000000000,1148147.540000000037253,1120253.599999999860302,1199565.399999999906868,1160228.500000000000000,10914758.900000000372529
20160322,1279576.779999999795109,1279670.419999999925494,1326299.650000000139698,1190981.800000000046566,1175771.949999999953434,1159983.959999999962747,1112455.500000000000000,1186394.799999999813735,1167166.000000000000000,10878301.859999999403954
20160323,1279999.000000000000000,1254078.330000000074506,1302121.150000000139698,1185050.800000000046566,1179285.100000000093132,1152729.380000000121072,1113531.099999999860302,1201841.799999999813735,1162032.250000000000000,10830669.910000000149012
20160324,1276621.239999999757856,1270961.069999999832362,1324956.400000000139698,1175956.599999999860302,1170739.600000000093132,1148529.359999999869615,1114472.250000000000000,1205581.599999999860302,1165223.500000000000000,10853042.619999999180436
20160328,1272610.149999999906868,1268683.239999999990687,1328986.150000000139698,1174375.000000000000000,1169600.199999999953434,1137074.760000000009313,1110842.100000000093132,1204606.000000000000000,1168553.500000000000000,10835332.099999999627471
20160329,1279365.669999999925494,1277258.599999999860302,1337314.300000000279397,1167060.100000000093132,1177196.199999999953434,1147383.900000000139698,1113262.199999999953434,1225743.999999999767169,1172854.750000000000000,10897440.720000000670552
20160330,1272821.259999999776483,1276320.669999999925494,1329075.700000000186265,1180503.699999999953434,1194856.900000000139698,1148147.540000000037253,1111648.800000000046566,1248508.000000000000000,1172716.000000000000000,10934599.570000000298023
20160331,1296254.469999999739230,1278330.520000000018626,1356298.900000000139698,1170816.399999999906868,1193432.650000000139698,1131729.280000000027940,1106674.149999999906868,1243630.000000000000000,1159812.250000000000000,10936979.619999999180436
20160401,1289921.169999999925494,1263055.659999999916181,1365880.750000000232831,1183666.899999999906868,1206155.949999999953434,1147002.080000000074506,1123077.050000000046566,1261678.600000000093132,1151071.000000000000000,10991510.160000000149012
20160404,1279787.889999999664724,1251934.489999999990687,1361851.000000000000000,1170421.000000000000000,1211378.199999999953434,1172965.840000000083819,1118774.649999999906868,1265581.000000000000000,1153846.000000000000000,10986541.070000000298023
20160405,1270710.159999999683350,1241751.250000000000000,1343314.150000000139698,1153814.199999999953434,1209574.149999999906868,1197402.320000000065193,1118102.399999999906868,1251597.399999999906868,1140664.750000000000000,10926931.780000001192093
20160406,1264165.750000000000000,1270827.080000000074506,1343493.250000000232831,1162710.699999999953434,1210903.449999999953434,1257348.060000000055879,1126841.649999999906868,1271759.799999999813735,1155927.250000000000000,11063977.990000002086163
20160407,1242632.529999999795109,1270157.130000000121072,1327642.900000000139698,1133253.399999999906868,1216790.349999999860302,1250857.119999999878928,1119178.000000000000000,1261516.000000000000000,1142884.750000000000000,10964913.179999999701977
20160408,1256143.569999999832362,1290791.589999999850988,1337493.400000000139698,1141556.800000000046566,1215081.250000000000000,1240929.800000000046566,1118640.199999999953434,1268833.000000000000000,1154539.750000000000000,11024010.359999999403954
20160411,1262476.869999999878928,1276186.679999999934807,1336597.900000000139698,1150651.000000000000000,1211283.250000000000000,1217638.780000000027940,1112321.050000000046566,1265418.399999999906868,1156066.000000000000000,10988640.930000001564622
20160412,1281054.549999999813735,1306602.409999999916181,1340000.800000000046566,1172002.600000000093132,1211758.000000000000000,1220311.520000000018626,1113665.550000000046566,1276800.399999999906868,1170357.250000000000000,11092554.080000000074506
20160413,1312298.829999999841675,1307808.319999999832362,1354328.800000000046566,1221625.300000000046566,1204921.600000000093132,1242457.080000000074506,1108690.899999999906868,1296149.799999999813735,1177017.250000000000000,11225298.879999998956919
20160414,1319687.679999999701977,1312899.939999999944121,1353701.950000000186265,1237441.300000000046566,1210808.500000000000000,1246657.100000000093132,1102640.649999999906868,1306231.000000000000000,1185342.250000000000000,11275411.370000001043081
20160415,1311876.609999999869615,1302850.689999999944121,1358716.750000000232831,1223206.899999999906868,1213372.150000000139698,1240929.800000000046566,1106539.699999999953434,1302166.000000000000000,1178959.750000000000000,11238619.349999999627471
20160418,1321376.559999999823049,1322547.219999999972060,1365970.300000000046566,1231114.900000000139698,1223531.800000000046566,1245129.820000000065193,1113665.550000000046566,1324442.199999999953434,1190198.500000000000000,11337977.849999999627471
20160419,1342065.339999999850988,1346665.419999999925494,1289584.150000000139698,1251873.399999999906868,1223626.750000000232831,1255820.780000000027940,1119715.800000000046566,1313060.199999999953434,1196164.750000000000000,11338577.589999999850988
20160420,1372676.289999999804422,1362610.229999999981374,1308479.200000000186265,1270061.799999999813735,1220683.300000000046566,1268802.659999999916181,1096455.949999999953434,1319564.199999999953434,1204351.000000000000000,11423685.629999998956919
20160421,1385131.779999999795109,1358724.520000000018626,1337045.650000000139698,1257409.000000000000000,1194477.100000000093132,1269184.480000000214204,1086372.199999999953434,1313710.600000000093132,1204212.250000000000000,11406268.580000000074506
20160422,1391887.300000000046566,1366897.909999999916181,1329881.650000000139698,1264723.899999999906868,1191723.550000000046566,1270329.940000000176951,1088388.949999999953434,1286393.800000000046566,1214479.750000000000000,11404707.750000000000000
20160425,1387031.769999999785796,1360198.409999999916181,1332657.700000000186265,1257409.000000000000000,1210333.750000000000000,1268039.020000000018626,1094573.649999999906868,1270621.599999999860302,1211704.750000000000000,11392570.650000000372529
20160426,1397587.269999999785796,1370649.630000000121072,1335075.550000000279397,1263933.100000000093132,1212707.500000000000000,1261929.899999999906868,1069565.949999999953434,1276963.000000000000000,1215867.250000000000000,11404280.150000000372529
20160427,1398220.599999999860302,1391552.069999999832362,1347523.000000000232831,1267491.699999999953434,1218309.550000000046566,1260020.800000000046566,1074137.250000000000000,1280702.800000000046566,1227383.500000000000000,11465342.269999999552965
20160428,1389987.309999999823049,1372123.520000000018626,1317076.000000000000000,1257409.000000000000000,1214701.449999999953434,1256584.419999999925494,1072389.399999999906868,1263142.000000000000000,1221417.250000000000000,11364831.349999999627471
20160429,1381331.800000000046566,1369175.739999999990687,1306956.850000000093132,1249501.000000000000000,1201123.600000000093132,1248948.020000000018626,1077229.600000000093132,1255987.599999999860302,1226551.000000000000000,11316806.209999999031425
20160502,1386609.550000000046566,1384316.609999999869615,1300957.000000000232831,1261165.300000000046566,1217360.050000000046566,1252384.399999999906868,1088657.849999999860302,1275824.799999999813735,1236679.750000000000000,11403956.309999998658895
20160503,1369087.419999999692664,1357652.599999999860302,1290748.300000000046566,1236848.199999999953434,1219259.050000000046566,1286748.200000000186265,1090405.699999999953434,1255174.599999999860302,1222527.250000000000000,11328452.319999998435378
20160504,1356631.929999999934807,1347871.330000000074506,1291822.900000000139698,1236848.199999999953434,1228089.400000000139698,1275293.600000000093132,1097128.199999999953434,1255174.599999999860302,1220168.500000000000000,11309029.660000000149012
20160505,1349454.189999999944121,1358992.500000000000000,1311703.000000000232831,1210751.800000000046566,1227614.650000000139698,1281784.540000000037253,1093094.699999999953434,1257938.800000000046566,1221556.000000000000000,11312891.180000001564622
20160506,1361909.679999999934807,1364888.059999999823049,1319046.100000000093132,1217869.000000000000000,1239958.150000000139698,1282166.359999999869615,1104254.049999999813735,1263792.399999999906868,1228077.250000000000000,11381962.049999998882413
20160509,1350720.849999999860302,1344655.569999999832362,1319493.850000000093132,1210158.699999999953434,1242331.900000000139698,1291330.040000000037253,1104119.600000000093132,1271922.399999999906868,1228909.750000000000000,11363643.660000000149012
20160510,1368876.309999999823049,1356982.649999999906868,1343045.500000000232831,1226567.800000000046566,1249643.050000000046566,1290566.399999999906868,1108959.800000000046566,1287857.199999999953434,1248612.250000000000000,11481111.959999999031425
20160511,1363598.559999999823049,1355240.780000000027940,1333911.400000000139698,1222020.699999999953434,1226285.349999999860302,1266129.919999999925494,1104522.949999999953434,1256963.199999999953434,1232239.750000000000000,11360913.609999999403954
20160512,1358320.809999999823049,1368371.800000000046566,1332926.350000000093132,1221229.900000000139698,1235590.450000000186265,1267275.379999999888241,1108018.649999999906868,1266556.599999999860302,1244172.250000000000000,11402463.189999999478459
