訓練日期,20190529 - 20190828
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10613758.750000001862645
真實報酬,613758.750000001862645

夏普值報酬,0.052675875000000
夏普值風險,0.023945180226092
夏普值,2.199852935022003

預期報酬,13059.969970106234541
風險,231735.974635826918529
趨勢值,0.056357110675759
找到最佳解世代,80
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](4),BA[2](26),GS[8](10),JPM[13](19),MCD[15](1),MMM[16](20),MRK[17](9),MSFT[18](7),PG[21](2),V[25](5),VZ[26](27),
20190607,969882.000000000000000,906068.020000000018626,910865.260000000009313,914451.280000000027940,949809.819999999948777,927231.900000000023283,934007.199999999953434,946844.200000000069849,946595.619999999995343,944296.020000000018626,886026.290000000153668,10236087.610000001266599
20190610,982275.000000000116415,906324.120000000111759,931544.640000000013970,924336.140000000130385,930489.860000000102445,936581.099999999976717,934233.720000000088476,955490.200000000069849,946160.520000000018626,948571.829999999958090,869154.180000000051223,10265171.310000000521541
20190611,993648.000000000000000,894876.450000000069849,934471.419999999925494,927184.320000000181608,939548.979999999981374,940031.400000000023283,939896.720000000088476,951887.700000000069849,951903.840000000083819,945739.800000000046566,879679.900000000023283,10298878.530000001192093
20190612,990486.000000000000000,888986.150000000023283,912832.439999999944121,915372.750000000000000,947267.720000000088476,940587.899999999906868,948164.699999999953434,947492.650000000139698,954514.440000000176951,952847.640000000013970,887883.770000000018626,10286446.160000000149012
20190613,990282.000000000000000,893672.780000000144355,918733.979999999981374,917634.540000000153668,945234.040000000037253,939697.500000000000000,938990.640000000013970,953472.800000000046566,965217.900000000023283,940408.919999999925494,891908.310000000055879,10295263.410000000149012
20190614,983091.000000000000000,889319.080000000074506,919741.559999999939464,919980.099999999976717,948931.640000000013970,927677.099999999976717,937631.520000000018626,954409.449999999953434,967741.480000000097789,942130.349999999976717,902124.450000000069849,10292787.729999998584390
20190617,988955.999999999883585,909141.219999999972060,915759.220000000088476,914953.900000000023283,942091.080000000074506,928177.949999999953434,943521.039999999920838,957291.450000000069849,965914.060000000055879,941575.050000000046566,892063.100000000093132,10299454.070000000298023
20190618,1012212.000000000000000,957953.880000000004657,935670.919999999925494,927435.630000000004657,945326.479999999981374,956448.150000000023283,956998.979999999981374,973935.000000000000000,953818.280000000027940,940020.209999999962747,887419.400000000023283,10447248.930000001564622
20190619,1009254.000000000000000,944124.480000000097789,938837.599999999976717,920734.030000000027940,945511.360000000102445,950271.000000000000000,966852.599999999976717,977753.650000000023283,960953.920000000041910,947849.939999999944121,892063.100000000093132,10454215.679999999701977
20190620,1017363.000000000000000,960310.000000000000000,939125.479999999981374,923079.590000000083819,948145.900000000023283,968023.349999999976717,958244.839999999967404,986831.949999999953434,972440.560000000055879,964786.590000000083819,887574.190000000176951,10525935.449999999254942
20190621,1013895.000000000000000,952524.560000000055879,940277.000000000000000,916796.840000000083819,944170.979999999981374,964740.000000000000000,957905.059999999939464,986976.050000000046566,967741.480000000097789,963120.689999999944121,894230.160000000149012,10502387.820000000298023
20190624,1012875.000000000116415,958030.710000000079162,947713.900000000023283,910262.780000000027940,942599.500000000000000,964906.949999999953434,968551.500000000000000,992812.100000000093132,977574.740000000107102,965397.419999999925494,901969.660000000149012,10542704.260000001639128
20190625,997524.000000000000000,946070.840000000083819,940852.760000000009313,902723.480000000097789,950872.880000000004657,957394.199999999953434,965493.479999999981374,961470.350000000093132,972266.520000000018626,951126.209999999962747,897790.330000000074506,10443595.049999998882413
20190626,1019097.000000000000000,960463.660000000032596,945410.859999999986030,908754.920000000158325,945511.360000000102445,956559.449999999953434,946239.280000000027940,965072.850000000093132,954949.540000000153668,949904.550000000046566,882156.540000000153668,10434130.010000003501773
20190627,1018791.000000000000000,932497.540000000037253,956494.239999999990687,911770.640000000130385,953461.200000000069849,954444.750000000000000,949523.819999999948777,966657.950000000069849,955384.640000000130385,950848.559999999939464,886181.080000000074506,10436065.420000001788139
20190628,1009508.999999999883585,932471.930000000051223,981827.679999999934807,936566.560000000055879,959885.780000000027940,964684.349999999976717,949750.339999999967404,965289.000000000116415,954253.380000000121072,963731.520000000018626,884323.600000000093132,10502303.139999998733401
20190701,1028022.000000000000000,913136.380000000004657,992671.160000000032596,952315.320000000181608,953599.860000000102445,971195.399999999906868,959943.739999999990687,977681.600000000093132,961563.060000000055879,965897.189999999944121,877048.469999999972060,10553084.180000001564622
20190702,1034040.000000000000000,907246.080000000074506,988448.919999999925494,953320.560000000055879,968760.020000000018626,968468.550000000046566,968551.500000000000000,984166.100000000209548,970178.040000000153668,973338.209999999962747,899802.600000000093132,10616330.580000000074506
20190703,1042608.000000000000000,908039.990000000107102,988736.799999999930151,945111.099999999976717,983689.080000000074506,973810.949999999953434,984294.640000000013970,990506.500000000116415,992803.240000000107102,982167.479999999981374,899802.600000000093132,10691580.380000000819564
20190705,1041690.000000000000000,911599.780000000144355,997661.080000000074506,950723.690000000060536,976432.540000000037253,957227.250000000000000,969570.839999999967404,987624.500000000116415,984710.380000000121072,981001.349999999976717,902588.820000000065193,10660840.230000000447035
20190708,1020219.000000000000000,899460.640000000130385,987345.380000000004657,945529.950000000069849,980684.780000000027940,941589.599999999976717,951902.280000000027940,986904.000000000116415,992542.180000000051223,978391.439999999944121,896087.640000000130385,10580666.890000000596046
20190709,1026441.000000000000000,904505.810000000055879,997037.340000000083819,949550.910000000032596,980361.239999999990687,922167.749999999883585,961189.599999999976717,983301.500000000116415,982621.900000000023283,986943.059999999939464,873178.719999999972060,10567308.830000001937151
20190710,1036590.000000000000000,902482.620000000111759,988400.939999999944121,946786.500000000000000,984567.260000000009313,922167.749999999883585,960736.559999999939464,993316.450000000069849,989931.580000000074506,995716.800000000046566,882311.330000000074506,10603017.790000000968575
20190711,1029042.000000000000000,919641.320000000065193,1014214.179999999934807,955833.660000000032596,983134.439999999944121,940754.849999999976717,917471.239999999990687,997279.200000000069849,995413.840000000083819,1003657.590000000083819,881073.010000000125729,10637525.330000000074506
20190712,1036947.000000000000000,935852.450000000069849,1026641.000000000000000,965886.060000000055879,984521.040000000037253,964684.349999999976717,903087.220000000088476,1000881.700000000069849,1000722.060000000055879,1001380.860000000102445,885252.340000000083819,10705866.080000000074506
20190715,1046688.000000000000000,926325.530000000144355,1015317.720000000088476,954158.260000000125729,990159.880000000004657,961901.849999999976717,917018.199999999953434,1000881.700000000069849,1004986.040000000153668,1002713.579999999958090,891289.150000000023283,10711449.910000002011657
20190716,1043067.000000000000000,929245.070000000065193,1034221.840000000083819,964378.200000000069849,987895.099999999976717,982214.100000000093132,924153.580000000074506,987768.600000000209548,1008553.860000000102445,995716.800000000046566,888657.719999999972060,10745881.870000002905726
20190717,1037202.000000000000000,946583.040000000037253,1023570.280000000027940,954912.190000000060536,987848.880000000004657,972085.799999999930151,927891.160000000032596,981932.550000000162981,1008988.960000000079162,994828.320000000065193,885716.710000000079162,10721569.890000002458692
20190718,1048983.000000000000000,925045.030000000144355,1029423.840000000083819,960608.550000000046566,998017.280000000027940,963126.150000000023283,936612.179999999934807,983013.299999999930151,1004637.960000000079162,1002491.459999999962747,885561.920000000041910,10737530.669999999925494
20190719,1033326.000000000000000,966661.280000000144355,1024625.840000000083819,951142.540000000153668,988588.400000000023283,960621.900000000023283,921888.380000000004657,984454.300000000046566,1000896.100000000093132,995328.090000000083819,875964.940000000176951,10703507.769999999552965
20190722,1056939.000000000000000,956570.940000000060536,1026928.880000000004657,957257.750000000000000,993811.260000000009313,971918.849999999976717,919849.699999999953434,997495.350000000093132,1003419.680000000051223,1002713.579999999958090,859092.830000000074506,10746007.820000000298023
20190723,1065201.000000000000000,955674.590000000083819,1052982.020000000018626,974765.680000000051223,990622.080000000074506,987946.050000000046566,929137.020000000018626,1003691.650000000023283,990801.780000000027940,1004546.070000000065193,858783.250000000000000,10814161.190000001341105
20190724,1064334.000000000000000,925864.550000000046566,1065456.819999999832362,978702.870000000111759,983550.420000000041910,998519.549999999930151,925965.739999999990687,1013994.800000000046566,979924.280000000027940,1018039.860000000102445,866367.960000000079162,10820730.849999999627471
20190725,1055919.000000000000000,891700.810000000055879,1055620.919999999925494,969320.630000000004657,991222.939999999944121,991340.699999999953434,925965.739999999990687,1010176.150000000023283,981403.619999999995343,1008377.640000000013970,872404.770000000018626,10753462.919999999925494
20190726,1059591.000000000000000,883787.320000000065193,1065984.600000000093132,973592.900000000023283,996492.020000000018626,968245.949999999953434,922341.420000000041910,1018461.900000000139698,998459.540000000153668,1020038.939999999944121,883549.650000000023283,10790555.240000000223517
20190729,1069485.000000000000000,871520.130000000004657,1057252.239999999757856,970493.410000000032596,993718.819999999948777,983716.649999999906868,934346.979999999981374,1016228.350000000093132,1009511.080000000074506,1017373.500000000000000,888038.560000000055879,10811694.720000000670552
20190730,1064895.000000000000000,890087.380000000004657,1062434.080000000074506,968315.390000000130385,981516.739999999990687,988558.199999999953434,943181.259999999892898,1011328.950000000069849,1047886.900000000023283,1008044.459999999962747,876584.100000000093132,10842842.459999999031425
20190731,1086621.000000000000000,874004.300000000046566,1056340.620000000111759,971749.960000000079162,974029.099999999976717,972364.050000000046566,940009.979999999981374,981932.550000000162981,1027263.160000000149012,988442.369999999995343,855532.660000000149012,10728299.749999998137355
20190801,1063110.000000000000000,856359.010000000125729,1015413.679999999934807,946116.340000000083819,976478.760000000009313,964795.650000000023283,947938.179999999934807,994829.500000000116415,1015863.540000000153668,994939.379999999888241,855377.869999999995343,10631231.909999998286366
20190802,1040619.000000000000000,869855.480000000097789,1004714.140000000013970,946032.570000000181608,991407.819999999948777,949158.000000000116415,956772.459999999962747,986471.700000000069849,1013339.960000000079162,985221.629999999888241,860485.940000000176951,10604088.700000001117587
20190805,986151.000000000000000,848086.980000000097789,967817.520000000018626,917885.849999999976717,972781.159999999916181,916658.400000000023283,941482.359999999986030,952680.250000000116415,984101.240000000107102,937687.950000000069849,854758.710000000079162,10280101.419999999925494
20190806,1004817.000000000000000,851646.770000000018626,988592.859999999986030,925090.070000000181608,989559.020000000018626,911093.400000000023283,955413.339999999967404,970548.650000000023283,994543.640000000130385,957789.809999999939464,852127.280000000027940,10401231.840000001713634
20190807,1015221.000000000000000,848906.500000000000000,987297.400000000023283,904985.270000000135042,1002269.520000000018626,910703.849999999976717,954280.739999999990687,974799.600000000093132,1005334.119999999995343,973560.329999999958090,852746.440000000176951,10430114.769999997690320
20190808,1037610.000000000000000,861634.670000000158325,993342.880000000004657,920315.180000000051223,1007723.479999999981374,913931.550000000046566,959717.220000000088476,1000809.650000000023283,1022041.960000000079162,998993.070000000065193,864046.110000000102445,10580175.770000001415610
20190809,1025166.000000000000000,864707.870000000111759,992863.080000000074506,919309.940000000060536,1022236.560000000055879,909757.800000000046566,968664.759999999892898,992307.750000000116415,1016298.640000000130385,994273.020000000018626,863426.950000000069849,10569022.369999999180436
20190812,1022565.000000000000000,852901.660000000032596,967049.840000000083819,902053.320000000181608,1003794.780000000027940,902133.750000000000000,963001.759999999892898,978474.150000000023283,1009772.140000000130385,979224.390000000013970,862033.840000000083819,10443014.630000000819564
20190813,1065864.000000000000000,852696.780000000144355,979476.660000000032596,915959.140000000130385,1015673.319999999948777,917604.449999999953434,975007.319999999948777,998720.200000000069849,1020388.580000000074506,979224.390000000013970,872559.560000000055879,10593184.400000002235174
20190814,1034142.000000000000000,820837.940000000060536,938453.760000000009313,877927.560000000055879,1000651.819999999948777,883824.900000000023283,944653.640000000013970,965433.099999999976717,1007683.660000000149012,963509.399999999906868,862498.210000000079162,10299625.990000000223517
20190815,1028991.000000000000000,840250.320000000065193,941428.520000000018626,881278.360000000102445,1008925.200000000069849,872861.849999999976717,945333.199999999953434,963271.600000000093132,1021606.860000000102445,978835.680000000051223,871476.030000000027940,10354268.619999999180436
20190816,1053267.000000000000000,846524.770000000018626,956974.039999999920838,902388.400000000023283,1009849.599999999976717,898794.750000000000000,963454.800000000046566,980923.850000000093132,1037183.440000000176951,989719.559999999939464,876893.680000000051223,10515983.889999998733401
20190819,1072902.000000000000000,855052.900000000023283,970312.479999999981374,910514.090000000083819,1011282.420000000041910,906863.999999999883585,976253.179999999934807,997351.250000000000000,1046407.560000000055879,998104.590000000083819,882311.330000000074506,10627365.799999998882413
20190820,1072953.000000000000000,849854.070000000065193,959660.919999999925494,898953.830000000074506,1009849.599999999976717,896067.899999999906868,970137.140000000013970,989065.500000000000000,1034746.880000000121072,995328.090000000083819,871011.660000000149012,10547638.589999999850988
20190821,1084581.000000000000000,870956.710000000079162,963019.520000000018626,901466.930000000051223,1020202.880000000004657,896847.000000000000000,984407.899999999906868,1000089.150000000023283,1037357.480000000097789,1004768.189999999944121,875964.940000000176951,10639671.699999999254942
20190822,1083663.000000000000000,907886.330000000074506,971368.039999999920838,910765.400000000023283,1014564.040000000037253,895344.449999999953434,982255.959999999962747,992812.100000000093132,1039271.920000000041910,1000048.140000000013970,878905.950000000069849,10676895.330000000074506
20190823,1033580.999999999883585,911983.930000000051223,941524.479999999981374,888147.500000000000000,992239.780000000027940,867352.500000000000000,962095.679999999934807,961182.150000000023283,1020997.719999999972060,973060.559999999939464,865594.010000000125729,10417769.310000000521541
20190826,1053216.000000000000000,919743.760000000125729,958077.580000000074506,895267.950000000069849,1002639.280000000027940,868855.050000000046566,972742.119999999995343,976024.449999999953434,1038401.719999999972060,986165.640000000013970,877822.420000000041910,10548965.970000000670552
20190827,1041333.000000000000000,908705.850000000093132,950496.739999999990687,885801.940000000060536,998664.360000000102445,866796.000000000000000,968664.759999999892898,978113.900000000139698,1049105.179999999934807,990552.510000000009313,885097.550000000046566,10523341.790000000968575
20190828,1048320.000000000000000,922125.490000000107102,961772.039999999920838,894681.560000000055879,1008000.799999999930151,876813.000000000116415,979537.720000000088476,976817.000000000116415,1056501.880000000121072,992162.879999999888241,897016.380000000121072,10613758.750000001862645
