訓練日期,20091119 - 20100224
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10453070.259999999776483
真實報酬,453070.259999999776483

夏普值報酬,0.036607026000000
夏普值風險,0.017177415823570
夏普值,2.131113688810439

預期報酬,7143.806234239041260
風險,177209.544034477876266
趨勢值,0.040312762346757
找到最佳解世代,71
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](1),GS[8](30),HD[9](3),INTC[11](9),JNJ[12](7),MCD[15](17),MMM[16](6),MRK[17](4),NKE[19](12),UNH[23](2),V[25](5),VZ[26](18),WMT[28](13),
20091203,795107.250000000000000,714445.199999999953434,787269.680000000051223,759672.000000000000000,791941.119999999995343,745065.780000000027940,762803.450000000069849,804910.700000000069849,772094.880000000004657,728198.239999999874271,765785.700000000069849,819938.699999999837019,773349.449999999953434,10020592.149999998509884
20091204,808563.420000000041910,727228.319999999948777,791497.729999999981374,782228.880000000004657,794409.719999999972060,740497.420000000158325,773580.280000000027940,803378.400000000139698,767797.559999999939464,731661.959999999962747,768081.900000000023283,820206.999999999883585,770508.450000000069849,10079651.039999999105930
20091207,825420.599999999976717,712488.599999999860302,795443.910000000032596,778788.000000000000000,794533.150000000023283,744584.900000000023283,770317.569999999948777,803378.400000000139698,770662.439999999944121,754042.920000000041910,764637.599999999976717,834158.599999999860302,780309.900000000023283,10128776.589999999850988
20091208,823054.679999999934807,703749.119999999995343,779941.060000000055879,764259.839999999850988,793051.989999999990687,728715.860000000102445,762407.969999999972060,795716.900000000023283,758247.959999999962747,758305.959999999962747,765403.000000000000000,837646.499999999883585,772923.299999999930151,10043434.140000000596046
20091209,820245.150000000023283,723749.919999999925494,776558.619999999995343,765024.479999999981374,794656.579999999958090,728595.640000000130385,788410.780000000027940,813228.900000000023283,739626.239999999990687,759371.719999999972060,782241.800000000046566,835231.799999999930151,768093.599999999976717,10095045.230000002309680
20091210,813443.130000000004657,725010.839999999850988,788960.900000000023283,770376.959999999846332,799470.349999999976717,734005.540000000037253,797704.560000000055879,821766.000000000000000,748698.359999999986030,807597.359999999986030,787599.599999999976717,844353.999999999883585,776900.699999999953434,10215898.299999998882413
20091211,822167.460000000079162,721836.799999999930151,803054.400000000023283,760818.959999999846332,800457.789999999920838,741338.959999999962747,808283.650000000023283,811477.700000000069849,762545.280000000027940,812126.839999999967404,778414.800000000046566,846232.099999999860302,776332.500000000000000,10245097.240000000223517
20091214,828821.609999999986030,722271.599999999860302,813765.460000000079162,763877.519999999902211,801815.519999999902211,747109.520000000018626,809865.569999999948777,826800.700000000069849,765887.639999999897555,824649.519999999902211,810944.300000000046566,841670.999999999883585,768093.599999999976717,10325583.560000000521541
20091215,823202.550000000046566,707662.319999999948777,817993.510000000009313,756995.759999999892898,799100.059999999939464,745426.440000000060536,817676.300000000046566,831835.400000000023283,768275.039999999920838,834507.799999999930151,824338.799999999930151,827987.699999999837019,766815.149999999906868,10321826.830000000074506
20091216,815217.570000000065193,717445.319999999948777,816302.290000000037253,740938.319999999832362,799840.639999999897555,750475.680000000051223,807987.040000000037253,826362.900000000023283,764455.200000000069849,857954.520000000018626,832758.200000000069849,820475.299999999813735,757439.849999999976717,10307662.830000000074506
20091217,805458.150000000023283,699792.439999999944121,811792.369999999995343,729086.399999999906868,795767.449999999953434,744464.680000000051223,795628.290000000037253,816074.600000000093132,754905.599999999976717,847829.799999999930151,832758.200000000069849,823158.299999999930151,749485.049999999930151,10206211.330000000074506
20091218,790227.539999999920838,709618.919999999925494,807564.319999999948777,750496.319999999832362,794533.150000000023283,747470.180000000051223,800571.790000000037253,818701.400000000023283,769230.000000000000000,840369.479999999981374,851127.799999999930151,822890.000000000000000,750763.500000000000000,10253574.400000000372529
20091221,802944.359999999986030,719445.399999999906868,816302.290000000037253,768083.039999999920838,794039.429999999934807,753360.959999999962747,805119.810000000055879,825049.500000000000000,774482.279999999911524,857155.200000000069849,837350.599999999976717,828255.999999999883585,758576.250000000000000,10340175.119999999180436
20091222,814773.960000000079162,715749.599999999860302,825604.000000000000000,766171.439999999827705,796508.030000000027940,757087.780000000027940,810359.919999999925494,826362.900000000023283,776869.679999999934807,861151.799999999930151,825869.599999999976717,832817.099999999860302,757723.950000000069849,10367059.759999999776483
20091223,812703.780000000027940,711532.039999999920838,817429.770000000018626,768465.359999999986030,797001.749999999883585,761776.360000000102445,812633.930000000051223,815417.900000000023283,781167.000000000000000,842501.000000000000000,824338.799999999930151,833621.999999999883585,757439.849999999976717,10336039.539999999105930
20091224,820393.020000000018626,713010.359999999869615,822221.560000000055879,777258.719999999855645,798606.340000000083819,762497.680000000051223,816193.250000000000000,809726.500000000116415,778779.599999999860302,844099.640000000013970,825486.900000000023283,836841.599999999976717,761417.250000000000000,10366542.419999998062849
20091228,815365.440000000060536,712097.279999999911524,822503.430000000051223,776111.759999999892898,801568.659999999916181,764781.860000000102445,825091.550000000046566,816293.500000000000000,782121.959999999962747,836372.880000000004657,830079.300000000046566,840061.199999999837019,766815.149999999906868,10389273.969999998807907
20091229,816400.530000000027940,713662.559999999939464,825040.260000000009313,779934.959999999846332,801568.659999999916181,764541.420000000158325,831814.709999999962747,812134.400000000023283,790239.119999999995343,821985.119999999995343,842325.700000000069849,838451.399999999906868,768661.800000000046566,10406770.640000000596046
20091230,812703.780000000027940,724880.399999999906868,821094.079999999958090,787199.039999999920838,801198.369999999995343,756126.020000000018626,829540.700000000069849,811258.800000000046566,789761.639999999897555,826248.160000000032596,843473.799999999930151,838451.399999999906868,771360.750000000000000,10413306.939999999478459
20091231,800430.570000000065193,734185.119999999995343,815456.680000000051223,779934.959999999846332,795026.869999999995343,750716.119999999995343,817379.690000000060536,799876.000000000000000,788806.679999999934807,812126.839999999967404,836967.900000000023283,830938.999999999883585,759286.500000000000000,10321142.929999999701977
20100104,830743.920000000041910,752620.640000000013970,808128.060000000055879,798286.319999999832362,798359.480000000097789,754803.600000000093132,820840.140000000013970,810164.299999999930151,780212.039999999920838,840103.040000000037253,843473.799999999930151,834695.199999999837019,770366.399999999906868,10442806.939999999478459
20100105,857952.000000000000000,765925.519999999902211,814047.329999999958090,797904.000000000000000,789102.229999999981374,749033.040000000037253,815698.900000000023283,813447.799999999930151,783076.919999999925494,838770.839999999967404,833523.600000000093132,836305.000000000000000,762695.699999999953434,10457492.879999998956919
20100106,883977.119999999995343,757751.279999999911524,811228.630000000004657,795227.759999999892898,795520.590000000083819,738814.340000000083819,827266.690000000060536,824392.799999999930151,778302.119999999995343,847030.479999999981374,822425.299999999930151,800621.099999999860302,760991.099999999976717,10443559.310000000521541
20100107,919761.660000000032596,772577.959999999846332,820812.210000000079162,787581.359999999986030,789842.810000000055879,744224.239999999990687,827859.910000000032596,825706.199999999953434,785941.800000000046566,879536.159999999916181,830079.300000000046566,796060.000000000000000,761417.250000000000000,10541410.860000001266599
20100108,910889.460000000079162,757968.679999999934807,816866.030000000027940,796374.719999999855645,792558.269999999902211,743502.920000000158325,833693.239999999990687,825268.400000000139698,784509.359999999986030,871276.520000000018626,832375.500000000000000,796328.299999999930151,757581.900000000023283,10519203.300000002607703
20100111,900094.949999999953434,746011.679999999934807,793752.690000000060536,800962.559999999939464,792681.699999999953434,749273.480000000097789,830331.660000000032596,828551.900000000023283,774959.760000000009313,877138.200000000069849,830079.300000000046566,799816.199999999837019,770082.300000000046566,10493746.380000000819564
20100112,893588.670000000041910,729750.159999999916181,788679.030000000027940,787963.679999999934807,796878.320000000065193,753360.959999999962747,831023.750000000000000,821984.899999999906868,773527.319999999948777,853957.919999999925494,826252.300000000046566,800352.799999999813735,777468.899999999906868,10434798.710000002756715
20100113,904383.179999999934807,735185.159999999916181,792907.079999999958090,801344.880000000004657,801938.949999999953434,752519.420000000158325,828354.260000000009313,852193.099999999976717,780689.520000000018626,867013.479999999981374,833906.299999999930151,799547.899999999906868,781446.299999999930151,10531439.530000001192093
20100114,910297.980000000097789,732837.239999999990687,797698.869999999995343,821225.519999999902211,803543.539999999920838,753240.739999999990687,825585.900000000023283,875396.500000000116415,775914.719999999972060,887795.799999999930151,836585.199999999953434,783181.599999999976717,770082.300000000046566,10573395.910000000149012
20100115,899355.599999999976717,718401.880000000004657,805309.359999999986030,795227.759999999892898,796878.320000000065193,748792.600000000093132,824300.590000000083819,864013.699999999953434,768752.520000000018626,899252.719999999972060,824338.799999999930151,767083.599999999860302,762553.650000000023283,10474271.099999999627471
20100119,896841.809999999939464,725576.079999999958090,814047.329999999958090,804785.759999999892898,806629.289999999920838,763219.000000000000000,841602.840000000083819,889187.199999999953434,772572.359999999986030,936021.440000000060536,840412.200000000069849,783449.899999999906868,767525.400000000023283,10641880.610000001266599
20100120,890187.660000000032596,729619.719999999855645,807846.190000000060536,805932.719999999855645,804160.690000000060536,757568.660000000032596,837648.040000000037253,898162.100000000093132,766365.119999999995343,920567.919999999925494,836585.199999999953434,770303.199999999953434,765110.550000000046566,10590067.769999999552965
20100121,875400.660000000032596,699531.559999999939464,802772.530000000027940,796757.039999999920838,789595.949999999953434,759852.840000000083819,817676.300000000046566,877366.599999999976717,759680.400000000023283,881934.119999999995343,807882.699999999953434,768425.099999999976717,751757.849999999976717,10388643.649999998509884
20100122,854255.250000000000000,670182.559999999939464,781350.410000000032596,761201.279999999911524,780091.840000000083819,762137.020000000018626,805614.160000000032596,850879.699999999953434,752040.719999999972060,883532.759999999892898,791426.599999999976717,761180.999999999883585,752041.949999999953434,10205945.249999998137355
20100125,854403.119999999995343,673921.839999999850988,778531.710000000079162,776876.399999999906868,780338.699999999953434,758530.420000000158325,809074.609999999986030,848471.799999999930151,760157.880000000004657,879269.719999999972060,784920.700000000069849,769498.299999999930151,751189.650000000023283,10225194.849999999627471
20100126,853368.030000000027940,656095.039999999920838,781632.280000000027940,764642.159999999916181,775031.209999999962747,767186.260000000125729,807097.209999999962747,844531.599999999976717,761112.839999999967404,864349.079999999958090,776501.299999999930151,756888.199999999953434,761559.300000000046566,10170004.509999999776483
20100127,915769.170000000041910,658790.799999999930151,784732.849999999976717,773817.839999999850988,783054.159999999916181,766224.500000000000000,813721.500000000000000,845845.000000000000000,763977.719999999972060,885664.280000000027940,802907.599999999976717,749375.799999999930151,758576.250000000000000,10302467.470000000670552
20100128,925084.980000000097789,666573.719999999855645,770639.349999999976717,761583.599999999976717,787497.639999999897555,755404.700000000069849,798396.650000000023283,831178.699999999953434,758247.959999999962747,890726.640000000013970,790661.199999999953434,735692.500000000000000,747354.300000000046566,10219051.940000001341105
20100129,896102.460000000079162,646703.359999999869615,789524.640000000013970,741702.959999999846332,775895.219999999972060,750595.900000000023283,795826.030000000027940,835775.599999999976717,761112.839999999967404,879269.719999999972060,784920.700000000069849,738107.199999999953434,759002.400000000023283,10154549.029999999329448
20100201,912368.160000000032596,665878.039999999920838,800235.700000000069849,749731.679999999934807,778734.109999999986030,768148.020000000018626,795331.680000000051223,838402.399999999906868,764932.679999999934807,882733.440000000060536,800611.400000000023283,742668.299999999930151,759712.649999999906868,10259498.259999999776483
20100202,915917.039999999920838,682443.919999999925494,818275.380000000004657,761201.279999999911524,789842.810000000055879,769831.100000000093132,795232.810000000055879,865546.000000000000000,763022.760000000009313,907245.919999999925494,803673.000000000000000,745887.899999999906868,759854.700000000069849,10377984.619999999180436
20100203,908819.280000000027940,683704.839999999850988,802490.660000000032596,752407.919999999925494,785399.330000000074506,784017.059999999939464,805811.900000000023283,847596.199999999953434,763977.719999999972060,887795.799999999930151,799080.599999999976717,732204.599999999860302,770934.600000000093132,10324250.509999999776483
20100204,877175.099999999976717,655225.439999999944121,787269.680000000051223,727174.799999999930151,773179.760000000009313,770191.760000000125729,783170.669999999925494,812134.400000000023283,741058.679999999934807,864881.959999999962747,794488.200000000069849,718252.999999999883585,752468.099999999976717,10056681.549999998882413
20100205,863571.059999999939464,670356.479999999864958,788679.030000000027940,744379.199999999837019,773179.760000000009313,761896.580000000074506,776546.380000000121072,804035.099999999976717,736761.359999999986030,867013.479999999981374,789895.800000000046566,720935.999999999883585,759286.500000000000000,10056546.730000000447035
20100208,856029.690000000060536,657051.599999999860302,805873.099999999976717,739791.359999999986030,769847.149999999906868,756486.680000000051223,766560.510000000009313,800970.500000000116415,731986.559999999939464,863549.759999999892898,794488.200000000069849,711545.499999999883585,751899.900000000023283,10006090.509999999776483
20100209,883385.640000000013970,663095.319999999948777,813765.460000000079162,751260.959999999846332,774660.919999999925494,764300.980000000097789,778326.040000000037253,798343.699999999953434,746310.959999999962747,879269.719999999972060,796784.400000000023283,721204.299999999930151,756445.500000000000000,10127163.900000000372529
20100210,880428.239999999990687,668052.039999999920838,807564.319999999948777,752790.239999999990687,774290.630000000004657,760453.940000000060536,777337.340000000083819,792433.400000000139698,747743.400000000023283,871542.959999999962747,800228.699999999953434,724155.599999999860302,756303.450000000069849,10113334.259999999776483
20100211,895954.590000000083819,669878.199999999953434,817147.900000000023283,766936.079999999841675,776512.369999999995343,766945.820000000065193,793650.890000000013970,807318.600000000093132,751563.239999999990687,882466.999999999883585,814771.299999999930151,728448.399999999906868,754030.650000000023283,10225635.040000000968575
20100212,882054.809999999939464,669356.439999999944121,817429.770000000018626,781081.919999999925494,774167.199999999953434,764541.420000000158325,782874.060000000055879,808194.200000000069849,745833.479999999981374,857421.640000000013970,811327.000000000000000,725765.399999999906868,751473.750000000000000,10171531.089999997988343
20100216,905861.880000000004657,684444.000000000000000,829832.050000000046566,792169.199999999837019,785152.469999999972060,769590.660000000149012,795628.290000000037253,824392.799999999930151,759680.400000000023283,842767.439999999944121,821659.899999999906868,731936.299999999930151,760849.050000000046566,10303974.440000001341105
20100217,914142.599999999976717,683835.279999999911524,846180.510000000009313,789875.279999999911524,789719.380000000004657,772596.160000000149012,792365.580000000074506,817388.000000000116415,769707.479999999981374,867279.919999999925494,827017.699999999953434,730863.099999999860302,767951.550000000046566,10368932.539999999105930
20100218,929964.690000000060536,677182.839999999850988,854072.869999999995343,796757.039999999920838,796508.030000000027940,775241.000000000116415,801955.969999999972060,816293.500000000000000,769230.000000000000000,871010.079999999958090,831992.799999999930151,731131.399999999906868,759570.599999999976717,10410920.820000000298023
20100219,940315.590000000083819,679139.439999999944121,849844.819999999948777,795992.399999999906868,787621.070000000065193,778366.719999999972060,806009.640000000013970,820671.500000000116415,768275.039999999920838,851027.079999999958090,830462.000000000000000,727911.799999999930151,759854.700000000069849,10395501.800000000745058
20100222,945934.650000000023283,681443.880000000004657,854636.609999999986030,797904.000000000000000,783671.310000000055879,778727.380000000004657,797704.560000000055879,812572.199999999953434,767797.559999999939464,881401.239999999874271,831610.099999999976717,727375.199999999837019,764684.400000000023283,10425473.089999999850988
20100223,928190.250000000000000,681400.399999999906868,866757.020000000018626,779552.639999999897555,781449.570000000065193,779929.580000000074506,788114.169999999925494,799219.299999999930151,765410.160000000032596,874207.359999999986030,823956.100000000093132,720935.999999999883585,761701.349999999976717,10350833.900000000372529
20100224,938689.020000000018626,688487.640000000013970,883951.089999999967404,791404.559999999939464,783177.590000000083819,784618.160000000149012,791673.489999999990687,808413.099999999976717,774959.760000000009313,895788.999999999883585,819363.699999999953434,726570.299999999813735,765962.849999999976717,10453070.259999999776483
