訓練日期,20160620 - 20160920
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10738645.979999998584390
真實報酬,738645.979999998584390

夏普值報酬,0.065164598000000
夏普值風險,0.026815031541495
夏普值,2.430151831041490

預期報酬,14503.161074574278246
風險,142451.138560082501499
趨勢值,0.101811478807221
找到最佳解世代,94
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](4),AXP[1](12),GS[8](2),INTC[11](3),JPM[13](9),MMM[16](11),NKE[19](14),PG[21](1),TRV[22](13),V[25](10),WBA[27](25),
20160701,914430.160000000032596,891896.849999999976717,925381.620000000111759,937426.769999999902211,894202.079999999958090,944604.599999999976717,941247.500000000000000,927132.750000000116415,965897.729999999981374,879454.430000000167638,913599.589999999967404,10135284.079999998211861
20160705,905847.759999999892898,869266.550000000046566,901662.020000000018626,935423.159999999916181,869242.919999999925494,945088.890000000013970,934308.250000000000000,934349.850000000093132,964516.140000000130385,881697.760000000125729,918659.129999999888241,10060072.429999999701977
20160706,910997.199999999953434,874115.900000000023283,908715.480000000214204,943723.829999999841675,878584.359999999986030,942559.819999999948777,944463.250000000000000,929866.500000000116415,965166.300000000046566,874495.490000000107102,896991.099999999860302,10069689.230000000447035
20160707,914906.959999999962747,878965.250000000116415,917579.120000000111759,950307.119999999995343,878584.359999999986030,940999.329999999958090,946494.250000000000000,927679.500000000000000,955007.550000000046566,874495.490000000107102,885442.149999999906868,10070471.080000000074506
20160708,921963.600000000093132,903652.850000000093132,938677.080000000074506,973205.519999999902211,902521.799999999930151,953106.579999999958090,960034.250000000000000,937958.400000000023283,959639.940000000060536,902360.010000000125729,899740.849999999860302,10252870.880000000819564
20160711,924824.400000000023283,913498.500000000000000,949975.100000000093132,984082.260000000009313,908944.040000000037253,957895.669999999925494,961896.000000000000000,937739.700000000069849,959965.020000000018626,903540.709999999962747,902050.640000000013970,10304422.039999999105930
20160712,929020.239999999990687,925842.300000000046566,979499.760000000009313,1000111.139999999781139,922518.320000000065193,964083.819999999948777,982713.750000000000000,937739.700000000069849,959721.210000000079162,914875.430000000167638,893361.429999999934807,10409497.099999999627471
20160713,923775.440000000060536,927311.800000000046566,985741.760000000009313,1002114.749999999883585,921934.479999999981374,964352.869999999995343,981529.000000000000000,939270.600000000093132,958989.780000000027940,914639.290000000037253,899410.879999999888241,10419080.649999998509884
20160714,942084.560000000055879,934806.250000000000000,1014579.800000000046566,1007553.119999999995343,935946.640000000013970,973446.760000000009313,989991.500000000000000,939051.900000000139698,965003.760000000009313,922668.050000000046566,921518.869999999878928,10546661.210000000894070
20160715,941989.199999999953434,937304.400000000023283,1008962.000000000000000,1003832.129999999888241,936822.400000000139698,976137.260000000009313,979498.000000000000000,940582.800000000162981,964191.060000000055879,924557.170000000041910,907550.140000000013970,10521436.560000000521541
20160718,952002.000000000000000,940390.350000000093132,1019510.980000000214204,1003259.669999999809079,933611.280000000027940,974576.770000000018626,977297.750000000000000,939708.000000000116415,953951.040000000037253,924675.240000000107102,910519.869999999878928,10529512.949999999254942
20160719,952383.440000000060536,942888.500000000000000,1007526.340000000083819,1006121.969999999855645,932151.679999999934807,975276.300000000046566,977636.250000000000000,942332.400000000139698,951269.130000000004657,929516.110000000102445,904250.439999999827705,10521362.559999998658895
20160720,953241.679999999934807,947590.900000000139698,1009773.460000000195578,1021578.389999999781139,933173.400000000023283,976244.879999999888241,977636.250000000000000,933037.650000000023283,950944.050000000046566,937072.590000000083819,907550.140000000013970,10547853.390000000596046
20160721,948187.600000000093132,932161.150000000023283,999037.220000000204891,980933.729999999981374,929670.359999999986030,970002.919999999925494,964604.000000000000000,932381.550000000162981,948587.219999999972060,930342.600000000093132,898640.949999999953434,10434559.299999998882413
20160722,940844.880000000004657,944651.900000000023283,1001284.340000000083819,992096.699999999837019,934778.960000000079162,970971.500000000000000,960203.500000000000000,937411.650000000023283,952081.830000000074506,943566.440000000060536,894791.299999999813735,10472693.000000000000000
20160725,928257.359999999986030,945386.650000000023283,1001908.540000000037253,992955.389999999781139,932297.640000000013970,966612.890000000013970,967142.750000000000000,938286.450000000069849,954519.930000000051223,932113.650000000023283,897211.079999999841675,10456702.330000000074506
20160726,921868.239999999990687,945974.450000000069849,1005965.840000000083819,1004404.589999999967404,936092.599999999976717,956012.319999999948777,954110.500000000000000,932490.900000000023283,956145.330000000074506,926800.500000000000000,894571.319999999832362,10434446.589999999850988
20160727,981754.320000000065193,949207.350000000093132,1004904.700000000186265,996962.609999999869615,939011.799999999930151,959294.730000000097789,944294.000000000000000,923633.550000000046566,946230.390000000130385,927272.780000000027940,879282.709999999846332,10451858.939999999478459
20160728,995009.359999999986030,952146.350000000093132,1002033.380000000121072,995245.229999999981374,935654.719999999855645,957734.239999999874271,938539.500000000000000,927460.800000000046566,955820.250000000000000,935065.400000000023283,874003.189999999827705,10468722.419999999925494
20160729,993769.679999999934807,947297.000000000000000,991297.140000000130385,997821.299999999930151,933757.239999999990687,959779.020000000018626,939385.750000000000000,935990.100000000093132,944523.719999999972060,921605.420000000041910,871693.399999999906868,10436929.770000001415610
20160801,1011315.919999999925494,942447.650000000023283,987364.680000000167638,997535.069999999948777,931275.919999999925494,959402.349999999976717,937862.500000000000000,944956.800000000046566,949318.650000000023283,924084.890000000130385,871913.379999999888241,10457487.809999998658895
20160802,996344.400000000023283,932748.950000000069849,974131.640000000130385,989234.400000000023283,929086.520000000018626,959779.020000000018626,929569.250000000000000,948784.050000000162981,951106.590000000083819,924321.030000000027940,868393.699999999953434,10403509.549999998882413
20160803,1008836.560000000055879,938039.150000000023283,988363.400000000139698,980361.269999999902211,943828.479999999981374,959886.640000000013970,926692.000000000000000,940145.400000000023283,958827.240000000107102,929398.040000000037253,875543.049999999813735,10449931.230000000447035
20160804,1009599.440000000060536,939655.599999999976717,986553.220000000204891,989806.859999999869615,942368.880000000004657,956819.469999999972060,927369.000000000000000,941020.200000000069849,958014.540000000037253,938489.430000000167638,878292.799999999813735,10467999.440000001341105
20160805,1024952.400000000023283,962873.699999999953434,1011770.900000000139698,1001256.059999999823049,967765.919999999925494,960909.029999999911524,945309.500000000000000,938067.750000000116415,963703.440000000060536,946282.050000000046566,885772.119999999878928,10608672.869999999180436
20160808,1033439.440000000060536,967429.150000000023283,1016389.980000000214204,1002973.439999999827705,964846.719999999855645,960962.840000000083819,947509.750000000000000,937849.050000000162981,960208.830000000074506,944038.720000000088476,886872.019999999902211,10622529.939999999478459
20160809,1037635.280000000027940,960963.350000000093132,1020197.600000000093132,999538.679999999934807,961489.640000000013970,959940.449999999953434,943955.500000000000000,940364.099999999976717,960452.640000000130385,945337.490000000107102,889731.759999999892898,10619616.490000000223517
20160810,1029911.119999999995343,951411.599999999976717,1012395.100000000093132,988375.709999999962747,952878.000000000000000,962254.279999999911524,933123.500000000000000,943863.300000000046566,960858.990000000107102,940850.830000000190921,907440.149999999906868,10583372.580000000074506
20160811,1029243.600000000093132,962285.900000000139698,1022819.240000000223517,992669.159999999916181,955505.279999999911524,973984.859999999986030,960203.500000000000000,948456.000000000116415,963865.979999999981374,946045.910000000149012,911949.739999999874271,10667039.170000001788139
20160812,1031627.600000000093132,960816.400000000023283,1019011.620000000111759,989520.629999999888241,953461.839999999850988,970056.730000000097789,955464.500000000000000,951845.850000000093132,963134.550000000046566,944865.209999999962747,916459.329999999841675,10656274.259999999776483
20160815,1044024.400000000023283,964490.150000000023283,1033368.220000000204891,999252.449999999837019,959300.239999999990687,971617.219999999972060,960880.500000000000000,951627.150000000023283,961834.229999999981374,955373.440000000060536,919649.039999999920838,10721427.039999999105930
20160816,1043070.799999999930151,959640.800000000046566,1033992.420000000158325,1007839.349999999976717,959154.279999999911524,964568.109999999986030,962742.250000000000000,946815.750000000000000,950700.240000000107102,954192.740000000107102,910739.849999999860302,10693466.589999999850988
20160817,1041545.040000000037253,965224.900000000139698,1034117.260000000009313,1002400.979999999981374,961781.560000000055879,967904.329999999958090,962403.750000000000000,950971.050000000046566,954276.119999999995343,954546.950000000069849,907660.129999999888241,10702842.070000000298023
20160818,1040210.000000000000000,964490.150000000023283,1036551.640000000130385,1000969.829999999841675,962657.320000000065193,964191.440000000060536,968327.500000000000000,956219.850000000093132,957526.919999999925494,947816.959999999962747,909090.000000000000000,10708061.609999999403954
20160819,1042880.079999999958090,963020.650000000023283,1037612.780000000027940,1008698.039999999920838,961343.679999999934807,966505.270000000018626,996930.750000000000000,954798.300000000046566,954682.469999999972060,950178.360000000102445,908430.059999999939464,10745090.439999999478459
20160822,1034774.480000000097789,960522.500000000000000,1037800.040000000037253,1012132.799999999930151,960467.919999999925494,963599.529999999911524,992868.750000000000000,949768.199999999953434,950456.430000000051223,957144.490000000107102,910079.909999999799766,10729625.050000000745058
20160823,1038016.719999999972060,965224.900000000139698,1036676.480000000214204,1013277.719999999855645,960030.039999999920838,967366.230000000097789,1009116.750000000000000,955782.450000000186265,947855.790000000037253,954074.670000000041910,906120.269999999902211,10753552.020000001415610
20160824,1030197.199999999953434,957583.500000000000000,1031807.720000000204891,1006121.969999999855645,962657.320000000065193,965429.069999999948777,1019271.750000000000000,954798.300000000046566,951756.750000000000000,948053.100000000093132,896111.179999999934807,10723797.859999999403954
20160825,1025810.639999999897555,955232.300000000046566,1035552.920000000158325,1004404.589999999967404,964408.839999999850988,966343.840000000083819,1002685.250000000000000,961249.950000000186265,956958.030000000027940,948407.309999999939464,881922.469999999972060,10702986.140000000596046
20160826,1019802.959999999962747,952146.350000000093132,1035989.860000000102445,1009270.499999999883585,966598.239999999990687,965429.069999999948777,998623.250000000000000,957750.750000000000000,952000.560000000055879,951359.059999999939464,873233.259999999892898,10682213.860000001266599
20160829,1018658.639999999897555,962873.699999999953434,1041607.660000000149012,1017571.169999999809079,977253.320000000065193,971294.359999999986030,992361.000000000000000,965623.950000000069849,962890.740000000107102,954901.160000000149012,883792.299999999813735,10748838.000000000000000
20160830,1010839.119999999995343,961845.050000000046566,1057212.660000000149012,1021864.619999999995343,985281.119999999995343,969411.010000000009313,981698.250000000000000,957313.350000000093132,962809.469999999972060,958443.260000000125729,885662.129999999888241,10752390.039999999105930
20160831,1011792.719999999972060,963755.400000000023283,1057774.440000000176951,1027302.989999999874271,985281.119999999995343,964514.300000000046566,975605.250000000000000,954798.300000000046566,964759.949999999953434,955255.370000000111759,887751.939999999827705,10748601.779999999329448
20160901,1017800.400000000023283,953175.000000000000000,1051844.540000000037253,1031023.979999999981374,981048.279999999911524,968496.239999999874271,990837.750000000000000,965733.300000000046566,961834.229999999981374,959978.170000000041910,896881.109999999986030,10778663.000000000000000
20160902,1027336.400000000023283,958024.349999999976717,1056026.680000000167638,1032741.359999999869615,985135.159999999916181,972962.469999999972060,982036.750000000000000,964530.450000000069849,965816.460000000079162,968243.070000000065193,904360.429999999934807,10817223.580000000074506
20160906,1027050.320000000065193,966400.500000000116415,1056962.980000000214204,1046766.629999999888241,984405.359999999986030,971079.119999999995343,971712.500000000000000,969341.850000000093132,969473.610000000102445,974500.780000000027940,897981.009999999892898,10835684.660000000149012
20160907,1033344.079999999958090,972719.349999999976717,1059085.260000000009313,1043618.099999999976717,980318.479999999981374,967258.609999999986030,976959.250000000000000,961796.700000000069849,964516.140000000130385,982883.750000000000000,911619.769999999902211,10854129.490000000223517
20160908,1006261.839999999967404,973454.099999999976717,1071506.840000000083819,1043045.639999999781139,981632.119999999995343,969141.959999999962747,950725.500000000000000,959937.750000000116415,950050.080000000074506,979695.860000000102445,931307.979999999981374,10816769.669999999925494
20160909,983470.799999999930151,956995.700000000069849,1052219.060000000055879,1014422.639999999781139,972874.520000000135042,945142.699999999953434,936508.500000000000000,943097.849999999976717,930057.660000000032596,960332.380000000004657,912059.729999999981374,10607191.540000000968575
20160912,1005498.959999999962747,968457.800000000162981,1067761.640000000130385,1032741.359999999869615,978858.880000000004657,958379.959999999962747,948017.500000000000000,965077.200000000069849,938834.819999999948777,979695.860000000102445,919209.079999999841675,10762543.060000000521541
20160913,1029434.320000000065193,945827.500000000000000,1042419.120000000111759,1019288.549999999930151,971123.000000000000000,947456.529999999911524,937185.500000000000000,951955.200000000069849,928594.800000000046566,966944.300000000046566,904690.399999999906868,10644929.220000002533197
20160914,1065861.839999999850988,932895.900000000023283,1037175.840000000083819,1019574.779999999795109,969225.520000000135042,945035.079999999958090,933123.500000000000000,951517.800000000162981,924124.949999999953434,962221.500000000000000,890721.669999999925494,10631488.379999998956919
20160915,1102098.640000000130385,938039.150000000023283,1049160.480000000214204,1046480.400000000023283,972728.560000000055879,950254.650000000023283,938878.000000000000000,962999.550000000046566,934121.160000000032596,968361.140000000130385,895341.250000000000000,10758472.980000000447035
20160916,1095900.240000000223517,935541.000000000000000,1036177.120000000111759,1078251.930000000167638,960759.839999999850988,942021.719999999972060,933969.750000000000000,962890.200000000069849,931926.869999999995343,969069.559999999939464,896331.159999999799766,10742849.390000000596046
20160919,1083122.000000000000000,941419.000000000116415,1037487.940000000176951,1063654.199999999720603,966160.359999999986030,950954.179999999934807,930077.000000000000000,966389.400000000139698,935340.210000000079162,974264.640000000130385,888851.839999999967404,10737730.770000001415610
20160920,1083026.640000000130385,936422.700000000069849,1039110.860000000102445,1063081.739999999757856,970101.279999999911524,955689.459999999962747,928723.000000000000000,968685.750000000000000,932902.110000000102445,973910.430000000167638,886982.009999999892898,10738645.979999998584390
