訓練日期,20180109 - 20180412
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10144638.479999998584390
真實報酬,144638.479999998584390

夏普值報酬,0.005763848000000
夏普值風險,0.023280229105844
夏普值,0.247585535941010

預期報酬,3090.993864090111401
風險,281366.333924548176583
趨勢值,0.010985656389577
找到最佳解世代,15
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](12),BA[2](4),GS[8](8),HD[9](21),INTC[11](1),JPM[13](7),MCD[15](24),MSFT[18](3),TRV[22](5),WBA[27](26),
20180129,963353.350000000093132,1098880.080000000074506,1082080.570000000065193,1067066.160000000149012,1117119.239999999990687,1070963.199999999953434,1022076.160000000032596,1063884.280000000027940,1133198.570000000065193,1086926.800000000279397,10705548.410000002011657
20180130,957675.699999999953434,1088853.439999999944121,1068023.229999999981374,1050872.390000000130385,1090521.550000000046566,1060917.760000000009313,991663.949999999837019,1050518.419999999925494,1131372.890000000130385,1030871.200000000069849,10521290.529999999329448
20180131,960313.800000000046566,1142565.280000000260770,1063853.679999999934807,1046134.020000000135042,1075993.399999999906868,1066078.719999999972060,983960.289999999804422,1076230.709999999962747,1140501.290000000037253,1019091.400000000139698,10574722.589999997988343
20180201,962321.050000000046566,1150850.959999999962747,1081087.820000000065193,1040927.020000000135042,1065041.409999999916181,1077137.919999999925494,988329.529999999911524,1067735.459999999962747,1141109.850000000093132,1029923.400000000139698,10604464.420000001788139
20180202,920570.250000000000000,1124962.240000000223517,1032681.330000000074506,1010049.510000000125729,1031514.910000000032596,1053268.479999999981374,973842.049999999930151,1039644.500000000000000,1125515.500000000000000,996073.400000000139698,10308122.169999999925494
20180205,897572.900000000023283,1060385.520000000018626,989278.300000000046566,953501.490000000107102,995082.780000000027940,1002764.799999999930151,942050.079999999958090,996828.439999999944121,1076602.490000000223517,953693.200000000186265,9867760.000000000000000
20180206,935079.800000000046566,1099170.240000000223517,1027360.189999999944121,994793.000000000000000,1003799.669999999925494,1033269.760000000009313,949696.250000000000000,1034547.349999999976717,1071505.800000000046566,972107.600000000209548,10121329.660000000149012
20180207,915064.649999999906868,1122415.280000000260770,1021006.590000000083819,996094.750000000000000,1010281.460000000079162,1040273.920000000041910,952743.219999999972060,1015064.909999999916181,1081318.830000000074506,968587.200000000186265,10122850.809999998658895
20180208,889888.000000000000000,1062900.240000000223517,978318.339999999967404,943660.260000000125729,955521.510000000009313,994286.079999999958090,913994.959999999962747,962960.709999999962747,1027080.920000000041910,923769.800000000046566,9652380.820000002160668
20180209,897114.099999999976717,1073120.319999999832362,990032.790000000037253,958760.560000000055879,982342.710000000079162,1014192.640000000013970,924515.630000000004657,998867.300000000046566,1042827.410000000149012,927019.400000000023283,9808792.860000001266599
20180212,933244.600000000093132,1108487.600000000093132,1005360.849999999976717,958448.140000000130385,1002011.589999999967404,1029859.839999999967404,942337.529999999911524,1009627.949999999837019,1050890.830000000074506,927019.400000000023283,9967288.330000000074506
20180213,942592.650000000023283,1106424.240000000223517,1014772.119999999995343,956677.760000000125729,993741.719999999972060,1036218.880000000121072,933714.029999999911524,1017556.849999999976717,1054237.910000000149012,924717.600000000209548,9980653.759999999776483
20180214,959969.700000000069849,1111872.800000000279397,1042767.669999999925494,961728.550000000046566,1014304.640000000013970,1060180.479999999981374,919858.939999999944121,1028657.309999999939464,1069604.050000000046566,927425.600000000093132,10096369.739999998360872
20180215,992200.400000000023283,1149303.439999999944121,1063019.770000000018626,964748.610000000102445,1026374.180000000051223,1064604.160000000149012,924400.649999999906868,1049612.260000000009313,1071734.010000000009313,944892.200000000186265,10250889.679999999701977
20180216,988988.800000000046566,1144725.359999999869615,1062781.510000000009313,973600.510000000125729,1018327.820000000065193,1056954.880000000121072,907211.139999999897555,1042136.439999999944121,1073863.969999999972060,960327.800000000162981,10228918.230000000447035
20180220,985662.500000000000000,1139276.800000000279397,1051940.679999999934807,972246.690000000176951,1035314.579999999958090,1057231.359999999869615,903589.269999999902211,1050291.879999999888241,1057965.340000000083819,960192.400000000023283,10213711.500000001862645
20180221,981189.199999999953434,1136117.280000000260770,1046023.889999999897555,953241.140000000130385,1026821.199999999953434,1061655.040000000037253,912097.789999999804422,1036359.669999999925494,1053933.630000000121072,942861.200000000069849,10150300.039999999105930
20180222,989390.250000000000000,1147562.479999999981374,1038201.020000000018626,965790.010000000125729,1023692.059999999939464,1059719.679999999934807,923710.769999999902211,1039078.150000000023283,1047087.329999999958090,943402.800000000162981,10177634.550000000745058
20180223,1006595.250000000000000,1149948.240000000223517,1059406.159999999916181,980786.170000000041910,1066829.489999999990687,1081192.959999999962747,937508.369999999995343,1065470.060000000055879,1063062.030000000260770,952745.400000000139698,10363544.130000000819564
20180226,1026495.699999999953434,1171935.919999999925494,1077235.949999999953434,981358.940000000176951,1097673.870000000111759,1094648.320000000065193,940497.849999999976717,1080874.780000000027940,1084665.910000000149012,955995.000000000000000,10511382.240000000223517
20180227,1023169.399999999906868,1175675.759999999776483,1064012.520000000018626,963238.580000000074506,1115554.669999999925494,1081653.760000000009313,923710.769999999902211,1067055.840000000083819,1076754.630000000121072,936226.600000000093132,10427052.529999999329448
20180228,1021620.950000000069849,1167841.439999999944121,1044157.520000000018626,949127.610000000102445,1101697.050000000046566,1064512.000000000000000,906923.689999999944121,1062185.229999999981374,1057432.850000000093132,932841.600000000093132,10308339.939999999478459
20180301,1003727.750000000000000,1127476.959999999962747,1019735.869999999878928,935433.200000000069849,1069288.100000000093132,1045434.880000000121072,895195.729999999864958,1051764.389999999897555,1057204.640000000130385,950579.000000000116415,10155840.519999999552965
20180302,1010667.100000000093132,1111292.479999999981374,1025057.010000000009313,929288.940000000176951,1094768.239999999990687,1044421.119999999878928,852480.660000000032596,1054029.789999999804422,1048913.010000000009313,955724.200000000069849,10126642.550000000745058
20180305,1014165.449999999953434,1137342.399999999906868,1044912.010000000009313,946367.900000000139698,1111978.510000000009313,1060456.959999999962747,868347.899999999906868,1060712.719999999972060,1061844.910000000149012,955318.000000000116415,10261446.759999997913837
20180306,1013305.199999999953434,1124994.479999999981374,1060041.520000000018626,945847.200000000069849,1133435.469999999972060,1061378.560000000055879,869325.229999999864958,1057088.079999999841675,1075613.580000000074506,945027.600000000209548,10286056.919999999925494
20180307,1003899.800000000046566,1118933.359999999869615,1053767.340000000083819,929913.780000000144355,1147069.580000000074506,1057415.679999999934807,876109.049999999930151,1063204.659999999916181,1056520.010000000009313,941101.000000000116415,10247934.259999999776483
20180308,1014853.650000000023283,1124381.919999999925494,1057698.629999999888241,926581.300000000046566,1134106.000000000000000,1057507.839999999850988,887951.989999999874271,1069661.050000000046566,1062529.540000000037253,933924.800000000046566,10269196.720000000670552
20180309,1032288.049999999930151,1143048.879999999888241,1075290.159999999916181,948554.840000000083819,1166514.949999999953434,1087920.640000000130385,904049.189999999944121,1093561.020000000018626,1082535.950000000186265,955995.000000000000000,10489758.679999999701977
20180312,1042266.949999999953434,1109744.959999999962747,1085654.469999999972060,935797.690000000176951,1151539.780000000027940,1084418.560000000055879,906923.689999999944121,1096166.229999999981374,1076374.280000000260770,949902.000000000232831,10438788.609999999403954
20180313,1032230.699999999953434,1091948.479999999981374,1066395.119999999878928,928716.170000000041910,1157351.040000000037253,1071424.000000000000000,909683.209999999962747,1069434.510000000009313,1070288.680000000167638,945975.400000000139698,10343447.310000000521541
20180314,1023456.150000000023283,1064834.640000000130385,1050114.020000000018626,923821.590000000083819,1159139.120000000111759,1059443.199999999953434,909798.189999999944121,1063091.389999999897555,1061388.490000000223517,928238.000000000116415,10243324.789999999105930
20180315,1024660.500000000000000,1063931.919999999925494,1058770.800000000046566,927258.210000000079162,1137235.140000000130385,1062115.839999999850988,929172.320000000065193,1066829.300000000046566,1068615.140000000130385,912396.200000000069849,10250985.369999999180436
20180316,1021047.450000000069849,1065511.680000000167638,1062702.090000000083819,931892.440000000176951,1143716.929999999934807,1063959.040000000037253,933484.070000000065193,1071586.639999999897555,1075081.090000000083819,914968.800000000046566,10283950.230000002309680
20180319,1005448.250000000116415,1069670.640000000130385,1042569.119999999878928,922207.420000000041910,1136117.590000000083819,1055572.479999999981374,914224.919999999925494,1052217.469999999972060,1065191.990000000223517,902105.800000000162981,10165325.679999999701977
20180320,1005104.150000000023283,1088595.520000000018626,1045189.979999999981374,927726.840000000083819,1152210.310000000055879,1056586.239999999990687,916352.049999999930151,1054935.949999999953434,1076298.209999999962747,894388.000000000116415,10217387.250000000000000
20180321,982336.200000000069849,1086886.800000000279397,1039868.840000000083819,926997.860000000102445,1152433.820000000065193,1057507.839999999850988,912212.769999999902211,1047573.400000000023283,1073407.550000000046566,897366.800000000046566,10176591.880000002682209
20180322,968457.500000000000000,1030499.040000000037253,1003137.089999999967404,912782.750000000000000,1136117.590000000083819,1013363.200000000069849,902899.389999999897555,1017103.770000000018626,1050966.900000000139698,891409.200000000069849,9926736.429999999701977
20180323,946033.650000000023283,1034980.400000000023283,973989.949999999953434,894610.320000000181608,1103261.620000000111759,986268.160000000032596,891056.449999999837019,987540.300000000046566,1026244.150000000139698,885993.200000000186265,9729978.199999999254942
20180326,990938.700000000069849,1060675.680000000167638,1012190.969999999972060,918458.380000000121072,1172996.739999999990687,1016680.959999999962747,908475.919999999925494,1062298.500000000000000,1051499.390000000130385,913614.800000000046566,10107830.040000000968575
20180327,965532.650000000023283,1035367.280000000027940,981931.949999999953434,909606.480000000097789,1144163.949999999953434,996958.719999999972060,905428.949999999837019,1013479.129999999888241,1040317.100000000093132,893169.400000000023283,9885955.609999999403954
20180328,954865.549999999930151,1031820.880000000004657,990310.760000000009313,910023.040000000037253,1108625.860000000102445,995392.000000000000000,910775.519999999902211,1012572.969999999972060,1055835.380000000121072,915239.600000000209548,9885461.559999998658895
20180329,962321.050000000046566,1057161.520000000018626,1000198.550000000046566,928143.400000000139698,1164056.340000000083819,1013547.520000000018626,899105.049999999930151,1033867.729999999864958,1056367.870000000111759,886534.800000000046566,10001303.830000001937151
20180402,956012.550000000046566,1039622.959999999962747,982289.339999999967404,900338.020000000135042,1093427.179999999934807,994009.599999999976717,906808.709999999962747,1002718.479999999864958,1025787.730000000097789,854445.000000000116415,9755459.569999998435378
20180403,965819.399999999906868,1066640.080000000074506,995115.670000000041910,904816.040000000037253,1111978.510000000009313,1007649.280000000027940,922216.029999999911524,1016197.609999999869615,1042142.780000000144355,855392.800000000162981,9887968.200000001117587
20180404,984286.100000000093132,1055742.959999999962747,1003216.510000000009313,923977.800000000046566,1117342.750000000000000,1022947.839999999967404,929862.199999999837019,1045874.349999999976717,1054618.260000000009313,887076.400000000139698,10024945.169999999925494
20180405,991110.750000000116415,1084630.000000000000000,1015884.000000000000000,932777.630000000121072,1126059.640000000130385,1031150.079999999958090,942624.979999999864958,1046440.699999999837019,1059638.880000000121072,875432.000000000232831,10105748.660000000149012
20180406,965762.049999999930151,1051487.280000000260770,992693.359999999986030,908408.869999999995343,1090521.550000000046566,1005437.440000000060536,927102.679999999934807,1022087.650000000023283,1044120.600000000093132,859454.800000000046566,9867076.280000001192093
20180409,975339.500000000116415,1039751.920000000041910,1001508.979999999981374,898307.290000000037253,1107508.310000000055879,1017510.400000000023283,926987.699999999837019,1028204.229999999864958,1043968.459999999962747,851060.000000000116415,9890146.789999999105930
20180410,993691.500000000000000,1079568.319999999832362,1018901.959999999962747,903410.150000000139698,1145952.030000000027940,1036956.160000000032596,935841.160000000032596,1052104.199999999953434,1048760.870000000111759,863381.400000000139698,10078567.750000001862645
20180411,989046.150000000023283,1055485.040000000037253,1004487.229999999981374,900129.740000000107102,1142152.360000000102445,1019537.920000000041910,939118.089999999967404,1040550.659999999916181,1039099.980000000097789,868120.400000000139698,9997727.570000000298023
20180412,998795.649999999906868,1088111.919999999925494,1030894.379999999888241,902733.240000000107102,1178360.979999999981374,1044881.920000000041910,929229.809999999939464,1060033.099999999860302,1044424.880000000004657,867172.600000000209548,10144638.479999998584390
