訓練日期,20171108 - 20180212
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10974936.359999997541308
真實報酬,974936.359999997541308

夏普值報酬,0.088793636000000
夏普值風險,0.046848806146879
夏普值,1.895323345521692

預期報酬,24475.256308012609225
風險,245506.703702427534154
趨勢值,0.099692822798348
找到最佳解世代,60
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](4),CAT[3](9),CSCO[4](1),HD[9](5),JPM[13](3),MCD[15](25),MMM[16](16),MSFT[18](14),NKE[19](2),PFE[20](20),TRV[22](21),VZ[26](7),WMT[28](6),
20171116,762207.300000000046566,755654.550000000162981,802324.280000000027940,787278.000000000000000,767049.079999999958090,757159.279999999911524,767123.909999999916181,759463.040000000037253,798239.760000000009313,773580.800000000162981,752491.680000000051223,755726.000000000116415,861493.489999999990687,10099801.169999999925494
20171117,758045.700000000069849,754380.119999999995343,802771.500000000000000,788406.000000000000000,764478.709999999962747,750988.799999999930151,766923.330000000074506,752160.640000000130385,825575.880000000004657,769447.540000000037253,747372.400000000023283,766698.000000000000000,842902.439999999944121,10090161.060000000521541
20171120,764895.000000000000000,758702.099999999976717,816188.099999999976717,801143.000000000000000,771255.140000000013970,751934.640000000013970,774043.920000000041910,753347.280000000027940,826412.700000000069849,769012.460000000079162,746509.600000000093132,779864.400000000023283,842988.910000000032596,10156307.250000001862645
20171121,771715.400000000023283,762525.390000000013970,819542.250000000000000,812470.000000000116415,770632.020000000018626,758105.119999999995343,782735.719999999972060,764209.600000000093132,828365.280000000027940,773145.720000000088476,751456.320000000065193,779526.800000000046566,834687.789999999920838,10209127.410000000149012
20171122,766397.799999999930151,764797.199999999953434,815070.050000000046566,808710.000000000000000,768373.209999999962747,761483.119999999995343,774344.790000000037253,758641.520000000018626,823902.240000000107102,770752.780000000027940,747890.079999999958090,795056.400000000023283,833736.619999999995343,10189165.809999998658895
20171124,768507.500000000000000,761361.779999999911524,815964.489999999990687,809979.000000000116415,765880.729999999981374,761753.359999999986030,773676.189999999944121,760010.720000000088476,827388.990000000107102,772058.020000000135042,746854.720000000088476,793537.199999999953434,835552.489999999990687,10192535.189999999478459
20171127,767640.500000000000000,760253.580000000074506,824461.669999999925494,818580.000000000000000,762843.020000000018626,761077.760000000009313,782434.849999999976717,765578.800000000046566,831712.560000000055879,772058.020000000135042,750593.520000000018626,804509.199999999953434,835552.489999999990687,10237305.970000000670552
20171128,774605.400000000023283,770227.380000000121072,843692.129999999888241,829907.000000000000000,789559.290000000037253,771797.279999999911524,787883.939999999944121,774798.080000000074506,831015.210000000079162,779889.460000000079162,765146.079999999958090,824090.000000000000000,836849.539999999920838,10379470.789999999105930
20171129,778391.300000000046566,765074.250000000000000,838101.879999999888241,833103.000000000000000,808019.220000000088476,767698.640000000013970,795840.279999999911524,760740.960000000079162,841893.870000000111759,787720.900000000023283,773889.120000000111759,842320.400000000023283,843680.670000000041910,10436484.490000002086163
20171130,800066.300000000046566,782195.940000000060536,834076.899999999906868,845182.000000000000000,814172.529999999911524,774634.799999999930151,812989.869999999878928,768317.200000000069849,842730.690000000060536,788808.599999999976717,779871.200000000069849,859031.599999999976717,840827.160000000032596,10542914.789999999105930
20171201,784402.500000000000000,784246.110000000102445,840785.199999999953434,848001.999999999883585,816275.560000000055879,778688.399999999906868,806337.300000000046566,769138.720000000088476,835199.310000000055879,790766.460000000079162,783552.480000000097789,865108.400000000023283,841864.799999999930151,10544377.240000000223517
20171204,803447.600000000093132,784135.290000000037253,843468.519999999902211,869058.000000000000000,833099.800000000046566,768689.519999999902211,800019.029999999911524,740111.680000000051223,838267.650000000139698,784457.800000000162981,784415.280000000144355,873042.000000000000000,838924.820000000065193,10561146.990000000223517
20171205,796424.900000000139698,776599.529999999911524,834300.510000000009313,859423.000000000000000,823519.329999999958090,779228.880000000004657,796676.029999999911524,744766.960000000079162,842730.690000000060536,775103.580000000074506,778433.200000000069849,859538.000000000000000,846015.359999999986030,10512769.970000000670552
20171206,804314.599999999976717,777707.730000000097789,836536.609999999869615,849788.000000000000000,817366.020000000018626,781435.839999999850988,798046.659999999916181,755629.280000000027940,832967.790000000037253,773580.800000000162981,778663.280000000144355,855486.800000000046566,841259.510000000009313,10502792.919999999925494
20171207,815007.600000000093132,791837.279999999911524,836313.000000000000000,855428.000000000000000,814951.430000000051223,778868.559999999939464,803495.750000000000000,752982.160000000032596,845241.150000000139698,772275.560000000055879,772048.480000000097789,851098.000000000000000,836936.010000000009313,10526492.980000000447035
20171208,826365.299999999930151,797212.050000000162981,841008.809999999939464,862055.000000000000000,825155.020000000018626,779949.519999999902211,796241.439999999944121,768225.920000000041910,855004.050000000046566,777496.520000000135042,769402.560000000055879,862407.600000000093132,834947.199999999953434,10595480.990000000223517
20171211,818446.700000000069849,796713.360000000102445,848835.160000000032596,856603.000000000000000,822740.430000000051223,780399.919999999925494,800152.750000000000000,777992.880000000121072,863511.719999999972060,787720.900000000023283,766008.880000000004657,875067.600000000093132,838233.060000000055879,10632436.360000001266599
20171212,838040.900000000023283,794774.010000000009313,847717.109999999869615,854488.000000000000000,832320.899999999906868,775805.839999999850988,791059.790000000037253,781187.680000000051223,867137.940000000060536,795769.880000000004657,772853.760000000009313,897855.599999999976717,836244.250000000000000,10685265.660000000149012
20171213,843531.900000000023283,823310.160000000032596,853083.750000000000000,860269.000000000000000,821883.640000000013970,781751.119999999995343,799517.580000000074506,779088.239999999990687,896845.050000000046566,797075.120000000111759,768309.680000000051223,892791.599999999976717,845410.070000000065193,10762876.910000000149012
20171214,849427.500000000000000,810621.270000000018626,847493.500000000000000,856039.000000000000000,815262.989999999990687,779904.479999999864958,796074.290000000037253,773063.760000000009313,900052.860000000102445,793159.400000000023283,762672.720000000088476,883507.600000000093132,839962.459999999962747,10707251.829999998211861
20171215,849600.900000000023283,812893.080000000074506,853978.189999999944121,858154.000000000116415,826790.709999999962747,784048.159999999916181,795806.849999999976717,792780.239999999990687,903679.080000000190921,809257.360000000102445,775959.839999999967404,889078.000000000000000,839789.520000000018626,10791825.929999999701977
20171218,855958.900000000023283,829959.360000000102445,860462.879999999888241,868259.000000000000000,833177.689999999944121,784678.719999999855645,797210.909999999916181,788490.080000000074506,903958.020000000135042,807734.580000000074506,777800.480000000097789,898868.400000000023283,846620.650000000023283,10853189.670000001788139
20171219,859166.800000000046566,836276.099999999976717,856437.899999999906868,874134.000000000000000,829672.640000000013970,781030.479999999864958,797110.619999999878928,783469.680000000051223,896008.229999999981374,803601.319999999948777,779698.640000000013970,891778.800000000046566,854402.949999999953434,10842798.160000000149012
20171220,861045.299999999930151,845197.110000000102445,866276.739999999990687,880385.000000000000000,826790.709999999962747,775535.599999999860302,792196.409999999916181,780640.000000000000000,886942.680000000167638,793159.400000000023283,778088.079999999958090,890766.000000000116415,853970.599999999976717,10831003.630000000819564
20171221,852751.000000000000000,856944.029999999911524,861580.930000000051223,884004.000000000116415,839954.119999999995343,774094.319999999948777,785042.390000000013970,780457.440000000060536,903400.140000000013970,788373.520000000135042,773371.440000000060536,894817.199999999953434,848004.170000000041910,10842804.699999999254942
20171222,852953.300000000162981,863094.540000000037253,862028.149999999906868,884239.000000000000000,836994.300000000046566,772157.599999999860302,784875.239999999990687,780548.720000000088476,882758.580000000074506,786198.120000000111759,773083.839999999967404,897855.599999999976717,849301.219999999972060,10826098.210000000894070
20171226,853704.700000000069849,866917.830000000074506,860462.879999999888241,894720.000000000116415,833645.029999999911524,771572.079999999841675,787282.199999999953434,779544.640000000130385,887779.500000000000000,787720.900000000023283,775327.120000000111759,898362.000000000000000,857515.869999999995343,10854564.750000001862645
20171227,854456.100000000093132,872902.110000000102445,862251.760000000009313,893921.000000000000000,835202.829999999958090,777787.599999999860302,789789.449999999953434,782374.319999999948777,878016.600000000093132,790331.380000000004657,775269.600000000093132,899374.800000000046566,858380.570000000065193,10870068.120000001043081
20171228,856565.800000000162981,877889.010000000009313,862922.590000000083819,891994.000000000000000,839642.560000000055879,779724.319999999948777,788184.809999999939464,782465.600000000093132,878016.600000000093132,791201.540000000037253,780388.880000000004657,901906.800000000046566,859591.150000000023283,10890503.660000002011657
20171229,852404.200000000069849,873234.570000000065193,856437.899999999906868,890819.000000000000000,833021.910000000032596,775310.399999999906868,787014.760000000009313,780822.560000000172295,872437.800000000046566,787938.440000000060536,780273.839999999967404,893466.800000000046566,853970.599999999976717,10837162.780000001192093
20180102,857981.900000000023283,870242.430000000051223,868960.059999999939464,883769.000000000000000,840888.800000000046566,780264.799999999930151,787917.369999999878928,784565.040000000037253,885547.980000000097789,792724.319999999948777,759221.520000000018626,903594.800000000046566,852587.079999999958090,10868275.100000001490116
20180103,860756.300000000046566,871572.270000000018626,875891.969999999972060,888375.000000000000000,841745.589999999967404,776976.880000000004657,787883.939999999944121,788216.239999999990687,885408.510000000009313,798597.900000000023283,761637.360000000102445,885026.800000000046566,860023.500000000000000,10882122.259999999776483
20180104,857490.600000000093132,883540.830000000074506,871866.989999999990687,895425.000000000000000,849378.810000000055879,782426.719999999855645,798180.380000000004657,795153.520000000018626,884850.630000000004657,800338.220000000088476,761637.360000000102445,887896.400000000023283,860801.729999999981374,10928997.189999999478459
20180105,892661.900000000023283,897504.150000000023283,883941.930000000051223,904778.000000000000000,843926.510000000009313,784003.119999999995343,804398.359999999986030,805011.760000000009313,892382.010000000009313,801861.000000000000000,760256.880000000004657,885870.799999999930151,865903.459999999962747,11022509.880000002682209
20180108,896447.799999999930151,920056.020000000018626,893109.939999999944121,902616.000000000000000,845172.750000000000000,783462.640000000013970,801790.819999999948777,805833.280000000027940,900331.800000000046566,792941.860000000102445,756172.959999999962747,884351.599999999976717,878701.020000000018626,11060998.490000000223517
20180109,920377.000000000116415,922272.420000000041910,887519.689999999944121,907598.000000000000000,849456.699999999953434,781706.079999999841675,806771.890000000013970,805285.600000000093132,893916.180000000167638,792071.699999999953434,762040.000000000000000,871185.200000000069849,868151.679999999934807,11068362.139999998733401
20180110,925665.700000000069849,919169.460000000079162,892439.109999999869615,901488.000000000000000,858803.500000000000000,781570.959999999846332,806303.869999999878928,801634.400000000023283,895729.290000000037253,793376.940000000060536,759969.280000000144355,872535.599999999976717,861925.839999999967404,11070621.949999999254942
20180111,948381.100000000093132,937620.989999999990687,896687.699999999953434,915024.000000000000000,863399.010000000009313,781030.479999999864958,810215.179999999934807,804007.680000000051223,896705.580000000190921,795334.800000000162981,761292.240000000107102,879625.200000000069849,864952.289999999920838,11154286.249999998137355
20180112,971761.199999999953434,943716.090000000083819,913905.669999999925494,923201.999999999883585,877652.880000000004657,781841.199999999837019,817436.059999999939464,817882.239999999990687,902005.440000000060536,794899.720000000088476,775039.520000000018626,875405.200000000069849,872302.239999999990687,11267059.459999999031425
20180116,968726.700000000069849,938230.500000000000000,906526.539999999920838,922685.000000000000000,874537.279999999911524,782336.640000000013970,818338.670000000041910,806472.239999999990687,884571.690000000060536,796204.960000000079162,779583.600000000093132,872029.199999999953434,870745.779999999911524,11220998.799999998882413
20180117,1014533.200000000069849,933742.290000000037253,921284.800000000046566,939182.000000000000000,880145.359999999986030,788191.839999999850988,829604.580000000074506,822811.360000000102445,890011.020000000135042,808822.280000000027940,787291.280000000144355,873042.000000000000000,888126.250000000000000,11376798.259999999776483
20180118,983176.700000000069849,935570.820000000065193,923520.899999999906868,932179.000000000116415,882248.390000000013970,786345.199999999837019,822249.979999999981374,822446.239999999990687,894195.120000000111759,804689.020000000135042,790052.240000000107102,870172.400000000023283,901961.449999999953434,11348817.460000000894070
20180119,976154.000000000116415,944325.599999999976717,923297.289999999920838,946279.000000000116415,880301.140000000013970,793326.399999999906868,829838.589999999967404,821533.440000000060536,937430.819999999948777,803601.319999999948777,792985.760000000009313,876249.199999999953434,904469.079999999958090,11429801.639999998733401
20180122,976934.300000000046566,946985.279999999911524,931570.859999999869615,960990.000000000000000,890582.619999999995343,793731.760000000009313,826896.750000000000000,836229.520000000018626,925994.280000000027940,803383.780000000027940,801613.760000000009313,902413.200000000069849,911905.500000000000000,11509241.609999999403954
20180123,969969.400000000023283,938895.420000000041910,941409.699999999953434,963058.000000000000000,889647.939999999944121,796434.159999999916181,823587.179999999934807,838876.640000000130385,936454.530000000027940,800990.840000000083819,841360.079999999958090,898530.799999999930151,915796.650000000023283,11555021.340000001713634
20180124,967368.400000000023283,932855.730000000097789,942974.969999999972060,969262.000000000000000,901019.880000000004657,793326.399999999906868,828200.520000000018626,838146.400000000023283,948448.950000000069849,803383.780000000027940,849182.800000000046566,915242.000000000000000,914845.479999999981374,11604267.310000002384186
20180125,991702.200000000069849,938562.960000000079162,936937.500000000000000,965267.000000000000000,901253.550000000046566,791254.559999999939464,843812.330000000074506,842801.680000000051223,944404.319999999948777,809909.979999999981374,854072.000000000000000,916423.599999999976717,921849.549999999930151,11658261.230000000447035
20180126,992020.100000000093132,925763.250000000000000,951695.760000000009313,974009.000000000000000,906082.729999999981374,803415.359999999986030,864772.939999999944121,858593.120000000111759,949006.830000000190921,848632.099999999976717,859536.400000000023283,923682.000000000000000,937327.679999999934807,11794547.270000001415610
20180129,985084.099999999976717,900939.570000000065193,958180.449999999953434,963151.999999999883585,905148.050000000046566,800758.000000000000000,856014.279999999911524,857315.200000000069849,942591.210000000079162,848849.640000000130385,856890.480000000097789,913722.800000000046566,947358.199999999953434,11736013.980000000447035
20180130,976096.199999999953434,907477.949999999953434,944763.849999999976717,948535.000000000000000,896658.040000000037253,776931.839999999850988,841071.069999999948777,846544.160000000032596,939104.460000000079162,822309.760000000009313,855510.000000000000000,909840.400000000023283,931620.660000000032596,11596473.390000000596046
20180131,1024243.600000000093132,902047.770000000018626,928887.539999999920838,944258.000000000000000,901019.880000000004657,770896.479999999864958,837594.349999999976717,867264.720000000088476,951517.290000000037253,805776.720000000088476,862412.400000000023283,912710.000000000000000,921849.549999999930151,11630488.300000000745058
20180201,1031670.900000000023283,899055.630000000121072,932465.300000000046566,939558.000000000000000,910366.680000000051223,774319.519999999902211,829036.270000000018626,860418.720000000088476,943567.500000000116415,801208.380000000004657,862872.560000000055879,916592.400000000023283,912510.789999999920838,11613652.649999998509884
20180202,1008464.200000000069849,872735.880000000121072,915247.329999999958090,911687.000000000000000,890193.170000000041910,762969.439999999944121,819776.159999999916181,837781.280000000027940,937570.290000000037253,796422.500000000000000,851080.959999999962747,894310.799999999930151,903517.910000000032596,11401766.920000001788139
20180205,950577.500000000000000,837218.070000000065193,867171.180000000051223,860645.000000000116415,847509.449999999953434,738062.319999999948777,773876.770000000018626,803277.440000000060536,898100.280000000027940,754219.740000000107102,814095.600000000093132,852448.400000000023283,865557.579999999958090,10862769.330000001937151
20180206,985344.200000000069849,866751.599999999976717,898252.969999999972060,897916.000000000000000,873291.040000000037253,744052.640000000013970,781197.939999999944121,833673.680000000051223,909676.290000000037253,767489.680000000051223,810241.760000000009313,858018.800000000046566,872561.650000000023283,11098478.250000001862645
20180207,1006181.100000000093132,855281.730000000097789,902054.340000000083819,899091.000000000000000,879210.680000000051223,746439.760000000009313,779727.020000000018626,817973.520000000018626,915394.560000000055879,760963.479999999981374,817661.839999999967404,861057.199999999953434,889423.299999999930151,11130469.529999999329448
20180208,952831.700000000069849,809014.380000000121072,866947.570000000065193,851762.000000000000000,840343.569999999948777,716082.799999999930151,745294.119999999878928,775984.720000000088476,871600.980000000097789,731595.580000000074506,776650.079999999958090,827803.599999999976717,864952.289999999920838,10630873.389999998733401
20180209,961993.000000000000000,826856.400000000023283,883941.930000000051223,865392.000000000000000,857167.810000000055879,724325.119999999995343,753049.880000000004657,804920.480000000097789,913441.979999999981374,743125.199999999953434,788556.720000000088476,841982.800000000046566,859331.739999999990687,10824095.060000002384186
20180212,993696.300000000046566,843922.680000000051223,907868.199999999953434,865110.000000000000000,870409.109999999986030,738287.519999999902211,766355.020000000018626,813592.080000000074506,920276.010000000125729,754002.199999999953434,794653.839999999967404,845865.200000000069849,860888.199999999953434,10974936.359999997541308
