訓練日期,20181025 - 20190130
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10504653.039999999105930
真實報酬,504653.039999999105930

夏普值報酬,0.041765304000000
夏普值風險,0.025718407950777
夏普值,1.623945933198335

預期報酬,9528.544658410279226
風險,379685.083682512340602
趨勢值,0.025095915188435
找到最佳解世代,60
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CAT[3](1),DIS[6](18),DD[7](7),INTC[11](2),MCD[15](8),MRK[17](3),NKE[19](5),PFE[20](14),PG[21](4),WBA[27](17),WMT[28](23),
20181126,1009916.319999999948777,916746.300000000046566,994999.530000000027940,1016882.900000000023283,942607.499999999883585,972236.299999999930151,916526.949999999837019,927494.000000000232831,934289.280000000027940,1000972.500000000000000,886633.619999999995343,10519315.199999999254942
20181127,1008297.919999999925494,927742.050000000046566,986759.970000000088476,1030169.499999999883585,946400.000000000000000,983834.599999999976717,908711.849999999976717,943116.000000000116415,942214.860000000102445,1023269.319999999832362,885608.640000000013970,10586134.709999999031425
20181128,1058225.560000000055879,945661.050000000046566,987486.989999999990687,1047099.199999999837019,962902.500000000000000,995304.029999999911524,941106.699999999837019,960878.000000000116415,945161.550000000162981,1036990.439999999944121,908158.199999999837019,10788984.219999998807907
20181129,1053855.879999999888241,949815.000000000000000,987850.500000000000000,1022240.400000000023283,970128.750000000000000,1004067.189999999827705,937073.099999999976717,973932.000000000116415,943230.959999999962747,1039563.149999999906868,906574.140000000013970,10788341.069999998435378
20181130,1097876.359999999869615,940692.599999999976717,998271.119999999995343,1056742.699999999953434,966285.000000000000000,1022495.599999999976717,946905.000000000000000,989340.000000000000000,960403.050000000162981,1037357.969999999972060,909928.619999999995343,10926308.019999999552965
20181203,1124418.119999999878928,942728.849999999976717,1020929.910000000032596,1074315.300000000046566,950192.500000000000000,1020949.159999999916181,982451.099999999860302,984204.000000000116415,948311.459999999962747,1049853.989999999757856,920178.419999999925494,11018542.809999998658895
20181204,1046492.159999999916181,919352.700000000069849,974885.310000000055879,1023311.899999999906868,948501.250000000000000,1007933.289999999804422,955350.349999999976717,966014.000000000116415,948209.850000000093132,1014693.619999999878928,892783.500000000000000,10697537.929999999701977
20181206,1038804.760000000009313,931244.400000000023283,965070.540000000037253,1036598.499999999883585,950602.499999999883585,1009995.209999999962747,952199.099999999976717,962590.000000000000000,950648.489999999990687,1016163.739999999874271,883092.779999999911524,10697020.019999999552965
20181207,999801.319999999948777,912103.650000000023283,927507.840000000083819,990952.599999999976717,937841.250000000000000,988731.659999999916181,924468.099999999976717,939906.000000000116415,939471.390000000130385,994724.489999999874271,868370.339999999850988,10423888.640000000596046
20181210,998506.599999999976717,911126.250000000000000,928477.200000000069849,1011739.699999999953434,946502.500000000000000,997752.559999999939464,914005.949999999953434,950178.000000000116415,945364.770000000018626,994356.959999999846332,875358.839999999850988,10473379.329999998211861
20181211,997292.799999999930151,912022.200000000069849,919147.109999999986030,1015382.799999999930151,941070.000000000000000,993757.589999999850988,927367.249999999767169,941832.000000000116415,954306.450000000069849,1002320.109999999986030,874520.219999999855645,10479028.529999999329448
20181212,1014528.760000000009313,913977.000000000000000,937928.460000000079162,1025026.299999999813735,940506.250000000000000,1005355.890000000013970,936820.999999999767169,945042.000000000000000,955525.770000000018626,1010038.239999999874271,867624.899999999906868,10552384.570000000298023
20181213,1018817.520000000018626,923588.100000000093132,928113.690000000060536,1034884.099999999860302,955625.000000000000000,1018242.890000000013970,919300.050000000046566,953816.000000000116415,980521.829999999958090,1008568.119999999878928,866227.199999999837019,10607714.499999998137355
20181214,1025857.559999999939464,913895.550000000046566,910786.380000000004657,1025669.199999999837019,939532.500000000000000,985638.779999999911524,914258.049999999930151,937338.000000000000000,982045.980000000097789,964709.539999999920838,855884.219999999855645,10455625.759999999776483
20181217,1007245.959999999962747,901026.450000000069849,891883.859999999986030,1008953.799999999813735,926720.000000000000000,969530.029999999911524,881106.900000000023283,922572.000000000116415,942722.910000000032596,933837.019999999902211,845820.779999999911524,10231429.709999999031425
20181218,1005627.559999999939464,891496.800000000046566,902425.650000000023283,1023097.599999999976717,921185.000000000000000,957931.729999999864958,896863.150000000023283,907378.000000000116415,939877.829999999958090,924771.280000000027940,848709.359999999869615,10219373.959999997168779
20181219,989929.079999999958090,889623.450000000069849,900123.420000000041910,976594.499999999883585,918366.250000000000000,950715.009999999892898,869384.249999999883585,898176.000000000116415,932460.300000000162981,897941.589999999967404,843770.819999999948777,10067094.669999999925494
20181220,983617.319999999948777,871541.550000000046566,880857.390000000013970,975951.599999999860302,890281.250000000000000,947106.649999999790452,851233.049999999930151,897748.000000000232831,924534.720000000088476,852857.909999999916181,813300.959999999962747,9889040.399999998509884
20181221,971641.159999999916181,848898.450000000069849,872981.340000000083819,960950.599999999976717,892690.000000000000000,939503.319999999948777,912241.250000000000000,897320.000000000116415,924433.110000000102445,824068.059999999939464,811903.259999999892898,9856640.550000000745058
20181224,946394.119999999995343,817377.300000000046566,847172.130000000004657,934163.099999999976717,872856.250000000000000,916951.069999999948777,858417.899999999790452,867788.000000000000000,887751.900000000023283,799566.059999999939464,799696.679999999818392,9548144.509999999776483
20181226,1009592.640000000013970,862011.900000000023283,901335.119999999995343,989881.099999999860302,892075.000000000000000,953679.019999999902211,920308.449999999953434,902884.000000000116415,915491.430000000051223,829703.519999999902211,842466.299999999930151,10019438.480000000447035
20181227,1025048.359999999986030,867631.950000000069849,920358.810000000055879,993524.199999999837019,900685.000000000000000,971463.079999999841675,928627.749999999883585,917008.000000000116415,935102.160000000032596,837544.159999999916181,853461.539999999920838,10150465.009999999776483
20181228,1016470.839999999967404,873985.050000000046566,915027.330000000074506,1001881.899999999906868,899916.250000000000000,971334.209999999962747,924468.099999999976717,919362.000000000116415,926566.920000000158325,833746.349999999860302,858493.259999999892898,10141262.209999999031425
20181231,1028285.159999999916181,893125.800000000046566,922903.380000000004657,1005739.299999999930151,910217.500000000000000,984736.689999999827705,934552.099999999860302,934128.000000000116415,934086.060000000055879,837176.629999999888241,867997.619999999995343,10252958.239999996498227
20190102,1022701.679999999934807,887587.200000000069849,940836.540000000037253,1008953.799999999813735,902478.750000000000000,974169.349999999976717,933543.699999999953434,925568.000000000116415,927583.020000000018626,833623.839999999967404,869768.039999999920838,10226823.919999998062849
20190103,983293.640000000013970,866084.400000000023283,906181.920000000041910,953450.099999999976717,896533.750000000000000,954194.500000000000000,917031.149999999906868,899674.000000000116415,921079.980000000097789,824925.629999999888241,865295.399999999906868,9987754.470000000670552
20190104,1037024.520000000018626,892800.000000000000000,944471.640000000013970,1011953.999999999883585,913856.250000000000000,982932.509999999892898,940980.650000000023283,920218.000000000116415,939877.829999999958090,852367.869999999878928,870699.839999999850988,10307193.109999999403954
20190107,1037671.879999999888241,900537.750000000116415,944956.320000000065193,1016668.599999999860302,923798.750000000000000,972107.429999999934807,954467.999999999883585,925140.000000000000000,936118.260000000125729,857268.269999999902211,880949.640000000013970,10349694.900000000372529
20190108,1050133.560000000055879,907542.450000000069849,955861.619999999995343,1023097.599999999976717,925746.250000000000000,979324.149999999790452,967199.049999999930151,929420.000000000116415,939573.000000000000000,874419.670000000041910,887099.519999999902211,10439426.869999999180436
20190109,1054179.560000000055879,917723.700000000069849,959860.229999999981374,1028883.699999999837019,924157.500000000000000,971849.689999999827705,965434.349999999976717,927494.000000000232831,924229.890000000130385,884955.530000000027940,884210.939999999944121,10442989.089999997988343
20190110,1075947.040000000037253,918782.550000000046566,960829.590000000083819,1040670.199999999953434,930615.000000000116415,959864.779999999911524,963291.499999999883585,905452.000000000116415,926465.310000000055879,888018.280000000027940,884863.199999999837019,10454809.449999999254942
20190111,1068987.919999999925494,917560.800000000046566,953922.900000000023283,1048599.299999999813735,934817.500000000000000,965277.319999999948777,958501.599999999976717,917650.000000000116415,932561.910000000032596,878585.009999999892898,883745.039999999920838,10460219.299999998882413
20190114,1066560.320000000065193,915687.450000000069849,955740.450000000069849,1036169.899999999906868,928923.750000000000000,945560.209999999962747,959131.849999999976717,906736.000000000116415,926262.090000000083819,865598.949999999953434,884770.019999999902211,10391150.989999998360872
20190115,1057578.199999999953434,910311.750000000116415,949318.440000000060536,1041527.399999999906868,927898.750000000000000,960122.519999999902211,981694.799999999813735,914440.000000000000000,935000.550000000162981,879565.089999999967404,896883.419999999925494,10454350.919999999925494
20190116,1065427.439999999944121,903388.500000000000000,955982.790000000037253,1031455.299999999930151,919340.000000000000000,961540.089999999850988,979173.800000000046566,901172.000000000116415,928497.510000000125729,882137.799999999930151,897815.219999999855645,10425940.450000001117587
20190117,1088732.399999999906868,904203.000000000116415,984336.570000000065193,1038741.499999999883585,928360.000000000116415,974298.219999999855645,997451.049999999813735,908876.000000000116415,921079.980000000097789,882015.289999999920838,901449.239999999874271,10529553.249999998137355
20190118,1105401.919999999925494,904447.350000000093132,1001906.220000000088476,1054171.099999999860302,935842.500000000000000,977777.709999999962747,1014089.649999999906868,910160.000000000116415,929005.560000000055879,887405.729999999981374,910674.059999999939464,10630891.800000000745058
20190122,1070120.800000000046566,900863.550000000046566,970523.190000000060536,1034455.500000000000000,946092.500000000000000,977262.229999999864958,1017871.149999999906868,904596.000000000232831,919047.780000000027940,877114.890000000013970,908437.739999999874271,10526395.330000000074506
20190123,1066722.159999999916181,905098.950000000069849,973794.780000000027940,1027383.599999999860302,953882.500000000000000,972236.299999999930151,1014719.899999999906868,902242.000000000000000,963756.180000000051223,878585.009999999892898,919805.699999999837019,10578237.079999998211861
20190124,1074085.879999999888241,900456.300000000046566,972098.400000000023283,1066386.199999999953434,960442.500000000000000,942982.809999999939464,1013963.599999999860302,876348.000000000232831,958269.239999999990687,873807.119999999878928,916544.399999999906868,10555394.449999999254942
20190125,1107505.840000000083819,904854.600000000093132,996817.080000000074506,1008096.599999999860302,943171.250000000000000,940147.669999999925494,1016106.449999999953434,869714.000000000116415,951156.540000000037253,880790.189999999944121,903312.839999999850988,10521683.060000000521541
20190128,1006436.760000000009313,902574.000000000116415,1003117.920000000041910,1001024.699999999953434,941121.250000000000000,939761.059999999939464,1012450.999999999767169,845960.000000000116415,950343.660000000032596,876992.379999999888241,904431.000000000000000,10384223.730000000447035
20190129,1023915.479999999981374,903307.050000000046566,1009903.440000000060536,997381.599999999860302,933792.499999999883585,943756.029999999911524,1011190.499999999883585,872496.000000000232831,950546.880000000121072,876012.299999999930151,901169.699999999837019,10423481.480000000447035
20190130,1052884.840000000083819,897035.400000000023283,1022989.800000000046566,1018811.599999999860302,931742.500000000000000,945560.209999999962747,1024551.799999999930151,889830.000000000116415,960504.660000000032596,877359.909999999916181,883372.319999999948777,10504653.039999999105930
