訓練日期,20120604 - 20120904
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11454228.339999999850988
真實報酬,1454228.339999999850988

夏普值報酬,0.136722834000000
夏普值風險,0.037079773935183
夏普值,3.687261800435892

預期報酬,24718.505621630276437
風險,134772.752048830472631
趨勢值,0.183408776966091
找到最佳解世代,86
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](4),CSCO[4](23),DIS[6](6),GS[8](10),HD[9](12),JPM[13](11),MCD[15](25),MRK[17](7),PG[21](17),V[25](8),WBA[27](16),XOM[29](5),
20120619,872637.440000000060536,897032.859999999869615,891701.479999999981374,866884.349999999976717,920381.750000000000000,923371.100000000093132,861105.900000000023283,879279.649999999906868,842268.740000000107102,901044.439999999944121,837787.720000000088476,903485.640000000013970,10596985.070000002160668
20120620,870141.920000000041910,914263.150000000023283,895830.439999999944121,868503.449999999953434,917949.250000000000000,951295.960000000079162,851976.400000000023283,878831.390000000013970,817627.760000000009313,910250.819999999948777,813286.760000000125729,908725.699999999953434,10598686.999999998137355
20120621,858080.239999999990687,883979.609999999869615,889637.000000000000000,844666.699999999953434,890670.500000000000000,926763.839999999967404,842270.300000000046566,884210.510000000125729,808962.800000000046566,887086.380000000004657,811616.239999999990687,878140.859999999986030,10406088.979999998584390
20120622,864734.959999999962747,894422.209999999846332,890950.760000000009313,842238.049999999930151,903875.500000000000000,939290.880000000004657,849093.400000000023283,900572.000000000000000,810045.920000000041910,927772.639999999897555,823309.880000000121072,878140.859999999986030,10524451.060000000521541
20120625,847890.200000000069849,883979.609999999869615,876499.400000000139698,820560.099999999976717,895188.000000000000000,921805.219999999972060,846883.100000000093132,891606.800000000046566,803005.640000000130385,900450.479999999981374,807161.520000000018626,868837.079999999958090,10363871.150000000372529
20120626,849761.839999999967404,878236.179999999934807,887760.199999999953434,818851.049999999930151,901443.000000000000000,931983.440000000060536,856300.900000000023283,898106.570000000065193,802464.080000000074506,914408.539999999920838,809945.720000000088476,881242.120000000111759,10430507.640000000596046
20120627,853401.140000000013970,873537.009999999892898,898457.959999999962747,838999.849999999860302,895709.250000000000000,959908.300000000046566,848901.199999999953434,908416.550000000046566,812076.770000000018626,916487.400000000023283,819133.580000000074506,889797.320000000065193,10514830.330000000074506
20120628,845290.700000000069849,860483.759999999892898,897519.560000000055879,840978.749999999883585,898141.750000000000000,936420.100000000093132,847459.700000000069849,911778.500000000000000,816273.859999999986030,902232.359999999986030,808553.619999999995343,888727.919999999925494,10453864.579999998211861
20120629,867542.420000000041910,896510.729999999981374,910281.800000000046566,862296.899999999906868,920729.250000000000000,932505.399999999906868,850823.200000000069849,935760.410000000032596,829271.300000000046566,917972.300000000046566,823588.300000000046566,915142.099999999976717,10662428.110000001266599
20120702,880227.980000000097789,891811.559999999823049,914410.760000000009313,873720.549999999930151,921076.750000000000000,946859.300000000046566,846498.699999999953434,938001.710000000079162,828458.959999999962747,940245.800000000046566,831384.060000000055879,912682.480000000097789,10725382.610000001266599
20120703,890418.020000000018626,895466.469999999855645,911970.920000000158325,886943.199999999953434,897446.750000000000000,936420.100000000093132,851303.699999999953434,937105.190000000060536,830760.590000000083819,938166.939999999944121,824423.560000000055879,922734.840000000083819,10723164.280000001192093
20120705,906015.020000000018626,884501.739999999990687,902962.280000000027940,862836.599999999976717,905439.250000000000000,897273.100000000093132,858222.900000000023283,933070.850000000093132,830625.200000000069849,942918.619999999995343,831662.480000000097789,915142.099999999976717,10670674.140000000596046
20120706,899984.180000000051223,875625.529999999911524,901648.520000000018626,858788.849999999976717,906134.250000000000000,884746.059999999939464,861682.500000000000000,930381.290000000037253,829677.470000000088476,930148.479999999981374,824701.980000000097789,906907.719999999972060,10610430.830000000074506
20120709,911941.880000000004657,869359.969999999855645,900897.800000000046566,849793.849999999976717,905613.000000000000000,886311.940000000060536,863027.900000000023283,944277.350000000093132,833333.000000000000000,917972.300000000046566,826929.340000000083819,894609.620000000111759,10604071.950000002980232
20120710,903519.500000000000000,856828.849999999860302,888886.280000000027940,847814.949999999953434,907350.500000000000000,893880.359999999986030,867352.400000000023283,927243.469999999972060,835770.020000000018626,907874.979999999981374,833054.580000000074506,888834.859999999986030,10558414.750000000000000
20120711,897904.579999999958090,855262.459999999846332,887197.160000000149012,855730.549999999930151,897794.250000000000000,902753.680000000051223,860433.200000000069849,923657.390000000013970,831302.150000000023283,896589.739999999990687,833611.420000000041910,902416.239999999990687,10544656.820000000298023
20120712,889690.160000000032596,834377.259999999892898,889824.679999999934807,845746.099999999860302,895709.250000000000000,888399.779999999911524,883497.200000000069849,961759.489999999990687,862441.850000000093132,910547.800000000046566,838066.140000000130385,899635.800000000046566,10599699.510000001639128
20120713,898632.440000000060536,851607.549999999813735,904463.719999999972060,876419.050000000046566,905091.750000000116415,941378.719999999972060,886956.800000000046566,974310.770000000018626,881261.060000000055879,921239.079999999958090,851430.300000000046566,914072.699999999953434,10806867.939999999478459
20120716,901543.880000000004657,845341.989999999990687,898270.280000000027940,878667.800000000046566,893971.750000000000000,915802.680000000051223,880806.400000000023283,971621.210000000079162,877470.140000000130385,944106.539999999920838,849202.940000000060536,909581.219999999972060,10766390.830000000074506
20120717,901647.859999999986030,847430.509999999892898,926234.600000000093132,881366.300000000046566,881288.000000000000000,913192.880000000004657,883112.800000000046566,990448.130000000004657,884781.199999999953434,952125.000000000116415,854771.340000000083819,916853.140000000013970,10833255.759999999776483
20120718,900608.060000000055879,871970.619999999878928,926234.600000000093132,868143.650000000023283,884589.249999999883585,912409.940000000060536,886284.099999999976717,984844.880000000004657,877605.529999999911524,949155.200000000069849,862288.680000000051223,921986.260000000009313,10846124.769999999552965
20120719,912565.760000000125729,870926.359999999869615,919478.120000000111759,854561.199999999953434,885458.000000000000000,899360.940000000060536,891473.500000000116415,984844.880000000004657,878959.430000000051223,931039.420000000041910,963911.979999999981374,921986.260000000009313,10914569.850000001490116
20120720,897696.619999999995343,854218.199999999837019,911970.920000000158325,847005.399999999906868,880940.500000000000000,884746.059999999939464,880133.699999999953434,972965.989999999990687,876387.020000000135042,933712.239999999990687,963355.140000000130385,919205.820000000065193,10822341.610000001266599
20120723,896968.760000000125729,839076.429999999934807,900522.439999999944121,838010.399999999906868,885458.000000000000000,898838.979999999981374,854763.300000000046566,969828.170000000158325,871783.760000000009313,924208.880000000004657,944422.580000000074506,911292.260000000009313,10735177.959999999031425
20120724,892705.579999999958090,789474.079999999841675,903900.679999999934807,849793.849999999976717,889106.750000000000000,906407.399999999906868,846306.500000000000000,956828.630000000004657,866774.329999999958090,910547.800000000046566,949712.560000000055879,904555.040000000037253,10666117.199999999254942
20120725,854129.000000000000000,805137.979999999864958,906528.199999999953434,863196.399999999906868,887369.250000000000000,917890.520000000018626,846114.300000000046566,955259.719999999972060,866774.329999999958090,907281.020000000018626,964747.239999999990687,911613.079999999958090,10686045.039999999105930
20120726,854025.020000000018626,803049.459999999962747,932991.080000000074506,882085.900000000023283,919339.249999999883585,934593.239999999990687,855339.900000000023283,971172.949999999953434,874085.390000000130385,941136.739999999990687,973656.680000000051223,925301.400000000023283,10866781.010000001639128
20120727,869206.100000000093132,819235.489999999874271,937307.719999999972060,914288.000000000000000,933239.250000000000000,962779.079999999958090,857165.800000000046566,1010843.960000000079162,881261.060000000055879,958658.560000000055879,994538.180000000051223,935246.820000000065193,11073774.019999999552965
20120730,883867.280000000027940,828633.829999999841675,934680.199999999953434,907451.799999999930151,925246.750000000000000,943205.579999999958090,858511.199999999953434,996947.899999999906868,881396.449999999953434,971428.700000000069849,1009851.280000000144355,936423.160000000032596,11077648.129999998956919
20120731,907262.780000000027940,832810.869999999878928,922293.320000000065193,907631.699999999953434,906655.500000000000000,939551.859999999986030,858799.500000000000000,989999.870000000111759,873814.610000000102445,958361.580000000074506,1012357.060000000055879,928830.419999999925494,11038373.070000000298023
20120801,901439.900000000023283,834377.259999999892898,922293.320000000065193,900345.750000000000000,897968.000000000000000,939551.859999999986030,859472.200000000069849,992465.300000000046566,866638.940000000060536,946482.380000000004657,1009851.280000000144355,929472.059999999939464,11000362.250000001862645
20120802,902895.619999999995343,821846.139999999897555,919290.439999999944121,879837.150000000023283,892929.250000000000000,917890.520000000018626,861009.800000000046566,984172.489999999990687,859869.440000000060536,959846.479999999981374,995373.440000000060536,918457.239999999990687,10913422.009999999776483
20120803,914645.359999999986030,853696.069999999948777,934117.160000000149012,908351.300000000046566,908566.750000000000000,941900.680000000051223,861009.800000000046566,989551.609999999986030,886812.050000000046566,972319.640000000013970,996765.540000000037253,936316.219999999972060,11104056.180000001564622
20120806,924835.400000000023283,871448.489999999990687,931865.000000000000000,917706.099999999860302,903528.000000000000000,947381.259999999892898,861970.800000000046566,997172.030000000027940,891009.140000000130385,972913.599999999976717,996487.119999999995343,935246.820000000065193,11151567.759999999776483
20120807,922339.880000000004657,894944.339999999967404,934867.880000000121072,928679.999999999883585,910478.000000000000000,965910.839999999967404,855436.000000000116415,986189.660000000032596,896560.130000000004657,968161.920000000041910,1003169.200000000069849,940273.000000000000000,11207014.849999999627471
20120808,920780.180000000051223,895988.599999999860302,947630.120000000111759,922023.699999999953434,917254.250000000000000,969825.539999999920838,841213.200000000069849,987534.440000000060536,903329.630000000004657,973804.539999999920838,1009016.020000000135042,944122.840000000083819,11232527.059999998658895
20120809,922131.920000000041910,924183.619999999878928,937683.080000000074506,931918.199999999953434,923509.250000000000000,963562.020000000018626,837561.400000000023283,992465.300000000046566,903465.020000000135042,954203.860000000102445,1004839.720000000204891,943267.320000000065193,11238794.710000000894070
20120810,923483.660000000032596,915829.539999999804422,931865.000000000000000,926701.099999999860302,921945.500000000000000,964866.919999999925494,847651.900000000023283,998965.070000000065193,904006.579999999958090,958361.580000000074506,1007067.080000000074506,945833.880000000004657,11246581.810000002384186
20120813,935857.280000000027940,905386.939999999944121,935806.280000000027940,932008.149999999906868,917775.500000000000000,965388.880000000004657,844768.900000000023283,995603.120000000111759,900080.270000000135042,952718.959999999962747,1001498.680000000051223,942625.680000000051223,11229522.640000000596046
20120814,938352.799999999930151,896510.729999999981374,932615.719999999972060,928859.900000000023283,950614.250000000000000,968259.660000000032596,846883.100000000093132,995378.989999999990687,903465.020000000135042,964301.179999999934807,994259.760000000125729,943267.320000000065193,11262772.430000001564622
20120815,937105.040000000037253,905909.069999999948777,936369.320000000065193,927690.549999999930151,955653.000000000000000,967476.719999999972060,843904.000000000000000,987534.440000000060536,902246.510000000009313,958361.580000000074506,990083.460000000079162,941128.520000000018626,11253466.210000000894070
20120816,945319.459999999962747,993104.779999999911524,943125.800000000046566,930928.749999999883585,978414.250000000000000,968259.660000000032596,840540.500000000000000,984844.880000000004657,907120.550000000046566,962816.280000000027940,988969.780000000144355,948293.500000000000000,11391742.189999999478459
20120817,962788.100000000093132,995193.299999999813735,947067.080000000074506,931918.199999999953434,985711.750000000000000,965127.899999999906868,839579.500000000000000,971397.080000000074506,907120.550000000046566,955391.780000000027940,997879.220000000204891,945406.120000000111759,11404584.580000001937151
20120820,988055.239999999990687,988927.739999999990687,946879.400000000139698,947029.799999999930151,982931.750000000000000,975306.119999999878928,847363.600000000093132,980586.410000000032596,903735.800000000046566,951531.039999999920838,1003169.200000000069849,940593.820000000065193,11456113.919999999925494
20120821,974537.839999999967404,1000414.599999999860302,931677.320000000065193,947389.599999999860302,978588.000000000000000,992791.779999999911524,850727.099999999976717,962431.880000000004657,904006.579999999958090,946779.359999999986030,992589.239999999990687,935353.760000000009313,11417291.059999998658895
20120822,993566.180000000051223,1003547.379999999888241,932052.679999999934807,941542.849999999976717,984148.000000000000000,987311.199999999953434,851015.400000000023283,961759.489999999990687,905089.699999999953434,951234.060000000055879,989805.040000000037253,938241.140000000013970,11439317.120000001043081
20120823,984311.959999999962747,998848.209999999846332,922856.360000000102445,936235.799999999930151,982584.250000000000000,971652.399999999906868,848132.400000000023283,959294.059999999939464,902788.070000000181608,944106.539999999920838,992867.659999999916181,933749.660000000032596,11377431.369999999180436
20120824,985247.780000000027940,1002503.119999999878928,930175.880000000121072,944151.399999999906868,989708.000000000000000,970086.520000000018626,854571.100000000093132,966466.219999999972060,907391.329999999958090,940542.780000000027940,992589.239999999990687,941663.219999999972060,11425100.589999997988343
20120827,1003756.220000000088476,1010857.199999999837019,931489.640000000130385,945590.599999999976717,984669.250000000000000,971652.399999999906868,860529.300000000046566,964897.309999999939464,908609.840000000083819,947967.280000000027940,991197.140000000130385,938348.079999999958090,11459568.259999999776483
20120828,1002404.480000000097789,1003547.379999999888241,931489.640000000130385,944781.049999999930151,982236.750000000000000,969042.600000000093132,856685.300000000046566,959966.449999999953434,906985.160000000032596,945888.420000000041910,985628.739999999990687,942197.919999999925494,11430857.890000000596046
20120829,1000428.859999999986030,1002503.119999999878928,939184.520000000018626,949278.549999999930151,987623.000000000116415,973479.259999999892898,861586.400000000023283,965121.440000000060536,905360.480000000097789,950640.099999999976717,982844.540000000037253,940059.120000000111759,11458113.390000000596046
20120830,986183.600000000093132,986839.219999999855645,927548.360000000102445,941992.599999999976717,983800.500000000000000,963040.059999999939464,852456.900000000023283,966466.219999999972060,905495.869999999995343,940839.760000000009313,980338.760000000125729,932573.320000000065193,11367579.169999998062849
20120831,988159.220000000088476,996237.559999999823049,928486.760000000009313,950987.599999999976717,986059.250000000000000,969303.579999999958090,860048.799999999930151,964897.309999999939464,909692.959999999962747,952125.000000000116415,995651.859999999986030,933642.719999999972060,11435296.619999999180436
20120904,1002612.440000000060536,992060.519999999902211,932052.679999999934807,957194.149999999906868,986754.250000000000000,965910.839999999967404,855820.400000000023283,969379.910000000032596,912536.150000000139698,954203.860000000102445,993981.340000000083819,931717.800000000046566,11454228.339999999850988
