訓練日期,20120828 - 20121130
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10688048.679999999701977
真實報酬,688048.679999999701977

夏普值報酬,0.060104868000000
夏普值風險,0.018819346211279
夏普值,3.193780874490540

預期報酬,10643.488912614098808
風險,194298.380501395760803
趨勢值,0.054779092265968
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
CSCO[4](28),DD[7](17),GS[8](4),HD[9](2),JNJ[12](6),V[25](1),XOM[29](11),
20120925,1377656.590000000083819,1445954.860000000335276,1542446.819999999832362,1505455.399999999906868,1467306.610000000102445,1505547.879999999888241,1493695.000000000000000,10338066.160000000149012
20120926,1371015.579999999841675,1412550.580000000074506,1536739.439999999711290,1491591.000000000000000,1460533.170000000158325,1482723.339999999850988,1485391.690000000176951,10240547.799999998882413
20120927,1387249.159999999916181,1414936.600000000093132,1565955.789999999804422,1509488.679999999934807,1460744.840000000316650,1498387.239999999757856,1494671.860000000102445,10331437.169999999925494
20120928,1409385.860000000102445,1405392.520000000018626,1544892.839999999850988,1521840.599999999860302,1458628.140000000130385,1502415.099999999860302,1488973.510000000009313,10331531.569999998435378
20121001,1404958.519999999785796,1423117.240000000223517,1588105.859999999869615,1526882.199999999953434,1463284.880000000121072,1529715.039999999804422,1494671.860000000102445,10430738.599999997764826
20121002,1392414.390000000130385,1415618.320000000298023,1593405.569999999832362,1520832.279999999795109,1459686.489999999990687,1521659.319999999832362,1493369.380000000121072,10396988.750000001862645
20121003,1396841.729999999981374,1393803.280000000260770,1602374.309999999823049,1557131.800000000046566,1460533.170000000158325,1549854.339999999850988,1493043.760000000009313,10453585.389999998733401
20121004,1394628.059999999823049,1416640.900000000372529,1629416.419999999925494,1556375.560000000055879,1466248.260000000009313,1562833.000000000000000,1501509.880000000121072,10527655.080000000074506
20121005,1391676.500000000000000,1417322.620000000111759,1621398.909999999916181,1593179.239999999990687,1474291.720000000204891,1569546.099999999860302,1506882.610000000102445,10574300.699999999254942
20121008,1394628.059999999823049,1407778.540000000037253,1623437.259999999776483,1559904.679999999934807,1469846.650000000139698,1552092.039999999804422,1508999.140000000130385,10516689.369999999180436
20121009,1387249.159999999916181,1378464.580000000074506,1625747.389999999664724,1536461.239999999990687,1448044.640000000130385,1530162.579999999841675,1500044.590000000083819,10406177.179999999701977
20121010,1351092.549999999813735,1363125.880000000353903,1631862.439999999711290,1505959.560000000055879,1444022.910000000149012,1537323.219999999972060,1482135.489999999990687,10315525.050000000745058
20121011,1347403.100000000093132,1369943.080000000074506,1657817.429999999701977,1487557.719999999739230,1438731.160000000149012,1555672.359999999636784,1484414.830000000074506,10341542.679999999701977
20121012,1358471.449999999953434,1363125.880000000353903,1633493.119999999878928,1501422.119999999878928,1438731.160000000149012,1556567.439999999944121,1482135.489999999990687,10333949.660000000149012
20121015,1368801.909999999916181,1374715.120000000111759,1691925.819999999832362,1528898.839999999850988,1452066.370000000111759,1565070.699999999720603,1489950.370000000111759,10471432.129999998956919
20121016,1390938.610000000102445,1451749.480000000447035,1674531.899999999906868,1534192.519999999785796,1472175.020000000018626,1579391.979999999748543,1504114.840000000083819,10607097.349999999627471
20121017,1379870.260000000009313,1467769.900000000372529,1697633.199999999953434,1547552.760000000009313,1502867.170000000158325,1595055.879999999888241,1520558.650000000139698,10711310.820000000298023
20121018,1373229.250000000000000,1467088.180000000167638,1700758.669999999925494,1557888.039999999804422,1535041.010000000009313,1587447.699999999720603,1522023.940000000176951,10743479.789999999105930
20121019,1331169.519999999785796,1449363.460000000428408,1679967.500000000000000,1560156.760000000009313,1521070.790000000037253,1565965.780000000027940,1500370.210000000195578,10608067.020000001415610
20121022,1342237.870000000111759,1443568.840000000316650,1668416.849999999860302,1563937.959999999962747,1519377.430000000167638,1555224.819999999832362,1501021.449999999953434,10593788.220000000670552
20121023,1328955.850000000093132,1385963.500000000000000,1617186.319999999832362,1556627.639999999897555,1500538.800000000279397,1528819.959999999729916,1468296.640000000130385,10386391.709999999031425
20121024,1282468.779999999795109,1450386.040000000037253,1627649.849999999860302,1544779.879999999888241,1497363.750000000000000,1527029.799999999813735,1463412.340000000083819,10393093.439999999478459
20121025,1269186.760000000009313,1439819.380000000353903,1626970.399999999906868,1524613.479999999748543,1505830.550000000279397,1539113.379999999888241,1472366.890000000130385,10377903.839999999850988
20121026,1275827.769999999785796,1435388.200000000186265,1623165.479999999748543,1513521.959999999962747,1500750.470000000204891,1547616.639999999664724,1475460.280000000027940,10371733.799999998882413
20121031,1265497.309999999823049,1422435.520000000018626,1663253.029999999795109,1547300.679999999934807,1499057.110000000102445,1552539.579999999841675,1484414.830000000074506,10434501.059999998658895
20121101,1292061.350000000093132,1461634.420000000391155,1696681.969999999739230,1569483.719999999739230,1513450.670000000158325,1609824.699999999720603,1491415.659999999916181,10634555.490000000223517
20121102,1280255.110000000102445,1444250.560000000055879,1674939.569999999832362,1563433.800000000046566,1500750.470000000204891,1604454.219999999972060,1469761.929999999934807,10537848.660000000149012
20121105,1283944.559999999823049,1459248.400000000372529,1686218.439999999711290,1572508.679999999934807,1498422.100000000325963,1583419.839999999850988,1475623.090000000083819,10559388.109999999403954
20121106,1289847.679999999934807,1481404.300000000279397,1715706.569999999832362,1578558.599999999860302,1503078.840000000316650,1609824.699999999720603,1491578.469999999972060,10670002.160000000149012
20121107,1269924.650000000139698,1470496.780000000260770,1603325.539999999804422,1562677.560000000055879,1488896.950000000186265,1595055.879999999888241,1435734.640000000130385,10426115.000000001862645
20121108,1241884.829999999841675,1434365.620000000111759,1566499.349999999860302,1534192.519999999785796,1474291.720000000204891,1589685.399999999906868,1417662.729999999981374,10258585.169999999925494
20121109,1241146.939999999944121,1425162.400000000372529,1578457.669999999925494,1536713.319999999832362,1478948.460000000195578,1599083.739999999757856,1419942.070000000065193,10279457.599999999627471
20121112,1244098.500000000000000,1397552.740000000223517,1593269.679999999701977,1541754.919999999925494,1474926.730000000214204,1602664.059999999823049,1421732.979999999981374,10276002.610000001266599
20121113,1243360.610000000102445,1399597.900000000372529,1582806.149999999906868,1597716.679999999934807,1471328.340000000316650,1593713.259999999776483,1407894.130000000121072,10296420.070000000298023
20121114,1303129.699999999953434,1372669.960000000428408,1552502.679999999701977,1549569.399999999906868,1466248.260000000009313,1565965.780000000027940,1401381.729999999981374,10211470.509999999776483
20121115,1323790.620000000111759,1353922.660000000149012,1568809.479999999748543,1544023.639999999897555,1462014.860000000102445,1566413.319999999832362,1402521.400000000139698,10221498.980000000447035
20121116,1327480.069999999832362,1346423.740000000223517,1574245.079999999841675,1565954.599999999860302,1464554.900000000139698,1596846.039999999804422,1407568.510000000009313,10283075.939999999478459
20121119,1350354.659999999916181,1397211.880000000353903,1607674.019999999785796,1596456.279999999795109,1465824.920000000158325,1629516.459999999729916,1427431.330000000074506,10474472.549999998882413
20121120,1353306.219999999972060,1397552.740000000223517,1604820.329999999841675,1608808.199999999953434,1474715.060000000288710,1637572.179999999934807,1424663.560000000055879,10501441.290000000968575
20121121,1363636.679999999934807,1398916.180000000167638,1599520.619999999878928,1615614.359999999869615,1473021.700000000186265,1641152.500000000000000,1432966.870000000111759,10524831.910000000149012
20121123,1390200.719999999972060,1426184.980000000447035,1634987.909999999916181,1634016.199999999720603,1472386.690000000176951,1657263.939999999944121,1450550.350000000093132,10665593.790000000968575
20121126,1406434.299999999813735,1436069.920000000391155,1643548.979999999748543,1630235.000000000000000,1462438.200000000186265,1647418.059999999823049,1442898.280000000027940,10669045.740000000223517
20121127,1399055.400000000139698,1442205.400000000372529,1609168.809999999823049,1617378.919999999925494,1456511.440000000176951,1642495.119999999878928,1422221.409999999916181,10589039.500000000000000
20121128,1389462.829999999841675,1450045.180000000167638,1621670.689999999711290,1634268.279999999795109,1466671.600000000325963,1647865.599999999860302,1434432.159999999916181,10644419.339999999850988
20121129,1402744.850000000093132,1456180.660000000149012,1613517.289999999804422,1619395.559999999823049,1465189.910000000149012,1658159.019999999785796,1434757.780000000027940,10649948.069999998435378
20121130,1395365.949999999953434,1465383.880000000353903,1600743.629999999888241,1640318.199999999720603,1475985.080000000307336,1675165.539999999804422,1435083.400000000139698,10688048.679999999701977
