訓練日期,20150113 - 20150416
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10776222.629999998956919
真實報酬,776222.629999998956919

夏普值報酬,0.068922263000000
夏普值風險,0.027656676654651
夏普值,2.492065979605287

預期報酬,13706.405771099121921
風險,136929.114090459741419
趨勢值,0.100098549984368
找到最佳解世代,41
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](5),DIS[6](3),GS[8](15),HD[9](4),IBM[10](13),MCD[15](11),MMM[16](12),PFE[20](7),TRV[22](10),UNH[23](1),WBA[27](2),WMT[28](24),
20150203,938197.489999999990687,830157.079999999958090,811588.340000000083819,855836.599999999976717,844144.780000000027940,841485.689999999944121,860289.799999999930151,814261.250000000000000,839986.640000000013970,876075.760000000125729,823315.720000000088476,797878.689999999944121,10133221.839999999850988
20150204,937433.449999999953434,893499.040000000037253,805015.420000000041910,865173.199999999953434,836102.520000000135042,842650.359999999869615,854431.880000000004657,815532.699999999953434,845452.130000000004657,876969.620000000111759,821994.760000000009313,802136.910000000032596,10196395.990000000223517
20150205,946219.909999999916181,905496.959999999962747,813974.400000000023283,869801.599999999976717,841162.220000000088476,845248.469999999972060,863452.040000000037253,838927.380000000004657,850838.409999999916181,884283.020000000018626,823315.720000000088476,807968.819999999948777,10290692.950000001117587
20150206,942399.709999999962747,900027.319999999948777,825949.719999999972060,870200.600000000093132,834824.280000000027940,842112.819999999832362,860963.719999999972060,843504.599999999976717,849175.000000000000000,874369.300000000046566,838286.600000000093132,808431.669999999925494,10290249.339999997988343
20150209,939725.570000000065193,897468.940000000060536,820502.299999999930151,864614.600000000093132,829658.060000000055879,830734.889999999897555,854587.400000000023283,840961.699999999953434,837847.969999999855645,865349.440000000060536,841038.600000000093132,795286.729999999981374,10217780.200000001117587
20150210,942654.389999999897555,899145.119999999995343,831036.979999999981374,883208.000000000000000,844624.120000000111759,842381.589999999850988,859667.719999999972060,868425.019999999902211,843788.719999999855645,885501.920000000041910,844230.920000000041910,808061.390000000013970,10352729.889999998733401
20150211,941890.349999999860302,898704.020000000018626,844948.160000000032596,880335.200000000069849,842706.760000000009313,844083.799999999813735,852721.159999999916181,870967.919999999925494,853689.969999999855645,892652.800000000046566,875493.640000000013970,799267.239999999990687,10397465.020000001415610
20150212,942972.739999999990687,913789.640000000013970,854537.420000000041910,895098.199999999953434,844411.080000000074506,851967.719999999972060,860134.279999999911524,886733.899999999906868,855828.640000000013970,892571.540000000153668,880227.079999999958090,795101.589999999967404,10473377.830000000074506
20150213,953414.619999999878928,918994.619999999995343,851025.859999999986030,892943.599999999976717,854423.960000000079162,856984.760000000009313,860289.799999999930151,880885.229999999981374,855511.799999999930151,889321.140000000013970,866687.240000000107102,794361.030000000027940,10474847.659999998286366
20150217,954624.349999999860302,918553.520000000018626,855617.900000000023283,893821.400000000023283,857406.520000000135042,845338.059999999823049,865370.119999999878928,879359.489999999874271,855511.799999999930151,891921.460000000079162,858651.400000000023283,795749.579999999958090,10471929.600000001490116
20150218,962583.099999999860302,916259.800000000046566,849540.199999999953434,893741.599999999976717,863957.500000000000000,847398.629999999888241,867858.439999999944121,876816.589999999850988,855353.380000000004657,892002.720000000088476,856339.720000000088476,798804.390000000013970,10480660.070000000298023
20150219,979009.959999999962747,916524.459999999962747,851521.080000000074506,885362.599999999976717,873011.699999999953434,843904.619999999878928,866251.400000000023283,875036.559999999823049,855432.589999999850988,894115.480000000097789,848744.199999999953434,773162.500000000000000,10462081.149999998509884
20150220,1008043.479999999981374,922346.979999999981374,862325.879999999888241,895736.599999999976717,871733.460000000079162,843904.619999999878928,871590.920000000041910,878850.910000000032596,854086.019999999902211,915161.820000000065193,849074.439999999944121,780382.959999999962747,10553242.089999999850988
20150223,985313.290000000037253,926228.659999999916181,856923.479999999981374,896055.800000000046566,867792.220000000088476,844979.699999999953434,875167.880000000004657,874527.979999999981374,848224.479999999864958,945878.100000000093132,865146.120000000111759,783160.059999999939464,10569401.770000001415610
20150224,983021.169999999925494,923405.619999999995343,865522.299999999930151,931726.400000000023283,878018.140000000130385,850982.229999999981374,876774.920000000041910,873256.530000000027940,851947.349999999860302,937995.880000000121072,884960.520000000018626,782882.349999999976717,10640497.409999998286366
20150225,974298.379999999888241,931345.419999999925494,863271.299999999930151,928215.200000000069849,867259.620000000111759,883951.349999999860302,875582.599999999860302,881393.809999999823049,846877.909999999916181,926782.000000000000000,880777.480000000097789,773625.349999999976717,10633384.419999999925494
20150226,966148.619999999878928,922435.200000000069849,865432.259999999892898,920793.799999999930151,856927.180000000051223,891566.500000000000000,879315.080000000074506,879613.780000000027940,854086.019999999902211,923612.859999999986030,898830.600000000093132,775754.459999999962747,10634520.359999999403954
20150227,960545.659999999916181,918200.640000000013970,854582.439999999944121,915766.400000000023283,862626.000000000000000,886101.510000000009313,874338.439999999944121,872747.949999999953434,851076.039999999920838,923369.080000000074506,914572.040000000037253,776957.869999999995343,10610888.069999998435378
20150302,979328.310000000055879,934168.459999999962747,863586.439999999944121,926699.000000000116415,854850.040000000037253,895956.409999999916181,883928.839999999967404,884191.000000000000000,854719.699999999953434,929626.100000000093132,920516.360000000102445,777235.579999999958090,10704810.240000000223517
20150303,990597.899999999906868,938226.579999999958090,861245.400000000023283,926300.000000000000000,857779.340000000083819,893627.069999999832362,872368.520000000018626,878850.910000000032596,850759.199999999953434,917112.060000000055879,916003.079999999958090,771773.950000000069849,10674648.009999997913837
20150304,982830.159999999916181,931345.419999999925494,854042.199999999953434,915846.200000000069849,849204.479999999981374,898196.159999999916181,866614.279999999911524,880885.229999999981374,846640.279999999911524,924913.020000000018626,913911.559999999939464,764460.919999999925494,10628893.910000002011657
20150305,983594.199999999953434,926581.540000000037253,855888.020000000018626,925023.199999999953434,858578.240000000107102,887982.899999999906868,868739.719999999972060,876562.299999999930151,852343.399999999906868,932795.240000000107102,915893.000000000000000,773625.349999999976717,10657611.109999999403954
20150306,974998.750000000000000,915906.919999999925494,841616.679999999934807,913372.400000000023283,844304.560000000055879,870244.079999999841675,852099.080000000074506,863847.799999999930151,838085.599999999860302,917274.580000000074506,906536.199999999953434,764553.489999999990687,10502844.139999998733401
20150309,985376.959999999962747,928610.600000000093132,846208.719999999972060,919756.400000000023283,856394.580000000074506,875440.299999999813735,862518.920000000041910,865373.539999999920838,845372.919999999925494,933689.100000000093132,919195.400000000023283,767238.019999999902211,10605179.459999999031425
20150310,970541.849999999860302,909466.859999999986030,822708.280000000027940,898290.200000000069849,840629.620000000111759,862718.520000000018626,841212.679999999934807,859016.289999999920838,829610.130000000004657,913861.660000000032596,910609.160000000032596,759739.849999999976717,10418409.099999999627471
20150311,962583.099999999860302,907702.459999999962747,829326.219999999972060,902360.000000000000000,835250.360000000102445,850803.049999999813735,838465.159999999916181,855201.939999999944121,837055.869999999995343,915974.420000000041910,908297.480000000097789,746965.189999999944121,10389989.250000000000000
20150312,968122.389999999897555,945460.619999999995343,855302.759999999892898,926539.400000000023283,841535.040000000037253,862360.159999999916181,852669.319999999948777,864610.669999999925494,854165.229999999864958,933526.580000000074506,927451.400000000023283,758166.160000000032596,10589913.729999998584390
20150313,965129.899999999906868,939020.559999999939464,852556.540000000037253,916325.000000000000000,821828.840000000083819,863256.059999999823049,843701.000000000000000,864610.669999999925494,845372.919999999925494,936533.200000000069849,921617.160000000032596,758166.160000000032596,10528122.009999999776483
20150316,978500.599999999860302,947225.020000000018626,864081.660000000032596,929731.400000000023283,836741.640000000130385,870423.260000000009313,861689.479999999981374,875799.429999999818392,862878.329999999958090,963105.220000000088476,955191.559999999939464,771033.390000000013970,10716404.990000002086163
20150317,983848.879999999888241,943608.000000000000000,858094.000000000000000,922389.800000000046566,836102.520000000135042,861643.439999999944121,851425.159999999916181,868933.599999999976717,861452.549999999930151,955629.300000000046566,949577.480000000097789,764831.200000000069849,10657539.929999999701977
20150318,991616.619999999878928,952518.219999999972060,865972.500000000000000,926379.800000000046566,851281.620000000111759,869079.409999999916181,863037.319999999948777,874273.689999999944121,867551.719999999855645,974806.660000000032596,959704.840000000083819,763998.069999999948777,10760224.469999998807907
20150319,981302.080000000074506,947225.020000000018626,855392.799999999930151,919038.199999999953434,851281.620000000111759,859941.229999999981374,858838.279999999911524,868425.019999999902211,864304.109999999869615,981307.460000000079162,961686.280000000027940,754648.500000000000000,10703394.599999999627471
20150320,983785.209999999962747,956576.340000000083819,869619.119999999995343,937631.599999999976717,867632.440000000060536,869527.359999999869615,863141.000000000000000,870967.919999999925494,869215.130000000004657,968143.340000000083819,971263.240000000107102,770570.539999999920838,10798077.240000000223517
20150323,973024.979999999981374,954723.719999999972060,864351.780000000027940,926300.000000000000000,876952.940000000060536,883592.989999999990687,861274.759999999892898,891311.119999999878928,868343.819999999948777,967330.740000000107102,967850.760000000009313,771218.530000000027940,10806280.139999998733401
20150324,965639.260000000009313,944931.300000000046566,861290.420000000041910,926938.400000000023283,868271.560000000055879,890222.649999999906868,862259.719999999972060,877833.750000000000000,865254.630000000004657,959854.820000000065193,968731.400000000023283,768811.709999999962747,10760043.620000001043081
20150325,943864.119999999878928,926316.880000000004657,843597.559999999939464,907227.800000000046566,848032.760000000009313,879292.669999999925494,843493.639999999897555,872239.369999999878928,852422.609999999869615,947015.740000000107102,945394.439999999944121,752797.099999999976717,10561698.689999999478459
20150326,943482.099999999860302,928434.159999999916181,843102.340000000083819,896774.000000000116415,855435.900000000023283,874813.169999999925494,842923.400000000023283,868679.309999999823049,846244.229999999864958,944659.200000000069849,929542.920000000041910,758073.589999999967404,10532168.319999998435378
20150327,947811.659999999916181,930551.440000000060536,846793.979999999981374,908664.200000000069849,854423.960000000079162,868721.049999999813735,847640.839999999967404,878088.039999999920838,848620.529999999911524,958960.960000000079162,938899.720000000088476,753074.809999999939464,10582255.190000001341105
20150330,972324.609999999869615,936197.520000000018626,860119.900000000023283,914808.799999999930151,866513.979999999981374,876963.329999999841675,860860.040000000037253,890039.669999999925494,868502.239999999990687,983257.700000000069849,946605.319999999948777,763998.069999999948777,10740195.179999999701977
20150331,955643.070000000065193,925346.459999999962747,846388.799999999930151,906669.200000000069849,854956.560000000055879,873021.369999999878928,855157.639999999897555,884699.579999999958090,856541.529999999911524,961236.240000000107102,932184.840000000083819,761406.109999999986030,10613255.399999998509884
20150401,946474.589999999850988,930198.559999999939464,865567.319999999948777,902838.799999999930151,847926.240000000107102,862718.520000000018626,842560.520000000018626,873002.239999999874271,848462.109999999869615,954410.400000000139698,927561.480000000097789,747150.329999999958090,10548875.109999999403954
20150402,950549.469999999972060,935138.880000000004657,862505.960000000079162,914090.600000000093132,854690.260000000009313,858597.379999999888241,844012.040000000037253,874273.689999999944121,853452.339999999850988,953679.060000000055879,946385.160000000032596,747335.469999999972060,10594714.310000000521541
20150406,961055.020000000018626,931874.739999999990687,864756.960000000079162,917362.400000000023283,863158.599999999976717,862628.929999999934807,857905.159999999916181,876816.589999999850988,856541.529999999911524,956441.900000000139698,968841.480000000097789,749742.289999999920838,10667129.599999999627471
20150407,969905.149999999906868,930110.340000000083819,866287.639999999897555,912175.400000000023283,863318.380000000004657,863256.059999999823049,861689.479999999981374,878342.329999999958090,850283.939999999944121,953597.800000000046566,960805.640000000013970,745206.359999999986030,10654982.519999999552965
20150408,976526.830000000074506,938314.800000000046566,867052.979999999981374,922469.600000000093132,862146.660000000032596,867735.559999999823049,862000.520000000018626,880885.229999999981374,850283.939999999944121,960423.640000000013970,965208.840000000083819,750112.569999999948777,10703165.169999999925494
20150409,976908.849999999860302,941931.819999999948777,877542.639999999897555,914330.000000000000000,864756.400000000023283,865047.859999999869615,864696.199999999953434,890802.539999999920838,849967.099999999860302,963349.000000000000000,1019588.360000000102445,748353.739999999990687,10777278.509999999776483
20150410,983021.169999999925494,943519.780000000027940,880919.139999999897555,919676.599999999976717,867525.920000000158325,876246.609999999869615,866147.719999999972060,901228.429999999818392,852739.449999999953434,967005.700000000069849,1012983.559999999939464,746594.910000000032596,10817612.990000000223517
20150413,975762.790000000037253,939638.100000000093132,880649.020000000018626,913292.599999999976717,864969.440000000060536,873021.369999999878928,859771.400000000023283,892328.280000000027940,854482.069999999948777,970012.320000000065193,1009571.079999999958090,743262.390000000013970,10776764.860000001266599
20150414,975571.780000000027940,940961.400000000023283,890283.299999999930151,910180.400000000023283,864543.360000000102445,874275.629999999888241,860549.000000000000000,890802.539999999920838,853848.390000000013970,974481.620000000111759,1012543.240000000107102,741966.410000000032596,10790011.070000000298023
20150415,970605.520000000018626,943784.440000000060536,905500.059999999939464,905392.400000000023283,874289.940000000060536,864062.369999999878928,862881.799999999930151,895379.759999999892898,856145.479999999864958,953354.020000000018626,1007699.720000000088476,738171.039999999920838,10777270.549999998882413
20150416,967676.699999999953434,953665.079999999958090,901493.280000000027940,904754.000000000116415,868963.940000000060536,856805.579999999841675,860030.599999999860302,894871.179999999818392,860818.869999999995343,988133.300000000046566,985463.559999999939464,733542.539999999920838,10776222.629999998956919
