訓練日期,20091120 - 20100225
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10491868.900000000372529
真實報酬,491868.900000000372529

夏普值報酬,0.040486890000000
夏普值風險,0.019215632453410
夏普值,2.106976707540762

預期報酬,8131.763331553932403
風險,189683.936430384899722
趨勢值,0.042870068412664
找到最佳解世代,74
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](15),BA[2](1),GS[8](30),HD[9](3),IBM[10](17),INTC[11](6),JNJ[12](8),MCD[15](16),PFE[20](10),UNH[23](2),UTX[24](12),
20091217,870048.570000000065193,962825.039999999920838,846496.000000000000000,965760.770000000018626,908092.219999999972060,898256.309999999939464,938794.439999999944121,887729.359999999986030,914611.779999999911524,1010382.069999999948777,930076.189999999944121,10133082.750000000000000
20091218,886236.480000000097789,944618.759999999892898,858383.599999999976717,960730.819999999948777,911726.989999999874271,924633.989999999874271,937338.340000000083819,891313.359999999986030,918627.619999999995343,1001491.229999999981374,928472.149999999906868,10163583.339999999850988
20091221,898932.880000000004657,959820.119999999878928,870271.199999999837019,971126.050000000046566,917000.969999999972060,946301.369999999995343,936755.900000000023283,898338.000000000000000,934189.000000000000000,1021495.619999999995343,927135.449999999953434,10281376.559999998658895
20091222,908455.180000000051223,973960.919999999925494,865800.199999999953434,982191.939999999944121,926123.530000000027940,943946.219999999972060,939668.100000000093132,902782.159999999916181,934189.000000000000000,1026258.569999999948777,927001.779999999911524,10330387.599999999627471
20091223,916390.430000000051223,971486.279999999911524,860697.999999999883585,972467.369999999995343,926622.419999999925494,946772.400000000023283,940250.539999999920838,908373.199999999953434,932683.059999999939464,1004031.469999999972060,929140.500000000000000,10308925.669999999925494
20091224,947814.020000000018626,980677.799999999930151,862486.399999999906868,978167.980000000097789,930684.809999999823049,957606.089999999850988,942143.470000000088476,909233.359999999986030,933687.020000000018626,1005936.650000000023283,940502.449999999953434,10388950.049999998882413
20091228,959558.190000000060536,974667.959999999962747,861381.799999999930151,978503.309999999939464,943085.789999999920838,956193.000000000000000,945638.109999999986030,911957.199999999953434,935192.959999999962747,996728.280000000027940,941839.149999999906868,10404755.750000000000000
20091229,948131.430000000051223,975905.279999999911524,863275.400000000023283,981521.280000000027940,939807.369999999878928,960903.299999999930151,945638.109999999986030,911670.479999999981374,931679.099999999860302,979581.660000000032596,939700.429999999934807,10377823.839999999850988
20091230,959558.190000000060536,971486.279999999911524,876846.199999999837019,976826.659999999916181,944938.809999999823049,969852.869999999995343,945201.279999999911524,901635.280000000027940,928667.219999999972060,984662.140000000013970,942240.159999999916181,10401925.090000001713634
20091231,955431.860000000102445,956815.199999999953434,888102.599999999976717,970120.059999999939464,933036.719999999972060,960903.299999999930151,937920.779999999911524,895184.079999999958090,913105.840000000083819,967833.050000000046566,927803.799999999930151,10306267.290000002831221
20100104,970350.130000000004657,993051.000000000000000,910405.000000000000000,961401.480000000097789,944083.569999999832362,983512.739999999874271,941852.250000000116415,900058.320000000065193,950252.359999999986030,1001173.700000000069849,957478.539999999920838,10513629.089999997988343
20100105,972254.589999999967404,1025574.839999999967404,926500.599999999860302,968443.409999999916181,932680.369999999878928,983041.710000000079162,930931.500000000000000,893177.039999999920838,936698.900000000023283,999586.050000000046566,943175.849999999976717,10512074.859999999403954
20100106,956701.500000000000000,1056684.600000000093132,916611.799999999930151,965090.109999999986030,926622.419999999925494,979744.500000000000000,938503.220000000088476,880991.440000000060536,933687.020000000018626,1009429.479999999981374,938230.059999999939464,10502306.150000000372529
20100107,954797.039999999920838,1099460.520000000018626,934548.399999999906868,976491.330000000074506,923415.270000000018626,970323.900000000023283,931805.160000000032596,887442.640000000013970,930173.160000000032596,1048168.139999999897555,942240.159999999916181,10598875.720000000670552
20100108,961145.239999999990687,1088854.919999999925494,916874.799999999930151,971796.709999999962747,932680.369999999878928,981157.589999999850988,935008.579999999958090,886582.479999999981374,937702.859999999986030,1038324.710000000079162,944111.539999999920838,10594249.799999998882413
20100111,952892.579999999958090,1075951.439999999944121,902409.799999999930151,944299.650000000023283,922916.379999999888241,986809.949999999953434,935154.189999999944121,893463.760000000009313,945232.559999999939464,1045310.369999999995343,964563.049999999930151,10569013.730000000447035
20100112,941783.230000000097789,1068174.000000000000000,882737.399999999906868,938263.709999999962747,930257.189999999827705,970794.929999999934807,940104.930000000051223,898338.000000000000000,942220.679999999934807,1017685.259999999892898,958948.909999999916181,10489318.239999998360872
20100113,955114.449999999953434,1081077.479999999981374,889312.399999999906868,943293.659999999916181,928261.629999999888241,987280.979999999981374,946074.939999999944121,897334.479999999981374,964307.800000000046566,1033244.229999999981374,969909.849999999976717,10595221.900000000372529
20100114,949718.480000000097789,1088147.879999999888241,886472.000000000000000,948994.270000000018626,943085.789999999920838,1011774.540000000037253,947967.869999999878928,898194.640000000013970,972841.459999999962747,1058011.569999999832362,973251.599999999976717,10678470.099999999627471
20100115,933847.980000000097789,1075067.640000000130385,869008.800000000046566,958048.180000000051223,939308.479999999981374,979744.500000000000000,940104.930000000051223,892890.320000000065193,978363.239999999874271,1071665.359999999869615,962290.659999999916181,10600350.089999999850988
20100119,975111.280000000027940,1072062.719999999739230,877687.800000000046566,968443.409999999916181,956128.199999999837019,991520.250000000000000,951608.119999999878928,910093.519999999902211,1003964.219999999972060,1115484.500000000000000,966300.760000000009313,10788414.779999999329448
20100120,960193.010000000009313,1064108.520000000018626,882579.599999999860302,961066.150000000023283,928404.169999999925494,992933.339999999850988,948695.920000000158325,903355.599999999976717,1000952.340000000083819,1097067.759999999776483,954805.140000000013970,10694171.549999998882413
20100121,943370.280000000027940,1046432.520000000018626,846180.400000000023283,955030.209999999962747,919495.419999999925494,981628.619999999995343,931513.939999999944121,906079.440000000060536,965813.739999999874271,1051025.910000000149012,937428.039999999920838,10484008.519999999552965
20100122,896711.010000000009313,1021155.839999999967404,810675.400000000023283,929545.130000000004657,894550.919999999925494,937822.829999999958090,920301.970000000088476,908803.280000000027940,951758.300000000046566,1052931.089999999850988,923392.689999999944121,10247658.459999999031425
20100125,920834.170000000041910,1021332.599999999976717,815198.999999999883585,926191.830000000074506,898969.659999999916181,957135.059999999939464,920593.189999999944121,904502.479999999981374,946236.520000000018626,1047850.609999999986030,916842.859999999986030,10275697.979999998584390
20100126,933847.980000000097789,1020095.279999999911524,793632.999999999883585,929880.459999999962747,896332.669999999925494,942062.099999999976717,914331.959999999962747,914824.400000000023283,942722.660000000032596,1030068.929999999934807,915238.819999999948777,10233048.259999999776483
20100127,942735.459999999962747,1094688.000000000000000,796894.199999999953434,933569.089999999967404,900466.329999999958090,953366.819999999948777,923796.609999999986030,913677.519999999902211,953766.219999999972060,1055471.330000000074506,903743.199999999953434,10372184.779999999329448
20100128,903694.030000000027940,1105823.879999999888241,806309.599999999860302,916802.589999999967404,882078.669999999925494,938293.860000000102445,929038.569999999948777,900775.119999999995343,935192.959999999962747,1061504.399999999906868,900535.119999999995343,10280058.799999998882413
20100129,871000.800000000046566,1071178.919999999925494,782271.399999999906868,939269.700000000069849,872385.949999999953434,913800.299999999930151,915351.229999999981374,895040.719999999972060,936698.900000000023283,1047850.609999999986030,902005.489999999990687,10146864.020000001415610
20100201,883062.380000000004657,1090622.520000000018626,805467.999999999883585,952012.239999999990687,888635.509999999892898,923691.929999999934807,918700.260000000125729,915971.280000000027940,943224.639999999897555,1051978.500000000000000,902941.179999999934807,10276318.439999997615814
20100202,888140.940000000060536,1094864.759999999776483,825508.599999999976717,973473.359999999986030,894764.729999999981374,937822.829999999958090,931805.160000000032596,917978.320000000065193,965813.739999999874271,1081191.259999999776483,909357.339999999967404,10420731.039999999105930
20100203,903376.619999999995343,1086380.279999999795109,827033.999999999883585,954694.880000000004657,895691.239999999874271,926989.140000000013970,926563.200000000069849,934894.799999999930151,934690.979999999981374,1058011.569999999832362,912164.409999999916181,10360501.119999999180436
20100204,871000.800000000046566,1048553.639999999897555,792581.000000000000000,936587.059999999939464,876733.419999999925494,895901.159999999916181,912147.810000000055879,918408.400000000023283,905074.160000000032596,1030703.989999999990687,887301.789999999920838,10075003.230000000447035
20100205,886236.480000000097789,1032291.719999999972060,810885.799999999930151,938263.709999999962747,880439.459999999846332,917097.509999999892898,912147.810000000055879,908516.559999999939464,901560.300000000046566,1033244.229999999981374,888905.829999999958090,10109599.410000000149012
20100208,880205.690000000060536,1023276.959999999962747,794790.199999999953434,958718.839999999967404,868751.179999999934807,911445.150000000023283,908216.339999999967404,902065.359999999986030,895536.539999999920838,1029116.339999999850988,874202.130000000004657,10046334.730000000447035
20100209,889727.989999999990687,1055977.560000000055879,802101.599999999976717,968108.080000000074506,878230.089999999850988,925576.049999999930151,913895.130000000004657,911383.760000000009313,897544.459999999962747,1047850.609999999986030,889173.169999999925494,10179578.500000000000000
20100210,884649.430000000051223,1052442.359999999869615,808097.999999999883585,960730.819999999948777,875379.289999999920838,927460.170000000041910,913458.299999999930151,906796.239999999990687,890516.739999999874271,1038642.239999999990687,890777.209999999962747,10148960.800000000745058
20100211,900837.339999999967404,1071002.160000000149012,810307.200000000069849,972132.039999999920838,881936.130000000004657,944888.279999999911524,916079.279999999911524,914537.679999999934807,897042.479999999981374,1051660.969999999739230,891712.899999999906868,10252146.459999999031425
20100212,908772.589999999967404,1054386.719999999739230,809676.000000000000000,972467.369999999995343,883860.419999999925494,962316.390000000013970,913312.689999999944121,911670.479999999981374,893528.619999999995343,1021813.150000000023283,878078.559999999939464,10209892.990000000223517
20100216,922421.219999999972060,1082845.080000000074506,827928.199999999953434,987221.890000000013970,892626.630000000004657,975976.259999999892898,926271.979999999981374,917691.600000000093132,889512.779999999911524,1004349.000000000000000,886633.439999999944121,10313488.079999998211861
20100217,918612.300000000046566,1092743.640000000130385,827191.799999999930151,1006671.030000000027940,900466.329999999958090,973150.079999999958090,931659.549999999930151,921275.600000000093132,887002.880000000004657,1033561.759999999892898,900267.779999999911524,10392612.750000000000000
20100218,920199.349999999976717,1111656.959999999962747,819143.999999999883585,1016060.270000000018626,911014.289999999920838,981628.619999999995343,939668.100000000093132,924429.520000000018626,890014.760000000009313,1038007.179999999934807,910426.699999999953434,10462259.749999998137355
20100219,914485.969999999972060,1124030.160000000149012,821511.000000000000000,1011030.319999999948777,906595.549999999930151,980686.559999999939464,929184.180000000051223,928156.879999999888241,903066.239999999874271,1014192.430000000051223,915907.169999999925494,10448856.459999999031425
20100222,908772.589999999967404,1130747.040000000037253,824298.800000000046566,1016730.930000000051223,904172.369999999878928,983041.710000000079162,924524.660000000032596,928586.959999999962747,901058.319999999948777,1050390.850000000093132,914303.130000000004657,10486637.359999999403954
20100223,893536.909999999916181,1109535.839999999850988,824246.199999999837019,1031150.119999999995343,901392.839999999850988,960432.270000000018626,921903.680000000051223,930020.560000000055879,887002.880000000004657,1041817.540000000037253,906149.260000000009313,10407198.099999999627471
20100224,910042.230000000097789,1122085.799999999813735,832820.000000000000000,1051605.250000000000000,909446.349999999976717,975034.199999999953434,923942.220000000088476,935611.600000000093132,894030.599999999860302,1067537.469999999739230,917243.869999999995343,10539409.589999997988343
20100225,916073.020000000018626,1111303.439999999944121,822878.599999999976717,1051605.250000000000000,905740.309999999823049,971736.989999999874271,921466.850000000093132,922995.919999999925494,888006.840000000083819,1062139.459999999962747,917912.219999999972060,10491868.900000000372529
