訓練日期,20120827 - 20121129
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10478027.459999999031425
真實報酬,478027.459999999031425

夏普值報酬,0.039102746000000
夏普值風險,0.018394335369317
夏普值,2.125803689826535

預期報酬,9070.413589921534367
風險,215530.659385857929010
趨勢值,0.042084098920159
找到最佳解世代,40
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](18),BA[2](11),DD[7](23),GS[8](4),HD[9](2),JNJ[12](6),JPM[13](5),MRK[17](7),PG[21](8),V[25](1),VZ[26](12),WBA[27](26),XOM[29](10),
20121001,772441.199999999837019,757544.400000000023283,754413.420000000041910,856433.199999999953434,817979.440000000060536,786639.869999999995343,847867.199999999953434,806691.900000000023283,797119.110000000102445,830192.879999999888241,816269.520000000018626,797280.100000000093132,801990.000000000000000,10442872.240000000223517
20121002,765082.199999999953434,752350.799999999930151,750438.240000000107102,859291.119999999995343,814738.479999999981374,784705.440000000060536,846832.500000000000000,811151.650000000023283,789544.290000000153668,825821.039999999920838,817160.419999999925494,796417.020000000018626,801291.120000000111759,10414834.320000000298023
20121003,768025.799999999930151,755921.399999999906868,738874.080000000074506,864127.599999999976717,834184.240000000107102,785160.600000000093132,845590.859999999986030,816681.740000000107102,793905.550000000046566,841122.479999999981374,824643.979999999981374,784549.670000000041910,801116.400000000139698,10453914.400000002235174
20121004,781004.399999999906868,756786.999999999883585,750980.310000000055879,878710.320000000065193,833779.120000000111759,788232.930000000051223,865457.099999999976717,822747.000000000000000,796315.719999999972060,848166.000000000000000,842105.619999999878928,784765.440000000060536,805659.120000000111759,10554720.079999998211861
20121005,783546.599999999976717,767066.000000000000000,751341.690000000060536,874386.800000000046566,853494.960000000079162,792556.950000000186265,863180.760000000009313,825601.240000000107102,799184.969999999972060,851809.199999999953434,838363.839999999850988,779586.960000000079162,808542.000000000000000,10588671.970000000670552
20121008,787025.399999999906868,763603.599999999860302,746282.369999999995343,875486.000000000000000,835669.680000000051223,790167.360000000102445,862146.059999999939464,826671.580000000074506,793102.160000000032596,842336.879999999888241,829811.199999999953434,775055.790000000153668,809677.680000000167638,10537045.759999999776483
20121009,779265.000000000000000,764361.000000000000000,730743.030000000027940,876731.760000000009313,823110.960000000079162,778446.990000000107102,856351.740000000107102,823638.950000000069849,788511.360000000102445,830435.759999999892898,821614.919999999925494,768151.150000000139698,804872.880000000004657,10446245.500000001862645
20121010,775652.399999999906868,761115.000000000000000,722611.980000000097789,880029.359999999986030,806771.120000000111759,776284.980000000097789,864422.400000000139698,813470.720000000088476,782084.240000000107102,834321.839999999967404,815734.979999999981374,768798.460000000079162,795263.280000000027940,10396570.759999999776483
20121011,782342.399999999906868,766416.799999999930151,726225.780000000027940,894025.839999999967404,796913.199999999953434,773440.230000000097789,871251.420000000041910,810794.870000000111759,780477.460000000079162,844279.919999999925494,805400.540000000037253,778939.650000000139698,796486.320000000065193,10427004.430000001564622
20121012,774581.999999999883585,777453.199999999837019,722611.980000000097789,880908.719999999972060,804340.400000000023283,773440.230000000097789,861318.299999999930151,813827.500000000000000,779788.840000000083819,844765.679999999934807,795066.099999999860302,775487.330000000074506,795263.280000000027940,10398863.559999998658895
20121015,770568.000000000000000,781781.199999999953434,728755.440000000060536,912419.119999999995343,819059.760000000009313,780609.000000000000000,877045.740000000107102,831131.330000000074506,788626.130000000004657,849380.399999999906868,792927.939999999944121,780450.040000000153668,799456.560000000172295,10512220.660000002011657
20121016,784483.199999999953434,795089.800000000046566,769591.380000000121072,903039.280000000027940,821895.599999999976717,791419.050000000046566,886358.040000000037253,841477.950000000069849,791954.460000000079162,857152.559999999939464,785444.379999999888241,784765.440000000060536,807056.880000000004657,10619738.019999999552965
20121017,794384.399999999906868,796712.799999999930151,778083.810000000055879,915496.880000000004657,829052.720000000088476,807918.600000000093132,896498.099999999976717,845402.530000000027940,797348.650000000023283,865653.359999999986030,796847.899999999906868,773113.859999999986030,815880.240000000107102,10712403.849999999627471
20121018,770835.599999999976717,803529.400000000023283,777722.430000000051223,917182.320000000065193,834589.359999999986030,825214.680000000051223,890082.959999999962747,855570.760000000125729,797348.650000000023283,861524.399999999906868,815734.979999999981374,779155.420000000041910,816666.480000000097789,10745167.440000001341105
20121019,760800.599999999976717,800824.400000000023283,768326.550000000046566,905970.479999999981374,835804.720000000088476,817704.540000000037253,875804.099999999976717,838980.490000000107102,787019.349999999976717,849866.159999999916181,804687.819999999832362,772250.780000000027940,805047.600000000093132,10623097.589999997988343
20121022,759195.000000000000000,797470.199999999953434,765254.820000000065193,899741.679999999934807,837830.320000000065193,816794.220000000088476,871044.480000000097789,829169.040000000037253,786215.960000000079162,844037.039999999920838,797738.800000000046566,783902.359999999986030,805397.040000000037253,10593800.960000000894070
20121023,740998.199999999953434,787948.599999999860302,734718.209999999962747,872115.119999999995343,833914.160000000032596,806666.910000000149012,855317.040000000037253,818644.030000000027940,774050.340000000083819,829707.119999999878928,785266.199999999953434,763619.980000000097789,787837.680000000167638,10390813.589999999850988
20121024,738991.199999999837019,786758.399999999906868,768868.619999999995343,877757.679999999934807,827567.280000000027940,804960.060000000055879,863180.760000000009313,818465.640000000130385,781395.620000000111759,828735.599999999860302,788117.079999999841675,764914.600000000093132,785216.880000000004657,10434939.419999999925494
20121025,741800.999999999883585,774099.000000000000000,763267.230000000097789,877391.280000000027940,816764.079999999958090,809511.660000000149012,862353.000000000000000,825958.020000000018626,804234.849999999976717,835293.359999999986030,788473.439999999944121,762325.359999999986030,790021.680000000167638,10451503.959999999031425
20121026,745948.799999999930151,769446.399999999906868,760918.260000000009313,875339.439999999944121,810822.320000000065193,806780.700000000186265,851799.059999999939464,823282.170000000041910,797004.340000000083819,839908.079999999841675,797026.079999999841675,759304.580000000074506,791681.520000000135042,10429271.749999998137355
20121031,748892.399999999906868,762196.999999999883585,754052.040000000037253,896957.040000000037253,828917.680000000051223,805870.380000000004657,862559.940000000060536,814005.890000000130385,794708.940000000060536,842579.759999999892898,795422.459999999962747,760167.660000000032596,796486.320000000065193,10462827.510000001639128
20121101,760666.799999999930151,765984.000000000000000,774831.390000000130385,914983.919999999925494,840801.199999999953434,813608.100000000093132,886564.980000000097789,819535.979999999981374,794823.710000000079162,873668.399999999906868,804331.459999999962747,765993.450000000069849,800242.800000000046566,10616046.190000001341105
20121102,758793.599999999976717,757977.199999999953434,765616.199999999953434,903259.119999999995343,837560.240000000107102,806780.700000000186265,877873.500000000000000,820606.320000000065193,794135.090000000083819,870753.839999999967404,793284.300000000046566,752831.480000000097789,788623.920000000041910,10528105.510000001639128
20121105,754110.599999999976717,761872.399999999906868,773566.560000000055879,909341.359999999986030,842421.680000000051223,805529.010000000125729,874769.400000000139698,814719.450000000069849,788167.050000000046566,859338.479999999981374,787582.540000000037253,735354.109999999986030,791768.880000000004657,10498551.520000001415610
20121106,765215.999999999883585,779292.599999999860302,785311.410000000032596,925243.119999999995343,845662.640000000013970,808032.390000000130385,887392.740000000107102,819179.200000000069849,791151.070000000181608,873668.399999999906868,789364.339999999850988,732333.330000000074506,800330.160000000032596,10602187.400000000372529
20121107,743540.399999999906868,758626.399999999906868,779529.330000000074506,864640.560000000055879,837155.120000000111759,800408.460000000079162,837727.139999999897555,793134.260000000125729,781166.080000000074506,865653.359999999986030,769586.359999999869615,721544.830000000074506,770365.680000000167638,10323087.980000000447035
20121108,743406.599999999976717,768039.800000000046566,760376.190000000060536,844781.679999999934807,821895.599999999976717,792556.950000000186265,836071.619999999995343,782074.080000000074506,767967.530000000027940,862738.800000000046566,759251.919999999925494,707088.240000000107102,760668.719999999972060,10206927.730000000447035
20121109,747019.199999999953434,792601.199999999953434,755497.560000000055879,851230.320000000065193,823246.000000000000000,795060.330000000190921,840624.299999999930151,785820.270000000018626,769115.230000000097789,867839.279999999795109,759786.459999999962747,704714.770000000018626,761891.760000000009313,10254456.679999997839332
20121112,742871.400000000023283,797361.999999999883585,740861.670000000041910,859217.839999999967404,825946.799999999930151,792898.320000000181608,839796.540000000037253,785285.100000000093132,769918.620000000111759,869782.319999999948777,758361.020000000018626,706872.469999999972060,762852.719999999972060,10252036.820000002160668
20121113,732435.000000000000000,793791.399999999906868,741945.810000000055879,853575.280000000027940,855925.680000000051223,790963.890000000130385,828621.780000000027940,779219.840000000083819,767278.910000000032596,864924.719999999855645,758004.659999999916181,702125.530000000027940,755427.120000000111759,10224249.620000001043081
20121114,717850.799999999930151,771394.000000000000000,727671.300000000046566,837233.839999999967404,830133.040000000037253,788232.930000000051223,813101.280000000027940,767981.270000000018626,763606.270000000135042,849866.159999999916181,752659.260000000009313,696083.969999999972060,751932.719999999972060,10067756.840000001713634
20121115,717716.999999999883585,768689.000000000000000,717733.349999999976717,846027.439999999944121,827162.160000000032596,785957.130000000004657,815170.680000000051223,763521.520000000018626,761196.099999999976717,850109.039999999920838,743037.540000000037253,695436.660000000032596,752544.240000000107102,10044311.859999999403954
20121116,726547.799999999930151,765767.599999999860302,713758.170000000041910,848958.640000000013970,838910.640000000013970,787322.610000000102445,818067.840000000083819,768338.050000000046566,766934.599999999976717,866624.879999999888241,737692.139999999897555,693926.270000000018626,755252.400000000139698,10088111.639999998733401
20121119,738991.199999999837019,778643.399999999906868,740680.980000000097789,866985.520000000018626,855250.479999999981374,788005.350000000093132,840003.480000000097789,773154.580000000074506,779559.300000000046566,884355.119999999878928,762815.520000000018626,704499.000000000000000,765910.320000000065193,10278864.250000000000000
20121120,747420.599999999976717,784919.000000000000000,740861.670000000041910,865446.640000000013970,861867.440000000060536,792784.530000000144355,842279.820000000065193,777079.160000000149012,783920.560000000055879,888726.959999999962747,762993.699999999953434,706009.390000000013970,764425.200000000069849,10318744.669999999925494
20121121,749026.199999999837019,791519.200000000069849,741584.430000000051223,862588.719999999972060,865513.520000000135042,791874.210000000079162,842900.639999999897555,782966.030000000027940,785871.650000000023283,890670.000000000000000,769051.819999999832362,704067.460000000079162,768880.560000000172295,10346524.440000001341105
20121123,756117.599999999860302,797902.999999999883585,756039.630000000121072,881714.800000000046566,875371.439999999944121,791532.840000000083819,850350.480000000097789,789923.240000000107102,798725.890000000130385,899413.679999999934807,779742.619999999878928,713992.880000000121072,778315.440000000060536,10469153.539999999105930
20121126,745145.999999999883585,803637.599999999860302,761279.640000000130385,886331.439999999944121,873345.840000000083819,786184.710000000079162,846004.740000000107102,788496.120000000111759,797463.420000000158325,894070.319999999948777,771546.339999999850988,713561.340000000083819,774209.520000000135042,10441287.029999999329448
20121127,728420.999999999883585,806017.999999999883585,764532.060000000055879,867791.599999999976717,866458.799999999930151,782998.590000000083819,843314.520000000018626,782787.640000000130385,791839.690000000060536,891398.640000000013970,765844.579999999841675,712698.260000000125729,763114.800000000046566,10367228.180000001564622
20121128,742737.599999999860302,801690.000000000000000,768687.930000000051223,874533.359999999986030,875506.479999999981374,788460.510000000125729,844970.040000000037253,795631.720000000088476,797004.340000000083819,894313.199999999953434,776179.020000000018626,718955.590000000083819,769666.800000000046566,10448346.589999999850988
20121129,748223.399999999906868,802014.599999999976717,771940.349999999976717,870136.560000000055879,867539.119999999995343,787663.980000000097789,853040.699999999953434,797594.010000000125729,797692.960000000079162,899899.439999999827705,784197.119999999878928,728233.700000000069849,769841.520000000135042,10478027.459999999031425
