訓練日期,20120305 - 20120605
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10105037.580000001937151
真實報酬,105037.580000001937151

夏普值報酬,0.001803758000000
夏普值風險,0.014082694643581
夏普值,0.128083299798194

預期報酬,6412.729893236533826
風險,175102.153869137109723
趨勢值,0.036622792761471
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](9),AXP[1](5),DIS[6](4),DD[7](26),KO[14](1),MMM[16](18),NKE[19](16),PFE[20](3),PG[21](19),TRV[22](2),UNH[23](12),VZ[26](6),WMT[28](8),
20120328,871456.950000000069849,857342.119999999995343,790112.849999999976717,767492.550000000046566,807924.119999999878928,777403.770000000135042,758479.799999999813735,805158.000000000000000,775229.239999999990687,779307.600000000093132,763720.000000000000000,761074.279999999911524,797646.300000000046566,10312357.580000000074506
20120329,860493.479999999981374,840358.399999999906868,781033.349999999976717,768914.099999999976717,820822.159999999916181,780216.250000000000000,762723.299999999930151,805517.280000000027940,773152.580000000074506,777716.400000000023283,800499.250000000000000,757294.800000000046566,792823.349999999976717,10321574.700000001117587
20120330,845974.290000000037253,839922.919999999925494,795015.780000000027940,779180.849999999976717,823045.959999999962747,784083.410000000032596,766966.799999999930151,813780.719999999972060,775459.979999999864958,785009.400000000023283,811932.500000000000000,760477.519999999902211,797776.650000000023283,10378636.779999999329448
20120402,872938.500000000000000,842100.319999999832362,796105.320000000065193,786604.500000000000000,824380.239999999990687,784259.190000000176951,771210.299999999930151,811625.040000000037253,779497.929999999934807,786733.199999999953434,814412.000000000000000,766246.200000000069849,799862.250000000000000,10435984.989999998360872
20120403,887951.540000000037253,847616.399999999906868,786117.869999999995343,765913.050000000046566,820155.020000000018626,780392.030000000144355,777151.199999999837019,809828.640000000013970,774075.540000000037253,786070.200000000069849,818269.000000000000000,765052.680000000051223,790607.400000000023283,10409210.570000000298023
20120404,880938.869999999995343,832810.079999999841675,779580.630000000004657,755804.250000000000000,816819.319999999832362,772042.480000000097789,774322.199999999953434,804439.440000000060536,776036.830000000074506,785274.599999999976717,813585.500000000000000,763660.239999999990687,785523.750000000000000,10340848.189999999478459
20120405,894174.050000000046566,843406.759999999892898,782304.479999999981374,751697.550000000046566,817041.699999999953434,767032.750000000000000,780828.899999999906868,802643.040000000037253,776613.679999999934807,780766.200000000069849,812896.750000000000000,749139.079999999958090,790868.100000000093132,10349423.039999999105930
20120409,897729.770000000018626,829761.719999999855645,764690.250000000000000,730848.150000000023283,810370.299999999930151,758771.090000000083819,782809.199999999953434,792223.920000000041910,770845.179999999934807,769760.400000000023283,800912.500000000000000,745160.680000000051223,783829.200000000069849,10237722.359999999403954
20120410,886766.300000000046566,815536.039999999920838,744352.170000000041910,712999.800000000046566,800807.959999999962747,743390.340000000083819,753104.699999999953434,790068.239999999990687,765538.159999999916181,765782.400000000023283,792923.000000000000000,732031.959999999962747,781222.200000000069849,10084533.269999999552965
20120411,883605.659999999916181,826713.359999999986030,751252.589999999967404,716948.550000000046566,801919.859999999986030,750157.869999999995343,765552.299999999813735,788631.119999999995343,766576.489999999990687,771351.600000000093132,799259.500000000000000,743569.320000000065193,779527.650000000023283,10145075.870000001043081
20120412,878765.929999999934807,842535.799999999930151,765416.609999999986030,734954.849999999976717,803031.759999999892898,763429.260000000125729,768381.299999999930151,787553.280000000027940,762538.540000000037253,783683.400000000023283,805320.500000000000000,746950.959999999962747,783959.550000000046566,10226531.740000002086163
20120413,853974.659999999916181,831503.639999999897555,759968.910000000032596,746801.099999999976717,799918.439999999944121,753146.130000000121072,769512.899999999906868,785038.320000000065193,759308.179999999934807,770688.599999999976717,799672.750000000000000,741182.279999999911524,779136.600000000093132,10149862.509999997913837
20120416,818615.000000000000000,839487.439999999944121,756518.699999999953434,755804.250000000000000,805477.939999999944121,759386.320000000181608,773756.399999999906868,789708.960000000079162,770499.069999999948777,784479.000000000000000,790168.000000000000000,744563.919999999925494,789694.949999999953434,10178169.949999997392297
20120417,860295.939999999944121,844568.039999999920838,775040.880000000004657,778707.000000000000000,822378.819999999832362,768614.770000000135042,776868.299999999930151,801565.199999999953434,773267.949999999953434,795484.800000000046566,800361.500000000000000,750730.440000000060536,806510.099999999976717,10354403.739999998360872
20120418,858419.309999999939464,842535.799999999930151,771590.670000000041910,778549.049999999930151,824825.000000000000000,765802.290000000037253,781960.499999999883585,806595.119999999995343,770152.959999999962747,788589.599999999976717,789617.000000000000000,749139.079999999958090,808986.750000000000000,10336773.129999998956919
20120419,828887.079999999958090,835713.279999999911524,764145.479999999981374,786446.549999999930151,820822.159999999916181,762901.920000000041910,775170.899999999906868,802643.040000000037253,768076.299999999930151,818159.400000000023283,808764.250000000000000,758886.159999999916181,804945.900000000023283,10335572.419999999925494
20120420,808441.689999999944121,833971.359999999986030,769048.410000000032596,794186.099999999976717,824380.239999999990687,768878.440000000176951,783375.000000000000000,810547.199999999953434,778921.080000000074506,832082.400000000023283,819784.250000000000000,770423.519999999902211,814070.400000000023283,10408120.090000001713634
20120423,806663.829999999958090,832084.279999999911524,762874.349999999976717,781866.000000000000000,819487.880000000004657,765802.290000000037253,776302.500000000000000,804080.160000000032596,768999.260000000009313,834204.000000000000000,815376.250000000000000,767240.800000000046566,776138.550000000046566,10311130.150000002235174
20120424,790564.320000000065193,836584.239999999990687,765961.380000000004657,779022.900000000023283,824157.859999999986030,777755.330000000074506,755085.000000000000000,813062.160000000032596,773037.209999999962747,840303.599999999976717,808902.000000000000000,785740.359999999986030,753066.600000000093132,10303252.959999999031425
20120425,860691.020000000018626,855164.719999999855645,775404.060000000055879,811560.600000000093132,833275.439999999944121,780479.920000000041910,771210.299999999930151,822044.160000000032596,771768.140000000013970,845740.200000000069849,810968.250000000000000,785342.519999999902211,747722.250000000000000,10471381.579999998211861
20120426,857431.609999999986030,865035.599999999976717,787389.000000000000000,783919.350000000093132,841725.880000000004657,785050.200000000069849,780545.999999999883585,828511.199999999953434,771537.400000000023283,858867.599999999976717,804080.750000000000000,798471.239999999990687,768447.900000000023283,10531023.730000000447035
20120427,850814.020000000018626,873454.879999999888241,787207.410000000032596,781234.200000000069849,852177.739999999990687,785401.760000000125729,782526.299999999930151,829229.760000000009313,743502.489999999990687,848790.000000000116415,797744.250000000000000,800261.519999999902211,769490.700000000069849,10501845.029999997466803
20120430,824047.350000000093132,874035.519999999902211,782849.250000000000000,762122.250000000000000,848619.659999999916181,785401.760000000125729,791296.199999999837019,822762.719999999972060,734272.890000000013970,852900.599999999976717,773500.250000000000000,803245.320000000065193,767926.500000000000000,10422990.269999999552965
20120501,821380.559999999939464,885067.679999999934807,795197.369999999995343,761490.450000000069849,855513.439999999944121,787511.119999999995343,787335.599999999860302,818451.360000000102445,733465.299999999930151,856613.399999999906868,786999.750000000000000,806825.880000000004657,770012.099999999976717,10465874.009999999776483
20120502,826812.909999999916181,886228.959999999846332,790657.619999999995343,750118.050000000046566,857959.619999999878928,786808.000000000000000,808270.199999999953434,814140.000000000000000,738195.469999999972060,858469.799999999930151,780525.500000000000000,807621.560000000055879,769230.000000000000000,10475047.689999999478459
20120503,820985.479999999981374,883470.919999999925494,795560.550000000046566,739219.500000000000000,861072.939999999944121,785665.430000000051223,809118.899999999906868,811984.320000000065193,744310.080000000074506,858602.400000000023283,767577.000000000000000,808417.239999999990687,768969.300000000046566,10454964.060000002384186
20120504,797576.989999999990687,872438.759999999892898,779580.630000000004657,727215.299999999930151,856180.579999999958090,779337.350000000093132,790730.399999999906868,804080.160000000032596,741656.569999999948777,855287.400000000023283,753802.000000000000000,800858.279999999911524,765189.150000000023283,10323943.570000000298023
20120507,803503.189999999944121,872438.759999999892898,795742.140000000013970,726267.599999999976717,859293.900000000023283,773536.610000000102445,788184.299999999930151,806595.119999999995343,741310.459999999962747,856480.800000000046566,761102.750000000000000,806229.119999999995343,771576.300000000046566,10362271.049999998882413
20120508,801725.329999999958090,869390.399999999906868,804458.459999999962747,722318.849999999976717,857737.239999999990687,769581.560000000055879,768947.099999999860302,805517.280000000027940,740272.129999999888241,853828.800000000046566,768954.500000000000000,806626.959999999962747,769751.400000000023283,10339120.009999999776483
20120509,803108.109999999986030,863148.519999999902211,817532.940000000060536,722792.699999999953434,853734.400000000023283,767032.750000000000000,764986.499999999883585,806595.119999999995343,734619.000000000000000,847596.600000000093132,760689.500000000000000,800659.359999999986030,769490.700000000069849,10311996.199999999254942
20120510,804984.739999999990687,862567.879999999888241,822254.280000000027940,724056.300000000046566,860850.559999999939464,765802.290000000037253,760742.999999999883585,820247.760000000009313,740041.390000000013970,857143.800000000046566,761653.750000000000000,806626.959999999962747,771576.300000000046566,10358559.010000001639128
20120511,799651.159999999916181,865761.399999999906868,827338.800000000046566,723108.599999999976717,861517.699999999953434,762286.690000000176951,765835.199999999953434,813780.719999999972060,734734.369999999995343,856878.600000000093132,760414.000000000000000,818761.079999999958090,774574.350000000093132,10364652.669999999925494
20120514,787699.989999999990687,848051.879999999888241,820256.790000000037253,712368.000000000000000,854846.299999999930151,754376.590000000083819,760177.199999999953434,811625.040000000037253,733580.669999999925494,855022.200000000069849,759863.000000000000000,813390.239999999990687,770012.099999999976717,10281280.000000000000000
20120515,780489.779999999911524,841084.199999999837019,817351.349999999976717,694361.700000000069849,851288.219999999972060,753937.140000000130385,758479.799999999813735,801205.920000000041910,735195.849999999976717,850646.400000000139698,756832.500000000000000,816572.959999999962747,773661.900000000023283,10231117.720000000670552
20120516,770514.010000000009313,833100.399999999906868,818622.479999999981374,678250.799999999930151,848842.040000000037253,750157.869999999995343,756782.399999999906868,813421.440000000060536,741771.940000000060536,843486.000000000000000,756281.500000000000000,813191.320000000065193,771576.300000000046566,10196008.500000001862645
20120517,747994.450000000069849,807842.559999999939464,805003.229999999981374,661034.250000000000000,835276.859999999986030,741280.980000000097789,738110.999999999883585,810547.199999999953434,737964.729999999981374,831419.400000000023283,756006.000000000000000,822938.399999999906868,804033.450000000069849,10099462.509999999776483
20120518,748389.529999999911524,804213.559999999939464,795560.550000000046566,662455.799999999930151,823490.719999999972060,733986.110000000102445,745749.299999999930151,810906.479999999981374,732888.449999999953434,824524.200000000069849,743746.250000000000000,826121.119999999995343,813809.700000000069849,10065851.769999997690320
20120521,791947.100000000093132,817713.439999999944121,806092.770000000018626,686938.050000000046566,828605.459999999962747,742335.660000000032596,758479.799999999813735,809828.640000000013970,731388.640000000013970,831419.400000000023283,765235.250000000000000,822341.640000000013970,821761.050000000046566,10214096.900000002235174
20120522,785922.129999999888241,818003.759999999892898,806092.770000000018626,685674.449999999953434,825047.380000000004657,739435.290000000037253,766966.799999999930151,803720.880000000004657,728619.759999999892898,833010.599999999976717,767577.000000000000000,823336.239999999990687,830755.199999999953434,10214172.259999997913837
20120523,805083.510000000009313,812487.679999999934807,806092.770000000018626,685674.449999999953434,825047.380000000004657,739435.290000000037253,766966.799999999930151,803720.880000000004657,719851.640000000013970,833010.599999999976717,767577.000000000000000,823336.239999999990687,830755.199999999953434,10219049.439999999478459
20120524,797675.760000000009313,817858.599999999976717,807000.719999999972060,709682.849999999976717,840169.219999999972060,746905.940000000176951,760177.199999999953434,795457.440000000060536,721928.299999999930151,837916.800000000046566,774464.500000000000000,823336.239999999990687,848222.099999999976717,10280805.670000001788139
20120525,793428.650000000023283,810165.119999999995343,808090.260000000009313,703996.650000000023283,836611.139999999897555,745148.140000000130385,769512.899999999906868,795098.160000000032596,721005.339999999967404,830093.400000000023283,773087.000000000000000,824529.760000000009313,851350.500000000000000,10262127.020000001415610
20120529,807453.989999999990687,821052.119999999995343,825886.079999999958090,719317.799999999930151,839057.319999999832362,753497.690000000176951,784506.599999999976717,796894.560000000055879,726312.359999999986030,833806.200000000069849,773500.250000000000000,830497.359999999986030,856173.450000000069849,10367965.779999999329448
20120530,817232.219999999972060,805084.519999999902211,820801.560000000055879,702259.200000000069849,834609.719999999972060,742247.770000000135042,768098.399999999906868,791864.640000000013970,719044.049999999930151,820678.800000000046566,773775.750000000000000,823933.000000000000000,853045.050000000046566,10272684.679999999701977
20120531,815158.050000000046566,810455.439999999944121,830062.650000000023283,698626.349999999976717,831051.639999999897555,741896.210000000079162,765269.399999999906868,785756.880000000004657,718697.939999999944121,828634.800000000046566,768265.750000000000000,828309.239999999990687,857998.349999999976717,10280192.699999999254942
20120601,791552.020000000018626,775617.039999999920838,806274.359999999986030,682989.300000000046566,812816.479999999864958,728185.369999999995343,739808.399999999906868,777493.440000000060536,710160.559999999939464,803308.199999999953434,758210.000000000000000,816175.119999999995343,854478.900000000023283,10057079.189999999478459
20120604,796194.209999999962747,776778.319999999832362,806455.949999999953434,685832.400000000023283,818820.739999999990687,726163.900000000139698,740657.099999999860302,776415.599999999976717,708430.009999999892898,800656.200000000069849,756419.250000000000000,822341.640000000013970,860214.299999999930151,10075389.620000001043081
20120605,794120.040000000037253,783600.839999999850988,814264.320000000065193,693729.900000000023283,814373.139999999897555,725197.110000000102445,746315.099999999860302,776056.320000000065193,705776.500000000000000,806225.400000000023283,771985.000000000000000,819556.760000000009313,853827.150000000023283,10105037.580000001937151
