訓練日期,20181019 - 20190124
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10190772.779999997466803
真實報酬,190772.779999997466803

夏普值報酬,0.010377278000000
夏普值風險,0.029506059979702
夏普值,0.351699888332725

預期報酬,2661.627269631132094
風險,340065.168645080295391
趨勢值,0.007826815313770
找到最佳解世代,46
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
HD[9](15),JNJ[12](21),JPM[13](22),KO[14](5),MCD[15](2),NKE[19](7),PG[21](1),TRV[22](12),V[25](11),VZ[26](6),WBA[27](20),
20181030,887930.400000000023283,917235.000000000000000,897400.099999999976717,949350.619999999995343,972734.319999999948777,895982.750000000232831,1010484.550000000046566,914392.720000000088476,866475.219999999972060,967808.020000000018626,935443.619999999995343,10215247.319999998435378
20181031,886116.719999999972060,912282.840000000083819,916911.299999999930151,954333.369999999995343,964070.409999999916181,902356.000000000232831,1004706.760000000125729,909017.359999999986030,899692.560000000055879,949676.960000000079162,946958.489999999990687,10246132.770000001415610
20181101,909190.760000000125729,917691.119999999995343,916574.900000000023283,951543.030000000027940,953063.429999999934807,923399.750000000232831,1015016.150000000023283,909525.840000000083819,919140.040000000153668,932377.599999999976717,948501.720000000088476,10296034.340000001713634
20181102,906520.620000000111759,916778.880000000004657,911528.899999999906868,956725.089999999967404,963253.059999999939464,920874.500000000116415,1017508.530000000027940,907346.640000000130385,912287.740000000107102,942025.320000000065193,941379.119999999995343,10296238.400000000372529
20181105,917906.500000000000000,926683.199999999953434,917500.000000000000000,970477.479999999864958,983087.419999999809079,932298.250000000116415,1033255.840000000083819,919186.960000000079162,912418.260000000125729,951673.040000000037253,949332.690000000060536,10413829.639999998733401
20181106,916999.660000000032596,929094.119999999995343,921789.099999999976717,978848.500000000000000,995729.099999999976717,920754.250000000000000,1036767.830000000074506,934223.439999999944121,918879.000000000000000,951673.040000000037253,956811.420000000041910,10461579.459999999031425
20181107,943298.020000000018626,943299.000000000000000,937599.900000000023283,984030.559999999939464,1004120.559999999939464,937589.250000000116415,1034275.450000000069849,946426.960000000079162,944917.740000000107102,958992.000000000000000,972362.430000000051223,10606921.869999999180436
20181108,947177.280000000027940,946882.800000000046566,945168.899999999906868,983233.319999999948777,1010822.829999999841675,935304.500000000116415,1035068.479999999981374,951584.400000000139698,947854.440000000060536,969305.080000000074506,978654.060000000055879,10651066.089999999850988
20181109,937050.900000000023283,947143.440000000060536,936002.000000000000000,990209.169999999925494,1013329.369999999878928,918229.000000000116415,1046963.930000000051223,951874.960000000079162,939370.640000000130385,972465.540000000037253,978060.510000000125729,10630709.459999999031425
20181112,904001.620000000111759,948967.920000000041910,916322.599999999976717,993996.059999999939464,1004774.439999999944121,903077.500000000000000,1050249.340000000083819,922891.600000000093132,911896.180000000051223,976790.380000000004657,971175.330000000074506,10504152.970000000670552
20181113,901835.280000000027940,942842.880000000004657,921705.000000000000000,993796.750000000000000,1002812.799999999930151,904280.000000000116415,1058972.669999999925494,921220.880000000004657,911896.180000000051223,975792.339999999967404,972481.140000000130385,10507645.919999999925494
20181114,906369.480000000097789,940041.000000000000000,902698.399999999906868,991803.649999999906868,1001940.959999999962747,904280.000000000116415,1059199.250000000000000,893835.600000000093132,910395.200000000186265,980449.859999999986030,967732.739999999990687,10458756.139999998733401
20181115,893572.960000000079162,941670.000000000000000,925741.799999999930151,991405.030000000027940,1000360.750000000000000,893818.250000000116415,1063051.110000000102445,912358.800000000046566,925731.300000000046566,982778.619999999995343,976873.410000000149012,10507372.029999999329448
20181116,891860.040000000037253,951378.840000000083819,925068.999999999883585,999975.359999999986030,1022320.219999999972060,898748.500000000000000,1062937.820000000065193,935458.320000000065193,914898.140000000130385,1001575.040000000037253,979603.739999999990687,10583835.020000001415610
20181119,874579.700000000069849,962716.679999999934807,932133.399999999906868,1006751.899999999906868,1017579.589999999967404,872053.000000000116415,1056933.450000000186265,948170.320000000065193,879527.219999999972060,1008394.979999999981374,972481.140000000130385,10531331.380000000819564
20181120,851707.180000000051223,954376.199999999953434,912117.599999999976717,984229.869999999995343,1001178.099999999976717,855218.000000000116415,1043451.939999999944121,932552.720000000088476,870456.080000000074506,989099.540000000037253,947195.910000000149012,10341593.140000000596046
20181121,852966.680000000051223,925314.840000000083819,905305.500000000000000,971274.719999999855645,995783.589999999967404,870249.250000000116415,1035634.930000000051223,928121.680000000051223,877308.380000000004657,984109.339999999967404,946839.780000000144355,10292918.689999999478459
20181123,850699.579999999958090,926878.679999999934807,896979.599999999976717,977054.710000000079162,991478.880000000004657,859667.250000000000000,1037107.700000000069849,919695.439999999944121,867193.080000000074506,975459.660000000032596,959304.330000000074506,10261528.910000000149012
20181126,855586.439999999944121,921274.920000000041910,918929.700000000069849,974065.059999999939464,1002158.919999999809079,874337.750000000000000,1041639.300000000046566,946862.800000000046566,887227.900000000023283,984275.680000000051223,969869.520000000135042,10376237.989999998360872
20181127,872715.640000000013970,933329.520000000018626,922798.299999999930151,984030.559999999939464,1006191.179999999934807,866882.250000000116415,1050475.919999999925494,941560.080000000190921,887032.120000000111759,1008894.000000000000000,991474.739999999990687,10465394.310000000521541
20181128,893925.620000000111759,954311.040000000037253,933058.500000000000000,990807.099999999976717,1023736.959999999962747,897786.500000000116415,1053761.330000000074506,949477.839999999967404,922729.340000000083819,999079.940000000060536,1004770.260000000125729,10623454.429999999701977
20181129,885008.359999999986030,950466.599999999976717,925657.699999999953434,976257.469999999855645,1031420.049999999930151,893938.500000000116415,1051608.820000000065193,948969.359999999986030,907850.060000000055879,988933.200000000069849,1007263.170000000041910,10567383.289999999105930
20181130,908485.439999999944121,957308.400000000023283,935161.000000000000000,1004559.489999999990687,1027333.299999999930151,903318.000000000116415,1070754.830000000074506,947080.720000000088476,924882.920000000158325,1003072.099999999976717,1005126.390000000130385,10687092.589999999850988
20181203,915639.400000000023283,952812.360000000102445,943991.499999999883585,990408.479999999864958,1010223.439999999944121,937228.500000000116415,1057273.320000000065193,945192.080000000190921,946353.460000000079162,967475.339999999967404,1017234.810000000055879,10683842.690000001341105
20181204,883194.680000000051223,951639.479999999981374,901857.400000000023283,988216.069999999948777,1008425.269999999902211,911374.750000000232831,1057160.030000000027940,920349.200000000069849,904848.099999999976717,966310.960000000079162,983165.040000000037253,10476550.980000000447035
20181206,886519.760000000125729,950857.559999999939464,884701.000000000000000,984229.869999999995343,1010659.359999999869615,908368.500000000232831,1059878.989999999990687,911051.280000000027940,920575.760000000125729,966144.619999999995343,984589.560000000055879,10467586.260000001639128
20181207,870549.299999999930151,947729.880000000004657,868722.000000000000000,978449.880000000004657,997091.349999999976717,881913.500000000116415,1047417.090000000083819,897612.880000000004657,894863.320000000181608,959491.020000000018626,963815.310000000055879,10307665.529999999329448
20181210,865007.500000000000000,946622.159999999916181,852490.699999999953434,981439.530000000027940,1006300.159999999916181,871932.750000000232831,1053987.910000000149012,893545.040000000037253,899888.340000000083819,969305.080000000074506,963459.180000000051223,10303988.349999999627471
20181211,867627.260000000125729,954702.000000000000000,844164.800000000046566,987418.829999999958090,1000524.219999999972060,884679.250000000000000,1063957.429999999934807,878799.119999999995343,892905.520000000135042,978952.800000000046566,971175.330000000074506,10324916.560000000521541
20181212,877703.260000000125729,958611.599999999976717,849631.299999999930151,981040.909999999916181,999924.829999999841675,893698.000000000000000,1065316.910000000149012,886353.680000000051223,899366.260000000125729,952338.400000000023283,978654.060000000055879,10342649.210000000894070
20181213,875990.340000000083819,963433.440000000060536,850472.300000000046566,986023.659999999916181,1015999.380000000004657,876983.250000000232831,1093186.250000000000000,882649.040000000037253,897669.500000000000000,949676.960000000079162,977229.540000000037253,10369323.660000000149012
20181214,868030.299999999930151,866736.000000000000000,843492.000000000000000,983432.630000000004657,998889.519999999902211,872173.250000000116415,1094885.600000000093132,875748.239999999990687,881680.800000000046566,949510.619999999995343,934731.359999999986030,10169320.319999998435378
20181217,846266.140000000013970,841584.239999999874271,832727.200000000069849,963302.319999999948777,985267.019999999902211,840547.500000000232831,1051042.369999999878928,871244.560000000055879,857599.860000000102445,930714.200000000069849,904816.440000000060536,9925121.849999999627471
20181218,856694.799999999930151,849924.719999999972060,828774.500000000000000,963103.010000000009313,979382.099999999976717,855578.750000000232831,1047870.250000000000000,866668.239999999990687,865822.620000000111759,925724.000000000000000,896031.900000000139698,9935584.890000000596046
20181219,844200.560000000055879,831614.760000000009313,818262.000000000000000,954731.989999999990687,976385.149999999906868,829364.250000000116415,1039600.080000000074506,865651.280000000027940,856686.219999999972060,929217.140000000013970,870034.410000000149012,9815757.840000001713634
20181220,827071.359999999986030,835915.320000000065193,811197.599999999976717,947556.829999999958090,946524.630000000004657,812048.250000000116415,1030763.460000000079162,852285.520000000018626,840371.219999999972060,916076.280000000027940,826349.130000000004657,9646169.600000001490116
20181221,808531.520000000018626,834742.440000000060536,792022.800000000046566,948154.760000000009313,949085.659999999916181,870249.250000000116415,1030650.170000000041910,843132.880000000004657,811004.220000000088476,913581.180000000051223,798452.280000000144355,9599617.159999998286366
20181224,796742.599999999976717,800533.440000000060536,774950.500000000000000,916065.849999999976717,927998.029999999911524,818902.500000000000000,989752.479999999981374,818217.359999999986030,794493.440000000060536,882475.599999999976717,774710.280000000144355,9294852.080000000074506
20181226,847827.920000000041910,825750.359999999986030,807076.699999999953434,935598.229999999864958,948431.779999999911524,877945.250000000232831,1020680.650000000023283,851195.920000000041910,849964.440000000060536,905596.859999999986030,803912.940000000060536,9673991.050000000745058
20181227,858105.439999999944121,830311.559999999939464,816159.500000000000000,947357.520000000018626,957586.099999999976717,885881.750000000116415,1042545.619999999995343,862091.920000000041910,861580.719999999972060,917407.000000000000000,811510.380000000004657,9790547.509999999776483
20181228,857601.640000000013970,829399.319999999948777,814393.399999999906868,940780.290000000037253,956768.750000000000000,881913.500000000116415,1033029.260000000125729,858968.400000000023283,854597.900000000023283,919403.080000000074506,807830.369999999995343,9754695.910000000149012
20181231,865662.439999999944121,840997.800000000046566,821037.300000000046566,943769.939999999944121,967721.239999999874271,891533.500000000116415,1041412.720000000088476,869937.040000000037253,861123.900000000023283,935205.380000000004657,811154.250000000000000,9849565.509999999776483
20190102,868634.859999999986030,832527.000000000000000,835250.199999999953434,935398.919999999925494,959493.250000000000000,890571.500000000116415,1034162.160000000032596,852648.720000000088476,867519.380000000004657,931878.580000000074506,807711.660000000149012,9815806.230000000447035
20190103,849490.460000000079162,819299.520000000018626,816748.199999999953434,929618.929999999934807,953172.409999999916181,874818.750000000116415,1026911.600000000093132,837321.680000000051223,836259.840000000083819,935205.380000000004657,799283.250000000000000,9678140.019999999552965
20190104,874730.840000000083819,833048.280000000027940,846856.000000000000000,948154.760000000009313,971590.029999999911524,897666.250000000232831,1047870.250000000000000,862164.560000000055879,872283.360000000102445,937534.140000000013970,825874.290000000037253,9917782.760000001639128
20190107,891960.799999999930151,827705.160000000032596,847444.700000000069849,935797.540000000037253,982161.089999999967404,910533.000000000116415,1043678.520000000135042,859404.239999999990687,888011.020000000135042,943522.380000000004657,830622.690000000060536,9960851.140000000596046
20190108,896243.099999999976717,846927.360000000102445,845846.799999999930151,946360.969999999855645,984231.709999999962747,922678.250000000116415,1047530.380000000004657,856062.800000000046566,892840.260000000125729,971134.820000000065193,847242.090000000083819,10057108.539999999105930
20190109,905513.020000000018626,840215.880000000004657,844417.099999999976717,928223.760000000009313,982542.519999999902211,920994.750000000116415,1030423.590000000083819,862164.560000000055879,903347.120000000111759,949011.599999999976717,857451.150000000139698,10024315.050000000745058
20190110,902137.560000000055879,845298.360000000102445,844333.000000000000000,938189.260000000009313,989408.260000000009313,918950.500000000116415,1032915.970000000088476,873714.320000000065193,905043.880000000004657,958160.300000000046566,860418.900000000139698,10068580.310000000521541
20190111,903900.859999999986030,845559.000000000000000,840296.199999999953434,943570.630000000004657,993876.439999999944121,914381.000000000232831,1039713.369999999995343,875167.119999999995343,901063.020000000135042,965146.580000000074506,851278.229999999981374,10073962.449999999254942
20190114,900878.060000000055879,835980.479999999981374,848958.500000000000000,939783.739999999990687,987610.089999999967404,914982.250000000116415,1032689.390000000130385,875966.160000000032596,894798.060000000055879,965312.920000000041910,838694.970000000088476,10035664.620000001043081
20190115,889089.140000000013970,843017.760000000125729,855181.900000000023283,948154.760000000009313,986520.290000000037253,936507.000000000116415,1042432.330000000074506,884973.520000000018626,896364.300000000046566,966477.300000000046566,852227.910000000149012,10100956.210000000894070
20190116,891960.799999999930151,834416.639999999897555,862078.099999999976717,935199.609999999986030,977420.459999999962747,934102.000000000232831,1035181.770000000135042,888460.239999999990687,896364.300000000046566,949510.619999999995343,854720.820000000065193,10059425.359999999403954
20190117,881028.340000000083819,841258.440000000060536,865610.300000000046566,937989.950000000069849,987010.700000000069849,951538.250000000116415,1026911.600000000093132,893109.200000000069849,895972.740000000107102,945352.119999999995343,854602.109999999986030,10080393.750000000000000
20190118,904757.320000000065193,851684.040000000037253,879655.000000000000000,948952.000000000000000,994966.239999999874271,967411.250000000116415,1035748.220000000088476,900881.680000000051223,903934.460000000079162,949676.960000000079162,859825.350000000093132,10197502.519999999552965
20190122,892313.460000000079162,839368.800000000046566,865778.500000000000000,951144.409999999916181,1005864.239999999874271,971018.750000000116415,1024645.800000000046566,888896.080000000074506,900997.760000000125729,948013.560000000055879,849853.710000000079162,10137905.070000000298023
20190123,891205.099999999976717,839368.800000000046566,863591.900000000023283,962106.460000000079162,1014146.719999999972060,968012.500000000116415,1074493.400000000139698,893690.320000000065193,894210.719999999972060,960821.739999999990687,851278.229999999981374,10212935.890000000596046
20190124,893220.299999999930151,827835.479999999981374,864096.499999999883585,950546.479999999864958,1021121.439999999944121,967291.000000000116415,1068375.739999999990687,903569.359999999986030,898713.660000000032596,949344.280000000027940,846648.540000000037253,10190772.779999997466803
