訓練日期,20171213 - 20180319
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10541143.540000000968575
真實報酬,541143.540000000968575

夏普值報酬,0.045414354000000
夏普值風險,0.027165276460598
夏普值,1.671779562629188

預期報酬,14557.256266908661928
風險,269126.947049573587719
趨勢值,0.054090667718336
找到最佳解世代,93
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](3),CSCO[4](1),DIS[6](20),HD[9](13),INTC[11](7),JPM[13](4),MMM[16](17),NKE[19](6),TRV[22](9),UNH[23](12),UTX[24](8),
20180119,1058911.649999999906868,990142.400000000023283,935829.920000000041910,1006740.000000000116415,940350.200000000069849,961499.280000000144355,953657.199999999953434,982784.879999999888241,932771.000000000000000,994303.099999999976717,1000526.040000000037253,10757525.670000001788139
20180122,1059758.100000000093132,999015.000000000000000,940145.539999999920838,1022390.000000000000000,959861.600000000093132,972729.840000000083819,950276.239999999990687,970794.839999999967404,942920.000000000000000,995160.949999999953434,995446.260000000009313,10808508.369999999180436
20180123,1052202.750000000000000,1009566.200000000069849,934306.759999999892898,1024590.000000000000000,966365.400000000139698,971708.880000000004657,946472.659999999916181,981761.339999999967404,989673.059999999939464,1001901.199999999953434,1001483.099999999976717,10880041.349999999627471
20180124,1049381.250000000000000,1011244.800000000162981,935068.339999999967404,1031190.000000000000000,954826.400000000023283,984130.560000000055879,951774.619999999878928,994336.260000000009313,998874.820000000065193,1000430.599999999976717,998906.400000000023283,10910174.049999998882413
20180125,1075777.950000000186265,1004770.200000000069849,935491.439999999944121,1026940.000000000000000,950420.599999999976717,984385.800000000046566,969716.759999999892898,990095.879999999888241,1004625.920000000041910,1001778.650000000023283,1014145.739999999990687,10958158.940000001341105
20180126,1076122.800000000279397,1020597.000000000116415,949369.119999999995343,1036240.000000000000000,1050705.000000000000000,989660.760000000009313,993806.099999999860302,994921.140000000130385,1011053.619999999995343,1015218.299999999930151,1015838.999999999883585,11153542.839999999850988
20180129,1068598.799999999813735,1027551.200000000069849,943868.820000000065193,1024689.999999999883585,1048607.000000000000000,988639.800000000046566,983740.059999999823049,988195.020000000018626,1007941.260000000125729,1010888.199999999953434,1006194.779999999911524,11098924.939999997615814
20180130,1058848.949999999720603,1013163.200000000069849,931768.159999999916181,1009140.000000000000000,1023640.800000000046566,979366.080000000074506,966566.319999999832362,984539.520000000018626,1006317.420000000041910,966933.599999999976717,1004943.239999999990687,10945237.289999999105930
20180131,1111078.049999999813735,996137.400000000023283,919582.880000000004657,1004590.000000000000000,1010003.800000000162981,984130.560000000055879,962570.639999999897555,997553.099999999976717,1014436.619999999995343,967464.650000000023283,1016059.859999999869615,10983617.559999998658895
20180201,1119135.000000000000000,999974.200000000186265,934983.719999999972060,999590.000000000000000,999723.600000000093132,994340.160000000149012,952735.119999999878928,989218.560000000055879,1014977.900000000023283,961092.049999999930151,1018342.079999999958090,10984122.390000000596046
20180202,1093960.950000000186265,981509.600000000093132,919836.739999999990687,969940.000000000000000,968253.600000000093132,972304.440000000060536,942092.779999999795109,982931.099999999976717,1001107.599999999976717,947448.149999999906868,991029.060000000055879,10770424.020000001415610
20180205,1031166.899999999906868,929952.600000000093132,885988.739999999990687,915640.000000000116415,934056.200000000186265,925680.600000000093132,889342.119999999878928,941550.839999999967404,957602.220000000088476,899000.050000000046566,936771.119999999995343,10246761.390000000596046
20180206,1068880.950000000186265,963284.800000000162981,898427.880000000004657,955290.000000000000000,942238.400000000023283,953842.080000000074506,897756.099999999860302,953687.099999999976717,953069.000000000000000,920078.650000000023283,955691.459999999962747,10462256.419999998062849
20180207,1091484.299999999813735,967361.400000000139698,886496.459999999962747,956540.000000000000000,948322.600000000209548,960308.160000000149012,896065.619999999878928,959682.119999999995343,961797.139999999897555,922693.049999999930151,971593.380000000004657,10522354.230000002309680
20180208,1033612.200000000069849,929712.800000000162981,857641.039999999920838,906190.000000000000000,896921.600000000093132,917853.239999999990687,856493.019999999902211,913769.040000000037253,913555.559999999939464,884457.449999999953434,938538.000000000000000,10048753.949999999254942
20180209,1043550.149999999906868,947937.600000000093132,872364.920000000041910,920690.000000000000000,922097.600000000209548,936230.520000000135042,865406.459999999962747,957635.039999999920838,927561.180000000051223,902839.949999999953434,920501.099999999976717,10216824.519999999552965
20180212,1077941.100000000093132,973596.200000000069849,874903.520000000018626,920390.000000000000000,940560.000000000000000,950694.119999999995343,880697.619999999878928,964799.820000000065193,934733.139999999897555,922162.000000000000000,937801.799999999930151,10378289.320000002160668
20180213,1075934.700000000186265,988703.599999999976717,881080.780000000027940,918690.000000000000000,932797.400000000139698,956564.640000000130385,889034.759999999892898,963191.400000000023283,937710.180000000051223,926042.749999999883585,925948.979999999981374,10395709.190000001341105
20180214,1081232.850000000093132,1009326.400000000139698,885142.539999999920838,923540.000000000000000,952099.000000000116415,978685.440000000060536,891493.639999999897555,993751.379999999888241,951377.500000000000000,934784.650000000023283,932795.640000000013970,10534239.040000000968575
20180215,1117630.199999999720603,1057046.600000000093132,890050.500000000000000,926440.000000000000000,963428.200000000186265,982769.280000000144355,902520.179999999934807,998576.640000000130385,953271.979999999981374,923510.050000000046566,957090.239999999990687,10672343.870000001043081
20180216,1113178.500000000000000,1063041.600000000093132,901474.199999999953434,934940.000000000000000,955875.400000000139698,975707.640000000130385,909435.779999999795109,998722.859999999986030,955166.459999999962747,937194.800000000046566,951642.359999999869615,10696389.599999999627471
20180220,1107880.350000000093132,1056567.000000000000000,896820.099999999976717,933640.000000000000000,971820.200000000069849,975962.880000000004657,903288.579999999841675,986879.039999999920838,941025.520000000018626,926124.449999999953434,931028.759999999892898,10631046.879999998956919
20180221,1104808.049999999813735,1038582.000000000116415,888950.439999999944121,915390.000000000000000,963847.800000000046566,980046.720000000088476,892185.199999999953434,980445.359999999986030,937439.539999999920838,919874.399999999906868,951642.359999999869615,10573221.869999999180436
20180222,1115937.299999999813735,1029709.400000000023283,890558.219999999972060,927440.000000000000000,960910.599999999976717,978260.040000000153668,906861.639999999897555,981615.119999999995343,931350.139999999897555,927881.000000000000000,983446.200000000069849,10633979.659999998286366
20180223,1118257.200000000186265,1055128.200000000186265,907566.839999999967404,941840.000000000000000,1001402.000000000000000,998083.680000000051223,910780.479999999981374,996675.779999999911524,945558.740000000107102,940421.949999999953434,980280.540000000037253,10796005.410000000149012
20180226,1139637.899999999906868,1087741.000000000000000,929229.559999999939464,942390.000000000000000,1030354.400000000023283,1010505.359999999986030,938135.519999999902211,1018462.560000000055879,964774.180000000051223,956353.449999999953434,997360.380000000004657,11014954.310000000521541
20180227,1143274.500000000000000,1080067.399999999906868,887427.280000000027940,924990.000000000000000,1047138.400000000023283,998509.080000000074506,925226.399999999906868,994774.920000000041910,957737.539999999920838,950062.550000000046566,985875.659999999916181,10895093.730000000447035
20180228,1135656.449999999720603,1073832.600000000093132,872957.259999999892898,911440.000000000000000,1034130.800000000046566,982684.200000000069849,904979.059999999823049,980152.920000000041910,940551.900000000023283,924081.949999999953434,991986.120000000111759,10752463.259999997913837
20180301,1096406.250000000000000,1050332.200000000186265,867964.679999999934807,898289.999999999883585,1003709.800000000162981,965072.640000000130385,888957.919999999925494,969771.299999999930151,940348.920000000041910,917096.599999999976717,959298.840000000083819,10557259.150000000372529
20180302,1080668.549999999813735,1056567.000000000000000,871518.719999999972060,892390.000000000000000,1027627.000000000000000,964136.760000000009313,885231.179999999934807,963483.839999999967404,932973.979999999981374,920119.500000000000000,956648.520000000018626,10551375.049999998882413
20180305,1105999.350000000093132,1067597.800000000279397,875072.759999999892898,908790.000000000000000,1043781.600000000093132,978940.680000000051223,894605.659999999916181,951201.359999999986030,944476.180000000051223,933150.649999999906868,969679.260000000009313,10673305.300000000745058
20180306,1093992.299999999813735,1062082.399999999906868,888019.619999999995343,908289.999999999883585,1063922.400000000139698,979791.480000000097789,897871.359999999869615,953979.539999999920838,956722.639999999897555,924163.650000000023283,968943.060000000055879,10697788.450000001117587
20180307,1088098.500000000000000,1059924.200000000186265,876595.920000000041910,892990.000000000116415,1076720.200000000186265,976133.040000000153668,905209.579999999841675,938334.000000000000000,939739.979999999981374,928616.300000000046566,963936.900000000023283,10646308.620000001043081
20180308,1093396.649999999906868,1063281.400000000372529,880319.199999999953434,889790.000000000000000,1064551.800000000046566,976218.119999999995343,908167.919999999925494,952078.680000000051223,945085.119999999995343,918240.399999999906868,966366.359999999869615,10657505.649999998509884
20180309,1111548.299999999813735,1087980.799999999813735,886242.599999999976717,910890.000000000000000,1094972.800000000046566,1004294.520000000135042,927416.339999999850988,969478.859999999986030,962879.700000000069849,921099.900000000023283,987053.579999999958090,10863867.400000000372529
20180312,1079163.750000000000000,1092297.200000000186265,889965.880000000004657,898640.000000000000000,1080916.200000000186265,1001061.480000000097789,921461.239999999990687,977082.299999999930151,957399.240000000107102,910233.800000000046566,968133.239999999990687,10776364.330000001937151
20180313,1061858.549999999813735,1082945.000000000000000,877780.599999999976717,891840.000000000000000,1086371.000000000232831,989065.200000000069849,912893.579999999841675,967578.000000000000000,951986.440000000060536,927268.250000000000000,958194.540000000037253,10707791.160000000149012
20180314,1035493.199999999953434,1085822.600000000093132,879219.140000000013970,887140.000000000000000,1088049.400000000139698,978004.800000000046566,900291.819999999832362,968016.660000000032596,944070.220000000088476,920895.649999999906868,953998.200000000069849,10641011.689999999478459
20180315,1034615.400000000023283,1087021.600000000093132,873634.219999999972060,890440.000000000000000,1067489.000000000232831,980472.119999999995343,906362.179999999934807,970794.839999999967404,950497.920000000041910,937644.149999999906868,951568.739999999990687,10650550.169999999925494
20180316,1036151.550000000046566,1079348.000000000000000,870503.280000000027940,894890.000000000000000,1073573.200000000186265,982173.720000000088476,911548.879999999888241,963776.279999999911524,956249.020000000018626,931026.450000000069849,944795.700000000069849,10644046.079999998211861
20180319,1040195.699999999953434,1061602.800000000279397,858741.099999999976717,885590.000000000000000,1066440.000000000000000,974431.440000000060536,889803.159999999916181,960851.879999999888241,947453.220000000088476,919547.599999999976717,936476.640000000013970,10541143.540000000968575
