訓練日期,20120911 - 20121213
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10405310.589999999850988
真實報酬,405310.589999999850988

夏普值報酬,0.031831059000000
夏普值風險,0.013621856018661
夏普值,2.336763724149837

預期報酬,5133.487911493081810
風險,165561.851232055429136
趨勢值,0.031006466002231
找到最佳解世代,31
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](6),GS[8](8),JNJ[12](4),JPM[13](5),KO[14](16),MCD[15](23),MMM[16](12),NKE[19](25),TRV[22](3),UTX[24](14),V[25](1),VZ[26](13),
20121003,819030.940000000060536,856802.179999999934807,843355.039999999920838,878480.900000000023283,846166.660000000149012,824662.349999999976717,861913.899999999906868,781355.359999999869615,880541.300000000046566,832803.000000000000000,897056.839999999967404,875319.859999999986030,10197492.329999998211861
20121004,819968.780000000027940,871261.520000000018626,846654.979999999864958,899119.940000000060536,848158.089999999967404,830868.710000000079162,867887.400000000023283,798681.239999999874271,883986.229999999981374,832485.000000000000000,904569.000000000000000,893854.599999999976717,10297499.490000000223517
20121005,831105.630000000004657,866974.579999999958090,851299.339999999967404,896755.050000000046566,853689.839999999967404,830594.900000000023283,872758.099999999860302,793350.199999999953434,887558.750000000000000,832273.000000000000000,908454.599999999976717,889882.869999999878928,10314700.859999999403954
20121008,827354.269999999902211,868064.479999999981374,848732.719999999855645,895680.099999999976717,853689.839999999967404,835523.480000000097789,876526.000000000000000,791351.059999999939464,887303.570000000065193,830789.000000000000000,898352.039999999920838,880804.630000000004657,10294175.189999999478459
20121009,828174.880000000004657,869299.699999999953434,836144.059999999823049,889660.380000000121072,853247.300000000046566,840725.869999999995343,863384.299999999930151,787019.589999999967404,884496.589999999850988,819765.000000000000000,885659.079999999841675,872104.649999999906868,10229685.399999998509884
20121010,824657.980000000097789,872569.400000000023283,833821.879999999888241,898044.990000000107102,842847.610000000102445,843372.700000000069849,857318.899999999906868,785020.449999999953434,885517.310000000055879,805879.000000000000000,889803.719999999972060,865863.359999999986030,10204721.300000000745058
20121011,830402.250000000000000,886447.459999999962747,830766.379999999888241,905139.660000000032596,843290.150000000023283,843007.619999999995343,853183.399999999906868,790684.679999999934807,882455.149999999906868,806197.000000000000000,900424.359999999869615,854893.820000000065193,10226895.929999999701977
20121012,842359.709999999962747,873441.320000000065193,830766.379999999888241,894820.139999999897555,845945.390000000013970,844376.670000000041910,852448.199999999953434,786686.399999999906868,876841.189999999944121,805242.999999999883585,900942.439999999944121,843924.279999999911524,10197799.119999997317791
20121015,847048.910000000032596,904685.119999999995343,838466.239999999874271,911159.380000000121072,843732.690000000060536,853412.400000000023283,852815.800000000046566,796348.909999999916181,890493.320000000065193,807257.000000000116415,905864.199999999953434,841654.719999999972060,10292942.690000001341105
20121016,861468.200000000069849,895384.640000000013970,850077.139999999897555,920833.929999999934807,838643.479999999981374,858797.330000000074506,866049.400000000023283,810009.699999999953434,899424.619999999878928,822626.999999999883585,914153.479999999981374,833711.259999999892898,10371184.180000001564622
20121017,863226.650000000023283,907736.839999999967404,867799.039999999920838,931368.440000000060536,835103.160000000149012,855055.260000000125729,871379.599999999976717,812675.219999999972060,910780.129999999888241,832591.000000000116415,923219.880000000004657,845815.579999999958090,10456754.800000000745058
20121018,870612.140000000130385,909408.020000000018626,886376.479999999864958,924703.750000000000000,837315.860000000102445,847571.119999999995343,870736.299999999930151,812675.219999999972060,943443.169999999925494,839905.000000000000000,918816.199999999953434,865863.359999999986030,10527430.619999997317791
20121019,867681.390000000130385,898291.040000000037253,878309.959999999962747,909869.440000000060536,827579.979999999981374,809785.339999999967404,854194.299999999930151,803345.899999999906868,937956.800000000046566,826761.000000000000000,906382.280000000027940,854137.299999999930151,10374298.729999998584390
20121022,864047.260000000009313,892114.939999999944121,877332.199999999953434,904924.670000000041910,823818.390000000013970,807321.050000000046566,850426.399999999906868,787019.589999999967404,944081.119999999878928,825065.000000000000000,900165.319999999948777,846761.229999999981374,10323081.170000001788139
20121023,853731.019999999902211,864722.119999999995343,866454.619999999878928,888585.429999999934807,810099.650000000023283,802848.819999999948777,815504.400000000023283,773358.799999999930151,936298.129999999888241,817008.999999999883585,884881.959999999846332,833522.130000000004657,10147020.080000000074506
20121024,852441.489999999990687,870316.939999999944121,864621.319999999832362,896755.050000000046566,816073.940000000060536,796642.460000000079162,812379.799999999930151,773691.989999999874271,933746.330000000074506,825807.000000000116415,883845.799999999930151,836548.209999999962747,10162874.330000001937151
20121025,838725.580000000074506,869953.640000000013970,869510.119999999878928,895895.090000000083819,820720.610000000102445,797098.810000000055879,807049.599999999976717,760697.579999999841675,920221.790000000037253,819341.000000000116415,890839.880000000004657,836926.469999999972060,10126984.170000001788139
20121026,833684.690000000060536,867919.160000000032596,866576.839999999967404,884930.599999999976717,819614.260000000009313,791440.069999999948777,809071.399999999906868,759364.819999999948777,913076.750000000000000,828987.000000000000000,895761.639999999897555,846004.709999999962747,10116435.940000001341105
20121031,825830.280000000027940,889353.859999999986030,865599.079999999841675,896110.079999999958090,822712.040000000037253,792261.500000000000000,805119.699999999953434,761363.959999999962747,905166.169999999925494,828563.000000000000000,898611.079999999841675,844302.540000000037253,10134997.289999999105930
20121101,829933.330000000074506,907228.219999999972060,873910.039999999920838,921048.920000000041910,826031.089999999967404,792261.500000000000000,820283.199999999953434,794349.769999999902211,896107.280000000027940,838103.000000000000000,931768.199999999953434,853759.040000000037253,10284787.589999999850988
20121102,821258.310000000055879,895602.619999999995343,866576.839999999967404,912019.340000000083819,820499.339999999967404,792809.119999999995343,817710.000000000000000,787685.969999999972060,888324.290000000037253,827608.999999999883585,928659.719999999972060,842032.979999999981374,10200791.530000001192093
20121105,825478.589999999967404,901633.400000000023283,865232.420000000041910,908794.490000000107102,813639.970000000088476,798285.319999999948777,823499.699999999953434,793683.389999999897555,881817.199999999953434,825807.000000000116415,916484.839999999967404,835980.820000000065193,10190341.140000000596046
20121106,844352.619999999995343,917400.619999999995343,867921.260000000009313,921908.880000000121072,828022.520000000135042,802940.089999999967404,835079.099999999976717,800680.380000000004657,895341.739999999990687,847749.000000000000000,931768.199999999953434,837872.119999999878928,10331040.529999999329448
20121107,821961.690000000060536,857310.800000000046566,859732.520000000018626,870311.279999999911524,812533.619999999995343,792809.119999999995343,821477.899999999906868,788352.349999999976717,876713.599999999860302,823475.000000000116415,923219.880000000004657,816878.689999999944121,10064780.449999999254942
20121108,832160.700000000069849,837619.939999999944121,851299.339999999967404,868591.359999999986030,804567.900000000023283,777019.410000000032596,813850.199999999953434,765362.239999999874271,880413.709999999962747,807363.000000000000000,920111.400000000023283,805909.149999999906868,9964272.349999999627471
20121109,858771.910000000032596,844014.020000000018626,853988.179999999934807,873321.139999999897555,803019.010000000009313,773459.880000000004657,816239.599999999976717,769027.329999999841675,880158.530000000027940,803971.000000000000000,925551.239999999874271,806476.540000000037253,10008002.379999998956919
20121112,863930.030000000027940,851933.959999999962747,851666.000000000000000,872461.179999999934807,798372.339999999967404,774737.660000000032596,819639.900000000023283,768694.139999999897555,873141.080000000074506,815737.000000000000000,927623.560000000055879,804963.500000000000000,10022904.349999999627471
20121113,860061.440000000060536,846339.140000000013970,849588.260000000009313,860851.719999999972060,800142.500000000000000,772547.180000000051223,818720.899999999906868,762030.339999999967404,870589.280000000027940,816267.000000000000000,922442.759999999892898,804585.239999999990687,9984169.759999999776483
20121114,835794.830000000074506,830135.959999999962747,846654.979999999864958,844727.469999999972060,796823.449999999953434,772364.640000000013970,802454.599999999976717,754700.159999999916181,868547.839999999850988,791357.000000000116415,906382.280000000027940,798911.339999999967404,9848858.549999998882413
20121115,832864.080000000074506,838855.160000000032596,844210.579999999841675,846877.369999999995343,806116.790000000037253,767162.250000000000000,808979.499999999883585,756699.299999999930151,871737.589999999850988,793371.000000000000000,906641.319999999948777,788698.320000000065193,9862217.259999999776483
20121116,829698.869999999995343,841761.560000000055879,845677.219999999855645,849887.229999999981374,808993.300000000046566,767801.140000000013970,813390.699999999953434,771359.659999999916181,875948.060000000055879,797717.000000000000000,924256.039999999920838,783024.419999999925494,9909519.199999999254942
20121119,843649.239999999990687,859635.919999999925494,846410.539999999920838,872676.170000000041910,824039.660000000149012,776197.980000000097789,823223.999999999883585,802346.329999999841675,887303.570000000065193,811815.000000000000000,943165.959999999846332,809691.750000000000000,10100160.119999999180436
20121120,850448.580000000074506,858110.060000000055879,851543.779999999911524,875041.060000000055879,824260.930000000051223,782039.260000000125729,818169.499999999883585,796348.909999999916181,888579.469999999972060,812981.000000000000000,947828.680000000051223,809880.880000000004657,10115236.110000001266599
20121121,857599.610000000102445,855276.320000000065193,850566.020000000018626,875686.029999999911524,827358.710000000079162,785051.170000000041910,817434.299999999930151,796348.909999999916181,895979.689999999944121,819765.000000000000000,949901.000000000000000,816311.299999999930151,10147282.060000000521541
20121123,864516.179999999934807,874240.579999999958090,850199.359999999986030,883425.670000000041910,839307.290000000037253,794543.250000000000000,829748.899999999906868,806011.419999999925494,909376.639999999897555,833333.000000000000000,959226.439999999944121,827659.099999999976717,10271591.829999998211861
20121126,870729.369999999995343,878818.160000000032596,844455.020000000018626,878910.880000000121072,826694.900000000023283,787150.380000000004657,828002.799999999930151,813674.790000000037253,904145.449999999953434,834075.000000000116415,953527.560000000055879,818959.119999999878928,10239147.429999999701977
20121127,873308.429999999934807,860435.179999999934807,841032.859999999986030,876116.010000000009313,828022.520000000135042,784229.739999999990687,830024.599999999976717,808010.559999999939464,903762.679999999934807,835665.000000000000000,950678.119999999995343,812906.959999999962747,10204196.659999996423721
20121128,868619.230000000097789,867119.900000000023283,846899.420000000041910,877835.929999999934807,831120.300000000046566,789705.939999999944121,835722.400000000023283,825669.630000000004657,905421.349999999860302,845947.000000000000000,953786.599999999976717,823876.500000000000000,10271728.200000001117587
20121129,868970.920000000041910,862760.300000000046566,846043.879999999888241,886220.540000000037253,840192.369999999995343,789432.130000000004657,833149.199999999953434,824336.869999999878928,908228.330000000074506,845523.000000000000000,959744.519999999902211,832387.349999999976717,10296993.409999998286366
20121130,870846.600000000093132,855930.260000000009313,852277.099999999976717,883210.679999999934807,839086.020000000135042,794451.980000000097789,835906.199999999953434,812008.839999999967404,903635.089999999850988,849233.000000000000000,969588.039999999920838,834467.779999999911524,10300645.589999997988343
20121203,867798.619999999995343,860362.520000000018626,851299.339999999967404,877405.950000000069849,827137.440000000060536,794634.520000000018626,829932.699999999953434,812675.219999999972060,905293.760000000009313,845947.000000000000000,962593.959999999846332,834089.520000000018626,10269174.549999998882413
20121204,868150.310000000055879,847138.400000000023283,853865.959999999962747,872246.190000000060536,822048.229999999981374,795912.300000000046566,828278.500000000000000,813674.790000000037253,899934.979999999981374,849551.000000000000000,955858.919999999925494,825956.930000000051223,10232620.509999999776483
20121205,866040.170000000041910,851134.699999999953434,855210.379999999888241,885790.560000000055879,825588.550000000046566,793813.089999999967404,834160.099999999976717,813674.790000000037253,944208.709999999962747,850505.000000000000000,958967.400000000023283,834089.520000000018626,10313186.970000000670552
20121206,867329.700000000069849,851643.320000000065193,856188.139999999897555,891595.290000000037253,827137.440000000060536,804035.330000000074506,835906.199999999953434,820005.399999999906868,933363.560000000055879,857289.000000000000000,961557.799999999930151,840709.070000000065193,10346764.250000001862645
20121207,875066.880000000004657,847065.739999999990687,861076.939999999944121,915029.200000000069849,834439.350000000093132,807594.860000000102445,841052.599999999976717,821338.159999999916181,936425.719999999972060,858561.000000000000000,962075.880000000004657,839952.549999999930151,10399682.880000000819564
20121210,885500.350000000093132,850262.780000000027940,862910.239999999874271,909654.450000000069849,832890.460000000079162,816082.969999999972060,844361.000000000000000,817006.689999999944121,935787.770000000018626,858773.000000000000000,962853.000000000000000,832765.609999999986030,10408852.319999998435378
20121211,888900.019999999902211,863704.880000000004657,869021.239999999874271,916749.119999999995343,837758.400000000023283,817999.640000000013970,860994.900000000023283,828001.959999999962747,936936.080000000074506,860681.000000000000000,964407.239999999874271,840519.939999999944121,10485678.419999999925494
20121212,884796.969999999972060,858110.060000000055879,867310.159999999799766,919543.990000000107102,832890.460000000079162,815170.270000000018626,855848.500000000000000,826336.010000000009313,935405.000000000000000,858667.000000000000000,957672.199999999953434,847139.489999999990687,10458894.109999999403954
20121213,871315.519999999902211,861089.119999999995343,864743.539999999920838,919758.979999999981374,832005.380000000121072,813892.489999999990687,850150.699999999953434,810676.079999999841675,934384.280000000027940,851989.000000000000000,953268.519999999902211,842032.979999999981374,10405310.589999999850988
