訓練日期,20181011 - 20190115
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10195229.370000001043081
真實報酬,195229.370000001043081

夏普值報酬,0.010822937000000
夏普值風險,0.022902659363411
夏普值,0.472562457846747

預期報酬,2953.128671221911645
風險,246766.771457680792082
趨勢值,0.011967286575001
找到最佳解世代,13
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
DIS[6](9),IBM[10](30),INTC[11](4),KO[14](5),MCD[15](3),MMM[16](18),MRK[17](2),NKE[19](10),PFE[20](13),PG[21](1),V[25](8),VZ[26](6),WMT[28](11),
20181119,786676.400000000023283,648601.800000000046566,824174.000000000000000,850562.369999999995343,853052.799999999930151,782281.150000000023283,833646.199999999953434,744391.119999999878928,763526.940000000060536,881153.250000000116415,764916.239999999874271,858283.819999999948777,777422.639999999897555,10368698.730000002309680
20181120,762483.150000000023283,631838.900000000023283,813700.300000000046566,831534.300000000046566,839303.119999999995343,762989.799999999930151,816504.940000000060536,730021.520000000018626,752293.640000000013970,869913.700000000069849,757026.599999999976717,841860.540000000037253,756378.799999999930151,10165859.310000002384186
20181121,770388.549999999930151,639223.199999999953434,807519.099999999976717,820588.949999999953434,834780.799999999930151,756064.699999999953434,816614.120000000111759,742851.520000000018626,744862.380000000121072,863396.650000000023283,762986.399999999906868,837613.139999999897555,756459.119999999995343,10153358.629999998956919
20181123,763914.299999999930151,631785.000000000000000,799105.799999999930151,825472.260000000009313,831172.079999999958090,748873.250000000000000,815303.960000000079162,733819.199999999953434,745553.660000000032596,864624.500000000116415,754188.599999999976717,830250.979999999981374,763928.879999999888241,10108002.469999998807907
20181126,767117.349999999976717,644559.300000000046566,814730.500000000000000,822946.409999999916181,840125.359999999869615,760516.550000000046566,823710.819999999948777,746341.279999999911524,749010.060000000055879,868402.500000000000000,771613.919999999925494,837754.719999999972060,764330.479999999981374,10211169.250000001862645
20181127,776317.599999999976717,647092.599999999976717,825375.900000000023283,831365.909999999916181,843505.679999999934807,763674.699999999953434,833537.020000000018626,739977.599999999976717,761625.920000000041910,875769.600000000093132,771443.640000000013970,858708.559999999939464,763446.959999999962747,10291851.690000001341105
20181128,791310.599999999976717,663100.900000000023283,838940.199999999953434,837091.170000000041910,858214.639999999897555,777562.950000000069849,843254.040000000037253,766356.079999999958090,775969.979999999981374,878508.650000000139698,802491.359999999986030,850355.339999999967404,782884.399999999906868,10466050.310000000521541
20181129,794786.250000000000000,654908.100000000093132,819023.000000000000000,824798.699999999953434,864655.519999999902211,778400.050000000046566,850678.280000000027940,763071.599999999976717,786512.000000000000000,876714.099999999976717,789550.079999999958090,841718.960000000079162,781518.959999999962747,10426345.600000001490116
20181130,787153.449999999953434,669946.199999999953434,846666.700000000069849,848710.079999999958090,861229.519999999902211,791184.849999999976717,866291.020000000018626,771077.520000000018626,798955.040000000037253,892676.150000000139698,804364.440000000060536,853753.259999999892898,784410.479999999981374,10576428.710000000894070
20181203,788857.199999999953434,675551.800000000046566,860746.100000000093132,836754.389999999897555,846886.000000000000000,794381.049999999930151,864980.859999999986030,800022.000000000000000,794807.360000000102445,881436.599999999976717,823038.479999999981374,823455.139999999897555,793245.679999999934807,10584172.660000000149012
20181204,769298.150000000023283,655554.900000000023283,819881.500000000000000,834902.099999999976717,845378.559999999939464,769420.250000000000000,853953.679999999934807,777954.400000000023283,780117.660000000032596,881342.150000000139698,786939.119999999878928,822464.080000000074506,769631.599999999976717,10366848.150000000372529
20181206,779248.049999999930151,668005.800000000046566,830526.899999999906868,831534.300000000046566,847251.439999999944121,771246.650000000023283,855700.560000000055879,775388.400000000023283,777352.540000000037253,883608.950000000069849,800618.280000000027940,822322.500000000000000,761278.319999999948777,10404092.689999999478459
20181207,763232.800000000046566,643373.500000000000000,793954.800000000046566,826650.989999999990687,835877.119999999995343,754352.450000000069849,837685.859999999986030,752807.599999999976717,759033.620000000111759,873219.450000000069849,778254.840000000083819,816659.299999999930151,748587.759999999892898,10183700.090000001713634
20181210,762415.000000000000000,653021.599999999976717,810609.700000000069849,829176.839999999967404,843597.040000000037253,754656.849999999976717,845328.460000000079162,744288.479999999981374,767328.979999999981374,878697.550000000046566,782625.359999999986030,825012.520000000018626,754611.759999999892898,10251380.140000000596046
20181211,763164.650000000023283,651728.000000000000000,813528.600000000093132,834228.539999999920838,838754.959999999962747,751384.550000000046566,841943.880000000004657,755168.319999999948777,760589.000000000000000,887009.150000000023283,776552.040000000037253,833224.160000000032596,753888.879999999888241,10261174.730000000447035
20181212,764800.249999999883585,653183.300000000046566,821255.099999999976717,828840.059999999939464,838252.479999999864958,760326.300000000046566,851770.080000000074506,762866.319999999948777,763181.300000000046566,888142.550000000046566,782171.280000000027940,810571.359999999986030,747945.199999999953434,10273315.579999998211861
20181213,772841.949999999953434,650865.600000000093132,829153.299999999930151,833049.809999999939464,851728.079999999958090,769153.900000000023283,862688.080000000074506,748599.359999999986030,770266.920000000041910,911377.250000000000000,780695.519999999902211,808306.080000000074506,746740.399999999906868,10335476.250000001862645
20181214,764732.099999999976717,646391.900000000023283,821770.199999999953434,830860.739999999990687,837384.559999999939464,746209.750000000000000,835065.540000000037253,744493.760000000009313,756959.780000000027940,912794.000000000116415,766789.319999999948777,808164.500000000000000,737824.879999999888241,10209451.030000001192093
20181217,753964.400000000023283,625909.900000000023283,808377.599999999976717,813853.349999999976717,825964.559999999939464,733729.349999999976717,821418.040000000037253,717499.440000000060536,745035.200000000069849,876241.849999999976717,745844.880000000004657,792165.960000000079162,729150.319999999948777,9989164.850000001490116
20181218,745990.849999999976717,628874.400000000023283,819709.800000000046566,813684.959999999962747,821031.119999999995343,740350.050000000046566,811591.839999999967404,730329.440000000060536,732764.979999999981374,873597.250000000000000,752996.640000000013970,787918.559999999939464,731640.239999999874271,9990490.130000000819564
20181219,744423.400000000023283,627688.600000000093132,782450.900000000023283,806612.579999999958090,818518.719999999972060,722847.050000000046566,805477.760000000009313,707953.919999999925494,725333.720000000088476,866702.400000000139698,745050.239999999874271,790891.739999999990687,727383.279999999911524,9871344.309999998658895
20181220,729294.099999999976717,609308.699999999953434,781935.799999999930151,800550.539999999920838,793486.079999999958090,713030.150000000023283,802420.719999999972060,693173.760000000009313,724988.080000000074506,859335.300000000162981,730860.239999999874271,779706.920000000041910,701118.639999999897555,9719219.030000001192093
20181221,710348.400000000023283,598097.500000000000000,769916.800000000046566,801055.709999999962747,795633.040000000037253,699218.000000000000000,795979.100000000093132,742851.520000000018626,724642.440000000060536,859240.850000000093132,705318.239999999990687,777583.219999999972060,699913.839999999850988,9679808.660000002011657
20181224,683974.349999999976717,579933.199999999953434,748454.300000000046566,773944.920000000041910,777954.880000000004657,679698.349999999976717,776872.600000000093132,699024.239999999874271,700793.280000000027940,825144.400000000023283,690957.959999999962747,751107.759999999892898,689391.919999999925494,9377262.160000000149012
20181226,721320.549999999930151,600523.000000000000000,793096.299999999930151,790447.139999999897555,795084.880000000004657,708768.549999999930151,807988.900000000023283,749420.479999999981374,729135.760000000009313,850929.250000000116415,739203.959999999962747,770787.380000000004657,726258.799999999930151,9782974.949999999254942
20181227,726022.899999999906868,613405.099999999976717,796015.199999999953434,800382.150000000023283,802759.119999999995343,725662.750000000000000,823055.739999999990687,756194.719999999972060,740541.880000000121072,869158.099999999976717,749307.239999999874271,780839.559999999939464,735736.559999999939464,9919091.020000001415610
20181228,731338.599999999976717,609362.599999999976717,802711.500000000000000,794825.280000000027940,802073.919999999925494,720602.099999999976717,822946.560000000055879,752807.599999999976717,742442.900000000023283,861224.300000000162981,743233.919999999925494,782538.520000000018626,740073.839999999850988,9906191.640000000596046
20181231,747353.849999999976717,612812.200000000069849,805802.099999999976717,797351.130000000004657,811255.599999999976717,725053.949999999953434,834301.280000000027940,761018.799999999930151,754367.479999999981374,868213.600000000093132,748909.919999999925494,795988.619999999995343,748266.479999999981374,10010705.009999999776483
20190102,742719.650000000023283,621112.800000000046566,808377.599999999976717,790278.750000000000000,804357.919999999925494,726614.000000000000000,825348.520000000018626,760197.679999999934807,747454.680000000051223,862168.800000000046566,754472.399999999906868,793157.020000000018626,749792.559999999939464,9986062.379999998956919
20190103,724728.049999999930151,608715.800000000046566,763907.300000000046566,785395.439999999944121,799059.040000000037253,699256.049999999930151,808425.620000000111759,746751.839999999967404,726543.460000000079162,856124.000000000116415,727284.359999999986030,795988.619999999995343,745937.199999999953434,9788126.779999999329448
20190104,747081.250000000000000,632485.699999999953434,810781.400000000023283,801055.709999999962747,814498.880000000004657,728021.849999999976717,832772.760000000009313,766253.440000000060536,743134.180000000051223,873597.250000000000000,758615.880000000004657,797970.739999999990687,750595.759999999892898,10056874.800000000745058
20190107,753555.500000000000000,636959.400000000023283,814558.799999999930151,790615.530000000027940,823360.799999999930151,726347.650000000023283,823601.640000000130385,777235.919999999925494,747109.040000000037253,870102.600000000093132,772295.040000000037253,803067.619999999995343,759430.959999999962747,10098250.500000000000000
20190108,759416.400000000023283,646014.599999999976717,819709.800000000046566,799540.199999999953434,825096.639999999897555,729391.650000000023283,829715.719999999972060,787602.560000000055879,750565.440000000060536,873313.900000000023283,776495.280000000027940,826569.900000000023283,764732.079999999958090,10188174.170000001788139
20190109,767935.150000000023283,650650.000000000000000,824345.699999999953434,784216.709999999962747,823680.559999999939464,731750.750000000000000,823383.280000000027940,786165.599999999976717,749010.060000000055879,859051.950000000069849,785633.640000000013970,807739.759999999892898,762242.159999999916181,10155815.319999998435378
20190110,768821.099999999976717,656579.000000000000000,833789.200000000069849,792636.209999999962747,829436.239999999990687,736697.250000000000000,813229.540000000037253,784420.719999999972060,731209.600000000093132,861129.850000000093132,787109.399999999906868,815526.660000000032596,762804.399999999906868,10173399.169999999925494
20190111,767798.849999999976717,654800.300000000046566,840142.099999999976717,797182.739999999990687,833182.000000000000000,731408.300000000046566,817815.100000000093132,780520.400000000023283,741060.340000000083819,866796.849999999976717,783647.040000000037253,821473.020000000018626,761840.559999999939464,10197677.599999999627471
20190114,766231.400000000023283,649033.000000000000000,830183.500000000000000,793983.329999999958090,827928.799999999930151,731256.099999999976717,801110.560000000055879,781033.599999999976717,732246.520000000018626,860940.950000000069849,778198.079999999958090,821614.599999999976717,762724.079999999958090,10136494.519999997690320
20190115,761733.500000000000000,656255.600000000093132,834476.000000000000000,801055.709999999962747,827015.200000000069849,718965.949999999953434,813447.900000000023283,799406.159999999916181,738468.040000000037253,869063.650000000139698,779560.319999999948777,822605.660000000032596,773165.679999999934807,10195229.370000001043081
