訓練日期,20160804 - 20161103
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10140786.469999998807907
真實報酬,140786.469999998807907

夏普值報酬,0.005378647000000
夏普值風險,0.006208202383487
夏普值,0.866377522470371

預期報酬,4750.813786900120249
風險,91949.986763214677921
趨勢值,0.051667367817401
找到最佳解世代,79
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](3),CAT[3](8),CSCO[4](13),CVX[5](11),GS[8](2),KO[14](18),PG[21](9),V[25](4),WBA[27](12),WMT[28](21),
20160812,1022590.280000000027940,1011824.299999999930151,1004882.800000000046566,1015405.449999999953434,1031006.650000000023283,1008936.460000000079162,1012445.170000000158325,1016642.239999999990687,1046730.640000000013970,1013023.550000000046566,10183487.540000000968575
20160815,1034877.880000000004657,1025842.800000000046566,1015299.440000000060536,1021468.239999999874271,1045531.150000000139698,1013748.400000000139698,1012212.550000000046566,1027948.800000000046566,1050373.620000000111759,1005209.419999999925494,10252512.299999998882413
20160816,1033932.679999999934807,1027549.400000000023283,1013020.800000000046566,1019977.390000000013970,1046162.650000000023283,1004353.660000000032596,1007094.910000000032596,1026678.400000000023283,1040198.400000000023283,999314.550000000046566,10218282.840000001713634
20160817,1032420.359999999869615,1029012.199999999837019,1000000.000000000000000,1016001.789999999920838,1046288.949999999953434,1009623.880000000121072,1011514.689999999944121,1027059.520000000018626,1036681.040000000037253,999862.910000000149012,10208465.339999999850988
20160818,1031097.079999999958090,1016456.499999999883585,992187.520000000018626,1029220.659999999916181,1048751.799999999813735,1010540.440000000060536,1017097.570000000065193,1019818.239999999990687,1038314.100000000093132,1018644.239999999990687,10222128.150000000372529
20160819,1033743.639999999897555,1022063.900000000023283,993489.600000000093132,1016995.689999999944121,1049825.350000000093132,1006415.920000000041910,1015585.540000000037253,1022359.040000000037253,1037560.380000000121072,998217.830000000074506,10196256.890000000596046
20160822,1025709.439999999944121,1019016.400000000023283,997070.320000000065193,1013218.869999999995343,1050014.799999999813735,1002291.400000000139698,1010235.280000000027940,1029854.400000000023283,1039444.679999999934807,996709.840000000083819,10183565.430000001564622
20160823,1028923.119999999878928,1024136.199999999953434,1008463.520000000018626,1010634.729999999981374,1048878.100000000093132,1004811.940000000060536,1016632.330000000074506,1026551.359999999986030,1034922.359999999986030,986702.270000000018626,10190655.929999999701977
20160824,1021172.479999999981374,1013652.800000000046566,1011067.680000000051223,1015803.010000000009313,1043952.400000000139698,1004811.940000000060536,1015585.540000000037253,1020072.320000000065193,1023490.940000000060536,990266.610000000102445,10159875.720000000670552
20160825,1016824.559999999823049,1009873.900000000023283,1018554.640000000013970,1012721.919999999925494,1047741.400000000023283,1000687.420000000041910,1022447.830000000074506,1020453.439999999944121,1007285.960000000079162,976420.520000000018626,10133011.589999999850988
20160826,1010869.799999999930151,1007679.699999999837019,1020507.760000000125729,1007056.689999999944121,1048183.450000000069849,992667.520000000018626,1018725.910000000032596,1023629.439999999944121,997361.980000000097789,975323.800000000046566,10102006.050000000745058
20160829,1009735.559999999823049,1013043.299999999813735,1027994.719999999972060,1014312.159999999916181,1053866.950000000186265,997708.599999999976717,1027100.229999999981374,1027440.640000000130385,1009421.500000000000000,978888.140000000130385,10159511.800000000745058
20160830,1001984.919999999925494,1005485.500000000000000,1026692.640000000013970,1010833.510000000009313,1069654.450000000186265,990834.400000000139698,1018260.670000000158325,1031251.840000000083819,1011557.040000000037253,977654.330000000074506,10144209.300000000745058
20160831,1002930.119999999878928,999024.799999999930151,1023437.440000000060536,999701.829999999958090,1070222.800000000279397,995188.060000000055879,1015585.540000000037253,1027821.760000000125729,1013943.819999999948777,979436.500000000000000,10127292.669999999925494
20160901,1008884.880000000004657,992929.799999999930151,1027994.719999999972060,996024.399999999906868,1064223.549999999813735,993354.940000000060536,1027216.540000000037253,1032903.359999999986030,1024370.280000000144355,998629.100000000093132,10166531.570000000298023
20160902,1018336.880000000004657,995855.399999999906868,1036132.719999999972060,1003180.479999999981374,1068454.600000000093132,1000458.279999999911524,1025937.130000000121072,1041796.160000000032596,1032912.440000000060536,993968.040000000037253,10217032.129999998956919
20160906,1018053.319999999948777,1000609.499999999883585,1037434.800000000046566,1018088.979999999981374,1069401.850000000093132,1003437.099999999976717,1031054.770000000018626,1048529.280000000027940,1025626.480000000097789,1000822.540000000037253,10253058.620000001043081
20160907,1024291.639999999897555,1020601.099999999860302,1034830.640000000013970,1022561.529999999911524,1071548.949999999720603,1000000.000000000000000,1023029.380000000121072,1057549.120000000111759,1041203.359999999986030,987936.080000000074506,10283551.799999998882413
20160908,997447.959999999846332,1018406.900000000023283,1024414.000000000000000,1034885.890000000013970,1084115.799999999813735,999770.860000000102445,1021052.110000000102445,1054119.040000000037253,1063689.340000000083819,984783.010000000009313,10282684.910000000149012
20160909,974857.679999999934807,984884.400000000023283,1004231.760000000125729,1006559.739999999874271,1064602.450000000186265,968607.820000000065193,1003140.369999999995343,1033284.479999999981374,1041705.840000000083819,963808.239999999990687,10045682.780000001192093
20160912,996691.799999999930151,998659.099999999976717,1023437.440000000060536,1016299.959999999962747,1080326.799999999813735,989688.699999999953434,1026518.680000000051223,1054119.040000000037253,1049871.139999999897555,986291.000000000000000,10221903.660000000149012
20160913,1020416.319999999948777,978058.000000000000000,1011067.680000000051223,988271.979999999981374,1054687.899999999906868,968836.960000000079162,1012561.479999999981374,1040398.720000000088476,1033289.300000000046566,979710.679999999934807,10087299.019999999552965
20160914,1056522.959999999962747,987688.099999999860302,1009114.560000000055879,978233.589999999967404,1049383.299999999813735,964941.580000000074506,1012096.240000000107102,1035317.119999999995343,1017335.560000000055879,980533.219999999972060,10091166.230000000447035
20160915,1092440.559999999823049,1000000.000000000000000,1019205.680000000051223,988967.709999999962747,1061508.100000000093132,970670.080000000074506,1024308.790000000037253,1041923.200000000069849,1022611.600000000093132,992597.140000000130385,10214232.860000001266599
20160916,1086296.760000000009313,1000243.799999999930151,1003906.240000000107102,972468.969999999972060,1048372.900000000023283,965629.000000000000000,1024192.479999999981374,1042685.439999999944121,1023742.179999999934807,999040.370000000111759,10166578.140000000596046
20160919,1073631.079999999841675,998171.499999999883585,1009765.600000000093132,974456.770000000018626,1049699.050000000279397,964712.440000000060536,1027914.400000000139698,1048275.200000000069849,1015200.020000000018626,988347.350000000093132,10150173.410000000149012
20160920,1073536.559999999823049,995977.299999999930151,1012369.760000000125729,971077.510000000009313,1051340.950000000186265,970211.800000000162981,1030356.910000000032596,1047894.080000000074506,1013064.480000000097789,986702.270000000018626,10152531.619999999180436
20160921,1073347.519999999785796,1017553.599999999860302,1020833.280000000027940,990259.779999999911524,1054877.350000000093132,974565.460000000079162,1021284.729999999981374,1057295.040000000037253,1012310.760000000009313,989718.250000000000000,10212045.769999999552965
20160922,1083461.159999999916181,1017919.299999999930151,1030598.880000000004657,993738.430000000051223,1061129.200000000186265,984418.480000000097789,1035125.619999999995343,1059073.600000000093132,1034922.359999999986030,990814.969999999972060,10291202.000000001862645
20160923,1065407.839999999850988,1004997.899999999906868,1020182.240000000107102,986184.789999999920838,1042878.849999999976717,979377.400000000139698,1020819.490000000107102,1048656.320000000298023,1030776.900000000023283,991911.689999999944121,10191193.419999999925494
20160926,1067014.679999999934807,1004144.599999999976717,1011393.200000000069849,981811.630000000004657,1019829.099999999976717,963566.739999999990687,1021866.280000000027940,1039382.400000000023283,1013566.960000000079162,981904.120000000111759,10104479.710000000894070
20160927,1068999.599999999860302,1010361.499999999883585,1024739.520000000018626,983799.430000000051223,1028733.249999999883585,975940.300000000162981,1027798.090000000083819,1043828.800000000046566,1017209.940000000060536,991637.510000000009313,10173047.939999999478459
20160928,1077128.320000000065193,1055586.399999999906868,1025390.560000000055879,1015306.060000000055879,1032269.649999999906868,965858.140000000013970,1040592.189999999944121,1054119.040000000037253,1013315.719999999972060,984234.650000000139698,10263800.730000000447035
20160929,1060398.280000000027940,1066313.600000000093132,1021809.840000000083819,1006559.739999999874271,1003852.149999999906868,963108.460000000079162,1026286.060000000055879,1040779.840000000083819,995100.819999999948777,969703.110000000102445,10153911.899999998509884
20160930,1068621.519999999785796,1082160.600000000093132,1032552.000000000000000,1022959.089999999967404,1018502.950000000069849,969753.520000000018626,1043965.180000000051223,1050688.959999999962747,1012813.240000000107102,988758.620000000111759,10290775.679999999701977
20161003,1063611.959999999962747,1076187.500000000000000,1025390.560000000055879,1018287.760000000009313,1017239.949999999953434,963108.460000000079162,1031287.390000000013970,1052721.600000000093132,1009798.359999999986030,987250.630000000121072,10244884.169999999925494
20161004,1068148.919999999925494,1066801.200000000186265,1020507.760000000125729,1006559.739999999874271,1024817.950000000069849,958754.800000000162981,1027681.780000000027940,1051070.080000000074506,1008039.679999999934807,983686.290000000037253,10216068.199999999254942
20161005,1068621.519999999785796,1090084.100000000093132,1028320.240000000107102,1016101.180000000051223,1050898.899999999906868,958067.380000000121072,1033497.280000000027940,1058946.560000000055879,1011431.420000000158325,982589.570000000065193,10298558.150000000372529
20161006,1076561.199999999953434,1088499.399999999906868,1024739.520000000018626,1015604.229999999981374,1055635.149999999906868,955775.980000000097789,1037800.750000000000000,1059073.600000000093132,1008793.400000000023283,950921.780000000027940,10273405.009999999776483
20161007,1078168.040000000037253,1078503.600000000093132,1024414.000000000000000,1016498.739999999874271,1072559.350000000093132,956234.260000000009313,1046872.930000000051223,1052975.680000000167638,1003517.359999999986030,941873.840000000083819,10271617.799999998882413
20161010,1096977.519999999785796,1075456.100000000093132,1024414.000000000000000,1033494.430000000051223,1080200.500000000000000,956234.260000000009313,1035939.790000000037253,1056024.640000000130385,1000628.100000000093132,932003.360000000102445,10291372.699999999254942
20161011,1099340.519999999785796,1066313.600000000093132,1010416.640000000013970,1024151.770000000018626,1067570.500000000000000,951880.599999999976717,1029891.670000000158325,1042304.320000000065193,980905.760000000009313,923915.050000000046566,10196690.430000001564622
20161012,1109170.599999999860302,1067654.500000000000000,987630.240000000107102,1015306.060000000055879,1069212.399999999906868,957379.960000000079162,1030240.599999999976717,1044972.160000000032596,983669.400000000023283,924874.679999999934807,10190110.599999999627471
20161013,1105767.879999999888241,1060218.600000000093132,982096.400000000139698,1001789.020000000018626,1057340.199999999720603,956921.679999999934807,1026402.369999999995343,1040144.640000000130385,982413.200000000069849,935430.610000000102445,10148524.599999997764826
20161014,1111911.679999999934807,1068751.600000000093132,982421.920000000041910,1004671.329999999958090,1076916.700000000186265,954859.420000000041910,1028612.260000000125729,1047512.960000000079162,983795.020000000018626,938446.590000000083819,10197899.480000000447035
20161017,1111155.519999999785796,1064119.399999999906868,983724.000000000000000,1007454.250000000000000,1067317.899999999906868,953255.440000000060536,1021633.660000000032596,1043701.760000000125729,980026.420000000158325,935293.520000000018626,10167681.870000001043081
20161018,1110399.359999999869615,1063266.100000000093132,990885.440000000060536,1011728.020000000018626,1090241.350000000093132,961733.619999999995343,1017213.880000000121072,1036460.479999999981374,980905.760000000009313,944204.370000000111759,10207038.379999998956919
20161019,1107091.159999999916181,1072774.299999999813735,987955.760000000125729,1016498.739999999874271,1102113.549999999813735,963566.739999999990687,994998.670000000158325,1052086.399999999906868,969599.960000000079162,944478.550000000046566,10211163.830000001937151
20161020,1106524.040000000037253,1056074.000000000000000,981770.880000000004657,1012523.140000000013970,1102113.549999999813735,960817.060000000055879,987903.760000000125729,1048148.160000000032596,1017838.040000000037253,942285.110000000102445,10215997.739999998360872
20161021,1102176.119999999878928,1052417.000000000000000,981445.359999999986030,1006857.909999999916181,1103123.949999999720603,965399.860000000102445,980925.160000000032596,1046242.559999999939464,1024747.140000000013970,936938.600000000093132,10200273.660000000149012
20161024,1112100.719999999972060,1048272.399999999906868,991536.480000000097789,1000496.949999999953434,1105965.700000000186265,975252.880000000121072,978250.030000000027940,1056659.839999999850988,1044092.619999999995343,948591.250000000000000,10261218.869999999180436
20161025,1117771.919999999925494,1029865.500000000000000,987630.240000000107102,1001590.239999999874271,1108681.149999999906868,974794.599999999976717,1011631.000000000000000,1042177.280000000027940,1035801.700000000069849,950921.780000000027940,10260865.409999998286366
20161026,1092629.599999999860302,1025598.999999999883585,994466.160000000032596,1005764.619999999995343,1118279.950000000186265,972503.199999999953434,1016632.330000000074506,1038620.160000000032596,1033917.400000000023283,954074.850000000093132,10252487.269999999552965
20161027,1082137.879999999888241,1011946.199999999953434,988932.320000000065193,993142.089999999967404,1122574.149999999906868,965170.719999999972060,1007094.910000000032596,1040779.840000000083819,1032158.719999999972060,957365.010000000009313,10201301.839999999850988
20161028,1074954.359999999869615,1022551.499999999883585,995768.240000000107102,1031904.189999999944121,1118722.000000000000000,967691.260000000009313,1010118.970000000088476,1044591.040000000037253,1018843.000000000000000,959558.449999999953434,10244703.009999997913837
20161031,1073253.000000000000000,1017431.699999999837019,998697.920000000041910,1041147.459999999962747,1125668.500000000000000,971586.640000000013970,1009653.729999999981374,1048275.200000000069849,1039319.060000000055879,959969.719999999972060,10285002.929999999701977
20161101,1053876.399999999906868,1002559.899999999906868,992187.520000000018626,1058341.929999999934807,1124531.799999999813735,965170.719999999972060,1010235.280000000027940,1036968.640000000130385,1035927.319999999948777,950099.239999999990687,10229898.750000000000000
20161102,1054821.599999999860302,988785.199999999953434,989257.840000000083819,1047508.419999999925494,1115185.600000000093132,963566.739999999990687,1008955.869999999995343,1023756.479999999981374,1029269.460000000079162,952155.590000000083819,10173262.800000000745058
20161103,1038186.079999999958090,990735.599999999860302,986979.200000000069849,1047508.419999999925494,1112849.050000000279397,963108.460000000079162,1007327.530000000027940,1024645.760000000125729,1014823.160000000032596,954623.209999999962747,10140786.469999998807907
