訓練日期,20190228 - 20190531
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10424669.170000001788139
真實報酬,424669.170000001788139

夏普值報酬,0.033766917000000
夏普值風險,0.025102954459489
夏普值,1.345137165208710

預期報酬,12842.309390273858298
風險,124067.220396134158364
趨勢值,0.103510897957330
找到最佳解世代,73
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](13),AXP[1](6),CVX[5](17),DIS[6](8),JPM[13](14),MCD[15](3),MRK[17](20),MSFT[18](4),PFE[20](23),PG[21](7),TRV[22](5),
20190308,898901.919999999925494,913828.719999999972060,920747.800000000046566,917391.799999999930151,890505.400000000139698,889955.979999999981374,899843.679999999934807,895637.359999999986030,865890.959999999962747,904494.500000000000000,898123.600000000093132,9895331.719999998807907
20190311,930037.940000000060536,927198.679999999934807,935887.800000000046566,924968.199999999953434,902088.359999999986030,897788.040000000037253,911909.000000000000000,914438.639999999897555,878808.319999999948777,915247.970000000088476,903949.500000000000000,10042332.450000001117587
20190312,940485.919999999925494,934560.619999999995343,938007.400000000023283,924807.000000000000000,899408.720000000088476,901505.790000000037253,915968.360000000102445,920840.799999999930151,883678.799999999930151,919567.739999999990687,909775.400000000023283,10088616.550000000745058
20190313,944644.320000000065193,949030.640000000013970,943836.300000000046566,919648.599999999976717,902434.120000000111759,902645.900000000023283,920140.479999999981374,927972.319999999948777,889608.079999999958090,929953.570000000065193,911694.520000000018626,10141618.850000001490116
20190314,955144.279999999911524,950807.659999999916181,943306.400000000023283,922792.000000000000000,910645.920000000158325,906016.660000000032596,918900.119999999995343,928701.679999999934807,872243.759999999892898,931240.310000000055879,912105.760000000009313,10151914.549999998882413
20190315,967567.500000000000000,960708.199999999953434,948681.100000000093132,926660.799999999930151,921105.160000000032596,918855.290000000037253,919802.199999999953434,939398.959999999962747,884737.599999999976717,941534.230000000097789,919782.240000000107102,10248843.279999999329448
20190318,977443.700000000069849,960962.059999999939464,952996.000000000000000,911830.400000000023283,926637.320000000065193,912014.629999999888241,917321.479999999981374,952851.599999999860302,885372.880000000004657,932986.600000000093132,924991.280000000027940,10255417.949999999254942
20190319,969698.680000000051223,953515.500000000000000,948454.000000000000000,886683.199999999953434,923266.160000000032596,907850.750000000000000,923636.039999999920838,953499.920000000041910,895749.119999999878928,936571.090000000083819,911214.740000000107102,10210149.200000001117587
20190320,978171.419999999925494,937437.699999999953434,943987.699999999953434,886602.599999999860302,903557.840000000083819,917070.770000000018626,925552.959999999962747,952446.399999999906868,892996.239999999990687,934916.710000000079162,900248.340000000083819,10172998.679999999701977
20190321,1014193.560000000055879,946322.799999999930151,952844.599999999976717,875882.799999999930151,889295.240000000107102,924010.569999999948777,935363.080000000074506,974327.199999999953434,896807.919999999925494,941993.780000000027940,921084.500000000000000,10272136.049999998882413
20190322,993193.640000000013970,926352.479999999864958,931875.700000000069849,872417.000000000000000,862412.400000000139698,926191.650000000023283,927920.920000000041910,948637.519999999902211,886219.919999999925494,934365.250000000000000,924717.120000000111759,10134313.600000001490116
20190325,981186.260000000009313,922798.440000000060536,930361.700000000069849,868870.599999999976717,855237.880000000121072,920788.520000000018626,928597.479999999981374,953580.959999999962747,887066.959999999962747,937122.550000000046566,925059.819999999948777,10110681.170000001788139
20190326,971050.159999999916181,926690.959999999962747,939748.500000000000000,887811.599999999976717,863795.440000000060536,929512.839999999967404,935024.800000000046566,955606.959999999962747,898290.239999999990687,946865.010000000009313,925265.439999999944121,10179671.949999999254942
20190327,979782.799999999930151,922290.719999999972060,929604.700000000069849,888940.000000000000000,860856.480000000097789,929661.549999999930151,927920.920000000041910,946368.399999999906868,889819.839999999967404,945762.090000000083819,934655.419999999925494,10155672.919999999925494
20190328,981082.299999999930151,923813.879999999888241,931345.800000000046566,892405.799999999930151,870624.200000000069849,938980.709999999962747,931754.760000000009313,947665.040000000037253,895537.359999999986030,951736.239999999990687,938425.120000000111759,10203381.210000000894070
20190329,987475.839999999967404,924998.559999999939464,932557.000000000116415,894985.000000000000000,875119.080000000074506,941508.780000000027940,937843.800000000046566,955850.079999999958090,899349.039999999920838,956331.739999999990687,940207.160000000032596,10246236.080000000074506
20190401,994181.260000000009313,945307.359999999986030,945880.199999999953434,906913.800000000046566,904595.120000000111759,934023.709999999962747,939309.679999999934807,964602.399999999906868,907184.160000000032596,952563.430000000051223,946101.600000000093132,10340672.719999998807907
20190402,1008631.700000000069849,939383.959999999962747,945804.500000000116415,902480.799999999930151,908917.120000000111759,933825.429999999934807,938294.839999999967404,965980.079999999958090,908666.479999999864958,953574.440000000060536,937808.260000000009313,10343377.609999999403954
20190403,1015545.039999999920838,935660.679999999934807,937931.700000000069849,906994.399999999906868,910732.359999999986030,933825.429999999934807,937956.560000000055879,972301.199999999953434,907184.160000000032596,953022.980000000097789,936368.919999999925494,10347533.429999999701977
20190404,1017312.359999999986030,931937.400000000023283,944820.400000000023283,924968.199999999953434,912547.600000000093132,941360.069999999948777,922959.479999999981374,967357.759999999892898,905066.559999999939464,950633.320000000065193,935820.600000000093132,10354793.750000001862645
20190405,1024121.739999999990687,939045.479999999864958,957083.800000000046566,926983.199999999953434,910386.600000000093132,945523.950000000069849,915066.280000000027940,971652.880000000004657,910360.559999999939464,952655.340000000083819,934998.120000000111759,10387887.949999999254942
20190408,1040235.539999999920838,936845.359999999986030,959052.000000000116415,926660.799999999930151,913325.560000000172295,941260.929999999934807,912811.080000000074506,971977.040000000037253,913536.959999999962747,964787.460000000079162,931434.040000000037253,10411936.769999999552965
20190409,1037116.739999999990687,929652.659999999916181,950422.200000000069849,941974.799999999930151,906583.240000000107102,942401.040000000037253,911119.679999999934807,966709.439999999944121,907184.160000000032596,961938.250000000000000,926704.780000000027940,10381816.989999998360872
20190410,1042938.500000000000000,932275.879999999888241,950043.699999999953434,944392.799999999930151,910645.920000000158325,938138.020000000018626,911345.199999999953434,974084.079999999958090,904854.799999999930151,961846.340000000083819,928555.360000000102445,10399130.599999999627471
20190411,1034257.839999999967404,929652.659999999916181,953828.699999999953434,939879.199999999953434,918339.080000000074506,936452.640000000013970,900294.720000000088476,975218.639999999897555,895113.839999999967404,962765.440000000060536,934175.640000000013970,10379988.400000000372529
20190412,1033842.000000000000000,938622.379999999888241,906667.600000000093132,1048366.799999999930151,961386.200000000069849,949935.679999999934807,895671.560000000055879,980243.119999999995343,883255.279999999911524,965614.650000000023283,944045.400000000023283,10507660.669999999925494
20190415,1035713.279999999911524,935406.819999999948777,909544.200000000069849,1064325.599999999860302,950408.320000000065193,951174.929999999934807,885523.160000000032596,981053.519999999902211,891302.160000000032596,971772.620000000111759,937671.179999999934807,10513905.789999999105930
20190416,1035817.239999999990687,946830.519999999902211,917341.300000000046566,1047077.199999999953434,960435.359999999986030,950431.379999999888241,874585.440000000060536,978784.399999999906868,866526.239999999990687,978114.410000000032596,948294.880000000004657,10504248.370000001043081
20190417,1055985.479999999981374,945815.079999999958090,910528.300000000046566,1061988.199999999953434,988096.160000000032596,949985.250000000000000,833540.800000000046566,986888.399999999906868,844503.199999999953434,972875.540000000037253,931365.500000000000000,10481581.910000000149012
20190418,1059780.020000000018626,961977.500000000000000,907424.599999999976717,1067630.199999999953434,980835.200000000069849,966343.349999999976717,825309.319999999948777,999854.799999999930151,833915.199999999953434,974713.739999999990687,952338.740000000107102,10530132.669999999925494
20190422,1063262.679999999934807,950638.419999999925494,922867.400000000023283,1061424.000000000000000,982045.359999999986030,961435.919999999925494,828353.839999999967404,1003015.359999999986030,825444.799999999930151,974346.100000000093132,936437.460000000079162,10509281.340000001713634
20190423,1078596.780000000027940,964516.099999999976717,923775.800000000046566,1074964.800000000046566,983255.520000000018626,968078.299999999930151,841208.479999999981374,1016630.079999999958090,834762.239999999990687,948151.750000000000000,946033.059999999939464,10579982.910000000149012
20190424,1076933.419999999925494,964939.199999999953434,895464.000000000000000,1088989.199999999953434,981613.160000000032596,979826.390000000013970,842674.360000000102445,1013145.359999999986030,833703.439999999944121,953022.980000000097789,954052.240000000107102,10584373.750000001862645
20190425,1067161.179999999934807,980678.519999999902211,892587.400000000023283,1106237.600000000093132,982131.800000000046566,981313.489999999990687,860828.720000000088476,1046695.920000000041910,838785.679999999934807,949254.670000000041910,954120.780000000027940,10659805.759999999776483
20190426,1062067.140000000130385,995233.159999999916181,886531.400000000023283,1127838.399999999906868,989565.640000000013970,978785.419999999925494,864098.760000000009313,1052692.879999999888241,846409.039999999920838,972967.450000000069849,961317.480000000097789,10737516.769999999552965
20190429,1063678.520000000018626,988125.079999999958090,891224.800000000046566,1122841.199999999953434,1003828.240000000107102,977298.319999999948777,865790.160000000032596,1051720.399999999906868,838362.160000000032596,963041.170000000041910,969679.360000000102445,10735599.410000000149012
20190430,1043198.399999999906868,992102.219999999972060,908938.600000000093132,1104061.399999999906868,1003223.160000000032596,979528.969999999972060,887552.839999999967404,1058446.719999999739230,859961.679999999934807,978665.870000000111759,985375.020000000018626,10801064.879999998956919
20190501,1094398.699999999953434,990325.199999999953434,891906.100000000093132,1099306.000000000000000,995530.000000000000000,962675.169999999925494,887665.599999999976717,1036403.839999999967404,863349.839999999967404,964419.820000000065193,980782.840000000083819,10766773.109999999403954
20190502,1087277.439999999944121,992271.459999999962747,881081.000000000000000,1081251.599999999860302,997691.000000000000000,964856.250000000000000,896686.399999999906868,1022870.159999999916181,868432.079999999958090,970210.150000000023283,978178.319999999948777,10740815.860000001266599
20190503,1100792.239999999990687,1010041.659999999916181,887818.300000000046566,1082783.000000000000000,1003828.240000000107102,979281.119999999995343,902098.880000000004657,1044669.920000000041910,876478.959999999962747,974989.470000000088476,982633.419999999925494,10845425.210000000894070
20190506,1083794.780000000027940,1009957.040000000037253,896372.400000000023283,1088183.199999999953434,994924.920000000158325,986121.780000000027940,896235.360000000102445,1038591.920000000041910,881984.719999999972060,971313.070000000065193,983181.740000000107102,10830670.930000001564622
20190507,1054582.020000000018626,1000479.599999999976717,895388.300000000046566,1075609.599999999860302,978674.200000000069849,981858.759999999892898,878419.280000000027940,1017278.399999999906868,864620.399999999906868,962305.890000000130385,971392.860000000102445,10680619.310000000521541
20190508,1054789.939999999944121,994302.339999999967404,889559.400000000023283,1088102.600000000093132,973487.800000000046566,981809.189999999944121,881576.560000000055879,1017197.359999999986030,867161.520000000018626,965706.560000000055879,970159.140000000013970,10683862.410000002011657
20190509,1043458.299999999930151,992356.079999999958090,917492.699999999953434,1076818.600000000093132,972709.840000000083819,980322.089999999967404,883267.959999999962747,1017116.319999999948777,860596.959999999962747,958078.030000000027940,972215.340000000083819,10674442.220000000670552
20190510,1025057.380000000004657,1002510.479999999864958,923548.699999999953434,1080445.599999999860302,972623.400000000139698,991524.910000000032596,881689.319999999948777,1030325.839999999967404,862291.039999999920838,974346.100000000093132,986814.360000000102445,10731187.129999998956919
20190513,965488.299999999930151,980847.760000000009313,911815.199999999953434,1058683.600000000093132,946172.760000000125729,986766.189999999944121,870187.800000000046566,999692.719999999855645,859114.639999999897555,975265.200000000069849,983044.660000000032596,10537088.830000000074506
20190514,980770.419999999925494,990240.579999999958090,920899.200000000069849,1073675.199999999953434,953693.040000000037253,981710.049999999930151,873006.800000000046566,1010876.239999999990687,861020.479999999864958,970577.790000000037253,998808.860000000102445,10615288.660000000149012
20190515,992517.899999999906868,995740.879999999888241,924684.200000000069849,1085604.000000000000000,950062.560000000172295,986964.469999999972060,874472.679999999934807,1021330.399999999906868,871396.719999999972060,980687.890000000130385,1004360.600000000093132,10687832.300000000745058
20190516,988151.580000000074506,1014188.040000000037253,914540.400000000023283,1092213.199999999953434,962250.600000000093132,991524.910000000032596,892288.760000000009313,1044913.040000000037253,881772.959999999962747,993647.200000000069849,1010460.660000000032596,10785961.349999999627471
20190517,982537.739999999990687,1007672.299999999930151,912420.800000000046566,1088505.599999999860302,957582.840000000083819,987708.020000000018626,887665.599999999976717,1037943.599999999860302,878173.039999999920838,987581.140000000130385,1011008.980000000097789,10738809.659999998286366
20190520,951817.560000000055879,1014188.040000000037253,914843.200000000069849,1079397.799999999813735,962596.359999999986030,986567.910000000032596,889469.760000000009313,1022951.199999999953434,880714.160000000032596,986478.220000000088476,1015669.699999999953434,10704703.910000000149012
20190521,970062.539999999920838,1020196.059999999939464,918628.200000000069849,1080848.600000000093132,965881.080000000074506,990781.359999999986030,896460.880000000004657,1028461.920000000041910,882408.239999999990687,977654.860000000102445,1010871.900000000023283,10742265.640000000596046
20190522,950206.180000000051223,1015626.579999999958090,912799.299999999930151,1078914.199999999953434,958015.040000000037253,991376.200000000069849,913149.360000000102445,1034702.000000000000000,889184.559999999939464,980871.710000000079162,1014230.360000000102445,10739085.490000000223517
20190523,933988.419999999925494,1002256.619999999995343,892360.300000000046566,1069886.999999999767169,939171.120000000111759,986468.770000000018626,913600.399999999906868,1022627.040000000037253,887702.239999999990687,981239.350000000093132,1007239.280000000027940,10636550.539999999105930
20190524,930401.799999999930151,1011395.579999999958090,898719.099999999976717,1070370.599999999860302,948420.200000000069849,980520.369999999995343,915291.800000000046566,1023113.279999999911524,888337.520000000018626,980595.980000000097789,1014093.280000000027940,10661269.509999999776483
20190528,926555.279999999911524,1000056.500000000000000,895691.100000000093132,1069000.399999999906868,938133.840000000083819,975067.669999999925494,905030.640000000013970,1022464.959999999962747,887278.719999999972060,960100.050000000046566,1002715.640000000013970,10582104.800000000745058
20190529,922136.979999999981374,990240.579999999958090,884033.300000000046566,1060537.399999999906868,935540.640000000013970,971845.619999999995343,894882.239999999990687,1012578.079999999958090,883467.039999999920838,957618.480000000097789,994422.299999999930151,10507312.660000002011657
20190530,926919.140000000013970,987955.839999999967404,873511.000000000000000,1065615.199999999953434,925513.600000000093132,987807.160000000032596,898490.560000000055879,1018980.239999999990687,887278.719999999972060,968096.220000000088476,998945.939999999944121,10539123.620000001043081
20190531,910129.599999999976717,970777.979999999864958,861928.900000000023283,1064325.599999999860302,916005.200000000069849,982998.869999999995343,893190.839999999967404,1002367.040000000037253,879231.839999999967404,945854.000000000000000,997849.299999999930151,10424669.170000001788139
