訓練日期,20180110 - 20180413
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10122561.620000001043081
真實報酬,122561.620000001043081

夏普值報酬,0.003556162000000
夏普值風險,0.021872236521906
夏普值,0.162587945518896

預期報酬,3731.948439118140868
風險,259598.837370547029423
趨勢值,0.014375828786133
找到最佳解世代,86
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](12),BA[2](6),CAT[3](22),CSCO[4](2),INTC[11](1),JNJ[12](25),JPM[13](7),NKE[19](4),TRV[22](5),UTX[24](14),V[25](8),
20180123,923219.939999999827705,958064.640000000013970,925476.000000000000000,964288.640000000130385,959942.040000000153668,894523.140000000130385,952103.760000000009313,952351.199999999953434,1003716.979999999981374,921005.199999999953434,951371.280000000027940,10406072.819999998435378
20180124,908516.459999999846332,955496.040000000037253,919522.420000000041910,965891.920000000158325,948479.489999999990687,896036.579999999958090,964274.320000000065193,964549.439999999944121,1013049.300000000046566,918635.700000000069849,950608.079999999958090,10405069.750000000000000
20180125,892300.919999999925494,979526.720000000088476,925148.280000000027940,959707.840000000083819,944102.880000000004657,910729.560000000055879,964524.400000000139698,960436.079999999841675,1018882.000000000000000,932649.599999999976717,955721.520000000018626,10443739.799999998882413
20180126,894386.519999999785796,979840.660000000149012,912531.059999999939464,974824.480000000214204,1043722.859999999986030,916594.140000000130385,969692.719999999972060,965116.800000000046566,1025400.899999999906868,934206.699999999953434,964116.719999999972060,10580443.560000000521541
20180129,875876.819999999948777,972991.060000000055879,888061.300000000046566,981466.640000000130385,1041638.760000000009313,906189.240000000107102,968692.400000000139698,958592.159999999916181,1022244.380000000004657,925337.999999999883585,952821.359999999986030,10493922.120000001043081
20180130,870714.959999999846332,964115.119999999995343,894506.459999999962747,967724.240000000107102,1016837.970000000088476,898306.740000000107102,959606.160000000032596,955046.159999999916181,1020597.500000000000000,924187.099999999976717,942976.079999999958090,10414628.490000000223517
20180131,873113.399999999906868,1011662.760000000009313,889153.699999999953434,951462.400000000139698,1003291.320000000065193,871569.300000000046566,964274.320000000065193,967669.919999999925494,1028831.899999999906868,934409.799999999930151,948165.839999999967404,10443614.660000000149012
20180201,874938.299999999930151,1018997.540000000037253,886204.219999999972060,955127.040000000153668,993079.230000000097789,883109.280000000144355,974277.520000000135042,959585.040000000037253,1029380.859999999986030,936508.499999999883585,959537.520000000018626,10470755.050000000745058
20180202,836980.379999999888241,996079.920000000041910,860259.719999999972060,937490.960000000079162,961817.730000000097789,868353.240000000107102,952687.280000000027940,953485.919999999925494,1015313.759999999892898,911391.800000000046566,922827.599999999976717,10216698.310000000521541
20180205,816072.239999999990687,938914.300000000046566,825248.300000000046566,888247.360000000102445,927846.900000000139698,822382.500000000000000,907006.000000000000000,913345.199999999953434,971191.100000000093132,861496.899999999906868,887415.119999999995343,9759175.919999999925494
20180206,850171.799999999930151,973247.920000000041910,854360.759999999892898,920083.920000000158325,935974.890000000013970,831463.140000000130385,934598.160000000032596,925117.919999999925494,966593.559999999939464,878895.800000000046566,915653.520000000018626,9986171.389999998733401
20180207,831974.939999999827705,993825.260000000009313,843054.420000000041910,923977.600000000209548,942018.780000000144355,828877.679999999934807,940933.520000000135042,930933.359999999869615,975445.539999999920838,893519.000000000000000,913211.280000000027940,10017781.380000000819564
20180208,809085.479999999864958,941140.420000000041910,797446.719999999972060,888018.320000000181608,890958.330000000074506,796969.320000000065193,899336.880000000004657,886395.599999999976717,926519.479999999981374,863121.699999999953434,869022.000000000000000,9568024.250000000000000
20180209,815655.119999999878928,950187.599999999976717,815034.359999999986030,905425.360000000102445,915967.530000000144355,816959.340000000083819,917342.640000000130385,928947.599999999860302,940723.820000000065193,846535.199999999953434,887796.719999999972060,9740585.289999999105930
20180212,848503.319999999948777,981495.980000000097789,831857.319999999948777,929932.640000000130385,934307.609999999986030,821625.780000000144355,931513.840000000083819,935897.760000000009313,947997.539999999920838,862444.699999999953434,904205.520000000018626,9929792.009999999776483
20180213,857002.139999999897555,979669.420000000041910,841033.479999999981374,944362.160000000032596,926596.440000000060536,819670.920000000041910,937265.680000000167638,934337.520000000018626,951016.820000000065193,851545.000000000000000,903289.679999999934807,9945799.259999999776483
20180214,872800.559999999939464,984492.680000000051223,863373.059999999939464,964059.600000000209548,945770.160000000149012,817842.179999999934807,958939.280000000027940,963982.079999999841675,964878.059999999939464,857841.099999999976717,922217.039999999920838,10116205.799999998882413
20180215,902103.239999999990687,1017627.619999999995343,873860.099999999860302,1009638.560000000055879,957024.300000000162981,827679.539999999920838,962940.560000000055879,968662.800000000046566,966799.419999999925494,880182.099999999976717,933283.439999999944121,10299811.679999999701977
20180216,899183.399999999906868,1013574.940000000060536,853705.319999999948777,1015364.560000000055879,949521.540000000153668,839787.060000000055879,956021.680000000167638,968804.639999999897555,968720.779999999911524,875172.299999999930151,930001.679999999934807,10269867.900000000372529
20180220,896159.279999999911524,1008751.680000000051223,849718.059999999939464,1009180.480000000214204,965360.700000000069849,825409.380000000004657,956271.760000000009313,957315.599999999860302,954379.199999999953434,856216.299999999930151,931222.800000000046566,10209995.240000000223517
20180221,892092.359999999869615,1005954.760000000009313,847915.599999999860302,992002.480000000214204,957441.119999999995343,819355.619999999995343,960273.040000000037253,951074.639999999897555,950742.339999999967404,875172.299999999930151,919164.239999999990687,10171198.500000000000000
20180222,899548.379999999888241,1016086.460000000079162,867742.660000000032596,983528.000000000000000,954523.380000000004657,819355.619999999995343,958522.480000000097789,952209.359999999869615,944566.539999999920838,904418.700000000069849,918782.639999999897555,10219294.219999998807907
20180223,915190.379999999888241,1018198.420000000041910,887132.759999999892898,1007806.240000000107102,994746.510000000009313,832661.280000000144355,977945.360000000102445,966818.879999999888241,958976.739999999990687,901507.599999999976717,938244.239999999990687,10399238.410000000149012
20180226,933282.959999999846332,1037662.700000000069849,894124.119999999995343,1038955.680000000051223,1023507.090000000083819,832976.579999999958090,990115.920000000041910,987953.040000000037253,978464.820000000065193,917214.000000000000000,950913.359999999986030,10585180.269999999552965
20180227,930258.839999999850988,1040973.339999999967404,880851.459999999962747,1031626.400000000139698,1040179.890000000013970,830454.179999999934807,978362.160000000032596,964974.959999999962747,971328.339999999967404,906652.799999999930151,941602.320000000065193,10517274.690000001341105
20180228,928851.059999999939464,1034038.119999999995343,844638.399999999906868,1025671.360000000102445,1027258.470000000088476,819166.440000000060536,962857.200000000069849,950790.959999999962747,953898.859999999986030,912271.900000000023283,938320.559999999939464,10397773.330000001937151
20180301,912583.379999999888241,998306.040000000037253,820605.599999999860302,1003225.440000000060536,997039.020000000135042,802770.840000000083819,945601.680000000167638,940720.319999999832362,953693.000000000000000,882213.100000000093132,918935.280000000027940,10175703.699999999254942
20180302,918892.319999999948777,983978.960000000079162,799576.899999999906868,1009180.480000000214204,1020797.760000000009313,812482.079999999958090,944684.719999999972060,934621.199999999953434,946213.419999999925494,879775.899999999906868,921759.119999999995343,10171972.859999999403954
20180305,922072.859999999869615,1007039.280000000027940,825466.780000000027940,1019716.320000000181608,1036845.330000000074506,818598.900000000023283,959189.360000000102445,922706.639999999897555,957878.820000000065193,891758.800000000046566,930230.639999999897555,10291513.730000002309680
20180306,921290.759999999776483,996108.460000000079162,839831.839999999967404,1014448.400000000139698,1056852.690000000176951,808698.479999999981374,960022.960000000079162,925401.599999999860302,970299.039999999920838,891081.800000000046566,923972.400000000023283,10308018.430000001564622
20180307,912739.799999999930151,990742.940000000060536,827596.959999999962747,1012387.040000000153668,1069565.700000000186265,813869.400000000023283,956438.480000000097789,910224.719999999972060,953075.419999999925494,886478.200000000069849,930001.679999999934807,10263130.339999999850988
20180308,922698.539999999920838,995566.200000000069849,838957.920000000041910,1015593.600000000209548,1057477.920000000158325,832913.520000000018626,956521.840000000083819,923557.679999999934807,958496.399999999906868,888712.299999999930151,932825.520000000018626,10323331.440000001341105
20180309,938549.099999999860302,1012090.859999999986030,864410.839999999967404,1039184.720000000088476,1087697.370000000111759,843885.960000000079162,984030.640000000130385,940436.639999999897555,976543.460000000079162,907735.999999999883585,950302.800000000046566,10544878.390000000596046
20180312,947621.459999999846332,982609.040000000037253,843928.339999999967404,1043307.440000000060536,1073733.900000000139698,836507.940000000060536,980862.960000000079162,947812.319999999832362,970985.239999999990687,890337.099999999976717,948242.159999999916181,10465957.900000000372529
20180313,938496.959999999846332,966854.960000000079162,839504.119999999995343,1034374.880000000004657,1079152.560000000055879,847354.260000000009313,969109.200000000069849,938592.719999999972060,965495.640000000013970,881197.599999999976717,940304.880000000004657,10400447.780000001192093
20180314,930519.539999999920838,942852.819999999948777,833222.819999999948777,1037123.360000000102445,1080819.840000000083819,834553.079999999958090,958272.400000000139698,939018.239999999990687,957467.100000000093132,877338.700000000069849,935573.039999999920838,10326770.939999999478459
20180315,931614.479999999864958,942053.700000000069849,844310.679999999934807,1038268.560000000055879,1060395.660000000149012,839219.520000000018626,960689.840000000083819,941713.199999999953434,963986.000000000000000,875104.599999999976717,941907.599999999976717,10339273.839999999850988
20180316,928329.659999999916181,943452.160000000149012,854633.859999999986030,1030939.280000000027940,1066439.550000000046566,843129.240000000107102,962357.040000000037253,934904.879999999888241,969818.699999999953434,868876.200000000069849,950455.439999999944121,10353346.009999997913837
20180319,914147.579999999958090,947133.819999999948777,831092.640000000013970,1013990.320000000181608,1059353.610000000102445,821436.600000000093132,954771.280000000027940,932068.079999999841675,960898.100000000093132,861226.099999999976717,940381.199999999953434,10236509.330000000074506
20180320,913834.739999999990687,963886.800000000046566,841525.059999999939464,1016280.720000000088476,1074359.130000000121072,827553.420000000041910,955688.240000000107102,947528.639999999897555,970916.619999999878928,860955.299999999930151,953355.599999999976717,10325894.269999999552965
20180321,893135.159999999916181,962374.180000000051223,851028.940000000060536,1014906.480000000214204,1074567.540000000037253,827427.300000000046566,956521.840000000083819,941145.839999999850988,968309.059999999939464,859872.099999999976717,940457.520000000018626,10289755.959999999031425
20180322,880517.279999999911524,912457.720000000088476,802417.140000000013970,986505.520000000135042,1059353.610000000102445,803401.440000000060536,916592.400000000139698,913770.719999999972060,948066.160000000032596,840035.999999999883585,915806.159999999916181,9978934.150000000372529
20180323,860130.539999999920838,916424.780000000027940,788161.319999999948777,971617.920000000158325,1028717.340000000083819,789023.760000000009313,892084.560000000055879,916749.359999999869615,925764.660000000032596,828120.800000000046566,892986.479999999981374,9809791.519999999552965
20180326,900956.159999999916181,939171.160000000149012,814925.119999999995343,1009180.480000000214204,1093741.260000000009313,803464.500000000000000,919593.360000000102445,934763.040000000037253,948546.500000000000000,857434.900000000023283,920766.959999999962747,10142553.440000001341105
20180327,877858.139999999897555,916767.260000000009313,802908.719999999972060,977572.960000000079162,1066856.370000000111759,802329.420000000041910,901754.320000000065193,938592.719999999972060,938459.359999999986030,848227.699999999953434,896039.280000000027940,9967376.250000000000000
20180328,868160.099999999860302,913627.859999999986030,792913.259999999892898,954210.880000000004657,1033719.180000000051223,803842.860000000102445,900337.200000000069849,928238.399999999906868,952457.839999999967404,842608.599999999976717,892910.159999999916181,9883036.339999999850988
20180329,874938.299999999930151,936060.300000000046566,805038.899999999906868,982382.800000000162981,1085404.860000000102445,808257.060000000055879,916759.120000000111759,942422.399999999906868,952938.180000000051223,851883.499999999883585,912982.320000000065193,10069077.740000000223517
20180402,869202.899999999906868,920534.540000000037253,785976.519999999902211,939323.280000000027940,1019547.300000000162981,785618.520000000018626,899086.800000000046566,909515.520000000018626,925352.940000000060536,836041.699999999953434,903594.959999999962747,9793804.980000000447035
20180403,878118.839999999850988,944451.060000000055879,792367.059999999939464,947797.760000000125729,1036845.330000000074506,809518.260000000009313,911424.080000000074506,946110.239999999990687,940106.239999999990687,845722.799999999930151,909776.880000000004657,9962248.550000002607703
20180404,894907.919999999925494,934804.540000000037253,793022.500000000000000,943675.040000000153668,1041847.170000000158325,822508.619999999995343,925261.840000000083819,970506.719999999972060,951359.919999999925494,851545.000000000000000,914432.400000000023283,10043881.669999999925494
20180405,901112.579999999958090,960376.380000000004657,809135.399999999906868,957875.520000000135042,1049975.160000000149012,824400.420000000041910,932680.880000000004657,987102.000000000000000,955888.839999999967404,851477.300000000046566,924964.559999999939464,10154999.040000000968575
20180406,878066.699999999837019,931037.260000000009313,781060.719999999972060,932910.160000000032596,1016837.970000000088476,807941.760000000009313,909423.440000000060536,958166.639999999897555,941890.359999999986030,831167.300000000046566,898328.880000000004657,9886841.190000001341105
20180409,886774.079999999958090,920648.700000000069849,781552.300000000046566,942987.920000000158325,1032677.130000000004657,816644.039999999920838,920343.600000000093132,952918.560000000055879,941753.119999999878928,827511.500000000000000,906647.760000000009313,9930468.709999999031425
20180410,903458.879999999888241,955895.599999999976717,808916.920000000041910,973679.280000000027940,1068523.650000000139698,821499.660000000032596,937932.560000000055879,950365.439999999944121,946076.180000000051223,832521.299999999930151,921377.520000000018626,10120256.990000000223517
20180411,899235.539999999920838,934576.220000000088476,801816.319999999948777,971846.960000000079162,1064980.680000000167638,817589.940000000060536,922177.520000000135042,947954.159999999916181,937361.440000000060536,829068.599999999976717,914203.439999999944121,10040820.820000002160668
20180412,908099.339999999850988,963458.700000000069849,820114.019999999902211,992689.600000000209548,1098743.100000000093132,822634.740000000107102,945101.520000000135042,961287.119999999878928,942164.839999999967404,834484.599999999976717,924048.719999999972060,10212836.300000000745058
20180413,911175.599999999860302,940055.899999999906868,820605.599999999860302,984902.240000000107102,1080819.840000000083819,823832.880000000004657,919510.000000000000000,953911.439999999944121,935302.839999999967404,830828.799999999930151,921606.479999999981374,10122561.620000001043081
