訓練日期,20141008 - 20150109
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11158400.500000000000000
真實報酬,1158400.500000000000000

夏普值報酬,0.107140050000000
夏普值風險,0.041744051166725
夏普值,2.566594448921206

預期報酬,21022.464634068226587
風險,188291.121962536883075
趨勢值,0.111648729982346
找到最佳解世代,34
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](17),GS[8](18),HD[9](7),INTC[11](16),JPM[13](21),PFE[20](9),PG[21](5),UNH[23](3),V[25](6),WBA[27](1),XOM[29](25),
20141020,916387.290000000037253,879611.839999999967404,902994.780000000027940,857755.710000000079162,868597.680000000051223,881934.640000000013970,920239.620000000111759,956061.300000000046566,908216.050000000046566,914559.119999999995343,893512.399999999906868,9899880.429999999701977
20141021,937099.800000000046566,891185.479999999981374,926097.630000000121072,885731.540000000037253,888537.079999999958090,892986.240000000107102,924939.950000000069849,982084.479999999981374,932162.280000000027940,935068.319999999948777,911816.079999999958090,10107718.880000000819564
20141022,895306.230000000097789,874616.380000000004657,917642.970000000088476,876496.800000000162981,881174.840000000083819,893617.760000000125729,920786.170000000041910,969342.839999999967404,921674.880000000004657,934308.719999999972060,906753.359999999869615,9991730.949999999254942
20141023,899581.410000000032596,890591.959999999962747,931996.229999999981374,887904.420000000041910,890531.020000000018626,903090.560000000172295,909855.170000000041910,978953.059999999939464,936357.240000000107102,942968.160000000032596,916294.639999999897555,10088133.870000001043081
20141024,901129.319999999948777,906864.299999999930151,933864.119999999995343,901213.310000000055879,900960.859999999986030,919194.320000000065193,930952.000000000000000,989535.099999999976717,932861.440000000060536,951779.519999999902211,919994.319999999832362,10188358.610000001266599
20141027,900244.800000000046566,909634.059999999939464,938583.000000000000000,901756.530000000144355,899427.060000000055879,916668.240000000107102,939587.490000000107102,994826.119999999995343,932511.860000000102445,958767.839999999967404,912400.239999999874271,10204417.240000002086163
20141028,911227.589999999967404,921553.919999999925494,949593.720000000088476,916423.470000000088476,914611.680000000051223,918562.800000000046566,945271.609999999986030,1000333.099999999976717,947019.430000000051223,967731.119999999995343,925933.279999999911524,10318271.719999998807907
20141029,907320.959999999962747,920366.880000000004657,947922.450000000069849,921312.450000000069849,909396.760000000009313,931193.200000000069849,946036.780000000144355,1003788.459999999962747,938105.140000000130385,954514.079999999958090,920967.919999999925494,10300935.080000000074506
20141030,912775.500000000000000,924768.819999999948777,958736.550000000046566,884916.710000000079162,910930.560000000055879,942244.800000000046566,950409.180000000051223,1013722.619999999995343,1034064.849999999976717,956489.040000000037253,919604.880000000004657,10408673.509999999776483
20141031,920809.890000000013970,939705.739999999990687,958736.550000000046566,923756.940000000060536,927648.979999999981374,945718.160000000032596,954016.410000000032596,1025924.360000000102445,1055039.649999999906868,975630.959999999962747,941608.239999999874271,10568605.880000000819564
20141103,929065.410000000032596,943860.380000000004657,944678.220000000088476,931905.240000000107102,933784.180000000051223,953296.400000000139698,955218.819999999948777,1024304.660000000032596,1055564.020000000018626,987176.880000000004657,927491.040000000037253,10586355.250000003725290
20141104,927664.920000000041910,941090.619999999995343,943400.189999999944121,938152.270000000018626,924121.239999999990687,956138.240000000107102,968991.880000000004657,1025600.420000000041910,1061681.669999999925494,991126.799999999930151,920286.399999999906868,10598264.650000000372529
20141105,915723.900000000023283,938963.839999999967404,941630.610000000102445,916966.690000000060536,937925.439999999944121,948560.000000000000000,972927.040000000037253,1034454.780000000027940,1090347.229999999981374,997507.439999999944121,925641.199999999837019,10620658.169999999925494
20141106,918377.459999999962747,944701.199999999953434,956475.420000000158325,918596.350000000093132,939152.479999999981374,948560.000000000000000,971833.940000000060536,1038881.959999999962747,1092794.290000000037253,1012547.520000000018626,937227.040000000037253,10679157.660000000149012
20141107,917419.230000000097789,943266.859999999986030,960014.580000000074506,912077.710000000079162,942833.599999999976717,944770.880000000121072,974348.069999999948777,1010807.160000000032596,1103106.899999999906868,1016649.359999999986030,940439.919999999925494,10665744.269999999552965
20141110,918819.720000000088476,948658.000000000000000,965028.390000000013970,903386.190000000060536,949889.079999999958090,953612.160000000032596,977845.990000000107102,1023116.880000000004657,1093318.660000000149012,1029714.479999999981374,937421.759999999892898,10700821.310000000521541
20141111,924126.839999999967404,949053.679999999934807,964831.770000000018626,904744.240000000107102,941299.799999999930151,957401.280000000144355,980250.810000000055879,1033267.000000000000000,1091221.180000000167638,1025460.719999999972060,938687.439999999944121,10710354.759999999776483
20141112,927886.050000000046566,940645.479999999981374,968272.619999999995343,906645.510000000125729,928876.020000000018626,960558.880000000121072,978173.920000000041910,1033159.020000000135042,1101009.419999999925494,1024549.199999999953434,928659.359999999869615,10698445.479999998584390
20141113,947492.910000000032596,940942.239999999990687,973286.430000000051223,914793.810000000055879,923814.479999999981374,960558.880000000121072,968554.640000000013970,1035534.580000000074506,1096464.879999999888241,1017257.039999999920838,921649.439999999944121,10700359.329999998211861
20141114,949925.340000000083819,939656.279999999911524,965814.869999999995343,922127.280000000144355,924581.380000000004657,958032.800000000046566,963198.450000000069849,1027004.160000000032596,1087375.800000000279397,1016801.280000000027940,925835.919999999925494,10680363.560000000521541
20141117,946682.099999999976717,939408.979999999981374,963750.360000000102445,930003.970000000088476,926115.180000000051223,957401.280000000144355,960247.080000000074506,1041689.439999999944121,1091570.760000000242144,1011028.319999999948777,926030.639999999897555,10693938.110000001266599
20141118,963193.140000000013970,937974.639999999897555,943596.810000000055879,942769.640000000130385,928415.880000000004657,965926.800000000046566,961449.490000000107102,1060262.000000000000000,1091221.180000000167638,1033968.239999999990687,923694.000000000000000,10752481.820000000298023
20141119,970195.590000000083819,935748.939999999944121,950675.130000000121072,932991.680000000167638,929489.540000000037253,961190.400000000139698,969975.670000000041910,1045900.660000000032596,1091920.339999999850988,1029866.400000000023283,930898.639999999897555,10748862.990000002086163
20141120,970858.979999999981374,938518.699999999953434,959228.099999999976717,976449.280000000144355,922127.299999999930151,961190.400000000139698,967133.609999999986030,1045792.679999999934807,1099785.890000000130385,1023030.000000000000000,932943.199999999837019,10797068.140000000596046
20141121,978819.660000000032596,937727.339999999967404,966208.110000000102445,966671.320000000181608,927188.840000000083819,961506.160000000032596,968554.640000000013970,1044280.959999999962747,1110972.450000000186265,1026828.000000000000000,942581.839999999967404,10831349.320000000298023
20141124,992308.590000000083819,940101.419999999925494,967387.830000000074506,984597.580000000074506,935011.219999999972060,954243.680000000051223,963198.450000000069849,1046332.580000000074506,1112720.350000000093132,1028954.880000000004657,931969.599999999976717,10856836.179999999701977
20141125,993782.790000000037253,934116.760000000009313,953722.740000000107102,986498.850000000093132,924888.139999999897555,962137.680000000051223,970740.839999999967404,1057130.580000000074506,1124256.489999999757856,1030170.239999999990687,922817.759999999892898,10860272.869999999180436
20141126,993561.660000000032596,932435.119999999995343,960506.130000000121072,1002252.229999999981374,925501.660000000032596,982030.560000000172295,971615.319999999948777,1059398.160000000149012,1124256.489999999757856,1040196.959999999962747,919896.959999999962747,10911661.250000000000000
20141128,990465.840000000083819,931891.059999999939464,977218.830000000074506,1011758.580000000074506,922740.819999999948777,983609.359999999986030,988558.370000000111759,1065013.120000000111759,1128276.660000000149012,1042323.839999999967404,881537.119999999995343,10923403.599999999627471
20141201,975944.969999999972060,930852.399999999906868,972106.709999999962747,1009585.700000000069849,920286.739999999990687,987082.720000000088476,984732.520000000018626,1069656.260000000242144,1128101.870000000111759,1029562.559999999939464,899159.279999999911524,10907081.730000000447035
20141202,975134.160000000032596,940694.939999999944121,965028.390000000013970,1021264.930000000167638,936851.779999999911524,996871.280000000144355,995554.209999999962747,1077970.720000000204891,1136142.209999999962747,1014066.719999999972060,917073.519999999902211,10976662.860000001266599
20141203,972849.150000000023283,944453.899999999906868,969255.720000000088476,1016647.560000000055879,943907.260000000009313,1002554.960000000079162,983858.040000000037253,1088444.779999999795109,1143133.810000000055879,1023637.679999999934807,924472.880000000004657,11013225.740000000223517
20141204,968058.000000000000000,949399.899999999906868,972794.880000000121072,1017462.390000000130385,941453.180000000051223,1000028.880000000121072,990198.020000000018626,1076243.040000000037253,1141211.120000000111759,1031537.520000000018626,918826.000000000000000,11007222.929999999701977
20141205,974618.190000000060536,966710.899999999906868,979578.270000000018626,1023166.200000000069849,961699.340000000083819,1010133.200000000069849,988011.819999999948777,1083369.720000000204891,1150824.570000000298023,1042171.919999999925494,913471.199999999837019,11093765.330000000074506
20141208,960392.160000000032596,972497.719999999972060,987344.760000000125729,1010400.530000000144355,961239.200000000069849,1009501.680000000051223,992165.600000000093132,1078942.540000000037253,1149775.830000000074506,1028954.880000000004657,892830.880000000004657,11044055.780000001192093
20141209,955822.140000000013970,973833.139999999897555,979578.270000000018626,1001980.620000000111759,957864.840000000083819,1008870.160000000032596,991619.049999999930151,1090820.339999999850988,1154320.370000000111759,1042020.000000000000000,889715.359999999869615,11046454.289999999105930
20141210,918819.720000000088476,949647.199999999953434,972696.570000000065193,989214.950000000069849,930716.579999999958090,1006028.320000000065193,983858.040000000037253,1069980.200000000186265,1143658.180000000167638,1035335.520000000018626,863330.799999999930151,10863296.080000001937151
20141211,909458.550000000046566,957264.039999999920838,985771.800000000046566,996820.030000000144355,937772.060000000055879,999397.359999999986030,988339.750000000000000,1076890.919999999925494,1149775.830000000074506,1109168.640000000130385,868490.880000000004657,10979159.860000001266599
20141212,890293.949999999953434,933918.919999999925494,980954.610000000102445,984054.359999999986030,920900.260000000009313,977294.160000000032596,978939.089999999967404,1066416.859999999869615,1121984.220000000204891,1131804.719999999972060,843177.279999999911524,10829748.429999999701977
20141215,899949.959999999962747,917696.039999999920838,983608.979999999981374,975634.450000000069849,907402.819999999948777,974452.320000000065193,975113.240000000107102,1061125.839999999850988,1121809.430000000167638,1115701.199999999953434,846098.079999999958090,10778602.359999999403954
20141216,915945.030000000027940,906666.459999999962747,954214.290000000037253,965856.490000000107102,896206.079999999958090,968452.880000000121072,976862.200000000069849,1034994.679999999934807,1107301.860000000335276,1099749.600000000093132,841327.439999999944121,10667587.009999999776483
20141217,921915.540000000037253,915173.579999999958090,972696.570000000065193,984325.970000000088476,916759.000000000000000,982662.080000000074506,991509.740000000107102,1070520.100000000093132,1132122.040000000037253,1093672.799999999813735,866738.399999999906868,10848105.820000002160668
20141218,926411.850000000093132,947718.260000000009313,989704.200000000069849,1005511.550000000162981,942986.979999999981374,1009501.680000000051223,1005720.040000000037253,1103993.899999999906868,1154320.370000000111759,1129981.679999999934807,887573.439999999944121,11103433.949999997392297
20141219,930539.610000000102445,955978.079999999958090,1002091.260000000125729,987856.900000000023283,949889.079999999958090,1008554.400000000139698,1006266.589999999967404,1106693.399999999906868,1143483.390000000130385,1112510.880000000121072,911718.719999999972060,11115592.310000002384186
20141222,945207.900000000023283,961715.439999999944121,1017525.930000000051223,1010672.140000000130385,950042.459999999962747,1013290.800000000162981,1012278.640000000013970,1112632.300000000279397,1154495.160000000149012,1128310.559999999823049,908700.559999999939464,11214881.890000000596046
20141223,958549.410000000032596,966958.199999999953434,1020081.990000000107102,1016647.560000000055879,958324.979999999981374,993082.160000000032596,1019821.030000000144355,1110580.680000000167638,1159214.489999999757856,1162340.640000000130385,920967.919999999925494,11286579.060000002384186
20141224,967468.320000000065193,968887.139999999897555,1018115.790000000037253,1016919.170000000041910,958324.979999999981374,992134.880000000121072,1018181.380000000004657,1108745.020000000018626,1169527.100000000093132,1164771.360000000102445,913081.759999999892898,11296166.899999998509884
20141226,970343.010000000009313,966710.899999999906868,1019983.680000000051223,1019906.880000000004657,959398.639999999897555,999397.359999999986030,1021679.299999999930151,1107341.279999999795109,1165157.350000000093132,1161581.039999999804422,907532.239999999874271,11299041.679999997839332
20141229,975207.869999999995343,970370.939999999944121,1027651.860000000102445,1009857.310000000055879,965687.219999999972060,991187.600000000093132,1012715.880000000004657,1104965.720000000204891,1159913.649999999906868,1166594.400000000139698,906169.199999999837019,11290331.650000000372529
20141230,971817.210000000079162,967996.859999999986030,1025095.800000000046566,998449.690000000060536,968601.439999999944121,990871.840000000083819,1010092.440000000060536,1110580.680000000167638,1156068.270000000018626,1155352.319999999832362,905682.399999999906868,11260618.950000001117587
20141231,958180.859999999986030,958698.380000000004657,1031977.500000000000000,985684.020000000018626,959858.779999999911524,983609.359999999986030,995772.830000000074506,1091576.200000000186265,1145755.660000000149012,1157631.120000000111759,900132.880000000004657,11168887.590000001713634
20150102,957959.729999999981374,961567.059999999939464,1016837.760000000125729,987585.290000000037253,958478.359999999986030,989293.040000000037253,988667.680000000051223,1088228.819999999832362,1158165.750000000000000,1154592.719999999972060,903832.559999999939464,11165218.770000001415610
20150105,951325.830000000074506,931544.839999999967404,995504.490000000107102,976449.280000000144355,928722.639999999897555,983925.120000000111759,983967.350000000093132,1070304.140000000130385,1132471.620000000111759,1131804.719999999972060,879103.119999999995343,10965133.150000002235174
20150106,940121.910000000032596,912700.579999999958090,992456.880000000121072,958251.410000000149012,904641.979999999981374,992134.880000000121072,979485.640000000013970,1068144.540000000037253,1125305.229999999981374,1134691.199999999953434,874429.839999999967404,10882374.089999997988343
20150107,954716.489999999990687,926302.079999999958090,1026472.140000000013970,978350.550000000162981,906022.400000000023283,1005712.560000000172295,984623.209999999962747,1079050.520000000018626,1140337.169999999925494,1163707.919999999925494,883289.599999999976717,11048594.640000000596046
20150108,971596.080000000074506,941090.619999999995343,1049181.750000000000000,996548.420000000041910,926268.560000000055879,1026236.960000000079162,995882.140000000013970,1130556.979999999981374,1155543.899999999906868,1178140.319999999832362,897990.959999999962747,11269046.690000001341105
20150109,969679.619999999995343,926648.299999999930151,1031191.020000000018626,998449.690000000060536,910163.660000000032596,1030973.359999999986030,986590.790000000037253,1119974.939999999944121,1138414.479999999981374,1149579.360000000102445,896725.279999999911524,11158400.500000000000000
