訓練日期,20190215 - 20190520
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10771630.250000000000000
真實報酬,771630.250000000000000

夏普值報酬,0.068463025000000
夏普值風險,0.024165415032456
夏普值,2.833099489830812

預期報酬,13931.451142796135173
風險,85078.311864675080869
趨勢值,0.163748561031105
找到最佳解世代,88
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](7),AXP[1](6),CVX[5](19),DIS[6](11),GS[8](15),IBM[10](20),JNJ[12](13),KO[14](10),MCD[15](1),PG[21](5),TRV[22](3),UNH[23](29),V[25](4),
20190311,805704.300000000046566,790439.159999999916181,804774.600000000093132,797659.589999999967404,782972.800000000046566,776162.280000000144355,793569.750000000000000,779184.479999999864958,792013.330000000074506,777979.440000000060536,799166.400000000023283,704930.180000000051223,809581.229999999981374,10214147.540000000968575
20190312,814755.329999999958090,796715.339999999967404,806597.400000000023283,797520.569999999948777,785609.500000000000000,779374.800000000046566,797120.489999999990687,776991.119999999878928,795293.080000000074506,781651.080000000074506,804317.399999999906868,712844.450000000069849,815276.609999999986030,10264077.169999998062849
20190313,818357.729999999981374,809051.279999999911524,811610.099999999976717,793071.929999999934807,788086.400000000023283,780952.880000000121072,798437.699999999953434,779859.359999999869615,796298.869999999995343,790478.640000000130385,806014.199999999953434,731311.080000000074506,819252.630000000004657,10322792.800000000745058
20190314,827453.789999999920838,810566.219999999855645,811154.400000000023283,795782.819999999948777,788965.300000000046566,782249.160000000032596,790477.170000000041910,771085.919999999925494,799272.510000000009313,791572.320000000065193,806377.799999999930151,734268.060000000055879,828547.920000000041910,10337783.390000000596046
20190315,838215.959999999962747,819006.599999999976717,815776.500000000000000,799119.299999999930151,792121.349999999976717,785856.200000000069849,788071.829999999958090,764337.119999999878928,810598.580000000074506,800321.760000000125729,813165.000000000000000,728846.930000000051223,835317.900000000139698,10390765.029999999329448
20190318,846771.660000000032596,819223.019999999902211,819487.199999999953434,786329.459999999962747,808940.300000000046566,790252.280000000144355,785609.219999999972060,766193.039999999804422,804563.839999999967404,793056.600000000093132,817770.599999999976717,739283.330000000074506,832631.400000000139698,10410121.949999999254942
20190319,840062.189999999944121,812874.699999999953434,815581.200000000069849,764642.339999999967404,803547.050000000046566,791830.360000000102445,792882.510000000009313,768723.839999999967404,800890.520000000018626,796103.280000000144355,805590.000000000000000,745458.200000000069849,830643.390000000130385,10368839.579999998211861
20190320,847402.079999999958090,799168.099999999976717,811740.300000000046566,764572.829999999958090,776381.050000000046566,786814.320000000065193,786296.459999999962747,768217.679999999934807,809024.299999999930151,794697.120000000111759,795894.000000000000000,726237.830000000074506,826130.070000000065193,10292586.140000000596046
20190321,878607.869999999995343,806742.799999999930151,819357.000000000000000,755328.000000000000000,777419.750000000116415,797184.560000000055879,790935.329999999958090,767880.239999999874271,815146.500000000000000,800712.360000000102445,814316.400000000023283,730644.310000000055879,837144.720000000088476,10391429.840000001713634
20190322,860415.750000000000000,789717.759999999892898,801324.300000000046566,752339.069999999948777,754967.850000000093132,785968.920000000041910,784120.199999999953434,774966.479999999864958,817070.619999999995343,794228.400000000023283,817528.199999999953434,716352.240000000107102,822476.430000000051223,10271486.219999998807907
20190325,850013.820000000065193,786687.880000000004657,800022.300000000046566,749280.630000000004657,753170.099999999976717,784447.200000000069849,782402.100000000093132,776653.679999999934807,812304.049999999930151,796572.000000000000000,817831.199999999837019,715685.470000000088476,822261.510000000125729,10247341.939999999478459
20190326,841232.969999999972060,790006.319999999948777,808094.699999999953434,765615.479999999981374,761879.200000000069849,790308.640000000130385,793627.020000000018626,786945.599999999860302,820000.529999999911524,804852.720000000088476,818012.999999999883585,705625.940000000060536,834458.220000000088476,10320670.339999999850988
20190327,848798.010000000009313,786255.039999999920838,799371.300000000046566,766588.619999999995343,759242.500000000000000,784785.360000000102445,794371.529999999911524,786439.439999999944121,820131.719999999972060,803915.280000000144355,826315.199999999953434,700755.620000000111759,828655.380000000004657,10305635.000000001862645
20190328,849923.760000000009313,787553.559999999939464,800868.599999999976717,769577.549999999930151,763836.750000000000000,788617.839999999967404,795402.390000000013970,785933.279999999911524,828352.959999999962747,808993.080000000074506,829648.199999999953434,702263.100000000093132,831073.229999999981374,10342054.299999998882413
20190329,855462.449999999953434,788563.519999999902211,801910.200000000069849,771801.869999999995343,767072.700000000069849,795268.320000000065193,800613.959999999962747,790657.439999999944121,830583.190000000060536,812899.080000000074506,831223.799999999930151,716845.070000000065193,839240.190000000060536,10402151.790000000968575
20190401,861271.320000000065193,805877.119999999995343,813367.800000000046566,782089.349999999976717,786048.950000000069849,807667.520000000135042,795975.089999999967404,788295.359999999869615,823979.959999999962747,809696.160000000149012,836435.400000000023283,711858.790000000037253,844989.300000000046566,10467562.120000001043081
20190402,873789.660000000032596,800827.319999999948777,813302.700000000069849,778266.299999999930151,789085.150000000023283,805976.720000000088476,788701.800000000046566,785764.559999999939464,823805.039999999920838,810555.480000000097789,829102.799999999930151,708582.920000000041910,847783.260000000125729,10455553.709999999031425
20190403,879778.649999999906868,797653.159999999916181,806532.300000000046566,782158.859999999986030,802508.350000000093132,809527.400000000023283,785609.219999999972060,779184.479999999864958,823805.039999999920838,810086.760000000125729,827830.199999999953434,712728.490000000107102,851436.900000000139698,10468849.809999998658895
20190404,881309.669999999925494,794479.000000000000000,812456.400000000023283,797659.589999999967404,807981.500000000000000,804736.800000000046566,776446.020000000018626,784246.079999999841675,830452.000000000000000,808055.640000000130385,827345.400000000023283,717221.940000000060536,847031.040000000037253,10489431.080000001937151
20190405,887208.599999999976717,800538.759999999892898,823002.599999999976717,799397.339999999967404,808580.750000000000000,807554.800000000046566,779939.489999999990687,784077.359999999869615,834125.320000000065193,809774.280000000144355,826618.199999999953434,721251.550000000046566,847084.770000000135042,10529163.820000000298023
20190408,901167.899999999906868,798663.119999999995343,824695.200000000069849,799119.299999999930151,809219.949999999953434,808174.760000000009313,779710.409999999916181,785427.119999999878928,830364.539999999920838,820086.120000000111759,823466.999999999883585,721164.580000000074506,847622.070000000065193,10548892.070000000298023
20190409,898466.099999999976717,792531.219999999855645,817273.800000000046566,812326.199999999953434,801549.550000000046566,800960.680000000167638,776446.020000000018626,787451.759999999892898,831370.330000000074506,817664.400000000023283,819285.599999999976717,721280.540000000037253,846225.090000000083819,10522841.289999999105930
20190410,903509.459999999962747,794767.559999999939464,816948.300000000046566,814411.500000000000000,810977.750000000000000,806089.440000000176951,776503.290000000037253,786945.599999999860302,827609.549999999930151,817586.280000000144355,820921.800000000046566,713279.300000000046566,851974.200000000069849,10541534.030000001192093
20190411,895989.449999999953434,792531.219999999855645,820203.300000000046566,810518.939999999944121,810378.500000000116415,810372.800000000046566,774384.300000000046566,788126.639999999897555,826122.729999999981374,818367.480000000097789,825891.000000000000000,682520.910000000032596,848213.100000000093132,10503630.369999999180436
20190412,895629.209999999962747,800178.059999999939464,779646.000000000000000,904079.400000000023283,830393.450000000069849,813585.320000000065193,778794.089999999967404,788632.799999999930151,838017.289999999920838,820789.200000000069849,834617.399999999906868,647153.110000000102445,857777.040000000037253,10589302.370000001043081
20190415,897250.289999999920838,797436.739999999990687,782119.800000000046566,917842.379999999888241,798713.099999999976717,811049.120000000111759,781886.670000000041910,793019.519999999902211,839110.539999999920838,826023.240000000107102,828981.599999999860302,667388.130000000004657,862075.440000000060536,10602906.570000000298023
20190416,897340.349999999976717,807175.639999999897555,788825.099999999976717,902967.239999999990687,806423.450000000069849,818037.760000000009313,790477.170000000041910,792175.919999999925494,838454.589999999967404,831413.520000000135042,838374.599999999976717,640601.370000000111759,860947.109999999986030,10613223.820000000298023
20190417,914811.989999999990687,806309.959999999962747,782966.099999999976717,915826.589999999967404,830633.150000000023283,784052.680000000167638,793340.670000000041910,797743.679999999934807,838061.020000000018626,826960.680000000051223,823406.400000000023283,628657.490000000107102,862075.440000000060536,10604855.849999999627471
20190418,918099.180000000051223,820088.699999999953434,780297.000000000000000,920692.289999999920838,822683.099999999976717,790928.600000000209548,787613.670000000041910,801118.079999999841675,852491.919999999925494,828523.080000000074506,841950.000000000000000,642891.580000000074506,860571.000000000000000,10667958.200000001117587
20190422,921116.189999999944121,810421.939999999944121,793577.400000000023283,915340.020000000018626,817449.650000000023283,782812.760000000009313,789389.040000000037253,799768.319999999832362,848162.649999999906868,828210.600000000093132,827890.800000000046566,658430.220000000088476,861860.520000000135042,10654440.110000001266599
20190423,934400.039999999920838,822252.899999999906868,794358.599999999976717,927017.700000000069849,815611.949999999953434,791548.560000000055879,801243.930000000051223,813434.639999999897555,854022.469999999972060,805946.400000000023283,836374.799999999930151,668489.750000000116415,868630.500000000000000,10733342.240000000223517
20190424,932959.079999999958090,822613.599999999976717,770011.200000000069849,939112.439999999944121,801229.949999999953434,788786.920000000041910,797235.029999999911524,809554.079999999841675,864386.479999999981374,810086.760000000125729,843465.000000000000000,667822.980000000097789,867717.090000000083819,10714990.609999999403954
20190425,924493.439999999944121,836031.639999999897555,767537.400000000023283,953987.580000000074506,804665.650000000023283,781347.400000000023283,799812.180000000051223,807192.000000000000000,865698.380000000004657,806883.840000000083819,843525.599999999976717,669098.540000000037253,865191.780000000144355,10725475.429999997839332
20190426,920080.500000000000000,848439.719999999855645,762329.400000000023283,972616.259999999892898,811377.250000000116415,785912.560000000055879,804050.159999999916181,814278.239999999874271,863468.149999999906868,827038.800000000046566,849888.599999999976717,687101.330000000074506,875454.210000000079162,10822045.180000001564622
20190429,921476.430000000051223,842379.959999999962747,766365.599999999976717,968306.640000000013970,826718.049999999930151,783714.520000000135042,800900.310000000055879,816977.759999999892898,862156.250000000000000,818601.840000000083819,857281.800000000046566,688405.880000000004657,882009.270000000135042,10835304.310000002384186
20190430,903734.609999999869615,845770.539999999920838,781599.000000000000000,952110.809999999939464,822723.049999999930151,790590.440000000176951,808689.029999999911524,827775.839999999967404,864124.099999999976717,831882.240000000107102,871159.199999999953434,675708.260000000009313,883513.710000000079162,10859390.830000000074506
20190501,948089.160000000032596,844255.599999999976717,766951.500000000000000,948009.719999999972060,817969.000000000000000,792224.880000000121072,812984.279999999911524,819846.000000000000000,849255.899999999906868,819773.640000000130385,867099.000000000000000,672461.380000000004657,874701.989999999990687,10833632.050000000745058
20190502,941920.050000000046566,845914.819999999948777,757642.199999999953434,932439.479999999864958,819007.700000000069849,786757.960000000079162,809147.190000000060536,816471.599999999860302,851180.020000000018626,824695.200000000069849,864796.199999999837019,673910.880000000004657,865729.080000000074506,10789622.380000000819564
20190503,953627.849999999976717,861064.219999999855645,763436.099999999976717,933760.170000000041910,829115.050000000046566,790477.720000000088476,813327.899999999906868,822039.359999999869615,863905.450000000069849,828757.440000000060536,868735.199999999953434,672461.380000000004657,870672.239999999990687,10871390.080000000074506
20190506,938903.039999999920838,860992.079999999958090,770792.400000000023283,938417.339999999967404,824760.500000000000000,791210.400000000023283,813786.060000000055879,817821.359999999869615,869940.190000000060536,825632.640000000130385,869220.000000000000000,697247.830000000074506,871961.760000000125729,10890695.599999999627471
20190507,913596.180000000051223,852912.399999999906868,769946.099999999976717,927573.779999999911524,809579.500000000000000,775767.760000000009313,801644.819999999948777,809891.519999999902211,866179.409999999916181,817976.880000000121072,858796.800000000046566,690145.280000000144355,860839.650000000139698,10754860.080000000074506
20190508,913776.300000000046566,847646.179999999934807,764933.400000000023283,938347.830000000074506,802867.900000000023283,777796.720000000088476,800613.959999999962747,807360.719999999972060,866135.680000000051223,820867.320000000065193,857706.000000000000000,693334.180000000051223,863794.800000000046566,10755190.990000000223517
20190509,903959.760000000009313,845986.959999999962747,788955.300000000046566,928616.429999999934807,805584.500000000000000,762804.960000000079162,794543.339999999967404,799768.319999999832362,864823.779999999911524,814383.360000000102445,859524.000000000000000,689913.360000000102445,858690.450000000069849,10717564.519999999552965
20190510,888019.140000000013970,854643.759999999892898,794163.300000000046566,931744.379999999888241,807262.400000000023283,762692.240000000107102,796375.980000000097789,813097.199999999837019,874706.760000000009313,828210.600000000093132,872431.800000000046566,697508.740000000107102,863526.150000000139698,10784392.450000002980232
20190513,836414.760000000009313,836175.920000000041910,784072.800000000046566,912976.679999999934807,778977.800000000046566,740711.839999999967404,785781.029999999911524,810735.119999999878928,870508.680000000051223,828991.800000000046566,869098.799999999930151,694493.780000000144355,845365.410000000149012,10594314.419999999925494
20190514,849653.579999999958090,844183.459999999962747,791884.800000000046566,925905.539999999920838,784211.250000000000000,751363.880000000121072,783604.770000000018626,821533.199999999837019,866048.219999999972060,825007.680000000051223,883036.800000000046566,685448.900000000139698,860839.650000000139698,10672731.730000000447035
20190515,859830.359999999869615,848872.559999999939464,795139.800000000046566,936193.020000000018626,784690.650000000023283,757507.120000000111759,784120.199999999953434,829800.479999999864958,870683.599999999976717,833600.880000000121072,887945.400000000023283,684434.250000000116415,874701.989999999990687,10747530.309999998658895
20190516,856047.840000000083819,864599.079999999958090,786416.400000000023283,941892.839999999967404,795636.949999999953434,765848.400000000023283,791565.300000000046566,836549.279999999911524,874706.760000000009313,844615.800000000046566,893338.799999999930151,686492.540000000037253,885877.830000000074506,10823597.819999998435378
20190517,851184.599999999976717,859044.299999999930151,784593.599999999976717,938695.379999999888241,788805.500000000000000,757056.240000000107102,793856.100000000093132,830137.919999999925494,871339.549999999930151,839459.880000000121072,893823.599999999976717,699798.950000000069849,881686.890000000130385,10789492.509999999776483
20190520,824571.869999999995343,864599.079999999958090,786676.800000000046566,930840.750000000000000,788046.450000000069849,761565.040000000153668,792767.969999999972060,824232.719999999972060,870333.760000000009313,838522.440000000060536,897944.399999999906868,713163.340000000083819,878355.630000000004657,10771630.250000000000000
