訓練日期,20171116 - 20180221
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11145379.719999996945262
真實報酬,1145379.719999996945262

夏普值報酬,0.105837972000000
夏普值風險,0.040098679804002
夏普值,2.639437819831572

預期報酬,25008.697659424549784
風險,270536.665399436722510
趨勢值,0.092441065696216
找到最佳解世代,13
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](1),CSCO[4](3),DD[7](15),GS[8](6),JPM[13](2),MMM[16](16),MSFT[18](5),NKE[19](4),TRV[22](20),UTX[24](8),WBA[27](21),WMT[28](11),
20171127,841955.399999999906868,900759.800000000046566,847331.600000000093132,824565.500000000000000,831126.640000000130385,857515.400000000023283,842270.380000000004657,877478.000000000000000,813203.639999999897555,830143.850000000093132,823718.300000000046566,896317.040000000037253,10186389.550000000745058
20171128,849595.099999999976717,921769.599999999976717,858954.679999999934807,839645.599999999976717,860233.619999999995343,863487.719999999972060,852412.799999999930151,876742.249999999883585,828970.599999999860302,834325.179999999934807,857547.799999999930151,897708.440000000060536,10341397.389999998733401
20171129,853747.799999999930151,915662.099999999976717,867269.000000000000000,846484.250000000000000,880345.440000000060536,872208.040000000037253,836948.119999999995343,888219.949999999953434,838443.239999999874271,837514.329999999958090,853749.400000000023283,905036.480000000097789,10395632.150000000372529
20171130,877522.799999999930151,911264.699999999953434,869474.840000000083819,868508.209999999962747,887049.380000000004657,891004.359999999986030,845282.979999999981374,889102.849999999976717,844924.519999999902211,860830.560000000055879,863720.200000000069849,901975.400000000023283,10510664.799999998882413
20171201,860341.399999999906868,918593.700000000069849,857936.600000000093132,873102.379999999888241,889340.600000000093132,883713.000000000000000,846186.760000000009313,881156.750000000000000,848913.000000000000000,851404.850000000093132,848170.500000000000000,903088.520000000018626,10461952.059999998658895
20171204,881231.700000000069849,921525.300000000046566,871511.000000000000000,879064.280000000027940,907670.360000000102445,876788.040000000037253,814253.199999999953434,884394.049999999930151,849847.800000000046566,850837.890000000130385,849594.899999999906868,899934.680000000051223,10486657.200000001117587
20171205,873528.599999999976717,911509.000000000116415,864384.439999999944121,870928.040000000037253,897232.580000000074506,873124.040000000037253,819374.619999999995343,889102.849999999976717,843366.519999999902211,852609.640000000130385,833095.600000000093132,907541.000000000000000,10435800.929999999701977
20171206,882182.699999999837019,913952.000000000000000,858785.000000000000000,862581.379999999888241,890528.640000000130385,874626.280000000027940,831324.599999999976717,878802.349999999860302,843615.800000000046566,859058.810000000055879,843422.500000000000000,902439.200000000069849,10441323.259999997913837
20171207,893911.700000000069849,913707.700000000069849,862348.280000000027940,871734.650000000023283,887897.980000000097789,880598.600000000093132,828412.419999999925494,891751.549999999930151,836449.000000000000000,867563.210000000079162,826329.699999999953434,897801.200000000069849,10458509.989999998360872
20171208,906369.799999999813735,918838.000000000000000,854627.840000000083819,878012.179999999934807,899014.640000000130385,872647.719999999972060,845182.559999999939464,902052.049999999930151,833582.279999999911524,870468.880000000004657,849357.500000000000000,895667.719999999972060,10525825.169999999925494
20171211,897684.000000000000000,927388.500000000116415,855561.080000000074506,877240.640000000013970,896383.980000000097789,876934.600000000093132,855927.500000000000000,911028.199999999837019,829905.399999999906868,873941.510000000009313,853274.599999999976717,899192.600000000093132,10554466.609999999403954
20171212,919176.599999999976717,926167.000000000000000,855306.560000000055879,903718.489999999990687,906821.760000000009313,866968.520000000018626,859442.199999999953434,914854.099999999976717,837321.479999999864958,875217.170000000041910,854817.700000000069849,897059.120000000111759,10616874.699999999254942
20171213,925199.599999999860302,932030.200000000069849,852506.840000000083819,896283.650000000023283,895450.520000000018626,876238.440000000060536,857132.539999999920838,946197.049999999930151,832398.199999999953434,881028.510000000009313,851375.400000000023283,906891.680000000051223,10652736.630000000819564
20171214,931666.399999999906868,925922.700000000069849,849622.280000000027940,896003.089999999967404,888237.420000000041910,872464.520000000018626,850504.819999999948777,949581.500000000000000,826290.839999999967404,877201.530000000027940,835232.199999999953434,901047.800000000046566,10603779.099999999627471
20171215,931856.599999999976717,933007.400000000023283,845804.479999999981374,901929.920000000041910,900796.700000000069849,872171.400000000023283,872195.539999999920838,953407.400000000023283,840686.759999999776483,894281.200000000069849,853986.799999999930151,900862.280000000027940,10700990.480000000447035
20171218,938830.599999999860302,940092.099999999976717,862602.800000000046566,911924.869999999878928,907755.219999999972060,873710.280000000027940,867475.799999999930151,953701.699999999953434,842681.000000000000000,898108.179999999934807,861227.500000000000000,908190.320000000065193,10766304.370000001043081
20171219,942349.299999999930151,935694.699999999953434,862942.159999999916181,899510.090000000083819,903936.520000000018626,873600.359999999986030,861952.699999999953434,945314.149999999906868,844737.559999999823049,898604.270000000018626,856954.299999999930151,916538.719999999972060,10742138.830000001937151
20171220,944409.799999999813735,946443.900000000139698,861160.520000000018626,894950.989999999990687,900796.700000000069849,868214.280000000027940,858839.679999999934807,935749.400000000023283,842992.599999999860302,900163.410000000032596,863245.400000000023283,916074.920000000041910,10733045.599999999627471
20171221,935311.899999999790452,941313.600000000093132,865572.199999999953434,915396.799999999930151,915138.040000000037253,860373.320000000065193,858638.839999999967404,953113.099999999860302,837882.359999999869615,902360.380000000004657,869536.500000000000000,909674.480000000097789,10764315.520000001415610
20171222,935533.800000000046566,941802.199999999953434,871256.479999999981374,908242.520000000135042,911913.360000000102445,860190.119999999995343,858739.260000000009313,931334.899999999906868,837570.759999999776483,901793.420000000041910,863126.699999999953434,911065.880000000004657,10732573.400000000372529
20171226,936358.000000000000000,940092.099999999976717,863196.679999999934807,903858.770000000135042,908264.380000000004657,862828.199999999953434,857634.640000000013970,936632.299999999930151,840001.239999999874271,901155.590000000083819,870130.000000000000000,919878.079999999958090,10740033.980000000447035
20171227,937182.199999999953434,942046.500000000116415,863196.679999999934807,897651.379999999888241,909961.580000000074506,865576.199999999953434,860747.659999999916181,926331.799999999930151,839938.919999999925494,904273.869999999995343,864907.199999999953434,920805.680000000051223,10732623.669999998062849
20171228,939496.300000000046566,942779.400000000139698,864045.080000000074506,899580.229999999981374,914798.600000000093132,863817.479999999981374,860848.079999999958090,926331.799999999930151,845485.399999999906868,908100.850000000093132,865856.799999999930151,922104.320000000065193,10753248.339999999850988
20171229,934931.500000000000000,935694.699999999953434,860481.800000000046566,893478.049999999930151,907585.500000000000000,862535.080000000074506,859040.520000000018626,920445.799999999930151,845360.759999999776483,904203.000000000000000,862058.400000000023283,916074.920000000041910,10701894.030000001192093
20180102,941049.599999999860302,949375.500000000000000,868711.280000000027940,896669.419999999925494,916156.360000000102445,863524.359999999986030,863157.739999999990687,934277.899999999906868,822551.639999999897555,908384.329999999958090,889715.500000000000000,914590.760000000125729,10768168.389999998733401
20180103,944092.799999999930151,956948.800000000162981,882625.040000000037253,888322.760000000009313,917089.820000000065193,863487.719999999972060,867174.539999999920838,934130.749999999883585,825169.079999999958090,921707.890000000013970,896362.700000000069849,922568.120000000111759,10819684.019999999552965
20180104,940510.699999999953434,952551.400000000139698,899508.199999999953434,900737.539999999920838,925406.100000000093132,874772.840000000083819,874806.459999999962747,933542.149999999906868,825169.079999999958090,924613.559999999939464,849950.999999999883585,923402.960000000079162,10824975.990000000223517
20180105,979089.599999999860302,965743.600000000093132,911300.959999999962747,896143.369999999995343,919465.900000000023283,881587.880000000004657,885651.819999999948777,941488.249999999883585,823673.399999999906868,932551.000000000000000,865619.400000000023283,928875.800000000046566,10931194.980000002309680
20180108,983242.299999999813735,975759.900000000023283,908077.040000000037253,883132.400000000023283,920823.660000000032596,878729.959999999962747,886555.599999999976717,949875.799999999930151,819248.679999999818392,941409.750000000000000,876658.499999999883585,942604.280000000027940,10966121.869999999180436
20180109,1009489.899999999906868,969652.400000000023283,910282.880000000121072,890602.309999999939464,925490.959999999962747,884189.320000000065193,885953.079999999958090,943106.900000000023283,825605.319999999948777,951685.900000000139698,871554.400000000023283,931287.560000000055879,10998904.930000001564622
20180110,1015290.999999999883585,975027.000000000000000,896538.800000000046566,891970.040000000037253,935674.160000000032596,883676.359999999986030,881936.279999999911524,945019.849999999860302,823361.800000000046566,956150.710000000079162,879388.599999999976717,924608.840000000083819,11008647.439999999478459
20180111,1040207.199999999953434,979668.700000000069849,908840.600000000093132,894775.640000000013970,940680.900000000023283,887963.239999999990687,884547.199999999953434,946049.900000000023283,824795.159999999916181,956788.540000000153668,894819.599999999976717,927855.440000000060536,11086996.120000001043081
20180112,1065852.500000000000000,998479.800000000046566,911131.280000000027940,901438.939999999827705,956210.280000000027940,895877.479999999981374,899811.039999999920838,951641.599999999976717,839689.639999999897555,968056.870000000111759,903009.899999999906868,935740.040000000037253,11226943.370000001043081
20180116,1062524.000000000000000,990417.900000000023283,905616.679999999934807,906453.949999999953434,952815.880000000004657,896866.760000000009313,887258.539999999920838,933247.849999999976717,844612.919999999925494,949559.800000000046566,902535.099999999976717,934070.359999999986030,11165983.739999998360872
20180117,1112768.500000000000000,1006541.700000000186265,915458.120000000111759,889585.280000000027940,958925.800000000046566,909214.440000000060536,905233.719999999972060,938986.699999999953434,852963.800000000046566,952748.949999999953434,899567.599999999976717,952715.120000000111759,11294713.730000000447035
20180118,1078374.000000000000000,1008984.699999999953434,918597.199999999953434,880186.520000000018626,961217.020000000018626,901153.640000000013970,904832.039999999920838,943401.199999999953434,855955.159999999916181,954095.480000000097789,902179.000000000000000,967556.719999999972060,11276536.679999999701977
20180119,1070670.899999999906868,1008740.400000000023283,918427.520000000018626,898247.569999999948777,959095.520000000018626,909470.920000000041910,903827.839999999967404,989017.699999999837019,859133.479999999864958,963237.710000000079162,907757.900000000023283,970246.760000000125729,11357878.220000000670552
20180122,1071526.799999999813735,1017779.500000000000000,920463.679999999934807,917185.369999999878928,970297.040000000037253,906246.600000000093132,919995.459999999962747,976951.399999999906868,868481.479999999864958,958347.680000000051223,918797.000000000116415,978224.120000000111759,11424300.129999998956919
20180123,1063887.099999999627471,1028528.700000000069849,919954.640000000130385,912170.359999999869615,969278.719999999972060,902619.239999999990687,922907.640000000013970,987987.649999999906868,911544.599999999860302,964159.020000000018626,914286.399999999906868,982398.320000000065193,11479726.389999998733401
20180124,1061034.100000000093132,1030238.800000000162981,918427.520000000018626,931774.489999999990687,981668.280000000027940,907675.560000000055879,922104.279999999911524,1000642.549999999930151,920020.119999999995343,961678.570000000065193,917966.099999999976717,981377.960000000079162,11534612.330000000074506
20180125,1087725.500000000000000,1023642.700000000069849,926147.959999999962747,943522.939999999827705,981922.860000000102445,924786.440000000060536,927225.699999999953434,996375.199999999837019,925317.319999999948777,976348.660000000032596,929123.899999999906868,988891.520000000018626,11631034.700000001117587
20180126,1088074.200000000186265,1039766.500000000116415,930559.640000000130385,940401.709999999962747,987184.179999999934807,947759.719999999972060,944598.359999999986030,1001231.150000000023283,931237.719999999855645,977978.669999999925494,939569.500000000116415,1005495.560000000055879,11733860.910000002011657
20180129,1080466.199999999720603,1046851.200000000069849,916730.719999999972060,955622.090000000083819,986165.860000000102445,938160.040000000037253,943192.479999999981374,994462.249999999883585,928371.000000000000000,968694.699999999953434,952863.899999999906868,1016255.719999999972060,11727840.160000000149012
20180130,1070607.500000000000000,1032193.200000000069849,907737.679999999934807,943207.309999999939464,976916.119999999995343,921781.959999999962747,931342.919999999925494,990783.499999999883585,926875.319999999948777,967489.910000000032596,903722.099999999976717,999373.400000000023283,11572034.919999999925494
20180131,1123419.699999999720603,1014847.900000000023283,913167.439999999944121,939524.959999999962747,981668.280000000027940,917971.400000000023283,954138.260000000009313,1003879.849999999860302,934353.719999999855645,978191.279999999911524,893395.200000000069849,988891.520000000018626,11643453.509999997913837
20180201,1131566.600000000093132,1018756.700000000186265,888054.800000000046566,954745.340000000083819,991851.480000000097789,908591.560000000055879,946606.760000000009313,995492.300000000046566,934852.279999999911524,980388.250000000000000,902891.200000000069849,978873.440000000060536,11632674.709999999031425
20180202,1106111.500000000000000,999945.600000000093132,856494.320000000065193,911995.010000000009313,969872.739999999990687,898442.280000000027940,921702.599999999976717,989164.849999999860302,922076.679999999818392,954095.480000000097789,873216.200000000069849,969226.400000000023283,11372347.660000000149012
20180205,1042616.399999999906868,947421.100000000093132,819673.760000000009313,873663.500000000000000,923369.459999999962747,848135.560000000055879,883743.839999999967404,947521.399999999906868,882004.919999999925494,901864.290000000037253,836063.100000000093132,928504.760000000125729,10834586.089999999850988
20180206,1080751.500000000000000,981378.800000000162981,868626.439999999944121,907295.629999999888241,951458.119999999995343,856159.719999999972060,917183.699999999953434,959734.849999999860302,877829.479999999864958,920077.880000000004657,852206.300000000046566,936018.320000000065193,11108724.740000002086163
20180207,1103607.199999999720603,985531.900000000139698,853015.880000000121072,901684.430000000051223,957907.480000000097789,854547.560000000055879,899911.459999999962747,965767.999999999883585,885868.759999999776483,935385.800000000046566,849120.099999999976717,954106.520000000018626,11146459.090000001713634
20180208,1045089.000000000000000,947176.800000000162981,824170.280000000027940,863984.179999999934807,915562.339999999967404,816808.359999999986030,853718.260000000009313,919562.899999999906868,841434.599999999860302,903565.170000000041910,809830.400000000023283,927855.440000000060536,10668761.729999998584390
20180209,1055137.899999999906868,965743.600000000093132,839526.320000000065193,874329.830000000074506,933892.100000000093132,825308.840000000083819,885551.400000000023283,963707.899999999906868,854334.839999999967404,886202.020000000018626,812679.199999999953434,921826.040000000037253,10818243.989999998360872
20180212,1089912.799999999813735,991883.700000000069849,868032.560000000055879,887866.849999999976717,948318.300000000046566,839891.560000000055879,895091.299999999930151,970918.250000000000000,860940.759999999776483,902856.469999999972060,812679.199999999953434,923495.719999999972060,10991891.469999998807907
20180213,1087884.000000000000000,1007274.599999999976717,854797.520000000018626,896178.439999999944121,954173.640000000130385,847842.440000000060536,902120.699999999953434,969299.599999999976717,863682.839999999967404,891446.400000000023283,810661.300000000046566,936760.400000000023283,11022125.880000000819564
20180214,1093241.299999999813735,1028284.400000000139698,861839.239999999990687,920902.789999999920838,976237.239999999990687,850187.400000000023283,911961.859999999986030,1000053.949999999837019,876271.479999999864958,898037.310000000055879,813035.299999999930151,943439.120000000111759,11173495.390000004321337
20180215,1130045.000000000000000,1076900.100000000093132,868117.399999999906868,938788.489999999990687,980310.520000000018626,860703.080000000074506,930539.559999999939464,1004909.900000000023283,878016.439999999827705,921424.410000000032596,828347.599999999976717,957631.400000000023283,11375737.900000000372529
20180216,1125543.600000000093132,1083007.600000000093132,869305.159999999916181,938578.069999999948777,973267.140000000130385,867298.280000000027940,923911.839999999967404,1005057.049999999930151,879761.399999999906868,916180.029999999911524,841879.400000000023283,972009.200000000069849,11395802.769999999552965
20180220,1120186.299999999813735,1076411.500000000000000,865317.679999999934807,929003.959999999962747,973521.719999999972060,861435.880000000004657,931142.079999999958090,993137.899999999906868,866736.519999999902211,896336.429999999934807,841760.699999999953434,873034.280000000027940,11228028.949999997392297
20180221,1117079.699999999720603,1058089.000000000000000,857342.719999999972060,923778.529999999911524,977595.000000000000000,850846.920000000041910,918790.419999999925494,986663.299999999930151,863433.559999999823049,916180.029999999911524,826567.099999999976717,849009.440000000060536,11145379.719999996945262
