訓練日期,20120210 - 20120514
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10466528.359999999403954
真實報酬,466528.359999999403954

夏普值報酬,0.037952836000000
夏普值風險,0.021197855096397
夏普值,1.790409257323898

預期報酬,11599.679148881663423
風險,121981.886898832570296
趨勢值,0.095093455625113
找到最佳解世代,19
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AAPL[0](6),AXP[1](3),BA[2](24),DIS[6](11),HD[9](2),INTC[11](10),JNJ[12](20),KO[14](1),MMM[16](19),MRK[17](16),PFE[20](4),V[25](5),VZ[26](13),XOM[29](18),
20120416,840300.339999999967404,789655.079999999958090,683984.800000000046566,716520.869999999995343,815579.759999999892898,755502.599999999976717,704268.630000000004657,761146.219999999972060,701138.700000000069849,710540.400000000139698,742666.919999999925494,767646.000000000000000,705055.359999999986030,706963.950000000069849,10400979.629999998956919
20120417,883082.699999999953434,794433.979999999981374,697252.900000000023283,734063.849999999976717,820944.279999999911524,757098.119999999995343,706910.310000000055879,777116.859999999986030,709659.450000000069849,721025.280000000027940,753816.959999999846332,775523.099999999976717,710894.520000000018626,719081.550000000046566,10560913.860000001266599
20120418,881156.479999999981374,792522.420000000041910,693677.099999999976717,730796.040000000037253,817473.119999999995343,743270.280000000027940,696343.589999999967404,779428.400000000139698,707062.650000000023283,718965.750000000000000,758547.279999999911524,773744.400000000023283,709387.639999999897555,721606.050000000046566,10523991.200000002980232
20120419,850843.859999999986030,786105.040000000037253,687937.000000000000000,723744.449999999953434,813528.619999999995343,736356.359999999986030,693811.979999999981374,775645.879999999888241,704384.700000000069849,718216.830000000074506,754830.599999999976717,769932.900000000023283,718617.280000000027940,717651.000000000000000,10451616.500000000000000
20120420,829858.199999999953434,784466.560000000055879,692171.500000000000000,728388.180000000051223,811950.819999999948777,733963.080000000074506,701296.739999999990687,779008.119999999995343,709902.900000000139698,725144.339999999967404,762263.959999999846332,768662.400000000023283,729542.159999999916181,717819.300000000046566,10474448.260000001639128
20120423,828033.359999999986030,782691.540000000037253,685678.599999999976717,722540.520000000018626,806270.739999999990687,729974.280000000027940,697554.359999999986030,774385.040000000037253,707062.650000000023283,716531.760000000125729,756182.119999999878928,750367.200000000069849,726528.400000000023283,721101.150000000023283,10404911.720000000670552
20120424,811508.420000000041910,786924.280000000027940,688972.099999999976717,725464.349999999976717,808321.879999999888241,726251.400000000023283,701957.160000000032596,778797.980000000097789,718099.050000000046566,716531.760000000125729,764629.119999999878928,755449.200000000069849,744045.880000000004657,726318.450000000069849,10453281.030000001192093
20120425,883488.219999999972060,804401.399999999906868,725388.799999999930151,734407.830000000074506,819050.919999999925494,740877.000000000000000,709221.780000000144355,787413.719999999972060,720614.700000000069849,719527.440000000060536,773076.119999999878928,773744.400000000023283,743669.159999999916181,730862.550000000046566,10665754.040000000968575
20120426,880142.680000000051223,813686.120000000111759,724541.899999999906868,745759.170000000041910,818419.799999999930151,750450.119999999995343,712744.020000000018626,795399.040000000037253,724834.500000000000000,720276.359999999986030,779157.959999999846332,782637.900000000023283,756100.920000000041910,724298.849999999976717,10728459.339999999850988
20120427,873350.219999999972060,821605.440000000060536,727176.699999999953434,745587.180000000051223,819682.040000000037253,754704.839999999967404,713734.650000000023283,805275.619999999995343,725159.100000000093132,720089.130000000004657,779833.719999999855645,784670.699999999953434,757796.159999999916181,724383.000000000000000,10753058.500000000000000
20120430,845876.240000000107102,822151.599999999976717,722754.000000000000000,741459.420000000041910,817157.559999999939464,755236.679999999934807,716596.469999999972060,801913.379999999888241,725159.100000000093132,734693.070000000065193,773751.879999999888241,781367.400000000023283,760621.560000000055879,726570.900000000023283,10725319.259999999776483
20120501,843138.979999999981374,832528.640000000013970,726988.500000000000000,753154.739999999990687,825519.899999999906868,769862.280000000027940,717917.310000000055879,808427.719999999972060,727106.700000000069849,737127.060000000055879,769697.319999999948777,781875.599999999976717,764012.040000000037253,732461.400000000139698,10789828.189999999478459
20120502,848714.880000000004657,833620.959999999962747,727082.600000000093132,748854.989999999990687,831673.319999999948777,775978.439999999944121,719128.079999999958090,810739.260000000009313,726457.500000000000000,735629.220000000088476,765642.759999999892898,776285.400000000023283,764765.479999999981374,725392.800000000046566,10789975.690000001341105
20120503,842733.460000000079162,831026.699999999953434,723036.299999999930151,753498.720000000088476,827886.599999999976717,759491.400000000023283,719238.150000000023283,813681.219999999972060,725402.550000000046566,733382.460000000079162,763615.479999999981374,739440.900000000023283,765518.920000000041910,720764.550000000046566,10718727.410000002011657
20120504,818706.400000000023283,820649.660000000032596,713720.400000000023283,738363.599999999976717,819839.819999999948777,741940.679999999934807,712633.949999999953434,809058.140000000013970,719559.750000000116415,727203.870000000111759,756182.119999999878928,748334.400000000023283,758361.239999999990687,711676.349999999976717,10596240.379999998956919
20120507,824789.199999999953434,820649.660000000032596,714849.599999999976717,753670.710000000079162,810846.359999999986030,738217.800000000046566,713294.369999999995343,812000.099999999976717,714203.850000000093132,721586.970000000088476,758547.279999999911524,752908.199999999953434,763446.960000000079162,710919.000000000116415,10609940.060000000521541
20120508,822964.359999999986030,817782.320000000065193,709580.000000000000000,761926.229999999981374,798697.299999999930151,727846.920000000041910,715275.630000000004657,810529.119999999995343,710552.100000000093132,723272.040000000037253,757533.640000000013970,750621.300000000046566,763823.679999999934807,707048.099999999976717,10577462.740000000223517
20120509,824383.680000000051223,811911.099999999976717,696876.500000000000000,774309.510000000125729,790650.519999999902211,723060.359999999986030,707570.729999999981374,806746.599999999976717,708198.750000000000000,713161.620000000111759,758547.279999999911524,746047.500000000000000,758172.880000000004657,701073.450000000069849,10520720.480000000447035
20120510,826309.900000000023283,811364.940000000060536,694524.000000000000000,778781.250000000000000,798697.299999999930151,724389.959999999962747,710762.759999999892898,813471.080000000074506,707062.650000000023283,718778.520000000018626,771386.719999999855645,750621.300000000046566,763823.679999999934807,697118.400000000023283,10567102.459999999031425
20120511,820835.380000000004657,814368.820000000065193,692265.599999999976717,783596.970000000088476,794279.459999999962747,734760.839999999967404,708231.150000000023283,814101.500000000000000,703816.650000000139698,712038.240000000107102,765304.879999999888241,749096.700000000069849,775313.639999999897555,699306.300000000046566,10567326.130000002682209
20120514,808568.400000000023283,797710.940000000060536,688125.200000000069849,776889.360000000102445,787021.579999999958090,718539.719999999972060,703718.280000000027940,807797.299999999930151,696513.150000000023283,715595.609999999986030,763277.599999999976717,741473.700000000069849,770227.920000000041910,691059.600000000093132,10466528.359999999403954
