訓練日期,20100305 - 20100607
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9710297.349999999627471
真實報酬,-289702.650000000372529

夏普值報酬,-0.037670265000000
夏普值風險,0.031681869819291
夏普值,-1.189016469509720

預期報酬,10482.443534511285179
風險,420351.820146709040273
趨勢值,0.024937309729866
找到最佳解世代,61
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),AXP[1](9),CAT[3](5),HD[9](3),IBM[10](12),INTC[11](7),JNJ[12](18),MCD[15](2),MMM[16](11),PG[21](16),UTX[24](13),WBA[27](21),WMT[28](20),
20100317,818295.600000000093132,811161.479999999864958,792523.199999999953434,795653.280000000027940,775542.800000000046566,833300.279999999911524,782298.000000000116415,805004.649999999906868,780243.040000000037253,773337.540000000037253,789124.419999999925494,757801.439999999944121,797169.799999999930151,10311465.530000001192093
20100318,820084.450000000069849,810963.689999999944121,786601.200000000069849,792717.359999999986030,779306.199999999953434,831801.559999999939464,787259.000000000000000,808642.750000000116415,794389.099999999976717,769954.859999999986030,792513.029999999911524,765273.959999999962747,797454.899999999906868,10336972.060000000521541
20100319,811395.750000000000000,797711.759999999892898,781337.199999999953434,791738.719999999972060,775239.299999999930151,823933.279999999911524,787864.000000000000000,806823.700000000069849,778154.359999999986030,771283.770000000018626,800601.969999999855645,758900.339999999967404,788901.900000000023283,10273896.050000000745058
20100322,820595.549999999930151,812546.009999999892898,788970.000000000000000,799323.180000000051223,776878.199999999953434,833300.279999999911524,787742.999999999883585,812644.660000000032596,777015.080000000074506,771767.010000000009313,793715.439999999944121,776482.739999999990687,792893.299999999930151,10343884.450000001117587
20100323,833628.599999999976717,815710.650000000023283,821343.599999999976717,797365.900000000023283,785315.500000000000000,849411.520000000018626,790889.000000000000000,816767.839999999967404,781857.019999999902211,779619.660000000032596,798962.319999999948777,789229.979999999981374,796742.149999999906868,10456853.740000000223517
20100324,837461.850000000093132,811161.479999999864958,816737.599999999976717,790760.079999999958090,780216.699999999953434,840419.199999999953434,783508.000000000000000,810097.989999999990687,774831.459999999962747,768505.140000000013970,798415.770000000018626,778021.199999999953434,792323.099999999976717,10382469.569999998435378
20100325,827495.400000000023283,819270.869999999995343,817790.400000000023283,798099.879999999888241,784526.400000000023283,837421.760000000009313,781329.999999999883585,811310.690000000060536,768375.540000000037253,768625.949999999953434,800929.899999999906868,798460.739999999990687,792750.750000000000000,10406398.280000001192093
20100326,843083.950000000069849,813337.169999999925494,821738.400000000023283,801280.459999999962747,784647.799999999930151,833300.279999999911524,779031.000000000000000,815676.410000000032596,769040.119999999995343,769471.619999999995343,804755.750000000000000,808570.619999999995343,791325.249999999883585,10435268.830000000074506
20100329,848450.500000000116415,820457.609999999869615,835424.799999999930151,797610.559999999939464,780580.900000000023283,836672.399999999906868,784354.999999999883585,813372.279999999911524,772457.959999999962747,769954.859999999986030,808909.529999999911524,823955.220000000088476,794603.900000000023283,10486815.520000001415610
20100330,860972.449999999953434,816699.599999999976717,831213.599999999976717,799812.499999999883585,781673.500000000000000,837047.079999999958090,785323.000000000116415,815433.869999999995343,800180.440000000060536,769109.189999999944121,810330.559999999823049,822416.760000000009313,797027.249999999883585,10527249.800000000745058
20100331,857905.849999999976717,816106.229999999864958,827134.000000000000000,791494.059999999939464,778517.099999999976717,835173.679999999934807,788953.000000000000000,809127.829999999958090,793439.699999999953434,764397.599999999976717,804646.439999999944121,815164.020000000018626,792608.199999999953434,10474677.709999999031425
20100401,861483.550000000046566,824808.989999999990687,842136.400000000023283,792228.040000000037253,778517.099999999976717,838920.479999999981374,795850.000000000000000,819557.050000000046566,796098.019999999902211,765484.890000000013970,810330.559999999823049,829669.500000000000000,791040.150000000023283,10546134.730000000447035
20100405,870683.349999999976717,843994.619999999995343,855296.399999999906868,799078.519999999902211,785194.099999999976717,846414.079999999958090,791373.000000000116415,825014.200000000069849,799325.979999999981374,770317.289999999920838,818200.879999999888241,831427.739999999990687,791040.150000000023283,10627370.310000000521541
20100406,874516.599999999976717,852895.169999999925494,859244.400000000139698,796387.259999999892898,782644.700000000069849,839295.159999999916181,790284.000000000000000,822346.260000000009313,800845.019999999902211,762464.640000000013970,816233.299999999930151,821977.199999999953434,791610.349999999976717,10610754.059999998658895
20100407,878349.849999999976717,838060.919999999925494,848453.199999999953434,797855.219999999972060,779913.199999999953434,841168.559999999939464,789195.000000000000000,821012.290000000037253,794294.159999999916181,755095.229999999981374,808800.219999999855645,808570.619999999995343,788046.599999999976717,10548825.069999998435378
20100408,876049.900000000023283,864169.199999999953434,848584.800000000046566,806662.979999999981374,774632.299999999930151,835923.039999999920838,785686.000000000116415,833866.910000000032596,787553.420000000041910,755820.089999999967404,805630.229999999981374,809889.300000000046566,789472.099999999976717,10573950.269999999552965
20100409,882694.199999999953434,867927.209999999962747,858981.199999999953434,813513.459999999962747,781612.799999999930151,844915.359999999986030,788227.000000000000000,832896.750000000116415,792680.179999999934807,757873.859999999986030,808800.219999999855645,814724.459999999962747,785053.049999999930151,10629909.750000000000000
20100412,884483.049999999930151,880981.349999999976717,878194.800000000046566,819140.639999999897555,779184.800000000046566,844540.679999999934807,787864.000000000000000,831077.700000000069849,790686.440000000060536,757511.430000000051223,806286.089999999967404,809229.959999999962747,784340.300000000046566,10653531.240000002086163
20100413,884994.150000000023283,889881.900000000023283,871088.400000000023283,840181.400000000023283,783251.699999999953434,853158.319999999948777,794761.000000000116415,835807.229999999981374,796952.479999999981374,761135.729999999981374,803006.789999999804422,809010.180000000051223,780063.799999999930151,10703303.080000000074506
20100414,897005.000000000000000,918957.029999999911524,885432.800000000046566,855839.639999999897555,796727.099999999976717,881259.319999999948777,792461.999999999883585,841870.729999999981374,801224.780000000027940,763431.119999999995343,808909.529999999911524,808350.839999999967404,778923.399999999906868,10830403.289999999105930
20100415,908760.300000000046566,923110.619999999995343,897803.199999999953434,859754.199999999953434,794541.899999999906868,907486.919999999925494,792704.000000000116415,838717.709999999962747,807016.119999999995343,761135.729999999981374,815577.439999999944121,802416.779999999911524,771653.349999999976717,10880688.269999999552965
20100416,903138.200000000069849,892057.589999999967404,880168.799999999930151,856573.619999999878928,792963.699999999953434,896246.520000000018626,786775.000000000000000,837141.200000000069849,795243.560000000055879,759323.579999999958090,805520.919999999925494,788131.079999999958090,771368.250000000000000,10764662.019999999552965
20100419,902115.999999999883585,905111.729999999864958,881616.399999999906868,860488.180000000051223,802675.699999999953434,899243.959999999962747,798996.000000000000000,847934.229999999981374,796572.720000000088476,763793.549999999930151,806286.089999999967404,794065.140000000013970,775359.649999999906868,10834269.349999999627471
20100420,892916.199999999953434,913814.489999999990687,888328.000000000000000,860732.839999999967404,787257.899999999906868,903740.119999999995343,798511.999999999883585,853027.570000000065193,809579.500000000000000,763431.119999999995343,811095.729999999981374,792526.680000000051223,777212.800000000046566,10852184.950000001117587
20100421,946326.150000000023283,909660.900000000023283,891618.000000000000000,862934.780000000027940,783008.900000000023283,891750.359999999986030,791252.000000000000000,853270.109999999986030,813661.920000000041910,768746.760000000009313,840937.359999999986030,788350.859999999986030,776500.049999999930151,10918028.150000000372529
20100422,972903.349999999976717,925088.520000000018626,888459.600000000093132,873944.479999999981374,783858.699999999953434,898869.279999999911524,783871.000000000000000,861395.200000000069849,816984.819999999948777,768263.520000000018626,835471.859999999986030,792526.680000000051223,776785.150000000023283,10978432.160000000149012
20100423,988747.449999999953434,950405.639999999897555,905172.800000000046566,890336.699999999953434,789078.900000000023283,900742.679999999934807,787017.000000000116415,862850.440000000060536,822016.640000000013970,767659.469999999972060,835909.099999999860302,788131.079999999958090,777355.349999999976717,11065433.250000000000000
20100426,983892.000000000000000,932406.750000000000000,942942.000000000116415,892783.300000000046566,793570.699999999953434,892499.719999999972060,783629.000000000116415,861273.929999999934807,830181.479999999981374,772491.869999999995343,835143.929999999934807,784394.819999999948777,770370.399999999906868,11075589.899999998509884
20100427,956548.150000000023283,905705.099999999976717,901882.800000000046566,863424.099999999976717,781976.999999999883585,874889.760000000009313,777821.000000000000000,855331.700000000069849,835213.299999999930151,762464.640000000013970,812407.449999999837019,767032.199999999953434,770370.399999999906868,10865077.599999997764826
20100428,955014.849999999976717,911441.009999999892898,907673.199999999953434,860977.499999999883585,789746.599999999976717,871517.640000000013970,781935.000000000000000,853027.570000000065193,837776.679999999934807,763189.500000000000000,816123.989999999874271,773625.600000000093132,764240.750000000000000,10886299.889999998733401
20100429,980825.400000000023283,941505.089999999967404,931098.000000000000000,870029.920000000041910,791931.800000000046566,880135.279999999911524,786654.000000000116415,867337.429999999934807,848125.140000000013970,751470.930000000051223,830990.149999999906868,788350.859999999986030,765523.699999999953434,11033987.699999999254942
20100430,953225.999999999883585,912232.169999999925494,896092.400000000023283,861956.139999999897555,783069.599999999976717,855781.079999999958090,778063.000000000000000,856059.320000000065193,841859.099999999976717,750987.689999999944121,819293.979999999981374,772526.699999999953434,764668.399999999906868,10845825.580000000074506
20100503,972392.249999999883585,933593.489999999990687,920438.400000000023283,877614.379999999888241,786711.599999999976717,871517.640000000013970,790526.000000000000000,866124.729999999981374,852682.260000000009313,757269.809999999939464,833832.209999999962747,782856.359999999986030,766093.900000000023283,11011663.029999999329448
20100504,944281.750000000116415,907089.629999999888241,877800.000000000000000,866604.680000000051223,777728.000000000000000,845290.039999999920838,782903.000000000000000,856665.670000000041910,832460.040000000037253,745551.239999999990687,810658.489999999874271,772087.140000000013970,770085.300000000046566,10789214.980000002309680
20100505,934570.849999999976717,878805.659999999916181,868061.599999999860302,862200.800000000046566,773721.799999999930151,830677.520000000018626,788227.000000000000000,856908.209999999962747,822111.580000000074506,750987.689999999944121,804427.819999999948777,785273.939999999944121,780776.550000000046566,10736761.019999999552965
20100506,899049.400000000023283,840632.189999999944121,835688.000000000000000,830884.319999999948777,752234.000000000000000,805948.640000000013970,767173.000000000000000,841870.729999999981374,799800.679999999934807,733953.479999999981374,778739.969999999855645,761757.479999999981374,758823.849999999860302,10406565.740000000223517
20100507,860972.449999999953434,803052.089999999967404,817264.000000000000000,817917.339999999967404,741186.599999999976717,798455.039999999920838,766084.000000000000000,824771.660000000032596,784515.339999999967404,728637.839999999967404,759282.789999999804422,766372.859999999986030,746992.199999999953434,10215514.209999997168779
20100510,927159.900000000023283,852301.800000000046566,877668.400000000023283,863424.099999999976717,766498.500000000000000,844915.359999999986030,783508.000000000000000,855938.050000000046566,816225.299999999930151,754128.750000000000000,798415.770000000018626,781757.459999999962747,749558.099999999976717,10671509.490000000223517
20100511,936615.250000000000000,857048.759999999892898,869509.199999999953434,871742.540000000037253,770261.900000000023283,834799.000000000000000,782540.000000000000000,854725.350000000093132,807395.880000000004657,753524.699999999953434,799399.559999999823049,794944.260000000009313,747847.500000000000000,10680363.900000000372529
20100512,956803.699999999953434,872278.589999999967404,896882.000000000116415,878103.699999999953434,805407.200000000069849,865148.079999999958090,785323.000000000116415,857029.479999999981374,820687.479999999981374,761377.349999999976717,799618.179999999934807,803735.459999999962747,748132.599999999860302,10850536.819999998435378
20100513,943259.549999999930151,846763.679999999934807,880563.599999999976717,862934.780000000027940,798123.199999999953434,843041.959999999962747,782540.000000000000000,854967.890000000013970,812617.580000000074506,758115.479999999981374,796448.189999999944121,788131.079999999958090,746992.199999999953434,10714509.189999999478459
20100514,926648.799999999930151,803843.250000000000000,853848.799999999930151,861222.160000000032596,796362.899999999906868,820186.479999999981374,774070.000000000000000,843932.320000000065193,803978.040000000037253,755578.469999999972060,782456.509999999892898,777581.640000000013970,743000.799999999930151,10542720.170000001788139
20100517,928182.099999999976717,815315.069999999948777,839372.800000000046566,870763.900000000023283,791810.399999999906868,825057.319999999948777,772981.000000000000000,850602.170000000041910,803978.040000000037253,765726.510000000009313,776444.459999999962747,784834.380000000004657,751696.349999999860302,10576774.500000000000000
20100518,921282.249999999883585,788020.050000000046566,831608.400000000023283,849723.139999999897555,788836.099999999860302,802951.199999999953434,761970.000000000000000,849146.929999999934807,797712.000000000000000,763672.739999999990687,772618.609999999986030,773625.600000000093132,765666.250000000000000,10466843.269999999552965
20100519,906715.899999999906868,794547.119999999995343,808578.400000000023283,841160.040000000037253,782219.800000000046566,809320.760000000009313,752895.000000000000000,841628.190000000060536,783660.880000000004657,763793.549999999930151,758080.379999999888241,765054.180000000051223,756115.399999999906868,10363779.599999999627471
20100520,868127.849999999976717,763889.669999999925494,772125.200000000069849,804705.699999999953434,751505.599999999976717,778971.679999999934807,732688.000000000000000,820527.209999999962747,755558.640000000013970,744343.140000000013970,726161.859999999986030,718900.380000000004657,731311.699999999953434,9968826.629999998956919
20100521,884738.599999999976717,787624.469999999972060,790812.400000000023283,807886.280000000027940,761339.000000000000000,783467.839999999967404,736681.000000000000000,822952.609999999986030,766191.920000000041910,747242.579999999958090,726271.169999999925494,727471.800000000046566,732309.549999999930151,10074999.220000002533197
20100524,900838.250000000000000,772196.849999999976717,779363.199999999953434,812779.479999999981374,755451.099999999976717,774475.520000000018626,732930.000000000000000,820527.209999999962747,755653.580000000074506,741806.130000000004657,722882.559999999823049,719559.720000000088476,727035.199999999953434,10015508.800000000745058
20100525,895216.150000000023283,771405.689999999944121,779231.599999999976717,831373.639999999897555,755876.000000000000000,781219.760000000009313,730268.000000000000000,822710.070000000065193,754514.299999999930151,737577.779999999911524,723210.489999999874271,723295.979999999981374,716771.599999999976717,10022681.060000000521541
20100526,891127.349999999976717,754989.119999999995343,786074.799999999930151,832841.599999999976717,748045.699999999953434,775599.559999999939464,721919.000000000000000,800517.660000000032596,751666.099999999976717,730208.369999999995343,723101.179999999934807,701537.760000000009313,713065.300000000046566,9930703.500000000000000
20100527,924859.949999999953434,797711.759999999892898,816737.599999999976717,845319.259999999892898,767226.900000000023283,815315.640000000013970,714296.000000000000000,814948.790000000037253,773122.540000000037253,736369.680000000051223,744525.939999999944121,710768.520000000018626,722758.699999999953434,10183971.279999997466803
20100528,937893.000000000116415,788613.419999999925494,799629.599999999976717,828437.719999999972060,760367.800000000046566,802576.520000000018626,705463.000000000000000,810946.880000000121072,752995.260000000009313,738061.020000000018626,736546.309999999823049,704175.119999999995343,720763.000000000000000,10086478.650000000372529
20100601,952203.799999999930151,775163.699999999953434,780021.200000000069849,820608.599999999976717,754783.400000000023283,793584.199999999953434,711029.000000000000000,804762.109999999986030,741222.699999999953434,738906.689999999944121,722008.079999999841675,703735.560000000055879,725894.799999999930151,10023933.840000001713634
20100602,963703.550000000046566,810370.319999999948777,800945.599999999976717,828682.379999999888241,773418.299999999930151,817189.039999999920838,722766.000000000000000,821861.179999999934807,747583.679999999934807,745913.670000000041910,737420.789999999804422,721317.959999999962747,737298.799999999930151,10228481.269999999552965
20100603,960636.950000000069849,801865.349999999976717,804235.599999999976717,817917.339999999967404,776756.799999999930151,820561.159999999916181,723250.000000000000000,822831.339999999967404,743786.080000000074506,746638.529999999911524,741683.879999999888241,710988.300000000046566,737298.799999999930151,10208460.130000000819564
20100604,934570.849999999976717,759736.079999999841675,760149.599999999976717,786600.859999999986030,760489.199999999953434,784966.559999999939464,701954.000000000000000,808885.290000000037253,722519.519999999902211,734557.529999999911524,712060.869999999878928,677801.520000000018626,718482.199999999953434,9862784.079999998211861
20100607,916171.250000000000000,745890.779999999911524,734750.799999999930151,771921.260000000009313,753508.699999999953434,760987.039999999920838,701833.000000000000000,809491.640000000013970,709607.679999999934807,732382.949999999953434,691073.349999999860302,659340.000000000000000,723328.900000000023283,9710297.349999999627471
