訓練日期,20120815 - 20121116
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10209411.759999997913837
真實報酬,209411.759999997913837

夏普值報酬,0.012241176000000
夏普值風險,0.022506132211178
夏普值,0.543904029583547

預期報酬,11815.724418939833413
風險,235827.021029169205576
趨勢值,0.050103352734453
找到最佳解世代,72
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CAT[3](27),GS[8](4),HD[9](1),JPM[13](5),MCD[15](15),MSFT[18](28),PFE[20](8),TRV[22](3),UNH[23](6),UTX[24](16),V[25](2),
20121010,860365.049999999930151,1057156.459999999962747,992668.480000000097789,1023519.010000000009313,953242.479999999981374,874392.200000000069849,953823.799999999930151,992929.020000000018626,998998.880000000004657,888520.880000000004657,961724.360000000102445,10557350.620000001043081
20121011,857158.099999999860302,1073970.189999999944121,980538.799999999930151,1031605.000000000000000,952829.839999999967404,873487.040000000037253,952307.400000000023283,989495.339999999967404,1008619.479999999981374,888871.489999999990687,973203.130000000004657,10582095.810000000521541
20121012,856847.749999999883585,1058212.820000000065193,989677.600000000093132,1019843.559999999939464,954377.239999999990687,881030.040000000037253,952307.400000000023283,983200.260000000009313,998299.200000000069849,887819.659999999916181,973763.070000000065193,10555388.599999999627471
20121015,856744.300000000046566,1096065.719999999972060,1007789.040000000037253,1038465.839999999967404,964590.079999999958090,890383.360000000102445,969366.899999999906868,998508.750000000116415,1005645.840000000083819,890040.190000000060536,979082.500000000000000,10696692.519999999552965
20121016,878986.049999999930151,1084797.879999999888241,1011278.400000000023283,1049492.189999999944121,970676.520000000018626,889779.919999999925494,978086.199999999953434,1008523.649999999906868,994975.720000000088476,906986.339999999967404,988041.540000000037253,10761634.410000000149012
20121017,896262.199999999953434,1099762.979999999981374,1020084.880000000004657,1061498.659999999916181,966446.960000000079162,892797.119999999995343,979602.599999999976717,1021256.879999999888241,979407.840000000083819,917972.120000000111759,997840.489999999990687,10832942.729999998584390
20121018,896158.750000000000000,1101787.669999999925494,1026897.439999999944121,1053902.729999999981374,957987.839999999967404,890081.640000000013970,987184.599999999976717,1057882.800000000046566,979757.679999999934807,926036.150000000023283,993081.000000000000000,10870768.299999998882413
20121019,867606.549999999930151,1088319.080000000074506,1028392.880000000004657,1036995.659999999916181,915279.599999999976717,864133.720000000088476,976569.800000000046566,1051730.790000000037253,973635.479999999981374,911544.269999999902211,979642.440000000060536,10693860.269999997690320
20121022,880227.449999999953434,1080836.530000000027940,1030885.280000000027940,1031359.970000000088476,912494.280000000027940,844823.640000000013970,970504.199999999953434,1058598.149999999906868,989028.439999999944121,909674.349999999976717,972923.160000000032596,10681365.449999999254942
20121023,864709.949999999953434,1047649.219999999972060,1026066.640000000013970,1012737.689999999944121,907439.439999999944121,846332.239999999990687,954961.099999999976717,1049870.879999999888241,982731.319999999948777,900792.229999999981374,956404.929999999934807,10549705.639999998733401
20121024,855916.700000000069849,1054427.530000000027940,1018257.119999999995343,1022048.829999999958090,900424.559999999939464,841806.439999999944121,959510.299999999930151,1047009.480000000097789,978183.400000000023283,910492.440000000060536,955285.049999999930151,10543371.849999999627471
20121025,864192.699999999953434,1053987.379999999888241,1004964.319999999948777,1021068.709999999962747,900940.359999999986030,841203.000000000000000,970883.299999999930151,1031844.060000000055879,983256.080000000074506,903363.370000000111759,962844.239999999990687,10538557.520000001415610
20121026,871641.099999999976717,1051522.540000000037253,997653.280000000027940,1008572.179999999818392,894544.439999999944121,851159.760000000009313,964059.500000000000000,1023832.140000000013970,975734.520000000018626,913998.540000000037253,968163.670000000041910,10520891.669999999925494
20121031,877434.300000000046566,1077491.389999999897555,1019918.720000000088476,1021313.739999999990687,895472.879999999888241,861116.520000000018626,942829.900000000023283,1014961.799999999930151,979582.760000000009313,913531.059999999939464,971243.339999999967404,10574906.410000002011657
20121101,906814.100000000093132,1099146.770000000018626,1034540.799999999930151,1049737.219999999972060,895472.879999999888241,890685.079999999958090,930698.699999999953434,1004803.830000000074506,996200.160000000032596,924049.359999999986030,1007079.500000000000000,10739238.399999998509884
20121102,887572.400000000023283,1085061.969999999972060,1030552.960000000079162,1039445.959999999962747,896091.839999999967404,890081.640000000013970,930698.699999999953434,996076.560000000055879,980457.359999999986030,912479.229999999981374,1003719.860000000102445,10652248.479999998584390
20121105,897710.499999999883585,1092368.459999999962747,1036534.720000000088476,1035770.510000000009313,902281.439999999944121,894004.000000000000000,931835.999999999883585,988779.989999999990687,966988.520000000018626,910492.440000000060536,990561.270000000135042,10647337.849999999627471
20121106,911262.449999999953434,1111470.969999999972060,1040522.559999999939464,1050717.340000000083819,907542.599999999976717,900943.559999999939464,936764.299999999930151,1003945.410000000032596,986404.640000000013970,934684.530000000027940,1007079.500000000000000,10791347.859999999403954
20121107,879606.749999999883585,1038670.160000000032596,1030054.480000000097789,991910.139999999897555,896091.839999999967404,877409.399999999906868,916292.900000000023283,983057.189999999827705,949146.679999999934807,907921.300000000046566,997840.489999999990687,10468011.330000000074506
20121108,865537.549999999930151,1014814.029999999911524,1011278.400000000023283,989949.899999999906868,878245.159999999916181,869262.959999999962747,915913.799999999930151,987206.219999999972060,934803.239999999990687,890157.059999999939464,994480.850000000093132,10351659.169999999925494
20121109,878882.599999999976717,1022560.670000000041910,1012940.000000000000000,995340.559999999939464,874221.919999999925494,869866.399999999906868,916292.900000000023283,986920.080000000074506,925357.559999999939464,886417.220000000088476,1000360.219999999972060,10369170.130000002682209
20121112,881261.950000000069849,1032155.939999999944121,1016263.199999999953434,994360.439999999944121,875666.159999999916181,851461.479999999981374,914018.299999999930151,979051.230000000097789,913113.160000000032596,899389.790000000037253,1002599.980000000097789,10359351.629999998956919
20121113,861399.550000000046566,1025377.630000000004657,1053150.720000000204891,981128.819999999948777,873190.319999999948777,817367.119999999995343,911743.699999999953434,976189.830000000074506,912938.239999999990687,899974.140000000013970,997000.580000000074506,10309470.650000000372529
20121114,839054.349999999860302,1005746.939999999944121,1021414.160000000032596,962751.569999999948777,872984.000000000000000,809824.119999999995343,902645.299999999930151,973900.709999999846332,896495.760000000009313,872509.690000000060536,979642.440000000060536,10136979.039999999105930
20121115,841123.349999999976717,1016310.539999999920838,1017758.640000000013970,965201.869999999995343,867103.879999999888241,804393.160000000032596,896958.799999999930151,977477.459999999846332,896495.760000000009313,874730.220000000088476,979922.410000000032596,10137486.089999999850988
20121116,847640.700000000069849,1019831.739999999990687,1032214.559999999939464,968632.290000000037253,867826.000000000000000,800169.079999999958090,904540.799999999930151,982198.770000000018626,907865.559999999939464,879521.890000000013970,998960.369999999995343,10209411.759999997913837
