訓練日期,20110509 - 20110809
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9558600.099999999627471
真實報酬,-441399.900000000372529

夏普值報酬,-0.052839990000000
夏普值風險,0.026784240176950
夏普值,-1.972801529963608

預期報酬,584.575774942621138
風險,266937.560690272890497
趨勢值,0.002189934505399
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](5),AXP[1](10),JNJ[12](7),KO[14](6),MCD[15](1),MMM[16](19),MSFT[18](8),UTX[24](23),V[25](3),VZ[26](14),WBA[27](17),
20110606,886509.659999999916181,883375.219999999972060,919953.839999999967404,888979.020000000018626,932192.000000000000000,861735.180000000167638,843729.599999999976717,853045.000000000000000,895350.899999999906868,858613.049999999930151,921972.599999999860302,9745466.070000000298023
20110607,870721.779999999911524,885367.209999999962747,912293.440000000060536,885989.550000000046566,937274.439999999944121,863922.250000000000000,845486.599999999860302,848357.600000000093132,913669.699999999953434,862758.500000000000000,921757.889999999897555,9747608.960000000894070
20110608,871272.520000000018626,871061.099999999976717,921207.360000000102445,888707.250000000000000,937389.949999999953434,864492.790000000037253,841269.800000000046566,846217.700000000186265,878406.009999999892898,875438.699999999953434,927125.639999999897555,9722598.820000000298023
20110609,869436.719999999972060,875226.169999999925494,930121.280000000027940,895501.500000000000000,938660.559999999939464,874477.239999999990687,841972.599999999976717,856917.200000000069849,875200.219999999855645,869830.150000000023283,936143.459999999846332,9763497.099999997764826
20110610,854750.320000000065193,864541.859999999986030,920510.960000000079162,888707.250000000000000,928264.659999999916181,862781.170000000158325,833187.599999999976717,842753.100000000093132,855049.540000000037253,858125.349999999860302,922616.729999999864958,9631298.540000000968575
20110613,856586.119999999878928,873596.359999999986030,927474.960000000079162,884902.470000000088476,932538.530000000027940,868201.300000000046566,844783.799999999930151,843466.400000000023283,857339.389999999897555,868854.750000000000000,933996.359999999869615,9691750.439999999478459
20110614,871823.260000000009313,871966.549999999930151,934578.239999999990687,891696.720000000088476,941086.269999999902211,880467.910000000149012,851108.999999999883585,856203.900000000023283,869246.609999999986030,867635.499999999883585,946878.959999999846332,9782702.919999999925494
20110615,856953.279999999911524,856211.719999999972060,921485.920000000041910,883000.080000000074506,938429.539999999920838,865633.870000000111759,834241.799999999930151,848561.400000000023283,856881.419999999925494,856418.399999999906868,940222.949999999837019,9658050.379999998956919
20110616,852730.940000000060536,876674.889999999897555,923714.400000000023283,889794.330000000074506,945013.609999999986030,870863.820000000065193,843378.199999999953434,859566.600000000093132,857339.389999999897555,859344.599999999976717,952890.839999999967404,9731321.620000001043081
20110617,839880.339999999967404,878304.699999999953434,923296.560000000172295,891696.720000000088476,953214.819999999832362,872765.620000000111759,852514.599999999976717,861808.400000000023283,852301.719999999855645,865928.549999999930151,959117.429999999934807,9750839.460000000894070
20110620,827029.739999999874271,885186.119999999995343,926360.720000000088476,894686.190000000060536,955178.489999999874271,880182.640000000130385,859893.999999999883585,871692.700000000186265,847722.020000000018626,869342.449999999953434,970067.639999999897555,9787352.710000000894070
20110621,853098.099999999976717,897319.149999999906868,926082.160000000032596,900393.360000000102445,956449.099999999860302,888455.470000000204891,870084.599999999976717,871896.500000000116415,858713.299999999930151,877633.349999999976717,929272.739999999874271,9829407.830000000074506
20110622,846122.060000000055879,902751.849999999976717,920232.400000000023283,902295.750000000000000,954716.449999999953434,882464.800000000046566,866219.199999999953434,870673.700000000069849,855049.540000000037253,876414.099999999860302,915746.009999999892898,9792695.859999999403954
20110623,868702.400000000023283,891162.089999999967404,914661.200000000069849,883000.080000000074506,950558.089999999967404,878090.660000000149012,865516.399999999906868,867412.900000000139698,862377.059999999823049,879096.449999999837019,914457.750000000000000,9775045.080000000074506
20110624,855851.799999999930151,875407.260000000009313,906165.120000000111759,882456.539999999920838,945360.140000000013970,864302.610000000102445,853920.199999999953434,859362.800000000046566,839936.529999999911524,877877.199999999953434,888692.549999999930151,9649342.750000001862645
20110627,870721.779999999911524,897138.059999999939464,908811.440000000060536,885989.550000000046566,950904.619999999878928,877234.850000000093132,885546.199999999953434,869552.800000000046566,845890.139999999897555,887631.199999999953434,895777.979999999864958,9775208.620000001043081
20110628,879166.459999999962747,902208.579999999958090,918003.920000000041910,897403.890000000013970,974353.149999999906868,884556.780000000027940,906630.199999999953434,881984.600000000093132,861919.089999999967404,891776.649999999906868,892986.750000000000000,9891000.070000000298023
20110629,876045.599999999976717,922128.479999999981374,923575.120000000111759,906372.300000000046566,976894.369999999878928,885412.590000000083819,900305.000000000000000,881169.400000000139698,991066.630000000004657,895434.399999999906868,896636.819999999832362,10055050.710000000894070
20110630,880267.940000000060536,936253.500000000000000,926500.000000000000000,914525.399999999906868,974006.619999999878928,901958.250000000000000,913658.199999999953434,901957.000000000116415,964962.339999999967404,907870.749999999883585,911666.519999999902211,10133636.519999999552965
20110701,900278.159999999916181,947843.260000000009313,937363.839999999967404,925396.199999999953434,989369.449999999953434,919264.630000000121072,914360.999999999883585,918464.800000000046566,1007095.579999999841675,921770.199999999837019,919610.789999999804422,10300827.909999998286366
20110705,916433.199999999953434,947662.169999999925494,941820.800000000162981,928113.899999999906868,989253.939999999944121,914224.860000000102445,914712.400000000023283,912147.000000000116415,1011217.309999999823049,922257.899999999906868,917463.689999999827705,10315317.169999999925494
20110706,922491.339999999967404,955449.039999999920838,940845.839999999967404,931375.140000000013970,991795.159999999916181,924684.760000000009313,925254.399999999906868,921419.900000000139698,1009843.399999999906868,915430.099999999976717,931419.839999999967404,10370018.919999999925494
20110707,936810.579999999958090,970479.510000000009313,945999.200000000069849,934364.610000000102445,994105.359999999986030,931626.330000000074506,940715.999999999883585,931304.200000000069849,1032283.929999999934807,912503.900000000023283,947737.799999999930151,10477941.420000001788139
20110708,943419.459999999962747,961062.829999999958090,941124.400000000023283,933277.530000000027940,988791.899999999906868,928298.180000000167638,945987.000000000000000,920706.600000000093132,1027246.259999999892898,913966.999999999883585,946234.829999999841675,10450125.989999998360872
20110711,928365.900000000023283,946575.630000000004657,936946.000000000000000,925396.199999999953434,985904.149999999906868,918218.640000000130385,935796.399999999906868,908274.800000000046566,1006637.609999999986030,905188.399999999906868,932493.389999999897555,10329807.120000002905726
20110712,927815.159999999916181,948929.799999999930151,933603.280000000027940,921863.190000000060536,981745.789999999920838,911752.520000000018626,932633.799999999930151,901447.500000000000000,1004347.759999999892898,904456.850000000093132,913598.909999999799766,10282204.560000000521541
20110713,939013.539999999920838,940780.750000000000000,941960.079999999958090,924852.660000000032596,981399.259999999892898,914700.310000000055879,935796.399999999906868,898492.400000000139698,1016254.979999999981374,900799.099999999860302,918751.949999999837019,10312811.429999999701977
20110714,938279.219999999972060,930458.619999999995343,942377.920000000041910,919689.030000000027940,991217.609999999986030,903194.420000000158325,930173.999999999883585,894925.900000000023283,1007095.579999999841675,899336.000000000000000,905010.509999999892898,10261768.810000000521541
20110715,957004.380000000004657,938245.489999999990687,939453.040000000153668,917786.640000000013970,987405.780000000027940,907853.830000000074506,941067.400000000023283,900020.900000000023283,1016254.979999999981374,897872.899999999906868,900286.889999999897555,10303262.230000002309680
20110718,980319.039999999920838,929553.169999999925494,934438.960000000079162,912079.470000000088476,986481.699999999953434,899581.000000000000000,934390.799999999930151,892887.900000000139698,1008469.489999999874271,895190.549999999930151,894704.429999999934807,10268106.509999999776483
20110719,988396.560000000055879,938245.489999999990687,929285.600000000093132,941974.169999999925494,995838.009999999892898,896443.030000000027940,967773.799999999930151,905115.900000000023283,1021292.649999999906868,901530.649999999906868,905010.509999999892898,10390916.370000001043081
20110720,1014648.500000000000000,943316.010000000009313,922600.160000000032596,935995.229999999864958,996531.069999999832362,896252.850000000093132,950906.599999999860302,888811.900000000139698,1014881.069999999948777,910309.249999999883585,897495.659999999799766,10371758.300000000745058
20110721,1015749.979999999981374,952189.419999999925494,925803.600000000093132,942245.940000000060536,999649.839999999967404,911372.160000000149012,952312.199999999953434,898900.000000000000000,1008011.520000000018626,916161.649999999906868,851118.299999999930151,10373524.610000001266599
20110722,1031537.859999999869615,946032.359999999986030,929285.600000000093132,947681.339999999850988,1022982.859999999986030,906998.020000000018626,967422.400000000023283,893703.100000000093132,1024956.409999999916181,895922.099999999976717,859277.279999999911524,10425809.329999998211861
20110725,1045122.779999999911524,938245.489999999990687,922739.440000000060536,941158.860000000102445,1017900.419999999925494,904050.229999999981374,980775.599999999976717,889830.900000000023283,1019918.739999999874271,883241.899999999906868,854553.659999999799766,10397548.020000001415610
20110726,1057973.379999999888241,933899.329999999958090,918143.200000000069849,940343.550000000046566,1016745.319999999832362,855173.970000000204891,986749.399999999906868,878214.300000000162981,1021292.649999999906868,884705.000000000000000,853050.689999999827705,10346300.789999999105930
20110727,1029518.479999999981374,914160.519999999902211,908532.880000000121072,933549.300000000046566,1006002.890000000013970,837582.320000000065193,960394.399999999906868,853350.700000000069849,1004805.729999999981374,882998.049999999930151,836518.019999999902211,10167423.289999999105930
20110728,1027499.099999999976717,915428.149999999906868,906443.680000000051223,935179.919999999925494,1002422.079999999958090,832732.729999999981374,974098.999999999883585,844994.900000000139698,995188.359999999986030,869586.299999999813735,841241.639999999897555,10144825.859999999403954
20110729,1024011.079999999958090,906192.559999999939464,902404.560000000172295,924309.119999999878928,998956.780000000027940,828643.860000000102445,962854.199999999953434,844179.700000000069849,979617.380000000004657,860563.849999999976717,838235.699999999837019,10069978.790000000968575
20110801,1040533.279999999911524,905830.380000000004657,897111.920000000041910,920504.339999999850988,997917.189999999944121,825125.530000000027940,958285.999999999883585,839084.700000000069849,980991.290000000037253,874707.149999999906868,839523.959999999846332,10079625.739999998360872
20110802,1019972.320000000065193,878666.880000000004657,883462.480000000097789,911264.160000000032596,982554.359999999986030,810862.030000000027940,941770.199999999953434,804336.800000000162981,956718.880000000004657,865440.849999999976717,820844.189999999827705,9875903.150000000372529
20110803,1029518.479999999981374,884823.939999999944121,883183.920000000041910,929472.750000000000000,988098.839999999967404,819515.220000000204891,945987.000000000000000,808209.000000000116415,1001599.939999999944121,877145.649999999906868,818911.799999999930151,9986476.540000000968575
20110804,989681.619999999878928,848243.760000000009313,861316.960000000079162,894414.419999999925494,973544.579999999958090,781954.670000000158325,911549.800000000046566,757870.400000000139698,973205.799999999930151,851541.400000000023283,795508.409999999799766,9638841.820000000298023
20110805,979768.299999999930151,854944.089999999967404,873434.320000000065193,907459.380000000004657,982785.379999999888241,786899.350000000093132,902413.399999999906868,755526.700000000069849,954887.000000000000000,854711.449999999837019,795078.989999999874271,9647918.360000001266599
20110808,926346.520000000018626,779429.559999999939464,851288.800000000046566,884902.470000000088476,948478.909999999916181,747341.910000000149012,860245.400000000023283,710690.700000000069849,907258.119999999878928,807648.399999999906868,756216.479999999864958,9179857.270000001415610
20110809,980869.779999999911524,834843.099999999976717,866331.040000000153668,906100.530000000027940,992950.259999999892898,786328.810000000055879,898899.399999999906868,729338.400000000023283,947559.479999999981374,836178.849999999976717,779190.449999999837019,9558600.099999999627471
