訓練日期,20150608 - 20150908
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9924944.269999999552965
真實報酬,-75055.730000000447035

夏普值報酬,-0.016205573000000
夏普值風險,0.024716014067408
夏普值,-0.655670973313196

預期報酬,3195.243736614526824
風險,263137.931846741063055
趨勢值,0.012142847343178
找到最佳解世代,26
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](14),CSCO[4](20),HD[9](1),JNJ[12](11),KO[14](8),MMM[16](18),MSFT[18](16),NKE[19](2),TRV[22](5),V[25](3),WBA[27](4),
20150616,908746.500000000000000,913225.040000000153668,907936.959999999962747,906969.399999999906868,908636.599999999976717,905675.669999999925494,902982.379999999888241,931540.679999999934807,910737.719999999972060,917599.440000000060536,930653.639999999897555,10044714.029999999329448
20150617,919738.499999999883585,920222.800000000046566,909913.599999999976717,910380.800000000046566,912943.900000000023283,908337.689999999827705,905740.659999999916181,933322.479999999981374,913392.380000000004657,914142.479999999981374,927836.280000000027940,10075981.569999998435378
20150618,924891.000000000000000,929129.040000000153668,921279.279999999911524,925409.399999999906868,921558.500000000000000,923788.979999999981374,920517.159999999916181,944369.639999999897555,928862.640000000013970,924114.479999999981374,951458.759999999892898,10215388.879999998956919
20150619,918250.000000000000000,923403.600000000093132,926056.160000000032596,920799.399999999906868,915891.000000000000000,919911.689999999827705,908301.920000000041910,949180.500000000000000,910371.560000000055879,913344.719999999972060,959260.679999999934807,10164781.230000000447035
20150622,930387.000000000000000,920540.880000000121072,931327.199999999837019,922920.000000000000000,917704.599999999976717,924136.199999999953434,910863.179999999934807,951496.839999999850988,915772.420000000041910,918663.119999999995343,950916.959999999962747,10194738.399999998509884
20150623,931646.500000000000000,915769.680000000051223,932233.160000000032596,920061.799999999930151,915437.600000000093132,925062.119999999995343,904558.539999999920838,955060.439999999944121,915406.260000000009313,923050.800000000046566,943765.199999999953434,10182062.099999999627471
20150624,924547.499999999883585,906863.440000000176951,925397.279999999911524,915912.799999999930151,911130.299999999930151,911752.019999999902211,899239.000000000000000,946329.619999999878928,904238.380000000004657,915605.039999999920838,933579.359999999986030,10094604.739999998360872
20150625,914700.500000000000000,903364.560000000055879,924491.319999999948777,913976.599999999976717,907276.400000000023283,902377.079999999841675,899436.019999999902211,937420.619999999878928,895359.000000000000000,912414.000000000000000,935854.919999999925494,10046681.019999999552965
20150626,914700.500000000000000,899547.600000000093132,927456.279999999911524,918771.000000000000000,906823.000000000000000,909147.869999999995343,891752.239999999990687,977511.119999999878928,896365.940000000060536,914142.479999999981374,940297.679999999934807,10096525.710000000894070
20150629,890884.500000000000000,876009.680000000051223,910490.119999999995343,900699.800000000046566,893221.000000000000000,890976.689999999827705,874217.459999999962747,959336.760000000009313,880071.820000000065193,887151.599999999976717,913316.039999999920838,9876385.469999998807907
20150630,889968.500000000000000,873465.040000000153668,915349.359999999869615,898671.399999999906868,889367.099999999976717,893002.140000000013970,869883.019999999902211,962365.819999999832362,884831.900000000023283,892868.880000000004657,915049.799999999930151,9884832.960000000894070
20150701,897754.500000000116415,869966.160000000149012,923091.199999999837019,907983.599999999976717,895488.000000000000000,900814.589999999967404,875793.619999999995343,975016.599999999860302,908998.459999999962747,902176.079999999958090,929461.679999999934807,9986554.489999998360872
20150702,895578.999999999883585,869330.000000000000000,918314.319999999948777,907706.999999999883585,895261.300000000046566,899252.099999999860302,874808.519999999902211,978936.559999999823049,908357.680000000051223,907361.519999999902211,929895.119999999995343,9984813.119999997317791
20150706,888480.000000000000000,865831.120000000111759,916914.199999999837019,905494.199999999953434,893674.400000000023283,897516.000000000000000,874611.500000000000000,978580.199999999953434,905703.020000000018626,905766.000000000000000,925344.000000000000000,9957924.640000000596046
20150707,888022.000000000000000,870284.240000000107102,925809.079999999958090,912132.599999999976717,912490.500000000000000,899541.449999999953434,872838.319999999948777,991587.339999999850988,915680.880000000004657,901112.399999999906868,945498.959999999962747,10035007.769999999552965
20150708,869473.000000000116415,858515.280000000027940,914278.679999999934807,901529.599999999860302,903649.199999999953434,883800.809999999939464,871656.199999999953434,973591.159999999916181,904055.300000000046566,887284.560000000055879,930978.719999999972060,9898822.509999999776483
20150709,874167.500000000000000,855970.640000000130385,917408.359999999869615,907338.199999999953434,905009.400000000023283,889819.289999999920838,877172.760000000009313,975016.599999999860302,916047.039999999920838,891539.279999999911524,970421.759999999892898,9979920.830000000074506
20150710,885274.000000000000000,867739.600000000093132,931574.279999999911524,917756.799999999930151,915664.300000000046566,896763.689999999827705,878945.939999999944121,984638.319999999832362,924560.260000000009313,909754.800000000046566,1008997.919999999925494,10121679.910000000149012
20150713,899243.000000000000000,883961.680000000051223,946399.079999999958090,924579.599999999860302,921785.199999999953434,905559.929999999934807,897268.799999999930151,1001565.419999999925494,936735.079999999958090,924380.399999999906868,1023843.239999999990687,10265331.429999999701977
20150714,904281.000000000000000,891595.600000000093132,950187.639999999897555,920061.799999999930151,933346.900000000023283,907353.899999999906868,898844.959999999962747,1000852.699999999953434,937192.779999999911524,932092.079999999958090,1022217.839999999967404,10298037.199999999254942
20150715,899357.500000000116415,894140.240000000107102,951999.559999999939464,925962.599999999976717,932440.100000000093132,902840.039999999920838,901603.239999999990687,996932.739999999990687,937558.940000000060536,931028.399999999906868,1018100.160000000032596,10291973.520000001415610
20150716,903708.500000000000000,900819.920000000158325,944998.959999999962747,932324.399999999906868,940374.599999999976717,909610.829999999841675,919335.039999999920838,1000852.699999999953434,945522.920000000041910,938341.199999999837019,1041289.199999999953434,10377188.269999999552965
20150717,907143.500000000000000,896366.800000000046566,942857.599999999976717,922827.799999999930151,935160.500000000000000,906833.069999999948777,918546.959999999962747,1004950.839999999850988,942319.020000000018626,942462.959999999962747,1037604.959999999962747,10357084.010000001639128
20150720,908059.500000000000000,891595.600000000093132,934127.439999999944121,925501.599999999976717,938107.600000000093132,909321.479999999981374,924457.560000000055879,1007979.899999999906868,939298.199999999953434,966661.680000000051223,1036521.359999999986030,10381641.920000001788139
20150721,904052.000000000000000,885552.080000000074506,937833.639999999897555,925225.000000000000000,933800.299999999930151,901451.159999999916181,931550.280000000027940,1006732.639999999897555,956416.180000000051223,957620.399999999906868,1036629.719999999972060,10376873.400000000372529
20150722,904509.999999999883585,875691.600000000093132,946399.079999999958090,923749.800000000046566,927226.000000000000000,899425.709999999846332,897268.799999999930151,1016532.539999999804422,963922.459999999962747,956955.599999999976717,1047249.000000000000000,10358940.589999999850988
20150723,881839.000000000116415,890959.440000000176951,943845.919999999925494,923934.199999999953434,925865.800000000046566,865224.539999999920838,908498.939999999944121,1015641.639999999897555,963922.459999999962747,954030.479999999981374,1034679.239999999990687,10308451.660000000149012
20150724,869129.500000000116415,903364.560000000055879,935609.919999999925494,914253.199999999953434,916797.799999999930151,864240.750000000000000,905149.599999999976717,1006732.639999999897555,963647.839999999967404,994583.279999999911524,1030669.919999999925494,10304189.009999997913837
20150727,857908.500000000000000,897321.040000000153668,931327.199999999837019,906231.799999999930151,919064.799999999930151,860652.809999999939464,893525.420000000041910,995507.299999999813735,966577.119999999995343,982085.039999999920838,1022759.639999999897555,10232970.669999999925494
20150728,860084.000000000000000,897321.040000000153668,945904.919999999925494,913054.599999999860302,919291.499999999883585,874541.609999999986030,893328.400000000023283,1011008.959999999962747,969781.020000000018626,993785.519999999902211,1042697.880000000004657,10320809.450000001117587
20150729,866839.500000000000000,903364.560000000055879,958506.000000000000000,919600.800000000046566,920198.300000000046566,876509.189999999827705,912045.299999999930151,1023837.919999999925494,974266.480000000097789,1010671.440000000060536,1046598.839999999967404,10412448.330000000074506
20150730,871648.500000000000000,900183.760000000125729,959247.239999999874271,920615.000000000000000,919518.200000000069849,877203.629999999888241,923669.479999999981374,1024728.819999999832362,974907.260000000009313,1015590.959999999962747,1046165.400000000023283,10433488.250000001862645
20150731,870961.500000000000000,904000.720000000204891,963941.759999999892898,924026.399999999906868,931306.599999999976717,875872.619999999995343,920123.119999999995343,1026510.619999999878928,971428.740000000107102,1001763.119999999995343,1047140.639999999897555,10437085.839999999850988
20150803,870045.500000000000000,902092.240000000107102,962788.719999999972060,922274.599999999860302,941734.799999999930151,868812.479999999981374,922290.339999999967404,1023125.199999999953434,978935.020000000018626,1007480.399999999906868,1039338.719999999972060,10438928.020000001415610
20150804,867068.500000000000000,891595.600000000093132,968059.759999999892898,920246.199999999953434,948762.500000000000000,870432.839999999967404,936672.799999999930151,1031499.659999999916181,976097.279999999911524,1000832.399999999906868,1036738.079999999958090,10448015.619999999180436
20150805,865580.000000000000000,899229.520000000135042,971930.679999999934807,926884.599999999860302,954883.399999999906868,873962.909999999916181,937460.879999999888241,1040230.479999999981374,971062.579999999958090,996976.560000000055879,1047682.440000000060536,10485894.049999998882413
20150806,858824.500000000000000,897321.040000000153668,960070.839999999967404,913515.599999999860302,950349.400000000023283,863835.659999999916181,918546.959999999962747,1025619.719999999972060,965387.099999999976717,978362.159999999916181,1015716.239999999990687,10347559.219999998807907
20150807,912868.500000000000000,895412.560000000055879,963118.160000000032596,911487.199999999953434,946948.900000000023283,861694.469999999855645,920911.199999999953434,1020274.319999999832362,965570.180000000051223,986738.639999999897555,1010840.039999999920838,10395874.169999999925494
20150810,930501.500000000116415,909408.080000000074506,968636.279999999911524,920154.000000000000000,944908.599999999976717,875293.919999999925494,932535.379999999888241,1027757.879999999888241,968682.539999999920838,988998.959999999962747,1018100.160000000032596,10484987.300000000745058
20150811,931417.500000000000000,891277.520000000135042,969377.519999999902211,912962.400000000023283,940374.599999999976717,859321.799999999813735,914409.539999999920838,1019739.779999999795109,969323.320000000065193,975437.039999999920838,1007264.160000000032596,10390915.179999999701977
20150812,927524.500000000000000,887460.560000000055879,969377.519999999902211,910196.399999999906868,935387.199999999953434,859553.280000000027940,920911.199999999953434,1007267.179999999934807,965112.480000000097789,977830.320000000065193,1011706.919999999925494,10372337.560000000521541
20150813,924776.500000000116415,912906.960000000079162,980331.399999999906868,908075.800000000046566,931760.000000000000000,853071.839999999967404,920714.179999999934807,1012078.039999999804422,979026.560000000055879,983015.760000000125729,1002821.400000000023283,10408588.439999999478459
20150814,926494.000000000000000,923403.600000000093132,986343.679999999934807,911118.400000000023283,935160.500000000000000,858164.399999999906868,926033.719999999972060,1018848.879999999888241,985983.599999999976717,986871.599999999976717,998053.559999999939464,10456485.939999999478459
20150817,927524.500000000000000,917042.000000000000000,985931.880000000004657,920891.599999999976717,937427.500000000000000,863719.919999999925494,932338.359999999986030,1024372.459999999962747,985983.599999999976717,989397.839999999967404,1004555.160000000032596,10489194.820000000298023
20150818,930272.499999999883585,898593.360000000102445,1011463.479999999864958,916281.599999999976717,936293.999999999883585,858338.009999999892898,931353.260000000009313,1022947.019999999785796,986990.539999999920838,990195.599999999976717,996319.799999999930151,10479059.169999998062849
20150819,926952.000000000000000,884279.760000000125729,1011134.039999999920838,915728.400000000023283,924505.599999999976717,844217.729999999981374,918349.939999999944121,1024194.279999999795109,981498.140000000013970,989264.880000000004657,990576.719999999972060,10410711.490000000223517
20150820,901876.500000000116415,860105.680000000051223,992850.119999999995343,910934.000000000000000,919291.499999999883585,829634.489999999874271,899633.039999999920838,1000496.339999999850988,967584.060000000055879,983281.680000000051223,972805.679999999934807,10238503.089999999850988
20150821,882068.000000000000000,841975.120000000111759,956776.439999999944121,881153.400000000023283,896168.099999999976717,822342.869999999995343,848604.859999999986030,952209.559999999823049,942227.480000000097789,946584.719999999972060,927727.919999999925494,9897848.470000000670552
20150824,854817.000000000116415,801260.880000000121072,926962.119999999995343,855890.599999999860302,870097.600000000093132,802030.500000000000000,821219.079999999958090,925482.559999999823049,904238.380000000004657,908957.039999999920838,891535.679999999934807,9562501.439999999478459
20150825,841878.500000000000000,783130.320000000181608,914031.599999999976717,836620.800000000046566,861256.300000000046566,796590.719999999855645,797379.659999999916181,922453.500000000000000,894809.760000000009313,890475.599999999976717,877773.959999999962747,9416410.719999998807907
20150826,866038.000000000000000,816846.800000000046566,954882.160000000032596,877004.399999999906868,878032.099999999976717,825988.679999999934807,841512.140000000013970,968958.479999999981374,915406.260000000009313,939936.719999999972060,925560.719999999972060,9810176.460000000894070
20150827,880350.500000000000000,832432.720000000204891,969130.439999999944121,887238.599999999976717,890273.900000000023283,832817.339999999967404,864957.519999999902211,1003347.219999999972060,928221.860000000102445,962672.880000000004657,952000.559999999939464,10003453.540000000968575
20150828,877717.000000000116415,827025.360000000102445,967977.399999999906868,877557.599999999976717,894354.500000000116415,834611.309999999939464,865548.579999999958090,1002278.139999999897555,919342.480000000097789,963470.639999999897555,947341.079999999958090,9977234.089999999850988
20150831,878518.500000000000000,823208.400000000023283,959247.239999999874271,866585.800000000046566,891407.400000000023283,822632.219999999855645,857470.760000000009313,995685.479999999981374,911286.959999999962747,948047.279999999911524,937913.759999999892898,9892013.799999998882413
20150901,847374.500000000000000,799034.320000000181608,931327.199999999837019,849160.000000000000000,878485.500000000000000,801567.539999999920838,823977.359999999986030,967889.399999999906868,892429.719999999972060,916934.639999999897555,932387.400000000023283,9640577.580000000074506
20150902,858137.500000000000000,815892.560000000055879,959411.959999999962747,860777.199999999953434,881886.000000000000000,817423.919999999925494,854318.439999999944121,986241.939999999944121,905611.480000000097789,925710.000000000000000,951783.839999999967404,9817204.839999999850988
20150903,861801.500000000116415,823844.560000000055879,960400.279999999911524,854231.000000000000000,887780.199999999953434,820317.419999999925494,857076.719999999972060,987667.379999999888241,909639.240000000107102,936080.880000000004657,956443.320000000065193,9855292.500000000000000
20150904,848290.500000000000000,811757.520000000135042,942445.799999999930151,841968.400000000023283,873271.400000000023283,809322.119999999995343,839541.939999999944121,977332.939999999944121,894901.300000000046566,919593.839999999967404,947449.440000000060536,9705885.199999999254942
20150908,864434.999999999883585,836567.760000000125729,959000.160000000032596,866216.999999999883585,881886.000000000000000,830097.449999999953434,864760.500000000000000,995685.479999999981374,912202.360000000102445,937809.359999999986030,976273.199999999953434,9924944.269999999552965
