訓練日期,20120824 - 20121128
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10495960.350000001490116
真實報酬,495960.350000001490116

夏普值報酬,0.040896035000000
夏普值風險,0.020172728730859
夏普值,2.027293161258829

預期報酬,11209.226280681154094
風險,269514.285088332952000
趨勢值,0.041590471826038
找到最佳解世代,24
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](10),DIS[6](15),GS[8](4),HD[9](2),JPM[13](5),MCD[15](17),MRK[17](7),MSFT[18](28),PFE[20](9),UNH[23](14),V[25](1),
20120906,940873.199999999953434,958822.719999999855645,991713.640000000130385,926772.500000000000000,944740.280000000027940,934018.420000000041910,939675.600000000209548,941835.780000000027940,932065.800000000046566,925443.229999999981374,925961.640000000130385,10361932.810000002384186
20120907,941777.600000000093132,956604.159999999916181,1016081.500000000000000,920503.250000000000000,959635.260000000009313,937623.769999999902211,935640.000000000000000,929818.979999999981374,928236.500000000000000,925274.640000000013970,927391.440000000060536,10378597.099999999627471
20120910,918392.400000000023283,952536.799999999930151,1001670.400000000139698,921146.250000000000000,946449.540000000037253,940508.049999999930151,940100.400000000023283,922909.319999999948777,922875.480000000097789,906055.380000000004657,919956.480000000097789,10292610.500000001862645
20120911,920847.199999999953434,953276.319999999948777,1019225.739999999990687,911822.750000000000000,966960.660000000149012,939477.950000000069849,941587.200000000069849,925012.259999999892898,925555.990000000107102,890207.919999999925494,939973.679999999934807,10333957.669999999925494
20120912,916842.000000000000000,955864.640000000013970,1032763.439999999944121,917127.500000000000000,974774.420000000158325,935563.569999999948777,945835.200000000186265,924711.839999999967404,921726.690000000060536,890545.099999999976717,954271.679999999934807,10370036.080000000074506
20120913,924852.400000000023283,972503.839999999967404,1053987.060000000055879,937221.250000000000000,1010913.060000000055879,943289.319999999948777,948596.400000000023283,929518.559999999939464,928619.430000000051223,908584.229999999981374,964852.200000000069849,10522947.750000000000000
20120914,920976.400000000023283,967881.839999999967404,1060013.520000000018626,955868.250000000000000,1015064.120000000111759,944628.450000000069849,926506.800000000046566,937629.900000000023283,911387.580000000074506,914653.469999999972060,959704.920000000041910,10514325.250000000000000
20120917,903405.200000000069849,964184.239999999874271,1047261.880000000121072,947027.000000000000000,1005785.280000000027940,949160.890000000013970,934578.000000000116415,937629.900000000023283,919812.040000000037253,918531.039999999920838,957131.280000000027940,10484516.749999998137355
20120918,910252.800000000046566,959562.239999999874271,1047087.199999999953434,946223.250000000000000,1007494.540000000037253,958843.829999999958090,936277.200000000069849,936728.639999999897555,919429.110000000102445,929489.390000000013970,955701.480000000097789,10507099.680000001564622
20120919,903146.800000000162981,974352.640000000013970,1039575.959999999962747,956029.000000000000000,1009447.980000000214204,956268.579999999958090,945410.400000000023283,932823.179999999934807,925173.060000000055879,926454.770000000018626,963708.360000000102445,10532400.730000000447035
20120920,902500.799999999930151,973613.119999999878928,1027435.699999999953434,952974.750000000000000,1007250.360000000102445,959564.900000000023283,953481.600000000093132,944839.979999999981374,934746.310000000055879,926286.179999999934807,962278.559999999939464,10544982.260000001639128
20120921,904051.200000000069849,975092.159999999916181,1019487.760000000009313,955225.250000000000000,998215.700000000186265,965333.459999999962747,953906.400000000023283,937029.059999999939464,938958.540000000037253,947191.339999999967404,965138.160000000032596,10559639.030000001192093
20120924,904826.400000000023283,978420.000000000000000,1018439.679999999934807,954743.000000000000000,1006762.000000000000000,965333.459999999962747,958791.600000000093132,924711.839999999967404,947765.930000000051223,943819.539999999920838,956273.400000000023283,10559896.849999999627471
20120925,896428.400000000023283,971394.559999999939464,991364.280000000027940,960047.750000000000000,990157.760000000009313,956577.609999999986030,958154.400000000139698,912995.459999999962747,951212.300000000046566,947528.520000000018626,961992.600000000093132,10497863.640000000596046
20120926,907668.800000000046566,960301.759999999892898,987696.000000000000000,951206.500000000000000,982588.180000000167638,960079.950000000069849,956030.400000000023283,906386.219999999972060,950829.369999999995343,940447.739999999990687,947408.640000000130385,10450653.560000000521541
20120927,905730.799999999930151,972134.079999999841675,1006474.100000000093132,962619.750000000000000,993332.100000000093132,960801.019999999902211,960703.200000000069849,906085.799999999930151,955807.460000000079162,948202.880000000004657,957417.239999999990687,10529318.430000001564622
20120928,899270.799999999930151,966587.679999999934807,992936.400000000139698,970496.500000000000000,988448.500000000000000,945143.500000000000000,957942.000000000116415,894069.000000000000000,951595.230000000097789,934209.909999999916181,959990.880000000004657,10460700.400000000372529
20121001,904568.000000000116415,962705.199999999953434,1020710.520000000018626,973711.500000000000000,1000413.320000000065193,947615.739999999990687,960490.800000000046566,885957.659999999916181,958870.900000000023283,951911.859999999986030,977434.440000000060536,10544399.939999999478459
20121002,898366.400000000023283,954755.359999999986030,1024116.780000000027940,969853.500000000000000,999192.420000000158325,936696.680000000051223,965800.800000000046566,891064.799999999930151,961934.340000000083819,957643.919999999925494,972287.160000000032596,10531722.160000000149012
20121003,902630.000000000000000,970100.399999999906868,1029881.219999999972060,993001.500000000000000,997727.340000000083819,930722.099999999976717,972385.200000000186265,897073.199999999953434,969592.940000000060536,958655.459999999962747,990302.640000000130385,10612082.000000000000000
20121004,903663.599999999976717,973058.479999999981374,1047261.880000000121072,992519.250000000000000,1021168.620000000111759,937726.780000000027940,979606.800000000046566,902180.339999999967404,970741.730000000097789,977368.949999999953434,998595.480000000097789,10703901.910000000149012
20121005,915937.600000000093132,979344.399999999906868,1042108.820000000065193,1015988.750000000000000,1018482.640000000130385,937417.750000000000000,983005.200000000186265,896772.780000000027940,977251.540000000037253,963207.390000000013970,1002884.880000000004657,10732411.750000001862645
20121008,911803.199999999953434,967512.079999999841675,1043418.919999999925494,994769.750000000000000,1017261.739999999990687,942980.290000000037253,984279.600000000209548,894669.839999999967404,972656.380000000004657,971131.119999999995343,991732.440000000060536,10692225.359999999403954
20121009,912707.600000000093132,952351.919999999925494,1044903.699999999953434,979820.000000000000000,1010424.700000000186265,948851.859999999986030,980668.800000000162981,879648.839999999967404,969210.010000000009313,968939.449999999953434,977720.400000000023283,10625257.279999999329448
20121010,908831.600000000093132,946805.519999999902211,1048834.000000000000000,960369.250000000000000,1019947.720000000204891,951839.150000000023283,968562.000000000116415,870636.239999999990687,963466.060000000055879,962870.209999999962747,982295.760000000125729,10584467.509999999776483
20121011,915162.400000000023283,930720.959999999962747,1065515.939999999944121,948634.500000000000000,1028005.660000000149012,951427.109999999986030,965376.000000000232831,869734.979999999981374,961934.340000000083819,972142.659999999916181,994020.119999999995343,10602684.669999999925494
20121012,928340.799999999930151,935342.959999999962747,1049882.080000000074506,957475.750000000000000,1016285.020000000018626,952972.260000000009313,968986.800000000046566,877245.479999999981374,961934.340000000083819,962195.849999999976717,994592.040000000037253,10605263.379999998956919
20121015,933508.800000000046566,939040.559999999939464,1087438.280000000027940,974997.500000000000000,1034842.700000000186265,963170.250000000000000,989589.600000000209548,886558.500000000000000,979166.190000000060536,969276.630000000004657,1000025.280000000027940,10757624.290000000968575
20121016,949400.400000000139698,947360.159999999916181,1076258.760000000009313,978373.250000000000000,1045830.800000000046566,969247.840000000083819,1001908.800000000162981,885957.659999999916181,987973.580000000074506,958992.640000000013970,1009176.000000000000000,10810489.890000000596046
20121017,951338.400000000023283,966772.559999999939464,1091106.560000000055879,986893.000000000000000,1057795.620000000111759,965024.430000000051223,1006581.600000000093132,888961.859999999986030,989505.300000000046566,943988.130000000004657,1019184.600000000093132,10867162.060000000521541
20121018,959478.000000000116415,969176.000000000000000,1093115.380000000121072,993483.750000000000000,1050226.040000000037253,956577.609999999986030,1018688.400000000139698,886258.079999999958090,997163.900000000023283,944325.309999999939464,1014323.280000000027940,10882825.750000000000000
20121019,956248.000000000116415,959562.239999999874271,1079752.360000000102445,994930.500000000000000,1033377.620000000111759,913931.469999999972060,998935.200000000186265,860421.959999999962747,986441.860000000102445,938424.659999999916181,1000597.200000000069849,10722633.070000000298023
20121022,952242.800000000046566,957528.559999999939464,1072328.459999999962747,997341.750000000000000,1027761.480000000214204,911150.200000000069849,987253.200000000069849,841195.079999999958090,980314.980000000097789,953260.579999999958090,993734.160000000032596,10674121.250000000000000
20121023,940873.199999999953434,938485.919999999925494,1039401.280000000027940,992680.000000000000000,1009203.800000000046566,906102.709999999962747,974721.600000000093132,842697.179999999934807,964614.850000000093132,947191.339999999967404,976862.519999999902211,10532844.399999998509884
20121024,939452.000000000000000,936452.239999999874271,1046126.459999999962747,985124.750000000000000,1018482.640000000130385,899098.030000000027940,974509.200000000186265,838190.879999999888241,969210.010000000009313,942808.000000000000000,975718.679999999934807,10525182.890000000596046
20121025,924335.600000000093132,929241.919999999925494,1045689.760000000009313,972264.750000000000000,1017505.920000000158325,899613.079999999958090,983430.000000000000000,837590.039999999920838,980697.910000000032596,947697.109999999986030,983439.600000000093132,10521515.689999999478459
20121026,918780.000000000000000,925914.079999999841675,1043244.239999999990687,965191.750000000000000,1005052.739999999990687,893226.459999999962747,980244.000000000116415,847503.900000000023283,973805.170000000041910,940447.739999999990687,988872.839999999967404,10482292.919999999925494
20121031,910123.599999999976717,908165.599999999860302,1069009.540000000037253,986732.250000000000000,1017750.100000000093132,894153.549999999930151,969199.200000000186265,857417.759999999892898,952361.090000000083819,944156.719999999972060,992018.400000000023283,10501097.810000000521541
20121101,914645.600000000093132,920367.679999999934807,1090495.179999999934807,1000878.250000000000000,1046074.980000000214204,894153.549999999930151,975783.600000000093132,886858.919999999925494,940107.330000000074506,960172.770000000018626,1028621.280000000027940,10658169.139999998733401
20121102,905084.800000000046566,921846.719999999855645,1076520.780000000027940,997020.250000000000000,1035819.420000000158325,894771.609999999986030,977058.000000000116415,886258.079999999958090,940107.330000000074506,944999.669999999925494,1025189.760000000125729,10604686.419999999925494
20121105,909736.000000000000000,930351.199999999953434,1083770.000000000000000,1002807.250000000000000,1032156.720000000204891,900952.209999999962747,970048.800000000162981,890163.539999999920838,941256.119999999995343,932018.239999999990687,1011749.640000000130385,10605019.720000000670552
20121106,930537.199999999953434,933124.399999999906868,1102722.780000000027940,1006665.250000000000000,1047051.700000000186265,906205.719999999972060,975358.800000000162981,897073.199999999953434,946234.210000000079162,950731.729999999981374,1028621.280000000027940,10724336.269999999552965
20121107,905860.000000000000000,925914.079999999841675,1030492.600000000093132,996538.000000000000000,988448.500000000000000,894771.609999999986030,944348.400000000139698,873640.439999999944121,925555.990000000107102,914822.059999999939464,1019184.600000000093132,10419586.280000001192093
20121108,917100.400000000139698,925174.559999999939464,1006823.459999999962747,978373.250000000000000,986495.060000000055879,876950.880000000004657,931179.600000000209548,865529.099999999976717,925173.060000000055879,900997.679999999934807,1015753.080000000074506,10329560.130000000819564
20121109,946428.800000000046566,870080.319999999948777,1014509.380000000121072,979980.750000000000000,991867.020000000018626,872933.489999999990687,935640.000000000000000,866129.939999999944121,925555.990000000107102,891893.819999999948777,1021758.239999999990687,10316787.750000000000000
20121112,952113.599999999976717,877290.640000000013970,1024029.439999999944121,983195.750000000000000,990890.300000000046566,874375.630000000004657,935002.800000000162981,847804.319999999948777,923258.410000000032596,880092.520000000018626,1024045.920000000041910,10312109.329999998211861
20121113,947850.000000000000000,886719.519999999902211,1017304.260000000009313,1018882.250000000000000,977704.580000000074506,871903.390000000013970,927781.200000000069849,813856.859999999986030,920960.830000000074506,879923.929999999934807,1018326.719999999972060,10281223.540000000968575
20121114,921105.600000000093132,872114.000000000000000,997827.439999999944121,988179.000000000000000,959391.080000000074506,871697.369999999995343,914400.000000000000000,806346.359999999986030,911770.510000000009313,864076.469999999972060,1000597.200000000069849,10107515.029999999329448
20121115,917875.600000000093132,877660.399999999906868,1008308.239999999990687,984642.500000000000000,961832.880000000121072,865825.799999999930151,909090.000000000000000,800938.799999999930151,906026.560000000055879,864076.469999999972060,1000883.160000000032596,10097170.410000000149012
20121116,914387.199999999953434,876736.000000000000000,1011801.840000000083819,998627.750000000000000,965251.400000000139698,866546.869999999995343,914824.800000000162981,796732.919999999925494,913685.160000000032596,875034.819999999948777,1020328.440000000060536,10153967.199999999254942
20121119,929762.000000000000000,885795.119999999878928,1033287.479999999981374,1018078.500000000000000,991134.480000000214204,876023.790000000037253,920559.600000000209548,803041.739999999990687,924407.200000000069849,892062.409999999916181,1041203.519999999902211,10315365.839999999850988
20121120,937255.600000000093132,895593.759999999892898,1031453.340000000083819,1025955.250000000000000,993820.460000000195578,882616.430000000051223,925232.400000000139698,802440.900000000023283,929768.220000000088476,895939.979999999981374,1046350.800000000162981,10366437.140000002458692
20121121,945136.800000000162981,900030.879999999888241,1028047.080000000074506,1030295.500000000000000,994553.000000000000000,886015.760000000009313,932241.600000000093132,809650.979999999981374,932448.730000000097789,902514.989999999990687,1048638.479999999981374,10409583.800000000745058
20121123,952759.599999999976717,910753.919999999925494,1050842.820000000065193,1042030.249999999883585,1003343.480000000214204,896728.799999999930151,940525.200000000186265,832182.479999999981374,939341.470000000088476,909090.000000000000000,1058933.040000000037253,10536541.060000002384186
20121126,959607.199999999953434,906501.679999999934807,1056345.239999999990687,1039619.000000000000000,998215.700000000186265,888384.989999999990687,938826.000000000232831,822869.459999999962747,937809.750000000000000,902514.989999999990687,1052641.919999999925494,10503345.929999999701977
20121127,962449.599999999976717,898551.839999999967404,1034248.219999999972060,1031420.750000000000000,995041.360000000102445,885088.670000000041910,932029.200000000186265,813556.439999999944121,928619.430000000051223,886667.530000000027940,1049496.360000000335276,10417179.399999998509884
20121128,957281.600000000093132,909644.640000000013970,1042283.500000000000000,1042191.000000000000000,996994.800000000046566,891269.269999999902211,947322.000000000116415,821968.199999999953434,944702.490000000107102,889364.969999999972060,1052927.879999999888241,10495960.350000001490116
