訓練日期,20190614 - 20190916
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10431304.869999999180436
真實報酬,431304.869999999180436

夏普值報酬,0.034430487000000
夏普值風險,0.014687634312621
夏普值,2.344181933397797

預期報酬,7074.078985320026732
風險,161842.443986536265584
趨勢值,0.043709664851011
找到最佳解世代,70
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](3),IBM[10](13),KO[14](2),MCD[15](4),MMM[16](23),MRK[17](12),MSFT[18](7),PG[21](1),TRV[22](21),UTX[24](10),V[25](6),VZ[26](19),WBA[27](18),
20190724,826758.239999999874271,850083.820000000065193,809096.599999999976717,800408.689999999944121,817376.349999999976717,758559.149999999906868,818059.200000000069849,780950.150000000023283,766347.119999999995343,827408.719999999972060,832727.160000000149012,747202.500000000000000,802824.330000000074506,10437812.029999999329448
20190725,820220.939999999944121,852123.579999999958090,798415.359999999869615,806651.949999999953434,811500.400000000023283,758559.149999999906868,814978.310000000055879,782129.099999999976717,764493.840000000083819,840412.650000000023283,824824.080000000074506,752409.000000000000000,796425.409999999916181,10423153.769999999552965
20190726,823073.579999999958090,857619.600000000209548,814963.759999999892898,810939.489999999990687,792597.149999999906868,755589.869999999995343,821663.260000000125729,795721.700000000069849,771906.960000000079162,835913.659999999916181,834362.280000000027940,762021.000000000000000,800642.879999999888241,10477025.189999997615814
20190729,830759.859999999986030,854899.920000000041910,812255.839999999967404,808682.889999999897555,805260.049999999930151,765425.609999999869615,819861.230000000097789,804529.150000000023283,765780.840000000083819,836468.329999999958090,832182.120000000111759,765892.500000000000000,801660.889999999897555,10503669.230000000447035
20190730,827194.059999999939464,848610.660000000149012,808193.959999999846332,798753.849999999976717,809222.900000000023283,772663.229999999864958,815908.390000000013970,835112.500000000000000,760015.080000000074506,833879.869999999995343,824551.560000000055879,756013.500000000000000,805732.929999999934807,10495862.490000000223517
20190731,844072.179999999934807,839941.680000000167638,791796.000000000000000,792661.030000000027940,795967.849999999976717,770065.109999999869615,792191.350000000093132,818676.550000000046566,754867.080000000074506,823402.769999999902211,808518.300000000046566,737857.500000000000000,792498.800000000046566,10362526.200000001117587
20190801,825807.359999999986030,851726.960000000079162,782769.599999999976717,794654.359999999986030,789773.050000000046566,776560.409999999916181,802596.620000000111759,809591.700000000069849,750542.760000000125729,812555.890000000013970,813832.439999999944121,737724.000000000000000,786390.739999999990687,10334535.890000000596046
20190802,808334.939999999944121,834332.340000000083819,787282.799999999930151,806802.389999999897555,776973.500000000000000,783798.029999999911524,795853.540000000153668,807580.550000000046566,756411.479999999981374,806208.000000000000000,805883.939999999944121,742129.500000000000000,780718.969999999972060,10292319.980000000447035
20190805,766020.779999999911524,797560.000000000000000,777052.879999999888241,791645.559999999939464,750372.300000000046566,771271.380000000004657,768590.570000000181608,784278.949999999953434,741018.960000000079162,775023.219999999972060,767004.420000000158325,737190.000000000000000,754396.139999999897555,9981435.160000000149012
20190806,780521.699999999953434,797390.020000000018626,786380.159999999916181,805297.989999999990687,745817.300000000046566,782684.549999999813735,783006.810000000055879,792600.950000000069849,751469.400000000139698,793820.369999999995343,783446.459999999962747,734920.500000000000000,748288.080000000074506,10085654.290000000968575
20190807,788604.179999999934807,788211.100000000209548,800070.199999999953434,815640.739999999990687,745498.449999999953434,781756.649999999906868,786436.480000000097789,801200.349999999976717,758676.600000000093132,795114.599999999860302,796345.739999999990687,735454.500000000000000,763267.369999999878928,10156286.959999999031425
20190808,805997.359999999986030,793820.440000000060536,807742.639999999897555,820078.719999999972060,748140.349999999976717,786210.569999999948777,807421.410000000032596,814515.550000000046566,763103.880000000004657,810337.209999999962747,817148.100000000093132,745200.000000000000000,771120.590000000083819,10290846.820000000298023
20190809,796330.079999999958090,771326.420000000041910,803680.759999999892898,831888.260000000009313,744724.099999999976717,793540.979999999864958,800562.070000000181608,809938.450000000069849,767479.680000000051223,808858.090000000083819,813287.400000000139698,744666.000000000000000,767775.699999999953434,10254067.989999998360872
20190812,794309.459999999962747,757388.060000000055879,800371.079999999958090,816881.869999999995343,738483.750000000000000,788901.479999999864958,789401.109999999986030,804737.200000000069849,753991.920000000041910,789013.229999999981374,800978.580000000074506,743464.500000000000000,756286.729999999981374,10134218.970000000670552
20190813,827946.839999999967404,769399.979999999981374,804884.279999999911524,826547.639999999897555,751146.650000000023283,798737.219999999855645,805735.640000000013970,813197.900000000023283,763103.880000000004657,794744.819999999948777,800978.580000000074506,752542.500000000000000,771847.739999999990687,10280823.669999999925494
20190814,803303.199999999953434,743676.340000000083819,797211.839999999967404,814324.389999999897555,723497.800000000046566,773869.500000000000000,778879.580000000074506,803072.800000000046566,738702.359999999986030,766086.869999999995343,788124.719999999972060,743865.000000000000000,733163.359999999986030,10007787.759999999776483
20190815,799301.579999999958090,747472.560000000055879,810450.559999999823049,821056.580000000074506,714524.450000000069849,774426.239999999874271,777135.680000000167638,814168.800000000046566,749564.640000000130385,762635.589999999967404,800660.640000000130385,751608.000000000000000,716875.199999999953434,10039890.519999999552965
20190816,818160.699999999953434,757898.000000000000000,818574.319999999832362,821808.780000000027940,735750.750000000000000,789272.639999999897555,791377.530000000027940,826582.450000000069849,755845.200000000069849,770709.119999999995343,809562.959999999962747,756280.500000000000000,734181.369999999878928,10186014.319999998435378
20190819,833414.399999999906868,765150.479999999981374,822786.639999999897555,822974.689999999944121,742355.500000000000000,799757.909999999916181,804631.170000000041910,833933.549999999930151,759809.160000000149012,780508.289999999920838,816421.380000000121072,760953.000000000000000,744070.609999999986030,10286776.779999999329448
20190820,833454.020000000018626,753591.840000000083819,810601.000000000000000,821808.780000000027940,733518.799999999930151,794747.250000000000000,797946.220000000088476,824640.650000000023283,754300.800000000046566,780754.810000000055879,814150.380000000121072,751207.500000000000000,736944.540000000037253,10207676.589999999850988
20190821,842487.379999999888241,760674.340000000083819,813910.679999999934807,830233.420000000041910,734156.500000000000000,806438.789999999920838,806840.109999999986030,826721.150000000023283,757029.239999999990687,784760.760000000009313,821871.780000000027940,755479.500000000000000,740289.429999999934807,10280903.080000000074506
20190822,841774.219999999972060,761070.960000000079162,819777.839999999967404,825645.000000000000000,732926.650000000023283,804675.779999999911524,800968.980000000097789,828246.850000000093132,760993.200000000069849,788643.449999999953434,818011.080000000074506,758016.000000000000000,741016.580000000074506,10281776.590000001713634
20190823,802867.379999999888241,734157.460000000079162,808494.839999999967404,807479.369999999995343,710015.000000000000000,788159.159999999916181,775449.910000000032596,813683.349999999976717,745137.359999999986030,760663.429999999934807,795936.959999999962747,746535.000000000000000,717311.489999999990687,10005900.709999999031425
20190826,818121.079999999958090,736537.180000000167638,820530.039999999920838,815941.619999999995343,711244.849999999976717,796881.419999999809079,787424.690000000060536,827553.349999999976717,758573.640000000130385,773420.839999999967404,806656.080000000074506,757081.500000000000000,727782.449999999953434,10137758.740000000223517
20190827,808889.619999999995343,743223.060000000055879,823237.959999999846332,812707.160000000032596,709559.500000000000000,793540.979999999864958,789110.460000000079162,836083.400000000023283,757338.119999999995343,767750.879999999888241,810244.260000000009313,763356.000000000000000,719202.080000000074506,10134253.480000000447035
20190828,814317.559999999939464,752232.000000000000000,829105.119999999878928,820304.380000000004657,717758.500000000000000,802448.819999999948777,788064.120000000111759,841978.150000000023283,753580.080000000074506,781925.780000000027940,811561.439999999944121,773635.500000000000000,726473.580000000074506,10213395.030000001192093
20190829,828105.319999999948777,764243.920000000041910,828202.479999999864958,829594.049999999930151,730558.050000000046566,804675.779999999911524,802945.400000000139698,840452.450000000069849,756514.440000000060536,798196.099999999860302,822916.439999999944121,773502.000000000000000,733017.929999999934807,10312934.359999999403954
20190830,827035.579999999958090,767926.820000000065193,828052.039999999920838,819928.280000000027940,736752.849999999976717,802356.029999999911524,801434.020000000135042,833864.200000000069849,756617.400000000139698,802695.090000000083819,821326.739999999990687,776439.000000000000000,744506.899999999906868,10318944.950000001117587
20190903,814991.099999999860302,759824.440000000060536,831963.479999999864958,816769.039999999920838,722723.449999999953434,804026.250000000000000,790854.359999999986030,841700.750000000000000,759757.680000000051223,794868.079999999958090,813968.699999999953434,774837.000000000000000,733454.219999999972060,10259748.550000000745058
20190904,828818.479999999981374,772402.960000000079162,839034.159999999916181,821921.609999999986030,729237.099999999976717,798458.849999999860302,800097.030000000027940,854530.500000000000000,773091.000000000000000,807687.119999999995343,825641.640000000130385,776706.000000000000000,747997.219999999972060,10375633.669999999925494
20190905,845023.059999999939464,798749.860000000102445,829255.559999999823049,825645.000000000000000,748185.899999999906868,798922.799999999813735,814164.490000000107102,851409.750000000116415,781224.840000000083819,819889.859999999986030,839085.959999999962747,782179.500000000000000,761085.919999999925494,10494832.500000000000000
20190906,844943.819999999948777,796483.460000000079162,830910.399999999906868,827675.939999999944121,746864.949999999953434,803283.929999999818392,808642.140000000013970,852172.600000000093132,786887.640000000130385,823957.439999999944121,843673.380000000121072,788454.000000000000000,764430.810000000055879,10518390.509999999776483
20190909,848549.239999999874271,807985.440000000060536,820229.159999999916181,817257.969999999972060,755974.949999999953434,774519.029999999911524,799457.600000000093132,847318.100000000093132,768303.359999999986030,826545.900000000023283,824642.400000000139698,783114.000000000000000,808496.099999999976717,10482403.250000000000000
20190910,858573.099999999860302,821867.140000000130385,818423.879999999888241,788749.589999999967404,769275.550000000046566,758002.409999999916181,791086.880000000121072,831436.949999999953434,754609.680000000051223,825313.299999999930151,801024.000000000000000,797131.500000000000000,827256.570000000065193,10442760.550000000745058
20190911,885871.279999999911524,813651.440000000060536,823990.159999999916181,790705.309999999939464,765722.650000000023283,769415.579999999958090,791319.400000000139698,841076.599999999976717,752859.359999999986030,837885.819999999948777,794801.459999999962747,802738.500000000000000,844417.310000000055879,10514464.870000001043081
20190912,883890.279999999911524,813764.760000000125729,829105.119999999878928,798039.260000000009313,777110.150000000023283,773034.389999999897555,799457.600000000093132,851479.099999999976717,763515.720000000088476,847191.950000000069849,808427.459999999962747,806743.500000000000000,808059.810000000055879,10559829.099999999627471
20190913,866695.199999999953434,814048.060000000055879,816317.719999999855645,789238.520000000018626,781027.449999999953434,766539.089999999850988,798295.000000000000000,846971.350000000093132,753271.200000000069849,850889.750000000000000,805202.640000000130385,800469.000000000000000,814313.300000000046566,10503288.280000001192093
20190916,871251.500000000000000,807305.520000000018626,811804.519999999902211,780174.510000000009313,772965.099999999976717,761157.269999999902211,792540.130000000121072,830535.400000000023283,753425.640000000130385,851013.010000000009313,799933.920000000158325,794328.000000000000000,804860.349999999976717,10431304.869999999180436
