訓練日期,20151012 - 20160113
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9885898.890000000596046
真實報酬,-114101.109999999403954

夏普值報酬,-0.020110111000000
夏普值風險,0.023906201496448
夏普值,-0.841208964250872

預期報酬,12018.879751561404191
風險,324124.634143194416538
趨勢值,0.037081043788395
找到最佳解世代,71
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](14),CVX[5](20),HD[9](3),JNJ[12](5),JPM[13](13),MCD[15](1),MSFT[18](2),TRV[22](6),UNH[23](24),XOM[29](21),
20151109,1044952.239999999990687,1030701.000000000000000,1026123.969999999972060,1057352.950000000186265,1088162.620000000111759,1098964.270000000018626,1149643.299999999813735,1096071.459999999962747,957996.160000000149012,1033937.040000000037253,10583905.010000001639128
20151110,1039011.100000000093132,1040860.240000000107102,1032387.130000000004657,1063748.799999999813735,1092845.250000000232831,1101786.260000000009313,1135846.399999999906868,1107922.540000000037253,971662.080000000074506,1038983.439999999944121,10625053.239999998360872
20151111,1037865.820000000065193,1029249.680000000051223,1027854.579999999958090,1068047.649999999906868,1087516.739999999990687,1107916.789999999804422,1138818.040000000037253,1111128.160000000149012,960343.680000000167638,1029773.760000000009313,10598514.900000000372529
20151112,1020328.719999999972060,1003237.560000000055879,1020437.679999999934807,1051376.500000000000000,1065718.290000000037253,1090984.849999999860302,1131813.459999999962747,1091020.180000000167638,945923.199999999953434,1001892.399999999906868,10422732.839999999850988
20151113,1020686.619999999995343,990064.040000000037253,989039.469999999972060,1047287.349999999860302,1058613.610000000102445,1070160.510000000009313,1121624.979999999981374,1088008.839999999850988,934101.760000000009313,985365.439999999944121,10304952.619999999180436
20151116,1033785.759999999892898,1020988.320000000065193,995961.910000000032596,1061337.250000000000000,1073953.260000000009313,1080767.300000000046566,1141365.160000000149012,1096654.299999999813735,954307.199999999953434,1020690.239999999990687,10479810.699999999254942
20151117,1045668.040000000153668,1016299.440000000060536,1039968.849999999976717,1064273.049999999813735,1067817.399999999906868,1079599.579999999841675,1124384.359999999869615,1095197.199999999720603,959086.080000000074506,1008831.199999999837019,10501125.199999997392297
20151118,1061415.640000000130385,1029472.959999999962747,1042935.609999999986030,1076540.500000000000000,1089131.440000000176951,1095071.869999999878928,1143063.240000000223517,1114042.359999999869615,983064.320000000065193,1018671.679999999934807,10653409.620000001043081
20151119,1068287.320000000298023,1014066.640000000013970,1045572.729999999981374,1074653.199999999720603,1092522.310000000055879,1102564.739999999990687,1144973.580000000074506,1117345.120000000111759,927562.239999999990687,1013120.639999999897555,10600668.520000001415610
20151120,1069432.600000000093132,993748.160000000032596,1073180.080000000074506,1074548.350000000093132,1090584.670000000158325,1108500.649999999906868,1150280.080000000074506,1125213.459999999962747,947180.800000000046566,1006686.480000000097789,10639355.330000001937151
20151123,1061845.120000000111759,1004912.160000000032596,1092051.969999999972060,1077589.000000000000000,1079927.649999999906868,1113950.010000000009313,1150280.080000000074506,1123270.660000000149012,940389.760000000009313,1012868.319999999948777,10657084.730000000447035
20151124,1064064.100000000093132,1019871.919999999925494,1101117.069999999832362,1069934.950000000186265,1078312.949999999953434,1112101.119999999878928,1151553.640000000130385,1121425.000000000000000,949025.280000000027940,1033053.919999999925494,10700459.949999999254942
20151125,1055331.339999999850988,1014513.200000000069849,1109770.120000000111759,1069096.149999999906868,1079604.709999999962747,1113268.840000000083819,1139667.080000000074506,1115208.040000000037253,959253.760000000009313,1025105.839999999967404,10680819.080000000074506
20151127,1051895.500000000000000,1008931.200000000069849,1110511.810000000055879,1073395.000000000000000,1084610.280000000027940,1111614.570000000065193,1144761.319999999832362,1115693.739999999757856,958666.880000000121072,1024853.520000000018626,10684933.820000000298023
20151130,1041158.500000000000000,1019537.000000000000000,1103424.550000000046566,1061546.949999999720603,1076698.250000000232831,1110933.399999999906868,1153676.240000000223517,1112973.819999999832362,945000.959999999962747,1030278.399999999906868,10655228.070000002160668
20151201,1057550.320000000298023,1032487.240000000107102,1107957.100000000093132,1073290.149999999906868,1091714.959999999962747,1113755.389999999897555,1172142.859999999869615,1123756.359999999869615,974764.160000000149012,1033180.079999999958090,10780598.619999999180436
20151202,1051967.080000000074506,1007591.520000000018626,1102847.679999999934807,1070039.799999999813735,1076375.310000000055879,1106651.760000000009313,1171930.600000000093132,1114333.779999999795109,986334.080000000074506,1003658.639999999897555,10691730.250000000000000
20151203,1041945.880000000004657,991961.919999999925494,1079113.600000000093132,1056828.700000000186265,1062488.889999999897555,1103440.530000000027940,1150492.339999999850988,1081111.899999999906868,964200.320000000065193,989276.399999999906868,10520860.480000000447035
20151204,1062990.399999999906868,1001562.959999999962747,1108781.199999999953434,1079476.299999999813735,1096236.120000000111759,1130784.639999999897555,1186788.799999999813735,1108019.680000000167638,987172.479999999981374,994953.599999999976717,10756766.179999999701977
20151207,1062632.500000000000000,974434.440000000060536,1103836.600000000093132,1083355.750000000000000,1081865.290000000037253,1132925.459999999962747,1184666.200000000186265,1103454.100000000093132,971829.760000000009313,968964.639999999897555,10667964.740000000223517
20151208,1037865.820000000065193,965056.680000000051223,1103094.909999999916181,1073919.250000000000000,1065072.409999999916181,1133995.869999999878928,1184241.680000000167638,1091603.020000000018626,971578.239999999990687,941587.919999999925494,10568015.800000000745058
20151209,1032497.320000000065193,978006.919999999925494,1087107.370000000111759,1071088.299999999813735,1056998.909999999916181,1134482.419999999925494,1167048.620000000111759,1078683.399999999906868,964619.520000000018626,954203.919999999925494,10524736.699999999254942
20151210,1048030.180000000051223,996985.719999999972060,1092381.609999999869615,1076225.949999999720603,1059420.959999999962747,1140515.639999999897555,1173204.160000000149012,1078197.699999999720603,974344.959999999962747,954960.879999999888241,10594267.759999997913837
20151211,1035217.360000000102445,965056.680000000051223,1075075.510000000009313,1066160.350000000093132,1034554.579999999958090,1129616.919999999925494,1147520.700000000186265,1066249.479999999981374,972416.640000000130385,937929.280000000027940,10429797.500000000000000
20151214,1023621.400000000023283,997320.640000000013970,1088013.879999999888241,1071088.299999999813735,1037783.979999999981374,1131368.500000000000000,1170444.779999999795109,1078586.259999999776483,971326.719999999972060,959250.319999999948777,10528804.779999999329448
20151215,1048889.140000000130385,1035613.160000000032596,1082080.359999999869615,1091848.600000000093132,1067332.989999999990687,1137888.270000000018626,1171718.339999999850988,1099471.359999999869615,986082.560000000055879,1002144.720000000088476,10723069.500000000000000
20151216,1060198.780000000260770,1043204.680000000051223,1095348.370000000111759,1103591.799999999813735,1090423.199999999953434,1146743.479999999981374,1191458.520000000018626,1112682.399999999906868,996311.040000000037253,998612.239999999990687,10838574.509999999776483
20151217,1041945.880000000004657,1010829.080000000074506,1082574.819999999832362,1086710.949999999720603,1070239.449999999953434,1143434.939999999944121,1182331.339999999850988,1100345.620000000111759,999580.800000000046566,983599.199999999837019,10701592.079999998211861
20151218,999141.040000000153668,1002679.359999999986030,1073839.359999999869615,1068991.299999999813735,1039883.090000000083819,1135260.899999999906868,1149006.520000000018626,1069843.660000000149012,971075.199999999953434,975020.319999999948777,10484740.749999998137355
20151221,1008589.600000000093132,996315.880000000004657,1082245.179999999934807,1065111.850000000093132,1058290.670000000158325,1145283.829999999841675,1163864.720000000204891,1077712.000000000000000,984405.760000000009313,974768.000000000000000,10556587.490000000223517
20151222,1019183.439999999944121,1007814.799999999930151,1086942.550000000046566,1076959.899999999906868,1060551.250000000232831,1145575.760000000009313,1174902.240000000223517,1092671.560000000055879,984657.280000000027940,979688.239999999990687,10628947.019999999552965
20151223,1031208.880000000004657,1047335.359999999986030,1097078.979999999981374,1085138.199999999720603,1077505.600000000093132,1156085.239999999990687,1184878.459999999962747,1099762.779999999795109,995137.280000000027940,1011732.879999999888241,10785863.660000000149012
20151224,1027415.140000000013970,1027686.719999999972060,1095348.370000000111759,1087549.750000000000000,1075406.489999999990687,1153847.109999999869615,1181694.560000000055879,1100345.620000000111759,992202.880000000121072,1000883.119999999995343,10742379.760000001639128
20151228,1034644.719999999972060,1008819.560000000055879,1093535.350000000093132,1082307.250000000000000,1071854.149999999906868,1155598.689999999944121,1187637.839999999850988,1102385.560000000055879,992119.040000000037253,993439.679999999934807,10722341.839999999850988
20151229,1054758.700000000186265,1018755.520000000018626,1101941.169999999925494,1090800.100000000093132,1082995.579999999841675,1168443.609999999869615,1200373.439999999944121,1117345.120000000111759,1004611.199999999953434,998738.399999999906868,10838762.839999997988343
20151230,1048030.180000000051223,1005805.280000000027940,1099056.819999999832362,1088178.850000000093132,1075245.020000000018626,1162215.770000000018626,1195279.200000000186265,1110253.899999999906868,997065.600000000093132,985491.599999999976717,10766622.219999998807907
20151231,1035002.619999999995343,1004353.959999999962747,1089991.719999999972060,1077064.750000000000000,1066202.699999999953434,1149662.780000000027940,1177661.620000000111759,1096362.879999999888241,986334.080000000074506,983473.040000000037253,10666110.150000002235174
20160104,1005726.400000000023283,991961.919999999925494,1080267.339999999850988,1053578.350000000093132,1027288.430000000051223,1144213.419999999925494,1163227.939999999944121,1068289.419999999925494,976440.959999999962747,977291.199999999837019,10488285.379999998956919
20160105,1009806.459999999962747,1000446.560000000055879,1074993.100000000093132,1057982.049999999813735,1029064.599999999976717,1159977.639999999897555,1168534.439999999944121,1073146.419999999925494,978285.440000000176951,985617.760000000009313,10537854.469999998807907
20160106,993772.540000000153668,960926.000000000000000,1063867.750000000000000,1052634.699999999720603,1014209.360000000102445,1152192.840000000083819,1147308.439999999944121,1059255.399999999906868,968308.479999999981374,977417.359999999986030,10389892.869999999180436
20160107,952112.979999999981374,926875.799999999930151,1033540.869999999995343,1040367.249999999883585,973195.980000000097789,1125529.899999999906868,1107403.560000000055879,1033999.000000000000000,939802.880000000121072,961773.520000000018626,10094601.740000000223517
20160108,930495.820000000065193,916939.839999999967404,1021179.369999999995343,1029253.149999999906868,951397.530000000027940,1123778.320000000065193,1110799.720000000204891,1029627.699999999953434,923621.760000000009313,942344.879999999888241,9979438.089999999850988
20160111,932070.580000000074506,901756.799999999930151,1036672.449999999953434,1023066.999999999883585,949944.300000000046566,1135552.829999999841675,1110162.939999999944121,1037398.900000000023283,918759.040000000037253,929728.879999999888241,9975113.719999998807907
20160112,944310.759999999892898,917163.120000000111759,1050764.559999999823049,1030091.949999999837019,952043.410000000032596,1142851.079999999841675,1120351.419999999925494,1048958.560000000055879,941228.160000000149012,948779.040000000037253,10096542.059999998658895
20160113,917110.360000000102445,908008.640000000013970,1000576.869999999995343,1017300.249999999883585,925885.270000000135042,1120275.159999999916181,1096153.779999999795109,1030307.679999999934807,915824.640000000130385,954456.239999999990687,9885898.890000000596046
