訓練日期,20151006 - 20160107
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10392609.099999999627471
真實報酬,392609.099999999627471

夏普值報酬,0.030560910000000
夏普值風險,0.028395317315033
夏普值,1.076265838516282

預期報酬,22052.190580900009081
風險,338934.584842463023961
趨勢值,0.065063264615353
找到最佳解世代,79
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
BA[2](13),CVX[5](14),DD[7](9),HD[9](2),JNJ[12](5),MCD[15](1),TRV[22](8),
20151015,1464491.829999999608845,1542301.000000000000000,1467777.410000000149012,1459849.239999999990687,1464600.250000000000000,1463729.799999999813735,1472045.399999999906868,10334797.930000001564622
20151016,1466730.219999999739230,1551991.000000000000000,1469077.069999999832362,1470994.359999999869615,1481032.000000000000000,1480108.999999999767169,1485227.960000000195578,10405164.609999999403954
20151019,1475470.599999999627471,1530571.000000000000000,1461928.939999999944121,1475308.599999999860302,1476509.500000000000000,1475449.399999999674037,1491118.040000000037253,10386359.079999998211861
20151020,1480373.739999999757856,1529891.000000000000000,1471026.560000000055879,1472312.599999999860302,1471233.250000000000000,1466271.399999999906868,1528001.160000000149012,10419112.709999999031425
20151021,1504996.029999999795109,1518671.000000000000000,1464744.870000000111759,1477705.399999999906868,1471836.250000000000000,1447915.399999999906868,1552543.160000000149012,10438415.110000001266599
20151022,1559570.109999999869615,1557601.000000000000000,1539908.540000000037253,1490408.439999999944121,1500478.750000000000000,1565535.000000000000000,1575262.040000000037253,10788766.879999998956919
20151023,1563727.119999999646097,1551141.000000000000000,1552255.310000000055879,1493404.439999999944121,1512237.250000000000000,1589821.399999999906868,1574701.080000000074506,10837290.599999999627471
20151026,1563727.119999999646097,1509151.000000000000000,1556370.899999999906868,1498198.040000000037253,1506659.500000000000000,1584032.199999999953434,1581572.840000000083819,10799714.599999999627471
20151027,1582486.959999999962747,1490961.000000000000000,1563735.639999999897555,1491726.679999999934807,1510428.250000000000000,1576407.399999999906868,1590548.199999999953434,10806297.129999998956919
20151028,1576304.739999999757856,1526491.000000000000000,1584746.810000000055879,1483937.079999999841675,1514800.000000000000000,1594763.399999999906868,1602468.600000000093132,10883514.629999998956919
20151029,1568843.439999999944121,1528191.000000000000000,1570233.939999999944121,1481660.119999999878928,1528216.750000000000000,1590245.000000000000000,1602889.320000000298023,10870282.570000000298023
20151030,1578329.949999999720603,1545021.000000000000000,1593844.429999999934807,1481779.959999999962747,1523091.250000000000000,1585020.599999999860302,1583255.720000000204891,10890345.910000000149012
20151102,1581847.419999999925494,1614381.000000000000000,1591461.719999999972060,1491007.639999999897555,1540276.750000000000000,1583043.799999999813735,1596999.240000000223517,10999020.569999998435378
20151103,1578543.129999999888241,1668441.000000000000000,1603375.270000000018626,1505987.639999999897555,1537111.000000000000000,1582620.199999999720603,1594474.920000000158325,11070556.160000000149012
20151104,1579609.029999999795109,1645151.000000000000000,1584963.420000000158325,1502632.119999999878928,1536809.500000000000000,1587138.599999999860302,1599944.280000000027940,11036250.949999999254942
20151105,1577264.049999999813735,1607411.000000000000000,1592111.550000000046566,1506706.679999999934807,1542688.750000000000000,1593492.599999999860302,1598401.640000000130385,11018079.269999999552965
20151106,1576944.279999999795109,1598571.000000000000000,1599043.069999999832362,1509822.520000000018626,1536508.000000000000000,1599987.799999999813735,1586200.760000000009313,11007080.429999997839332
20151109,1556052.639999999664724,1569501.000000000000000,1594927.479999999981374,1492086.199999999953434,1520227.000000000000000,1594622.199999999953434,1582414.280000000027940,10909833.799999998882413
20151110,1547205.669999999925494,1584971.000000000000000,1595144.090000000083819,1501194.040000000037253,1529422.750000000000000,1598716.999999999767169,1599523.560000000055879,10956181.109999999403954
20151111,1545500.229999999981374,1567291.000000000000000,1594927.479999999981374,1494602.839999999850988,1535603.500000000000000,1607612.599999999860302,1604151.479999999981374,10949692.130000000819564
20151112,1519385.679999999701977,1527681.000000000000000,1555721.069999999832362,1483817.239999999990687,1511634.250000000000000,1583043.799999999813735,1575121.800000000046566,10756407.839999999850988
20151113,1519918.629999999888241,1507621.000000000000000,1577598.679999999934807,1438158.199999999953434,1505755.000000000000000,1552826.999999999767169,1570774.360000000102445,10672655.869999999180436
20151116,1539424.599999999627471,1554711.000000000000000,1593194.600000000093132,1448224.760000000009313,1525955.500000000000000,1568217.799999999813735,1583255.720000000204891,10812986.979999998584390
20151117,1557118.540000000037253,1547571.000000000000000,1593194.600000000093132,1512219.320000000065193,1530176.500000000000000,1566523.399999999906868,1581152.120000000111759,10887958.480000000447035
20151118,1580568.339999999850988,1567631.000000000000000,1639765.750000000000000,1516533.560000000055879,1547814.250000000000000,1588974.199999999953434,1608358.680000000167638,11049648.779999999329448
20151119,1590800.979999999981374,1544171.000000000000000,1644747.780000000260770,1520368.439999999944121,1545100.750000000000000,1599846.599999999860302,1613126.840000000083819,11058165.389999998733401
20151120,1592506.419999999925494,1513231.000000000000000,1644747.780000000260770,1560514.840000000083819,1544950.000000000000000,1608459.799999999813735,1624486.280000000027940,11088899.119999999180436
20151123,1581207.879999999888241,1530231.000000000000000,1635000.330000000074506,1587958.199999999953434,1549321.750000000000000,1616366.999999999767169,1621681.479999999981374,11121770.640000000596046
20151124,1584512.169999999925494,1553011.000000000000000,1646697.270000000018626,1601140.599999999860302,1538317.000000000000000,1613684.199999999953434,1619016.920000000158325,11156382.159999998286366
20151125,1571508.189999999944121,1544851.000000000000000,1601642.389999999897555,1613723.800000000046566,1537111.000000000000000,1615378.599999999860302,1610041.560000000055879,11094259.540000000968575
20151127,1566391.869999999646097,1536351.000000000000000,1604458.319999999832362,1614802.360000000102445,1543291.750000000000000,1612978.199999999953434,1610742.760000000009313,11089019.259999999776483
20151130,1550403.369999999646097,1552501.000000000000000,1608140.689999999944121,1604496.119999999878928,1526257.000000000000000,1611989.799999999813735,1606816.040000000037253,11060607.019999999552965
20151201,1574812.479999999981374,1572221.000000000000000,1647780.319999999832362,1611087.320000000065193,1543141.000000000000000,1616084.599999999860302,1622382.680000000167638,11187512.400000000372529
20151202,1566498.459999999962747,1534311.000000000000000,1613122.719999999972060,1603657.239999999990687,1538467.750000000000000,1605776.999999999767169,1608779.399999999906868,11070616.570000000298023
20151203,1551575.859999999869615,1510511.000000000000000,1599692.899999999906868,1569143.320000000065193,1519473.250000000000000,1601117.399999999906868,1560817.320000000298023,10912334.050000000745058
20151204,1582913.319999999832362,1525131.000000000000000,1644531.170000000158325,1612285.719999999972060,1552035.250000000000000,1640794.599999999860302,1599663.800000000046566,11157357.860000001266599
20151207,1582380.369999999646097,1483821.000000000000000,1605108.149999999906868,1605095.320000000065193,1557613.000000000000000,1643901.000000000000000,1593072.520000000251457,11070994.359999999403954
20151208,1545500.229999999981374,1469541.000000000000000,1570233.939999999944121,1604016.760000000009313,1544045.500000000000000,1645454.199999999953434,1575963.240000000223517,10954757.869999999180436
20151209,1537505.979999999981374,1489261.000000000000000,1757384.979999999981374,1580767.800000000046566,1539975.250000000000000,1646160.199999999720603,1557311.320000000298023,11108369.529999999329448
20151210,1560636.009999999776483,1518161.000000000000000,1693918.250000000000000,1588437.559999999823049,1547362.000000000000000,1654914.599999999860302,1556610.120000000111759,11120042.539999999105930
20151211,1541556.399999999906868,1469541.000000000000000,1646264.050000000046566,1563271.159999999916181,1532890.000000000000000,1639100.199999999720603,1539360.600000000093132,10931986.410000000149012
20151214,1524288.819999999832362,1518671.000000000000000,1582147.490000000223517,1582086.039999999804422,1539975.250000000000000,1641641.800000000046566,1557171.080000000074506,10945984.480000000447035
20151215,1561915.089999999850988,1576981.000000000000000,1560053.270000000018626,1573457.559999999823049,1569823.750000000000000,1651102.199999999953434,1587322.680000000167638,11080658.549999998882413
20151216,1578756.310000000055879,1588541.000000000000000,1564602.080000000074506,1592751.800000000046566,1586707.750000000000000,1663951.399999999906868,1606395.320000000298023,11181708.660000000149012
20151217,1551575.859999999869615,1539241.000000000000000,1550089.210000000195578,1574176.599999999860302,1562437.000000000000000,1659150.599999999860302,1588584.840000000083819,11025258.109999999403954
20151218,1487835.040000000037253,1526831.000000000000000,1531027.530000000260770,1561473.559999999823049,1536960.250000000000000,1647289.799999999813735,1544549.479999999981374,10835969.660000000149012
20151221,1501904.919999999925494,1517141.000000000000000,1572400.040000000037253,1573697.239999999990687,1531382.500000000000000,1661833.399999999906868,1555908.920000000158325,10914271.019999999552965
20151222,1517680.239999999757856,1534651.000000000000000,1588645.790000000037253,1580528.119999999878928,1548417.250000000000000,1662256.999999999767169,1577505.880000000121072,11009688.279999999329448
20151223,1535587.359999999869615,1594831.000000000000000,1620487.460000000195578,1595268.440000000176951,1560175.750000000000000,1677506.599999999860302,1587743.399999999906868,11171603.010000001639128
20151224,1529938.089999999850988,1564911.000000000000000,1613555.939999999944121,1592751.800000000046566,1563643.000000000000000,1674258.999999999767169,1588584.840000000083819,11127646.669999998062849
20151228,1540703.679999999701977,1536181.000000000000000,1611173.229999999981374,1590115.320000000065193,1556105.500000000000000,1676800.599999999860302,1591529.880000000121072,11102612.210000000894070
20151229,1570655.469999999739230,1551311.000000000000000,1628502.030000000260770,1602338.999999999767169,1568316.250000000000000,1695438.999999999767169,1613126.840000000083819,11229692.589999999850988
20151230,1560636.009999999776483,1531591.000000000000000,1593627.819999999832362,1598144.599999999860302,1564547.500000000000000,1686402.199999999953434,1602889.320000000298023,11137841.449999999254942
20151231,1541236.629999999888241,1529381.000000000000000,1587995.960000000195578,1584962.199999999953434,1548568.000000000000000,1668187.399999999906868,1582835.000000000000000,11043169.189999999478459
20160104,1497641.319999999832362,1510511.000000000000000,1540125.149999999906868,1570821.079999999841675,1514800.000000000000000,1660280.199999999720603,1542305.640000000130385,10836487.390000000596046
20160105,1503716.949999999720603,1523431.000000000000000,1528428.210000000195578,1563151.320000000065193,1521131.500000000000000,1683154.599999999860302,1549317.640000000130385,10872334.220000000670552
20160106,1479840.790000000037253,1463251.000000000000000,1494853.660000000149012,1546972.920000000158325,1513443.250000000000000,1671858.599999999860302,1529263.320000000298023,10699486.540000000968575
20160107,1417805.409999999683350,1411401.000000000000000,1438751.670000000158325,1502871.800000000046566,1495805.500000000000000,1633169.799999999813735,1492800.920000000158325,10392609.099999999627471
