訓練日期,20190524 - 20190826
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10719546.929999999701977
真實報酬,719546.929999999701977

夏普值報酬,0.063254693000000
夏普值風險,0.026966923143300
夏普值,2.345639977681941

預期報酬,15523.715031548597835
風險,204422.650323078880319
趨勢值,0.075939310086305
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](4),AXP[1](9),HD[9](6),KO[14](3),MCD[15](1),MRK[17](10),MSFT[18](7),PG[21](2),TRV[22](19),UNH[23](23),V[25](5),WMT[28](8),
20190702,940331.660000000032596,880263.119999999878928,912060.599999999976717,868938.079999999958090,877767.680000000051223,879512.650000000139698,902014.599999999976717,870172.599999999976717,866735.190000000060536,824781.599999999976717,904372.430000000051223,913015.939999999944121,10639970.149999998509884
20190703,948123.500000000000000,885610.479999999864958,920567.000000000000000,870944.000000000000000,891294.920000000041910,893808.800000000162981,907826.119999999995343,890465.599999999976717,875071.560000000055879,828972.800000000046566,912575.240000000107102,918906.259999999892898,10744170.280000001192093
20190705,947288.660000000032596,882373.919999999925494,917789.400000000023283,871111.160000000032596,884719.760000000009313,880438.299999999930151,905184.519999999902211,883206.949999999953434,873880.650000000023283,834989.200000000069849,911491.849999999976717,916124.719999999972060,10708603.089999999850988
20190708,927762.680000000051223,878504.119999999878928,924082.400000000023283,869272.400000000023283,888572.719999999972060,864393.700000000069849,904524.119999999995343,890231.449999999953434,872236.060000000055879,837862.199999999953434,909067.119999999995343,922178.659999999916181,10688691.629999998956919
20190709,933421.040000000037253,885891.919999999925494,920133.000000000000000,862418.840000000083819,888279.560000000055879,872827.400000000023283,901222.119999999995343,881333.749999999883585,870251.209999999962747,831643.000000000000000,917011.979999999981374,923487.619999999878928,10687925.439999999478459
20190710,942650.660000000032596,892857.559999999939464,914708.000000000000000,866263.520000000018626,892090.640000000013970,872416.000000000000000,910401.679999999818392,887889.949999999953434,869570.690000000060536,836645.400000000023283,925163.200000000069849,924305.719999999972060,10734967.019999999552965
20190711,935786.420000000041910,895601.599999999860302,928986.599999999976717,869941.040000000037253,890792.359999999986030,833127.300000000046566,914033.880000000004657,892807.099999999860302,864466.790000000037253,882883.800000000046566,932540.570000000065193,931995.859999999986030,10772967.320000000298023
20190712,942975.320000000065193,900386.079999999841675,947171.199999999953434,871278.319999999948777,892048.760000000009313,820065.350000000093132,917335.880000000004657,897568.149999999906868,869910.949999999953434,898904.999999999883585,930425.380000000121072,937558.939999999944121,10825633.329999998211861
20190715,951833.900000000023283,904678.039999999804422,949211.000000000000000,871445.480000000097789,897158.119999999995343,832715.900000000023283,917335.880000000004657,901392.599999999976717,878077.190000000060536,899107.799999999930151,931663.540000000037253,940667.719999999972060,10875291.169999999925494
20190716,948540.920000000041910,901089.679999999934807,942961.399999999906868,871612.640000000013970,895106.000000000000000,839195.450000000069849,905316.599999999976717,904592.649999999906868,876716.150000000023283,894713.800000000046566,925163.200000000069849,938867.900000000023283,10843880.390000000596046
20190717,943207.219999999972060,894194.399999999906868,935800.400000000023283,872281.280000000027940,895064.119999999995343,842589.500000000116415,899967.359999999986030,904982.899999999906868,864183.239999999990687,901439.999999999883585,924337.760000000009313,937558.939999999944121,10815611.119999999180436
20190718,953921.000000000000000,903481.919999999925494,930722.599999999976717,869773.880000000004657,904277.719999999972060,850508.950000000069849,900957.959999999846332,901080.399999999906868,866054.670000000041910,880991.000000000116415,931457.180000000051223,938540.659999999916181,10831771.939999999478459
20190719,939682.340000000083819,878293.039999999804422,924646.599999999976717,859075.640000000013970,895734.200000000069849,837138.450000000069849,902278.759999999892898,897724.250000000000000,851990.589999999967404,867639.999999999883585,924802.070000000065193,931832.239999999990687,10710842.179999999701977
20190722,961156.280000000027940,886595.519999999902211,916964.800000000046566,856233.920000000041910,900466.640000000013970,835287.150000000023283,914232.000000000000000,899987.699999999953434,849041.670000000041910,863144.599999999976717,931663.540000000037253,922996.759999999892898,10737774.580000000074506
20190723,968669.840000000083819,902074.719999999855645,924820.200000000069849,908220.680000000051223,897576.920000000041910,843720.850000000093132,919911.439999999827705,888670.449999999953434,836508.760000000009313,862096.799999999930151,933366.010000000009313,917024.630000000004657,10802665.300000000745058
20190724,967881.380000000004657,900315.719999999972060,931894.400000000023283,899026.880000000004657,891169.280000000027940,840841.050000000046566,929355.159999999916181,878914.199999999953434,844164.609999999986030,848982.400000000023283,945902.380000000121072,916288.339999999967404,10794739.800000000745058
20190725,960228.680000000051223,894686.919999999925494,935540.000000000000000,887158.520000000018626,898121.359999999986030,840841.050000000046566,925855.039999999920838,880241.049999999930151,842123.050000000046566,840769.000000000000000,936925.720000000088476,918088.159999999916181,10760582.550000000745058
20190726,963568.040000000037253,892083.599999999860302,941442.400000000023283,905546.119999999995343,902895.680000000051223,837549.850000000093132,933449.639999999897555,895538.849999999976717,850289.290000000037253,855100.199999999953434,947759.619999999995343,924632.959999999962747,10849860.249999996274710
20190729,972565.760000000125729,894968.359999999869615,946346.599999999976717,902537.240000000107102,900382.880000000004657,848451.949999999953434,931402.399999999906868,905451.199999999953434,843540.800000000046566,858074.599999999976717,945283.300000000046566,918497.209999999962747,10867506.300000000745058
20190730,968391.560000000055879,889902.439999999944121,943395.400000000023283,898023.920000000041910,889326.560000000055879,856474.250000000000000,926911.679999999818392,939871.249999999883585,837189.280000000027940,861826.400000000023283,936616.180000000051223,916779.199999999953434,10864712.119999999180436
20190731,988149.440000000060536,875126.839999999967404,927467.599999999976717,879803.480000000097789,882542.000000000000000,853594.449999999953434,899967.359999999986030,921373.400000000023283,831518.280000000027940,841816.799999999930151,918404.910000000032596,903035.119999999878928,10722803.679999999701977
20190801,966768.260000000125729,873156.759999999892898,923735.200000000069849,869773.880000000004657,884761.640000000013970,860793.950000000069849,911788.519999999902211,911148.849999999976717,826754.640000000013970,842628.000000000000000,924440.939999999944121,894854.119999999878928,10690608.759999997913837
20190802,946314.680000000051223,874704.679999999934807,920784.000000000000000,874788.680000000051223,898288.880000000004657,868816.250000000000000,904127.880000000004657,908885.399999999906868,833219.579999999958090,845332.000000000000000,915412.689999999944121,895017.739999999990687,10685696.459999999031425
20190805,896780.840000000083819,849445.439999999944121,889492.599999999976717,863421.800000000046566,881411.239999999990687,854931.500000000116415,873155.119999999995343,882660.599999999976717,816263.290000000037253,828465.800000000046566,871251.650000000139698,865729.759999999892898,10373013.640000000596046
20190806,913755.920000000041910,862321.319999999832362,906245.000000000000000,873785.720000000088476,896613.680000000051223,867582.049999999930151,889533.039999999920838,892026.599999999976717,827775.420000000041910,839349.400000000023283,889927.229999999981374,877592.209999999962747,10536511.589999999850988
20190807,923217.440000000060536,869286.959999999962747,902382.400000000023283,888997.280000000027940,908130.680000000051223,866553.550000000046566,893429.399999999906868,901704.799999999930151,835714.820000000065193,833164.000000000000000,904578.790000000037253,885200.540000000037253,10612364.659999996423721
20190808,943578.260000000125729,881599.959999999962747,918266.799999999930151,897522.439999999944121,913072.520000000018626,871490.350000000093132,917269.839999999850988,916690.399999999906868,840591.880000000004657,837118.599999999976717,928207.010000000009313,887818.459999999962747,10753230.519999999552965
20190809,932261.540000000037253,887791.639999999897555,911539.800000000046566,893009.119999999995343,926222.840000000083819,879615.500000000000000,909477.119999999995343,911539.099999999976717,845412.229999999981374,840532.400000000023283,923821.860000000102445,877674.020000000018626,10738901.169999999925494
20190812,929896.160000000032596,872171.719999999972060,898476.399999999906868,889331.600000000093132,909512.719999999972060,874473.000000000000000,896797.439999999827705,905685.349999999976717,830554.209999999962747,822179.000000000000000,909840.970000000088476,860003.060000000055879,10598925.629999998956919
20190813,969272.780000000027940,888847.039999999804422,904205.200000000069849,894346.400000000023283,920275.880000000004657,885375.099999999976717,915354.679999999818392,915207.449999999953434,840591.880000000004657,842526.599999999976717,909840.970000000088476,878737.549999999930151,10764585.530000001192093
20190814,940424.420000000041910,863024.919999999925494,874953.599999999976717,885821.240000000107102,906664.880000000004657,857811.300000000162981,884844.199999999837019,903812.150000000023283,813711.339999999967404,822179.000000000000000,895241.000000000000000,868838.540000000037253,10517330.589999999850988
20190815,935740.040000000037253,861125.199999999837019,875821.599999999976717,900531.319999999948777,914161.400000000023283,858428.400000000023283,882863.000000000000000,916300.149999999906868,825677.150000000023283,825728.000000000000000,909479.840000000083819,921933.229999999981374,10627793.330000000074506
20190816,957816.920000000041910,876956.199999999837019,883894.000000000000000,909557.959999999962747,914999.000000000000000,874884.400000000023283,899042.799999999930151,930271.099999999976717,832595.770000000018626,830595.199999999953434,919591.479999999981374,924387.529999999911524,10754596.359999999403954
20190819,975673.219999999972060,875337.919999999925494,902556.000000000000000,914238.439999999944121,916297.280000000027940,886506.450000000069849,914099.919999999925494,938544.399999999906868,836962.440000000060536,827282.800000000046566,927381.570000000065193,931095.949999999953434,10845980.389999998733401
20190820,975719.600000000093132,854370.639999999897555,942223.599999999976717,900698.480000000097789,914999.000000000000000,880952.550000000162981,906505.319999999832362,928085.699999999953434,830894.469999999972060,811903.800000000046566,924802.070000000065193,916697.389999999897555,10787856.620000001043081
20190821,986294.239999999990687,861969.519999999902211,956589.000000000000000,904376.000000000000000,924380.119999999995343,893911.650000000023283,916609.439999999827705,930427.199999999953434,833900.099999999976717,812546.000000000000000,933572.369999999995343,916451.959999999962747,10871031.599999997764826
20190822,985459.400000000023283,860351.239999999874271,959279.800000000046566,910895.240000000107102,919270.760000000009313,891957.500000000000000,909939.399999999906868,932144.299999999930151,838266.770000000018626,787500.199999999953434,929187.220000000088476,915552.049999999930151,10839807.880000000819564
20190823,939914.239999999990687,828618.879999999888241,943872.800000000046566,898358.240000000107102,899042.719999999972060,873650.200000000069849,880947.839999999850988,915753.799999999930151,820800.089999999967404,779793.800000000046566,904114.479999999981374,906716.569999999948777,10591587.660000000149012
20190826,957770.540000000037253,834036.599999999860302,948994.000000000000000,911731.040000000037253,908465.719999999972060,883318.099999999976717,894552.079999999841675,931363.799999999930151,835601.400000000023283,781213.400000000023283,916289.720000000088476,916206.529999999911524,10719546.929999999701977
