訓練日期,20151005 - 20160106
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10649688.470000000670552
真實報酬,649688.470000000670552

夏普值報酬,0.056268847000000
夏普值風險,0.021389465735616
夏普值,2.630680340290450

預期報酬,19575.768661933489057
風險,268764.238755788188428
趨勢值,0.072836210474121
找到最佳解世代,89
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
DD[7](8),HD[9](2),IBM[10](29),KO[14](6),MCD[15](1),MMM[16](16),MSFT[18](4),UNH[23](26),V[25](12),VZ[26](10),
20151201,1201727.689999999944121,1141070.560000000055879,977177.199999999837019,1061895.000000000000000,1146907.859999999869615,1095667.100000000093132,1211759.600000000093132,978373.450000000069849,1130746.000000000000000,1063957.079999999841675,11009281.539999997243285
20151202,1176452.490000000223517,1135808.000000000000000,966249.919999999809079,1058924.040000000037253,1139592.529999999795109,1087287.500000000000000,1211540.160000000149012,989986.150000000023283,1118435.500000000000000,1048551.359999999986030,10932827.650000000372529
20151203,1166658.350000000093132,1111362.560000000055879,960855.439999999711290,1051249.060000000055879,1136285.599999999860302,1078069.939999999944121,1189376.720000000204891,967770.550000000046566,1107823.000000000000000,1040148.239999999990687,10809599.460000000894070
20151204,1199358.140000000130385,1141919.359999999869615,971298.599999999860302,1071798.200000000186265,1164444.609999999869615,1104884.660000000149012,1226900.959999999962747,990827.650000000023283,1137679.500000000000000,1066991.540000000037253,11076103.219999998807907
20151207,1170607.600000000093132,1136826.560000000055879,965212.519999999902211,1069569.979999999981374,1166649.229999999981374,1101602.649999999906868,1224706.560000000055879,975428.200000000069849,1125652.000000000000000,1075161.239999999990687,11011416.540000000968575
20151208,1145174.430000000167638,1136062.639999999897555,954838.519999999902211,1064865.959999999962747,1167751.540000000037253,1094898.969999999739230,1224267.680000000167638,975175.750000000000000,1118860.000000000000000,1066758.120000000111759,10948653.609999999403954
20151209,1281660.509999999776483,1119595.919999999925494,944879.479999999981374,1056200.660000000149012,1168252.589999999850988,1089731.550000000279397,1206493.040000000037253,968191.300000000046566,1102021.500000000000000,1058821.839999999850988,10995848.390000000596046
20151210,1235375.300000000279397,1125028.239999999990687,946055.199999999837019,1058676.459999999962747,1174465.609999999869615,1099996.560000000055879,1212856.800000000279397,977952.699999999953434,1105417.500000000000000,1057888.159999999916181,10993712.529999999329448
20151211,1200621.899999999906868,1107203.439999999944121,930770.839999999850988,1046545.040000000037253,1163242.089999999850988,1081212.290000000037253,1186304.560000000055879,976017.250000000116415,1076976.000000000000000,1046217.160000000032596,10815110.570000000298023
20151214,1153862.780000000260770,1120529.599999999860302,940176.599999999860302,1051001.479999999981374,1165045.869999999878928,1100764.689999999944121,1210004.080000000074506,974923.300000000046566,1087730.000000000000000,1060922.620000000111759,10864961.019999999552965
20151215,1137749.839999999850988,1114418.239999999990687,953040.359999999753200,1066351.439999999944121,1171759.939999999944121,1034426.189999999944121,1211320.720000000204891,989733.700000000069849,1112492.500000000000000,1063256.819999999832362,10854549.750000000000000
20151216,1141067.209999999962747,1128083.919999999925494,963414.359999999753200,1085415.100000000093132,1180879.050000000046566,1047135.250000000000000,1231728.640000000130385,1000000.000000000000000,1130038.500000000000000,1085665.139999999897555,10993427.169999999925494
20151217,1130483.220000000204891,1114927.520000000018626,945847.719999999855645,1076749.800000000279397,1177471.909999999916181,1039453.949999999953434,1222292.720000000204891,1003281.850000000093132,1113483.000000000000000,1076094.919999999925494,10900086.609999999403954
20151218,1116581.860000000335276,1105930.239999999990687,933053.119999999878928,1052239.379999999888241,1169054.269999999785796,1025976.759999999892898,1187840.640000000130385,974670.849999999976717,1079947.500000000000000,1063490.239999999990687,10708784.859999999403954
20151221,1146754.129999999888241,1114588.000000000000000,937202.719999999855645,1059171.620000000111759,1179375.899999999906868,1029887.239999999990687,1203201.439999999944121,988050.700000000069849,1091975.000000000000000,1071426.520000000018626,10821633.269999997690320
20151222,1158601.879999999888241,1119426.159999999916181,954008.599999999860302,1071798.200000000186265,1179676.529999999795109,1040291.910000000032596,1214612.320000000298023,988303.150000000023283,1094946.500000000000000,1081697.000000000000000,10903362.250000000000000
20151223,1181823.470000000204891,1129866.400000000139698,958227.359999999753200,1081206.240000000223517,1190499.209999999962747,1055584.680000000167638,1224926.000000000000000,998821.900000000023283,1111643.500000000000000,1095935.620000000111759,11028534.380000002682209
20151224,1176768.430000000167638,1128083.919999999925494,956221.719999999855645,1077987.700000000186265,1188194.379999999888241,1055794.169999999925494,1221634.399999999906868,995876.650000000023283,1107398.500000000000000,1090333.540000000037253,10998293.410000000149012
20151228,1175030.759999999776483,1126216.560000000055879,951795.479999999981374,1076749.800000000279397,1189998.159999999916181,1056003.660000000149012,1227778.720000000204891,995792.500000000000000,1111219.000000000000000,1091267.219999999972060,11001851.860000001266599
20151229,1187668.360000000335276,1134874.319999999832362,966803.199999999837019,1082196.560000000055879,1203225.879999999888241,1067665.270000000018626,1240945.120000000111759,1008330.849999999976717,1120841.000000000000000,1102004.540000000037253,11114555.100000001490116
20151230,1162235.189999999944121,1131903.520000000018626,963760.159999999916181,1078730.439999999944121,1196812.439999999944121,1060821.930000000167638,1235678.560000000055879,1000757.350000000093132,1108672.000000000000000,1091734.060000000055879,11031105.650000000372529
20151231,1158127.970000000204891,1122566.719999999972060,951864.639999999897555,1063628.060000000055879,1183885.349999999860302,1051953.520000000018626,1217465.040000000037253,989986.150000000023283,1097352.000000000000000,1078895.959999999962747,10915725.410000000149012
20160104,1123216.600000000093132,1112550.879999999888241,940314.919999999809079,1049763.580000000074506,1178273.589999999850988,1025278.459999999962747,1202543.120000000111759,980056.449999999953434,1071174.500000000000000,1070726.260000000009313,10753898.359999999403954
20160105,1114686.220000000204891,1107118.560000000055879,939623.319999999832362,1053477.279999999795109,1194507.609999999869615,1029747.580000000074506,1208029.120000000111759,981907.750000000116415,1079240.000000000000000,1085431.719999999972060,10793769.160000002011657
20160106,1090200.870000000111759,1095659.760000000009313,934920.439999999711290,1047782.940000000060536,1186490.810000000055879,1009008.070000000065193,1186085.120000000111759,971893.900000000023283,1065090.000000000000000,1062556.560000000055879,10649688.470000000670552
