訓練日期,20130603 - 20130903
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10338109.179999999701977
真實報酬,338109.179999999701977

夏普值報酬,0.025110918000000
夏普值風險,0.023639708262396
夏普值,1.062234682478884

預期報酬,9133.911227246044291
風險,192700.750741170108085
趨勢值,0.047399458445880
找到最佳解世代,59
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](22),BA[2](2),DD[7](10),KO[14](21),PFE[20](8),UNH[23](1),UTX[24](3),WBA[27](12),XOM[29](19),
20130627,1102452.750000000000000,1157453.730000000214204,1043182.000000000000000,1118612.679999999701977,1149874.800000000046566,1172491.400000000139698,1094836.880000000121072,1044575.960000000079162,1105830.169999999925494,9989311.370000001043081
20130628,1097169.750000000000000,1149486.820000000065193,1037294.820000000065193,1114445.079999999841675,1142938.120000000111759,1161670.000000000232831,1088163.320000000065193,1028291.160000000149012,1109637.279999999795109,9929097.349999999627471
20130701,1110083.750000000000000,1158463.620000000111759,1047937.030000000027940,1124169.479999999981374,1133553.200000000186265,1164331.000000000000000,1109237.719999999972060,1031548.120000000228174,1109023.229999999981374,9988348.150000002235174
20130702,1095115.250000000000000,1138602.449999999953434,1046125.590000000083819,1121668.919999999692664,1130288.880000000121072,1157944.599999999860302,1098232.199999999953434,1034339.800000000162981,1113198.770000000018626,9935517.459999999031425
20130703,1094528.250000000000000,1154536.270000000018626,1045672.729999999981374,1125003.000000000000000,1128248.679999999934807,1162734.400000000139698,1109120.640000000130385,1026430.040000000037253,1113812.819999999832362,9960087.830000001937151
20130705,1119916.000000000000000,1169235.780000000027940,1054050.639999999897555,1125836.520000000018626,1141305.959999999962747,1173910.600000000093132,1130195.040000000037253,1029454.360000000102445,1124620.099999999860302,10068526.000000000000000
20130708,1130628.750000000000000,1171143.350000000093132,1066957.149999999906868,1126392.199999999720603,1147834.600000000093132,1198569.200000000186265,1135463.640000000130385,1054579.479999999981374,1132971.179999999934807,10164540.549999998882413
20130709,1138993.500000000000000,1174621.860000000102445,1097072.340000000083819,1134449.559999999823049,1156811.480000000214204,1205842.600000000093132,1147639.959999999962747,1080635.160000000149012,1146357.469999999972060,10282424.930000001564622
20130710,1120209.500000000000000,1183823.080000000074506,1089600.149999999906868,1130281.959999999729916,1160483.840000000083819,1200875.399999999906868,1144947.120000000111759,1113204.760000000242144,1139971.349999999860302,10283398.160000000149012
20130711,1129161.250000000000000,1199308.060000000055879,1102733.090000000083819,1140006.359999999869615,1173949.160000000149012,1212761.199999999953434,1167192.320000000065193,1132979.160000000149012,1145497.799999999813735,10403589.400000002235174
20130712,1149559.500000000000000,1143090.850000000093132,1100242.360000000102445,1140006.359999999869615,1175581.320000000065193,1206374.800000000046566,1168831.439999999944121,1134375.000000000000000,1147094.330000000074506,10365156.960000000894070
20130715,1142515.500000000000000,1185618.439999999944121,1109299.560000000055879,1139450.679999999701977,1174765.239999999990687,1199633.600000000093132,1173631.719999999972060,1146239.640000000130385,1145252.179999999934807,10416407.559999998658895
20130716,1148679.000000000000000,1169572.410000000149012,1095487.330000000074506,1117779.159999999683350,1170276.800000000046566,1187038.199999999953434,1170704.719999999972060,1146007.000000000000000,1145866.229999999981374,10351411.850000001490116
20130717,1127106.750000000000000,1175856.170000000158325,1119941.770000000018626,1134727.399999999906868,1170276.800000000046566,1174975.000000000232831,1180890.679999999934807,1156941.080000000074506,1147831.189999999944121,10388547.839999997988343
20130718,1086163.500000000000000,1207723.810000000055879,1115186.739999999990687,1133893.879999999888241,1162524.040000000037253,1251611.800000000046566,1186510.520000000018626,1175784.920000000158325,1159129.709999999962747,10478529.919999998062849
20130719,1086897.250000000000000,1200205.739999999990687,1117903.899999999906868,1141673.399999999906868,1187006.440000000176951,1267577.800000000046566,1199857.640000000130385,1177413.400000000139698,1168831.699999999953434,10547368.269999999552965
20130722,1096582.750000000000000,1199083.640000000130385,1115413.169999999925494,1134727.399999999906868,1197615.480000000214204,1280528.000000000232831,1195525.679999999934807,1192535.000000000000000,1164656.159999999916181,10576668.280000001192093
20130723,1092033.500000000000000,1209519.170000000158325,1114054.590000000083819,1138061.479999999981374,1200471.760000000242144,1289575.399999999906868,1230766.760000000009313,1186719.000000000000000,1169200.129999999888241,10630402.789999999105930
20130724,1105974.750000000000000,1200093.530000000027940,1108393.840000000083819,1135283.079999999841675,1194759.200000000186265,1286737.000000000000000,1229244.719999999972060,1188347.479999999981374,1166621.119999999878928,10615455.719999998807907
20130725,1111991.500000000000000,1197288.280000000027940,1128319.679999999934807,1134727.399999999906868,1191086.840000000083819,1288333.600000000093132,1226903.120000000111759,1186719.000000000000000,1166375.500000000000000,10631745.919999998062849
20130726,1105681.250000000000000,1184945.179999999934807,1119036.050000000046566,1129170.599999999860302,1198431.560000000055879,1281060.199999999953434,1229010.560000000055879,1182298.840000000083819,1164164.919999999925494,10593800.159999998286366
20130729,1101572.250000000000000,1176080.590000000083819,1128546.110000000102445,1119168.359999999869615,1205368.239999999990687,1291349.400000000139698,1230181.359999999869615,1177646.040000000037253,1154831.359999999869615,10584744.710000000894070
20130730,1103480.000000000000000,1186403.910000000149012,1130583.979999999981374,1120279.719999999972060,1210672.760000000242144,1282124.599999999860302,1236035.359999999869615,1163455.000000000000000,1152129.540000000037253,10585165.870000001043081
20130731,1082641.500000000000000,1179334.679999999934807,1129904.689999999944121,1113611.559999999823049,1192719.000000000000000,1292413.800000000046566,1236035.359999999869615,1169038.360000000102445,1151392.679999999934807,10547092.629999998956919
20130801,1109937.000000000000000,1197288.280000000027940,1141452.619999999878928,1127225.719999999972060,1187822.520000000018626,1297913.199999999953434,1254885.240000000223517,1189510.680000000167638,1138866.060000000055879,10644902.320000002160668
20130802,1110817.500000000000000,1210753.480000000214204,1167944.929999999934807,1117501.319999999832362,1198431.560000000055879,1281947.200000000186265,1261792.959999999962747,1186021.080000000074506,1129286.879999999888241,10664497.910000000149012
20130805,1114339.500000000000000,1206265.080000000074506,1176322.840000000083819,1119446.199999999720603,1191086.840000000083819,1301106.400000000139698,1248562.920000000158325,1185555.800000000046566,1124865.719999999972060,10667552.300000000745058
20130806,1112578.500000000000000,1201103.420000000158325,1162737.040000000037253,1121668.919999999692664,1197207.440000000176951,1299332.399999999906868,1231703.400000000139698,1168805.720000000204891,1123392.000000000000000,10618529.840000001713634
20130807,1102746.250000000000000,1194146.400000000139698,1170209.229999999981374,1115556.439999999711290,1193943.120000000111759,1293655.600000000093132,1241421.040000000037253,1156010.520000000018626,1121795.469999999972060,10589485.070000002160668
20130808,1118155.000000000000000,1187638.220000000204891,1190135.070000000065193,1116945.639999999897555,1188638.600000000093132,1298268.000000000232831,1244113.880000000121072,1160663.320000000065193,1127199.109999999869615,10631757.839999997988343
20130809,1108029.250000000000000,1181915.510000000009313,1226590.300000000046566,1115834.279999999795109,1191902.920000000158325,1293833.000000000232831,1236620.760000000009313,1154149.400000000139698,1114181.250000000000000,10623057.669999999925494
20130812,1107882.500000000000000,1169684.620000000111759,1208475.899999999906868,1106665.559999999823049,1191086.840000000083819,1284253.400000000139698,1235684.120000000111759,1167642.520000000018626,1103988.020000000018626,10575364.480000000447035
20130813,1118742.000000000000000,1192014.410000000149012,1221382.409999999916181,1101664.439999999711290,1194351.160000000149012,1301283.800000000046566,1250436.199999999953434,1175784.920000000158325,1097970.330000000074506,10653630.669999999925494
20130814,1113605.750000000000000,1168786.939999999944121,1217306.669999999925494,1098330.359999999869615,1184558.200000000186265,1286027.399999999906868,1230064.280000000027940,1173923.800000000046566,1092443.879999999888241,10565048.280000001192093
20130815,1098930.750000000000000,1152740.910000000149012,1198060.119999999878928,1086105.399999999906868,1175173.280000000027940,1266690.800000000046566,1205828.719999999972060,1148333.400000000139698,1082741.889999999897555,10414606.269999999552965
20130816,1103186.500000000000000,1161044.449999999953434,1189455.780000000027940,1084994.039999999804422,1157627.560000000055879,1267223.000000000232831,1206882.439999999944121,1136236.120000000111759,1079671.639999999897555,10386322.530000001192093
20130819,1091006.250000000000000,1175070.699999999953434,1181077.869999999878928,1077492.359999999869615,1161299.920000000158325,1272190.199999999953434,1201613.840000000083819,1128791.640000000130385,1067513.449999999953434,10356057.229999998584390
20130820,1089979.000000000000000,1174060.810000000055879,1191493.649999999906868,1073880.439999999711290,1164156.200000000186265,1285495.199999999953434,1198921.000000000000000,1134375.000000000000000,1066408.159999999916181,10378770.460000000894070
20130821,1077798.750000000000000,1165981.689999999944121,1197607.260000000009313,1063600.359999999869615,1152323.040000000037253,1274673.800000000046566,1190725.400000000139698,1126465.240000000223517,1061372.949999999953434,10310549.490000000223517
20130822,1083962.250000000000000,1179783.520000000018626,1199192.270000000018626,1064433.879999999888241,1149058.719999999972060,1276802.600000000093132,1205477.479999999981374,1130420.120000000111759,1068250.310000000055879,10357382.150000000372529
20130823,1080880.500000000000000,1183598.660000000149012,1249233.300000000046566,1070268.520000000018626,1156403.440000000176951,1286914.400000000139698,1203604.199999999953434,1135072.920000000158325,1074882.049999999813735,10440858.990000002086163
20130826,1080293.500000000000000,1184159.710000000195578,1246289.709999999962747,1059154.919999999692664,1143346.160000000149012,1284076.000000000000000,1197750.199999999953434,1135770.840000000083819,1069601.219999999972060,10400443.260000001639128
20130827,1055346.000000000000000,1158126.989999999990687,1211193.060000000055879,1059988.439999999711290,1142530.080000000074506,1268819.599999999860302,1170119.320000000065193,1099246.360000000102445,1066285.349999999860302,10231656.199999999254942
20130828,1056813.500000000000000,1158800.250000000000000,1207570.179999999934807,1065545.239999999990687,1151098.920000000158325,1269174.400000000139698,1170587.640000000130385,1095058.840000000083819,1091092.969999999972060,10265742.940000001341105
20130829,1059895.250000000000000,1177427.110000000102445,1209834.479999999981374,1058599.239999999990687,1146610.480000000214204,1285140.399999999906868,1176207.479999999981374,1106923.479999999981374,1071811.799999999813735,10292450.720000002533197
20130830,1055346.000000000000000,1166093.900000000139698,1205985.169999999925494,1060821.959999999729916,1151098.920000000158325,1272722.399999999906868,1171992.600000000093132,1118322.840000000083819,1070460.889999999897555,10272845.679999999701977
20130903,1062977.000000000000000,1178324.790000000037253,1207343.750000000000000,1053042.439999999711290,1142938.120000000111759,1287269.200000000186265,1201965.080000000074506,1133909.720000000204891,1070338.080000000074506,10338109.179999999701977
