訓練日期,20151022 - 20160126
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10215377.369999999180436
真實報酬,215377.369999999180436

夏普值報酬,0.012837737000000
夏普值風險,0.020214089910815
夏普值,0.635088547475567

預期報酬,7532.331406715418780
風險,344125.399081634008326
趨勢值,0.021888333226251
找到最佳解世代,85
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CVX[5](17),JPM[13](12),MCD[15](1),MMM[16](15),MRK[17](7),MSFT[18](4),VZ[26](6),WBA[27](24),WMT[28](3),
20151109,1148300.619999999878928,1206533.989999999990687,1223686.649999999906868,1167843.400000000139698,1191275.949999999953434,1274949.399999999906868,1122008.919999999925494,1053563.800000000046566,1108268.800000000046566,10496432.530000001192093
20151110,1159619.199999999953434,1211725.860000000102445,1226828.799999999813735,1168733.320000000065193,1195448.919999999925494,1259648.399999999906868,1117055.320000000065193,1054194.800000000046566,1111868.919999999925494,10505124.540000000968575
20151111,1146683.679999999934807,1205817.869999999878928,1233654.849999999860302,1179560.680000000167638,1179855.189999999711290,1262944.000000000000000,1122504.280000000027940,1032614.599999999860302,1091026.120000000111759,10454662.269999999552965
20151112,1117703.139999999897555,1181648.820000000065193,1214801.949999999953434,1159166.680000000167638,1164700.719999999972060,1255175.800000000046566,1110367.959999999962747,1014694.200000000069849,1079088.880000000121072,10297349.150000000372529
20151113,1103026.300000000046566,1173771.500000000000000,1191615.049999999813735,1154346.280000000260770,1164700.719999999972060,1243876.600000000093132,1095507.159999999916181,999171.599999999976717,1069046.439999999944121,10195062.649999998509884
20151116,1137479.560000000055879,1190779.350000000093132,1203425.199999999953434,1173331.240000000223517,1179415.929999999934807,1265768.800000000046566,1115569.239999999990687,1032867.000000000000000,1096521.040000000037253,10395158.359999999403954
20151117,1132255.600000000093132,1183976.209999999962747,1202124.999999999767169,1164580.360000000102445,1179635.559999999823049,1246936.800000000046566,1116559.959999999962747,1047127.599999999976717,1135364.439999999944121,10408562.529999999329448
20151118,1146932.439999999944121,1207608.170000000158325,1219352.649999999906868,1167250.120000000111759,1191056.319999999832362,1267652.000000000000000,1123990.360000000102445,1067445.800000000046566,1154501.919999999925494,10545790.780000001192093
20151119,1129768.000000000000000,1211367.800000000046566,1227695.599999999860302,1174591.960000000195578,1192154.469999999972060,1269770.599999999860302,1133402.199999999953434,1045360.799999999930151,1150143.880000000121072,10534256.310000000521541
20151120,1107130.840000000083819,1209219.440000000176951,1234304.949999999720603,1178819.080000000074506,1188201.129999999888241,1275655.599999999860302,1124238.040000000037253,1032740.799999999930151,1138206.640000000130385,10488517.520000001415610
20151123,1119568.840000000083819,1197403.459999999962747,1240372.549999999813735,1176594.280000000260770,1186224.459999999729916,1275655.599999999860302,1114330.840000000083819,1033750.399999999906868,1141806.760000000009313,10485708.189999999478459
20151124,1136235.759999999776483,1195613.160000000149012,1238313.899999999906868,1169919.880000000121072,1174584.069999999832362,1277068.000000000000000,1119284.439999999944121,1046622.800000000046566,1135364.439999999944121,10493007.449999999254942
20151125,1130265.520000000018626,1197045.400000000139698,1239614.099999999860302,1169029.960000000195578,1179855.189999999711290,1263885.599999999860302,1112597.080000000074506,1052554.199999999953434,1141427.800000000046566,10486275.849999999627471
20151127,1124046.520000000018626,1202595.330000000074506,1237772.149999999906868,1171699.720000000204891,1185126.309999999823049,1269535.199999999953434,1120275.159999999916181,1062397.800000000046566,1134796.000000000000000,10508245.190000001341105
20151130,1135862.619999999878928,1193822.860000000102445,1237013.699999999720603,1161243.160000000149012,1164261.459999999729916,1279422.000000000000000,1125724.120000000111759,1060504.800000000046566,1114900.600000000093132,10472756.320000000298023
20151201,1150290.699999999953434,1210472.650000000139698,1240155.849999999860302,1163616.280000000260770,1198523.739999999757856,1299901.800000000046566,1128943.959999999962747,1060000.000000000000000,1117742.800000000046566,10569648.780000001192093
20151202,1122553.959999999962747,1193464.800000000046566,1232246.299999999813735,1154717.080000000074506,1182051.489999999757856,1299666.399999999906868,1112597.080000000074506,1051418.399999999906868,1105616.080000000074506,10454332.589999999850988
20151203,1105140.759999999776483,1178068.219999999972060,1228670.749999999767169,1144927.960000000195578,1155037.000000000000000,1275891.000000000000000,1103680.600000000093132,1034128.999999999883585,1118690.199999999953434,10344236.489999998360872
20151204,1115837.439999999944121,1215485.489999999990687,1259117.099999999860302,1173405.400000000139698,1178098.149999999906868,1316144.399999999906868,1132163.800000000046566,1067950.600000000093132,1130437.959999999962747,10588641.339999999850988
20151207,1085613.100000000093132,1199551.820000000065193,1261500.799999999813735,1169919.880000000121072,1178976.669999999925494,1313790.400000000139698,1140832.600000000093132,1071105.600000000093132,1146354.280000000027940,10567646.149999998509884
20151208,1075165.179999999934807,1180932.699999999953434,1262692.649999999906868,1162800.520000000018626,1174364.439999999711290,1313319.600000000093132,1131916.120000000111759,1055835.399999999906868,1129490.560000000055879,10486518.169999999925494
20151209,1089593.259999999776483,1171981.199999999953434,1263234.399999999906868,1157312.680000000167638,1160088.489999999757856,1294252.199999999953434,1123495.000000000000000,1051797.000000000000000,1120395.520000000018626,10432150.750000000000000
20151210,1110737.859999999869615,1174666.650000000139698,1269952.099999999860302,1168214.200000000186265,1179196.299999999813735,1301078.800000000046566,1122504.280000000027940,1052806.599999999860302,1128543.160000000149012,10507700.949999999254942
20151211,1075165.179999999934807,1147096.030000000027940,1257816.899999999906868,1148265.160000000149012,1145373.279999999795109,1272595.400000000139698,1110120.280000000027940,1031226.399999999906868,1124753.560000000055879,10312413.189999999478459
20151214,1111111.000000000000000,1150676.629999999888241,1259767.199999999953434,1169029.960000000195578,1146471.429999999934807,1298018.600000000093132,1125724.120000000111759,1041953.400000000023283,1144270.000000000000000,10447023.339999999850988
20151215,1153773.340000000083819,1183439.119999999878928,1267026.649999999906868,1098577.960000000195578,1161845.529999999795109,1299431.000000000000000,1128200.919999999925494,1036274.399999999906868,1130059.000000000000000,10458628.919999999925494
20151216,1162231.179999999934807,1209040.410000000149012,1276886.500000000000000,1112075.080000000074506,1186444.089999999850988,1321323.199999999953434,1151978.199999999953434,1069086.399999999906868,1142564.679999999934807,10631630.740000000223517
20151217,1126160.979999999981374,1186661.660000000149012,1273202.599999999860302,1103917.479999999981374,1156574.409999999683350,1311201.000000000000000,1141823.320000000065193,1051797.000000000000000,1117553.320000000065193,10468892.770000001415610
20151218,1117081.239999999990687,1153004.020000000251457,1264101.199999999720603,1089604.600000000093132,1134172.149999999906868,1274243.199999999953434,1128448.600000000093132,1041322.400000000023283,1115090.080000000074506,10317068.490000002086163
20151221,1109991.579999999841675,1173413.440000000176951,1275261.249999999767169,1093757.560000000055879,1139223.639999999897555,1290721.199999999953434,1136869.719999999972060,1071358.000000000000000,1128353.679999999934807,10418951.070000000298023
20151222,1122802.719999999972060,1175919.860000000102445,1275586.299999999813735,1104807.400000000139698,1144275.129999999888241,1302962.000000000000000,1147767.640000000130385,1085492.399999999906868,1147112.199999999953434,10506726.650000000372529
20151223,1166833.239999999990687,1194718.010000000242144,1287288.099999999860302,1121048.440000000176951,1163602.569999999832362,1314025.800000000046566,1162876.120000000111759,1085997.199999999953434,1157533.600000000093132,10653924.079999998211861
20151224,1144942.359999999869615,1192390.619999999878928,1284796.049999999813735,1121270.920000000158325,1160747.379999999888241,1310494.800000000046566,1156931.800000000046566,1091171.399999999906868,1152607.120000000111759,10615353.449999999254942
20151228,1123922.139999999897555,1188451.959999999962747,1286746.349999999860302,1121493.400000000139698,1160527.750000000000000,1317086.000000000000000,1157922.520000000018626,1083347.000000000000000,1151091.280000000027940,10590589.399999998509884
20151229,1134991.959999999962747,1200805.030000000027940,1301048.549999999813735,1133878.120000000111759,1171509.250000000000000,1331210.000000000000000,1169315.800000000046566,1095714.599999999860302,1167386.560000000055879,10705860.870000001043081
20151230,1120563.880000000121072,1192211.590000000083819,1294114.149999999906868,1126610.440000000176951,1169532.579999999841675,1325560.400000000139698,1158417.880000000121072,1090288.000000000000000,1168712.919999999925494,10646012.840000001713634
20151231,1118946.939999999944121,1182185.910000000149012,1280136.999999999767169,1117192.120000000111759,1160088.489999999757856,1306022.199999999953434,1144795.479999999981374,1074765.399999999906868,1161512.679999999934807,10545647.219999998807907
20160104,1105140.759999999776483,1139039.679999999934807,1274069.399999999906868,1088863.000000000000000,1152621.069999999832362,1290015.000000000000000,1136126.679999999934807,1048137.199999999953434,1164544.360000000102445,10398558.149999998509884
20160105,1114593.639999999897555,1141009.010000000009313,1291622.099999999860302,1093609.240000000223517,1167336.279999999795109,1295900.000000000000000,1151730.520000000018626,1020625.599999999976717,1192208.439999999944121,10468635.829999998211861
20160106,1070563.119999999878928,1124538.250000000000000,1282954.099999999860302,1071583.720000000204891,1151303.289999999804422,1272360.000000000000000,1127457.880000000121072,1004976.799999999930151,1204145.679999999934807,10309883.839999999850988
20160107,1032627.219999999855645,1079064.630000000121072,1253266.199999999720603,1045479.400000000139698,1141200.309999999823049,1228104.800000000046566,1121265.880000000121072,1024411.599999999976717,1232188.719999999972060,10157609.759999999776483
20160108,1021557.399999999906868,1054895.580000000074506,1251315.899999999906868,1041919.720000000204891,1121872.869999999878928,1231871.199999999953434,1110367.959999999962747,1022897.199999999953434,1203956.199999999953434,10060655.029999999329448
20160111,1004641.719999999855645,1053284.310000000055879,1264426.249999999767169,1041697.240000000223517,1125606.579999999841675,1231165.000000000000000,1116807.640000000130385,1022518.599999999860302,1216840.840000000083819,10076989.179999999701977
20160112,1021806.160000000032596,1055611.700000000186265,1272552.499999999767169,1044663.640000000246800,1136807.709999999729916,1242464.199999999953434,1112844.760000000009313,1032614.599999999860302,1205472.040000000037253,10124838.310000002384186
20160113,1011606.999999999883585,1026608.840000000083819,1247415.299999999813735,1028793.400000000139698,1112648.409999999683350,1215628.600000000093132,1093525.719999999972060,1008762.800000000046566,1173260.439999999944121,9918251.509999997913837
20160114,1063100.319999999832362,1042005.420000000158325,1263667.799999999813735,1047036.760000000125729,1137686.229999999748543,1250232.399999999906868,1111358.679999999934807,1033245.599999999976717,1194861.160000000149012,10143195.369999999180436
20160115,1040711.920000000041910,1021237.940000000060536,1248065.399999999906868,1028570.920000000158325,1123190.649999999906868,1200327.600000000093132,1100460.760000000009313,1008762.800000000046566,1173449.919999999925494,9944778.910000000149012
20160119,1013845.840000000083819,1020700.849999999976717,1273202.599999999860302,1026346.119999999995343,1127583.250000000000000,1190205.400000000139698,1111358.679999999934807,1018480.199999999953434,1185387.160000000149012,9967111.099999999627471
20160120,982377.700000000069849,993846.349999999976717,1254566.399999999906868,1015741.240000000223517,1110232.479999999748543,1195619.600000000093132,1100213.080000000074506,1002705.199999999953434,1152796.600000000093132,9808099.649999998509884
20160121,1008124.359999999869615,989191.570000000065193,1276886.500000000000000,1021674.040000000037253,1118358.789999999804422,1188322.199999999953434,1136126.679999999934807,996773.800000000046566,1172502.520000000018626,9907961.459999999031425
20160122,1039094.980000000097789,1019626.670000000158325,1282954.099999999860302,1034726.200000000186265,1127802.879999999888241,1230929.600000000093132,1165105.239999999990687,1020247.000000000000000,1187850.399999999906868,10108338.070000000298023
20160125,1006134.280000000027940,996531.800000000046566,1291622.099999999860302,1020265.000000000116415,1118358.789999999804422,1219159.600000000093132,1164857.560000000055879,993366.399999999906868,1202250.880000000121072,10012547.410000002011657
20160126,1046309.020000000018626,1021954.060000000055879,1304949.149999999906868,1073734.360000000102445,1129999.179999999934807,1228104.800000000046566,1195074.520000000018626,1002578.999999999883585,1212672.280000000027940,10215377.369999999180436
