訓練日期,20091123 - 20100226
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10592708.390000000596046
真實報酬,592708.390000000596046

夏普值報酬,0.050570839000000
夏普值風險,0.016828567496296
夏普值,3.005059046833947

預期報酬,9420.563457855125307
風險,173967.149643617798574
趨勢值,0.054151392818436
找到最佳解世代,95
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](1),CVX[5](23),DIS[6](9),HD[9](3),INTC[11](5),MCD[15](20),MRK[17](8),NKE[19](14),PFE[20](17),PG[21](15),UNH[23](2),
20100106,1051160.639999999897555,942955.260000000009313,963918.520000000018626,962605.200000000069849,982800.000000000116415,873278.280000000027940,939009.599999999860302,927294.480000000097789,920973.360000000102445,895115.500000000000000,1011900.900000000023283,10471021.740000000223517
20100107,1093711.500000000000000,939402.960000000079162,964221.439999999944121,973977.180000000051223,973350.000000000232831,879673.229999999981374,940505.579999999958090,936396.720000000088476,917507.380000000121072,890261.200000000069849,1050733.500000000000000,10559750.689999999478459
20100108,1083161.699999999953434,941060.700000000069849,965736.039999999920838,969294.600000000093132,984217.500000000000000,878820.569999999948777,940006.920000000041910,934690.050000000046566,924934.480000000097789,889084.400000000023283,1040866.200000000186265,10551883.160000000149012
20100111,1070326.109999999869615,957756.510000000009313,949984.199999999953434,941868.060000000055879,989887.500000000116415,885641.849999999976717,943746.869999999995343,923312.250000000000000,932361.579999999958090,885554.000000000000000,1047868.800000000162981,10528317.730000000447035
20100112,1062589.589999999850988,952191.239999999990687,933626.520000000018626,935847.600000000093132,973822.500000000116415,890473.589999999967404,936266.969999999855645,921605.579999999958090,929390.740000000107102,895703.900000000023283,1020176.699999999953434,10451704.929999999701977
20100113,1075425.179999999934807,944968.229999999981374,947863.759999999892898,940864.650000000023283,990360.000000000116415,889478.819999999948777,970674.509999999892898,930138.930000000051223,951176.900000000139698,904971.200000000069849,1035773.400000000023283,10581705.580000000074506
20100114,1082458.379999999888241,942007.979999999981374,939684.919999999925494,946550.640000000013970,1014930.000000000116415,890331.479999999981374,997103.489999999990687,924450.030000000027940,959594.280000000027940,905853.799999999930151,1060600.800000000279397,10663575.800000002607703
20100115,1069446.959999999962747,938218.860000000102445,926962.280000000027940,955581.330000000074506,982800.000000000116415,885073.409999999916181,984138.329999999958090,915916.680000000051223,965040.819999999948777,894674.199999999953434,1074287.700000000186265,10592150.570000000298023
20100119,1066457.849999999860302,943547.310000000172295,939382.000000000000000,965949.900000000023283,994612.500000000116415,902126.609999999869615,1012811.279999999911524,920467.800000000046566,990292.960000000079162,907913.199999999953434,1118213.100000000093132,10761784.509999999776483
20100120,1058545.500000000000000,925430.580000000074506,944834.559999999939464,958591.560000000055879,996030.000000000000000,895447.439999999944121,1023033.809999999939464,913072.230000000097789,987322.120000000111759,889231.500000000000000,1099751.700000000186265,10691301.000000000000000
20100121,1040962.500000000000000,902814.270000000018626,927265.199999999953434,952571.100000000093132,984690.000000000116415,898147.530000000027940,999347.459999999962747,905107.770000000018626,952662.319999999948777,880258.400000000023283,1053598.200000000186265,10497434.750000000000000
20100122,1015818.809999999939464,883276.620000000111759,908181.239999999990687,927151.380000000004657,940747.500000000116415,900847.619999999995343,969178.529999999911524,896005.530000000027940,938798.400000000139698,887172.099999999976717,1055508.000000000000000,10322695.730000000447035
20100125,1015994.639999999897555,882802.979999999981374,906363.719999999972060,923806.680000000051223,960120.000000000116415,896584.319999999948777,966435.899999999906868,905676.660000000032596,933351.860000000102445,891879.300000000046566,1050415.200000000186265,10333441.260000001639128
20100126,1014763.829999999958090,878066.580000000074506,898487.799999999930151,927485.850000000093132,945000.000000000116415,906816.239999999990687,961947.959999999962747,906814.439999999944121,929885.880000000121072,892761.900000000023283,1032590.400000000023283,10294630.880000000819564
20100127,1088964.089999999850988,872738.130000000121072,888188.520000000018626,931165.020000000018626,956340.000000000000000,905679.359999999869615,963443.939999999944121,910227.780000000027940,940778.960000000079162,894527.099999999976717,1058054.399999999906868,10410117.299999998882413
20100128,1100041.379999999888241,867291.270000000018626,889097.280000000027940,914441.520000000018626,941220.000000000232831,892889.459999999962747,946738.829999999958090,903401.100000000093132,922458.780000000027940,907324.800000000046566,1064102.100000000093132,10349016.519999999552965
20100129,1065578.699999999953434,854029.350000000093132,895155.679999999934807,936851.010000000125729,916650.000000000000000,887205.059999999939464,951974.759999999892898,906814.439999999944121,923944.200000000069849,905412.500000000000000,1050415.200000000186265,10294040.899999998509884
20100201,1084920.000000000000000,871317.210000000079162,894246.919999999925494,949560.870000000111759,926572.500000000116415,907953.119999999995343,954966.719999999855645,911365.560000000055879,930381.020000000018626,911884.900000000023283,1054553.100000000093132,10397731.919999999925494
20100202,1089139.919999999925494,881618.880000000121072,908181.239999999990687,970966.950000000069849,940747.500000000116415,909942.659999999916181,985883.639999999897555,909090.000000000000000,952662.319999999948777,925271.000000000000000,1083836.700000000186265,10557350.809999998658895
20100203,1080700.079999999841675,866936.039999999920838,931506.079999999958090,952236.630000000004657,929880.000000000116415,926711.639999999897555,965438.579999999958090,910227.780000000027940,921963.640000000130385,921593.500000000000000,1060600.800000000279397,10467804.770000001415610
20100204,1043072.459999999962747,845148.600000000093132,898790.719999999972060,934175.250000000000000,898695.000000000116415,910368.989999999990687,925047.119999999995343,882921.060000000055879,892750.380000000121072,903206.000000000000000,1033227.000000000116415,10167412.580000001937151
20100205,1026896.099999999860302,842898.810000000172295,894852.759999999892898,935847.600000000093132,919957.500000000116415,900563.399999999906868,915821.909999999916181,877801.050000000046566,889284.400000000139698,901735.000000000000000,1035773.400000000023283,10141441.930000001564622
20100208,1017928.769999999902211,830465.760000000009313,893035.239999999990687,956250.270000000018626,914287.500000000232831,894168.449999999953434,912331.290000000037253,872112.150000000023283,883342.720000000088476,897469.099999999976717,1031635.500000000000000,10103036.750000000000000
20100209,1050457.319999999832362,844438.140000000130385,903940.359999999986030,965615.430000000051223,928462.500000000000000,903405.599999999976717,909339.329999999958090,889178.850000000093132,885323.280000000027940,908501.599999999976717,1050415.200000000186265,10239087.609999999403954
20100210,1046940.719999999855645,837807.180000000051223,909695.839999999967404,958257.089999999967404,930352.500000000232831,898858.079999999958090,902607.420000000041910,890885.520000000018626,878391.319999999948777,907177.700000000069849,1041184.500000000116415,10202167.869999999180436
20100211,1065402.869999999878928,849411.360000000102445,913633.799999999930151,969629.069999999948777,947835.000000000000000,906532.019999999902211,919561.859999999986030,895436.640000000013970,884828.140000000130385,911443.599999999976717,1054234.799999999813735,10317959.160000000149012
20100212,1048874.849999999860302,840885.840000000083819,910907.520000000018626,969963.540000000037253,965317.500000000116415,903689.819999999948777,920559.179999999934807,888609.959999999962747,881362.160000000149012,908501.599999999976717,1024314.600000000093132,10262996.570000000298023
20100216,1077183.479999999981374,864331.020000000018626,923024.319999999948777,984680.220000000088476,979020.000000000116415,909658.440000000060536,939009.599999999860302,905107.770000000018626,877401.040000000037253,924241.299999999930151,1006808.100000000093132,10390475.290000000968575
20100217,1087029.959999999962747,862554.870000000111759,934838.199999999953434,1004079.479999999981374,976185.000000000116415,913211.190000000060536,931031.040000000037253,917054.460000000079162,874925.340000000200234,924535.500000000000000,1036091.699999999953434,10461546.740000000223517
20100218,1105843.770000000018626,871790.850000000093132,939684.919999999925494,1013444.640000000013970,984690.000000000116415,916337.609999999986030,929784.389999999897555,916485.569999999948777,877896.180000000051223,932478.900000000023283,1040547.900000000023283,10528994.730000002309680
20100219,1118151.869999999878928,876882.479999999981374,946046.239999999990687,1008427.589999999967404,983745.000000000116415,920032.469999999855645,934770.989999999990687,915347.790000000037253,890769.819999999948777,933361.500000000000000,1016675.400000000139698,10544221.150000000372529
20100222,1124833.409999999916181,863975.789999999920838,942714.119999999995343,1014113.580000000074506,986107.500000000116415,920458.799999999930151,925545.779999999911524,914778.899999999906868,888789.260000000009313,932920.200000000069849,1052961.600000000093132,10567208.939999999478459
20100223,1103733.810000000055879,853082.070000000181608,936655.719999999972060,1028495.790000000037253,963427.500000000116415,921879.900000000023283,910336.649999999906868,911934.450000000069849,874925.340000000200234,929831.099999999976717,1044367.500000000116415,10478679.830000001937151
20100224,1116217.739999999757856,856634.370000000111759,950892.959999999962747,1048898.459999999962747,978075.000000000116415,927422.190000000060536,920808.509999999892898,923312.250000000000000,881857.300000000046566,939833.900000000023283,1070149.799999999813735,10614112.480000000447035
20100225,1105492.109999999869615,853910.940000000060536,949984.199999999953434,1048898.459999999962747,974767.500000000116415,914916.509999999892898,911832.630000000004657,940947.839999999967404,875915.620000000111759,937039.000000000000000,1064738.700000000186265,10578453.509999997913837
20100226,1110591.179999999934807,856160.729999999981374,946349.159999999916181,1043546.940000000060536,970042.500000000116415,907384.679999999934807,919561.859999999986030,961427.880000000004657,868983.660000000149012,930860.800000000046566,1077789.000000000000000,10592708.390000000596046
