訓練日期,20110321 - 20110621
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10750807.280000001192093
真實報酬,750807.280000001192093

夏普值報酬,0.066380728000000
夏普值風險,0.024663281208216
夏普值,2.691479995690425

預期報酬,16493.464377622382017
風險,253699.861992215999635
趨勢值,0.065011719943815
找到最佳解世代,54
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](6),HD[9](23),IBM[10](9),JNJ[12](2),MCD[15](1),MMM[16](17),MRK[17](4),PFE[20](16),UTX[24](15),WBA[27](7),
20110329,1033505.719999999972060,1047220.900000000023283,1044833.859999999986030,1011097.449999999953434,1032606.000000000232831,1043378.680000000051223,1027264.060000000055879,1009910.799999999930151,1049401.000000000000000,976045.860000000102445,10275264.329999998211861
20110330,1039391.859999999869615,1043609.890000000013970,1049451.939999999944121,1013829.130000000004657,1038634.000000000116415,1039220.619999999995343,1043559.819999999948777,1007928.640000000013970,1050773.250000000000000,977756.870000000111759,10304156.019999999552965
20110331,1023318.170000000041910,1029443.620000000111759,1046052.520000000018626,1011609.640000000013970,1042470.000000000116415,1050795.760000000009313,1034471.799999999930151,1006442.020000000018626,1056012.750000000000000,981178.890000000130385,10281795.169999999925494
20110401,1026940.410000000032596,1043332.120000000111759,1053749.320000000065193,1015707.160000000032596,1041100.000000000000000,1046637.699999999953434,1036352.080000000074506,1009910.799999999930151,1064371.000000000000000,1000733.290000000037253,10338833.879999998956919
20110404,1028298.750000000000000,1040832.189999999944121,1053621.040000000037253,1026975.339999999967404,1046580.000000000116415,1052369.080000000074506,1042619.680000000167638,1017839.439999999944121,1063248.250000000000000,998044.560000000055879,10370428.330000000074506
20110405,1028298.750000000000000,1044443.200000000069849,1051953.400000000139698,1020999.789999999920838,1049457.000000000000000,1049559.580000000074506,1039172.499999999883585,1013379.579999999958090,1065369.000000000000000,1004888.600000000093132,10367521.400000000372529
20110406,1047768.290000000037253,1041665.500000000000000,1052274.100000000093132,1018609.569999999948777,1051101.000000000000000,1054391.919999999925494,1045126.720000000088476,1005450.939999999944121,1068612.500000000000000,1007577.330000000074506,10392577.869999999180436
20110407,1045051.609999999869615,1050831.909999999916181,1054454.860000000102445,1015536.429999999934807,1041374.000000000232831,1047311.979999999981374,1044499.959999999962747,1007433.099999999976717,1064870.000000000000000,1010266.060000000055879,10381629.909999998286366
20110408,1047768.290000000037253,1040554.420000000041910,1052338.240000000223517,1015194.969999999972060,1041785.000000000232831,1047649.119999999995343,1055154.879999999888241,1013875.120000000111759,1058008.750000000000000,1002444.300000000046566,10374773.089999999850988
20110411,1050032.189999999944121,1044443.200000000069849,1051696.839999999850988,1022024.170000000041910,1044662.000000000116415,1054167.159999999916181,1052647.840000000316650,1024281.460000000079162,1060129.500000000000000,1010510.490000000223517,10414594.849999999627471
20110412,1041882.150000000023283,1048887.520000000018626,1047207.040000000037253,1023390.010000000009313,1050279.000000000000000,1038096.820000000065193,1051707.700000000186265,1013875.120000000111759,1047654.500000000000000,1008799.480000000214204,10371779.339999999850988
20110413,1043693.270000000018626,1046387.590000000083819,1051696.839999999850988,1017585.190000000060536,1053430.000000000000000,1043603.440000000060536,1048887.279999999795109,1013875.120000000111759,1050523.750000000000000,1010021.630000000121072,10379704.110000001266599
20110414,1038712.690000000060536,1051109.680000000167638,1058239.120000000111759,1024755.850000000093132,1055896.000000000000000,1044502.479999999981374,1061109.100000000093132,1015361.739999999990687,1047654.500000000000000,1013199.220000000204891,10410540.380000000819564
20110415,1047089.119999999995343,1060276.090000000083819,1066192.479999999981374,1033975.270000000018626,1060143.000000000000000,1043153.919999999925494,1081478.799999999813735,1017343.900000000139698,1041042.750000000000000,1023465.280000000027940,10474160.609999999403954
20110418,1042787.710000000079162,1048887.520000000018626,1064460.699999999953434,1032267.969999999972060,1054937.000000000000000,1027757.859999999986030,1063302.760000000242144,1010901.880000000004657,1019211.500000000000000,1018087.820000000065193,10382602.719999998807907
20110419,1055918.330000000074506,1049165.290000000037253,1060997.140000000130385,1070340.759999999776483,1049457.000000000000000,1032365.440000000060536,1057661.919999999925494,1017343.900000000139698,1027445.000000000000000,1035686.780000000027940,10456381.559999998658895
20110420,1064068.370000000111759,1053887.379999999888241,1056828.040000000037253,1099364.859999999869615,1074117.000000000000000,1053717.640000000130385,1066749.939999999944121,1010406.340000000083819,1071606.500000000000000,1040330.950000000186265,10591077.019999999552965
20110421,1066558.660000000149012,1049998.599999999860302,1079469.459999999962747,1093901.500000000000000,1053704.000000000000000,1055515.719999999972060,1066749.939999999944121,980673.939999999944121,1086576.500000000000000,1043508.540000000037253,10576656.859999999403954
20110425,1065200.319999999832362,1043332.120000000111759,1075556.919999999925494,1094584.419999999925494,1056718.000000000000000,1057763.320000000065193,1075837.959999999962747,998017.840000000083819,1079590.500000000000000,1037642.220000000204891,10584243.620000001043081
20110426,1066332.270000000018626,1033610.170000000041910,1080816.400000000139698,1108925.740000000223517,1054115.000000000000000,1078216.479999999981374,1098714.700000000186265,1000495.540000000037253,1096057.500000000000000,1047908.280000000027940,10665192.080000000074506
20110427,1078104.549999999813735,1036665.640000000013970,1092874.719999999972060,1119511.000000000000000,1066856.000000000000000,1084172.620000000111759,1116577.360000000335276,1022299.299999999930151,1096057.500000000000000,1048152.710000000195578,10761271.400000002235174
20110428,1098479.649999999906868,1040832.189999999944121,1095504.459999999962747,1116267.129999999888241,1069048.000000000000000,1092713.500000000000000,1120964.680000000167638,1032210.099999999976717,1110403.750000000000000,1055241.180000000167638,10831664.639999998733401
20110429,1111157.489999999757856,1031943.549999999930151,1094221.660000000149012,1122071.950000000186265,1072884.000000000000000,1092488.739999999990687,1126605.520000000018626,1039147.659999999916181,1117514.500000000000000,1044241.830000000074506,10852276.900000000372529
20110502,1124061.719999999739230,1037498.950000000069849,1104291.640000000130385,1130437.719999999739230,1077405.000000000000000,1089229.719999999972060,1137887.200000000186265,1041625.359999999986030,1122754.000000000000000,1034220.200000000186265,10899411.509999997913837
20110503,1129721.469999999739230,1037498.950000000069849,1108909.719999999972060,1131291.370000000111759,1081515.000000000000000,1088218.300000000046566,1141021.000000000000000,1012884.040000000037253,1120882.750000000000000,1054019.030000000027940,10905961.629999998956919
20110504,1125193.669999999925494,1033054.629999999888241,1094478.219999999972060,1121218.299999999813735,1083296.000000000000000,1081138.360000000102445,1145721.700000000186265,1022794.840000000083819,1115019.500000000000000,1045708.410000000149012,10867623.630000000819564
20110505,1121118.649999999906868,1028054.769999999902211,1080623.979999999981374,1109950.120000000111759,1076857.000000000000000,1066753.719999999972060,1136006.919999999925494,1010406.340000000083819,1104415.750000000000000,1038864.370000000111759,10773051.620000001043081
20110506,1136513.169999999925494,1027499.230000000097789,1083382.000000000000000,1114389.100000000093132,1078227.000000000000000,1074395.560000000055879,1140394.240000000223517,1018334.980000000097789,1112898.750000000000000,1034953.490000000223517,10820987.520000001415610
20110509,1136286.779999999795109,1026665.920000000041910,1084728.939999999944121,1120535.379999999888241,1086584.000000000000000,1078778.379999999888241,1143214.660000000149012,1020812.680000000051223,1116766.000000000000000,1053530.170000000158325,10867902.910000000149012
20110510,1135834.000000000000000,1035276.790000000037253,1092938.860000000102445,1122754.870000000111759,1092064.000000000000000,1075631.739999999990687,1152302.680000000167638,1033696.719999999972060,1120383.750000000000000,1063307.370000000111759,10924190.780000001192093
20110511,1128136.739999999757856,1034165.709999999962747,1087294.540000000037253,1136584.000000000000000,1089324.000000000000000,1073496.520000000018626,1147915.360000000335276,1021308.219999999972060,1116766.000000000000000,1077728.740000000223517,10912719.830000000074506
20110512,1121571.430000000167638,1035832.329999999958090,1104868.900000000139698,1147169.259999999776483,1105079.000000000000000,1086195.459999999962747,1165778.020000000018626,1035183.340000000083819,1117389.750000000000000,1098260.860000000102445,11017328.349999999627471
20110513,1120439.479999999981374,1028054.769999999902211,1089988.419999999925494,1137437.649999999906868,1106175.000000000000000,1079003.140000000130385,1162017.459999999962747,1036669.960000000079162,1110029.500000000000000,1099238.580000000074506,10969053.960000000894070
20110516,1133570.100000000093132,1027221.459999999962747,1083189.580000000074506,1133169.399999999906868,1111655.000000000000000,1072822.239999999990687,1168911.819999999832362,1039643.200000000069849,1108782.000000000000000,1102905.030000000027940,10981869.829999998211861
20110517,1149191.009999999776483,1038887.799999999930151,1093708.540000000037253,1133681.590000000316650,1108778.000000000000000,1054841.439999999944121,1167971.680000000167638,1047571.840000000083819,1095558.500000000000000,1082861.770000000018626,10973052.169999998062849
20110518,1155982.709999999962747,1040554.420000000041910,1093323.699999999953434,1135388.890000000130385,1116587.000000000000000,1055740.479999999981374,1177686.459999999962747,1049554.000000000000000,1087200.250000000000000,1080173.040000000037253,10992190.949999999254942
20110519,1173188.350000000093132,1038610.030000000027940,1094285.800000000046566,1133510.859999999869615,1130424.000000000000000,1064393.739999999990687,1171418.860000000335276,1042120.900000000139698,1099051.500000000000000,1081150.760000000009313,11028154.799999998882413
20110520,1158925.779999999795109,1029165.849999999976717,1091527.780000000027940,1121559.759999999776483,1127958.000000000000000,1051470.040000000037253,1161390.700000000186265,1025272.540000000037253,1091566.500000000000000,1084572.780000000027940,10943409.729999998584390
20110523,1157341.049999999813735,1022777.140000000013970,1079341.179999999934807,1119340.270000000018626,1130287.000000000000000,1039445.380000000004657,1156376.620000000111759,1020317.140000000013970,1073976.750000000000000,1087750.370000000111759,10886952.900000002235174
20110524,1144663.209999999962747,1015277.349999999976717,1077609.400000000139698,1123096.330000000074506,1132205.000000000000000,1033601.619999999995343,1155436.479999999981374,1016848.359999999986030,1068113.500000000000000,1082617.340000000083819,10849468.589999999850988
20110525,1141267.359999999869615,1017499.510000000125729,1076070.040000000037253,1131803.560000000055879,1133301.000000000000000,1041692.979999999981374,1149795.640000000130385,1029732.400000000139698,1076097.500000000000000,1078950.890000000130385,10876210.880000002682209
20110526,1147379.890000000130385,1005277.629999999888241,1072414.060000000055879,1118486.620000000111759,1129328.000000000000000,1043153.919999999925494,1140080.860000000335276,1035678.880000000004657,1077719.250000000000000,1068195.970000000204891,10837715.080000001937151
20110527,1157567.439999999944121,1000000.000000000000000,1074466.540000000037253,1139998.600000000093132,1118231.000000000000000,1050458.620000000111759,1134753.399999999906868,1037165.500000000000000,1076970.750000000000000,1068440.400000000139698,10858052.250000000000000
20110531,1168207.770000000018626,1007777.560000000055879,1083638.560000000055879,1148876.560000000055879,1117135.000000000000000,1060685.199999999953434,1151675.919999999925494,1062933.580000000074506,1094934.750000000000000,1066484.960000000195578,10962349.860000001266599
20110601,1129947.859999999869615,983333.799999999930151,1068437.380000000121072,1135047.430000000167638,1109463.000000000000000,1027645.479999999981374,1136006.919999999925494,1043111.980000000097789,1051646.500000000000000,1058907.630000000121072,10743547.980000002309680
20110602,1134022.879999999888241,974722.930000000051223,1065422.800000000046566,1135047.430000000167638,1106312.000000000000000,1027870.239999999990687,1132873.120000000111759,1040634.280000000027940,1051521.750000000000000,1056463.330000000074506,10724890.760000001639128
20110603,1115685.290000000037253,961945.510000000125729,1058752.240000000223517,1128388.959999999962747,1103435.000000000000000,1019329.359999999986030,1122531.580000000074506,1032705.640000000013970,1038422.999999999883585,1054752.320000000065193,10635948.900000000372529
20110606,1104365.790000000037253,952501.329999999958090,1056828.040000000037253,1127706.040000000037253,1105627.000000000000000,1018430.320000000065193,1114383.700000000186265,1027750.239999999990687,1044286.249999999883585,1049619.290000000037253,10601498.000000000000000
20110607,1106856.080000000074506,953612.409999999916181,1050029.199999999953434,1118315.890000000130385,1111655.000000000000000,1021015.059999999939464,1114697.080000000074506,1027750.239999999990687,1038547.750000000000000,1049374.860000000102445,10591853.569999998435378
20110608,1088971.270000000018626,947223.700000000069849,1054198.300000000046566,1129242.609999999869615,1111792.000000000000000,1021689.339999999967404,1121591.439999999944121,1024777.000000000000000,1035928.000000000116415,1055485.610000000102445,10590899.269999999552965
20110609,1094178.239999999757856,953612.409999999916181,1057405.300000000046566,1140169.330000000074506,1113299.000000000000000,1033489.239999999990687,1128172.419999999925494,1028245.780000000027940,1049026.750000000000000,1065751.670000000158325,10663350.139999998733401
20110610,1080821.229999999981374,929724.189999999944121,1046758.060000000055879,1128388.959999999962747,1100969.000000000000000,1019666.500000000000000,1110936.520000000018626,996531.219999999972060,1031686.500000000000000,1050352.580000000074506,10495834.759999999776483
20110613,1092140.729999999981374,930835.269999999902211,1046693.919999999925494,1136925.459999999962747,1106038.000000000000000,1026072.160000000032596,1107175.959999999962747,1013875.120000000111759,1032559.750000000000000,1063307.370000000111759,10555623.740000002086163
20110614,1090103.219999999739230,965278.750000000000000,1052787.219999999972060,1145632.689999999944121,1116176.000000000000000,1040569.180000000051223,1116890.740000000223517,1019821.599999999976717,1048153.500000000000000,1077973.170000000158325,10673386.069999998435378
20110615,1070407.290000000037253,941112.760000000125729,1041306.160000000149012,1129584.069999999832362,1113025.000000000000000,1023037.900000000023283,1102161.879999999888241,1000495.540000000037253,1038797.250000000000000,1070395.840000000083819,10530323.690000001341105
20110616,1095989.359999999869615,958334.500000000000000,1043486.919999999925494,1132315.750000000000000,1120834.000000000000000,1029218.800000000046566,1102475.260000000242144,1002973.239999999990687,1052270.250000000000000,1084817.210000000195578,10622715.290000000968575
20110617,1098026.870000000111759,959167.810000000055879,1054839.699999999953434,1131803.560000000055879,1130561.000000000000000,1031466.400000000023283,1109056.240000000223517,1003964.320000000065193,1055014.750000000000000,1091905.680000000167638,10665806.330000000074506
20110620,1106629.689999999944121,965834.290000000037253,1058559.820000000065193,1135559.620000000111759,1132890.000000000000000,1040232.040000000037253,1121591.439999999944121,1004459.859999999986030,1067115.500000000000000,1104371.610000000102445,10737243.869999999180436
20110621,1121797.819999999832362,984167.109999999986030,1066256.620000000111759,1135218.160000000149012,1134397.000000000000000,1050009.100000000093132,1121278.060000000055879,1012388.500000000000000,1067365.000000000000000,1057929.910000000149012,10750807.280000001192093
