訓練日期,20131101 - 20140205
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10414589.389999998733401
真實報酬,414589.389999998733401

夏普值報酬,0.032758939000000
夏普值風險,0.025164743066562
夏普值,1.301779196129727

預期報酬,14047.254261997539288
風險,187935.055256358406041
趨勢值,0.074745258370430
找到最佳解世代,14
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](14),CAT[3](2),CSCO[4](30),DIS[6](6),DD[7](5),GS[8](11),INTC[11](17),JPM[13](7),MRK[17](1),PFE[20](19),UNH[23](9),V[25](3),XOM[29](10),
20131206,796813.920000000041910,788975.780000000027940,725585.840000000083819,801414.179999999934807,765261.640000000013970,799589.349999999976717,780232.250000000000000,836686.480000000097789,842583.699999999953434,790534.399999999906868,828279.559999999939464,789567.199999999953434,820985.489999999990687,10366519.790000000968575
20131209,793866.920000000041910,794419.710000000079162,723540.020000000018626,797489.280000000027940,795092.760000000009313,801788.609999999869615,783690.100000000093132,843402.280000000027940,845483.729999999981374,791536.959999999962747,830758.739999999874271,788472.119999999995343,822616.259999999892898,10412167.489999998360872
20131210,788090.799999999930151,797464.619999999995343,723199.050000000046566,802647.719999999972060,814250.359999999986030,811637.469999999972060,780232.250000000000000,846237.840000000083819,843266.059999999939464,785521.599999999976717,834477.509999999892898,780024.359999999986030,821500.469999999855645,10428560.109999999403954
20131211,781371.640000000013970,786945.840000000083819,711947.040000000037253,790873.019999999902211,800019.000000000000000,801453.939999999944121,767658.250000000116415,836835.720000000088476,835077.739999999990687,768227.439999999944121,812953.719999999972060,804429.000000000000000,809055.119999999995343,10306857.470000000670552
20131212,783729.239999999990687,789621.669999999925494,699331.150000000139698,780892.559999999939464,794408.559999999939464,804944.070000000065193,769230.000000000000000,840417.480000000097789,824330.569999999948777,758201.839999999967404,800219.750000000000000,795668.359999999986030,818496.419999999925494,10259501.669999999925494
20131213,788857.020000000018626,794050.630000000004657,690124.959999999962747,780780.420000000041910,809187.280000000027940,805230.929999999934807,763571.700000000069849,838328.120000000111759,825354.109999999986030,758201.839999999967404,794247.179999999934807,810999.480000000097789,818067.269999999902211,10277010.939999999478459
20131216,794102.680000000051223,806322.540000000037253,705127.640000000013970,790760.880000000004657,810692.520000000018626,817470.289999999920838,768601.300000000046566,842059.120000000111759,820407.000000000000000,758201.839999999967404,800783.199999999953434,812563.880000000004657,834460.799999999930151,10361563.690000001341105
20131217,800939.719999999972060,802078.119999999995343,713310.920000000158325,792442.979999999981374,822460.760000000009313,815271.030000000027940,775202.650000000023283,831612.320000000065193,817165.789999999920838,755444.799999999930151,797064.429999999934807,833996.160000000032596,830426.789999999920838,10387426.470000000670552
20131218,798641.060000000055879,813611.869999999995343,716038.680000000051223,809712.540000000037253,847913.000000000000000,836068.380000000004657,790605.800000000046566,854296.800000000046566,834224.789999999920838,771235.119999999995343,815658.279999999911524,842287.480000000097789,854373.359999999986030,10584677.160000000149012
20131219,796754.979999999981374,807798.860000000102445,718425.470000000088476,818347.319999999948777,855576.040000000037253,835733.709999999962747,790291.450000000069849,854147.559999999939464,832348.299999999930151,769731.280000000027940,815770.969999999972060,845103.400000000023283,853429.229999999981374,10593468.570000000298023
20131220,805595.979999999981374,820624.390000000130385,720471.290000000037253,811955.340000000083819,853249.760000000009313,837598.299999999930151,787776.650000000023283,861161.840000000083819,841389.569999999948777,758201.839999999967404,826589.209999999846332,844634.080000000074506,846991.979999999981374,10616250.230000000447035
20131223,804004.599999999976717,830128.199999999953434,735473.970000000088476,821823.660000000032596,855165.520000000018626,843861.409999999916181,795949.750000000000000,869220.800000000046566,842071.929999999934807,760708.239999999990687,837858.209999999846332,852768.959999999962747,845532.869999999995343,10694578.119999999180436
20131224,806539.020000000018626,838893.849999999976717,739565.610000000102445,828215.639999999897555,865702.199999999953434,842379.299999999930151,799407.600000000093132,869370.040000000037253,842924.879999999888241,759204.399999999906868,835379.029999999911524,855428.440000000060536,851626.799999999930151,10734646.810000000521541
20131226,815026.380000000004657,841108.330000000074506,743316.280000000027940,836850.420000000041910,874186.280000000027940,843765.789999999920838,807895.050000000046566,868623.840000000083819,848213.169999999925494,765721.040000000037253,843492.709999999846332,861216.719999999972060,866046.239999999990687,10815472.250000000000000
20131227,806951.599999999976717,838524.770000000018626,750817.619999999995343,833822.639999999897555,869123.199999999953434,843287.689999999944121,804751.550000000046566,867728.400000000023283,849407.299999999930151,767976.799999999930151,841689.669999999925494,859183.000000000000000,871281.869999999995343,10804556.109999997541308
20131230,801175.479999999981374,838524.770000000018626,758659.930000000051223,854904.960000000079162,869123.199999999953434,840323.469999999972060,812610.300000000046566,864892.840000000083819,851966.149999999906868,769230.000000000000000,842703.880000000004657,864032.640000000013970,860982.269999999902211,10829139.890000000596046
20131231,804535.060000000055879,837971.150000000023283,764797.390000000013970,856811.340000000083819,865291.679999999934807,847638.399999999906868,816068.150000000023283,872802.559999999939464,853842.639999999897555,767726.159999999916181,848563.759999999892898,870916.000000000000000,868621.139999999897555,10875595.429999999701977
20140102,805595.979999999981374,829297.770000000018626,750135.680000000051223,855353.519999999902211,854891.839999999967404,845869.429999999934807,810724.200000000069849,868773.080000000074506,844289.599999999976717,763465.280000000027940,840337.389999999897555,864345.520000000018626,856175.789999999920838,10789265.079999998211861
20140103,811195.280000000027940,828836.419999999925494,749453.740000000107102,853559.280000000027940,851060.319999999948777,851893.489999999990687,810409.850000000093132,875488.880000000004657,848383.759999999892898,764969.119999999995343,846309.959999999846332,864971.280000000027940,854115.869999999995343,10810657.249999996274710
20140106,815851.540000000037253,817948.560000000055879,750476.650000000139698,850307.219999999972060,849555.079999999958090,857726.309999999939464,800350.650000000023283,880563.040000000037253,848554.349999999976717,765721.040000000037253,836618.619999999878928,859808.760000000009313,855403.319999999948777,10788895.139999998733401
20140107,828228.939999999944121,820624.390000000130385,760705.750000000000000,856138.500000000000000,840113.119999999995343,852562.829999999958090,804437.200000000069849,870414.720000000088476,854866.179999999934807,770483.199999999953434,862199.250000000000000,866379.240000000107102,867505.349999999860302,10854668.669999999925494
20140108,830056.079999999958090,822562.060000000055879,760023.810000000055879,843578.819999999948777,841071.000000000000000,853279.979999999981374,799407.600000000093132,878622.920000000041910,849407.299999999930151,775746.639999999897555,852169.839999999967404,869195.160000000032596,864672.959999999846332,10839804.169999998062849
20140109,837777.219999999972060,827821.449999999953434,753204.410000000032596,839990.340000000083819,830260.640000000013970,848307.739999999990687,795635.400000000023283,876981.280000000027940,844801.369999999995343,775245.359999999986030,857353.579999999958090,867943.640000000013970,856261.619999999995343,10811594.050000000745058
20140110,836421.599999999976717,835203.050000000046566,757637.020000000018626,845485.199999999953434,832313.239999999990687,853040.929999999934807,802551.100000000093132,872951.800000000046566,850942.609999999986030,769230.000000000000000,841802.359999999986030,864814.840000000083819,862784.699999999837019,10825188.449999999254942
20140113,829348.799999999930151,829482.310000000055879,756614.110000000102445,821711.519999999902211,816439.799999999930151,841040.619999999995343,801608.050000000046566,861161.840000000083819,906213.769999999902211,765470.399999999906868,833237.919999999925494,856210.640000000013970,845876.189999999944121,10764425.969999998807907
20140114,825281.939999999944121,835664.400000000023283,764115.450000000069849,834944.040000000037253,831218.520000000018626,844482.939999999944121,833357.400000000139698,861758.800000000046566,904166.689999999944121,776999.839999999967404,834139.439999999944121,870759.559999999939464,850768.500000000000000,10867667.519999999552965
20140115,828877.280000000027940,852734.349999999976717,776731.340000000083819,833037.660000000032596,839018.400000000023283,854762.089999999967404,838387.000000000116415,887875.800000000046566,895978.369999999995343,781511.359999999986030,843380.020000000018626,875139.880000000004657,847850.279999999911524,10955293.830000000074506
20140116,826460.739999999990687,849043.550000000046566,776731.340000000083819,832252.679999999934807,839702.599999999976717,837646.109999999869615,834300.450000000069849,880413.800000000046566,895637.189999999944121,781260.719999999972060,819940.500000000000000,867317.880000000004657,849223.559999999939464,10889941.120000001043081
20140117,827934.239999999990687,843784.160000000032596,775367.459999999962747,829673.460000000079162,839428.920000000041910,842953.020000000018626,812610.300000000046566,867280.680000000051223,886254.739999999990687,779255.599999999976717,817235.939999999944121,908148.719999999972060,851111.819999999948777,10881049.060000000521541
20140121,835065.979999999981374,836033.479999999981374,778436.189999999944121,832140.540000000037253,895122.799999999930151,828227.539999999920838,804437.200000000069849,868176.120000000111759,884207.659999999916181,782764.559999999939464,824448.099999999860302,907053.640000000013970,845447.039999999920838,10921570.849999999627471
20140122,850979.780000000027940,827175.560000000055879,778777.160000000032596,844588.079999999958090,890196.559999999939464,830522.420000000041910,795635.400000000023283,859520.200000000069849,876019.339999999967404,783767.119999999995343,827152.660000000032596,911277.520000000018626,840125.579999999841675,10915747.380000000819564
20140123,832944.140000000013970,816472.240000000107102,769230.000000000000000,838756.800000000046566,871586.319999999948777,816514.089999999967404,789977.099999999976717,842805.320000000065193,880284.089999999967404,777250.479999999981374,824898.859999999986030,892661.160000000032596,832315.049999999930151,10785705.650000000372529
20140124,805478.099999999976717,795157.869999999995343,756955.080000000074506,815543.819999999948777,845997.239999999990687,801645.179999999934807,779917.900000000023283,822210.200000000069849,886766.509999999892898,754191.599999999976717,806868.459999999846332,865284.160000000032596,814119.089999999850988,10550145.209999999031425
20140127,809662.840000000083819,842400.110000000102445,750135.680000000051223,810273.239999999990687,839976.280000000027940,787541.229999999981374,777088.750000000000000,822210.200000000069849,896148.959999999962747,743414.079999999958090,807431.910000000032596,845729.160000000032596,814719.899999999906868,10546742.340000001713634
20140128,808071.459999999962747,853287.969999999972060,741611.430000000051223,817338.059999999939464,839155.239999999990687,794999.589999999967404,782747.050000000046566,831910.800000000046566,901949.019999999902211,762462.719999999972060,808108.049999999813735,864189.080000000074506,820985.489999999990687,10626825.959999999031425
20140129,764986.319999999948777,836218.020000000018626,738201.729999999981374,799956.359999999986030,871723.160000000032596,783764.239999999990687,775831.350000000093132,828776.760000000009313,890690.079999999958090,754692.880000000004657,803037.000000000000000,849170.840000000083819,816350.669999999925494,10513409.409999998286366
20140130,745830.819999999948777,860023.680000000051223,749453.740000000107102,821150.819999999948777,883080.880000000004657,793039.380000000004657,777717.449999999953434,835791.040000000037253,912866.779999999911524,772488.319999999948777,820391.259999999892898,863876.199999999953434,806737.709999999846332,10642458.080000000074506
20140131,738345.440000000060536,866574.849999999976717,747066.950000000069849,814310.280000000027940,886912.400000000023283,784816.059999999939464,771430.450000000069849,826239.680000000051223,903654.919999999925494,761961.439999999944121,814531.380000000004657,842600.359999999986030,791030.819999999948777,10549485.030000001192093
20140203,725496.520000000018626,852826.619999999995343,734792.030000000027940,784929.599999999976717,870902.119999999995343,764257.759999999892898,752883.800000000046566,810569.480000000097789,888472.409999999916181,766974.239999999990687,797177.119999999878928,834934.799999999930151,772920.689999999944121,10357147.190000001341105
20140204,719366.760000000009313,853564.780000000027940,743316.280000000027940,796816.439999999944121,876238.880000000004657,773532.899999999906868,748797.250000000000000,820120.840000000083819,912866.779999999911524,788028.000000000000000,794585.250000000000000,839158.680000000051223,772663.199999999837019,10439066.039999999105930
20140205,715594.599999999976717,848582.199999999953434,749453.740000000107102,804778.380000000004657,874049.439999999944121,767126.359999999869615,739366.750000000000000,824001.080000000074506,913207.959999999962747,768227.439999999944121,798078.639999999897555,843226.119999999995343,768886.679999999934807,10414589.389999998733401
