訓練日期,20100318 - 20100618
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10171323.969999998807907
真實報酬,171323.969999998807907

夏普值報酬,0.008432397000000
夏普值風險,0.031235881877943
夏普值,0.269958665900651

預期報酬,2193.495322906099773
風險,356550.815327336487826
趨勢值,0.006151985155026
找到最佳解世代,48
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),CAT[3](5),CVX[5](7),HD[9](4),INTC[11](14),JPM[13](27),MCD[15](2),MRK[17](26),NKE[19](3),PG[21](11),
20100604,1142096.500000000000000,959151.699999999953434,954601.119999999995343,988622.499999999883585,941996.439999999944121,859101.880000000004657,1004820.480000000097789,871063.400000000139698,998307.010000000125729,949853.379999999888241,9669614.410000000149012
20100607,1119610.899999999906868,927104.050000000046566,955538.559999999939464,970172.499999999883585,913219.479999999981374,838549.479999999981374,1005573.680000000051223,874739.800000000162981,981941.440000000060536,947041.419999999925494,9533491.310000000521541
20100608,1112427.999999999767169,940055.950000000069849,951119.199999999953434,978167.499999999883585,907374.160000000032596,862755.640000000130385,1030128.000000000000000,887869.800000000162981,991535.050000000162981,970786.859999999869615,9632220.159999998286366
20100609,1084945.599999999860302,943376.950000000069849,948039.040000000037253,976629.999999999883585,896133.160000000032596,847683.880000000004657,1028320.320000000181608,885243.800000000046566,987584.740000000107102,960320.119999999878928,9558277.609999999403954
20100610,1117737.099999999860302,995516.650000000023283,993304.000000000000000,1006149.999999999883585,924010.840000000083819,874402.000000000000000,1045041.360000000102445,909928.200000000069849,1012415.260000000125729,967193.799999999813735,9845699.210000000894070
20100611,1131165.999999999767169,1000166.049999999930151,991830.880000000004657,990774.999999999883585,928057.600000000093132,869834.800000000162981,1047602.240000000107102,915442.800000000046566,1020315.880000000004657,953133.999999999883585,9848325.250000000000000
20100614,1134601.299999999813735,1012951.900000000023283,993437.920000000041910,985855.000000000000000,939298.600000000093132,852479.440000000060536,1043986.880000000004657,919644.400000000139698,1019187.220000000088476,956883.279999999911524,9858325.939999999478459
20100615,1158648.399999999906868,1053800.200000000186265,1007499.520000000018626,992004.999999999767169,965827.359999999986030,873488.560000000055879,1060557.280000000260770,945904.400000000139698,1044017.740000000107102,967193.799999999813735,10068942.260000001639128
20100616,1192376.799999999813735,1069242.850000000093132,1003749.760000000009313,988314.999999999883585,966277.000000000000000,879654.280000000144355,1058900.240000000223517,945641.800000000046566,1041760.420000000158325,955945.959999999846332,10101864.109999999403954
20100617,1212988.600000000093132,1078541.649999999906868,1008704.799999999930151,981242.499999999883585,967625.920000000041910,877827.400000000023283,1055284.879999999888241,941702.800000000046566,1051918.360000000335276,964850.499999999883585,10140687.410000000149012
20100618,1222669.899999999906868,1093486.149999999906868,1011383.199999999953434,982164.999999999883585,962230.239999999990687,894726.040000000037253,1052724.000000000000000,936713.400000000139698,1057561.660000000149012,957664.379999999888241,10171323.969999998807907
