訓練日期,20110610 - 20110912
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10140388.839999999850988
真實報酬,140388.839999999850988

夏普值報酬,0.005338884000000
夏普值風險,0.031166627915757
夏普值,0.171301303895657

預期報酬,5074.771202797202022
風險,336720.857305301178712
趨勢值,0.015071151942916
找到最佳解世代,31
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](2),HD[9](15),INTC[11](16),KO[14](3),MCD[15](1),MSFT[18](5),TRV[22](21),V[25](4),WMT[28](11),
20110719,1263131.800000000046566,1168720.699999999953434,1177491.599999999860302,1168773.909999999683350,1178792.349999999860302,1277126.339999999850988,1037437.449999999953434,1296583.980000000214204,1118363.349999999860302,10686422.479999998584390
20110720,1296679.600000000093132,1178430.199999999953434,1173917.259999999776483,1161355.289999999804422,1179612.729999999981374,1254867.299999999813735,1037983.180000000051223,1288444.100000000093132,1116705.669999999925494,10687996.330000000074506
20110721,1298087.199999999953434,1188463.350000000093132,1164726.099999999860302,1169111.119999999878928,1183304.440000000176951,1256722.219999999972060,1049443.510000000009313,1279722.800000000279397,1128723.849999999860302,10718305.589999999850988
20110722,1318262.799999999813735,1181990.350000000093132,1181065.939999999944121,1175855.319999999832362,1210923.900000000139698,1276662.609999999869615,1047442.499999999883585,1301235.340000000083819,1129759.900000000139698,10823199.660000000149012
20110725,1335623.199999999953434,1186197.800000000046566,1175959.739999999990687,1167762.279999999795109,1204907.780000000027940,1294284.349999999860302,1030524.869999999995343,1294839.720000000204891,1118363.349999999860302,10808464.089999999850988
20110726,1352045.199999999953434,1177782.900000000139698,1169321.679999999701977,1166750.649999999906868,1203540.479999999981374,1302167.759999999776483,1033253.519999999902211,1296583.980000000214204,1110489.370000000111759,10811936.539999999105930
20110727,1315682.199999999953434,1153185.500000000232831,1150428.739999999990687,1158320.399999999906868,1190824.590000000083819,1267388.009999999776483,1023612.290000000037253,1275652.860000000102445,1103444.229999999981374,10638539.820000000298023
20110728,1313101.599999999860302,1137650.300000000046566,1151449.979999999981374,1160343.659999999683350,1186585.959999999962747,1285473.479999999981374,1009605.219999999972060,1263443.040000000037253,1098056.770000000018626,10605711.009999997913837
20110729,1308644.199999999953434,1130530.000000000000000,1140216.339999999850988,1146855.259999999776483,1182484.060000000055879,1270634.119999999878928,1002874.550000000046566,1243674.760000000242144,1092254.889999999897555,10518169.179999999701977
20110801,1329758.199999999953434,1108521.800000000046566,1135620.759999999776483,1142134.319999999832362,1181253.489999999990687,1264605.629999999888241,993415.229999999981374,1245419.020000000251457,1090390.000000000000000,10491119.449999999254942
20110802,1303483.000000000000000,1062239.850000000093132,1109068.519999999785796,1130669.179999999934807,1163068.400000000139698,1242810.320000000065193,985229.279999999911524,1214603.760000000242144,1070912.260000000009313,10282085.570000000298023
20110803,1315682.199999999953434,1066447.300000000046566,1113664.099999999860302,1153262.250000000000000,1169631.440000000176951,1248375.080000000074506,986320.739999999990687,1271582.920000000158325,1062623.860000000102445,10387590.890000000596046
20110804,1264773.999999999767169,1025991.050000000046566,1064644.580000000074506,1109762.159999999683350,1152403.459999999962747,1202929.540000000037253,969766.930000000051223,1235534.880000000121072,1038173.079999999958090,10063980.679999999701977
20110805,1252105.599999999860302,994920.650000000023283,1061580.859999999869615,1125948.239999999757856,1163341.860000000102445,1190872.559999999823049,956305.589999999967404,1212278.080000000307336,1053713.830000000074506,10011068.269999999552965
20110808,1183837.000000000000000,936340.000000000000000,1026858.699999999837019,1097959.809999999823049,1122733.050000000046566,1135224.959999999962747,883723.499999999883585,1151810.400000000139698,1013722.300000000046566,9552210.720000000670552
20110809,1253513.199999999953434,975825.300000000046566,1051879.080000000074506,1124262.189999999944121,1175374.099999999860302,1186235.259999999776483,940297.509999999892898,1202975.360000000102445,1053092.199999999953434,9963455.199999997392297
20110810,1219027.000000000000000,922746.700000000069849,1017667.539999999920838,1078401.629999999888241,1149668.860000000102445,1122240.519999999785796,892091.359999999986030,1152391.820000000065193,1003154.589999999967404,9557391.019999999552965
20110811,1252574.799999999813735,972588.800000000046566,1060049.000000000000000,1120890.089999999850988,1179749.459999999962747,1168149.790000000037253,934840.209999999962747,1228557.840000000083819,1030506.309999999939464,9947907.300000000745058
20110812,1263601.000000000000000,989742.250000000000000,1054432.179999999701977,1132018.019999999785796,1182757.520000000018626,1163976.219999999972060,930110.550000000046566,1218673.700000000186265,1030920.729999999981374,9966233.169999998062849
20110815,1284949.600000000093132,1018223.450000000069849,1066687.059999999823049,1149890.149999999906868,1187132.879999999888241,1182989.149999999906868,950848.290000000037253,1248326.120000000111759,1035686.559999999939464,10124734.259999999776483
20110816,1275096.399999999906868,1071949.349999999860302,1061580.859999999869615,1149552.939999999944121,1185081.929999999934807,1175569.469999999972060,945572.899999999906868,1247744.700000000186265,1075885.300000000046566,10188034.850000001490116
20110817,1275096.399999999906868,1081335.199999999953434,1055453.419999999925494,1168099.489999999757856,1196430.520000000018626,1170932.169999999925494,949574.920000000041910,1220999.380000000121072,1068218.530000000027940,10186141.029999999329448
20110818,1226768.799999999813735,1040878.949999999953434,1009497.619999999878928,1142471.529999999795109,1170588.550000000046566,1144035.830000000074506,905734.609999999986030,1166927.320000000065193,1073191.570000000065193,9880095.780000001192093
20110819,1193221.000000000000000,1031816.750000000000000,979881.659999999916181,1131343.599999999627471,1192738.810000000055879,1115284.570000000065193,899731.579999999958090,1157043.179999999934807,1083759.280000000027940,9784821.429999999701977
20110822,1194628.599999999860302,1044762.750000000116415,989583.439999999827705,1134378.489999999757856,1199985.500000000000000,1112038.459999999962747,893546.639999999897555,1159950.280000000027940,1081479.969999999972060,9810355.129999998956919
20110823,1252105.599999999860302,1071625.699999999953434,1006433.899999999906868,1164390.179999999934807,1224186.709999999962747,1146354.479999999981374,897730.569999999948777,1217510.860000000102445,1102615.389999999897555,10082954.390000000596046
20110824,1260785.800000000046566,1112405.599999999860302,1011029.479999999981374,1174843.689999999944121,1232390.510000000009313,1154701.619999999878928,900641.129999999888241,1255884.580000000307336,1105930.750000000000000,10208614.160000000149012
20110825,1252574.799999999813735,1095252.150000000139698,991625.919999999925494,1146180.839999999850988,1212974.849999999860302,1139398.530000000027940,872990.810000000055879,1222743.640000000130385,1092047.679999999934807,10025790.220000000670552
20110826,1285653.399999999906868,1100430.550000000046566,1009497.619999999878928,1154948.299999999813735,1229655.910000000149012,1170932.169999999925494,878630.019999999902211,1247744.700000000186265,1096191.879999999888241,10173685.550000000745058
20110829,1307002.000000000000000,1100106.900000000139698,1036560.479999999981374,1175855.319999999832362,1241414.690000000176951,1198292.239999999990687,923197.969999999972060,1258791.679999999934807,1102200.969999999972060,10343423.250000001862645
20110830,1307002.000000000000000,1086513.600000000093132,1033496.759999999776483,1177878.579999999841675,1241277.959999999962747,1216377.709999999962747,913374.829999999958090,1277978.540000000037253,1094534.199999999953434,10348435.179999999701977
20110831,1289876.199999999720603,1080364.250000000232831,1027879.939999999827705,1187994.879999999655411,1236218.949999999953434,1233535.719999999972060,917922.579999999958090,1277397.120000000111759,1102200.969999999972060,10353391.610000001266599
20110901,1276973.199999999953434,1065800.000000000000000,1020731.259999999776483,1187994.879999999655411,1231570.129999999888241,1215450.250000000000000,913374.829999999958090,1275071.440000000176951,1091011.629999999888241,10277978.620000001043081
20110902,1253747.799999999813735,1041526.250000000000000,1002859.559999999939464,1175855.319999999832362,1218170.590000000083819,1196437.320000000065193,888998.889999999897555,1243674.760000000242144,1078164.610000000102445,10099436.099999999627471
20110906,1272750.399999999906868,1037318.799999999930151,997753.359999999869615,1170797.169999999692664,1214478.879999999888241,1182989.149999999906868,882813.949999999953434,1248326.120000000111759,1070912.260000000009313,10078141.089999999850988
20110907,1286826.399999999906868,1063858.099999999860302,1025326.839999999850988,1193727.449999999720603,1220905.190000000176951,1205711.919999999925494,913556.739999999990687,1286118.420000000158325,1086245.800000000046566,10282277.860000001266599
20110908,1287530.199999999953434,1050588.450000000186265,1016135.679999999818392,1200134.439999999944121,1211607.550000000046566,1215913.979999999981374,897548.660000000032596,1271582.920000000158325,1081894.389999999897555,10232937.269999999552965
20110909,1265243.199999999953434,1031493.100000000093132,1005923.279999999795109,1169785.539999999804422,1162658.209999999962747,1193654.939999999944121,875719.459999999962747,1255303.160000000149012,1064281.540000000037253,10024063.429999999701977
20110912,1273454.199999999953434,1047028.300000000046566,1035539.239999999990687,1169785.539999999804422,1178518.889999999897555,1200610.889999999897555,890636.079999999958090,1271001.500000000000000,1073813.199999999953434,10140388.839999999850988
