訓練日期,20141030 - 20150203
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11132392.240000000223517
真實報酬,1132392.240000000223517

夏普值報酬,0.104539224000000
夏普值風險,0.025566549689636
夏普值,4.088906218048606

預期報酬,20961.881940959814528
風險,218340.824610649113311
趨勢值,0.096005325519584
找到最佳解世代,66
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](13),CSCO[4](9),DIS[6](10),HD[9](4),IBM[10](25),MMM[16](7),PG[21](15),UNH[23](2),UTX[24](3),V[25](11),WBA[27](1),WMT[28](6),
20141107,842607.900000000023283,875863.939999999944121,837707.290000000037253,843962.660000000032596,826246.779999999911524,863902.720000000088476,858272.109999999869615,839159.600000000093132,858759.560000000055879,979898.439999999944121,887578.670000000158325,859294.039999999920838,10373257.709999999031425
20141110,843894.200000000069849,869639.899999999906868,835659.750000000000000,848370.079999999958090,833485.939999999944121,870027.700000000069849,861353.390000000013970,849378.560000000055879,858129.800000000046566,971203.879999999888241,898984.850000000093132,866602.400000000023283,10406734.449999999254942
20141111,848768.599999999976717,869639.899999999906868,837521.150000000023283,848197.239999999990687,832517.319999999948777,866992.800000000162981,863471.770000000018626,857804.720000000088476,852304.520000000135042,969340.760000000009313,895271.210000000079162,861911.960000000079162,10403745.950000001117587
20141112,852221.300000000046566,868256.779999999911524,836776.590000000083819,851221.939999999944121,825482.079999999841675,870138.060000000055879,861642.260000000009313,857715.080000000074506,851359.880000000004657,978035.319999999948777,894475.430000000051223,863984.479999999981374,10411313.199999999254942
20141113,870229.500000000000000,887966.239999999990687,842267.719999999972060,855629.359999999986030,829917.339999999850988,873835.119999999995343,853168.739999999874271,859687.160000000149012,851359.880000000004657,973998.559999999939464,888109.189999999944121,904780.400000000023283,10490953.210000000894070
20141114,872463.600000000093132,910096.159999999916181,845152.890000000013970,849061.439999999944121,836901.599999999860302,876594.119999999995343,848450.529999999911524,852605.600000000093132,845928.200000000069849,965925.039999999920838,887711.300000000162981,904998.559999999939464,10495893.040000000968575
20141117,869484.799999999930151,915282.859999999869615,841523.160000000032596,847246.619999999995343,836901.599999999860302,875711.240000000107102,845850.699999999953434,864796.640000000013970,845298.440000000060536,969651.280000000027940,882671.359999999986030,911652.439999999944121,10506075.139999998733401
20141118,884649.599999999976717,919778.000000000000000,840313.250000000000000,829530.520000000018626,825329.139999999897555,883767.520000000135042,846909.890000000013970,880214.720000000088476,856555.400000000023283,969340.760000000009313,902698.490000000107102,914052.200000000069849,10553143.490000000223517
20141119,891081.100000000093132,919432.219999999972060,836032.030000000027940,835752.760000000009313,822984.059999999939464,876483.760000000125729,854420.510000000009313,868292.600000000093132,855453.320000000065193,969961.799999999930151,899117.480000000214204,927141.799999999930151,10556157.440000001341105
20141120,891690.399999999906868,927039.379999999888241,827469.590000000083819,843271.299999999930151,818956.639999999897555,879408.300000000162981,851916.969999999972060,868202.959999999962747,856712.839999999967404,976948.500000000000000,893149.130000000121072,922669.520000000018626,10557439.529999999329448
20141121,899002.000000000000000,929459.839999999967404,828028.010000000009313,849407.119999999995343,820384.079999999841675,883822.700000000069849,853168.739999999874271,866948.000000000000000,868363.400000000023283,986885.140000000013970,896464.880000000121072,923433.080000000074506,10605370.990000002086163
20141124,911391.100000000093132,934646.540000000037253,843105.349999999976717,850444.160000000032596,826654.619999999995343,882277.660000000032596,848450.529999999911524,868651.160000000149012,856476.680000000051223,988437.739999999874271,898321.700000000186265,931614.080000000074506,10640475.320000002160668
20141125,912745.100000000093132,943291.040000000037253,853063.840000000083819,838431.780000000027940,824666.399999999906868,872234.900000000023283,855094.539999999920838,877615.160000000149012,879462.920000000041910,998684.899999999906868,899382.740000000107102,926705.479999999981374,10681382.800000000745058
20141126,912542.000000000000000,948477.739999999990687,855576.730000000097789,844394.760000000009313,825635.019999999902211,873614.400000000023283,855864.859999999869615,879497.600000000093132,867261.320000000065193,998684.899999999906868,908136.320000000065193,927032.720000000088476,10696722.370000001043081
20141128,909698.600000000093132,955739.119999999995343,861067.860000000102445,859086.160000000032596,826756.579999999841675,883436.440000000060536,870789.810000000055879,884158.880000000004657,866631.560000000055879,1002255.879999999888241,909993.140000000013970,954957.200000000069849,10784575.230000000447035
20141201,896361.699999999953434,954010.219999999972060,862836.190000000060536,854592.319999999948777,823544.839999999850988,872786.700000000069849,867419.659999999916181,888013.400000000023283,863561.479999999981374,1002100.620000000111759,898852.219999999972060,940558.640000000013970,10724641.990000000223517
20141202,895617.000000000000000,961963.159999999916181,870002.580000000074506,848370.079999999958090,829305.579999999841675,886250.619999999995343,876952.369999999878928,894915.680000000051223,863482.760000000125729,1009242.579999999958090,885323.960000000079162,942522.080000000074506,10763952.450000001117587
20141203,893518.300000000046566,966458.299999999930151,866652.060000000055879,852086.140000000013970,838736.880000000004657,895410.500000000000000,866649.339999999967404,903610.760000000009313,873795.079999999958090,1015452.980000000097789,893679.650000000023283,926596.400000000023283,10792650.390000000596046
20141204,889117.799999999930151,960234.259999999892898,867768.900000000023283,855197.260000000009313,836340.819999999948777,895410.500000000000000,872234.159999999916181,893481.440000000060536,875526.920000000041910,1013745.120000000111759,900576.410000000149012,924632.960000000079162,10784270.550000000745058
20141205,895143.100000000093132,950898.199999999953434,872701.610000000102445,861160.239999999990687,832364.380000000004657,895465.680000000167638,870308.359999999869615,899397.680000000051223,876156.680000000051223,1022284.420000000041910,909860.510000000009313,917651.840000000083819,10803396.699999999254942
20141208,882077.000000000000000,941562.140000000013970,873073.890000000013970,867987.420000000041910,825176.199999999953434,888071.560000000055879,873967.380000000004657,895722.440000000060536,890011.400000000023283,1021352.859999999986030,898321.700000000186265,918851.720000000088476,10776179.710000002756715
20141209,877879.599999999976717,948131.959999999962747,865069.869999999995343,861160.239999999990687,830936.939999999944121,887519.760000000125729,873485.929999999934807,905582.839999999967404,905283.079999999958090,1025389.620000000111759,909727.880000000121072,911543.359999999986030,10801715.080000000074506
20141210,843894.200000000069849,929114.059999999939464,852877.699999999953434,855110.839999999967404,818293.899999999906868,873228.140000000130385,866649.339999999967404,888282.320000000065193,893553.800000000046566,1015918.760000000009313,903892.160000000149012,905216.720000000088476,10646035.940000001341105
20141211,835296.300000000046566,933263.419999999925494,853994.540000000037253,866604.699999999953434,821148.779999999911524,878249.520000000135042,870597.229999999981374,894019.280000000144355,897804.680000000051223,1021352.859999999986030,968350.340000000200234,914488.520000000018626,10755174.169999999925494
20141212,817694.300000000046566,928768.279999999911524,851574.719999999972060,862370.119999999995343,792141.159999999916181,867047.980000000097789,862316.289999999920838,885324.200000000069849,882926.600000000093132,996666.519999999902211,988112.210000000079162,914270.359999999986030,10649216.740000000223517
20141215,826563.000000000000000,922544.239999999990687,846083.590000000083819,864703.459999999962747,780313.799999999930151,865558.119999999995343,858946.140000000013970,880931.839999999967404,881037.320000000065193,996511.260000000009313,974053.430000000051223,915688.400000000023283,10612938.599999999627471
20141216,841253.900000000023283,919432.219999999972060,839289.480000000097789,838863.880000000004657,771902.099999999860302,877697.720000000088476,860486.779999999911524,859238.959999999962747,891428.360000000102445,983624.679999999934807,960127.280000000144355,904998.559999999939464,10548347.919999999925494
20141217,846737.600000000093132,927039.379999999888241,850550.949999999953434,855110.839999999967404,774553.059999999939464,886250.619999999995343,873389.640000000013970,888730.520000000018626,896702.600000000093132,1005671.599999999860302,954822.079999999958090,918851.720000000088476,10678414.609999999403954
20141218,850867.300000000046566,956084.899999999906868,861998.560000000055879,870061.500000000000000,803866.559999999939464,912185.220000000088476,885907.339999999967404,916518.920000000041910,920790.920000000041910,1025389.620000000111759,986520.650000000023283,937504.400000000023283,10927699.890000000596046
20141219,854658.500000000000000,960234.259999999892898,864604.520000000018626,880950.420000000041910,808097.899999999906868,913178.459999999962747,886388.789999999920838,918759.920000000041910,910006.280000000027940,1015763.500000000000000,971268.200000000186265,928996.159999999916181,10912910.910000000149012
20141222,868130.800000000046566,975794.359999999869615,876796.690000000060536,894518.359999999986030,823035.039999999920838,923055.680000000167638,891684.739999999874271,923690.120000000111759,922207.880000000004657,1025544.879999999888241,985061.719999999972060,942303.919999999925494,11051828.190000001341105
20141223,880384.500000000000000,976831.699999999953434,881357.119999999995343,896765.280000000027940,827113.439999999944121,920848.480000000097789,898328.750000000000000,921986.959999999962747,922758.920000000041910,1029736.899999999906868,1014770.840000000200234,945358.159999999916181,11116245.049999998882413
20141224,888576.200000000069849,978560.599999999976717,878844.230000000097789,895036.880000000004657,824972.279999999911524,921345.100000000093132,896884.400000000023283,920463.080000000074506,920397.320000000065193,1038897.239999999874271,1016892.920000000158325,942849.320000000065193,11123723.570000002160668
20141226,891216.500000000000000,980289.500000000000000,884521.500000000000000,896678.859999999986030,827623.239999999990687,917482.500000000000000,899965.679999999934807,919297.760000000009313,922995.079999999958090,1035015.739999999874271,1014107.689999999944121,948085.159999999916181,11137283.209999999031425
20141229,895684.699999999953434,984093.079999999958090,888895.790000000037253,903419.619999999995343,818293.899999999906868,919965.600000000093132,892069.900000000023283,917325.680000000051223,920003.720000000088476,1030357.939999999944121,1018484.480000000214204,945140.000000000000000,11133738.410000000149012
20141230,892570.500000000116415,980635.279999999911524,881450.190000000060536,901172.699999999953434,815948.819999999948777,915164.940000000060536,889758.940000000060536,921986.959999999962747,914808.200000000069849,1026942.219999999972060,1008669.859999999986030,946776.200000000069849,11095888.810000000521541
20141231,880046.000000000000000,961963.159999999916181,876703.619999999995343,907222.099999999976717,817937.039999999920838,906777.580000000074506,877144.949999999953434,906210.320000000065193,905361.800000000046566,1017781.879999999888241,1010659.310000000172295,936849.919999999925494,11004661.679999999701977
20150102,879842.899999999906868,954701.779999999911524,872608.540000000037253,893913.420000000041910,826195.799999999930151,905342.900000000023283,870886.099999999976717,903431.480000000097789,905676.680000000051223,1028805.340000000083819,1008006.710000000079162,937068.080000000074506,10986483.730000000447035
20150105,873749.900000000139698,935683.879999999888241,859857.949999999953434,875160.280000000027940,813195.899999999906868,884926.300000000162981,866745.630000000004657,888551.240000000107102,890562.440000000060536,1005982.120000000111759,988112.210000000079162,934341.080000000074506,10816872.930000001564622
20150106,863459.500000000000000,935338.099999999976717,855297.520000000018626,872481.260000000009313,795658.779999999911524,875490.520000000135042,862797.739999999874271,886758.440000000060536,877967.239999999990687,999616.459999999846332,990632.180000000051223,941540.359999999986030,10757042.099999999627471
20150107,876864.099999999976717,943982.599999999976717,864046.099999999976717,902382.579999999958090,790458.819999999948777,881836.220000000088476,867323.369999999878928,895812.080000000074506,887492.360000000102445,1012968.819999999832362,1015964.510000000009313,966519.679999999934807,10905655.240000000223517
20150108,892367.400000000139698,951243.979999999981374,872980.820000000065193,922345.599999999976717,807639.079999999841675,902970.160000000032596,877241.239999999874271,938570.360000000102445,902606.600000000093132,1026476.439999999944121,1028564.359999999986030,986917.640000000013970,11109927.679999999701977
20150109,890607.199999999953434,960925.819999999948777,877262.040000000037253,906530.739999999990687,811156.699999999953434,891878.980000000097789,869056.589999999967404,929785.640000000013970,897647.239999999990687,1011260.959999999846332,1003629.920000000158325,974700.679999999934807,11024446.509999999776483
20150112,886071.300000000046566,969916.099999999976717,879216.510000000009313,902469.000000000000000,797545.039999999920838,887023.140000000130385,865879.020000000018626,919297.760000000009313,901032.200000000069849,1009397.840000000083819,1004027.810000000172295,982009.039999999920838,11003888.759999999776483
20150113,888102.299999999930151,971645.000000000000000,886010.619999999995343,896506.020000000018626,799431.299999999930151,886360.980000000097789,869538.039999999920838,923959.040000000037253,900166.280000000027940,1012192.519999999902211,998192.090000000200234,974264.359999999986030,11006372.550000000745058
20150114,882754.000000000000000,965420.959999999962747,877075.900000000023283,887086.239999999990687,794282.319999999948777,882056.940000000060536,866553.049999999930151,926289.680000000051223,893711.239999999990687,992008.719999999972060,994611.079999999958090,944812.760000000009313,10906666.890000000596046
20150115,881129.199999999953434,947786.179999999934807,878192.739999999990687,872999.780000000027940,788011.779999999911524,881063.700000000069849,865301.279999999911524,936419.000000000000000,893711.239999999990687,982537.859999999986030,991825.850000000093132,953211.919999999925494,10872194.530000001192093
20150116,885462.000000000000000,957122.239999999990687,885917.550000000046566,899876.400000000023283,801113.639999999897555,893975.820000000065193,878685.589999999967404,948161.839999999967404,914414.600000000093132,989679.819999999948777,1008404.600000000093132,946558.039999999920838,11009376.139999998733401
20150120,888440.800000000046566,970607.659999999916181,881822.469999999972060,892357.859999999986030,800145.019999999902211,893644.740000000107102,878107.849999999976717,946817.240000000107102,925277.960000000079162,996977.039999999804422,1008669.859999999986030,945685.400000000023283,11028557.899999998509884
20150121,896497.099999999976717,962654.719999999972060,876517.480000000097789,894777.619999999995343,775368.739999999990687,896955.540000000037253,873678.510000000009313,979984.040000000037253,937085.960000000079162,998684.899999999906868,1002568.880000000121072,945140.000000000000000,11039917.490000000223517
20150122,918364.199999999953434,985476.199999999953434,885638.340000000083819,916728.299999999930151,792192.139999999897555,915440.839999999967404,882248.320000000065193,1020590.959999999962747,948264.200000000069849,999926.980000000097789,1008271.969999999972060,963247.280000000027940,11236393.730000000447035
20150123,911458.800000000046566,975448.579999999958090,881636.330000000074506,910678.900000000023283,794639.179999999934807,905122.180000000167638,867419.659999999916181,1004007.560000000055879,944564.360000000102445,1002566.399999999906868,1002568.880000000121072,965537.960000000079162,11165652.790000002831221
20150126,907735.299999999930151,967149.859999999869615,883963.080000000074506,919234.479999999981374,797137.199999999953434,906336.140000000130385,862605.159999999916181,1000511.600000000093132,934881.800000000046566,995734.959999999846332,1005884.630000000121072,966846.919999999925494,11148025.130000000819564
20150127,896971.000000000000000,930151.399999999906868,874656.080000000074506,908864.079999999958090,783423.579999999841675,902970.160000000032596,832851.549999999930151,986169.200000000069849,938109.320000000065193,974309.079999999958090,993815.300000000162981,954848.119999999995343,10977142.869999999180436
20150128,945444.199999999953434,927039.379999999888241,862556.980000000097789,905234.439999999944121,772615.819999999948777,904680.740000000107102,819948.690000000060536,972275.000000000000000,920476.040000000037253,956298.920000000041910,978430.219999999972060,947103.439999999944121,10912107.870000001043081
20150129,1000552.000000000000000,941216.359999999869615,867675.830000000074506,930123.400000000023283,792650.959999999846332,916765.160000000032596,824955.770000000018626,980611.520000000018626,916776.200000000069849,962664.579999999958090,989040.619999999995343,956920.640000000013970,11079957.039999999105930
20150130,984236.300000000046566,911825.059999999939464,846642.010000000009313,902469.000000000000000,781588.299999999930151,895631.220000000088476,811667.750000000000000,952464.560000000055879,903629.960000000079162,989524.559999999939464,978164.960000000079162,927032.720000000088476,10884880.400000000372529
20150202,990261.599999999976717,927730.939999999944121,855669.800000000046566,902555.420000000041910,788470.599999999860302,907329.380000000004657,819659.820000000065193,961787.120000000111759,917799.560000000055879,991232.420000000041910,993284.780000000144355,934995.559999999939464,10990781.000000000000000
20150203,997573.200000000069849,937758.559999999939464,875865.989999999990687,926839.439999999944121,807893.979999999864958,915716.740000000107102,827651.890000000013970,966448.400000000023283,935983.880000000004657,1008466.280000000027940,991958.480000000214204,940231.400000000023283,11132392.240000000223517
