訓練日期,20130326 - 20130626
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11144788.179999999701977
真實報酬,1144788.179999999701977

夏普值報酬,0.105778818000000
夏普值風險,0.041131330373946
夏普值,2.571733445971952

預期報酬,23561.635330913366488
風險,184318.906278910901165
趨勢值,0.127830811318183
找到最佳解世代,11
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](1),CSCO[4](12),DIS[6](8),GS[8](15),INTC[11](3),JPM[13](13),MCD[15](25),MSFT[18](2),UNH[23](7),UTX[24](22),V[25](4),
20130501,976909.620000000111759,888597.529999999911524,1022301.000000000000000,887316.500000000000000,1031158.880000000004657,899534.639999999897555,938144.420000000041910,1056300.479999999981374,989625.060000000055879,891947.000000000000000,920397.719999999972060,10502242.850000001490116
20130502,987945.040000000037253,903857.879999999888241,1033136.910000000032596,893910.759999999892898,1036316.720000000088476,900846.159999999916181,944436.460000000079162,1070504.999999999767169,985648.020000000018626,898804.200000000069849,972280.200000000069849,10627697.349999997764826
20130503,1004337.460000000079162,908217.979999999864958,1048016.069999999948777,904486.459999999962747,1029869.420000000158325,891290.799999999930151,952394.040000000037253,1081158.390000000130385,976368.260000000125729,912126.760000000009313,995339.079999999958090,10703614.719999998807907
20130506,1009158.760000000125729,907345.959999999846332,1052221.050000000279397,923647.139999999897555,1027720.320000000065193,902719.759999999892898,944528.989999999990687,1089551.969999999972060,997579.140000000130385,915849.239999999990687,991569.839999999967404,10761902.169999999925494
20130507,1015587.160000000149012,888597.529999999911524,1068555.779999999795109,929059.409999999916181,1038036.000000000000000,920706.319999999948777,946564.650000000139698,1075347.449999999953434,1002550.440000000060536,919571.720000000088476,996669.400000000023283,10801255.860000001266599
20130508,1007551.660000000149012,903421.869999999878928,1067261.939999999944121,934907.149999999906868,1042334.200000000069849,932322.639999999897555,934165.630000000004657,1065016.890000000130385,1035858.150000000023283,924567.680000000051223,993787.040000000037253,10841204.849999997764826
20130509,1013658.640000000130385,908217.979999999864958,1078259.580000000074506,924207.029999999911524,1047062.220000000088476,918832.719999999855645,922506.849999999976717,1054363.499999999767169,1027572.650000000023283,928290.160000000149012,990017.799999999930151,10812999.130000000819564
20130510,1009694.460000000079162,919990.250000000000000,1086831.270000000018626,927690.789999999920838,1053079.700000000186265,917333.839999999967404,927225.880000000004657,1055331.989999999990687,1042486.550000000046566,933090.200000000069849,990904.679999999934807,10863669.609999999403954
20130513,1015265.740000000107102,927402.419999999925494,1088772.029999999795109,930987.919999999925494,1035027.260000000009313,930636.399999999906868,928891.420000000041910,1066308.209999999962747,1033869.630000000121072,930151.400000000139698,991791.559999999939464,10879113.990000000223517
20130514,1029729.640000000130385,927402.419999999925494,1091197.979999999981374,961408.609999999986030,1024711.580000000074506,941128.559999999823049,936478.880000000004657,1082449.709999999962747,1022932.770000000018626,939751.480000000097789,999551.760000000009313,10956753.390000000596046
20130515,1039479.380000000004657,924786.359999999986030,1094432.580000000074506,968189.500000000000000,1040185.100000000093132,957241.520000000018626,943418.630000000004657,1092780.270000000018626,1020944.250000000000000,938575.960000000079162,1007533.679999999934807,11027577.230000000447035
20130516,1034765.220000000088476,1041637.039999999920838,1075024.979999999981374,961097.559999999939464,1029009.780000000144355,954993.199999999837019,935738.640000000013970,1100205.359999999869615,1029726.880000000121072,932306.520000000135042,996669.400000000023283,11091184.580000000074506
20130517,1059835.980000000214204,1056897.389999999897555,1076804.010000000242144,984177.469999999972060,1033307.979999999981374,979912.079999999841675,939624.900000000139698,1125708.929999999934807,1041326.580000000074506,953661.800000000046566,1023054.079999999958090,11274321.200000001117587
20130520,1057693.180000000167638,1044253.099999999860302,1069364.430000000167638,988656.589999999967404,1035027.260000000009313,979724.719999999855645,939624.900000000139698,1132488.359999999869615,1036686.700000000069849,952486.280000000144355,1006646.799999999930151,11242662.320000000298023
20130521,1058014.600000000093132,1046869.160000000032596,1064674.260000000242144,1000041.019999999902211,1038036.000000000000000,993402.000000000000000,945176.700000000069849,1125063.270000000018626,1041823.709999999962747,955621.000000000000000,1006425.079999999958090,11275156.800000002607703
20130522,1049229.120000000111759,1017656.489999999874271,1060469.279999999795109,991393.829999999958090,1034597.440000000060536,1004830.959999999962747,941475.500000000000000,1117315.349999999860302,1032046.820000000065193,942886.200000000069849,998664.880000000004657,11190575.869999999180436
20130523,1068728.600000000093132,1025068.660000000032596,1054970.459999999962747,979387.299999999930151,1033737.800000000046566,999584.879999999888241,934905.869999999995343,1102465.169999999925494,1033372.500000000000000,935441.239999999990687,987357.160000000032596,11155029.640000000596046
20130524,1071407.100000000093132,1025940.679999999934807,1059175.439999999944121,987536.809999999939464,1028150.140000000130385,1005393.039999999804422,928058.650000000139698,1106339.130000000121072,1028401.200000000069849,931033.040000000153668,1000216.920000000041910,11171662.150000000372529
20130528,1072585.640000000130385,1041637.039999999920838,1078583.040000000037253,999854.389999999897555,1035027.260000000009313,1023004.879999999888241,936849.000000000000000,1130551.380000000121072,1049612.080000000074506,940143.320000000065193,997999.719999999972060,11305857.750000001862645
20130529,1061657.360000000102445,1051665.270000000018626,1071628.649999999906868,1013353.959999999962747,1043193.840000000083819,1024316.399999999906868,916584.930000000051223,1126031.760000000009313,1049777.790000000037253,931816.720000000088476,987578.880000000004657,11277615.560000002384186
20130530,1077192.660000000149012,1062565.520000000018626,1045590.120000000111759,1022561.039999999920838,1040614.920000000158325,1042115.599999999860302,898263.989999999990687,1130874.209999999962747,1071485.799999999813735,940045.359999999986030,1003542.719999999972060,11334861.939999999478459
20130531,1060907.380000000121072,1051665.270000000018626,1020198.510000000009313,1008439.369999999995343,1043623.660000000149012,1022817.520000000018626,893637.489999999990687,1126677.419999999925494,1037846.670000000158325,929661.600000000093132,987578.880000000004657,11183063.770000001415610
20130603,1079335.459999999962747,1063001.529999999795109,1031843.069999999948777,1017646.449999999953434,1084886.379999999888241,1020943.919999999925494,906499.159999999916181,1148952.690000000176951,1040663.739999999990687,932894.280000000144355,998886.599999999976717,11325563.279999999329448
20130604,1067228.640000000130385,1062129.509999999776483,1040738.219999999972060,1005950.969999999972060,1090044.220000000204891,1012512.719999999855645,910292.890000000013970,1129582.890000000130385,1033372.500000000000000,923588.080000000074506,998886.599999999976717,11274337.240000000223517
20130605,1055228.959999999962747,1060385.469999999972060,1020845.430000000051223,984923.989999999990687,1061676.100000000093132,993589.359999999986030,892249.540000000037253,1122803.459999999962747,1023264.190000000060536,911147.160000000149012,982479.320000000065193,11108602.980000000447035
20130606,1068835.740000000223517,1070413.699999999953434,1021168.890000000013970,993508.969999999972060,1059527.000000000000000,1002395.279999999911524,894655.320000000065193,1128614.399999999906868,1026081.260000000125729,908600.200000000069849,994230.480000000097789,11168041.240000000223517
20130607,1098084.959999999962747,1067797.639999999897555,1048824.719999999739230,1032887.899999999906868,1056948.080000000074506,1016822.000000000000000,909460.119999999995343,1151535.330000000074506,1036852.410000000032596,925743.200000000069849,997556.280000000027940,11342522.639999996870756
20130610,1095406.459999999962747,1062129.509999999776483,1032328.260000000009313,1042094.979999999981374,1075000.520000000018626,1018508.239999999874271,921026.369999999995343,1145078.729999999981374,1055246.220000000204891,922216.640000000130385,1010637.760000000009313,11379683.689999999478459
20130611,1090156.600000000093132,1049485.219999999972060,1031843.069999999948777,1016091.199999999953434,1062105.919999999925494,1002207.919999999925494,908997.470000000088476,1124740.440000000176951,1059388.970000000204891,917710.480000000097789,996004.239999999990687,11258741.530000001192093
20130612,1080835.420000000158325,1045997.139999999781139,1018742.940000000060536,1007070.750000000000000,1051360.419999999925494,996399.759999999892898,909090.000000000000000,1129905.719999999972060,1057731.870000000111759,907914.480000000097789,993121.880000000004657,11198180.380000000819564
20130613,1094549.340000000083819,1061693.500000000000000,1039929.569999999948777,1031705.909999999916181,1074140.879999999888241,1014948.399999999906868,915011.920000000041910,1120866.479999999981374,1063034.590000000316650,923686.040000000153668,1010194.320000000065193,11349770.950000001117587
20130614,1091013.719999999972060,1050357.239999999990687,1031843.069999999948777,1013665.009999999892898,1071132.140000000130385,995462.959999999962747,910755.540000000037253,1110535.919999999925494,1057234.740000000223517,921041.119999999995343,1002877.559999999939464,11255929.019999999552965
20130617,1103870.520000000018626,1076953.849999999860302,1043002.439999999944121,1021068.000000000000000,1078868.899999999906868,1008952.879999999888241,913716.500000000000000,1129905.719999999972060,1066680.209999999962747,930445.280000000144355,1010859.480000000097789,11384333.779999999329448
20130618,1115120.219999999972060,1082185.969999999972060,1055940.840000000316650,1021316.839999999967404,1094772.240000000223517,1013824.239999999874271,923062.030000000027940,1129260.059999999823049,1088388.220000000204891,942102.520000000135042,1019950.000000000000000,11485933.180000001564622
20130619,1095513.600000000093132,1076081.829999999841675,1040414.760000000009313,1005204.449999999953434,1074570.700000000186265,1003332.079999999841675,914364.210000000079162,1116669.690000000176951,1081428.400000000372529,922608.480000000097789,1012411.519999999902211,11342609.720000000670552
20130620,1067550.060000000055879,1065617.589999999850988,1002408.209999999962747,966945.299999999930151,1039755.280000000144355,983284.559999999823049,895673.150000000139698,1081158.390000000130385,1057234.740000000223517,904681.800000000046566,989352.639999999897555,11053671.720000000670552
20130621,1071192.820000000065193,1067361.629999999888241,1014537.959999999962747,959728.939999999944121,1040185.100000000093132,973541.839999999967404,899744.470000000088476,1074056.130000000121072,1058891.839999999850988,903016.480000000097789,995117.360000000102445,11057384.570000000298023
20130624,1048372.000000000000000,1049049.209999999962747,1009847.790000000037253,938142.069999999948777,1013536.260000000009313,954056.399999999906868,900299.650000000139698,1088583.479999999981374,1071320.090000000316650,896257.239999999990687,988244.040000000037253,10957718.230000000447035
20130625,1057157.480000000214204,1046869.160000000032596,1011950.280000000027940,952325.949999999953434,1026430.859999999986030,975790.159999999916181,902427.839999999967404,1086969.330000000074506,1056074.770000000018626,899098.080000000074506,1000438.639999999897555,11015542.550000000745058
20130626,1079442.600000000093132,1063437.540000000037253,1022301.000000000000000,943616.549999999930151,1032018.520000000135042,983659.279999999911524,914641.800000000046566,1108921.770000000018626,1073474.320000000298023,910853.280000000144355,1012411.519999999902211,11144788.179999999701977
