訓練日期,20110325 - 20110627
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10381821.589999997988343
真實報酬,381821.589999997988343

夏普值報酬,0.029482159000000
夏普值風險,0.021840125838625
夏普值,1.349907927172245

預期報酬,12647.004961832046320
風險,239159.781258688075468
趨勢值,0.052880985654324
找到最佳解世代,64
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](16),IBM[10](9),JNJ[12](2),KO[14](14),MCD[15](1),MRK[17](5),PFE[20](15),PG[21](8),UNH[23](3),UTX[24](13),WBA[27](4),WMT[28](12),XOM[29](21),
20110408,776736.119999999878928,788502.060000000055879,774833.329999999958090,799903.619999999995343,780624.150000000023283,791563.550000000046566,775292.880000000004657,778791.560000000055879,779415.960000000079162,788282.699999999953434,789639.239999999874271,768498.699999999953434,799169.559999999939464,10191263.429999999701977
20110411,779802.000000000000000,788021.459999999962747,780045.729999999981374,801330.300000000046566,782779.799999999930151,789682.830000000074506,783250.410000000032596,782440.050000000046566,778362.239999999990687,789862.679999999934807,795993.060000000055879,772593.979999999864958,791824.139999999897555,10215998.680000001564622
20110412,772613.039999999920838,784657.260000000009313,781088.209999999962747,795385.800000000046566,786988.449999999837019,788977.560000000055879,775292.880000000004657,791246.750000000000000,786967.620000000111759,780568.679999999934807,794645.280000000027940,782832.179999999934807,773414.099999999976717,10194687.809999998658895
20110413,762569.639999999897555,788021.459999999962747,776657.669999999925494,799903.619999999995343,789349.399999999906868,786861.750000000000000,775292.880000000004657,792504.850000000093132,778537.859999999986030,782706.299999999930151,795607.979999999981374,784441.039999999920838,773228.139999999897555,10185692.589999999850988
20110414,764366.879999999888241,792923.579999999958090,782130.689999999944121,812268.179999999818392,791197.099999999860302,796030.260000000009313,776429.669999999925494,796404.959999999962747,787143.239999999990687,780568.679999999934807,798111.000000000000000,782539.659999999916181,775831.579999999958090,10235955.479999998584390
20110415,767538.479999999864958,798883.020000000018626,789167.429999999934807,808701.479999999864958,794379.249999999883585,811311.109999999986030,777945.390000000013970,807476.240000000107102,789953.159999999916181,775642.859999999986030,806197.679999999934807,783270.959999999846332,783734.880000000004657,10294211.939999999478459
20110418,769547.160000000032596,797585.400000000023283,787864.329999999958090,800379.179999999818392,790478.549999999930151,797675.890000000013970,773019.299999999930151,805211.660000000032596,764839.500000000000000,759378.359999999986030,801961.799999999930151,779760.719999999972060,772670.259999999892898,10200382.110000001266599
20110419,773353.079999999958090,794990.160000000032596,816923.459999999962747,797525.819999999948777,786372.549999999813735,793444.270000000018626,777945.390000000013970,803450.320000000065193,772039.920000000041910,765512.399999999906868,815824.679999999934807,780345.759999999892898,779178.859999999986030,10256916.669999998062849
20110420,793651.319999999832362,791866.260000000009313,839076.159999999916181,806561.459999999962747,804849.550000000046566,800261.880000000004657,772640.369999999995343,801688.979999999981374,776957.280000000027940,798413.160000000032596,819482.939999999944121,785318.599999999860302,796380.160000000032596,10387158.120000001043081
20110421,797562.959999999846332,808831.440000000060536,834906.239999999874271,807037.019999999902211,789554.699999999837019,800261.880000000004657,749904.569999999948777,796027.530000000027940,839653.620000000111759,809565.959999999846332,821985.959999999962747,783709.739999999874271,802981.739999999990687,10441993.359999999403954
20110425,791854.079999999958090,805899.779999999911524,835427.479999999981374,805372.559999999939464,791812.999999999883585,807079.489999999990687,763167.119999999995343,797285.630000000004657,837897.420000000041910,804361.319999999948777,817365.000000000000000,780638.279999999911524,801680.019999999902211,10439851.179999997839332
20110426,798725.879999999888241,809840.700000000069849,846373.520000000018626,795861.359999999869615,789862.649999999906868,824241.060000000055879,765061.770000000018626,803072.890000000013970,831575.100000000093132,816629.399999999906868,825451.679999999934807,788536.319999999832362,812837.619999999995343,10508079.949999999254942
20110427,804751.919999999925494,818875.979999999981374,854452.739999999874271,796574.699999999953434,799409.099999999976717,837641.190000000060536,781734.689999999944121,805463.280000000027940,846678.420000000041910,816629.399999999906868,825644.219999999972060,795995.579999999958090,816184.900000000023283,10600046.120000001043081
20110428,830441.879999999888241,820846.440000000060536,851976.849999999860302,801568.079999999958090,801051.500000000000000,840932.450000000069849,789313.289999999920838,811502.160000000032596,862308.600000000093132,827317.500000000000000,831227.880000000004657,799944.599999999860302,812093.780000000027940,10680535.009999999776483
20110429,843445.439999999944121,819885.240000000107102,856407.389999999897555,802043.639999999897555,803925.699999999953434,845164.070000000065193,794618.309999999939464,816534.560000000055879,864591.659999999916181,832615.079999999958090,822563.579999999958090,804186.139999999897555,818044.500000000000000,10724035.310000000521541
20110502,840802.439999999944121,827430.660000000032596,862792.579999999841675,805134.779999999911524,807313.149999999906868,853627.310000000055879,796512.959999999962747,820057.240000000107102,876006.960000000079162,836518.559999999939464,814669.439999999944121,805063.699999999953434,808653.519999999902211,10754593.299999998882413
20110503,840591.000000000000000,830890.979999999981374,863444.130000000004657,807037.019999999902211,810392.649999999906868,855978.209999999962747,774535.020000000018626,826725.169999999925494,872494.560000000055879,835124.459999999846332,830265.179999999934807,811206.619999999878928,796101.219999999972060,10754796.220000000670552
20110504,833507.759999999892898,820077.479999999981374,855755.839999999967404,802043.639999999897555,811727.099999999860302,859504.560000000055879,782113.619999999995343,836286.729999999981374,870387.120000000111759,830756.279999999911524,823718.819999999948777,809890.279999999911524,788569.839999999967404,10724349.069999998435378
20110505,829384.679999999934807,809696.520000000018626,847155.380000000004657,793008.000000000000000,806902.549999999813735,852216.770000000018626,772640.369999999995343,828863.939999999944121,870738.359999999986030,822856.380000000004657,818327.699999999953434,805502.479999999864958,768207.219999999972060,10625510.350000001490116
20110506,838476.599999999976717,811763.099999999976717,850543.439999999944121,795385.800000000046566,807929.049999999930151,855508.030000000027940,778703.250000000000000,821189.530000000027940,880221.839999999967404,829176.299999999930151,815247.060000000055879,804771.179999999934807,768858.079999999958090,10657783.259999999776483
20110509,841965.359999999869615,812772.359999999986030,855234.599999999860302,796099.139999999897555,814190.699999999953434,857623.839999999967404,780597.900000000023283,819554.000000000000000,886368.540000000037253,832057.439999999944121,829880.099999999976717,805941.259999999892898,773414.099999999976717,10705709.339999997988343
20110510,845242.679999999934807,818924.040000000037253,856928.630000000004657,800616.959999999962747,818296.699999999837019,864441.450000000069849,790450.079999999958090,826976.790000000037253,887071.020000000018626,834752.699999999953434,837581.699999999953434,812230.439999999944121,774901.780000000027940,10768424.969999998807907
20110511,836045.039999999920838,814694.760000000009313,867483.739999999874271,800379.179999999818392,816243.699999999953434,861150.190000000060536,780976.829999999958090,829367.180000000051223,878465.640000000130385,832057.439999999944121,848941.560000000055879,806965.079999999958090,754260.219999999972060,10727040.560000000521541
20110512,839533.799999999930151,827863.200000000069849,875562.959999999962747,812268.179999999818392,828048.449999999837019,874550.320000000065193,791586.869999999995343,840941.700000000069849,879519.359999999986030,832522.139999999897555,865114.919999999925494,815009.379999999888241,753609.359999999986030,10836140.640000000596046
20110513,835516.439999999944121,816713.279999999911524,868135.290000000037253,810603.720000000088476,828869.649999999906868,871729.239999999990687,792723.660000000032596,841193.320000000065193,877236.300000000046566,827038.679999999934807,865885.079999999958090,815009.379999999888241,751935.719999999972060,10802599.759999999776483
20110516,822195.719999999855645,811618.920000000041910,864877.540000000037253,806561.459999999962747,832975.649999999906868,876901.219999999972060,794997.239999999990687,842199.800000000046566,881099.940000000060536,826109.279999999911524,868773.179999999934807,819982.219999999972060,746077.979999999864958,10794380.150000002235174
20110517,810672.239999999990687,819500.760000000009313,865268.469999999972060,808225.920000000041910,830820.000000000000000,876195.950000000069849,801060.119999999995343,848238.680000000051223,877938.780000000027940,816257.639999999897555,852984.899999999906868,812376.699999999953434,747658.639999999897555,10767208.799999998882413
20110518,815535.359999999869615,819212.400000000023283,866571.569999999948777,812030.399999999906868,836671.049999999930151,883483.739999999990687,802575.839999999967404,847735.439999999944121,888827.219999999972060,810030.660000000032596,850866.959999999962747,807111.339999999967404,760024.979999999864958,10800686.959999999031425
20110519,824838.719999999855645,819933.300000000046566,865138.159999999916181,813932.639999999897555,847038.699999999953434,878781.940000000060536,796891.890000000013970,848741.919999999925494,887773.500000000000000,818859.959999999846332,851637.119999999878928,811499.139999999897555,765510.799999999930151,10830587.789999999105930
20110520,819552.719999999855645,817866.719999999972060,856016.459999999962747,812030.399999999906868,845190.999999999883585,871259.060000000055879,784008.270000000018626,847483.820000000065193,873548.280000000027940,813283.559999999939464,854332.679999999934807,808720.199999999953434,758444.319999999948777,10761747.489999998360872
20110523,806443.439999999944121,808735.319999999948777,854322.429999999934807,802281.420000000041910,846936.049999999930151,867497.619999999995343,780218.969999999972060,843583.709999999962747,863362.319999999948777,800179.020000000018626,856835.699999999953434,807696.379999999888241,750076.119999999995343,10688178.499999998137355
20110524,798937.319999999832362,807437.700000000069849,857189.250000000000000,802281.420000000041910,848373.149999999906868,866792.349999999976717,777566.459999999962747,843080.470000000088476,842287.920000000041910,795810.839999999967404,852792.359999999986030,801260.939999999944121,755840.880000000004657,10649661.059999998658895
20110525,806866.319999999832362,806284.260000000009313,863835.060000000055879,795623.579999999958090,849194.349999999860302,862560.729999999981374,787418.640000000013970,835154.439999999944121,840707.339999999967404,801759.000000000000000,849904.260000000009313,798043.219999999972060,762070.539999999920838,10659431.739999998360872
20110526,810460.799999999930151,803544.840000000083819,853670.880000000004657,793008.000000000000000,846217.500000000000000,855272.940000000060536,791965.799999999930151,832764.050000000046566,837721.800000000046566,802967.219999999972060,841432.500000000000000,798920.779999999911524,766068.679999999934807,10634025.789999997243285
20110527,813949.559999999823049,805082.760000000009313,870089.939999999944121,790867.979999999864958,837902.849999999976717,851276.410000000032596,793102.589999999967404,832889.860000000102445,848259.000000000000000,802409.579999999958090,841625.039999999920838,800090.859999999986030,768300.199999999953434,10655856.629999998956919
20110531,824944.439999999944121,811955.340000000083819,876866.060000000055879,794434.679999999818392,837081.650000000023283,863971.270000000018626,812806.949999999953434,842954.660000000032596,859674.300000000046566,815792.939999999944121,840084.719999999972060,807696.379999999888241,776110.519999999902211,10764383.910000000149012
20110601,796611.479999999864958,800565.119999999995343,866310.949999999953434,793721.339999999967404,831333.250000000000000,852216.770000000018626,797649.750000000000000,835406.060000000055879,849137.100000000093132,783542.759999999892898,834115.979999999981374,794240.459999999846332,762721.400000000023283,10597582.419999999925494
20110602,800205.959999999846332,798306.300000000046566,866310.949999999953434,785161.260000000009313,828972.299999999930151,849865.869999999995343,795755.099999999976717,830499.470000000088476,867401.580000000074506,783449.819999999948777,832190.579999999958090,783270.959999999846332,756212.799999999930151,10577612.949999999254942
20110603,791219.759999999892898,793308.060000000055879,861228.859999999986030,779216.760000000009313,826816.650000000023283,842107.900000000023283,789692.219999999972060,823202.490000000107102,857918.100000000093132,773691.119999999878928,830842.799999999930151,784879.819999999832362,754818.099999999976717,10508952.639999998733401
20110606,788471.039999999920838,791866.260000000009313,860707.619999999878928,777790.079999999958090,828459.049999999930151,835995.560000000055879,785902.919999999925494,824083.160000000032596,845624.699999999953434,778059.299999999930151,826799.459999999962747,786342.419999999925494,746542.880000000004657,10476654.449999999254942
20110607,784242.239999999990687,786771.900000000023283,853540.569999999948777,775174.500000000000000,832975.649999999906868,836230.650000000023283,785902.919999999925494,818547.520000000018626,842463.540000000037253,773784.059999999939464,826606.919999999925494,787366.239999999874271,743846.459999999962747,10447463.169999998062849
20110608,780753.479999999864958,789895.800000000046566,861880.409999999916181,777552.300000000046566,833078.300000000046566,841402.630000000004657,783629.339999999967404,815905.510000000009313,846502.800000000046566,771832.319999999948777,831420.419999999925494,785318.599999999860302,750912.940000000060536,10470094.849999997764826
20110609,784242.239999999990687,792298.800000000046566,870220.250000000000000,783496.800000000046566,834207.449999999953434,846339.520000000018626,786281.849999999976717,817918.470000000088476,888651.600000000093132,781591.020000000018626,839507.099999999976717,784294.779999999911524,754818.099999999976717,10563877.979999998584390
20110610,768489.959999999846332,784320.840000000083819,861228.859999999986030,777552.300000000046566,824968.949999999953434,833409.570000000065193,762030.329999999958090,814018.360000000102445,867752.819999999948777,768672.359999999986030,827377.079999999958090,771131.379999999888241,741800.900000000023283,10402763.710000002756715
20110613,771132.959999999846332,784272.779999999911524,867744.359999999986030,774223.380000000004657,828767.000000000000000,830588.489999999990687,775292.880000000004657,814899.030000000027940,862484.219999999972060,769322.939999999944121,837581.699999999953434,769668.779999999911524,736687.000000000000000,10422675.519999997690320
20110614,789105.359999999869615,788838.479999999981374,874390.169999999925494,780167.880000000004657,836363.099999999860302,837876.280000000027940,779840.039999999920838,814773.220000000088476,871089.600000000093132,780940.439999999944121,849134.099999999976717,773910.319999999832362,747379.699999999953434,10523818.689999997615814
20110615,780753.479999999864958,780235.740000000107102,862141.029999999911524,772558.920000000041910,834002.149999999906868,826827.050000000046566,765061.770000000018626,802192.219999999972060,866699.100000000093132,773969.939999999944121,843165.359999999986030,765280.979999999864958,731387.139999999897555,10404284.880000000819564
20110616,782445.000000000000000,781869.779999999911524,864225.989999999874271,778503.420000000041910,839853.199999999953434,827062.140000000013970,766956.419999999925494,808482.720000000088476,872143.319999999948777,784007.459999999846332,854525.219999999972060,772740.239999999874271,736594.019999999902211,10469418.929999999701977
20110617,784030.799999999930151,790376.400000000023283,863835.060000000055879,780167.880000000004657,847141.349999999860302,831999.030000000027940,767714.280000000027940,813892.550000000046566,877411.920000000041910,786052.139999999897555,860108.880000000004657,772593.979999999864958,734734.419999999925494,10510068.689999999478459
20110620,787836.719999999855645,793163.880000000004657,866701.880000000004657,782783.459999999962747,848886.399999999906868,841402.630000000004657,768093.209999999962747,818924.950000000069849,900418.140000000130385,795067.319999999948777,869928.419999999925494,775811.699999999953434,741150.039999999920838,10590178.749999998137355
20110621,782127.839999999967404,798931.079999999958090,866441.259999999892898,787776.839999999967404,850015.549999999930151,841167.540000000037253,774156.089999999967404,807979.479999999981374,917102.040000000037253,795253.199999999953434,833345.819999999948777,779468.199999999953434,749146.319999999948777,10582921.259999999776483
20110622,762463.919999999925494,796335.840000000083819,860968.239999999874271,789441.300000000046566,848475.800000000046566,833879.750000000000000,768472.140000000013970,805966.520000000018626,909374.760000000009313,794137.919999999925494,821215.799999999930151,775372.919999999925494,742172.819999999948777,10508287.730000000447035
20110623,753266.279999999911524,798450.479999999981374,855755.839999999967404,772558.920000000041910,844780.400000000023283,822125.250000000000000,782492.549999999930151,798417.920000000041910,898310.699999999953434,791163.839999999967404,820060.560000000055879,779468.199999999953434,729341.579999999958090,10446202.519999999552965
20110624,753372.000000000000000,793404.179999999934807,847806.929999999934807,772083.359999999869615,840161.150000000023283,812251.469999999972060,760893.539999999920838,787472.450000000069849,886192.920000000041910,783821.579999999958090,796955.760000000009313,766597.319999999832362,713906.900000000023283,10314929.560000000521541
20110627,757177.919999999925494,805659.479999999981374,850282.819999999948777,775174.500000000000000,845088.349999999860302,811781.290000000037253,764303.910000000032596,790366.080000000074506,896203.260000000009313,793115.579999999958090,803309.579999999958090,764842.199999999953434,724506.619999999995343,10381821.589999997988343
