訓練日期,20171207 - 20180313
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10792984.690000001341105
真實報酬,792984.690000001341105

夏普值報酬,0.070598469000000
夏普值風險,0.030023623407661
夏普值,2.351430673154073

預期報酬,17486.832700261576974
風險,294064.193485596217215
趨勢值,0.059466038666548
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](24),BA[2](1),CAT[3](10),CSCO[4](2),DD[7](18),GS[8](7),MMM[16](21),NKE[19](6),TRV[22](12),UNH[23](11),V[25](5),
20171218,922696.320000000181608,967453.420000000041910,970168.109999999986030,935091.000000000000000,913131.450000000069849,961092.719999999972060,908138.000000000000000,986569.980000000097789,908082.599999999976717,920373.089999999967404,940652.040000000037253,10333458.730000000447035
20171219,917790.640000000130385,971078.680000000051223,977551.889999999897555,930717.000000000000000,913490.689999999944121,948008.880000000121072,908023.760000000009313,977893.439999999944121,910298.879999999771826,917769.299999999930151,928971.600000000093132,10301604.759999999776483
20171220,911866.800000000162981,973201.579999999958090,987979.859999999986030,941409.000000000116415,911604.680000000051223,943204.080000000074506,902426.000000000000000,967999.140000000130385,908418.399999999790452,919174.520000000018626,928805.920000000158325,10296099.980000000447035
20171221,911774.240000000107102,963828.159999999916181,1001711.099999999860302,936306.000000000116415,916274.800000000046566,964751.760000000009313,894276.880000000004657,985961.099999999976717,902911.279999999911524,916322.750000000000000,931208.280000000027940,10325336.349999997764826
20171222,913995.680000000051223,964056.780000000144355,1008900.569999999948777,936792.000000000000000,922292.070000000065193,957211.920000000158325,894086.479999999981374,963432.540000000037253,902575.479999999748543,909337.979999999981374,933527.800000000046566,10306219.300000000745058
20171226,912422.160000000032596,964905.940000000060536,1013369.699999999953434,935091.000000000000000,913760.119999999995343,952591.920000000158325,896828.239999999990687,968912.459999999962747,905194.719999999855645,907684.779999999911524,936013.000000000000000,10306784.039999999105930
20171227,917605.520000000018626,965755.100000000093132,1020364.859999999986030,937035.000000000116415,913760.119999999995343,946050.000000000000000,899684.239999999990687,958257.060000000055879,905127.559999999939464,911073.839999999967404,944545.520000000018626,10319268.820000000298023
20171228,922881.440000000176951,968139.280000000144355,1026194.159999999916181,937764.000000000232831,914658.220000000088476,948082.800000000046566,897856.400000000023283,958257.060000000055879,911104.799999999813735,920786.390000000013970,947279.239999999990687,10353013.790000000968575
20171229,919271.600000000093132,963436.240000000107102,1020753.479999999981374,930717.000000000000000,910886.200000000069849,941651.760000000009313,896523.599999999976717,952168.260000000009313,910970.479999999748543,911239.160000000032596,944545.520000000018626,10302173.299999998882413
20180102,915846.880000000121072,969739.619999999995343,1017255.899999999906868,944325.000000000116415,919597.770000000018626,945015.119999999995343,897551.760000000009313,966476.940000000060536,886389.919999999809079,914132.260000000009313,948604.680000000167638,10324945.849999999627471
20180103,921493.040000000037253,972874.980000000097789,1018810.380000000004657,951858.000000000116415,934326.610000000102445,936218.640000000013970,897513.680000000051223,966324.719999999972060,889210.639999999897555,923720.819999999948777,958048.440000000176951,10370409.949999999254942
20180104,933525.840000000083819,969184.400000000139698,1032800.699999999953434,947484.000000000116415,952198.800000000046566,949302.479999999981374,909242.320000000065193,965715.839999999967404,889210.639999999897555,927729.829999999958090,961610.560000000055879,10438015.410000002011657
20180105,935654.720000000088476,1008931.619999999995343,1049122.740000000223517,960606.000000000116415,964682.390000000013970,944460.720000000088476,916325.199999999953434,973935.719999999972060,887598.799999999813735,945419.069999999948777,984640.080000000074506,10571387.060000000521541
20180108,927046.640000000130385,1013210.079999999958090,1075484.129999999888241,970569.000000000116415,961269.610000000102445,930748.560000000055879,913354.959999999962747,982612.260000000009313,882830.439999999827705,929011.059999999939464,988616.400000000139698,10574763.140000000596046
20180109,930471.360000000102445,1040252.560000000055879,1078074.930000000167638,964494.000000000116415,963604.670000000158325,938621.040000000037253,919028.880000000004657,975610.140000000130385,889680.759999999892898,933640.020000000018626,986711.080000000074506,10620199.439999999478459
20180110,936950.560000000055879,1046229.339999999967404,1074447.810000000055879,969840.000000000000000,949055.450000000069849,940062.480000000097789,918495.760000000009313,977589.000000000000000,887263.000000000000000,926696.579999999958090,985634.160000000149012,10612274.140000000596046
20180111,932415.120000000111759,1071900.100000000093132,1096016.219999999739230,974457.000000000116415,962077.900000000139698,943019.280000000027940,922951.119999999995343,978654.540000000153668,888807.679999999934807,931614.849999999976717,992758.400000000139698,10694682.210000000894070
20180112,934636.560000000055879,1098322.040000000037253,1103140.919999999925494,993168.000000000000000,964502.770000000018626,950041.679999999934807,931176.400000000023283,984438.900000000023283,904858.919999999809079,945047.099999999976717,994829.400000000139698,10804172.689999999478459
20180116,928805.280000000144355,1094892.740000000223517,1096728.689999999944121,985149.000000000116415,958665.119999999995343,955326.959999999962747,932204.560000000055879,965411.400000000023283,910164.559999999939464,962653.680000000051223,997314.600000000093132,10787326.589999999850988
20180117,932692.800000000162981,1146658.839999999850988,1091482.319999999832362,1001187.000000000232831,969083.080000000074506,937549.200000000069849,945037.520000000018626,971347.980000000097789,919164.000000000000000,985509.170000000041910,1010486.160000000149012,10910208.070000000298023
20180118,924362.400000000139698,1111222.740000000223517,1093619.729999999981374,1003617.000000000000000,972406.050000000046566,927643.920000000041910,936659.920000000041910,975914.580000000074506,922387.679999999934807,1005058.260000000009313,1019847.080000000074506,10892749.359999999403954
20180119,907423.920000000158325,1103286.360000000335276,1103853.390000000130385,1003374.000000000116415,972226.430000000051223,946678.320000000065193,945304.080000000074506,1023102.779999999911524,925812.839999999850988,1005843.529999999911524,1016450.640000000130385,10953366.290000000968575
20180122,910108.160000000032596,1104168.180000000167638,1106962.350000000093132,1012365.000000000000000,974381.869999999995343,966636.719999999972060,941953.040000000037253,1010620.739999999990687,935886.839999999850988,1006711.459999999962747,1029953.560000000055879,10999757.919999999925494
20180123,906961.120000000111759,1096297.120000000111759,1097505.930000000167638,1023057.000000000116415,973843.010000000125729,961351.439999999944121,938183.119999999995343,1022037.239999999990687,982294.399999999790452,1013530.910000000032596,1032604.440000000176951,11047675.730000000447035
20180124,919179.040000000037253,1093357.720000000204891,1090446.000000000000000,1024758.000000000116415,972226.430000000051223,982012.080000000074506,943438.160000000032596,1035128.160000000032596,991428.159999999916181,1012043.029999999911524,1031776.040000000037253,11095802.820000000298023
20180125,922788.880000000121072,1120857.439999999944121,1097117.310000000055879,1018197.000000000116415,980399.140000000013970,994393.679999999934807,961221.520000000018626,1030713.779999999911524,997136.759999999892898,1013406.920000000041910,1037326.320000000065193,11173568.750000000000000
20180126,922233.520000000018626,1121216.700000000186265,1082155.439999999944121,1034235.000000000116415,985069.260000000125729,991104.239999999990687,985097.680000000051223,1035737.040000000153668,1003516.959999999846332,1027004.489999999990687,1046438.719999999972060,11233819.050000000745058
20180129,920197.200000000069849,1113378.299999999813735,1053138.479999999981374,1041282.000000000116415,970430.229999999981374,1007144.880000000121072,975120.719999999972060,1028734.920000000041910,1000427.599999999976717,1022623.510000000009313,1034178.400000000139698,11166666.240000000223517
20180130,913718.000000000000000,1103221.040000000037253,1060781.339999999850988,1026702.000000000116415,960910.369999999995343,994061.040000000037253,958098.959999999962747,1024929.420000000041910,998815.759999999892898,978152.430000000051223,1023492.040000000037253,11042892.399999998509884
20180131,920104.640000000130385,1157632.600000000093132,1054433.879999999888241,1009449.000000000116415,966658.209999999962747,990180.239999999990687,954138.640000000013970,1038477.000000000000000,1006874.959999999846332,978689.719999999972060,1029125.160000000149012,11105774.050000000745058
20180201,925658.240000000107102,1166026.220000000204891,1050936.299999999813735,1013337.000000000232831,940074.450000000069849,1006220.880000000121072,944390.160000000032596,1029800.460000000079162,1007412.239999999874271,972242.239999999990687,1041468.320000000065193,11097576.510000001639128
20180202,894928.320000000181608,1139800.240000000223517,1020170.550000000046566,994626.000000000116415,906665.130000000121072,961166.640000000130385,933842.000000000000000,1023255.000000000000000,993644.439999999827705,958438.020000000018626,1001622.280000000027940,10828168.619999999180436
20180205,851702.800000000162981,1074382.260000000242144,978652.979999999981374,942381.000000000116415,867687.590000000083819,920769.360000000102445,881558.160000000032596,980176.739999999990687,950460.559999999939464,909420.640000000013970,963184.520000000018626,10320386.610000001266599
20180206,871788.320000000181608,1113672.240000000223517,1013175.389999999897555,976158.000000000116415,919507.959999999962747,956214.000000000000000,889897.680000000051223,992811.000000000000000,945960.839999999850988,930746.920000000041910,993835.320000000065193,10603777.669999999925494
20180207,866512.400000000139698,1137220.100000000093132,999768.000000000000000,980289.000000000232831,902982.920000000158325,950300.400000000139698,888222.160000000032596,999052.020000000018626,954624.479999999748543,933392.039999999920838,991184.440000000176951,10603557.959999999031425
20180208,817733.280000000144355,1076929.740000000223517,945685.050000000046566,942138.000000000232831,872447.520000000018626,910568.400000000023283,848999.760000000009313,951254.940000000060536,906739.399999999790452,894707.160000000032596,943220.080000000074506,10110433.330000000074506
20180209,849018.560000000055879,1087282.959999999962747,966540.989999999990687,960606.000000000116415,888703.130000000121072,921471.600000000093132,857834.320000000065193,996920.939999999944121,920641.519999999902211,913305.660000000032596,963598.719999999972060,10325934.400000000372529
20180212,876601.440000000176951,1123110.979999999981374,986490.149999999906868,986607.000000000116415,918879.290000000037253,935738.160000000032596,872990.160000000032596,1004379.720000000088476,927760.479999999748543,932854.750000000000000,981409.320000000065193,10546831.450000001117587
20180213,875305.600000000093132,1121020.740000000223517,997371.509999999892898,1001916.000000000000000,904868.930000000051223,944497.680000000051223,881253.520000000018626,1002705.300000000046566,930715.519999999902211,936781.099999999976717,980415.239999999990687,10576861.140000000596046
20180214,890763.120000000111759,1126540.280000000260770,1023862.439999999944121,1022814.000000000232831,912323.160000000032596,970554.479999999981374,883690.640000000013970,1034519.279999999911524,944281.839999999850988,945625.719999999972060,1000959.560000000055879,10755944.520000001415610
20180215,893817.600000000093132,1164458.540000000037253,1036298.279999999911524,1071171.000000000000000,918969.099999999976717,989404.080000000074506,894619.599999999976717,1039542.540000000153668,946162.319999999832362,934218.640000000013970,1012971.360000000102445,10901643.059999998658895
20180216,895946.480000000214204,1159820.820000000298023,1012398.149999999906868,1077246.000000000000000,920226.439999999944121,989182.320000000065193,901474.000000000000000,1039694.760000000009313,948042.799999999813735,948064.189999999944121,1009409.239999999990687,10901515.199999999254942
20180220,899648.880000000121072,1154301.280000000260770,1007669.939999999944121,1070685.000000000000000,916005.369999999995343,979092.239999999990687,895381.199999999953434,1027364.939999999944121,934006.359999999869615,936863.760000000009313,1010734.680000000167638,10831763.650000000372529
20180221,902518.240000000107102,1151100.600000000093132,1005532.529999999911524,1052460.000000000000000,907563.229999999981374,973585.199999999953434,884376.080000000074506,1020667.260000000009313,930446.879999999771826,930540.270000000018626,997645.960000000195578,10756446.250000000000000
20180222,901129.840000000083819,1162694.899999999906868,1029044.040000000037253,1043469.000000000116415,919957.010000000125729,966304.080000000074506,898922.640000000013970,1021885.020000000018626,924402.479999999748543,938640.949999999953434,997231.760000000009313,10803691.719999998807907
20180223,914551.040000000037253,1165111.740000000223517,1052037.390000000130385,1069227.000000000000000,937020.910000000032596,986040.719999999972060,902806.800000000046566,1037563.679999999934807,938506.079999999958090,951329.260000000009313,1018355.960000000195578,10972560.580000000074506
20180226,940838.080000000074506,1187385.860000000335276,1060327.949999999720603,1102275.000000000000000,947259.250000000000000,1002635.760000000009313,929919.760000000009313,1060244.459999999962747,957579.519999999902211,967447.959999999962747,1032107.400000000139698,11188031.000000001862645
20180227,921770.720000000088476,1191174.419999999925494,1044588.839999999850988,1094499.000000000000000,925525.229999999981374,990328.080000000074506,917124.880000000004657,1035584.820000000065193,950594.879999999771826,961083.140000000013970,1022000.920000000158325,11054284.930000001564622
20180228,902610.800000000162981,1183238.040000000037253,1001646.329999999958090,1088181.000000000000000,899121.090000000083819,971848.080000000074506,897056.719999999972060,1020362.820000000065193,933536.239999999874271,934797.260000000009313,1018438.800000000046566,10850847.180000001564622
20180301,880674.080000000074506,1142347.720000000204891,973147.529999999911524,1064367.000000000000000,879452.700000000069849,949117.679999999934807,881177.359999999986030,1009555.199999999953434,933334.759999999892898,927729.829999999958090,997397.440000000176951,10638311.300000000745058
20180302,884931.840000000083819,1125952.399999999906868,948211.079999999958090,1070685.000000000000000,875231.630000000121072,954070.320000000065193,877483.599999999976717,1003009.739999999990687,926014.319999999832362,930788.250000000000000,1000462.520000000018626,10596850.699999999254942
20180305,894743.200000000069849,1152341.680000000167638,978912.059999999939464,1081863.000000000000000,890948.380000000121072,972550.320000000065193,886775.119999999995343,990223.260000000009313,937431.519999999902211,943972.520000000018626,1009657.760000000009313,10739428.820000000298023
20180306,889282.160000000032596,1139832.899999999906868,995946.569999999948777,1076274.000000000000000,905407.790000000037253,986632.080000000074506,890011.920000000041910,993115.439999999944121,949587.479999999748543,934879.920000000041910,1002864.880000000121072,10763845.140000000596046
20180307,885302.080000000074506,1133692.820000000298023,981438.089999999850988,1074087.000000000000000,897504.510000000125729,980792.400000000139698,897285.199999999953434,976827.900000000023283,932730.319999999832362,939384.890000000013970,1009409.239999999990687,10708464.450000001117587
20180308,894095.280000000144355,1139212.360000000335276,994910.250000000000000,1077489.000000000000000,902713.490000000107102,984451.439999999944121,900217.359999999986030,991136.580000000074506,938035.959999999846332,928887.069999999948777,1012474.320000000065193,10763633.110000001266599
20180309,916865.040000000037253,1158122.500000000000000,1025093.069999999948777,1102518.000000000000000,923818.840000000083819,1000824.719999999972060,919295.439999999944121,1009250.760000000009313,955699.039999999920838,931780.170000000041910,1031444.680000000167638,10974722.259999997913837
20180312,904091.760000000125729,1124384.720000000204891,1000804.319999999948777,1106892.000000000000000,912412.970000000088476,1010471.280000000027940,913393.040000000037253,1017166.199999999953434,950259.079999999958090,920786.390000000013970,1029208.000000000000000,10889879.760000001639128
20180313,882802.960000000195578,1106356.399999999906868,995557.949999999953434,1097415.000000000000000,902623.680000000051223,992545.679999999934807,904901.199999999953434,1007271.900000000023283,944886.279999999911524,938021.000000000000000,1020592.640000000130385,10792984.690000001341105
