訓練日期,20100315 - 20100615
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10058429.939999999478459
真實報酬,58429.939999999478459

夏普值報酬,-0.002857006000000
夏普值風險,0.034970257496347
夏普值,-0.081698168802403

預期報酬,3426.541000907494890
風險,418765.824266252981033
趨勢值,0.008182475269827
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),AXP[1](9),CAT[3](6),CSCO[4](24),DIS[6](7),IBM[10](11),INTC[11](8),MCD[15](2),NKE[19](3),PG[21](12),WBA[27](14),WMT[28](15),XOM[29](21),
20100409,820795.710000000079162,828110.640000000130385,831803.040000000037253,790629.840000000083819,826994.959999999962747,774159.839999999967404,815521.200000000069849,806204.700000000069849,827317.920000000041910,762062.679999999934807,840416.939999999944121,785927.069999999948777,791799.400000000023283,10501753.940000001341105
20100412,822459.119999999995343,840566.160000000032596,850409.280000000027940,788549.300000000046566,819460.400000000023283,771755.040000000037253,815159.550000000046566,804444.000000000000000,830838.399999999906868,761698.239999999990687,834749.189999999944121,785213.520000000018626,791223.649999999906868,10516535.849999999627471
20100413,822934.380000000121072,849058.560000000055879,843527.520000000018626,785874.320000000065193,818318.800000000162981,775783.079999999958090,823477.500000000000000,809021.819999999948777,830838.399999999906868,765342.640000000013970,834522.479999999981374,780932.219999999972060,790647.899999999906868,10530289.620000001043081
20100414,834102.990000000107102,876800.400000000023283,857418.480000000097789,798952.000000000000000,826538.320000000065193,789129.719999999972060,850601.250000000000000,814890.819999999948777,833918.819999999948777,767650.760000000009313,833842.349999999976717,779790.540000000037253,790072.150000000023283,10653718.599999999627471
20100415,845033.970000000088476,880763.520000000018626,869397.839999999967404,808760.260000000009313,831104.719999999972060,786965.399999999906868,875916.750000000000000,811838.939999999944121,832158.579999999958090,765342.640000000013970,827721.179999999934807,772512.329999999958090,786041.900000000023283,10693568.029999999329448
20100416,839806.110000000102445,851134.480000000097789,852320.880000000004657,801924.200000000069849,818090.479999999981374,785402.279999999911524,865067.250000000116415,810313.000000000000000,826877.859999999986030,763520.440000000060536,812985.029999999911524,772226.909999999916181,782241.950000000069849,10581920.870000001043081
20100419,838855.589999999967404,863590.000000000000000,853722.719999999972060,804599.180000000051223,825853.360000000102445,795021.479999999864958,867960.450000000069849,820759.819999999948777,831718.519999999902211,768015.199999999953434,819106.200000000069849,776222.790000000037253,785696.450000000069849,10651131.759999997913837
20100420,830300.910000000032596,871893.680000000051223,860222.160000000032596,807868.599999999976717,834301.200000000069849,779751.000000000000000,872300.250000000116415,825689.780000000027940,840079.660000000032596,767650.760000000009313,817519.229999999981374,778078.020000000018626,794217.549999999930151,10679882.800000000745058
20100421,879965.580000000074506,867930.560000000055879,863408.160000000032596,809651.919999999925494,834757.840000000083819,775542.599999999976717,860727.450000000069849,825924.540000000037253,844040.199999999953434,772995.880000000004657,813211.739999999874271,777364.469999999972060,793641.800000000046566,10719172.740000002086163
20100422,904679.100000000093132,882650.720000000088476,860349.600000000093132,812029.680000000051223,839780.880000000121072,776384.279999999911524,867598.800000000046566,833789.000000000000000,860762.479999999981374,772509.960000000079162,817519.229999999981374,777649.890000000013970,789496.400000000023283,10795210.020000003278255
20100423,919412.160000000032596,906806.880000000004657,876534.480000000097789,816487.979999999981374,840009.200000000069849,781554.599999999976717,869407.050000000046566,835197.560000000055879,857242.000000000000000,771902.560000000055879,812985.029999999911524,778220.729999999981374,797326.599999999976717,10863096.830000000074506
20100426,914897.190000000060536,889633.359999999986030,913109.760000000125729,819460.180000000051223,845717.200000000069849,786003.479999999864958,861450.750000000116415,833671.619999999995343,858562.180000000051223,776761.760000000009313,809130.959999999962747,771227.939999999944121,797902.350000000093132,10877538.730000000447035
20100427,889470.780000000027940,864156.160000000032596,873348.480000000097789,802815.860000000102445,829278.160000000032596,774520.559999999939464,844453.200000000069849,827920.000000000000000,844040.199999999953434,766678.920000000041910,791220.869999999995343,771227.939999999944121,786157.049999999930151,10665298.179999999701977
20100428,888045.000000000000000,869629.040000000037253,878955.839999999967404,803707.520000000018626,828593.200000000069849,782215.919999999925494,841198.350000000093132,825689.780000000027940,840959.780000000027940,767407.800000000046566,798022.170000000041910,765091.409999999916181,796750.849999999976717,10686276.660000000149012
20100429,912045.630000000121072,898314.480000000097789,901640.160000000032596,818271.300000000046566,849826.959999999962747,784380.239999999990687,849516.300000000046566,839540.619999999995343,853281.459999999962747,755624.239999999990687,813211.739999999874271,766375.800000000046566,790647.899999999906868,10832686.830000001937151
20100430,886381.589999999967404,870383.919999999925494,867741.120000000111759,800438.099999999976717,841150.800000000162981,775602.719999999972060,826009.050000000046566,828624.280000000027940,835239.000000000000000,755138.319999999948777,796888.619999999995343,765519.540000000037253,780399.549999999930151,10629526.609999999403954
20100503,904203.839999999967404,890765.680000000051223,891317.520000000018626,818568.520000000018626,857589.840000000083819,779209.919999999925494,841198.350000000093132,838366.819999999948777,855481.760000000009313,761455.280000000027940,807543.989999999874271,766946.640000000013970,781205.600000000093132,10793863.759999999776483
20100504,878064.540000000153668,865477.200000000069849,850026.960000000079162,789440.959999999962747,835442.800000000162981,770312.160000000032596,815882.849999999976717,829211.179999999934807,851081.160000000032596,749671.719999999972060,796435.200000000069849,770942.520000000018626,765430.049999999930151,10567429.299999998882413
20100505,869034.600000000093132,838490.239999999990687,840596.399999999906868,789143.739999999990687,806902.800000000162981,766344.239999999990687,801778.500000000116415,829445.939999999944121,827317.920000000041910,755138.319999999948777,810037.799999999930151,781645.770000000018626,761975.550000000046566,10477861.820000002160668
20100506,836004.030000000027940,802067.280000000027940,809246.160000000032596,757638.419999999925494,776536.239999999990687,745061.760000000009313,777909.600000000093132,814890.819999999948777,795633.599999999976717,738009.640000000013970,785779.829999999841675,759668.429999999934807,735721.349999999976717,10134177.159999998286366
20100507,800597.160000000032596,766210.480000000097789,791404.560000000055879,734455.260000000009313,762837.039999999920838,734119.919999999925494,770676.599999999976717,798340.239999999990687,776711.019999999902211,732664.520000000018626,790540.739999999874271,747823.500000000000000,733533.500000000000000,9939924.539999999105930
20100510,862143.330000000074506,813201.760000000125729,849899.520000000018626,776660.500000000000000,805761.200000000069849,759189.959999999962747,815521.200000000069849,828506.900000000023283,843160.079999999958090,758296.800000000046566,806410.439999999944121,750392.279999999911524,751151.450000000069849,10420305.419999999925494
20100511,870935.640000000013970,817731.040000000037253,841998.239999999990687,771607.760000000009313,816492.239999999990687,762917.400000000023283,805756.650000000139698,827333.099999999976717,840959.780000000027940,757689.400000000023283,820013.040000000037253,748679.760000000009313,742284.899999999906868,10424408.950000001117587
20100512,889708.410000000032596,832262.480000000097789,868505.760000000125729,794790.919999999925494,802108.080000000074506,797726.880000000004657,835050.300000000046566,829563.319999999948777,856361.880000000004657,765585.600000000093132,829081.439999999944121,748965.179999999934807,747466.649999999906868,10597186.900000000372529
20100513,877114.020000000018626,807917.600000000093132,852703.199999999953434,758827.300000000046566,793431.920000000041910,790512.479999999864958,813712.950000000069849,827567.859999999986030,831278.459999999962747,762305.640000000013970,812985.029999999911524,747823.500000000000000,745509.099999999976717,10421699.059999998658895
20100514,861668.070000000065193,766965.359999999986030,826832.880000000004657,741291.320000000065193,777677.840000000083819,788769.000000000000000,791652.300000000046566,816886.280000000027940,811035.699999999953434,759754.560000000055879,802102.950000000069849,743827.619999999995343,732382.000000000000000,10220855.879999998956919
20100517,863093.850000000093132,777911.119999999995343,812814.480000000097789,739210.780000000027940,780874.320000000065193,784260.000000000000000,796353.750000000000000,823342.179999999934807,810155.579999999958090,769958.880000000004657,809584.380000000004657,752532.929999999934807,728582.050000000046566,10248684.300000000745058
20100518,856677.839999999967404,751867.760000000125729,805295.520000000018626,724052.559999999939464,770143.280000000027940,781314.119999999878928,775016.400000000023283,821933.619999999995343,802234.500000000000000,767893.719999999972060,798022.170000000041910,766518.510000000009313,723054.849999999976717,10144034.849999999627471
20100519,843132.929999999934807,758095.520000000018626,782993.520000000018626,721080.360000000102445,762380.400000000023283,774761.040000000037253,781164.450000000069849,814656.060000000055879,794753.479999999981374,768015.199999999953434,789180.479999999981374,756956.939999999944121,719139.750000000000000,10066320.129999998956919
20100520,807250.800000000046566,728843.919999999925494,747692.640000000013970,692844.459999999962747,730415.599999999976717,744340.319999999948777,751870.800000000046566,794231.939999999944121,773630.599999999976717,748456.920000000041910,741571.380000000004657,732125.399999999906868,694727.949999999953434,9688012.729999998584390
20100521,822696.750000000000000,751490.320000000065193,765789.120000000111759,697302.760000000009313,750507.760000000009313,754079.760000000009313,756210.600000000093132,796579.540000000037253,785512.220000000088476,751372.440000000060536,750413.069999999948777,733124.369999999995343,701061.200000000069849,9816149.910000000149012
20100524,837667.440000000060536,736770.160000000032596,754701.839999999967404,694627.780000000027940,741603.280000000027940,748248.119999999995343,747531.000000000116415,794231.939999999944121,785072.160000000032596,745905.839999999967404,742251.510000000009313,727844.099999999976717,693115.849999999976717,9749581.019999999552965
20100525,832439.580000000074506,736015.280000000027940,754574.400000000023283,692844.459999999962747,737950.160000000032596,748668.959999999962747,754040.700000000069849,796344.780000000027940,802234.500000000000000,741654.040000000037253,746105.579999999841675,717568.979999999981374,687588.650000000023283,9748040.070000000298023
20100526,828637.500000000000000,720351.520000000018626,761201.280000000027940,680361.220000000088476,755074.160000000032596,740913.479999999981374,748615.950000000069849,774864.239999999990687,797833.899999999906868,734243.760000000009313,723661.290000000037253,713858.520000000018626,682982.650000000023283,9662609.470000000670552
20100527,860004.660000000032596,761115.040000000037253,790894.800000000046566,703544.380000000121072,784755.760000000009313,759911.400000000023283,786950.850000000093132,788832.459999999962747,813236.000000000000000,740439.239999999990687,733183.110000000102445,723562.800000000046566,707739.900000000023283,9954180.400000002235174
20100528,872123.790000000153668,752433.919999999925494,774327.599999999976717,688386.160000000032596,763065.360000000102445,753117.839999999967404,774654.750000000116415,784958.920000000041910,796513.720000000088476,742139.960000000079162,726381.809999999939464,721564.859999999986030,696224.900000000023283,9845903.589999999850988
20100601,885431.070000000065193,739600.959999999962747,755339.040000000037253,683630.640000000013970,761010.479999999981374,747586.800000000046566,765975.150000000023283,778972.540000000037253,783311.920000000041910,742990.319999999948777,725928.390000000013970,726702.420000000041910,682291.750000000000000,9778781.480000000447035
20100602,896124.420000000041910,773193.119999999995343,775602.000000000000000,694033.340000000083819,793203.600000000093132,766043.639999999897555,788759.099999999976717,795523.119999999995343,803114.619999999995343,750036.160000000032596,744065.189999999944121,738119.219999999972060,699794.550000000046566,10017622.080000001937151
20100603,893272.860000000102445,765078.160000000032596,778788.000000000000000,705030.479999999981374,792518.640000000013970,769350.239999999990687,792013.950000000069849,796462.159999999916181,810155.579999999958090,750765.040000000037253,733409.819999999948777,738119.219999999972060,708891.400000000023283,10033865.550000000745058
20100604,869034.600000000093132,724880.799999999930151,736095.599999999976717,682441.760000000009313,769230.000000000000000,753238.079999999958090,757657.200000000069849,782963.459999999962747,778471.260000000009313,738617.040000000037253,699176.609999999986030,719281.500000000000000,685515.950000000069849,9696613.859999999403954
20100607,851925.240000000107102,711670.400000000023283,711499.680000000051223,676497.360000000102445,754389.200000000069849,746324.279999999911524,734511.599999999976717,783550.359999999986030,765709.519999999902211,736430.400000000023283,680132.969999999972060,724133.640000000013970,682867.500000000000000,9559652.150000000372529
20100608,846459.750000000000000,725258.239999999990687,721440.000000000000000,682441.760000000009313,756900.719999999972060,743859.359999999986030,729810.150000000023283,802683.299999999930151,773190.540000000037253,754895.359999999986030,693962.279999999911524,724704.479999999981374,705206.599999999976717,9660822.540000000968575
20100609,825548.310000000055879,719219.200000000069849,723988.800000000046566,677091.800000000046566,752106.000000000000000,744941.520000000018626,720768.900000000023283,801274.739999999990687,770110.119999999995343,746756.199999999953434,676278.899999999906868,727701.390000000013970,691273.450000000069849,9577069.330000001937151
20100610,850499.460000000079162,755453.440000000060536,764004.960000000079162,676794.579999999958090,778819.440000000060536,767666.880000000004657,743191.200000000069849,814303.920000000041910,789472.760000000009313,752101.319999999948777,679226.130000000004657,730983.719999999972060,712691.349999999976717,9815219.160000000149012
20100611,860717.550000000046566,757340.640000000130385,767573.280000000027940,680955.660000000032596,781787.600000000093132,772296.119999999878928,746446.050000000046566,816299.380000000004657,795633.599999999976717,741168.119999999995343,668344.049999999930151,725846.159999999916181,712345.900000000023283,9826764.109999999403954
20100614,863331.479999999981374,752811.359999999986030,777386.160000000032596,676497.360000000102445,774709.680000000051223,772596.719999999972060,755487.300000000046566,813482.260000000009313,794753.479999999981374,744083.640000000013970,669704.309999999939464,731269.140000000013970,706703.549999999930151,9832826.440000001341105
20100615,881628.990000000107102,784893.760000000125729,808736.400000000023283,693438.899999999906868,798911.600000000093132,780352.199999999953434,776824.650000000139698,826394.060000000055879,814116.119999999995343,752101.319999999948777,684213.750000000000000,736977.540000000037253,719830.650000000023283,10058429.939999999478459
