訓練日期,20181018 - 20190123
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10227399.589999999850988
真實報酬,227399.589999999850988

夏普值報酬,0.014039959000000
夏普值風險,0.023707376358512
夏普值,0.592219011824955

預期報酬,613.767626327870289
風險,241085.313653882651124
趨勢值,0.002545852408119
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
DD[7](24),HD[9](21),INTC[11](6),MCD[15](2),MSFT[18](18),NKE[19](9),PFE[20](7),PG[21](1),TRV[22](10),VZ[26](4),
20181026,872925.359999999986030,930124.000000000116415,995641.799999999930151,1039393.719999999972060,966130.000000000000000,942339.249999999883585,955801.079999999958090,1073290.000000000000000,959273.800000000046566,1028724.599999999976717,9763643.609999999403954
20181029,874104.160000000032596,935362.000000000000000,989322.410000000032596,1038734.159999999916181,938040.479999999981374,943908.250000000000000,969935.759999999892898,1077931.699999999720603,967419.039999999920838,1046700.640000000013970,9781458.599999999627471
20181030,883534.559999999939464,951778.000000000116415,1040749.169999999925494,1070273.120000000111759,936956.640000000013970,974242.250000000116415,962307.520000000018626,1089535.949999999720603,995492.440000000060536,1078205.040000000037253,9983074.689999997615814
20181031,905224.479999999981374,949834.000000000116415,1021573.090000000083819,1060739.479999999981374,964775.200000000069849,981172.000000000116415,966121.640000000013970,1083306.300000000279397,989640.519999999902211,1058005.160000000149012,9980391.869999999180436
20181101,978192.199999999953434,974566.000000000116415,1050773.030000000027940,1048627.560000000055879,956736.720000000088476,1004053.250000000116415,979807.599999999976717,1094421.950000000186265,990194.079999999958090,1038731.880000000004657,10116104.270000001415610
20181102,969115.439999999944121,971704.000000000116415,1026585.020000000018626,1059840.080000000074506,958904.400000000023283,1001307.500000000000000,963204.959999999962747,1097109.250000000000000,987821.680000000051223,1049480.440000000176951,10085072.769999999552965
20181105,967465.119999999878928,983908.000000000116415,1045325.280000000027940,1081665.520000000018626,971097.600000000093132,1013728.750000000000000,976442.200000000069849,1114088.100000000093132,1000711.719999999972060,1060229.000000000000000,10214661.290000000968575
20181106,974066.399999999906868,982936.000000000116415,1029635.760000000009313,1095576.240000000223517,972994.320000000065193,1001176.749999999883585,964999.839999999967404,1117874.750000000000000,1017081.279999999911524,1060229.000000000000000,10216570.339999999850988
20181107,1004361.559999999939464,1011124.000000000116415,1061668.530000000027940,1104810.080000000074506,1011290.000000000000000,1019481.750000000000000,996185.880000000004657,1115187.450000000186265,1030366.719999999972060,1068383.080000000074506,10422859.050000000745058
20181108,997878.160000000032596,1015282.000000000116415,1067552.100000000093132,1112185.159999999683350,1009393.280000000027940,1016997.500000000000000,983846.079999999958090,1116042.500000000000000,1035981.400000000023283,1079872.920000000158325,10435031.099999999627471
20181109,985147.119999999878928,1004428.000000000116415,1048376.020000000018626,1114943.319999999832362,989703.520000000018626,998431.000000000000000,993493.560000000055879,1128868.250000000000000,1036297.719999999972060,1083394.000000000000000,10383082.510000001639128
20181112,968643.919999999925494,969004.000000000116415,1016561.160000000032596,1105529.600000000093132,965317.120000000111759,981956.499999999883585,989679.439999999944121,1132410.600000000093132,1004744.800000000046566,1088212.320000000065193,10222059.460000000894070
20181113,964753.880000000004657,966682.000000000116415,1032686.500000000000000,1103371.040000000037253,965949.359999999986030,983264.000000000000000,976442.200000000069849,1141816.149999999906868,1002925.959999999962747,1087100.399999999906868,10224991.490000000223517
20181114,973359.119999999878928,971542.000000000116415,1026149.200000000069849,1102411.679999999701977,948156.320000000065193,983264.000000000000000,962756.239999999874271,1142060.449999999720603,973112.800000000046566,1092289.359999999869615,10175101.169999999925494
20181115,985972.279999999911524,957826.000000000232831,1048376.020000000018626,1100672.839999999850988,969020.239999999990687,971888.750000000000000,969487.040000000037253,1146213.549999999813735,993278.199999999953434,1094883.840000000083819,10237618.759999999776483
20181116,993634.479999999981374,955990.000000000116415,1064065.540000000037253,1124836.720000000204891,978142.560000000055879,977249.499999999883585,976217.839999999967404,1146091.399999999906868,1018425.640000000013970,1115825.000000000000000,10350478.680000001564622
20181119,970294.239999999990687,937468.000000000116415,1045979.010000000009313,1119620.199999999720603,944995.120000000111759,948223.000000000000000,991249.959999999962747,1139617.450000000186265,1032264.640000000013970,1123423.119999999878928,10253134.740000000223517
20181120,946364.599999999976717,912952.000000000232831,1032686.500000000000000,1101572.240000000223517,918712.000000000000000,929918.000000000116415,976666.560000000055879,1125081.600000000093132,1015262.440000000060536,1101926.000000000000000,10061141.939999999478459
20181121,956384.399999999906868,914302.000000000232831,1024841.739999999990687,1095636.199999999720603,931356.800000000046566,946261.750000000116415,967019.079999999958090,1116653.250000000000000,1010438.560000000055879,1096366.399999999906868,10059260.179999999701977
20181123,947307.640000000013970,911872.000000000116415,1014164.150000000023283,1090899.359999999869615,930995.520000000018626,934755.749999999883585,967916.520000000018626,1118241.200000000186265,1001265.279999999911524,1086729.760000000009313,10004147.179999999701977
20181126,967936.640000000013970,917110.000000000116415,1033993.960000000079162,1102651.520000000018626,961704.320000000065193,950707.249999999883585,972403.720000000088476,1123127.199999999720603,1030841.199999999953434,1096551.719999999972060,10157027.529999999329448
20181127,959920.800000000046566,935470.000000000116415,1047504.380000000004657,1107088.560000000055879,967755.760000000009313,942600.750000000000000,988782.000000000000000,1132654.899999999906868,1025068.360000000102445,1123979.080000000074506,10230824.589999999850988
20181128,960628.079999999958090,958204.000000000116415,1064719.270000000018626,1126395.679999999701977,1003703.120000000111759,976203.500000000000000,1007403.880000000004657,1136197.250000000000000,1033688.079999999841675,1113045.200000000186265,10380188.059999998658895
20181129,960981.719999999972060,948646.000000000116415,1039441.710000000079162,1134850.040000000037253,995303.359999999986030,972019.500000000000000,1021089.839999999967404,1133876.399999999906868,1033134.519999999902211,1101740.680000000167638,10341083.769999999552965
20181130,971119.399999999906868,973810.000000000116415,1074525.219999999972060,1130353.040000000037253,1001625.760000000009313,982218.000000000116415,1037243.759999999892898,1154519.750000000000000,1031078.440000000060536,1117492.879999999888241,10473986.250000000000000
20181203,993162.959999999962747,981478.000000000116415,1092393.840000000083819,1111525.600000000093132,1012464.160000000032596,1019089.500000000000000,1031859.119999999995343,1139983.899999999906868,1029022.360000000102445,1077834.399999999906868,10488813.839999999850988
20181204,948368.559999999939464,946702.000000000232831,1040531.260000000009313,1109546.919999999925494,980219.920000000041910,990978.250000000116415,1012788.520000000018626,1139861.750000000000000,1001977.000000000000000,1076537.160000000149012,10247511.339999999850988
20181206,938820.279999999911524,950266.000000000116415,1054041.679999999934807,1112005.279999999795109,986271.359999999986030,987709.500000000116415,1009198.759999999892898,1142793.350000000093132,991854.760000000009313,1076351.840000000083819,10249312.809999998658895
20181207,902277.479999999981374,933148.000000000116415,1007626.850000000093132,1097075.240000000223517,946801.520000000018626,958944.500000000000000,985416.599999999976717,1129356.850000000093132,977224.959999999962747,1068939.040000000037253,10006811.039999999105930
20181210,903220.520000000018626,927208.000000000116415,1028764.119999999995343,1107208.479999999981374,971820.160000000032596,948092.250000000116415,996185.880000000004657,1136441.549999999813735,972796.479999999981374,1079872.920000000158325,10071610.359999999403954
20181211,894143.759999999892898,930016.000000000116415,1032468.590000000083819,1100852.720000000204891,980852.160000000032596,961951.749999999883585,987435.839999999967404,1147190.750000000000000,956743.239999999990687,1090621.479999999981374,10082276.290000000968575
20181212,912415.160000000032596,940816.000000000116415,1042274.539999999920838,1100193.159999999683350,985277.839999999967404,971757.999999999883585,990801.239999999874271,1148656.549999999813735,964967.560000000055879,1060970.280000000027940,10118130.330000000074506
20181213,902866.880000000004657,938980.000000000116415,1052298.399999999906868,1117881.359999999869615,988619.680000000051223,953583.750000000116415,1000000.000000000000000,1178705.449999999720603,960934.479999999981374,1058005.160000000149012,10151875.160000000149012
20181214,886010.039999999920838,930448.000000000116415,1042928.270000000018626,1099053.919999999925494,957730.239999999990687,948353.750000000000000,982724.279999999911524,1180537.700000000186265,953421.880000000004657,1057819.840000000083819,10039027.919999999925494
20181217,867620.759999999892898,907120.000000000116415,1025931.289999999920838,1084063.919999999925494,929369.760000000009313,913966.500000000116415,967243.439999999944121,1133265.649999999906868,948518.920000000041910,1036878.680000000051223,9813978.919999999925494
20181218,877876.319999999948777,918298.000000000116415,1040313.350000000093132,1077588.240000000223517,939124.320000000065193,930310.250000000116415,951313.880000000004657,1129845.449999999720603,943536.880000000004657,1031319.079999999958090,9839525.770000001415610
20181219,875636.599999999976717,904906.000000000116415,993026.880000000004657,1074290.439999999944121,936595.359999999986030,901806.750000000000000,941666.399999999906868,1120928.500000000000000,942429.760000000009313,1035210.800000000046566,9726497.490000000223517
20181220,856893.679999999934807,886546.000000000116415,992373.150000000023283,1041432.359999999986030,916905.600000000093132,882978.750000000000000,941217.680000000051223,1111400.799999999813735,927879.039999999920838,1020570.520000000018626,9578197.579999998211861
20181221,849231.479999999981374,866674.000000000116415,977119.450000000069849,1044250.479999999981374,887280.640000000013970,946261.750000000116415,940768.959999999962747,1111278.649999999906868,917914.959999999962747,1017790.720000000088476,9558571.090000001713634
20181224,824123.039999999920838,854038.000000000000000,949880.700000000069849,1021045.959999999962747,850249.439999999944121,890431.499999999883585,909807.279999999911524,1067182.500000000000000,890790.519999999902211,983135.880000000004657,9240684.820000000298023
20181226,876815.399999999906868,908794.000000000116415,1006537.299999999930151,1043530.959999999962747,908325.200000000069849,954629.750000000116415,946602.319999999948777,1100529.450000000186265,926692.839999999967404,1008895.359999999986030,9681352.580000000074506
20181227,895322.559999999939464,919810.000000000116415,1010241.770000000018626,1053604.240000000223517,913925.040000000037253,963259.250000000000000,961410.079999999958090,1124104.399999999906868,938554.839999999967404,1022053.079999999958090,9802285.259999999776483
20181228,890135.839999999967404,919270.000000000116415,1018740.260000000009313,1052704.839999999850988,906789.760000000009313,958944.500000000000000,963878.040000000037253,1113843.800000000279397,935154.399999999906868,1024276.920000000041910,9783738.360000001266599
20181231,897798.039999999920838,927910.000000000116415,1022662.640000000013970,1064756.799999999813735,917447.520000000018626,969404.500000000000000,979358.880000000004657,1122882.899999999906868,947095.479999999981374,1041882.319999999948777,9891199.080000000074506
20190102,915244.279999999911524,931096.000000000116415,1025931.289999999920838,1055702.839999999850988,913383.120000000111759,968358.500000000000000,970384.479999999981374,1115065.299999999813735,928274.440000000060536,1038175.920000000041910,9861616.169999999925494
20190103,881530.599999999976717,910576.000000000232831,969492.600000000093132,1048747.479999999981374,879784.080000000074506,951230.250000000000000,943236.919999999925494,1107247.700000000186265,911588.560000000055879,1041882.319999999948777,9645316.509999999776483
20190104,918780.679999999934807,937630.000000000116415,1028982.030000000027940,1069013.959999999962747,920699.040000000037253,976072.750000000116415,964775.479999999981374,1129845.449999999720603,938633.920000000041910,1044476.800000000046566,9928910.109999999403954
20190107,919252.199999999953434,956098.000000000116415,1033776.049999999930151,1080646.199999999720603,921873.200000000069849,990063.000000000000000,969935.759999999892898,1125325.899999999906868,935628.880000000004657,1051148.320000000065193,9983747.509999999776483
20190108,929861.399999999906868,960688.000000000000000,1040313.350000000093132,1082924.679999999701977,928556.880000000004657,1003268.750000000000000,974422.959999999962747,1129479.000000000000000,931991.199999999953434,1081911.440000000176951,10063417.659999998286366
20190109,933751.439999999944121,970624.000000000116415,1046196.919999999925494,1081065.919999999925494,941833.920000000041910,1001438.250000000000000,972403.720000000088476,1111034.350000000093132,938633.920000000041910,1057263.879999999888241,10054246.320000000298023
20190110,934694.479999999981374,967006.000000000116415,1058181.969999999972060,1088620.879999999888241,935782.479999999981374,999215.500000000000000,949294.640000000013970,1113721.649999999906868,951207.639999999897555,1067456.479999999981374,10065181.720000000670552
20190111,927975.319999999948777,968896.000000000116415,1066244.639999999897555,1093537.600000000093132,928556.880000000004657,994247.000000000116415,962083.160000000032596,1121050.649999999906868,952789.239999999990687,1075239.920000000158325,10090620.410000000149012
20190114,929743.520000000018626,965656.000000000116415,1053605.860000000102445,1086642.199999999720603,921782.880000000004657,994900.750000000000000,950640.799999999930151,1113477.350000000093132,953659.119999999995343,1075425.239999999990687,10045533.719999998807907
20190115,923495.880000000004657,953020.000000000116415,1059053.610000000102445,1085443.000000000000000,948517.600000000093132,1018304.999999999883585,958717.759999999892898,1123982.250000000000000,963465.039999999920838,1076722.479999999981374,10110722.619999999180436
20190116,929979.279999999911524,956098.000000000116415,1048811.840000000083819,1075429.679999999701977,951859.439999999944121,1015690.000000000116415,944807.439999999944121,1116164.649999999906868,967260.880000000004657,1057819.840000000083819,10063921.050000000745058
20190117,957563.199999999953434,944380.000000000116415,1056220.780000000027940,1085982.640000000130385,958543.120000000111759,1034648.749999999883585,952884.399999999906868,1107247.700000000186265,972322.000000000000000,1053186.840000000083819,10122979.429999999701977
20190118,974655.800000000046566,969814.000000000232831,1071910.300000000046566,1094736.799999999813735,972904.000000000000000,1051907.750000000000000,954230.560000000055879,1116775.399999999906868,980783.560000000055879,1058005.160000000149012,10245723.330000001937151
20190122,944124.880000000004657,956476.000000000232831,1051862.580000000074506,1106728.799999999813735,954569.040000000037253,1055830.250000000000000,948397.200000000069849,1104804.699999999720603,967735.359999999986030,1056151.959999999962747,10146680.769999999552965
20190123,947307.640000000013970,955288.000000000000000,1044671.549999999930151,1115842.720000000204891,963872.000000000000000,1052561.500000000000000,945929.239999999874271,1158550.700000000186265,972954.639999999897555,1070421.600000000093132,10227399.589999999850988
